Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,class
A11,12,A30,A45,1108,A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,2
A14,12,A34,A43,618,__NOISE__Attribute6__312966420419,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1
A11,12,A34,A41,1409,A61,A75,4,A93,A101,3,A121,54,A143,A152,-8.599968728771882,A173,1,A191,A201,1
A14,12,A34,A43,797,A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,2
A13,24,A34,A42,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1
A12,12,A32,A40,1318,A64,A75,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1
A12,54,A30,A49,15945,A61,A72,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,2
A14,12,A34,A46,2012,A65,A74,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1
A12,18,A32,A49,2622,A62,A73,4,A93,A101,4,A123,34,A143,__NOISE__Attribute15__274479884767,10.793087301162316,A173,1,__NOISE__Attribute19__987821869705,A201,1
A12,36,A34,A43,2337,A61,A75,-9.32643513556357,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1
A12,20,A33,A41,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1
A14,24,A32,A40,1469,A62,A75,4,A94,A101,4,A121,41,A143,A151,1,A172,1,__NOISE__Attribute19__808809098154,A201,1
A12,36,A32,A43,2323,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,1,__NOISE__Attribute19__913165587780,A201,1
A14,6,A33,A43,932,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1
A12,9,A34,A42,1919,A61,A74,4,__NOISE__Attribute9__507211948162,A101,3,A123,35,A143,A151,1,A173,1,__NOISE__Attribute19__541142536417,A201,1
A14,12,A32,A41,2445,A65,A72,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1
A12,24,A34,A410,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,2
A14,18,A31,A40,6458,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,2
A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1
A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1
A12,14,A32,A49,1410,A63,A75,1,A94,A101,-7.88616385101256,A121,35,A143,A152,-8.599968728771882,A173,1,A192,A201,1
A12,6,A33,A49,1449,A62,A75,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1
A13,15,A32,A46,392,A61,__NOISE__Attribute7__999586291137,4,A92,A101,4,A122,23,A143,__NOISE__Attribute15__418734263802,1,A173,1,A192,A201,1
A12,18,A32,A40,6260,A61,A74,3,A93,A101,3,__NOISE__Attribute12__245322142534,28,A143,A151,1,A172,1,A191,A201,1
A14,36,A34,A40,7855,A61,A73,4,A92,A101,2,A121,25,A142,__NOISE__Attribute15__496574155463,2,A173,1,A192,A201,2
A11,12,A32,A43,1680,A63,A75,3,__NOISE__Attribute9__745020166385,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1
A14,48,A34,A43,3578,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1
A11,42,A32,A43,7174,A65,A74,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2
A11,10,A34,A42,2132,A65,A72,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1
A11,33,A34,A42,4281,__NOISE__Attribute6__122376453993,A73,1,A92,A101,-11.151142748650047,A123,23,A143,A152,2,A173,1,A191,A201,2
A12,12,A34,A40,2366,A63,A74,3,A91,A101,3,__NOISE__Attribute12__847977549843,36,A143,A152,1,A174,1,A192,A201,1
A11,21,A32,A43,1835,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,2
A14,24,A34,A41,3868,A61,__NOISE__Attribute7__136067310184,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1
A14,12,A32,A42,1768,A61,A73,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1
A13,10,A34,A40,781,A61,A75,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1
A12,18,A32,A42,1924,A65,__NOISE__Attribute7__309349151980,4,A92,A101,13.454479251320382,A121,27,A143,A151,1,A173,1,A191,A201,2
A11,12,A34,A40,2121,A61,A73,4,__NOISE__Attribute9__711373541657,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1
A11,12,A32,A43,701,__NOISE__Attribute6__548760469941,A73,4,A94,A101,2,A121,40,A143,__NOISE__Attribute15__436768210413,1,A172,1,A191,A201,1
A12,12,A32,A45,639,A61,A73,-3.5661650329302557,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,2
A12,12,A34,A41,1860,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,__NOISE__Attribute19__484464666738,A201,1
A11,12,A34,A40,3499,A61,__NOISE__Attribute7__51409772899,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,2
A12,48,A32,A40,8487,A65,__NOISE__Attribute7__296160335473,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1
A11,36,A33,A46,6887,__NOISE__Attribute6__844072808986,A73,4,__NOISE__Attribute9__577653010530,A101,5.314535273333769,A122,29,A142,A152,1,A173,1,A192,A201,2
A14,15,A32,A42,2708,__NOISE__Attribute6__821061575070,A72,2,A93,A101,3,A122,27,A141,A152,-8.203363414184732,A172,1,__NOISE__Attribute19__545148200208,A201,1
A14,18,A32,A42,1984,A61,A73,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1
A14,60,A32,A43,10144,A62,A74,2,A92,A101,4,__NOISE__Attribute12__245322142534,21,A143,A152,1,A173,1,__NOISE__Attribute19__478085738941,A201,1
A14,12,A34,A43,1240,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1
A14,27,A33,A41,8613,A64,A73,2,__NOISE__Attribute9__558808025121,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1
A12,12,A32,A43,766,A63,A73,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,2
A12,15,A34,A43,2728,A65,__NOISE__Attribute7__409714839548,-4.865311675053515,A93,A103,6.814958053607053,A121,35,A141,A152,3,A173,1,A192,A201,1
A13,12,A32,A43,1881,A61,A73,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1
A13,6,A32,A40,709,A64,__NOISE__Attribute7__999586291137,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1
A12,36,A32,A43,4795,A61,A72,4,A92,A101,1,__NOISE__Attribute12__658972122208,30,A143,A152,1,A174,1,A192,A201,1
A11,27,A32,A43,3416,__NOISE__Attribute6__821061575070,A73,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1
A11,18,A32,A42,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2
A14,21,A34,A42,2288,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,__NOISE__Attribute19__177211312573,A201,1
A12,48,A31,A49,3566,A62,A74,4,A93,A101,2,A123,30,A143,A152,1,A173,1,__NOISE__Attribute19__177211312573,A201,1
A11,6,A34,A40,860,A61,A75,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1
A14,12,A34,A40,682,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,1,__NOISE__Attribute19__541142536417,A201,1
A11,36,A34,A42,5371,A61,A73,3,A93,A103,-8.484533486946194,__NOISE__Attribute12__544059012401,28,A143,A152,2,A173,1,__NOISE__Attribute19__514133195635,A201,1
A14,18,A34,A43,1582,A64,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1
A14,6,A32,A43,1346,A62,A75,2,A93,A101,4,A124,42,A141,__NOISE__Attribute15__711608508588,1,A173,2,A192,A201,1
A14,10,A32,A43,1924,A61,A73,-1.3869228171802055,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1
A13,36,A32,A43,5848,A61,__NOISE__Attribute7__51409772899,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1
A12,24,A34,A41,7758,A64,A75,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1
A12,24,A33,A49,6967,A62,__NOISE__Attribute7__502859337581,4,A93,A101,4,A123,36,A143,A151,-8.465197212008784,A174,1,__NOISE__Attribute19__515550102711,A201,1
A11,12,A32,A42,1282,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,2
A11,9,A34,A45,1288,__NOISE__Attribute6__504595089672,A75,3,A93,A103,4,__NOISE__Attribute12__251799447178,48,A143,A152,2,A173,2,A191,A202,1
A11,12,A31,A48,339,__NOISE__Attribute6__382783180255,A75,14.80197708230139,A94,A101,1,A123,45,A141,A152,1,A172,1,__NOISE__Attribute19__478085738941,A201,1
A12,24,A32,A40,3512,A62,A74,2,A93,A101,3,A123,38,A141,A152,2,A173,1,A192,A201,1
A14,6,A34,A43,1898,A65,A73,1,A93,A101,2,A121,34,A143,A152,2,A172,2,A191,A201,1
A14,24,A34,A43,2872,A62,A75,3,A93,A101,4,A121,36,A143,A152,1,A173,2,__NOISE__Attribute19__198555739142,A201,1
A14,18,A34,A40,1055,A61,A72,4,A92,A101,1,A122,30,A143,__NOISE__Attribute15__906217515591,2,A173,1,A191,A201,1
A14,15,A32,A44,1262,A63,A74,4,A93,A101,3,A122,36,A143,A152,2,A173,1,__NOISE__Attribute19__515550102711,A201,1
A12,10,A32,A40,7308,A61,A71,2,A93,A101,4,A124,70,A141,A153,1,A174,1,A192,A201,1
A14,36,A32,A40,909,A63,A75,4,__NOISE__Attribute9__512349668203,A101,4,A122,36,A143,A152,1,A173,1,A191,A201,1
A14,6,A32,A42,2978,A63,A73,1,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1
A11,18,A32,A42,1131,A61,__NOISE__Attribute7__689144920939,4,__NOISE__Attribute9__562834396919,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,2
A12,11,A32,A42,1577,A64,A72,4,A92,A101,15.078485148691984,A121,20,A143,A152,1,A173,1,A191,A201,1
A14,24,A32,A42,3972,A61,A74,2,A92,A101,4,__NOISE__Attribute12__680327264588,25,A143,A151,1,A173,1,A192,A201,1
A12,24,A34,A49,1935,A61,A75,4,__NOISE__Attribute9__330295456025,A101,-9.194579681312064,A121,31,A143,A152,2,A173,1,A192,A201,2
A11,15,A30,A40,950,A61,A75,4,A93,A101,3,A123,33,A143,A151,2,A173,2,A191,A201,2
A14,12,A32,A42,763,A61,A73,4,A92,A101,1,A121,26,A143,A152,1,A173,1,__NOISE__Attribute19__485506503504,A201,1
A12,24,A33,A42,2064,A61,A71,3,A92,A101,2,A122,34,A143,A152,1,A174,1,A192,A201,2
A12,8,A32,A43,1414,A61,__NOISE__Attribute7__685718040585,-9.953428373393033,A93,A103,2,A121,33,A143,A152,1,A173,1,A191,A202,1
A11,21,A33,A46,3414,A61,A72,2,A93,A101,1,A122,26,A143,A152,2,A173,1,A191,A201,2
A14,30,A31,A41,7485,A65,A71,4,A92,A101,1,A121,53,A141,A152,1,A174,1,A192,A201,2
A11,12,A32,A42,2577,A61,A73,2,A91,A101,1,A123,42,A143,A152,1,A173,1,A191,A201,1
A11,6,A34,A43,338,A63,A75,4,A93,A101,4,__NOISE__Attribute12__908186759895,52,A143,A152,2,A173,1,A191,A201,1
A14,12,A32,A43,1963,A61,A74,4,A93,A101,2,A123,31,A143,A151,16.132664820258306,A174,2,A192,A201,1
A11,21,A34,A40,571,A61,A75,4,A93,A101,4,A121,65,A143,__NOISE__Attribute15__199365213557,2,A173,1,__NOISE__Attribute19__698608297096,A201,1
A14,36,A33,A49,9572,A61,A72,1,A91,A101,1,A123,28,A143,__NOISE__Attribute15__92162113096,2,A173,1,A191,A201,2
A12,36,A33,A49,4455,A61,__NOISE__Attribute7__498005306131,2,A91,A101,2,A121,30,A142,__NOISE__Attribute15__800079252114,2,A174,1,A192,A201,2
A11,21,A31,A40,1647,A65,A73,7.0471242089638215,A93,A101,2,A122,40,A143,A152,2,A172,2,A191,A201,2
A14,24,A34,A42,3777,A64,__NOISE__Attribute7__51409772899,4,A93,A101,4,A121,50,A143,A152,1,A173,1,A192,A201,1
A12,18,A34,A40,884,A61,A75,4,A93,A101,5.314535273333769,A123,36,A141,A152,1,A173,2,A192,A201,2
A14,15,A34,A43,1360,A61,A73,4,A93,A101,2,A122,31,A143,A152,2,A173,1,__NOISE__Attribute19__484464666738,A201,1
A12,9,A31,A41,5129,A61,A75,2,A92,A101,4,A124,74,A141,A153,1,A174,2,A192,A201,2
A12,16,A34,A40,1175,A61,A71,2,A93,A101,5.314535273333769,A123,68,A143,A153,3,A171,1,A192,A201,1
A11,12,A32,A43,674,A62,A74,4,A94,A101,1,A122,20,A143,A152,1,A173,1,A191,A201,2
A12,18,A30,A42,3244,__NOISE__Attribute6__122376453993,A73,1,A92,A101,4,A123,33,A141,A152,15.44460517968587,A173,1,A192,A201,1
A14,24,A32,A49,4591,A64,A73,2,__NOISE__Attribute9__784631411342,A101,3,A122,54,A143,A152,3,A174,1,A192,A201,2
A12,48,A30,A49,3844,A62,A74,4,A93,A101,-8.776371087849654,A124,34,A143,A153,1,A172,2,A191,A201,2
A12,27,A32,A49,3915,A61,A73,4,A93,A101,2,A123,36,A143,__NOISE__Attribute15__258822457905,6.095713353943077,A173,2,__NOISE__Attribute19__126428503607,A201,2
A14,6,A32,A43,2108,__NOISE__Attribute6__729675835863,A74,-4.992218108869284,A94,A101,-7.88616385101256,A121,29,A143,__NOISE__Attribute15__92162113096,1,A173,1,__NOISE__Attribute19__808809098154,A201,1
A12,45,A32,A43,3031,A62,A73,4,A93,A103,-3.6078007304803092,__NOISE__Attribute12__897055187588,21,A143,A151,1,A173,1,A191,A201,2
A12,9,A34,A46,1501,A61,A75,2,__NOISE__Attribute9__328468839685,A101,3,A123,34,A143,A152,2,A174,1,A192,A201,2
A14,6,A34,A43,1382,A61,A73,1,A92,A101,15.903255997331112,A123,28,A143,A152,16.132664820258306,A173,1,__NOISE__Attribute19__291529221921,A201,1
A12,12,A32,A42,951,__NOISE__Attribute6__729675835863,A72,4,A92,A101,-7.441726926997574,__NOISE__Attribute12__13388918546,27,A141,A151,4,A173,1,A191,A201,2
A12,24,A32,A41,2760,A65,A75,-9.568608054710579,A93,A101,13.454479251320382,A124,36,A141,A153,1,A173,1,A192,A201,1
A12,18,A33,A42,4297,__NOISE__Attribute6__844072808986,A75,9.972121823301364,A91,A101,3,A124,40,A143,A152,15.44460517968587,A174,1,A192,A201,2
A14,9,A34,A46,936,A63,A75,-4.992218108869284,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1
A11,12,A32,A40,1168,__NOISE__Attribute6__234443699292,A73,4,A94,A101,3,__NOISE__Attribute12__939314764254,27,A143,A152,16.132664820258306,A172,1,A191,A201,1
A14,27,A33,A49,5117,A61,A74,3,A93,A101,9.766708882357143,A123,26,A143,A152,-8.465197212008784,A173,1,A191,A201,1
A11,12,A32,A48,902,A61,A74,4,A94,A101,4,__NOISE__Attribute12__626838637799,21,A143,A151,1,A173,1,A191,A201,2
