PVSAT,VENTALV,SHUNT,SAO2
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
NORMAL,LOW,NORMAL,NORMAL
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
NORMAL,HIGH,NORMAL,NORMAL
LOW,LOW,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,HIGH,NORMAL
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
NORMAL,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,NORMAL
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,NORMAL
NORMAL,HIGH,NORMAL,NORMAL
NORMAL,HIGH,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
NORMAL,HIGH,NORMAL,NORMAL
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
NORMAL,HIGH,NORMAL,NORMAL
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
NORMAL,LOW,NORMAL,NORMAL
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
NORMAL,HIGH,NORMAL,NORMAL
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,NORMAL,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,LOW,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,NORMAL,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
HIGH,HIGH,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
NORMAL,HIGH,NORMAL,NORMAL
LOW,HIGH,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,HIGH,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
NORMAL,HIGH,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,LOW,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,HIGH,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,HIGH,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,HIGH,LOW
LOW,LOW,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,LOW,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,LOW,HIGH,LOW
NORMAL,NORMAL,HIGH,LOW
LOW,ZERO,HIGH,LOW
HIGH,HIGH,HIGH,NORMAL
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
NORMAL,ZERO,NORMAL,NORMAL
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,NORMAL,HIGH,LOW
LOW,ZERO,NORMAL,LOW
NORMAL,HIGH,NORMAL,NORMAL
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,NORMAL,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
LOW,ZERO,NORMAL,LOW
LOW,LOW,NORMAL,LOW
