HRBP,HREKG,HR,ERRLOWOUTPUT
HIGH,NORMAL,HIGH,False
LOW,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
NORMAL,HIGH,HIGH,True
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
NORMAL,HIGH,HIGH,True
NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,HIGH,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,HIGH,NORMAL,False
NORMAL,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,NORMAL,LOW,False
LOW,NORMAL,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,LOW,NORMAL,True
LOW,NORMAL,NORMAL,False
LOW,LOW,NORMAL,False
LOW,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,NORMAL,HIGH,True
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
LOW,HIGH,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,HIGH,NORMAL,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,True
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,LOW,NORMAL,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
LOW,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
NORMAL,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,LOW,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,LOW,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,HIGH,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,LOW,HIGH,False
NORMAL,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,HIGH,LOW,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
NORMAL,HIGH,HIGH,True
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,HIGH,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,True
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,LOW,HIGH,True
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
NORMAL,HIGH,HIGH,False
NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
LOW,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,True
HIGH,HIGH,HIGH,False
LOW,HIGH,NORMAL,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False
LOW,LOW,NORMAL,False
NORMAL,HIGH,HIGH,False
HIGH,NORMAL,HIGH,False
LOW,LOW,NORMAL,False
HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False
