HRBP,ERRCAUTER,INSUFFANESTH,HRSAT,HREKG
LOW,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,True,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,True,False,HIGH,NORMAL
LOW,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,LOW
HIGH,False,True,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,True,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,LOW
LOW,False,False,LOW,LOW
NORMAL,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,True,LOW,NORMAL
LOW,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,True,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,LOW
LOW,True,True,NORMAL,NORMAL
LOW,False,True,LOW,LOW
LOW,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,True,False,NORMAL,NORMAL
LOW,True,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,True,False,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
LOW,True,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,HIGH
HIGH,False,True,HIGH,NORMAL
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,LOW
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,NORMAL
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,LOW,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,True,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,NORMAL,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,True,True,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,LOW
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,True,False,HIGH,NORMAL
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,NORMAL,HIGH
NORMAL,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
