LungFlow,ChestXray,DuctFlow,CardiacMixing,LungParench
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Mild,Normal
Normal,Plethoric,,Mild,Congested
High,Asy/Patch,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Mild,Normal
Normal,Asy/Patch,,,Abnormal
High,Plethoric,,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,Rt_to_Lt,Mild,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Transp.,Normal
Low,Normal,Rt_to_Lt,Mild,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
High,Oligaemic,,Transp.,Abnormal
Normal,Asy/Patch,,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
High,Asy/Patch,Rt_to_Lt,,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Congested
High,Normal,Lt_to_Rt,Transp.,Normal
High,Plethoric,Rt_to_Lt,Complete,Congested
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,,Transp.,Congested
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Asy/Patch,,Complete,Normal
Low,Grd_Glass,,Transp.,Congested
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Normal,Rt_to_Lt,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,,Congested
High,Oligaemic,,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Rt_to_Lt,Mild,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Transp.,Normal
Low,Asy/Patch,,Complete,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Asy/Patch,Rt_to_Lt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Grd_Glass,,Mild,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Complete,Normal
Normal,Grd_Glass,,Complete,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Congested
High,Plethoric,,Transp.,Normal
High,Asy/Patch,Rt_to_Lt,,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,,Complete,Congested
High,Grd_Glass,,Complete,Congested
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,,Mild,Abnormal
High,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Congested
High,Plethoric,,Transp.,Normal
Normal,Normal,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,,Mild,Congested
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Normal,Asy/Patch,,Complete,Abnormal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Plethoric,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Normal,,Complete,Abnormal
High,Normal,,Transp.,Normal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Mild,Normal
Normal,Asy/Patch,,Complete,Congested
High,Oligaemic,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Abnormal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
Normal,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Rt_to_Lt,Complete,Normal
Normal,Normal,,Complete,Normal
Low,Asy/Patch,Rt_to_Lt,Complete,Abnormal
High,Plethoric,,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Asy/Patch,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Oligaemic,,Transp.,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Complete,Abnormal
High,Normal,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Low,Plethoric,Rt_to_Lt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Rt_to_Lt,Mild,Normal
High,Plethoric,,Mild,Normal
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Congested
High,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Oligaemic,,,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
High,Grd_Glass,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Mild,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Asy/Patch,,Mild,Abnormal
Low,Normal,Lt_to_Rt,Mild,Normal
Normal,Normal,Lt_to_Rt,Mild,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Rt_to_Lt,,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Complete,Congested
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Normal,Normal,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,Rt_to_Lt,,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Grd_Glass,,Transp.,Abnormal
Normal,Plethoric,Rt_to_Lt,,Abnormal
High,Plethoric,,Transp.,Normal
High,Normal,,Mild,Normal
Normal,Asy/Patch,,Complete,Abnormal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Normal,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Normal,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Normal,Normal,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Asy/Patch,Rt_to_Lt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Transp.,Abnormal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Normal,,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Grd_Glass,,,Congested
Low,Oligaemic,,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,,Complete,Congested
Normal,Normal,Lt_to_Rt,Mild,Normal
High,Normal,,Complete,Abnormal
High,Normal,,Complete,Abnormal
High,Grd_Glass,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Mild,Normal
Low,Grd_Glass,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Mild,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Rt_to_Lt,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Transp.,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Complete,Congested
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,,Transp.,Abnormal
High,Asy/Patch,,Transp.,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Plethoric,Rt_to_Lt,Mild,Congested
Normal,Plethoric,Rt_to_Lt,Complete,Congested
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Complete,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,Mild,Congested
High,Plethoric,,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
High,Oligaemic,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,,Normal
Low,Oligaemic,,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Asy/Patch,,Transp.,Normal
High,Grd_Glass,,Transp.,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Congested
High,Plethoric,Lt_to_Rt,Transp.,Normal
Normal,Grd_Glass,,Mild,Congested
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Asy/Patch,Lt_to_Rt,Complete,Congested
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,,Transp.,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Grd_Glass,Lt_to_Rt,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
High,Plethoric,,Mild,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,,Complete,Congested
Low,Oligaemic,Rt_to_Lt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,Rt_to_Lt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Grd_Glass,Rt_to_Lt,,Normal
High,Normal,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Grd_Glass,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Normal,Rt_to_Lt,,Normal
Low,Oligaemic,,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Rt_to_Lt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
High,Oligaemic,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Oligaemic,Rt_to_Lt,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Transp.,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
