LungFlow,ChestXray,Grunting,CO2,DuctFlow,Sick,CardiacMixing,LungParench
High,Plethoric,no,Low,,no,Complete,Normal
Low,Grd_Glass,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,yes,Normal,,yes,Complete,Normal
Low,Oligaemic,no,Normal,,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Low,Rt_to_Lt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Asy/Patch,yes,High,,yes,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Normal,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Normal,no,Normal,Rt_to_Lt,yes,Mild,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Oligaemic,yes,High,,no,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Normal,,no,Transp.,Normal
High,Oligaemic,yes,High,,no,Transp.,Abnormal
Normal,Asy/Patch,yes,Normal,,yes,Mild,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Oligaemic,yes,Normal,,no,Mild,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Asy/Patch,no,Normal,Rt_to_Lt,no,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Asy/Patch,no,Normal,Rt_to_Lt,no,,Congested
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
High,Plethoric,no,High,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,High,Lt_to_Rt,no,Complete,Congested
High,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Normal,Rt_to_Lt,yes,Complete,Congested
High,Plethoric,no,High,,no,Transp.,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,yes,Normal,Rt_to_Lt,no,Transp.,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Grd_Glass,no,Normal,,no,Transp.,Congested
Low,Asy/Patch,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Normal,Asy/Patch,no,Normal,,no,Complete,Normal
Low,Grd_Glass,no,High,,no,Transp.,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Normal,no,High,Rt_to_Lt,yes,Transp.,Abnormal
High,Plethoric,yes,Low,,yes,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,yes,Normal,,yes,,Congested
High,Oligaemic,no,High,,yes,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Plethoric,no,High,Rt_to_Lt,no,Mild,Congested
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,yes,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,High,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Asy/Patch,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,Oligaemic,no,High,Lt_to_Rt,no,Mild,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Low,,no,Mild,Normal
Normal,Normal,no,High,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Asy/Patch,yes,Normal,,no,Complete,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Asy/Patch,yes,High,Rt_to_Lt,no,Complete,Congested
Low,Oligaemic,no,Low,Lt_to_Rt,no,Mild,Normal
Normal,Grd_Glass,no,Normal,,yes,Mild,Congested
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,yes,High,Rt_to_Lt,yes,Complete,Normal
Normal,Grd_Glass,no,Normal,,yes,Complete,Congested
Low,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Congested
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Asy/Patch,yes,Normal,Rt_to_Lt,yes,,Congested
Low,Oligaemic,no,Low,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,yes,Low,,yes,Complete,Congested
High,Grd_Glass,yes,High,,yes,Complete,Congested
High,Plethoric,no,Normal,Lt_to_Rt,yes,Transp.,Normal
Low,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,no,High,Rt_to_Lt,yes,Mild,Abnormal
Normal,Asy/Patch,yes,Normal,Rt_to_Lt,no,Mild,Abnormal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Asy/Patch,yes,Normal,,no,Mild,Abnormal
High,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,yes,High,,yes,Complete,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Normal,no,High,,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Abnormal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Normal,Normal,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Asy/Patch,no,Normal,,yes,Mild,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,Rt_to_Lt,yes,Mild,Abnormal
High,Plethoric,no,Low,,no,Transp.,Normal
Low,Oligaemic,yes,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,Complete,Normal
Normal,Asy/Patch,yes,Low,,yes,Complete,Abnormal
Low,Normal,no,Normal,Lt_to_Rt,yes,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Plethoric,no,High,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Normal,no,Normal,,no,Complete,Abnormal
High,Normal,no,Normal,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,Lt_to_Rt,no,Mild,Abnormal
High,Plethoric,yes,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,yes,Normal,,yes,,Abnormal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Plethoric,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Mild,Normal
Normal,Asy/Patch,no,Normal,,yes,Complete,Congested
High,Oligaemic,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Grd_Glass,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Normal,no,Normal,Lt_to_Rt,yes,Mild,Normal
Low,Grd_Glass,no,Normal,Lt_to_Rt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,yes,High,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,High,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,yes,Normal,,no,Transp.,Abnormal
Normal,Oligaemic,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Low,Rt_to_Lt,no,Complete,Normal
Normal,Normal,no,Normal,,yes,Complete,Normal
Low,Asy/Patch,yes,Normal,Rt_to_Lt,no,Complete,Abnormal
High,Plethoric,no,Normal,,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Low,Rt_to_Lt,yes,Mild,Normal
Low,Grd_Glass,yes,Normal,Lt_to_Rt,yes,Complete,Congested
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,no,Normal,,yes,Complete,Congested
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Normal,,yes,Transp.,Normal
Low,Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,,yes,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Low,,no,Transp.,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Asy/Patch,no,Normal,,no,Transp.,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Oligaemic,no,Normal,,yes,Transp.,Abnormal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
High,Oligaemic,yes,Normal,,yes,Complete,Abnormal
High,Normal,no,Normal,,no,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Low,Plethoric,no,Normal,Rt_to_Lt,yes,Mild,Normal
Low,Asy/Patch,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Rt_to_Lt,no,Mild,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,High,Rt_to_Lt,yes,Mild,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
High,Plethoric,no,Low,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,Rt_to_Lt,yes,Complete,Abnormal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,yes,Normal,,no,Transp.,Abnormal
Low,Oligaemic,no,High,Lt_to_Rt,no,Mild,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Low,Rt_to_Lt,yes,Complete,Normal
Low,Oligaemic,yes,High,Rt_to_Lt,yes,Complete,Normal
Low,Oligaemic,yes,High,Lt_to_Rt,no,Complete,Congested
High,Normal,no,Normal,,yes,Transp.,Normal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,yes,Normal,Lt_to_Rt,no,Complete,Congested
High,Oligaemic,yes,High,,yes,,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,yes,Normal,,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Normal,yes,High,,no,Transp.,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Grd_Glass,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Mild,Normal
High,Grd_Glass,yes,High,Lt_to_Rt,yes,Complete,Congested
Low,Asy/Patch,yes,High,,yes,Mild,Abnormal
Low,Normal,no,Low,Lt_to_Rt,no,Mild,Normal
Normal,Normal,yes,High,Lt_to_Rt,no,Mild,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Asy/Patch,no,High,,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,,Normal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,no,Low,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
Low,Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
High,Plethoric,no,High,,no,Mild,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
Normal,Asy/Patch,no,Normal,Rt_to_Lt,yes,Complete,Congested
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
High,Normal,no,Low,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,,yes,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Oligaemic,yes,Normal,Rt_to_Lt,no,,Abnormal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,yes,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,no,Normal,Rt_to_Lt,yes,Mild,Abnormal
High,Grd_Glass,yes,Normal,,no,Transp.,Abnormal
Normal,Plethoric,yes,High,Rt_to_Lt,yes,,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Normal,no,Normal,,no,Mild,Normal
Normal,Asy/Patch,yes,High,,yes,Complete,Abnormal
Low,Asy/Patch,yes,High,Rt_to_Lt,no,Mild,Abnormal
Normal,Normal,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Normal,Normal,yes,Normal,,yes,Transp.,Normal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Mild,Abnormal
Normal,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,Rt_to_Lt,yes,Transp.,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
Normal,Asy/Patch,yes,Normal,,no,Mild,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,yes,Mild,Normal
Low,Asy/Patch,no,Normal,Rt_to_Lt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,yes,Normal,,no,Transp.,Abnormal
Low,Oligaemic,yes,Normal,Rt_to_Lt,yes,Mild,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Normal,yes,High,,no,Complete,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Grd_Glass,yes,Normal,,yes,,Congested
Low,Oligaemic,no,Low,,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,High,,no,Complete,Normal
Low,Oligaemic,no,Normal,,yes,Complete,Congested
Normal,Normal,yes,Normal,Lt_to_Rt,no,Mild,Normal
High,Normal,yes,Normal,,yes,Complete,Abnormal
High,Normal,yes,Normal,,no,Complete,Abnormal
High,Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,High,,yes,Mild,Normal
Low,Grd_Glass,yes,Normal,,no,Complete,Abnormal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Normal,,no,Transp.,Normal
Low,Grd_Glass,yes,High,Lt_to_Rt,yes,Mild,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,Rt_to_Lt,yes,,Abnormal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Normal,Asy/Patch,no,Low,Lt_to_Rt,no,Transp.,Abnormal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,yes,High,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Oligaemic,yes,High,,yes,Complete,Congested
Normal,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Grd_Glass,yes,High,,yes,Transp.,Abnormal
High,Asy/Patch,yes,Normal,,yes,Transp.,Abnormal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Low,,yes,Transp.,Normal
