Age,HypoxiaInO2,LungFlow,Disease,XrayReport,CO2Report,ChestXray,Grunting,CO2,DuctFlow,GruntingReport,HypDistrib,LVH,LVHreport,CardiacMixing,LungParench
4-10_days,Severe,High,TGA,Oligaemic,<7.5,Oligaemic,yes,Normal,,yes,Equal,no,no,Transp.,Abnormal
0-3_days,Moderate,High,PAIVS,Plethoric,>=7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Mild,Normal
0-3_days,Mild,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Mild,Normal
4-10_days,Moderate,Low,Fallot,Normal,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Severe,High,TGA,Normal,<7.5,Plethoric,no,Normal,,yes,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Normal,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Complete,Normal
0-3_days,Severe,Normal,TGA,Grd_Glass,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,Fallot,Oligaemic,<7.5,Normal,no,Normal,,yes,Equal,no,no,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
0-3_days,Severe,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,High,PAIVS,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
4-10_days,Mild,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,High,TGA,Plethoric,>=7.5,Plethoric,no,High,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Plethoric,>=7.5,Asy/Patch,yes,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Abnormal
4-10_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
11-30_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
4-10_days,Severe,Normal,TAPVD,Plethoric,>=7.5,Plethoric,no,High,Rt_to_Lt,no,Unequal,no,yes,Complete,Congested
11-30_days,Mild,Low,Fallot,Asy/Patchy,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,Low,TGA,Oligaemic,<7.5,Oligaemic,no,Low,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
4-10_days,Severe,High,TGA,Normal,>=7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Moderate,Low,Fallot,Oligaemic,>=7.5,Oligaemic,no,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Mild,High,Lung,Oligaemic,>=7.5,Oligaemic,no,Normal,Rt_to_Lt,no,Unequal,no,no,,Abnormal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,yes,Normal,Rt_to_Lt,no,Unequal,no,no,Transp.,Abnormal
0-3_days,Moderate,Low,Fallot,Normal,<7.5,Normal,no,Low,Lt_to_Rt,yes,Equal,no,no,Mild,Normal
0-3_days,Severe,High,TGA,Plethoric,>=7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Asy/Patchy,>=7.5,Grd_Glass,no,High,,no,Equal,no,no,Transp.,Congested
11-30_days,Mild,Low,Fallot,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,no,Equal,no,no,,Normal
11-30_days,Moderate,Normal,Fallot,Oligaemic,<7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Severe,Normal,Lung,Plethoric,<7.5,Plethoric,yes,Normal,Rt_to_Lt,yes,Equal,no,no,Mild,Abnormal
0-3_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,,no,Equal,no,no,Complete,Normal
0-3_days,Mild,High,Lung,Normal,<7.5,Normal,yes,Normal,,no,Unequal,yes,yes,Mild,Abnormal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
0-3_days,Severe,High,TAPVD,Plethoric,>=7.5,Plethoric,yes,High,Lt_to_Rt,yes,Equal,no,no,Complete,Congested
11-30_days,Severe,Low,Fallot,Normal,<7.5,Grd_Glass,no,Normal,,no,Equal,yes,yes,Complete,Congested
4-10_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
4-10_days,Severe,Low,PAIVS,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,Low,PAIVS,Plethoric,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Mild,High,TGA,Asy/Patchy,>=7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Mild,Normal
4-10_days,Moderate,Low,Fallot,Oligaemic,>=7.5,Oligaemic,no,High,Lt_to_Rt,no,Equal,yes,yes,Mild,Normal
0-3_days,Mild,High,PAIVS,Normal,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Severe,Low,TAPVD,Normal,>=7.5,Asy/Patch,yes,High,Lt_to_Rt,yes,Equal,no,no,Complete,Abnormal
0-3_days,Moderate,High,PAIVS,Plethoric,<7.5,Plethoric,yes,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
11-30_days,Severe,Normal,TGA,Oligaemic,>=7.5,Oligaemic,no,High,,yes,Equal,no,no,Mild,Abnormal
4-10_days,Moderate,High,TGA,Asy/Patchy,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Normal,PFC,Normal,<7.5,Normal,no,Normal,Rt_to_Lt,no,Equal,no,no,Mild,Normal
0-3_days,Moderate,Normal,PFC,Grd_Glass,<7.5,Grd_Glass,yes,Normal,Rt_to_Lt,yes,Unequal,no,no,,Congested
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Severe,High,TGA,Plethoric,>=7.5,Plethoric,no,Low,,no,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Low,Fallot,Normal,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Normal,>=7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Severe,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Mild,Low,Fallot,Asy/Patchy,<7.5,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Abnormal
0-3_days,Mild,Normal,Lung,Grd_Glass,>=7.5,Asy/Patch,yes,High,,yes,Equal,yes,yes,,Abnormal
4-10_days,Severe,Normal,TGA,Normal,<7.5,Normal,yes,Normal,,yes,Equal,no,no,Transp.,Normal
4-10_days,Severe,Low,PAIVS,Asy/Patchy,<7.5,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Abnormal
4-10_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Mild,Normal,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,Low,PAIVS,Oligaemic,>=7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,Low,Fallot,Grd_Glass,<7.5,Asy/Patch,yes,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Abnormal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Low,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,High,TGA,Normal,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
11-30_days,Severe,Low,Fallot,Asy/Patchy,<7.5,Grd_Glass,yes,Normal,,yes,Equal,no,no,Complete,Abnormal
0-3_days,Moderate,Low,PAIVS,Asy/Patchy,>=7.5,Asy/Patch,yes,High,Lt_to_Rt,yes,Equal,yes,yes,Complete,Abnormal
0-3_days,Moderate,Normal,TGA,Normal,>=7.5,Normal,no,High,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,Fallot,Normal,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Mild,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Grd_Glass,<7.5,Grd_Glass,no,Normal,,yes,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Severe,Normal,TGA,Normal,<7.5,Normal,no,Normal,,yes,Equal,no,no,Transp.,Normal
0-3_days,Severe,Normal,PAIVS,Normal,<7.5,Normal,yes,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Low,Fallot,Plethoric,<7.5,Asy/Patch,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Mild,Abnormal
0-3_days,Moderate,Normal,Fallot,Normal,<7.5,Normal,yes,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
4-10_days,Severe,High,TGA,Asy/Patchy,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Grd_Glass,<7.5,Grd_Glass,yes,Normal,,yes,Unequal,no,no,Transp.,Abnormal
0-3_days,Moderate,Normal,Lung,Asy/Patchy,>=7.5,Asy/Patch,yes,Normal,,yes,Equal,no,no,,Abnormal
0-3_days,Severe,High,TGA,Grd_Glass,<7.5,Grd_Glass,no,Normal,,no,Equal,no,yes,Transp.,Congested
0-3_days,Severe,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Moderate,High,TGA,Normal,<7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,no,no,Mild,Normal
0-3_days,Mild,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Mild,Normal
0-3_days,Severe,High,TGA,Plethoric,>=7.5,Plethoric,no,High,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Normal,PFC,Normal,<7.5,Normal,no,Normal,Rt_to_Lt,no,Unequal,no,no,Mild,Normal
0-3_days,Severe,High,TGA,Asy/Patchy,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Asy/Patchy,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Moderate,Low,Fallot,Normal,<7.5,Normal,no,Low,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Severe,Low,Fallot,Normal,<7.5,Oligaemic,no,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
0-3_days,Severe,Normal,TGA,Asy/Patchy,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,Fallot,Normal,<7.5,Oligaemic,yes,Low,,yes,Equal,no,no,Mild,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,yes,Low,,yes,Unequal,no,no,Complete,Normal
0-3_days,Severe,High,TGA,Asy/Patchy,>=7.5,Plethoric,no,Normal,,yes,Equal,no,no,Transp.,Normal
0-3_days,Mild,High,TGA,Oligaemic,<7.5,Oligaemic,no,Normal,,no,Equal,no,no,Complete,Abnormal
0-3_days,Severe,High,TGA,Normal,>=7.5,Grd_Glass,no,High,Rt_to_Lt,no,Unequal,no,no,Transp.,Normal
11-30_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Moderate,Low,PAIVS,Asy/Patchy,>=7.5,Oligaemic,no,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Mild,Low,Fallot,Oligaemic,>=7.5,Oligaemic,no,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Mild,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Low,Lt_to_Rt,no,Equal,no,no,,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Unequal,no,yes,Transp.,Normal
11-30_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Moderate,Normal,TGA,Plethoric,<7.5,Plethoric,no,Normal,,yes,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
11-30_days,Mild,Low,Fallot,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,yes,Normal,,yes,Equal,no,yes,Transp.,Congested
0-3_days,Severe,Normal,TGA,Asy/Patchy,<7.5,Asy/Patch,no,Normal,,no,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Normal,Lung,Asy/Patchy,>=7.5,Asy/Patch,no,High,Rt_to_Lt,no,Equal,no,no,Mild,Abnormal
11-30_days,Moderate,Low,PAIVS,Oligaemic,>=7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Moderate,Low,Fallot,Asy/Patchy,<7.5,Asy/Patch,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Abnormal
4-10_days,Severe,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,,no,Equal,no,no,Complete,Normal
0-3_days,Severe,High,TGA,Normal,>=7.5,Plethoric,no,High,,no,Equal,no,no,Transp.,Congested
0-3_days,Moderate,Normal,TGA,Normal,<7.5,Normal,yes,Normal,,yes,Equal,no,no,Transp.,Normal
4-10_days,Moderate,High,TAPVD,Normal,<7.5,Normal,no,Low,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Severe,High,TGA,Oligaemic,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
4-10_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Asy/Patchy,>=7.5,Asy/Patch,no,High,Lt_to_Rt,no,Equal,yes,yes,Complete,Abnormal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Transp.,Normal
0-3_days,Severe,Low,PAIVS,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
4-10_days,Mild,Normal,Fallot,Asy/Patchy,>=7.5,Normal,yes,Normal,Lt_to_Rt,no,Unequal,no,no,Complete,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Transp.,Normal
4-10_days,Severe,Low,Fallot,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,yes,Equal,yes,yes,Complete,Normal
0-3_days,Moderate,High,Lung,Oligaemic,>=7.5,Oligaemic,no,High,Rt_to_Lt,no,Equal,yes,yes,Mild,Abnormal
11-30_days,Moderate,Low,Fallot,Asy/Patchy,<7.5,Asy/Patch,no,Low,Lt_to_Rt,no,Equal,no,yes,Complete,Normal
0-3_days,Severe,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Low,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,High,TAPVD,Asy/Patchy,<7.5,Asy/Patch,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Congested
0-3_days,Severe,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,no,Complete,Normal
0-3_days,Mild,Normal,PFC,Asy/Patchy,<7.5,Asy/Patch,no,Normal,Lt_to_Rt,no,Equal,no,no,,Abnormal
0-3_days,Moderate,Low,TGA,Oligaemic,<7.5,Oligaemic,no,Normal,,no,Equal,no,no,Mild,Normal
0-3_days,Severe,High,TGA,Plethoric,>=7.5,Plethoric,no,High,,no,Equal,no,no,Transp.,Normal
11-30_days,Mild,Low,Fallot,Plethoric,<7.5,Asy/Patch,yes,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Abnormal
0-3_days,Mild,Low,PFC,Oligaemic,<7.5,Oligaemic,no,Normal,Rt_to_Lt,no,Unequal,no,no,,Normal
0-3_days,Mild,Normal,PAIVS,Oligaemic,<7.5,Normal,no,Normal,Lt_to_Rt,yes,Equal,yes,yes,,Normal
4-10_days,Mild,Low,Fallot,Oligaemic,<7.5,Normal,no,Normal,Lt_to_Rt,no,Equal,no,yes,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,Normal,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,no,no,Transp.,Normal
0-3_days,Severe,Normal,TGA,Normal,<7.5,Normal,no,Normal,,no,Equal,yes,yes,Transp.,Normal
4-10_days,Moderate,High,TGA,Asy/Patchy,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
11-30_days,Severe,Low,Fallot,Normal,>=7.5,Oligaemic,no,Normal,Lt_to_Rt,yes,Equal,no,no,Mild,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,no,no,Transp.,Normal
11-30_days,Moderate,High,TGA,Oligaemic,>=7.5,Oligaemic,yes,High,,yes,Equal,no,no,Transp.,Abnormal
11-30_days,Moderate,Low,Fallot,Oligaemic,<7.5,Oligaemic,yes,Normal,Lt_to_Rt,yes,Equal,no,no,Mild,Normal
0-3_days,Moderate,Low,PAIVS,Asy/Patchy,<7.5,Asy/Patch,no,Normal,Lt_to_Rt,yes,Equal,no,no,Complete,Normal
0-3_days,Mild,Normal,TGA,Normal,<7.5,Normal,yes,Normal,,yes,Equal,no,no,,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Transp.,Congested
0-3_days,Moderate,High,Fallot,Grd_Glass,<7.5,Plethoric,yes,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Moderate,Normal,Fallot,Normal,>=7.5,Normal,no,High,,no,Equal,no,yes,Complete,Normal
0-3_days,Moderate,Low,PAIVS,Normal,>=7.5,Normal,no,Normal,Lt_to_Rt,no,Unequal,yes,yes,Complete,Normal
0-3_days,Severe,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,Lt_to_Rt,no,Equal,no,no,Transp.,Normal
11-30_days,Mild,Low,Fallot,Oligaemic,<7.5,Oligaemic,no,Normal,Lt_to_Rt,no,Equal,no,no,Complete,Normal
0-3_days,Moderate,High,TGA,Plethoric,<7.5,Plethoric,no,Normal,,no,Equal,yes,yes,Complete,Normal
0-3_days,Severe,High,TGA,Grd_Glass,<7.5,Grd_Glass,no,Normal,,yes,Equal,no,no,Transp.,Normal
0-3_days,Severe,High,TGA,Grd_Glass,<7.5,Grd_Glass,yes,Normal,,yes,Equal,yes,yes,Transp.,Abnormal
