Facility Type,Risk,City,State,Inspection Type,Results
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Bakery,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Bakery,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),Chicago,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint Re-Inspection,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Bakery,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Suspected Food Poisoning,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Catering,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,No Entry
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Bakery,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Fail
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Bakery,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Wholesale,Risk 2 (Medium),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Special Events (Festivals),Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Recent Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Catering,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Fail
Bakery,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Hospital,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Bakery,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Hospital,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Golden Diner,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
