meldug_1,lai_3,meldug_2,lai_1,lai_4,straaling_4,lai_2,foto_4
0_5___1__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_50_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_35_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_40_kg_m2
1___2__,1_5___2_5,0_00___0_01__,2_5___3_5,0_5___1_5,300___349_MJ_m2,2_5___3_5,0_40_kg_m2
6___10__,3_5___4_5,0_01___0_5__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_30_kg_m2
0_01___0_5__,1_5___2_5,0_00___0_01__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_35_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_50_kg_m2
2___6__,4_5___5_5,0_00___0_01__,___6_5,0_5___1_5,300___349_MJ_m2,___6_5,0_45_kg_m2
50___100__,0_5___1_5,6___10__,0_5___1_5,0_0___0_5,___300_MJ_m2,0_5___1_5,0_10_kg_m2
0_5___1__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_50_kg_m2
10___25__,0_5___1_5,2___6__,2_5___3_5,0_0___0_5,___300_MJ_m2,1_5___2_5,0_00_kg_m2
6___10__,0_5___1_5,25___50__,1_5___2_5,0_0___0_5,___300_MJ_m2,0_5___1_5,0_15_kg_m2
6___10__,2_5___3_5,10___25__,4_5___5_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_40_kg_m2
10___25__,1_5___2_5,0_01___0_5__,2_5___3_5,0_5___1_5,300___349_MJ_m2,2_5___3_5,0_30_kg_m2
1___2__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_45_kg_m2
6___10__,3_5___4_5,1___2__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_45_kg_m2
6___10__,3_5___4_5,0_01___0_5__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_30_kg_m2
10___25__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_35_kg_m2
1___2__,2_5___3_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_30_kg_m2
25___50__,0_5___1_5,25___50__,2_5___3_5,0_0___0_5,300___349_MJ_m2,1_5___2_5,0_25_kg_m2
2___6__,3_5___4_5,0_00___0_01__,4_5___5_5,1_5___2_5,300___349_MJ_m2,4_5___5_5,0_70_kg_m2
10___25__,2_5___3_5,0_5___1__,4_5___5_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_50_kg_m2
2___6__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_40_kg_m2
2___6__,3_5___4_5,10___25__,___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_50_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_45_kg_m2
1___2__,1_5___2_5,6___10__,2_5___3_5,0_5___1_5,300___349_MJ_m2,2_5___3_5,0_45_kg_m2
6___10__,2_5___3_5,25___50__,___6_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_35_kg_m2
25___50__,2_5___3_5,0_5___1__,4_5___5_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_50_kg_m2
1___2__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,350___399_MJ_m2,5_5___6_5,0_45_kg_m2
25___50__,0_0___0_5,50___100__,1_5___2_5,0_0___0_5,___300_MJ_m2,0_0___0_5,0_25_kg_m2
1___2__,2_5___3_5,10___25__,5_5___6_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_50_kg_m2
25___50__,1_5___2_5,2___6__,3_5___4_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_40_kg_m2
1___2__,3_5___4_5,0_00___0_01__,___6_5,0_5___1_5,350___399_MJ_m2,___6_5,0_35_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_50_kg_m2
10___25__,3_5___4_5,0_5___1__,5_5___6_5,1_5___2_5,___300_MJ_m2,5_5___6_5,0_60_kg_m2
0_5___1__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_45_kg_m2
2___6__,2_5___3_5,1___2__,3_5___4_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_45_kg_m2
1___2__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_30_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_45_kg_m2
1___2__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,300___349_MJ_m2,5_5___6_5,0_40_kg_m2
2___6__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_30_kg_m2
10___25__,3_5___4_5,0_00___0_01__,4_5___5_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_50_kg_m2
25___50__,1_5___2_5,6___10__,3_5___4_5,0_0___0_5,300___349_MJ_m2,2_5___3_5,0_20_kg_m2
2___6__,3_5___4_5,2___6__,5_5___6_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_35_kg_m2
50___100__,1_5___2_5,0_5___1__,2_5___3_5,0_5___1_5,300___349_MJ_m2,2_5___3_5,0_40_kg_m2
0_01___0_5__,1_5___2_5,0_00___0_01__,3_5___4_5,0_0___0_5,300___349_MJ_m2,3_5___4_5,0_15_kg_m2
0_01___0_5__,4_5___5_5,0_01___0_5__,___6_5,0_5___1_5,300___349_MJ_m2,___6_5,0_50_kg_m2
0_01___0_5__,1_5___2_5,0_00___0_01__,4_5___5_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_40_kg_m2
2___6__,3_5___4_5,6___10__,5_5___6_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_45_kg_m2
10___25__,2_5___3_5,6___10__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_30_kg_m2
1___2__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_45_kg_m2
25___50__,0_5___1_5,0_01___0_5__,2_5___3_5,0_0___0_5,300___349_MJ_m2,1_5___2_5,0_00_kg_m2
2___6__,4_5___5_5,0_00___0_01__,5_5___6_5,1_5___2_5,300___349_MJ_m2,___6_5,0_60_kg_m2
2___6__,1_5___2_5,10___25__,3_5___4_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_40_kg_m2
1___2__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_30_kg_m2
0_5___1__,3_5___4_5,0_01___0_5__,___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_30_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_55_kg_m2
0_5___1__,3_5___4_5,0_5___1__,5_5___6_5,0_5___1_5,350___399_MJ_m2,5_5___6_5,0_60_kg_m2
10___25__,2_5___3_5,1___2__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_35_kg_m2
0_00___0_01__,1_5___2_5,0_00___0_01__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_50_kg_m2
25___50__,0_5___1_5,0_00___0_01__,1_5___2_5,0_0___0_5,300___349_MJ_m2,1_5___2_5,0_20_kg_m2
0_5___1__,2_5___3_5,1___2__,4_5___5_5,0_0___0_5,___300_MJ_m2,4_5___5_5,0_05_kg_m2
6___10__,2_5___3_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_45_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_50_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_60_kg_m2
6___10__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_40_kg_m2
2___6__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_25_kg_m2
25___50__,0_5___1_5,50___100__,3_5___4_5,0_0___0_5,300___349_MJ_m2,0_5___1_5,0_10_kg_m2
10___25__,1_5___2_5,0_5___1__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_55_kg_m2
0_00___0_01__,2_5___3_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_35_kg_m2
6___10__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_40_kg_m2
10___25__,2_5___3_5,0_01___0_5__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_50_kg_m2
0_01___0_5__,2_5___3_5,0_5___1__,3_5___4_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_50_kg_m2
10___25__,2_5___3_5,0_01___0_5__,3_5___4_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_55_kg_m2
1___2__,2_5___3_5,2___6__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_65_kg_m2
2___6__,1_5___2_5,0_5___1__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_50_kg_m2
0_01___0_5__,3_5___4_5,0_00___0_01__,5_5___6_5,0_5___1_5,___300_MJ_m2,5_5___6_5,0_40_kg_m2
6___10__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_40_kg_m2
50___100__,0_0___0_5,50___100__,0_0___0_5,0_0___0_5,___300_MJ_m2,0_0___0_5,0_25_kg_m2
0_5___1__,3_5___4_5,0_00___0_01__,4_5___5_5,0_5___1_5,___300_MJ_m2,4_5___5_5,0_45_kg_m2
2___6__,2_5___3_5,2___6__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_30_kg_m2
25___50__,1_5___2_5,0_00___0_01__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_40_kg_m2
25___50__,2_5___3_5,10___25__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_25_kg_m2
50___100__,0_5___1_5,1___2__,0_5___1_5,0_0___0_5,300___349_MJ_m2,0_5___1_5,0_00_kg_m2
50___100__,0_5___1_5,6___10__,0_5___1_5,0_0___0_5,___300_MJ_m2,0_5___1_5,0_00_kg_m2
0_01___0_5__,3_5___4_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_45_kg_m2
1___2__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_40_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,300___349_MJ_m2,3_5___4_5,0_50_kg_m2
50___100__,0_0___0_5,2___6__,0_0___0_5,0_0___0_5,___300_MJ_m2,0_0___0_5,0_00_kg_m2
6___10__,1_5___2_5,2___6__,4_5___5_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_60_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,350___399_MJ_m2,3_5___4_5,0_35_kg_m2
10___25__,2_5___3_5,0_00___0_01__,4_5___5_5,0_5___1_5,300___349_MJ_m2,4_5___5_5,0_35_kg_m2
1___2__,3_5___4_5,0_00___0_01__,___6_5,0_5___1_5,___300_MJ_m2,___6_5,0_35_kg_m2
0_00___0_01__,1_5___2_5,0_00___0_01__,3_5___4_5,0_0___0_5,350___399_MJ_m2,2_5___3_5,0_00_kg_m2
0_5___1__,1_5___2_5,0_00___0_01__,2_5___3_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_40_kg_m2
10___25__,1_5___2_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,2_5___3_5,0_50_kg_m2
0_01___0_5__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_50_kg_m2
0_5___1__,2_5___3_5,0_00___0_01__,3_5___4_5,0_5___1_5,___300_MJ_m2,3_5___4_5,0_35_kg_m2
