straaling_3,straaling_4,foto_3
____400_MJ_m2,300___349_MJ_m2,0_30_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,1_00_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_50_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_50_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_00_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_10_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_65_kg_m2
____400_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_45_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
___300_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_60_kg_m2
____400_MJ_m2,___300_MJ_m2,1_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_95_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_50_kg_m2
____400_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_55_kg_m2
____400_MJ_m2,___300_MJ_m2,0_60_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_55_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_05_kg_m2
300___349_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
___300_MJ_m2,350___399_MJ_m2,0_60_kg_m2
____400_MJ_m2,___300_MJ_m2,1_00_kg_m2
___300_MJ_m2,350___399_MJ_m2,0_65_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_00_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_05_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_60_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,1_00_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_45_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
___300_MJ_m2,350___399_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_35_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_65_kg_m2
____400_MJ_m2,___300_MJ_m2,1_05_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_50_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_50_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_90_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
____400_MJ_m2,___300_MJ_m2,0_15_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_55_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_65_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_15_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,350___399_MJ_m2,1_05_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
___300_MJ_m2,___300_MJ_m2,0_50_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_15_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_00_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_00_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
___300_MJ_m2,___300_MJ_m2,0_25_kg_m2
300___349_MJ_m2,___300_MJ_m2,1_00_kg_m2
____400_MJ_m2,350___399_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_40_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
____400_MJ_m2,___300_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,350___399_MJ_m2,1_00_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_45_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_35_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_70_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_85_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,____400_MJ_m2,0_70_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_00_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_75_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_85_kg_m2
____400_MJ_m2,___300_MJ_m2,1_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_40_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_45_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_70_kg_m2
____400_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_20_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_85_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_60_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_90_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
____400_MJ_m2,350___399_MJ_m2,0_90_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_35_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_65_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_50_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_25_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_85_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_10_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_35_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_30_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_10_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_55_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_95_kg_m2
____400_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_95_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_90_kg_m2
____400_MJ_m2,300___349_MJ_m2,1_05_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_35_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_70_kg_m2
____400_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_15_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_90_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_50_kg_m2
___300_MJ_m2,350___399_MJ_m2,0_60_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_65_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_60_kg_m2
___300_MJ_m2,300___349_MJ_m2,0_50_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_00_kg_m2
____400_MJ_m2,300___349_MJ_m2,1_15_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_40_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_35_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_75_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
___300_MJ_m2,___300_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_00_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_70_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_05_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_00_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_50_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,1_00_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
____400_MJ_m2,300___349_MJ_m2,1_10_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_60_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_85_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_80_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_70_kg_m2
____400_MJ_m2,300___349_MJ_m2,0_60_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_50_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
___300_MJ_m2,350___399_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_80_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_30_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_90_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_70_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_85_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_95_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_50_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_90_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_40_kg_m2
____400_MJ_m2,___300_MJ_m2,0_75_kg_m2
____400_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_90_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_70_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_75_kg_m2
___300_MJ_m2,___300_MJ_m2,0_45_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_55_kg_m2
300___349_MJ_m2,300___349_MJ_m2,1_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_90_kg_m2
350___399_MJ_m2,___300_MJ_m2,0_80_kg_m2
___300_MJ_m2,___300_MJ_m2,0_70_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_80_kg_m2
350___399_MJ_m2,350___399_MJ_m2,0_75_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_55_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_55_kg_m2
300___349_MJ_m2,300___349_MJ_m2,0_65_kg_m2
300___349_MJ_m2,350___399_MJ_m2,0_80_kg_m2
350___399_MJ_m2,___300_MJ_m2,1_05_kg_m2
350___399_MJ_m2,300___349_MJ_m2,0_95_kg_m2
300___349_MJ_m2,___300_MJ_m2,0_60_kg_m2
