B,K,N,S,V,X,Y
F,course,3,no,yes,4,2
F,reputation,2,yes,yes,5,4
F,course,1,no,yes,3,2
F,course,1,yes,yes,4,3
F,course,1,no,yes,3,4
F,course,1,no,yes,3,2
M,course,1,no,no,3,2
F,home,1,no,no,5,3
M,course,2,no,no,5,3
F,course,3,yes,yes,4,3
M,course,2,no,no,5,4
F,course,2,no,no,5,1
M,course,1,yes,yes,3,3
F,course,3,yes,yes,4,3
F,reputation,1,yes,no,3,3
F,course,1,yes,yes,4,3
M,course,2,no,no,4,4
F,course,1,yes,yes,4,3
F,course,1,yes,yes,5,5
M,course,4,no,yes,2,2
F,home,2,no,no,1,3
M,course,3,yes,yes,5,3
M,reputation,1,yes,yes,2,3
F,course,3,yes,yes,4,2
F,course,1,no,yes,3,4
M,home,1,no,yes,5,4
F,course,2,no,yes,4,4
F,home,1,yes,yes,4,4
F,home,2,no,yes,3,3
F,course,2,no,yes,4,3
F,course,2,no,no,2,3
M,course,1,no,yes,3,3
M,course,1,no,yes,4,5
M,course,1,no,yes,2,3
M,course,1,yes,no,4,4
F,reputation,3,yes,yes,4,2
M,home,1,no,yes,4,5
F,course,1,no,no,4,2
M,course,2,yes,no,4,4
M,reputation,1,no,no,2,2
F,course,1,yes,no,5,2
M,course,1,no,no,4,2
M,course,2,no,yes,4,5
M,course,1,no,yes,4,4
M,course,1,yes,yes,3,3
M,course,2,no,yes,4,4
M,course,1,yes,no,4,4
M,course,1,no,yes,5,3
M,course,2,yes,no,5,3
M,course,1,yes,no,4,5
M,course,2,no,yes,4,3
F,home,2,no,yes,4,2
F,home,2,no,yes,5,1
F,reputation,2,no,yes,4,4
M,course,1,yes,yes,3,4
M,reputation,2,yes,yes,4,3
M,reputation,2,yes,yes,4,4
F,home,2,yes,yes,4,3
F,reputation,2,yes,yes,4,4
M,course,2,yes,yes,4,4
F,reputation,2,yes,yes,3,4
M,reputation,2,yes,yes,4,3
M,other,1,yes,yes,4,3
M,course,2,yes,yes,5,2
M,home,2,yes,yes,3,4
M,home,2,yes,yes,4,2
F,reputation,2,yes,no,5,4
F,reputation,2,yes,yes,5,3
F,reputation,2,no,yes,1,2
M,other,2,yes,yes,4,3
M,other,1,yes,yes,3,3
M,course,2,yes,yes,4,2
F,reputation,2,no,yes,3,3
M,home,2,no,no,3,1
F,course,2,no,yes,4,3
F,course,2,yes,yes,5,3
M,other,2,yes,yes,4,4
M,reputation,1,yes,yes,4,3
M,home,1,no,yes,5,3
F,course,2,yes,yes,4,3
M,home,1,no,yes,5,2
M,home,1,yes,yes,3,3
F,home,1,no,yes,4,2
F,reputation,2,no,yes,4,5
F,home,2,yes,yes,4,3
F,reputation,2,yes,no,4,4
F,course,2,no,no,4,4
F,reputation,1,no,yes,5,3
F,reputation,4,yes,yes,5,3
F,home,3,no,yes,4,4
F,course,2,no,yes,2,3
F,other,2,yes,yes,1,3
F,home,1,no,no,4,3
F,reputation,3,yes,yes,4,4
F,reputation,4,yes,yes,4,3
M,home,2,no,yes,5,3
F,reputation,2,no,yes,3,3
M,home,2,yes,yes,4,4
F,other,1,no,no,5,2
F,reputation,2,no,yes,4,4
F,reputation,2,no,yes,3,4
M,home,2,no,yes,3,2
F,home,1,no,no,3,3
F,course,3,yes,yes,4,3
F,reputation,2,yes,yes,4,2
F,reputation,3,yes,no,4,3
F,other,2,no,yes,2,3
M,home,2,no,yes,3,3
F,home,3,yes,yes,5,3
F,reputation,2,yes,yes,5,3
F,course,2,yes,yes,5,3
M,reputation,2,no,yes,5,3
M,course,2,yes,yes,4,3
F,course,3,yes,yes,3,2
F,reputation,2,yes,yes,3,2
M,course,2,yes,yes,4,5
M,reputation,2,yes,yes,4,5
M,reputation,2,yes,yes,4,2
M,home,2,no,yes,3,4
M,reputation,3,yes,yes,5,3
M,home,2,yes,yes,4,4
F,home,1,no,yes,4,5
F,home,2,yes,yes,5,3
F,course,2,no,yes,4,3
F,course,2,no,yes,5,3
F,course,1,no,yes,4,1
M,course,1,yes,yes,4,4
M,course,1,yes,yes,4,2
F,course,2,yes,no,5,4
F,course,3,yes,yes,4,3
F,course,1,no,yes,5,3
F,course,2,yes,no,2,1
F,course,1,no,yes,5,5
M,reputation,2,no,yes,5,5
F,home,1,no,yes,3,1
F,course,3,yes,yes,4,3
F,course,2,yes,no,4,3
M,course,2,yes,yes,2,5
M,course,2,no,yes,3,3
M,course,1,yes,yes,5,4
M,course,1,yes,yes,5,3
F,course,2,no,yes,5,3
M,home,3,no,yes,4,3
F,home,3,no,yes,4,2
F,course,2,no,no,4,3
F,course,3,no,yes,4,4
M,course,1,no,yes,4,3
F,course,2,no,no,4,3
M,course,1,no,yes,5,2
M,other,1,no,yes,5,4
M,course,2,no,yes,4,3
M,other,1,no,yes,4,3
M,course,1,no,yes,4,4
M,reputation,2,no,yes,5,3
M,other,1,no,yes,3,2
M,course,1,yes,no,3,3
M,course,1,no,yes,4,4
M,course,1,yes,yes,4,4
F,course,2,no,yes,4,3
F,reputation,4,yes,yes,4,2
F,home,2,no,yes,4,3
M,course,2,yes,yes,4,4
F,course,3,yes,yes,4,3
F,home,3,no,no,4,4
F,home,2,no,no,3,2
M,reputation,2,no,yes,4,3
M,home,2,yes,yes,5,2
M,other,1,no,no,5,2
F,course,4,yes,yes,3,4
F,course,2,yes,yes,1,2
F,home,2,no,yes,3,1
M,course,2,no,yes,4,3
M,course,3,yes,no,5,3
F,home,3,yes,no,3,2
F,home,3,yes,yes,4,3
M,home,1,no,yes,4,4
M,reputation,2,yes,yes,4,2
M,other,2,yes,yes,5,4
F,reputation,2,yes,yes,4,3
M,reputation,2,yes,yes,5,4
F,reputation,2,no,yes,4,3
F,home,2,yes,yes,4,3
F,reputation,4,yes,yes,4,5
F,home,2,no,no,4,4
M,home,2,yes,no,3,5
F,home,2,no,yes,4,2
F,reputation,2,no,yes,4,3
F,course,2,no,yes,4,4
F,home,2,no,yes,4,1
M,home,1,yes,yes,3,2
F,reputation,2,yes,yes,2,4
F,reputation,3,no,yes,4,2
F,reputation,2,no,yes,3,3
M,course,1,yes,yes,4,2
M,home,1,no,yes,3,4
M,home,1,yes,yes,4,5
M,home,1,no,yes,4,4
F,reputation,4,yes,no,5,2
F,home,2,yes,yes,5,4
F,course,2,no,yes,5,4
F,reputation,2,yes,yes,4,3
M,reputation,2,no,yes,4,3
F,other,3,no,yes,4,3
F,reputation,3,no,yes,4,3
M,reputation,3,yes,yes,4,2
M,reputation,2,yes,yes,5,4
M,home,2,yes,yes,4,3
F,reputation,3,no,yes,4,2
F,reputation,4,no,no,3,1
M,reputation,3,yes,yes,5,4
M,home,1,no,yes,4,4
F,reputation,2,yes,yes,2,3
F,home,2,no,yes,4,4
F,reputation,4,no,yes,4,3
M,home,1,no,yes,1,4
F,home,2,no,yes,4,2
M,home,1,no,yes,4,1
F,reputation,3,yes,yes,5,3
F,reputation,3,no,yes,4,3
F,reputation,4,yes,yes,5,2
M,course,3,yes,yes,4,3
M,course,1,yes,no,5,5
M,reputation,2,yes,no,4,5
F,home,2,no,no,3,4
F,course,2,yes,yes,5,3
F,course,2,yes,yes,4,2
F,course,1,yes,yes,4,4
F,course,3,yes,yes,4,3
F,course,1,no,yes,3,2
F,course,3,yes,yes,4,3
F,course,2,no,yes,4,1
M,course,2,yes,yes,5,4
F,course,2,no,yes,4,4
F,course,1,yes,yes,5,4
F,course,1,yes,yes,5,3
F,course,2,no,yes,5,2
F,home,2,no,yes,5,3
F,home,2,yes,yes,4,2
M,reputation,1,no,yes,4,2
F,course,3,yes,no,1,5
F,course,2,no,yes,5,3
F,course,1,yes,yes,4,3
F,course,2,no,no,4,2
F,course,3,yes,yes,3,3
F,course,3,no,yes,3,4
F,home,3,no,yes,3,3
F,home,3,yes,yes,4,5
M,course,3,yes,yes,4,3
M,reputation,1,yes,yes,4,3
M,course,1,no,yes,4,4
F,course,3,yes,yes,5,4
F,course,3,no,yes,4,3
F,course,1,yes,yes,4,2
M,course,4,yes,yes,4,5
M,home,1,no,no,5,3
F,course,2,yes,no,4,2
F,course,3,no,yes,4,4
M,reputation,1,no,yes,5,4
F,home,2,yes,yes,5,3
F,home,2,yes,yes,4,3
F,course,4,yes,no,4,4
F,course,3,no,yes,4,4
F,home,2,no,yes,4,3
F,home,4,no,yes,5,3
F,home,2,no,yes,4,3
M,home,2,yes,yes,4,3
M,home,2,yes,yes,4,3
F,home,2,no,yes,3,3
F,course,3,no,yes,4,3
F,other,3,no,yes,5,4
M,course,3,no,yes,5,3
M,course,3,no,yes,5,4
F,reputation,3,yes,yes,4,4
F,course,2,yes,yes,4,3
F,reputation,2,yes,yes,4,3
F,home,1,no,yes,2,2
F,home,1,no,yes,4,1
F,reputation,3,yes,yes,3,3
M,reputation,2,yes,yes,4,4
M,reputation,2,yes,yes,4,3
F,reputation,2,yes,yes,4,3
M,reputation,3,no,yes,4,4
F,course,2,yes,yes,4,2
M,course,2,yes,yes,5,3
F,reputation,3,no,yes,3,2
F,home,1,no,yes,3,2
M,reputation,2,no,yes,4,4
F,reputation,3,no,yes,4,3
M,reputation,1,no,yes,3,1
M,reputation,1,no,yes,5,3
F,reputation,2,no,yes,4,1
F,reputation,1,no,yes,5,3
F,home,2,yes,yes,3,1
F,other,1,no,yes,4,3
F,course,2,yes,yes,4,4
F,other,1,no,no,4,1
F,course,1,no,yes,5,4
F,course,2,no,no,4,5
F,home,1,no,no,1,3
M,home,2,no,no,5,3
M,other,3,no,yes,4,4
F,course,2,no,no,4,5
F,other,1,no,yes,5,4
F,course,1,no,yes,1,5
F,reputation,4,yes,no,1,2
F,reputation,2,no,yes,5,4
F,course,1,no,yes,4,4
F,other,1,yes,no,3,2
F,course,1,no,yes,5,5
F,course,1,no,yes,4,1
M,home,2,yes,no,5,4
M,home,2,no,yes,4,4
M,reputation,2,yes,yes,5,3
M,reputation,2,yes,yes,5,3
M,other,2,no,no,3,4
M,course,2,yes,no,5,4
M,reputation,2,yes,yes,5,3
M,other,1,yes,no,5,5
F,course,3,yes,yes,4,2
F,course,1,no,no,5,1
F,course,2,no,yes,4,5
M,course,2,no,no,4,3
F,course,2,no,yes,4,4
F,course,3,no,no,1,3
F,course,3,no,no,1,3
F,home,2,no,yes,4,4
F,course,2,no,no,5,4
M,reputation,1,yes,yes,5,5
F,home,4,no,yes,4,3
F,other,3,no,no,4,4
F,home,2,yes,yes,4,3
F,other,1,yes,yes,4,2
F,course,2,no,no,4,2
F,other,3,no,no,4,4
M,other,1,yes,no,3,4
F,course,2,yes,yes,3,4
M,home,1,no,no,3,2
F,course,2,yes,yes,5,3
M,reputation,1,no,no,4,3
M,course,2,yes,no,4,3
F,reputation,2,no,yes,4,5
F,course,2,yes,no,4,4
F,home,1,yes,no,4,3
M,course,1,yes,yes,2,4
M,reputation,1,yes,yes,4,2
F,course,3,yes,no,5,3
F,home,1,no,yes,5,4
M,course,1,yes,yes,4,3
F,course,2,no,no,3,4
F,course,1,yes,no,4,5
F,course,1,no,yes,4,4
F,course,1,yes,no,5,5
F,course,1,no,no,5,2
F,course,2,no,yes,3,4
F,home,1,no,no,4,3
F,course,2,no,yes,4,3
F,course,1,yes,yes,4,4
F,course,3,no,no,3,3
F,course,3,yes,no,5,3
M,home,1,yes,yes,4,4
F,course,1,no,yes,3,2
F,course,2,no,yes,1,1
F,course,2,no,no,3,3
F,course,1,yes,no,2,4
F,course,2,yes,yes,4,4
F,reputation,1,yes,yes,4,5
F,home,1,yes,yes,4,4
M,course,4,yes,no,5,4
F,course,2,yes,yes,5,3
F,course,1,yes,no,4,2
M,course,1,yes,yes,5,3
M,course,1,yes,yes,4,2
M,other,4,no,no,1,3
F,course,4,yes,yes,2,2
F,home,3,no,yes,5,4
F,reputation,1,yes,yes,4,4
F,other,2,yes,yes,3,3
F,course,3,no,no,4,3
M,course,1,no,yes,4,4
F,course,2,no,no,5,3
F,reputation,2,yes,no,5,3
F,other,2,no,yes,4,4
F,other,2,no,yes,4,3
F,course,1,yes,yes,3,1
F,course,1,no,yes,3,1
F,reputation,2,no,no,2,3
F,reputation,2,yes,yes,4,3
F,reputation,1,yes,yes,5,4
F,reputation,2,no,yes,2,3
M,reputation,2,yes,yes,5,2
F,other,2,no,yes,4,3
F,other,2,yes,yes,3,3
F,course,2,no,yes,4,3
M,home,4,yes,yes,5,5
F,other,2,no,no,4,2
M,home,3,no,yes,4,4
F,other,1,no,yes,4,2
M,other,3,no,no,5,1
F,other,1,no,yes,5,1
F,other,1,no,no,5,1
M,home,1,yes,yes,4,1
M,other,2,no,yes,5,1
M,other,2,no,yes,4,2
F,other,2,no,yes,3,2
M,other,1,no,yes,4,1
M,course,2,yes,no,5,5
M,reputation,4,yes,no,5,4
M,course,1,yes,yes,4,3
F,course,3,no,no,4,3
F,home,2,yes,yes,1,2
F,home,1,no,no,4,3
F,other,2,no,no,5,1
F,course,3,no,yes,5,3
M,course,1,yes,yes,3,3
M,course,1,yes,no,5,1
M,other,2,yes,yes,5,4
F,course,2,no,yes,5,2
M,other,1,no,yes,4,1
F,other,2,yes,yes,4,5
F,course,2,no,yes,4,3
M,course,2,no,yes,4,1
M,other,2,no,yes,4,1
M,other,2,yes,yes,4,4
M,home,1,no,no,4,1
F,course,1,yes,yes,3,5
F,home,3,no,yes,4,3
M,course,1,no,no,4,4
F,course,2,yes,yes,5,4
M,course,1,yes,no,5,5
M,course,1,no,no,4,3
M,course,1,yes,yes,4,5
M,course,2,yes,no,4,3
F,course,2,yes,no,5,4
M,course,1,yes,no,1,2
M,course,1,no,yes,4,5
M,course,1,yes,yes,4,5
M,course,1,no,yes,5,3
M,course,1,no,yes,2,3
M,course,1,yes,no,3,2
M,course,2,yes,yes,4,4
M,course,1,yes,yes,5,4
M,course,1,yes,yes,4,4
F,course,2,yes,no,2,5
F,course,1,yes,no,4,3
M,course,1,no,yes,4,4
F,course,1,no,yes,5,4
M,course,1,no,yes,2,5
M,home,2,no,yes,5,4
M,course,2,no,yes,4,5
M,course,1,no,yes,4,3
M,home,1,no,yes,4,4
F,course,2,no,no,4,3
F,course,1,no,no,1,4
F,other,1,no,yes,5,5
F,course,1,no,yes,4,4
F,course,3,no,no,4,2
F,home,2,yes,yes,5,5
F,course,2,yes,yes,2,3
F,course,1,no,no,3,2
F,course,1,no,yes,5,5
F,course,2,yes,no,3,4
F,reputation,2,yes,yes,4,3
F,course,1,no,yes,4,4
F,reputation,2,no,yes,4,4
F,reputation,2,yes,yes,4,3
M,reputation,1,yes,yes,5,4
F,course,2,no,yes,4,3
F,course,2,yes,no,4,3
M,home,1,no,no,4,1
M,other,1,yes,yes,2,5
M,other,1,no,no,4,2
F,course,2,no,yes,1,3
F,course,3,no,yes,5,4
F,reputation,2,yes,yes,5,3
F,course,2,no,no,4,4
F,other,1,no,no,5,5
F,course,4,no,yes,4,2
F,reputation,2,yes,yes,5,3
F,course,2,no,no,5,2
F,course,2,no,no,4,1
F,course,2,yes,no,3,5
F,home,3,no,yes,4,2
M,home,2,yes,yes,4,5
F,course,2,no,no,5,3
F,other,2,yes,yes,4,3
F,reputation,2,no,no,1,2
M,home,1,no,yes,3,3
F,course,3,no,yes,5,3
F,course,2,no,no,4,3
F,other,2,no,yes,4,3
F,course,2,yes,yes,2,3
F,course,2,no,no,3,2
M,course,2,no,no,3,3
M,other,3,no,yes,4,2
F,reputation,1,no,yes,5,2
F,course,1,no,yes,5,2
F,other,2,no,yes,3,2
M,other,1,yes,yes,4,3
F,home,3,yes,no,3,4
F,course,1,yes,yes,3,5
F,reputation,3,no,yes,5,4
F,home,3,no,yes,4,3
F,course,2,no,yes,4,3
F,course,2,yes,yes,5,4
F,home,2,no,yes,4,1
F,reputation,2,yes,yes,4,5
M,home,2,yes,yes,3,2
M,other,1,yes,yes,4,4
M,home,2,yes,yes,4,4
M,other,1,no,no,4,3
M,home,1,no,no,5,4
F,other,3,no,no,5,3
F,other,2,no,yes,5,5
F,reputation,1,yes,yes,4,4
F,course,3,yes,yes,5,4
F,course,2,no,yes,4,3
F,course,2,yes,no,1,1
M,course,1,no,yes,2,4
M,course,1,no,yes,4,4
F,course,2,no,no,4,3
F,course,2,no,yes,5,3
F,other,2,no,yes,4,3
F,home,3,yes,yes,3,2
F,home,2,no,no,4,3
M,reputation,2,yes,yes,5,4
M,home,2,no,yes,4,4
F,home,2,no,no,4,1
M,home,2,no,yes,4,2
M,home,2,yes,yes,5,5
F,reputation,2,no,yes,3,3
F,reputation,3,yes,yes,5,2
M,course,1,yes,yes,4,3
M,course,2,no,yes,5,4
M,home,3,no,yes,4,5
F,home,1,no,yes,4,4
F,reputation,3,yes,yes,3,2
F,reputation,2,yes,no,5,3
M,course,1,yes,yes,5,5
M,home,1,yes,yes,3,1
M,reputation,2,no,yes,4,4
M,other,1,no,yes,5,4
M,course,2,yes,yes,4,5
M,reputation,2,yes,yes,5,4
F,course,3,yes,yes,4,3
F,home,1,no,yes,1,2
M,home,1,no,yes,4,2
M,other,1,no,yes,2,2
M,home,2,yes,yes,5,3
M,home,2,yes,yes,4,4
M,home,2,no,yes,5,4
M,reputation,2,yes,yes,4,3
M,course,2,yes,yes,4,5
M,course,2,yes,yes,5,3
M,home,1,no,yes,5,4
F,other,1,yes,no,3,5
M,home,3,yes,yes,5,4
M,reputation,3,yes,yes,2,4
F,course,3,yes,yes,4,3
F,reputation,1,yes,no,4,3
F,home,2,yes,yes,3,3
M,home,1,no,yes,5,4
M,course,2,yes,yes,4,3
M,course,1,no,yes,5,4
F,course,2,yes,yes,4,3
F,course,2,yes,yes,5,2
F,home,2,no,yes,2,3
M,reputation,4,yes,yes,4,2
M,home,2,no,no,4,3
F,other,2,yes,yes,4,4
F,course,2,no,yes,4,3
F,other,2,no,yes,4,3
M,other,1,no,no,5,5
F,course,1,no,yes,3,3
F,other,1,no,yes,5,3
F,other,2,yes,yes,5,3
F,reputation,2,yes,yes,4,3
M,reputation,2,yes,no,3,2
M,home,2,yes,yes,4,3
F,course,2,no,yes,4,2
F,other,2,yes,no,2,4
F,course,1,yes,yes,5,5
F,reputation,2,yes,yes,4,4
F,home,3,yes,yes,3,4
F,reputation,2,yes,yes,4,4
F,course,2,yes,yes,5,4
M,reputation,4,yes,yes,1,3
F,course,4,no,yes,4,3
F,reputation,2,no,yes,4,1
F,reputation,4,no,yes,4,4
M,reputation,4,no,yes,4,3
M,course,4,no,yes,3,3
F,reputation,2,no,yes,3,3
M,reputation,1,yes,no,5,3
F,home,2,yes,yes,4,3
M,home,2,yes,yes,4,3
M,course,4,yes,yes,3,4
F,reputation,4,no,yes,5,2
M,home,1,yes,yes,4,5
F,course,2,no,yes,2,4
M,course,1,yes,yes,3,2
M,home,3,no,yes,5,3
F,reputation,2,no,yes,4,4
M,home,2,yes,yes,5,3
F,home,2,yes,yes,4,3
F,reputation,2,no,yes,4,4
F,course,2,no,no,4,3
F,reputation,3,yes,yes,5,3
M,reputation,2,yes,yes,4,4
M,reputation,2,no,no,4,1
F,home,3,no,yes,4,3
F,reputation,1,yes,yes,4,5
F,home,2,no,no,3,3
F,home,2,yes,yes,5,3
M,reputation,4,yes,yes,4,3
F,home,4,yes,yes,3,1
M,reputation,1,yes,yes,3,3
F,course,2,no,no,4,3
F,reputation,1,yes,yes,5,3
F,course,3,no,yes,5,3
M,other,1,yes,yes,4,5
M,other,3,yes,yes,4,4
M,course,1,yes,yes,5,3
F,home,2,no,yes,4,3
M,course,2,yes,yes,5,4
F,reputation,4,no,no,4,3
F,course,4,no,yes,5,1
M,home,3,yes,yes,5,3
M,home,4,yes,yes,1,3
F,other,3,yes,yes,5,4
M,course,1,yes,yes,5,5
F,reputation,3,yes,yes,4,1
F,home,2,yes,yes,3,1
M,course,1,no,yes,3,5
M,reputation,2,yes,yes,5,4
M,course,2,yes,yes,5,4
M,reputation,2,yes,no,4,4
M,home,1,yes,yes,5,4
M,course,2,yes,yes,5,2
M,reputation,1,no,yes,3,4
F,course,2,no,yes,3,2
M,home,4,yes,yes,5,5
F,course,2,yes,yes,4,2
M,course,1,yes,yes,3,4
F,home,2,no,yes,5,4
M,home,1,no,yes,5,5
F,home,2,yes,yes,5,3
F,course,2,no,no,3,4
M,reputation,1,yes,yes,3,3
M,course,1,yes,yes,3,5
F,course,3,no,yes,4,2
F,course,1,yes,yes,4,3
F,course,1,no,yes,3,4
F,course,1,no,yes,3,2
M,course,2,no,no,5,3
F,course,3,yes,yes,4,3
M,course,2,no,no,5,4
F,course,1,yes,yes,4,3
M,course,2,no,no,4,4
F,course,1,yes,yes,4,3
M,course,4,no,yes,2,2
M,reputation,1,yes,yes,2,3
F,course,3,yes,yes,4,2
F,course,1,no,yes,3,4
M,home,1,no,yes,5,4
F,course,2,no,yes,4,4
F,home,2,no,yes,3,3
F,course,2,no,yes,4,3
M,course,1,no,yes,3,3
M,course,1,no,yes,4,5
M,course,1,no,yes,2,3
M,course,1,yes,no,4,4
F,reputation,3,yes,yes,4,2
M,home,1,no,yes,4,5
F,course,1,no,no,4,2
M,course,2,yes,no,4,4
M,reputation,1,no,no,2,2
F,course,1,yes,no,5,2
M,course,1,no,no,4,2
M,course,2,no,yes,4,5
M,course,1,yes,yes,3,3
M,course,2,no,yes,4,4
M,course,1,yes,no,4,4
M,course,1,no,yes,5,3
M,course,2,yes,no,5,3
M,course,1,yes,no,4,5
M,course,2,no,yes,4,3
F,home,2,no,yes,4,2
F,home,2,no,yes,5,1
F,reputation,2,no,yes,4,4
M,course,1,yes,yes,3,4
M,reputation,2,yes,yes,4,3
M,reputation,2,yes,yes,4,4
F,home,2,yes,yes,4,3
F,reputation,2,yes,yes,4,4
M,course,2,yes,yes,4,4
F,reputation,2,yes,yes,3,4
M,reputation,2,yes,yes,4,3
M,other,1,yes,yes,4,3
M,course,2,yes,yes,5,2
M,home,2,yes,yes,3,4
M,home,2,yes,yes,4,2
F,reputation,2,yes,no,5,4
F,reputation,2,yes,yes,5,3
F,reputation,2,no,yes,1,2
M,other,2,yes,yes,4,3
M,other,1,yes,yes,3,3
M,course,2,yes,yes,4,2
F,reputation,2,no,yes,3,3
M,home,2,no,no,3,1
F,course,2,no,yes,4,3
F,course,2,yes,yes,5,3
M,other,2,yes,yes,4,4
M,reputation,1,yes,yes,4,3
M,home,1,no,yes,5,3
F,course,2,yes,yes,4,3
M,home,1,no,yes,5,2
M,home,1,yes,yes,3,3
F,home,1,no,yes,4,2
F,reputation,2,no,yes,4,5
F,home,2,yes,yes,4,3
F,reputation,2,yes,no,4,4
F,course,2,no,no,4,4
F,reputation,1,no,yes,5,3
F,reputation,4,yes,yes,5,3
F,home,3,no,yes,4,4
F,course,2,no,yes,2,3
F,other,2,yes,yes,1,3
F,home,1,no,no,4,3
F,reputation,3,yes,yes,4,4
F,reputation,4,yes,yes,4,3
M,home,2,no,yes,5,3
F,reputation,2,no,yes,3,3
M,home,2,yes,yes,4,4
F,other,1,no,no,5,2
F,reputation,2,no,yes,4,4
F,reputation,2,no,yes,3,4
M,home,2,no,yes,3,2
F,home,1,no,no,3,3
F,course,3,yes,yes,4,3
F,reputation,2,yes,yes,4,2
F,reputation,3,yes,no,4,3
F,other,2,no,yes,2,3
M,home,2,no,yes,3,3
F,home,3,yes,yes,5,3
F,reputation,2,yes,yes,5,3
F,course,2,yes,yes,5,3
M,reputation,2,no,yes,5,3
M,course,2,yes,yes,4,3
F,course,3,yes,yes,3,2
F,reputation,2,yes,yes,3,2
M,course,2,yes,yes,4,5
M,reputation,2,yes,yes,4,5
M,reputation,2,yes,yes,4,2
M,home,2,no,yes,3,4
M,reputation,3,yes,yes,5,3
