A,B,D,E,G,H,I,J,N,Q,R,T,V
GP,F,U,LE3,2,2,services,services,2,yes,no,yes,yes
GP,F,U,LE3,4,2,health,other,2,yes,no,yes,yes
GP,M,U,LE3,4,2,health,health,1,no,no,yes,no
GP,F,U,GT3,4,4,services,services,1,yes,no,yes,yes
GP,F,U,LE3,3,3,other,other,1,no,no,yes,yes
GP,F,U,GT3,2,1,other,other,2,no,no,yes,yes
GP,F,U,GT3,4,3,services,services,2,yes,no,yes,yes
GP,M,U,GT3,4,4,teacher,health,2,yes,no,yes,no
GP,M,U,LE3,1,2,other,at_home,2,yes,no,yes,yes
GP,F,U,GT3,4,2,services,other,2,yes,yes,yes,yes
GP,F,R,GT3,4,4,health,teacher,2,yes,no,yes,no
GP,F,U,GT3,1,1,services,services,1,yes,no,no,yes
GP,F,U,LE3,1,2,other,services,2,no,no,yes,yes
GP,F,U,GT3,4,3,teacher,health,3,yes,no,yes,yes
GP,F,U,LE3,4,3,services,services,2,no,no,yes,yes
GP,F,U,LE3,4,3,teacher,services,2,yes,no,yes,yes
GP,M,U,GT3,4,4,other,services,4,yes,no,no,yes
GP,F,U,GT3,3,1,services,other,4,yes,no,yes,yes
GP,F,R,LE3,2,2,health,services,2,yes,no,yes,yes
GP,F,R,LE3,3,1,other,other,4,yes,no,no,yes
GP,M,U,GT3,3,1,other,other,4,yes,no,yes,yes
GP,M,U,GT3,4,2,other,other,4,no,no,yes,yes
GP,F,R,GT3,1,1,other,other,2,yes,no,no,yes
GP,M,U,GT3,3,1,other,other,1,no,no,yes,no
GP,F,U,GT3,3,3,other,services,2,yes,no,yes,yes
GP,M,U,GT3,4,3,teacher,other,2,yes,no,yes,yes
GP,M,U,GT3,4,0,teacher,other,4,no,no,yes,yes
GP,F,U,GT3,2,2,other,other,4,no,no,yes,yes
GP,M,U,GT3,2,1,other,other,1,yes,no,yes,yes
GP,F,U,GT3,3,4,at_home,other,2,yes,no,yes,yes
GP,M,U,GT3,2,3,other,services,1,yes,no,no,yes
GP,M,U,GT3,2,3,other,other,3,no,no,no,yes
GP,F,U,LE3,3,2,services,other,2,yes,no,yes,yes
GP,M,U,LE3,2,2,services,services,2,no,yes,yes,yes
GP,F,U,GT3,1,1,other,other,2,yes,no,no,yes
GP,F,U,GT3,4,4,services,services,2,no,no,yes,yes
GP,F,U,LE3,2,2,at_home,other,2,yes,no,yes,no
GP,F,U,GT3,4,2,other,other,3,yes,no,yes,yes
GP,M,U,GT3,2,2,services,other,2,no,no,no,yes
GP,M,U,LE3,4,4,teacher,health,2,yes,no,yes,no
GP,F,U,GT3,3,3,other,other,3,yes,no,yes,yes
GP,F,U,GT3,4,3,services,other,1,no,no,yes,yes
GP,F,U,LE3,3,1,other,other,2,yes,no,yes,no
GP,F,U,GT3,4,2,teacher,services,2,yes,no,yes,yes
GP,M,U,LE3,2,2,services,health,4,yes,no,yes,yes
GP,F,R,GT3,1,1,at_home,other,4,yes,yes,yes,yes
GP,M,R,GT3,4,3,services,other,1,yes,yes,no,yes
GP,F,U,GT3,2,1,other,other,2,yes,no,yes,no
GP,F,U,GT3,4,4,other,other,1,no,no,no,yes
GP,F,U,GT3,4,3,other,at_home,3,yes,no,yes,yes
GP,M,U,GT3,4,4,services,services,1,yes,no,yes,yes
GP,M,U,GT3,4,4,services,teacher,3,yes,no,yes,yes
GP,M,U,GT3,4,4,services,other,1,yes,yes,no,yes
GP,F,U,GT3,3,2,services,other,2,yes,no,yes,yes
GP,M,U,GT3,3,4,services,other,2,yes,no,yes,yes
GP,F,U,GT3,3,3,other,health,4,no,no,yes,no
GP,F,U,GT3,2,2,other,other,4,yes,no,yes,yes
GP,M,U,GT3,3,3,services,other,3,yes,no,yes,yes
GP,M,R,GT3,4,4,other,other,4,yes,no,yes,yes
GP,F,U,LE3,4,4,health,health,3,yes,no,yes,yes
GP,M,U,LE3,4,4,teacher,teacher,1,no,no,yes,yes
GP,F,R,GT3,3,3,services,other,3,yes,no,yes,yes
GP,F,U,GT3,2,2,at_home,other,2,no,no,yes,yes
GP,M,U,LE3,4,2,teacher,other,1,no,no,yes,yes
GP,M,R,GT3,2,1,health,services,2,no,no,yes,yes
GP,M,U,GT3,4,4,teacher,teacher,2,yes,no,yes,yes
GP,M,U,GT3,4,4,other,teacher,2,yes,no,yes,no
GP,M,U,GT3,3,3,other,services,1,no,no,yes,yes
GP,M,R,GT3,1,3,other,other,2,yes,no,yes,yes
GP,M,U,GT3,3,4,other,other,1,no,no,yes,yes
GP,F,U,GT3,1,2,at_home,services,2,no,no,no,yes
GP,M,U,GT3,2,2,services,services,4,yes,no,yes,yes
GP,F,U,LE3,2,4,other,health,2,yes,no,yes,yes
GP,M,U,GT3,4,4,health,other,1,yes,no,yes,yes
GP,F,U,GT3,2,2,other,other,2,no,no,yes,yes
GP,M,U,GT3,3,4,services,services,1,no,no,yes,yes
GP,F,U,LE3,3,4,other,other,2,no,no,yes,yes
GP,F,U,GT3,0,1,at_home,other,2,yes,no,no,no
GP,M,R,GT3,4,4,teacher,teacher,1,no,no,yes,yes
GP,M,U,GT3,2,3,other,other,3,yes,no,no,yes
GP,F,R,GT3,3,4,services,teacher,3,yes,no,yes,yes
GP,F,U,GT3,2,1,services,other,2,yes,no,yes,yes
GP,F,U,LE3,2,1,other,other,1,yes,no,yes,yes
GP,F,U,GT3,1,1,at_home,other,1,yes,no,no,yes
GP,F,U,LE3,2,2,other,other,1,yes,no,yes,yes
GP,F,U,GT3,3,4,services,other,1,no,no,yes,yes
GP,M,U,GT3,2,1,at_home,other,1,no,no,yes,no
GP,F,U,GT3,2,2,other,other,1,no,no,yes,no
GP,M,R,GT3,3,4,at_home,teacher,2,yes,no,yes,no
GP,F,U,GT3,4,4,services,at_home,3,yes,no,yes,yes
GP,M,R,GT3,3,4,at_home,other,2,no,no,yes,no
GP,F,R,GT3,1,1,at_home,other,2,yes,no,yes,no
GP,M,U,LE3,3,1,services,services,1,no,no,yes,yes
GP,F,U,GT3,3,2,other,services,3,yes,no,no,yes
GP,F,R,GT3,1,1,other,services,1,yes,no,yes,no
GP,F,U,GT3,3,3,other,other,1,yes,no,no,yes
GP,M,U,LE3,1,1,services,other,2,no,no,yes,no
GP,F,U,GT3,4,4,teacher,teacher,1,no,no,yes,yes
GP,F,R,GT3,1,1,other,other,1,no,no,yes,yes
GP,M,U,GT3,4,3,teacher,services,4,yes,no,yes,yes
GP,F,U,GT3,3,3,services,services,2,no,no,no,no
GP,M,U,GT3,4,4,services,services,3,yes,no,yes,yes
GP,M,U,LE3,2,2,services,services,1,yes,no,yes,yes
GP,F,U,GT3,4,4,teacher,services,3,yes,no,yes,yes
GP,F,U,LE3,1,1,at_home,at_home,1,no,no,yes,yes
GP,M,U,GT3,2,1,other,other,1,yes,no,yes,yes
GP,F,U,GT3,1,1,other,services,2,yes,no,yes,yes
GP,F,U,LE3,2,1,at_home,other,1,yes,no,yes,yes
GP,F,U,GT3,3,2,health,services,2,yes,no,yes,yes
GP,F,U,GT3,1,2,at_home,other,2,yes,no,no,yes
GP,F,U,GT3,1,2,at_home,services,2,no,no,no,no
GP,M,U,GT3,4,4,teacher,teacher,1,yes,no,yes,yes
GP,M,U,LE3,2,1,services,other,1,no,no,yes,yes
GP,M,U,LE3,1,1,other,other,1,no,no,yes,yes
GP,M,U,LE3,2,1,at_home,other,1,no,no,yes,no
GP,F,R,GT3,3,3,services,services,3,yes,yes,yes,yes
GP,M,U,GT3,3,2,services,at_home,1,yes,no,yes,yes
GP,F,U,GT3,4,4,other,teacher,1,yes,no,yes,no
GP,M,R,GT3,2,3,at_home,services,2,no,yes,yes,no
GP,M,R,LE3,1,2,other,other,1,no,no,yes,no
GP,F,R,GT3,1,1,at_home,other,1,yes,no,no,no
GP,M,R,GT3,2,2,at_home,other,1,no,no,no,no
GP,M,U,GT3,3,3,other,services,2,yes,no,yes,yes
GP,M,U,LE3,1,2,health,services,1,no,no,no,yes
GP,M,R,LE3,2,1,at_home,other,1,no,yes,yes,yes
GP,M,R,GT3,3,2,other,other,2,yes,no,yes,yes
GP,M,U,LE3,1,2,other,other,1,no,no,yes,no
GP,M,U,GT3,1,3,at_home,services,1,no,no,yes,yes
GP,M,R,LE3,1,1,other,services,2,no,no,yes,no
GP,M,U,GT3,3,2,services,services,1,yes,no,no,no
GP,M,U,GT3,2,2,other,other,2,no,no,yes,yes
GP,F,U,GT3,4,2,health,services,2,no,no,yes,yes
GP,F,U,GT3,2,2,other,other,2,yes,no,no,yes
GP,F,U,GT3,4,4,health,health,2,yes,no,yes,yes
GP,M,U,GT3,3,4,other,other,1,yes,no,no,yes
GP,M,U,GT3,1,0,other,other,2,yes,no,yes,yes
GP,M,U,LE3,4,4,teacher,other,2,yes,no,yes,yes
GP,F,U,GT3,1,3,at_home,services,2,no,no,no,yes
GP,F,U,LE3,3,3,other,other,2,yes,no,yes,yes
GP,M,U,LE3,4,3,teacher,other,2,no,no,yes,yes
GP,F,U,GT3,2,2,services,other,2,no,no,no,yes
GP,M,U,GT3,3,3,other,other,2,no,no,no,yes
GP,M,R,GT3,4,2,teacher,services,1,yes,no,yes,yes
GP,M,U,GT3,4,3,other,other,2,yes,yes,yes,yes
GP,M,U,GT3,4,3,teacher,other,2,yes,yes,yes,yes
GP,M,U,GT3,3,3,services,other,2,no,no,yes,yes
GP,F,U,GT3,2,4,services,services,2,yes,no,yes,no
GP,F,U,LE3,3,3,other,other,2,yes,no,yes,yes
GP,F,U,GT3,3,2,other,other,2,yes,no,yes,yes
GP,M,U,GT3,3,3,services,services,2,yes,no,yes,yes
GP,M,U,GT3,1,2,services,services,1,yes,no,yes,yes
GP,M,U,LE3,2,1,other,other,2,no,no,yes,yes
GP,F,U,GT3,3,3,health,other,2,yes,no,no,yes
GP,M,R,GT3,1,2,at_home,other,2,no,no,yes,no
GP,F,U,GT3,2,3,services,services,2,no,no,yes,yes
GP,F,U,GT3,1,1,at_home,services,2,no,no,yes,yes
GP,M,U,GT3,1,2,at_home,services,2,no,no,no,yes
GP,M,R,GT3,3,3,services,services,1,yes,no,yes,yes
GP,M,U,GT3,2,3,other,other,1,no,no,yes,yes
GP,F,U,LE3,2,4,services,services,2,no,no,yes,yes
GP,M,U,GT3,4,4,services,teacher,1,no,no,yes,yes
GP,M,R,LE3,3,3,teacher,other,1,yes,no,yes,yes
GP,F,U,GT3,4,4,services,teacher,1,yes,no,yes,yes
GP,F,U,LE3,4,4,teacher,teacher,2,yes,no,yes,yes
GP,F,U,GT3,4,3,health,other,2,yes,no,yes,yes
GP,F,U,GT3,2,3,other,other,2,yes,no,yes,no
GP,F,U,GT3,1,1,other,other,2,yes,no,no,no
GP,F,R,GT3,2,2,other,other,1,yes,no,yes,yes
GP,F,R,GT3,2,2,services,services,4,yes,no,no,yes
GP,F,U,GT3,3,4,at_home,services,3,yes,yes,yes,yes
GP,F,U,GT3,3,1,services,other,2,yes,no,yes,yes
GP,F,U,GT3,4,3,teacher,other,2,no,no,yes,yes
GP,F,U,GT3,1,1,at_home,other,1,yes,no,yes,no
GP,F,R,GT3,4,3,teacher,other,3,yes,no,yes,yes
GP,F,U,GT3,3,3,other,other,4,yes,no,yes,yes
GP,M,U,LE3,4,4,services,other,2,yes,no,yes,yes
GP,F,U,GT3,2,2,other,other,2,yes,no,yes,yes
GP,M,U,GT3,2,2,services,other,2,yes,no,yes,yes
GP,F,R,LE3,4,4,services,other,1,yes,no,yes,no
GP,F,U,LE3,3,2,other,other,2,no,no,yes,yes
GP,F,U,GT3,4,3,other,other,2,no,no,yes,yes
GP,M,U,LE3,3,3,services,health,2,yes,no,yes,yes
GP,F,U,GT3,2,3,at_home,other,1,yes,no,yes,no
GP,F,U,GT3,2,2,at_home,at_home,3,yes,no,yes,yes
GP,F,R,GT3,2,1,at_home,services,2,yes,no,yes,yes
GP,F,U,GT3,1,1,at_home,other,3,yes,no,yes,no
GP,F,U,GT3,2,3,services,teacher,2,no,no,yes,yes
GP,M,U,GT3,2,2,other,other,2,yes,yes,yes,yes
GP,F,U,GT3,4,4,teacher,services,3,yes,no,no,yes
GP,F,R,GT3,3,1,other,other,2,no,no,yes,yes
GP,F,U,GT3,3,2,other,other,2,no,no,no,yes
GP,M,U,LE3,2,3,services,services,2,yes,no,no,yes
GP,M,U,LE3,2,1,at_home,other,2,yes,no,yes,yes
GP,F,U,GT3,2,1,other,other,3,no,no,yes,yes
GP,F,U,LE3,4,3,health,other,2,no,no,yes,yes
GP,M,R,GT3,2,2,other,other,2,yes,no,yes,yes
GP,M,U,GT3,4,4,teacher,teacher,2,yes,no,yes,yes
GP,M,U,GT3,4,4,health,other,2,yes,no,yes,yes
GP,M,U,LE3,1,1,other,other,2,yes,no,yes,yes
GP,M,U,GT3,3,2,at_home,other,3,no,no,yes,yes
GP,M,U,LE3,2,2,other,other,2,no,no,no,yes
GP,F,U,GT3,2,1,other,other,1,no,no,yes,yes
GP,F,U,GT3,4,1,other,other,2,no,no,yes,yes
GP,F,U,LE3,2,4,services,other,2,yes,no,yes,yes
GP,F,U,LE3,2,2,at_home,services,2,yes,no,no,yes
GP,F,U,GT3,3,3,other,other,1,no,no,yes,yes
GP,M,U,GT3,2,2,other,at_home,1,yes,no,no,yes
GP,M,U,GT3,4,4,teacher,teacher,1,yes,no,no,yes
GP,F,U,GT3,3,2,other,other,2,no,no,yes,no
GP,F,U,LE3,1,1,at_home,at_home,3,yes,no,yes,yes
GP,F,U,GT3,1,2,other,other,1,no,no,yes,yes
GP,F,R,GT3,2,1,at_home,services,2,no,no,yes,no
GP,F,R,LE3,1,4,other,other,1,yes,no,yes,yes
GP,M,U,GT3,2,2,other,services,2,no,no,yes,yes
GP,F,U,LE3,2,2,other,other,1,yes,no,no,yes
GP,F,R,LE3,1,1,at_home,other,3,no,no,yes,yes
GP,F,U,LE3,4,2,teacher,other,2,yes,no,yes,no
GP,M,U,LE3,4,3,health,other,2,no,no,yes,yes
GP,M,R,LE3,4,4,teacher,other,2,yes,no,yes,yes
GP,M,U,LE3,4,3,teacher,other,1,no,no,no,yes
GP,M,U,GT3,4,4,services,services,1,no,yes,yes,yes
GP,F,U,GT3,4,4,teacher,services,2,yes,yes,yes,yes
GP,M,R,GT3,1,1,other,other,3,no,no,no,yes
GP,F,U,GT3,3,3,services,other,3,yes,no,yes,yes
GP,F,U,GT3,1,1,at_home,other,2,no,no,no,no
GP,F,U,GT3,2,1,other,other,3,yes,no,no,yes
GP,M,U,GT3,2,1,other,other,1,no,no,yes,yes
GP,F,U,GT3,1,1,other,services,2,yes,no,yes,no
GP,M,U,GT3,2,3,other,other,1,no,no,yes,yes
GP,M,U,GT3,3,1,services,services,1,no,no,no,yes
GP,M,R,LE3,3,3,other,services,2,yes,no,yes,yes
GP,M,U,GT3,0,2,other,other,1,no,no,no,yes
GP,M,U,GT3,3,2,services,other,1,no,no,yes,yes
GP,M,U,GT3,3,3,at_home,other,2,yes,no,no,yes
GP,M,U,GT3,2,1,services,services,1,no,no,no,yes
GP,M,R,GT3,2,1,other,other,1,no,no,no,no
GP,M,R,GT3,2,1,other,other,1,no,no,no,yes
GP,M,U,LE3,1,1,health,other,1,yes,no,yes,yes
GP,F,U,LE3,2,1,other,other,2,yes,no,no,yes
GP,F,U,LE3,4,2,teacher,services,4,yes,no,yes,yes
GP,F,U,GT3,2,2,services,services,2,yes,no,yes,yes
GP,M,U,LE3,2,1,services,other,2,no,no,no,yes
GP,F,R,GT3,4,2,other,other,3,yes,no,yes,yes
GP,F,U,LE3,1,1,other,at_home,3,yes,no,no,no
GP,F,R,GT3,2,2,other,other,2,no,no,yes,no
GP,M,U,LE3,4,3,services,at_home,2,yes,no,yes,yes
GP,M,U,GT3,2,1,other,other,2,no,no,yes,yes
GP,M,R,GT3,2,2,other,services,1,no,no,no,no
GP,F,U,LE3,2,2,services,services,4,no,no,yes,yes
GP,F,R,GT3,2,1,other,other,2,yes,yes,yes,yes
GP,F,U,GT3,4,3,services,other,2,yes,no,yes,yes
GP,M,U,GT3,4,3,teacher,other,2,yes,no,no,yes
GP,M,R,GT3,3,2,other,other,3,no,no,no,no
GP,F,U,GT3,3,3,other,other,3,no,no,no,no
GP,F,U,GT3,2,2,at_home,services,3,yes,no,yes,yes
GP,M,U,GT3,2,2,other,other,1,no,no,yes,yes
GP,M,R,LE3,3,4,other,other,2,yes,no,yes,yes
GP,M,U,GT3,3,1,services,other,2,no,no,yes,yes
GP,F,R,GT3,4,4,teacher,other,2,no,no,yes,yes
GP,M,U,GT3,4,2,health,other,2,yes,no,yes,yes
GP,F,R,GT3,2,1,other,other,2,yes,no,yes,yes
GP,F,U,GT3,3,3,other,services,2,yes,no,yes,yes
GP,F,U,GT3,2,3,other,services,4,yes,no,yes,yes
GP,F,U,LE3,1,1,other,other,2,yes,no,no,no
GP,M,R,GT3,1,2,at_home,at_home,2,yes,no,no,no
GP,F,U,GT3,2,1,other,other,2,yes,no,yes,yes
GP,F,U,GT3,2,4,at_home,health,2,yes,no,yes,yes
GP,F,U,LE3,2,2,services,other,2,yes,no,yes,yes
GP,F,R,GT3,3,2,other,services,2,no,no,no,yes
GP,M,U,GT3,4,4,teacher,services,1,no,no,yes,yes
GP,F,U,GT3,4,4,health,health,2,yes,no,yes,yes
GP,F,U,GT3,2,2,other,services,3,yes,no,yes,yes
GP,F,R,GT3,3,2,services,services,2,yes,no,yes,yes
GP,M,U,LE3,4,3,teacher,services,1,no,no,yes,yes
GP,M,U,GT3,1,2,at_home,other,1,no,no,no,yes
GP,M,U,LE3,4,1,services,other,1,no,no,yes,yes
GP,M,U,LE3,3,2,teacher,services,1,no,no,yes,yes
GP,F,R,LE3,1,1,at_home,other,4,yes,no,yes,no
GP,F,U,GT3,1,1,other,other,2,no,no,yes,yes
GP,F,U,GT3,2,2,other,other,2,yes,no,no,yes
GP,F,U,GT3,2,1,other,other,2,no,no,yes,yes
GP,M,U,GT3,1,1,other,other,2,no,no,no,yes
GP,F,U,GT3,2,2,at_home,at_home,3,yes,no,yes,yes
GP,F,U,GT3,1,1,services,teacher,3,yes,no,yes,yes
GP,M,U,GT3,2,1,services,services,3,no,no,yes,yes
GP,M,U,LE3,4,4,teacher,teacher,2,yes,no,yes,yes
GP,M,U,GT3,4,2,teacher,other,2,yes,no,yes,yes
GP,F,U,GT3,4,3,health,services,3,yes,no,yes,yes
GP,F,R,LE3,3,1,services,other,4,yes,no,yes,no
GP,M,R,LE3,3,2,services,other,3,yes,no,yes,yes
GP,M,U,GT3,3,3,health,other,1,yes,no,yes,yes
GP,F,U,GT3,4,4,health,other,2,yes,no,yes,yes
GP,F,U,LE3,4,3,other,other,2,yes,no,yes,yes
GP,F,U,GT3,4,3,other,other,4,yes,no,yes,yes
GP,M,U,LE3,4,4,teacher,teacher,1,yes,no,yes,yes
GP,F,U,LE3,4,4,health,other,2,yes,yes,yes,yes
GP,M,U,LE3,4,4,other,teacher,1,no,no,yes,yes
GP,F,R,GT3,4,4,services,services,3,yes,no,yes,yes
GP,F,U,GT3,4,2,other,other,3,yes,no,yes,yes
GP,F,U,GT3,3,2,health,health,4,yes,no,no,yes
GP,M,R,LE3,2,1,at_home,services,3,no,no,yes,yes
GP,M,U,GT3,3,2,services,other,1,no,no,yes,no
GP,M,R,GT3,3,3,other,services,2,no,no,yes,no
GP,F,U,GT3,1,4,other,teacher,2,yes,no,no,no
GP,F,U,GT3,2,1,services,other,2,yes,no,yes,yes
GP,F,U,GT3,2,3,other,other,2,no,no,yes,yes
GP,F,R,GT3,4,4,teacher,teacher,1,no,no,yes,yes
GP,F,U,GT3,4,3,other,other,3,yes,no,yes,yes
GP,F,U,LE3,4,3,health,services,1,yes,no,yes,yes
GP,F,R,GT3,3,4,at_home,services,3,yes,no,no,yes
GP,F,U,GT3,3,3,at_home,other,2,yes,no,yes,yes
GP,M,U,GT3,4,2,health,other,2,yes,no,yes,yes
GP,F,U,GT3,4,4,teacher,other,2,yes,no,yes,yes
GP,F,U,GT3,3,4,other,other,1,yes,no,yes,yes
GP,F,U,GT3,4,4,health,health,1,no,no,yes,yes
GP,F,U,GT3,4,3,services,services,2,yes,no,yes,yes
GP,F,U,LE3,3,3,services,other,2,yes,no,yes,yes
GP,F,U,LE3,2,1,other,other,2,no,no,yes,yes
GP,M,U,LE3,4,4,other,other,1,yes,no,yes,yes
GP,F,U,GT3,1,1,other,other,3,no,no,yes,no
GP,F,U,LE3,1,1,other,other,2,yes,no,no,yes
GP,F,U,GT3,2,2,other,other,1,yes,no,yes,yes
GP,F,U,GT3,2,2,other,other,2,yes,no,yes,no
GP,F,R,LE3,2,2,services,services,3,yes,no,yes,yes
GP,F,U,GT3,3,1,services,services,3,yes,no,no,yes
GP,F,U,LE3,0,2,at_home,at_home,3,no,no,yes,yes
GP,F,U,GT3,1,1,other,other,3,no,no,yes,yes
GP,M,U,GT3,4,4,other,other,3,no,no,yes,yes
GP,M,U,GT3,3,3,other,services,1,no,no,no,yes
GP,M,R,GT3,2,2,services,other,1,yes,no,yes,yes
GP,F,U,GT3,4,4,teacher,services,3,yes,no,yes,yes
GP,F,U,GT3,4,4,teacher,teacher,3,yes,no,no,yes
GP,F,U,GT3,3,3,at_home,other,1,yes,yes,yes,yes
GP,M,U,LE3,2,2,other,other,4,yes,yes,yes,yes
GP,M,R,GT3,3,2,at_home,services,1,yes,no,no,no
GP,F,U,GT3,2,2,at_home,other,2,no,no,yes,no
GP,F,R,GT3,2,4,at_home,other,3,yes,no,yes,yes
GP,M,U,GT3,2,2,other,other,1,no,no,no,yes
GP,F,U,GT3,3,3,services,services,2,no,no,yes,yes
GP,F,U,LE3,2,2,other,other,2,no,no,no,yes
GP,F,R,GT3,2,2,at_home,other,4,no,no,yes,no
GP,F,U,GT3,3,4,services,other,3,no,no,yes,yes
GP,F,U,GT3,3,2,other,other,2,yes,no,yes,yes
GP,F,U,LE3,3,3,services,services,4,yes,no,yes,yes
GP,F,R,GT3,3,2,other,other,2,yes,no,yes,yes
GP,M,U,GT3,4,4,teacher,services,2,yes,no,yes,yes
GP,M,U,LE3,3,4,services,other,2,no,no,yes,yes
GP,F,U,GT3,2,2,at_home,at_home,2,yes,no,yes,yes
GP,F,U,GT3,2,3,at_home,other,3,yes,no,yes,yes
GP,F,U,GT3,3,2,other,services,3,no,no,yes,yes
GP,M,R,GT3,4,3,teacher,services,3,no,no,yes,yes
GP,M,U,GT3,4,3,teacher,other,3,yes,no,yes,yes
GP,F,U,GT3,4,3,health,other,3,yes,no,yes,yes
GP,F,U,GT3,2,1,services,other,2,yes,no,yes,yes
GP,F,U,GT3,2,1,services,other,2,yes,no,yes,yes
GP,F,U,LE3,2,3,at_home,other,1,no,no,yes,yes
GP,F,U,GT3,3,1,other,at_home,1,yes,yes,yes,yes
GP,F,U,LE3,4,4,other,other,3,no,yes,yes,yes
GP,M,U,LE3,2,2,services,services,2,yes,no,no,yes
GP,M,U,LE3,3,4,other,other,2,no,no,yes,yes
GP,F,U,GT3,2,2,services,services,2,yes,no,yes,yes
GP,M,U,LE3,4,4,health,other,3,yes,no,yes,yes
GP,F,U,LE3,4,2,teacher,other,2,yes,no,yes,yes
GP,M,R,LE3,1,1,at_home,other,2,yes,no,yes,yes
GP,F,R,GT3,1,1,other,other,3,no,no,yes,yes
GP,F,U,GT3,4,4,teacher,other,1,yes,no,yes,yes
GP,M,U,LE3,3,2,other,other,2,yes,no,yes,yes
GP,F,U,GT3,3,2,at_home,other,3,yes,no,yes,yes
GP,M,R,GT3,2,3,other,services,1,no,no,yes,yes
GP,M,U,GT3,2,1,other,other,1,no,no,yes,yes
GP,F,U,LE3,2,2,services,other,2,yes,no,yes,yes
GP,F,U,GT3,1,0,other,other,1,no,no,yes,yes
GP,F,U,GT3,3,2,services,other,2,yes,no,no,yes
MS,F,U,GT3,1,3,at_home,other,1,yes,no,yes,yes
MS,F,R,GT3,2,2,other,other,2,yes,no,yes,yes
MS,F,R,GT3,1,1,at_home,services,1,yes,no,yes,no
MS,F,R,GT3,3,3,at_home,other,1,yes,no,yes,yes
MS,F,R,GT3,2,3,at_home,services,2,no,no,yes,no
MS,F,R,LE3,2,1,at_home,other,1,no,no,yes,no
MS,M,R,LE3,4,4,at_home,other,2,yes,no,yes,no
MS,M,U,GT3,1,2,other,other,3,no,no,yes,yes
MS,F,R,GT3,3,2,at_home,other,2,no,no,yes,no
MS,F,R,GT3,1,1,other,other,1,yes,no,no,yes
