A,D,G,H,I,J,M,V
GP,U,2,2,services,other,2,yes
GP,U,4,4,teacher,health,1,no
GP,U,3,3,other,other,1,yes
GP,U,4,3,services,other,1,yes
GP,U,3,1,other,other,1,no
GP,U,4,2,teacher,services,2,yes
GP,U,2,2,services,health,1,yes
GP,R,1,1,at_home,other,2,yes
GP,R,4,3,services,other,2,yes
GP,U,2,1,other,other,1,no
GP,U,4,4,other,other,1,yes
GP,U,4,3,other,at_home,1,yes
GP,U,4,4,services,services,1,yes
GP,U,4,4,services,teacher,1,yes
GP,U,4,4,services,other,1,yes
GP,U,3,2,services,other,2,yes
GP,U,3,4,services,other,1,yes
GP,U,3,3,other,health,1,no
GP,U,2,2,other,other,1,yes
GP,U,3,3,services,other,1,yes
GP,R,4,4,other,other,4,yes
GP,U,4,4,health,health,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,R,3,3,services,other,1,yes
GP,U,2,2,at_home,other,1,yes
GP,U,4,2,teacher,other,1,yes
GP,R,2,1,health,services,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,4,other,teacher,2,no
GP,U,3,3,other,services,2,yes
GP,R,1,3,other,other,3,yes
GP,U,3,4,other,other,1,yes
GP,U,1,2,at_home,services,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,4,other,health,2,yes
GP,U,4,4,health,other,1,yes
GP,U,2,2,other,other,1,yes
GP,U,3,4,services,services,1,yes
GP,U,3,4,other,other,1,yes
GP,U,0,1,at_home,other,1,no
GP,R,4,4,teacher,teacher,1,yes
GP,U,2,3,other,other,2,yes
GP,R,3,4,services,teacher,2,yes
GP,U,2,1,services,other,1,yes
GP,U,2,1,other,other,3,yes
GP,U,1,1,at_home,other,3,yes
GP,U,2,2,other,other,1,yes
GP,U,3,4,services,other,1,yes
GP,U,2,1,at_home,other,4,no
GP,U,2,2,other,other,1,no
GP,R,3,4,at_home,teacher,4,no
GP,U,4,4,services,at_home,1,yes
GP,R,3,4,at_home,other,3,no
GP,R,1,1,at_home,other,4,no
GP,U,3,1,services,services,2,yes
GP,U,3,2,other,services,1,yes
GP,R,1,1,other,services,2,no
GP,U,3,3,other,other,2,yes
GP,U,1,1,services,other,1,no
GP,U,4,4,teacher,teacher,2,yes
GP,R,1,1,other,other,3,yes
GP,U,4,3,teacher,services,2,yes
GP,U,3,3,services,services,1,no
GP,U,4,4,services,services,1,yes
GP,U,2,2,services,services,2,yes
GP,U,4,4,teacher,services,1,yes
GP,U,1,1,at_home,at_home,1,yes
GP,U,2,1,other,other,1,yes
GP,U,1,1,other,services,1,yes
GP,U,2,1,at_home,other,2,yes
GP,U,3,2,health,services,1,yes
GP,U,1,2,at_home,other,1,yes
GP,U,1,2,at_home,services,1,no
GP,U,4,4,teacher,teacher,1,yes
GP,U,2,1,services,other,4,yes
GP,U,1,1,other,other,1,yes
GP,U,2,1,at_home,other,1,no
GP,R,3,3,services,services,2,yes
GP,U,3,2,services,at_home,1,yes
GP,U,4,4,other,teacher,1,no
GP,R,2,3,at_home,services,1,no
GP,R,1,2,other,other,1,no
GP,R,1,1,at_home,other,3,no
GP,R,2,2,at_home,other,3,no
GP,U,3,3,other,services,1,yes
GP,U,1,2,health,services,2,yes
GP,R,2,1,at_home,other,2,yes
GP,R,3,2,other,other,2,yes
GP,U,1,2,other,other,2,no
GP,U,1,3,at_home,services,1,yes
GP,R,1,1,other,services,4,no
GP,U,3,2,services,services,2,no
GP,U,2,2,other,other,1,yes
GP,U,4,2,health,services,1,yes
GP,U,2,2,other,other,1,yes
GP,U,4,4,health,health,1,yes
GP,U,3,4,other,other,3,yes
GP,U,1,0,other,other,2,yes
GP,U,4,4,teacher,other,1,yes
GP,U,1,3,at_home,services,1,yes
GP,U,3,3,other,other,2,yes
GP,U,4,3,teacher,other,2,yes
GP,U,2,2,services,other,2,yes
GP,U,3,3,other,other,1,yes
GP,R,4,2,teacher,services,1,yes
GP,U,4,3,other,other,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,3,3,services,other,1,yes
GP,U,2,4,services,services,1,no
GP,U,3,3,other,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,3,3,services,services,1,yes
GP,U,1,2,services,services,1,yes
GP,U,2,1,other,other,1,yes
GP,U,3,3,health,other,1,yes
GP,R,1,2,at_home,other,1,no
GP,U,2,3,services,services,1,yes
GP,U,1,1,at_home,services,1,yes
GP,U,1,2,at_home,services,2,yes
GP,R,3,3,services,services,1,yes
GP,U,2,3,other,other,2,yes
GP,U,2,4,services,services,1,yes
GP,U,4,4,services,teacher,1,yes
GP,R,3,3,teacher,other,3,yes
GP,U,4,4,services,teacher,2,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,3,health,other,1,yes
GP,U,2,3,other,other,1,no
GP,U,1,1,other,other,1,no
GP,R,2,2,other,other,1,yes
GP,R,2,2,services,services,2,yes
GP,U,3,4,at_home,services,1,yes
GP,U,3,1,services,other,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,1,1,at_home,other,2,no
GP,R,4,3,teacher,other,2,yes
GP,U,3,3,other,other,1,yes
GP,U,4,4,services,other,1,yes
GP,U,2,2,other,other,1,yes
GP,U,2,2,services,other,1,yes
GP,R,4,4,services,other,1,no
GP,U,3,2,other,other,2,yes
GP,U,4,3,other,other,1,yes
GP,U,3,3,services,health,1,yes
GP,U,2,3,at_home,other,2,no
GP,U,2,2,at_home,at_home,1,yes
GP,R,2,1,at_home,services,2,yes
GP,U,1,1,at_home,other,1,no
GP,U,2,3,services,teacher,1,yes
GP,U,2,2,other,other,2,yes
GP,U,4,4,teacher,services,1,yes
GP,R,3,1,other,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,2,3,services,services,1,yes
GP,U,2,1,at_home,other,4,yes
GP,U,2,1,other,other,2,yes
GP,U,4,3,health,other,1,yes
GP,R,2,2,other,other,2,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,4,health,other,1,yes
GP,U,1,1,other,other,2,yes
GP,U,3,2,at_home,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,2,1,other,other,1,yes
GP,U,4,1,other,other,1,yes
GP,U,2,4,services,other,2,yes
GP,U,2,2,at_home,services,1,yes
GP,U,3,3,other,other,2,yes
GP,U,2,2,other,at_home,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,3,2,other,other,1,no
GP,U,1,1,at_home,at_home,1,yes
GP,U,1,2,other,other,1,yes
GP,R,2,1,at_home,services,3,no
GP,R,1,4,other,other,4,yes
GP,U,2,2,other,services,1,yes
GP,U,2,2,other,other,1,yes
GP,R,1,1,at_home,other,2,yes
GP,U,4,2,teacher,other,1,no
GP,U,4,3,health,other,2,yes
GP,R,4,4,teacher,other,2,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,4,services,services,1,yes
GP,U,4,4,teacher,services,1,yes
GP,R,1,1,other,other,2,yes
GP,U,3,3,services,other,2,yes
GP,U,1,1,at_home,other,1,no
GP,U,2,1,other,other,2,yes
GP,U,2,1,other,other,3,yes
GP,U,1,1,other,services,1,no
GP,U,2,3,other,other,2,yes
GP,U,3,1,services,services,1,yes
GP,R,3,3,other,services,1,yes
GP,U,0,2,other,other,1,yes
GP,U,3,2,services,other,2,yes
GP,U,3,3,at_home,other,3,yes
GP,U,2,1,services,services,1,yes
GP,R,2,1,other,other,2,no
GP,R,2,1,other,other,1,yes
GP,U,1,1,health,other,2,yes
GP,U,2,1,other,other,1,yes
GP,U,4,2,teacher,services,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,1,services,other,3,yes
GP,R,4,2,other,other,1,yes
GP,U,1,1,other,at_home,1,no
GP,R,2,2,other,other,1,no
GP,U,4,3,services,at_home,1,yes
GP,U,2,1,other,other,1,yes
GP,R,2,2,other,services,2,no
GP,U,2,2,services,services,1,yes
GP,R,2,1,other,other,2,yes
GP,U,4,3,services,other,1,yes
GP,U,4,3,teacher,other,1,yes
GP,R,3,2,other,other,1,no
GP,U,3,3,other,other,1,no
GP,U,2,2,at_home,services,1,yes
GP,U,2,2,other,other,2,yes
GP,R,3,4,other,other,2,yes
GP,U,3,1,services,other,1,yes
GP,R,4,4,teacher,other,2,yes
GP,U,4,2,health,other,1,yes
GP,R,2,1,other,other,2,yes
GP,U,3,3,other,services,1,yes
GP,U,2,3,other,services,1,yes
GP,U,1,1,other,other,2,no
GP,R,1,2,at_home,at_home,1,no
GP,U,2,1,other,other,1,yes
GP,U,2,4,at_home,health,2,yes
GP,U,2,2,services,other,2,yes
GP,R,3,2,other,services,2,yes
GP,U,4,4,teacher,services,2,yes
GP,U,4,4,health,health,1,yes
GP,U,2,2,other,services,3,yes
GP,R,3,2,services,services,1,yes
GP,U,4,3,teacher,services,2,yes
GP,U,1,2,at_home,other,2,yes
GP,U,4,1,services,other,2,yes
GP,U,3,2,teacher,services,1,yes
GP,R,1,1,at_home,other,2,no
GP,U,1,1,other,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,2,1,other,other,2,yes
GP,U,1,1,other,other,1,yes
GP,U,2,2,at_home,at_home,1,yes
GP,U,1,1,services,teacher,1,yes
GP,U,2,1,services,services,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,2,teacher,other,1,yes
GP,U,4,3,health,services,1,yes
GP,R,3,1,services,other,2,no
GP,R,3,2,services,other,2,yes
GP,U,3,3,health,other,1,yes
GP,U,4,4,health,other,2,yes
GP,U,4,3,other,other,2,yes
GP,U,4,3,other,other,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,4,health,other,1,yes
GP,U,4,4,other,teacher,2,yes
GP,R,4,4,services,services,2,yes
GP,U,4,2,other,other,2,yes
GP,U,3,2,health,health,1,yes
GP,R,2,1,at_home,services,2,yes
GP,U,3,2,services,other,1,no
GP,R,3,3,other,services,1,no
GP,U,1,4,other,teacher,1,no
GP,U,2,1,services,other,2,yes
GP,U,2,3,other,other,2,yes
GP,R,4,4,teacher,teacher,1,yes
GP,U,4,3,other,other,1,yes
GP,U,4,3,health,services,2,yes
GP,R,3,4,at_home,services,1,yes
GP,U,3,3,at_home,other,1,yes
GP,U,4,2,health,other,2,yes
GP,U,4,4,teacher,other,1,yes
GP,U,3,4,other,other,1,yes
GP,U,4,4,health,health,1,yes
GP,U,4,3,services,services,1,yes
GP,U,3,3,services,other,1,yes
GP,U,2,1,other,other,1,yes
GP,U,4,4,other,other,1,yes
GP,U,1,1,other,other,3,no
GP,U,1,1,other,other,3,yes
GP,U,2,2,other,other,1,yes
GP,U,2,2,other,other,1,no
GP,R,2,2,services,services,1,yes
GP,U,3,1,services,services,1,yes
GP,U,0,2,at_home,at_home,2,yes
GP,U,1,1,other,other,2,yes
GP,U,4,4,other,other,1,yes
GP,U,3,3,other,services,1,yes
GP,R,2,2,services,other,4,yes
GP,U,4,4,teacher,services,1,yes
GP,U,4,4,teacher,teacher,2,yes
GP,U,3,3,at_home,other,1,yes
GP,U,2,2,other,other,1,yes
GP,R,3,2,at_home,services,1,no
GP,U,2,2,at_home,other,4,no
GP,R,2,4,at_home,other,1,yes
GP,U,2,2,other,other,1,yes
GP,U,3,3,services,services,1,yes
GP,U,2,2,other,other,1,yes
GP,R,2,2,at_home,other,2,no
GP,U,3,4,services,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,3,3,services,services,1,yes
GP,R,3,2,other,other,1,yes
GP,U,4,4,teacher,services,1,yes
GP,U,3,4,services,other,1,yes
GP,U,2,2,at_home,at_home,1,yes
GP,U,2,3,at_home,other,1,yes
GP,U,3,2,other,services,1,yes
GP,R,4,3,teacher,services,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,3,health,other,1,yes
GP,U,2,1,services,other,2,yes
GP,U,2,1,services,other,1,yes
GP,U,2,3,at_home,other,2,yes
GP,U,3,1,other,at_home,1,yes
GP,U,4,4,other,other,1,yes
GP,U,2,2,services,services,1,yes
GP,U,3,4,other,other,1,yes
GP,U,2,2,services,services,1,yes
GP,U,4,4,health,other,1,yes
GP,U,4,2,teacher,other,1,yes
GP,R,1,1,at_home,other,2,yes
GP,R,1,1,other,other,2,yes
GP,U,4,4,teacher,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,3,2,at_home,other,1,yes
GP,R,2,3,other,services,1,yes
GP,U,2,1,other,other,1,yes
GP,U,2,2,services,other,2,yes
GP,U,1,0,other,other,2,yes
GP,U,3,2,services,other,1,yes
MS,U,1,3,at_home,other,2,yes
MS,R,2,2,other,other,2,yes
MS,R,1,1,at_home,services,1,no
MS,R,3,3,at_home,other,2,yes
MS,R,2,3,at_home,services,2,no
MS,R,2,1,at_home,other,2,no
MS,R,4,4,at_home,other,1,no
MS,U,1,2,other,other,1,yes
MS,R,3,2,at_home,other,1,no
MS,R,1,1,other,other,1,yes
MS,R,4,4,teacher,other,2,yes
MS,U,2,2,at_home,other,2,no
MS,R,1,1,at_home,services,2,yes
MS,R,1,1,other,services,2,yes
MS,R,0,2,other,other,2,no
MS,R,2,3,other,other,2,yes
MS,R,3,3,other,services,2,yes
MS,U,1,1,at_home,services,2,no
MS,U,1,1,other,other,1,yes
MS,R,4,1,health,services,1,yes
MS,R,4,1,health,services,1,yes
MS,R,3,4,other,health,3,no
MS,R,1,1,other,other,4,no
MS,U,3,3,at_home,at_home,1,yes
MS,R,2,1,other,other,3,no
MS,R,4,4,teacher,teacher,2,yes
MS,R,1,2,other,services,2,no
MS,R,2,3,other,services,3,yes
MS,R,1,2,other,other,2,no
MS,R,2,2,other,other,3,yes
MS,U,1,2,other,services,1,no
MS,U,1,2,other,services,1,no
MS,U,2,1,at_home,other,1,yes
MS,U,1,1,at_home,other,1,no
MS,R,1,2,at_home,services,1,yes
MS,R,1,1,other,other,4,yes
MS,R,1,1,at_home,other,4,no
MS,R,1,1,at_home,other,2,yes
MS,R,1,1,at_home,other,2,yes
MS,R,1,1,at_home,at_home,3,no
MS,R,2,2,other,other,1,no
MS,R,1,1,at_home,other,2,no
MS,U,1,2,other,other,1,yes
MS,U,3,1,other,services,2,no
MS,R,2,2,other,services,3,yes
MS,U,2,2,health,other,3,no
MS,U,4,4,other,teacher,1,no
MS,R,3,3,services,other,1,yes
MS,R,2,2,at_home,other,2,no
MS,R,2,2,other,other,3,no
MS,U,2,1,at_home,services,2,yes
MS,R,1,3,at_home,other,3,yes
MS,U,2,2,other,services,2,no
MS,R,2,1,other,other,1,yes
MS,U,3,3,services,services,2,yes
MS,R,1,1,at_home,other,2,no
MS,U,2,2,other,at_home,1,no
MS,U,2,3,at_home,services,1,yes
MS,R,2,1,at_home,other,3,no
MS,R,1,1,at_home,other,2,no
MS,R,2,2,other,other,3,yes
MS,U,2,2,other,other,1,no
MS,R,2,2,at_home,other,2,yes
MS,U,2,2,other,services,1,yes
MS,R,3,2,other,other,2,no
MS,U,1,1,at_home,services,1,no
MS,R,1,1,other,other,2,yes
MS,R,1,1,at_home,at_home,2,yes
MS,U,1,1,other,other,2,yes
MS,R,2,2,health,other,1,no
MS,U,0,1,other,at_home,2,no
MS,R,1,2,at_home,other,1,yes
MS,U,3,3,other,other,1,yes
MS,R,1,1,services,services,1,yes
MS,U,3,3,services,at_home,2,no
MS,U,2,1,other,services,1,yes
MS,U,2,2,services,other,1,no
MS,U,1,2,other,other,1,yes
MS,U,4,3,other,other,1,yes
MS,R,2,2,services,services,3,no
MS,U,1,1,other,other,1,yes
MS,U,2,2,other,other,1,yes
MS,R,1,1,at_home,other,2,yes
MS,U,3,3,at_home,services,2,yes
MS,U,1,1,other,services,1,no
MS,R,2,2,other,other,3,yes
MS,R,1,1,at_home,other,3,no
MS,R,2,2,other,other,2,no
MS,U,1,0,other,other,2,yes
MS,R,1,1,at_home,other,1,yes
MS,U,3,1,other,other,1,yes
MS,U,3,2,services,at_home,1,yes
MS,U,1,1,other,at_home,2,no
MS,R,4,4,health,teacher,1,yes
MS,R,1,2,other,other,2,yes
MS,U,2,4,other,services,1,yes
MS,R,2,1,other,services,2,yes
MS,U,1,1,at_home,other,3,yes
MS,R,2,3,at_home,services,2,yes
MS,U,4,4,health,health,1,yes
MS,U,4,4,at_home,health,1,yes
MS,R,3,4,at_home,other,3,no
MS,U,4,4,other,services,1,yes
MS,R,4,1,other,other,1,yes
MS,U,2,2,services,services,4,no
MS,R,2,2,at_home,other,1,yes
MS,U,4,4,services,services,2,no
MS,U,3,3,services,services,1,yes
MS,U,1,1,at_home,services,3,yes
MS,U,2,1,health,services,2,yes
MS,U,2,1,other,services,1,yes
MS,U,4,4,teacher,health,1,yes
MS,R,1,2,other,services,3,no
MS,U,2,2,other,other,3,no
MS,U,2,1,services,services,1,yes
MS,R,2,2,other,other,1,no
MS,U,4,1,other,other,2,yes
MS,U,3,2,at_home,other,2,no
MS,R,2,2,other,other,2,no
MS,U,4,4,teacher,services,2,yes
MS,R,4,4,health,other,3,yes
MS,R,1,3,other,other,2,no
MS,U,3,4,services,other,1,yes
MS,U,4,4,health,health,1,yes
MS,R,4,1,other,at_home,1,yes
MS,U,1,1,at_home,at_home,1,yes
MS,R,4,2,other,other,2,yes
MS,U,2,2,other,services,2,yes
MS,U,3,2,other,other,2,yes
MS,U,1,1,other,other,1,yes
MS,U,1,0,other,other,1,no
MS,R,1,1,at_home,at_home,2,yes
MS,R,1,2,other,other,1,yes
MS,R,1,2,other,at_home,1,no
MS,R,3,1,other,other,2,yes
MS,R,2,2,other,other,2,no
MS,R,1,0,at_home,at_home,3,no
MS,R,1,1,other,services,2,yes
MS,U,1,1,at_home,at_home,2,no
MS,R,2,2,other,services,1,no
MS,U,2,2,other,other,1,no
MS,R,3,2,services,other,2,yes
MS,R,1,1,at_home,other,2,yes
MS,R,1,1,services,other,2,yes
MS,R,3,2,services,other,1,yes
MS,U,3,2,at_home,services,2,no
MS,U,3,3,at_home,at_home,1,yes
MS,R,2,2,services,services,2,yes
MS,U,2,1,at_home,other,2,yes
MS,U,3,2,services,at_home,2,no
MS,U,1,1,other,at_home,1,no
MS,R,1,1,other,other,2,yes
MS,R,4,3,services,services,1,yes
MS,R,3,2,other,other,2,yes
MS,R,1,1,other,services,3,yes
MS,U,3,3,health,other,2,yes
MS,U,1,3,at_home,services,1,yes
MS,R,1,1,other,other,3,yes
MS,U,1,2,at_home,other,2,no
MS,U,1,1,at_home,other,1,no
MS,R,2,2,other,other,2,yes
MS,R,0,0,at_home,other,2,yes
MS,R,3,1,other,at_home,2,no
MS,U,4,2,teacher,services,1,yes
MS,R,2,2,services,services,1,yes
MS,U,4,1,health,at_home,1,no
MS,U,1,2,at_home,other,1,yes
MS,U,1,1,other,other,3,no
MS,U,2,2,services,at_home,2,yes
MS,U,3,3,services,services,2,yes
MS,U,1,2,at_home,other,2,yes
MS,U,4,4,teacher,teacher,2,yes
MS,U,4,4,services,other,1,yes
MS,U,4,2,other,other,2,yes
MS,R,2,2,at_home,other,3,no
MS,U,1,2,at_home,services,2,no
MS,R,4,4,at_home,services,3,yes
MS,R,1,1,other,services,3,no
MS,U,2,2,other,other,2,yes
MS,U,2,2,services,services,2,yes
MS,R,4,2,teacher,other,1,yes
MS,U,1,1,at_home,services,3,no
MS,U,1,1,at_home,services,2,no
MS,U,4,2,teacher,other,2,yes
MS,R,2,1,services,other,2,yes
MS,U,1,1,at_home,services,1,no
MS,U,1,2,at_home,at_home,2,no
MS,R,1,1,at_home,at_home,2,no
MS,R,2,2,services,other,2,yes
MS,R,4,3,services,other,2,yes
MS,U,3,3,services,services,1,no
MS,R,4,4,teacher,services,2,yes
MS,U,3,2,services,other,2,no
MS,U,1,1,other,services,2,yes
MS,U,1,1,at_home,services,2,yes
MS,R,1,2,at_home,other,3,no
MS,U,3,3,services,services,2,yes
MS,U,4,4,at_home,at_home,1,yes
MS,R,1,2,other,services,2,no
MS,R,1,3,at_home,other,2,no
MS,U,4,4,teacher,services,2,yes
MS,R,1,1,other,services,3,yes
MS,U,2,3,at_home,services,2,yes
MS,R,4,4,other,teacher,3,yes
MS,R,1,2,at_home,services,3,yes
MS,U,2,2,other,at_home,1,no
MS,R,1,2,other,other,1,yes
MS,R,4,4,other,other,2,yes
MS,R,1,1,other,other,4,yes
MS,R,1,1,at_home,other,2,yes
MS,R,4,4,teacher,services,1,yes
MS,U,3,3,other,other,1,yes
MS,R,3,1,at_home,other,1,yes
MS,U,4,4,teacher,teacher,1,yes
MS,R,2,1,other,other,2,yes
MS,U,2,3,other,services,2,yes
MS,R,1,1,other,services,2,no
MS,R,4,2,other,other,2,no
MS,R,2,2,at_home,other,2,no
MS,U,4,3,teacher,other,2,yes
MS,R,4,4,teacher,at_home,3,yes
MS,R,2,3,services,other,1,yes
MS,U,3,1,teacher,services,1,yes
MS,U,1,1,other,other,2,no
MS,U,3,1,services,services,2,yes
MS,R,3,2,services,other,3,yes
GP,U,4,4,at_home,teacher,2,no
GP,U,1,1,at_home,other,1,yes
GP,U,1,1,at_home,other,1,yes
GP,U,4,2,health,services,1,yes
GP,U,3,3,other,other,1,no
GP,U,4,3,services,other,1,yes
GP,U,2,2,other,other,1,yes
GP,U,4,4,other,teacher,2,no
GP,U,3,2,services,other,1,yes
GP,U,3,4,other,other,1,yes
GP,U,4,4,teacher,health,1,yes
GP,U,2,1,services,other,3,yes
GP,U,4,4,health,services,1,yes
GP,U,4,3,teacher,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,4,4,health,other,1,yes
GP,U,4,4,services,services,1,yes
GP,U,3,3,other,other,3,no
GP,U,3,2,services,services,1,yes
GP,U,4,3,health,other,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,4,health,health,1,yes
GP,U,4,2,teacher,other,1,yes
GP,U,2,2,other,other,2,yes
GP,R,2,4,services,health,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,2,other,other,1,yes
GP,U,4,2,health,services,1,yes
GP,U,3,4,services,other,1,yes
GP,U,4,4,teacher,teacher,1,yes
GP,U,4,4,health,services,1,yes
GP,U,4,4,services,services,2,yes
GP,R,4,3,teacher,at_home,1,yes
GP,U,3,3,other,other,1,yes
GP,U,3,2,other,other,1,yes
GP,U,2,3,other,other,2,no
GP,U,4,3,teacher,services,1,yes
GP,R,4,4,other,teacher,2,yes
GP,R,3,4,services,health,1,yes
GP,R,2,2,at_home,other,1,no
GP,U,2,2,other,other,2,yes
GP,U,4,4,teacher,other,1,yes
GP,U,4,4,services,teacher,1,yes
GP,U,2,2,services,services,1,yes
GP,U,2,2,other,at_home,2,yes
GP,U,4,3,other,other,1,yes
GP,U,3,3,other,services,1,yes
GP,U,4,3,health,services,1,yes
GP,U,4,2,teacher,other,1,no
GP,U,4,4,services,teacher,1,yes
GP,U,2,2,services,services,3,yes
GP,U,4,2,health,other,1,yes
GP,U,4,2,health,health,2,no
GP,U,4,4,services,services,1,yes
GP,U,3,3,other,other,1,yes
GP,U,2,1,other,other,1,yes
GP,U,4,3,services,services,1,yes
GP,U,4,4,teacher,health,1,no
GP,U,1,2,other,at_home,1,yes
GP,U,4,2,services,other,1,yes
GP,R,4,4,health,teacher,1,no
GP,U,1,1,services,services,4,yes
GP,U,1,2,other,services,1,yes
GP,U,4,3,teacher,health,1,yes
GP,U,4,3,services,services,1,yes
GP,U,4,3,teacher,services,3,yes
GP,U,4,4,other,services,1,yes
GP,U,3,1,services,other,1,yes
GP,R,2,2,health,services,2,yes
GP,R,3,1,other,other,2,yes
GP,U,3,1,other,other,2,yes
GP,U,4,2,other,other,1,yes
GP,R,1,1,other,other,1,yes
GP,U,3,1,other,other,1,no
GP,U,3,3,other,services,1,yes
GP,U,4,3,teacher,other,1,yes
GP,U,4,0,teacher,other,2,yes
GP,U,2,2,other,other,1,yes
GP,U,2,1,other,other,2,yes
GP,U,3,4,at_home,other,1,yes
GP,U,2,3,other,services,1,yes
GP,U,2,3,other,other,1,yes
GP,U,3,2,services,other,1,yes
GP,U,2,2,services,services,2,yes
GP,U,1,1,other,other,1,yes
GP,U,4,4,services,services,2,yes
GP,U,2,2,at_home,other,1,no
GP,U,4,2,other,other,1,yes
GP,U,2,2,services,other,2,yes
GP,U,4,4,teacher,health,1,no
GP,U,3,3,other,other,1,yes
GP,U,4,3,services,other,1,yes
GP,U,3,1,other,other,1,no
GP,U,4,2,teacher,services,2,yes
GP,U,2,2,services,health,1,yes
GP,R,1,1,at_home,other,2,yes
GP,R,4,3,services,other,2,yes
GP,U,2,1,other,other,1,no
GP,U,4,4,other,other,1,yes
GP,U,4,3,other,at_home,1,yes
