A,P,T,U,Y,Z
GP,no,no,yes,3,3
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,yes,4,4
GP,no,yes,yes,3,2
GP,no,yes,yes,5,5
GP,yes,yes,yes,2,2
GP,no,no,yes,3,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,4,4
GP,no,yes,yes,4,5
GP,no,yes,yes,4,2
GP,no,yes,no,4,2
GP,no,yes,yes,3,2
GP,no,no,yes,3,2
GP,no,no,yes,3,4
GP,no,yes,no,3,2
GP,no,yes,yes,5,5
GP,no,yes,no,3,5
GP,no,yes,yes,4,4
GP,no,yes,yes,2,1
GP,no,yes,no,5,4
GP,yes,yes,yes,2,1
GP,yes,yes,yes,4,4
GP,no,yes,yes,2,2
GP,no,no,yes,2,5
GP,no,no,yes,2,2
GP,no,yes,yes,5,5
GP,no,no,yes,4,5
GP,no,yes,no,3,2
GP,yes,yes,yes,4,4
GP,no,yes,yes,4,4
GP,no,yes,no,3,3
GP,no,yes,no,3,5
GP,no,no,no,5,2
GP,no,yes,no,3,5
GP,no,yes,yes,2,3
GP,no,no,yes,1,5
GP,no,yes,yes,4,2
GP,no,no,yes,4,5
GP,no,yes,yes,3,2
GP,no,yes,yes,4,4
GP,no,no,yes,3,5
GP,no,yes,yes,4,5
GP,no,yes,yes,4,4
GP,no,no,yes,4,4
GP,no,no,yes,3,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,3
GP,no,yes,yes,4,3
GP,no,yes,yes,2,3
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,3,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,3
GP,no,no,yes,3,3
GP,no,yes,yes,1,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,no,yes,4,4
GP,no,yes,yes,3,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,2
GP,no,yes,yes,2,3
GP,no,yes,yes,3,4
GP,no,yes,yes,2,4
GP,no,yes,yes,5,2
GP,no,yes,yes,3,5
GP,yes,yes,yes,4,3
GP,no,no,yes,4,4
GP,no,yes,yes,3,2
GP,no,no,yes,3,5
GP,no,yes,yes,4,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,2
GP,no,yes,yes,3,2
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,5
GP,yes,yes,yes,3,4
GP,no,yes,yes,4,4
GP,no,yes,yes,2,1
GP,no,yes,yes,4,4
GP,no,yes,yes,4,5
GP,no,yes,yes,2,4
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,5
GP,no,yes,yes,3,4
GP,yes,yes,yes,3,1
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,yes,3,3
GP,no,no,yes,3,4
GP,no,no,yes,3,3
GP,yes,yes,yes,3,2
GP,no,yes,yes,2,3
GP,no,yes,yes,2,3
GP,no,yes,yes,5,2
GP,yes,yes,yes,5,5
GP,no,yes,yes,2,4
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,no,yes,4,2
GP,no,yes,yes,5,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,no,yes,3,1
GP,no,yes,no,1,1
GP,no,no,no,4,3
GP,no,no,yes,2,1
GP,no,yes,yes,4,2
GP,no,yes,yes,3,2
GP,no,yes,no,3,5
GP,no,yes,yes,1,1
GP,no,yes,yes,5,4
GP,no,yes,no,5,4
GP,no,no,no,1,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,2
GP,no,yes,yes,5,5
GP,no,yes,yes,3,3
GP,no,no,yes,4,5
GP,no,yes,yes,3,2
GP,no,yes,yes,3,1
GP,no,no,yes,3,3
GP,no,yes,yes,2,2
GP,yes,no,yes,3,2
GP,no,no,yes,4,4
GP,no,yes,yes,3,3
GP,no,yes,yes,3,4
GP,no,yes,yes,2,2
GP,no,no,no,4,5
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,no,4,5
GP,yes,no,yes,3,3
GP,no,no,no,2,5
GP,no,no,yes,3,2
GP,no,no,yes,4,2
GP,no,yes,yes,4,4
GP,no,no,yes,3,4
GP,no,yes,yes,2,3
GP,no,yes,yes,3,3
GP,no,no,no,4,5
GP,no,yes,yes,3,4
GP,no,no,yes,4,3
GP,yes,yes,yes,2,3
GP,no,yes,yes,3,1
GP,no,yes,yes,2,4
GP,no,no,no,2,2
GP,no,yes,yes,4,1
GP,no,yes,no,2,3
GP,no,yes,yes,1,2
GP,no,no,yes,3,2
GP,no,no,yes,3,2
GP,no,no,yes,2,3
GP,no,yes,yes,3,3
GP,no,yes,no,4,4
GP,no,yes,yes,2,5
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,4,5
GP,no,yes,no,3,5
GP,no,yes,yes,3,5
GP,no,yes,yes,5,5
GP,no,no,yes,4,3
GP,no,no,yes,5,2
GP,no,yes,yes,2,5
GP,no,yes,yes,3,3
GP,yes,yes,yes,4,4
GP,no,no,no,1,1
GP,no,yes,yes,2,4
GP,yes,yes,yes,4,4
GP,no,yes,yes,2,3
GP,yes,yes,no,3,3
GP,no,yes,yes,2,3
GP,no,no,no,4,4
GP,no,yes,yes,5,4
GP,no,yes,yes,4,4
GP,no,yes,yes,2,2
GP,yes,yes,yes,4,4
GP,no,no,yes,4,5
GP,no,yes,yes,3,1
GP,no,no,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,4
GP,no,yes,yes,4,3
GP,no,yes,yes,3,2
GP,no,yes,yes,2,2
GP,no,yes,yes,1,2
GP,no,yes,yes,4,2
GP,no,yes,yes,4,3
GP,no,yes,yes,3,4
GP,no,yes,yes,4,5
GP,no,yes,yes,3,3
GP,no,yes,yes,4,2
GP,no,yes,yes,2,4
GP,no,yes,yes,1,1
GP,no,yes,yes,3,4
GP,no,yes,yes,3,3
GP,no,no,yes,2,2
GP,no,yes,yes,3,1
GP,no,yes,yes,5,3
GP,no,yes,yes,5,3
GP,yes,no,yes,4,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,1
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,2,4
GP,no,no,yes,3,4
GP,no,yes,yes,1,4
GP,no,yes,yes,4,4
GP,no,yes,yes,4,4
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,2,2
GP,yes,yes,yes,3,3
GP,no,yes,yes,2,3
GP,no,yes,yes,2,5
GP,no,yes,no,5,5
GP,no,no,yes,3,4
GP,no,yes,yes,3,5
GP,no,yes,yes,2,2
GP,no,yes,yes,3,2
GP,no,no,yes,4,3
GP,no,yes,yes,3,3
GP,no,yes,yes,5,5
GP,no,yes,yes,3,3
GP,no,no,yes,3,5
GP,no,yes,yes,4,5
GP,no,yes,yes,4,4
GP,no,no,yes,3,3
GP,no,yes,yes,2,5
GP,no,yes,yes,5,5
GP,no,no,yes,3,4
GP,no,yes,yes,2,5
GP,no,yes,yes,4,3
GP,no,no,yes,4,2
GP,no,yes,yes,3,4
GP,no,no,yes,3,3
GP,no,yes,yes,4,4
GP,no,yes,yes,4,5
GP,no,yes,yes,3,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,1
GP,no,yes,yes,3,3
GP,no,yes,yes,4,3
GP,no,yes,yes,3,2
GP,no,yes,yes,4,5
GP,no,yes,yes,4,3
GP,no,yes,yes,3,4
GP,no,yes,yes,3,5
GP,no,yes,no,2,3
GP,no,yes,yes,1,2
GP,no,yes,yes,3,2
GP,no,no,no,4,4
GP,no,yes,yes,3,5
GP,no,yes,yes,3,4
GP,no,yes,yes,4,2
GP,no,yes,yes,2,2
GP,no,yes,no,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,2,5
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,1,3
GP,no,yes,yes,3,4
GP,no,yes,yes,1,4
GP,yes,yes,yes,3,1
GP,no,no,yes,1,2
MS,no,yes,no,3,3
MS,no,yes,yes,4,4
MS,no,yes,yes,1,3
MS,no,yes,yes,4,4
MS,no,yes,yes,5,2
MS,no,yes,no,3,4
MS,no,yes,yes,3,2
MS,yes,yes,yes,4,3
MS,no,yes,yes,5,4
MS,no,no,no,4,4
MS,no,yes,yes,5,1
MS,no,no,no,2,1
MS,no,yes,yes,4,3
MS,no,yes,yes,4,3
MS,no,yes,yes,2,3
MS,no,yes,yes,5,5
MS,no,no,yes,1,3
MS,no,yes,yes,4,5
MS,no,no,yes,4,3
MS,no,yes,yes,3,4
MS,no,yes,yes,3,4
MS,no,no,yes,4,5
MS,no,yes,yes,4,5
MS,no,yes,yes,3,3
MS,no,yes,no,5,5
MS,no,yes,yes,2,2
MS,no,yes,yes,1,2
MS,no,yes,yes,5,4
MS,no,yes,yes,3,3
MS,no,yes,yes,4,5
MS,no,yes,yes,3,2
MS,no,yes,yes,3,2
MS,yes,no,yes,4,2
MS,no,no,yes,4,3
MS,no,yes,yes,5,5
MS,no,no,yes,3,2
MS,yes,yes,yes,4,3
MS,no,yes,yes,3,3
MS,no,yes,yes,2,2
MS,no,yes,yes,2,1
MS,yes,yes,yes,4,3
MS,no,yes,yes,4,4
MS,no,yes,yes,4,4
MS,no,yes,yes,2,3
MS,no,yes,yes,3,4
MS,no,yes,yes,3,3
MS,no,yes,yes,3,1
MS,no,yes,yes,5,4
MS,no,no,yes,4,4
MS,no,yes,yes,3,2
MS,no,yes,yes,4,3
MS,no,yes,yes,2,4
MS,no,yes,yes,3,2
MS,no,yes,yes,4,3
MS,no,no,yes,3,3
MS,yes,yes,yes,4,3
MS,no,yes,no,5,3
MS,no,yes,no,4,4
MS,no,yes,no,5,3
MS,no,yes,no,2,1
MS,no,yes,no,4,5
MS,no,yes,no,3,4
MS,no,yes,yes,3,5
MS,no,no,yes,4,3
MS,no,no,no,3,2
MS,no,yes,no,3,1
MS,no,yes,no,4,3
MS,no,no,no,2,3
MS,no,yes,yes,1,4
MS,no,no,yes,3,2
MS,no,no,yes,4,4
MS,no,yes,no,4,5
MS,no,yes,no,5,4
MS,no,yes,yes,4,4
MS,no,yes,yes,4,5
MS,no,yes,yes,3,3
MS,no,yes,yes,2,5
MS,no,yes,no,3,5
MS,no,yes,yes,2,5
MS,no,yes,yes,3,5
MS,yes,yes,yes,2,1
MS,no,yes,yes,4,5
MS,no,no,yes,4,5
MS,no,yes,yes,3,4
MS,no,yes,yes,3,3
MS,no,no,yes,4,5
MS,no,yes,yes,3,2
MS,no,yes,yes,3,2
MS,no,yes,yes,4,5
MS,no,yes,yes,3,2
MS,no,yes,yes,1,3
MS,no,yes,yes,1,3
MS,yes,yes,yes,3,5
MS,no,no,yes,3,3
MS,no,yes,yes,4,5
MS,no,yes,yes,3,2
MS,no,yes,yes,2,1
MS,no,yes,yes,3,2
MS,no,yes,yes,3,3
MS,no,yes,yes,3,4
MS,no,yes,no,5,5
MS,no,no,yes,2,1
MS,no,yes,yes,4,3
MS,no,yes,yes,2,3
MS,no,yes,yes,1,3
MS,no,yes,yes,1,3
MS,no,yes,yes,1,3
MS,no,yes,yes,1,4
MS,no,yes,yes,1,3
MS,no,no,yes,2,2
MS,no,yes,yes,2,2
MS,no,yes,yes,1,2
MS,no,yes,yes,5,5
MS,no,yes,yes,4,5
MS,no,yes,yes,3,3
MS,no,no,yes,3,3
MS,no,yes,yes,2,4
MS,no,yes,yes,3,3
MS,yes,yes,yes,1,3
MS,no,yes,yes,3,5
MS,no,yes,yes,3,3
MS,no,yes,yes,1,2
MS,no,no,yes,4,4
MS,no,yes,yes,2,5
MS,no,yes,yes,1,2
MS,no,yes,yes,5,5
MS,yes,no,yes,3,3
MS,no,no,yes,1,2
MS,no,yes,yes,1,2
MS,no,yes,no,4,3
MS,no,yes,yes,1,2
MS,no,yes,no,5,5
MS,yes,no,yes,3,4
MS,no,yes,yes,4,4
MS,no,no,yes,4,4
MS,no,yes,no,5,5
MS,yes,yes,yes,3,2
MS,no,no,yes,5,5
MS,no,yes,yes,3,3
MS,no,yes,yes,4,3
MS,no,yes,yes,2,1
MS,no,yes,yes,5,5
MS,no,yes,yes,5,5
MS,no,yes,no,3,3
MS,no,yes,no,3,1
MS,no,yes,yes,2,1
MS,no,yes,no,4,5
MS,no,yes,yes,4,3
MS,no,no,no,4,3
MS,no,yes,yes,5,5
MS,no,yes,yes,3,2
MS,no,yes,no,4,3
MS,no,yes,yes,4,4
MS,no,no,yes,5,5
MS,no,yes,yes,4,4
MS,no,yes,yes,5,4
MS,no,yes,no,3,3
MS,no,yes,yes,4,4
MS,no,yes,yes,3,3
MS,no,yes,no,4,4
MS,no,yes,no,5,5
MS,no,yes,yes,4,3
MS,no,yes,no,2,3
MS,yes,yes,yes,5,5
MS,no,yes,yes,3,3
MS,no,yes,yes,2,2
MS,no,yes,yes,5,1
MS,no,yes,yes,4,4
MS,no,no,yes,3,5
MS,no,yes,yes,4,3
MS,no,yes,yes,4,3
MS,no,no,yes,3,5
MS,no,yes,yes,4,5
MS,no,yes,yes,3,3
MS,no,yes,yes,3,3
MS,no,no,yes,1,4
MS,no,yes,yes,5,5
MS,no,no,no,2,3
MS,no,no,yes,3,1
MS,no,yes,yes,4,5
MS,no,yes,yes,3,1
MS,no,yes,no,4,2
MS,no,yes,no,5,5
MS,no,yes,yes,2,3
MS,no,yes,yes,3,3
MS,no,yes,yes,2,3
MS,no,yes,no,1,1
MS,no,yes,no,5,4
MS,no,yes,yes,2,1
MS,no,no,yes,5,5
MS,no,yes,yes,3,4
MS,no,yes,yes,3,3
MS,no,yes,yes,2,3
MS,no,no,yes,3,2
MS,no,yes,yes,3,2
MS,no,yes,yes,3,4
MS,no,yes,yes,3,2
MS,no,yes,yes,3,4
MS,no,no,yes,2,2
MS,no,yes,yes,3,4
MS,no,yes,yes,2,2
MS,no,yes,yes,2,1
MS,no,yes,yes,2,3
MS,no,no,yes,2,2
MS,no,yes,no,3,3
MS,no,yes,yes,4,3
MS,no,yes,yes,5,5
MS,no,yes,yes,4,4
MS,no,yes,yes,3,2
MS,no,yes,yes,3,3
MS,no,yes,yes,4,3
MS,no,yes,yes,1,3
MS,no,no,yes,5,4
MS,no,no,yes,2,4
MS,no,no,yes,4,3
MS,no,yes,yes,4,3
MS,no,yes,yes,3,2
MS,no,yes,yes,4,3
MS,no,yes,yes,3,3
MS,no,yes,yes,5,4
MS,no,yes,yes,4,3
MS,no,no,yes,4,2
MS,no,yes,yes,3,4
MS,no,yes,yes,1,1
MS,no,no,yes,4,5
MS,no,no,yes,4,1
GP,yes,yes,yes,3,4
GP,no,no,yes,3,3
GP,yes,yes,yes,3,2
GP,no,yes,yes,2,2
GP,no,yes,yes,3,2
GP,no,yes,yes,4,2
GP,no,yes,yes,4,4
GP,yes,yes,yes,1,4
GP,no,yes,yes,2,2
GP,no,yes,yes,5,1
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,3,3
GP,no,yes,yes,4,3
GP,no,yes,yes,5,2
GP,no,yes,yes,4,4
GP,no,yes,yes,2,3
GP,yes,yes,yes,3,2
GP,no,yes,yes,5,5
GP,no,yes,yes,1,3
GP,no,yes,yes,4,1
GP,no,yes,yes,4,2
GP,no,yes,yes,5,1
GP,no,yes,yes,4,4
GP,yes,yes,yes,3,2
GP,no,no,yes,2,2
GP,no,yes,yes,2,2
GP,no,yes,yes,2,4
GP,yes,yes,yes,3,3
GP,no,yes,yes,4,5
GP,no,no,yes,4,2
GP,no,yes,yes,3,1
GP,no,yes,yes,5,2
GP,no,no,yes,3,2
GP,no,no,yes,4,3
GP,no,yes,yes,5,1
GP,no,yes,yes,4,3
GP,no,yes,yes,4,3
GP,yes,yes,yes,3,2
GP,yes,yes,yes,3,1
GP,no,no,yes,3,3
GP,no,no,yes,4,3
GP,no,yes,yes,3,3
GP,yes,yes,yes,4,1
GP,yes,yes,yes,3,3
GP,yes,yes,yes,2,2
GP,no,yes,yes,3,5
GP,no,yes,yes,2,2
GP,no,yes,yes,3,3
GP,yes,no,yes,4,4
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,5,5
GP,yes,yes,yes,3,4
GP,no,yes,yes,3,4
GP,no,yes,yes,3,4
GP,no,yes,yes,3,2
GP,no,yes,yes,2,2
GP,yes,yes,yes,3,2
GP,no,yes,yes,2,3
GP,no,yes,yes,4,4
GP,yes,no,yes,5,5
GP,yes,yes,yes,4,3
GP,yes,yes,yes,4,4
GP,yes,yes,yes,4,4
GP,no,yes,yes,4,3
GP,no,no,yes,3,3
GP,yes,yes,yes,3,3
GP,yes,yes,yes,1,3
GP,no,no,yes,4,2
GP,no,yes,yes,3,2
GP,no,yes,yes,3,3
GP,yes,no,yes,3,4
GP,no,yes,yes,3,2
GP,yes,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,4,3
GP,no,yes,yes,2,3
GP,yes,yes,no,5,1
GP,no,yes,yes,4,3
GP,yes,no,yes,2,2
GP,yes,no,yes,3,2
GP,no,yes,yes,4,4
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,3,3
GP,no,no,yes,4,2
GP,no,yes,yes,1,3
GP,no,yes,yes,3,3
GP,no,yes,yes,5,5
GP,yes,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,4
GP,yes,yes,yes,1,2
GP,yes,no,yes,3,3
GP,no,yes,yes,3,5
GP,no,no,yes,3,4
GP,yes,yes,yes,3,5
GP,yes,yes,yes,5,5
GP,no,yes,yes,4,3
GP,no,no,yes,3,3
GP,yes,yes,yes,3,5
GP,no,yes,yes,4,4
GP,yes,yes,yes,3,3
GP,yes,yes,yes,1,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,5
GP,no,yes,yes,4,5
GP,no,yes,yes,5,3
GP,yes,yes,yes,1,2
GP,yes,yes,yes,1,2
GP,no,yes,yes,5,2
GP,no,yes,yes,4,2
GP,no,yes,yes,4,4
GP,no,yes,yes,4,3
GP,no,yes,yes,4,2
GP,no,yes,yes,2,4
GP,no,yes,yes,4,3
GP,no,no,yes,2,3
GP,no,yes,yes,5,4
GP,no,yes,yes,2,2
GP,no,yes,yes,4,4
GP,no,yes,yes,4,4
GP,yes,yes,yes,5,5
GP,yes,yes,yes,3,2
GP,no,no,no,4,2
GP,no,yes,yes,3,3
GP,no,yes,yes,5,5
GP,no,yes,yes,2,2
GP,no,no,yes,3,3
GP,no,yes,yes,4,4
GP,no,yes,yes,2,1
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,4,5
GP,no,no,yes,3,2
GP,no,yes,yes,4,4
GP,no,yes,yes,3,2
GP,yes,yes,yes,2,2
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,4,4
GP,no,yes,yes,4,5
GP,no,yes,yes,4,2
GP,no,yes,yes,3,2
GP,no,no,yes,3,2
GP,no,yes,no,3,2
GP,no,yes,yes,5,5
GP,no,yes,no,3,5
GP,no,yes,yes,4,4
GP,no,yes,yes,2,1
GP,no,yes,no,5,4
GP,yes,yes,yes,2,1
GP,yes,yes,yes,4,4
GP,no,yes,yes,2,2
GP,no,no,yes,2,5
GP,no,no,yes,2,2
GP,no,yes,yes,5,5
GP,no,yes,no,3,2
GP,yes,yes,yes,4,4
GP,no,yes,yes,4,4
GP,no,yes,no,3,3
GP,no,yes,no,3,5
GP,no,no,no,5,2
GP,no,yes,no,3,5
GP,no,yes,yes,2,3
GP,no,no,yes,1,5
GP,no,yes,yes,4,2
GP,no,no,yes,4,5
GP,no,yes,yes,3,2
GP,no,yes,yes,4,4
GP,no,no,yes,3,5
GP,no,yes,yes,4,5
GP,no,yes,yes,4,4
GP,no,no,yes,4,4
GP,no,no,yes,3,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,3
GP,no,yes,yes,4,3
GP,no,yes,yes,2,3
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,yes,yes,3,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,3
GP,no,no,yes,3,3
GP,no,yes,yes,1,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,no,yes,4,4
GP,no,yes,yes,3,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,2
GP,no,yes,yes,2,3
GP,no,yes,yes,3,4
GP,no,yes,yes,2,4
GP,no,yes,yes,5,2
GP,no,yes,yes,3,5
GP,yes,yes,yes,4,3
GP,no,no,yes,4,4
GP,no,yes,yes,3,2
GP,no,no,yes,3,5
GP,no,yes,yes,4,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,2
GP,no,yes,yes,3,2
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,yes,yes,3,5
GP,yes,yes,yes,3,4
GP,no,yes,yes,4,4
GP,no,yes,yes,2,1
GP,no,yes,yes,4,4
GP,no,yes,yes,4,5
GP,no,yes,yes,2,4
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,5
GP,no,yes,yes,3,4
GP,yes,yes,yes,3,1
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,yes,3,3
GP,no,no,yes,3,4
GP,no,no,yes,3,3
GP,yes,yes,yes,3,2
GP,no,yes,yes,2,3
GP,no,yes,yes,2,3
GP,no,yes,yes,5,2
GP,yes,yes,yes,5,5
GP,no,yes,yes,2,4
GP,no,yes,yes,4,2
GP,no,yes,yes,3,3
GP,no,no,yes,4,2
GP,no,yes,yes,5,2
GP,no,yes,yes,1,1
GP,no,yes,no,5,4
GP,no,yes,yes,5,5
GP,no,yes,yes,3,3
GP,no,no,yes,4,5
GP,no,yes,yes,3,2
GP,no,no,yes,4,4
GP,no,yes,yes,3,3
GP,no,yes,yes,2,2
GP,no,no,no,4,5
GP,no,yes,yes,3,3
GP,no,no,yes,3,2
GP,no,yes,no,4,5
GP,yes,no,yes,3,3
GP,no,no,no,2,5
GP,no,no,yes,3,2
GP,no,no,yes,4,2
GP,no,yes,yes,4,4
GP,no,yes,yes,2,3
GP,no,yes,yes,3,1
GP,no,yes,yes,2,4
GP,no,yes,yes,4,1
GP,no,yes,yes,1,2
GP,no,no,yes,3,2
GP,no,no,yes,3,2
GP,no,no,yes,2,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,5
GP,no,yes,yes,4,4
GP,no,yes,yes,3,4
GP,no,yes,yes,4,5
GP,no,yes,no,3,5
GP,no,yes,yes,3,5
GP,no,yes,yes,5,5
GP,no,no,yes,4,3
GP,no,no,yes,5,2
GP,no,yes,yes,3,3
GP,yes,yes,yes,4,4
GP,no,no,no,1,1
GP,no,yes,yes,2,4
GP,yes,yes,yes,4,4
GP,no,yes,yes,2,3
GP,no,yes,yes,5,4
GP,no,yes,yes,4,4
GP,no,yes,yes,2,2
GP,yes,yes,yes,4,4
GP,no,no,yes,4,5
GP,no,no,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,3,3
GP,no,yes,yes,2,4
GP,no,yes,yes,4,3
GP,no,yes,yes,3,2
GP,no,yes,yes,2,2
