C,D,L,P,W
15,U,mother,no,yes
16,U,mother,no,no
16,U,father,no,no
15,U,mother,no,no
16,U,mother,no,no
17,U,mother,no,no
15,U,father,no,no
15,U,mother,no,yes
15,U,father,no,no
15,U,mother,no,no
15,U,father,no,yes
16,U,mother,no,yes
15,U,mother,no,no
18,U,mother,no,yes
16,U,mother,no,yes
15,R,other,no,yes
19,U,mother,no,yes
17,U,mother,yes,yes
15,R,mother,yes,no
17,R,mother,no,no
18,R,mother,no,no
16,R,mother,no,no
16,U,father,no,yes
16,U,mother,no,no
17,R,mother,no,yes
17,R,mother,yes,yes
15,U,mother,no,no
16,U,father,no,no
17,R,mother,no,yes
17,U,mother,no,no
16,U,father,no,no
16,U,father,no,yes
16,U,mother,no,no
16,U,mother,no,yes
16,U,father,no,no
16,U,mother,no,yes
17,U,mother,no,no
16,U,mother,no,yes
16,U,mother,no,no
17,U,mother,no,no
16,U,mother,no,no
17,U,father,no,no
16,R,mother,no,yes
17,U,mother,no,yes
16,U,mother,no,no
16,U,mother,no,yes
17,U,father,no,no
17,U,mother,no,yes
16,U,mother,no,no
17,U,mother,no,yes
16,U,mother,no,yes
16,U,mother,no,yes
17,U,mother,no,yes
17,R,mother,no,no
16,U,mother,no,no
17,U,mother,no,no
17,U,other,no,no
16,R,mother,no,no
16,U,father,no,no
17,U,father,no,yes
17,U,mother,no,no
16,R,father,no,no
17,U,mother,no,no
16,U,mother,no,no
16,U,mother,no,no
16,U,mother,yes,no
17,U,mother,no,no
17,R,mother,no,no
16,R,mother,no,no
17,U,mother,no,yes
16,U,mother,no,no
16,U,mother,no,yes
16,U,mother,no,no
17,R,mother,no,yes
19,U,other,no,no
17,U,mother,no,yes
16,U,mother,yes,no
18,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
18,U,father,no,no
17,U,father,no,no
17,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,yes
16,U,mother,yes,no
18,U,mother,no,no
16,U,mother,no,no
18,R,mother,no,yes
17,U,mother,no,no
17,U,father,no,no
18,U,mother,yes,yes
17,U,mother,no,yes
17,U,father,no,yes
17,R,father,no,no
17,U,mother,yes,yes
16,U,father,no,no
16,U,mother,no,no
16,U,mother,no,yes
17,U,father,no,yes
16,U,mother,no,yes
16,U,mother,no,yes
18,U,mother,no,no
18,U,mother,no,yes
18,U,mother,no,no
18,U,other,no,yes
17,U,mother,no,no
17,U,father,no,no
17,U,mother,no,yes
16,U,mother,no,no
17,R,mother,no,no
17,R,other,no,no
18,U,father,no,no
17,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
17,R,mother,no,no
16,U,mother,no,no
16,U,mother,no,no
17,U,mother,no,yes
17,R,father,no,yes
17,U,mother,no,yes
17,U,mother,yes,yes
18,U,other,no,yes
16,U,mother,no,no
17,U,father,no,no
17,U,father,no,no
22,U,mother,no,yes
18,R,mother,no,yes
16,U,mother,no,no
18,U,mother,no,no
16,U,other,yes,no
18,U,mother,no,no
16,R,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
18,U,mother,no,yes
17,U,mother,no,no
19,U,mother,no,no
18,U,mother,no,no
17,R,mother,no,no
18,U,mother,no,no
18,R,mother,yes,no
19,U,mother,no,no
18,U,mother,no,no
17,R,mother,no,no
17,U,father,no,yes
20,R,other,no,yes
18,U,father,no,yes
18,U,mother,no,no
18,R,mother,no,no
17,U,mother,no,no
18,U,mother,no,yes
17,U,father,no,no
18,R,mother,no,no
17,U,mother,no,yes
18,R,mother,no,no
18,U,father,no,yes
18,R,mother,no,yes
19,U,other,no,no
18,U,father,no,yes
18,U,mother,no,no
17,R,mother,no,yes
18,U,mother,no,yes
17,U,mother,no,yes
17,U,mother,yes,yes
18,R,mother,no,yes
18,U,mother,no,no
18,U,father,yes,yes
17,U,father,no,yes
19,R,father,yes,no
18,U,mother,no,no
18,U,other,no,no
17,U,mother,no,yes
17,U,mother,no,no
18,R,mother,no,no
18,U,mother,yes,no
17,U,mother,no,no
18,U,mother,no,yes
17,U,father,no,no
18,U,mother,no,no
17,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,yes
17,U,mother,no,no
17,R,mother,no,no
18,R,mother,no,no
17,U,mother,no,no
19,U,other,no,no
18,U,other,no,yes
18,U,father,no,no
18,U,mother,no,yes
18,U,mother,no,yes
17,U,father,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,father,no,no
19,R,mother,no,yes
20,U,other,no,no
19,R,father,no,yes
18,U,mother,yes,yes
18,U,mother,no,no
17,U,father,no,yes
17,R,mother,no,no
18,U,mother,no,yes
18,U,mother,no,no
17,R,father,no,no
18,U,father,no,no
19,U,mother,no,yes
18,U,mother,no,no
18,U,mother,no,yes
17,U,mother,no,no
17,U,mother,no,yes
17,U,mother,yes,no
17,U,father,no,no
18,U,father,no,no
19,U,other,no,yes
19,U,other,no,yes
18,U,mother,no,yes
17,U,mother,no,yes
17,R,mother,no,no
17,U,father,no,no
17,U,father,no,no
18,U,mother,no,no
18,U,mother,no,no
17,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
17,U,mother,no,no
18,U,mother,no,no
19,R,other,no,yes
18,U,mother,no,yes
17,R,father,no,yes
18,U,mother,no,no
18,U,mother,no,no
18,U,other,no,yes
18,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
18,U,mother,no,no
17,R,mother,no,no
18,U,father,no,no
18,U,mother,no,yes
17,U,father,no,yes
18,U,mother,no,no
18,U,mother,no,yes
18,R,mother,no,yes
18,U,mother,no,yes
17,U,mother,no,yes
17,U,mother,no,yes
17,U,mother,no,no
19,U,other,no,no
17,U,mother,no,yes
21,U,other,no,no
18,U,mother,no,no
18,U,other,no,yes
17,U,mother,no,no
17,U,mother,no,no
18,U,mother,no,no
21,R,other,no,yes
20,R,other,no,yes
19,U,other,no,yes
17,U,mother,no,no
18,U,father,no,yes
18,R,father,no,no
19,U,mother,no,no
18,U,mother,no,no
20,U,mother,yes,yes
18,U,mother,no,yes
16,U,father,no,yes
16,R,mother,no,no
15,R,mother,no,yes
15,R,mother,no,no
16,R,mother,no,no
15,R,mother,no,no
16,R,mother,no,no
16,U,mother,yes,no
17,R,father,no,yes
17,R,father,no,no
15,R,mother,no,yes
16,U,mother,no,yes
15,R,father,no,no
15,R,mother,no,yes
16,R,mother,no,no
17,R,mother,no,no
15,R,father,no,no
16,U,mother,no,yes
17,U,mother,no,no
15,R,father,no,no
15,R,father,no,no
16,R,mother,no,no
15,R,mother,no,yes
15,U,father,no,no
17,R,mother,no,yes
16,R,mother,no,yes
15,R,mother,no,no
16,R,mother,no,no
16,R,father,no,no
16,R,mother,no,no
16,U,mother,no,no
16,U,mother,no,no
15,U,mother,yes,no
16,U,father,no,yes
17,R,mother,no,no
16,R,father,no,no
16,R,father,yes,no
15,R,father,no,no
16,R,mother,no,yes
15,R,father,no,no
15,R,father,yes,no
16,R,father,no,no
18,U,father,no,yes
15,U,mother,no,no
16,R,father,no,no
15,U,mother,no,no
16,U,father,no,yes
15,R,mother,no,yes
16,R,mother,no,no
16,R,father,no,yes
16,U,mother,no,no
15,R,father,no,no
15,U,mother,no,no
16,R,mother,no,yes
15,U,father,no,no
16,R,father,yes,no
17,U,mother,no,no
19,U,other,no,yes
17,R,mother,no,yes
15,R,mother,no,yes
16,R,father,no,no
16,U,mother,no,no
17,R,mother,no,no
16,U,father,no,no
18,R,other,no,yes
19,U,mother,no,yes
18,R,mother,no,no
18,R,mother,no,yes
19,U,other,no,yes
16,R,mother,no,yes
17,U,father,no,no
16,R,mother,no,no
16,U,mother,no,yes
16,R,mother,no,yes
17,U,mother,no,no
16,U,mother,no,no
16,U,mother,no,yes
17,U,father,no,yes
16,U,father,no,no
17,R,mother,no,no
16,U,other,yes,no
19,U,mother,no,yes
17,R,mother,no,yes
20,U,mother,no,yes
17,U,father,no,yes
17,R,mother,no,no
16,R,father,no,no
17,R,mother,no,no
17,U,mother,no,yes
18,R,mother,no,yes
16,U,mother,no,no
16,U,mother,no,no
18,U,mother,yes,no
16,R,father,no,yes
16,R,mother,no,no
18,U,father,no,no
16,R,mother,no,no
16,U,mother,no,no
16,R,mother,no,no
16,U,mother,no,yes
18,U,mother,no,yes
16,R,mother,no,no
17,U,mother,no,no
17,R,mother,no,yes
16,U,mother,no,no
17,R,mother,no,no
16,U,father,no,no
17,U,mother,no,no
17,U,mother,no,yes
16,U,mother,no,yes
16,U,mother,no,yes
16,U,father,no,no
15,R,mother,no,no
15,U,mother,no,no
15,U,mother,no,no
16,R,mother,no,yes
16,U,mother,no,no
17,U,mother,no,yes
17,R,mother,yes,no
16,U,mother,no,yes
17,R,father,no,yes
17,R,father,no,yes
17,U,mother,no,yes
17,U,father,no,no
16,R,father,no,no
17,U,mother,no,yes
17,R,mother,yes,no
16,U,father,no,yes
17,U,father,no,no
19,U,mother,no,no
17,U,mother,no,yes
17,R,father,no,yes
16,R,father,yes,yes
16,R,mother,no,no
17,R,mother,no,yes
17,R,mother,no,yes
18,R,other,yes,no
17,R,mother,no,yes
18,U,mother,no,no
16,R,father,no,yes
17,U,mother,no,yes
16,R,father,no,no
16,R,mother,no,no
18,R,other,no,yes
18,R,mother,no,no
19,U,mother,no,no
18,U,mother,no,no
16,R,mother,no,yes
19,U,other,no,yes
16,U,mother,no,yes
17,U,mother,no,no
20,R,other,no,yes
18,R,mother,no,no
18,R,mother,no,no
19,R,other,no,no
17,U,mother,no,no
18,U,mother,no,yes
19,R,other,no,no
18,U,mother,no,no
19,U,mother,no,no
18,R,mother,no,yes
17,R,mother,no,no
17,R,other,no,no
17,U,mother,yes,no
18,R,mother,no,no
17,U,mother,no,yes
17,U,father,no,no
18,U,mother,no,yes
18,U,father,no,no
17,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
17,U,mother,no,no
18,R,mother,no,yes
18,U,mother,no,no
18,R,mother,no,yes
17,R,father,no,no
18,U,mother,no,yes
18,U,father,no,yes
18,R,mother,no,yes
18,U,mother,no,no
19,U,father,no,no
17,U,father,no,yes
17,R,mother,no,yes
18,U,mother,no,yes
18,U,father,no,no
19,R,other,no,yes
18,R,mother,no,yes
17,R,mother,no,yes
18,U,father,no,yes
17,R,father,no,no
17,U,mother,no,yes
18,U,father,no,yes
18,U,father,no,no
18,R,mother,no,yes
18,U,mother,no,yes
17,U,mother,no,yes
17,R,father,no,no
18,R,mother,no,no
18,U,mother,no,yes
17,R,mother,no,yes
18,U,father,no,yes
18,R,father,no,yes
18,R,father,no,yes
17,U,mother,no,yes
17,R,mother,no,no
18,R,mother,no,no
18,R,mother,no,no
19,R,other,no,yes
18,R,mother,no,no
18,U,mother,no,yes
17,R,mother,no,no
18,U,father,no,no
18,R,mother,no,yes
17,U,father,no,no
19,R,mother,no,no
18,R,father,no,no
18,R,mother,no,no
17,U,mother,no,no
18,R,mother,no,yes
19,R,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
17,U,mother,no,no
18,R,mother,no,no
18,U,mother,yes,no
17,U,father,no,no
15,U,mother,yes,no
15,U,mother,no,yes
16,U,father,no,no
16,U,mother,no,no
16,U,mother,no,no
17,U,mother,yes,no
15,U,mother,no,no
15,U,mother,no,no
15,U,mother,no,no
15,U,father,no,no
15,U,father,no,no
15,U,mother,no,no
15,U,other,no,yes
16,U,mother,no,no
16,U,mother,no,no
16,U,mother,yes,no
17,U,mother,no,no
16,U,father,no,no
15,U,mother,no,no
15,U,father,no,no
16,U,mother,no,no
16,U,mother,no,no
15,R,mother,yes,no
16,U,mother,no,no
15,U,mother,no,no
15,U,mother,no,no
16,U,mother,yes,no
16,U,mother,no,yes
15,U,mother,no,no
15,U,mother,no,no
15,R,mother,no,yes
15,U,mother,no,no
16,U,mother,no,no
15,U,father,no,no
15,U,mother,no,no
16,R,mother,no,yes
15,R,mother,yes,no
15,R,mother,yes,no
16,U,mother,no,yes
15,U,other,no,yes
15,U,father,no,no
15,U,father,yes,no
16,U,father,yes,no
15,U,mother,yes,yes
16,U,mother,no,no
16,U,mother,no,no
15,U,mother,no,no
15,U,father,yes,no
16,U,mother,no,no
15,U,mother,no,no
15,U,father,no,no
15,U,mother,yes,no
15,U,mother,no,no
16,U,mother,no,yes
15,U,mother,no,no
15,U,mother,no,no
15,U,father,yes,no
16,U,mother,no,no
16,R,mother,no,no
16,U,father,yes,yes
16,U,father,yes,no
16,U,mother,yes,no
15,U,father,yes,yes
16,U,mother,no,no
15,U,mother,no,yes
16,U,mother,yes,no
15,R,mother,yes,no
15,R,father,no,no
16,U,father,no,no
15,U,mother,no,no
15,R,mother,yes,yes
16,U,mother,no,no
16,U,mother,yes,no
15,U,mother,no,no
15,U,mother,no,no
16,U,mother,no,yes
17,U,mother,yes,no
16,U,mother,no,no
15,U,father,yes,yes
15,U,mother,yes,no
15,U,mother,no,no
15,U,mother,no,no
15,U,father,no,no
15,U,father,no,yes
16,U,mother,no,no
15,U,mother,no,no
16,U,father,no,no
16,U,mother,no,no
16,U,mother,no,yes
15,U,mother,no,no
16,U,father,yes,no
16,U,mother,no,no
15,U,mother,no,no
15,R,mother,yes,no
16,R,mother,yes,no
16,U,mother,no,yes
16,U,mother,no,no
16,U,mother,yes,no
16,U,mother,yes,no
16,U,father,no,yes
15,U,mother,no,no
15,U,mother,yes,no
15,U,mother,no,no
15,U,father,yes,no
15,U,mother,yes,no
16,U,father,no,no
15,R,father,no,yes
16,U,mother,no,yes
15,U,mother,no,no
16,R,father,yes,no
16,U,mother,yes,no
15,U,mother,no,no
15,R,mother,no,yes
16,U,father,no,no
15,U,father,no,no
16,U,father,no,no
17,R,father,no,no
15,U,father,no,no
15,U,mother,no,no
15,U,father,no,no
16,U,father,no,yes
16,U,mother,no,no
16,U,mother,no,yes
15,U,father,yes,no
15,U,mother,yes,yes
19,U,other,no,no
18,R,mother,no,no
16,R,mother,no,no
15,R,father,no,yes
15,U,mother,no,yes
17,U,father,no,yes
16,U,father,no,no
15,R,mother,no,yes
15,U,mother,no,yes
17,R,mother,no,no
16,U,other,no,yes
16,U,mother,no,yes
15,U,mother,no,no
15,U,father,yes,no
16,U,father,no,no
15,U,mother,no,no
16,U,mother,no,no
17,U,mother,no,no
15,U,father,no,no
15,U,father,no,no
15,U,mother,no,no
16,U,mother,no,yes
15,U,mother,no,no
18,U,mother,no,yes
16,U,mother,no,yes
15,R,other,no,yes
19,U,mother,no,yes
17,U,mother,yes,yes
15,R,mother,yes,no
17,R,mother,no,no
18,R,mother,no,no
16,R,mother,no,no
16,U,father,no,yes
17,R,mother,no,yes
15,R,mother,yes,yes
16,U,mother,no,no
17,U,father,no,no
17,R,mother,no,yes
16,U,mother,no,no
16,U,father,no,no
16,U,father,no,yes
16,U,mother,no,no
16,U,mother,no,yes
16,U,father,no,no
16,U,mother,no,yes
17,U,mother,no,no
16,U,mother,no,yes
16,U,mother,no,no
17,U,mother,no,no
16,U,mother,no,no
17,U,father,no,no
16,R,mother,no,yes
17,U,mother,no,yes
16,U,mother,no,no
16,U,mother,no,yes
17,U,father,no,no
17,U,mother,no,yes
16,U,mother,no,no
17,U,mother,no,yes
16,U,mother,no,yes
16,U,mother,no,yes
17,U,mother,no,yes
17,R,mother,no,no
16,U,mother,no,no
17,U,mother,no,no
17,U,other,no,no
16,R,mother,no,no
16,U,father,no,no
17,U,father,no,yes
17,U,mother,no,no
16,R,father,no,no
17,U,mother,no,no
16,U,mother,no,no
16,U,mother,no,no
16,U,mother,yes,no
17,U,mother,no,no
17,R,mother,no,no
16,R,mother,no,no
17,U,mother,no,yes
16,U,mother,no,no
16,U,mother,no,yes
16,U,mother,no,no
17,R,mother,no,yes
19,U,other,no,no
17,U,mother,no,yes
16,U,mother,yes,no
18,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
18,U,father,no,no
17,U,father,no,no
17,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,yes
16,U,mother,yes,no
18,U,mother,no,no
16,U,mother,no,no
18,R,mother,no,yes
17,U,mother,no,no
17,U,father,no,no
18,U,mother,yes,yes
17,U,mother,no,yes
17,U,father,no,yes
17,R,father,no,no
17,U,mother,yes,yes
16,U,father,no,no
16,U,mother,no,no
16,U,mother,no,yes
17,U,father,no,yes
16,U,mother,no,yes
17,R,mother,no,no
18,U,father,no,no
17,U,mother,no,yes
17,R,mother,no,no
16,U,mother,no,no
16,U,mother,no,no
18,U,other,no,yes
16,U,mother,no,no
17,U,father,no,no
22,U,mother,no,yes
18,R,mother,no,yes
16,U,mother,no,no
18,U,mother,no,no
16,U,other,yes,no
18,U,mother,no,no
16,R,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,no
19,U,mother,no,no
18,U,mother,no,no
17,U,father,no,yes
18,U,father,no,yes
18,U,mother,no,no
18,R,mother,no,no
17,U,mother,no,no
18,U,mother,no,yes
18,R,mother,no,no
17,U,mother,no,yes
18,R,mother,no,no
18,U,father,no,yes
18,R,mother,no,yes
19,U,other,no,no
18,U,father,no,yes
18,U,mother,no,no
17,R,mother,no,yes
17,U,mother,no,yes
17,U,mother,yes,yes
18,R,mother,no,yes
18,U,mother,no,no
18,U,father,yes,yes
18,U,mother,no,no
17,U,mother,no,yes
17,U,mother,no,no
18,R,mother,no,no
18,U,mother,yes,no
17,U,mother,no,no
17,U,father,no,no
18,U,mother,no,no
17,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
18,U,mother,no,yes
17,U,mother,no,no
18,U,mother,no,yes
17,R,mother,no,no
18,R,mother,no,no
17,U,mother,no,no
19,U,other,no,no
18,U,other,no,yes
18,U,father,no,no
18,U,mother,no,yes
18,U,mother,no,yes
17,U,father,no,no
17,U,mother,no,no
17,U,father,no,no
19,U,other,no,yes
18,U,other,no,no
20,U,other,no,no
19,U,other,no,yes
19,R,father,no,yes
19,U,other,yes,no
19,U,other,no,yes
19,U,other,no,yes
19,U,other,no,no
19,U,other,no,yes
19,U,other,no,yes
19,R,other,no,yes
18,U,mother,no,no
18,U,mother,no,yes
17,R,father,no,no
18,U,mother,no,no
17,U,mother,no,yes
17,U,mother,no,yes
17,R,mother,no,no
17,U,father,no,no
17,U,father,no,no
18,U,mother,no,no
17,U,mother,no,no
17,R,mother,no,no
17,U,mother,no,no
17,U,mother,no,yes
18,U,mother,no,no
17,R,father,no,yes
18,U,mother,no,no
18,U,other,no,yes
18,R,mother,no,no
17,U,mother,no,no
19,R,other,no,no
17,U,mother,no,yes
18,U,mother,no,no
17,R,mother,no,no
19,U,other,no,yes
18,U,father,no,no
18,U,mother,no,yes
17,U,father,no,yes
18,U,mother,no,no
18,U,mother,no,yes
18,R,mother,no,yes
18,U,mother,no,yes
17,U,mother,no,yes
18,R,mother,no,no
19,R,other,no,no
17,U,mother,no,no
18,U,mother,no,yes
19,R,other,no,no
17,R,mother,no,yes
18,U,father,no,yes
17,R,father,no,no
17,U,mother,no,yes
18,U,father,no,yes
18,U,father,no,no
18,R,mother,no,yes
18,R,mother,no,no
18,U,mother,no,yes
17,U,mother,no,yes
17,R,father,no,no
18,R,mother,no,no
18,U,mother,no,yes
17,R,mother,no,yes
18,U,father,no,yes
18,R,father,no,yes
19,U,other,no,yes
18,R,father,no,yes
17,U,mother,no,yes
17,R,mother,no,no
18,R,mother,no,no
18,R,mother,no,no
20,U,other,no,yes
18,R,mother,no,no
18,U,mother,no,yes
17,R,mother,no,no
18,U,father,no,no
18,R,mother,no,yes
17,U,father,no,no
19,R,mother,no,no
18,R,father,no,no
18,R,mother,no,no
18,R,mother,no,yes
19,R,mother,no,no
18,U,mother,no,no
18,U,mother,no,no
20,U,other,no,no
17,U,mother,no,no
21,R,other,no,no
18,R,mother,no,no
19,U,father,no,no
