D,E,G,H,I,J,P,V,X
U,GT3,2,2,at_home,services,no,yes,4
U,GT3,2,2,other,other,no,yes,4
R,LE3,3,4,other,other,no,yes,4
U,GT3,3,1,services,other,no,yes,5
R,GT3,4,4,teacher,other,no,yes,4
U,GT3,4,2,health,other,no,yes,5
R,GT3,2,1,other,other,no,yes,4
U,GT3,3,3,other,services,no,yes,4
U,GT3,2,3,other,services,no,yes,4
U,LE3,1,1,other,other,no,no,4
R,GT3,1,2,at_home,at_home,no,no,3
U,GT3,2,1,other,other,no,yes,4
U,GT3,2,4,at_home,health,no,yes,4
U,LE3,2,2,services,other,yes,yes,4
R,GT3,3,2,other,services,no,yes,4
U,GT3,4,4,teacher,services,no,yes,3
U,GT3,4,4,health,health,yes,yes,2
U,GT3,2,2,other,services,no,yes,4
R,GT3,3,2,services,services,yes,yes,3
U,LE3,4,3,teacher,services,no,yes,4
U,GT3,1,2,at_home,other,no,yes,3
U,LE3,4,1,services,other,no,yes,4
U,LE3,3,2,teacher,services,no,yes,4
R,LE3,1,1,at_home,other,no,no,5
U,GT3,1,1,other,other,yes,yes,5
U,GT3,2,2,other,other,no,yes,5
U,GT3,2,1,other,other,no,yes,4
U,GT3,1,1,other,other,no,yes,4
U,GT3,2,2,at_home,at_home,no,yes,4
U,GT3,1,1,services,teacher,no,yes,4
U,GT3,2,1,services,services,no,yes,4
U,LE3,4,4,teacher,teacher,no,yes,5
U,GT3,4,2,teacher,other,no,yes,4
U,GT3,4,3,health,services,no,yes,4
R,LE3,3,1,services,other,no,no,3
R,LE3,3,2,services,other,no,yes,5
U,GT3,3,3,health,other,no,yes,4
U,GT3,4,4,health,other,no,yes,2
U,LE3,4,3,other,other,no,yes,4
U,GT3,4,3,other,other,no,yes,4
U,LE3,4,4,teacher,teacher,no,yes,1
U,LE3,4,4,health,other,no,yes,4
U,LE3,4,4,other,teacher,no,yes,4
R,GT3,4,4,services,services,no,yes,5
U,GT3,4,2,other,other,no,yes,4
U,GT3,3,2,health,health,no,yes,5
R,LE3,2,1,at_home,services,no,yes,4
U,GT3,3,2,services,other,no,no,5
R,GT3,3,3,other,services,no,no,4
U,GT3,1,4,other,teacher,yes,no,3
U,GT3,2,1,services,other,no,yes,5
U,GT3,2,3,other,other,no,yes,4
R,GT3,4,4,teacher,teacher,no,yes,4
U,GT3,4,3,other,other,no,yes,4
U,LE3,4,3,health,services,no,yes,3
R,GT3,3,4,at_home,services,no,yes,4
U,GT3,3,3,at_home,other,no,yes,4
U,GT3,4,2,health,other,no,yes,5
U,GT3,4,4,teacher,other,no,yes,4
U,GT3,3,4,other,other,no,yes,5
U,GT3,4,4,health,health,no,yes,5
U,GT3,4,3,services,services,no,yes,5
U,LE3,3,3,services,other,yes,yes,5
U,LE3,2,1,other,other,no,yes,4
U,LE3,4,4,other,other,no,yes,4
U,GT3,1,1,other,other,no,no,1
U,LE3,1,1,other,other,no,yes,5
U,GT3,2,2,other,other,no,yes,4
U,GT3,2,2,other,other,no,no,4
R,LE3,2,2,services,services,no,yes,3
U,GT3,3,1,services,services,no,yes,3
U,LE3,0,2,at_home,at_home,no,yes,3
U,GT3,1,1,other,other,no,yes,4
U,GT3,4,4,other,other,no,yes,4
U,GT3,3,3,other,services,no,yes,4
R,GT3,2,2,services,other,no,yes,4
U,GT3,4,4,teacher,services,no,yes,5
U,GT3,4,4,teacher,teacher,no,yes,4
U,GT3,3,3,at_home,other,no,yes,4
U,LE3,2,2,other,other,no,yes,4
R,GT3,3,2,at_home,services,no,no,5
U,GT3,2,2,at_home,other,no,no,4
R,GT3,2,4,at_home,other,no,yes,4
U,GT3,2,2,other,other,no,yes,5
U,GT3,3,3,services,services,no,yes,5
U,LE3,2,2,other,other,no,yes,4
R,GT3,2,2,at_home,other,no,no,4
U,GT3,3,4,services,other,no,yes,4
U,GT3,3,2,other,other,no,yes,4
U,LE3,3,3,services,services,no,yes,5
R,GT3,3,2,other,other,no,yes,4
U,GT3,4,4,teacher,services,no,yes,4
U,LE3,3,4,services,other,no,yes,4
U,GT3,2,2,at_home,at_home,no,yes,3
U,GT3,2,3,at_home,other,no,yes,4
U,GT3,3,2,other,services,no,yes,5
R,GT3,4,3,teacher,services,no,yes,5
U,GT3,4,3,teacher,other,no,yes,5
U,GT3,4,3,health,other,no,yes,4
U,GT3,2,1,services,other,no,yes,4
U,GT3,2,1,services,other,no,yes,4
U,LE3,2,3,at_home,other,no,yes,2
U,GT3,3,1,other,at_home,no,yes,4
U,LE3,4,4,other,other,no,yes,3
U,LE3,2,2,services,services,no,yes,4
U,LE3,3,4,other,other,no,yes,4
U,GT3,2,2,services,services,no,yes,4
U,LE3,4,4,health,other,no,yes,4
U,LE3,4,2,teacher,other,no,yes,4
R,LE3,1,1,at_home,other,no,yes,5
R,GT3,1,1,other,other,no,yes,3
U,GT3,4,4,teacher,other,no,yes,3
U,LE3,3,2,other,other,no,yes,4
U,GT3,3,2,at_home,other,no,yes,4
R,GT3,2,3,other,services,no,yes,3
U,GT3,2,1,other,other,no,yes,5
U,LE3,2,2,services,other,no,yes,4
U,GT3,1,0,other,other,yes,yes,5
U,GT3,3,2,services,other,no,yes,3
U,GT3,1,3,at_home,other,no,yes,4
R,GT3,2,2,other,other,no,yes,4
R,GT3,1,1,at_home,services,no,no,4
R,GT3,3,3,at_home,other,no,yes,5
R,GT3,2,3,at_home,services,no,no,4
R,LE3,2,1,at_home,other,no,no,1
R,LE3,4,4,at_home,other,no,no,5
U,GT3,1,2,other,other,yes,yes,4
R,GT3,3,2,at_home,other,no,no,4
R,GT3,1,1,other,other,no,yes,5
R,GT3,4,4,teacher,other,no,yes,1
U,LE3,2,2,at_home,other,no,no,1
R,LE3,1,1,at_home,services,no,yes,5
R,LE3,1,1,other,services,no,yes,4
R,GT3,0,2,other,other,no,no,3
R,GT3,2,3,other,other,no,yes,5
R,GT3,3,3,other,services,no,yes,4
U,GT3,1,1,at_home,services,no,no,5
U,GT3,1,1,other,other,no,yes,4
R,LE3,4,1,health,services,no,yes,5
R,LE3,4,1,health,services,no,yes,5
R,GT3,3,4,other,health,no,no,3
R,GT3,1,1,other,other,no,no,5
U,LE3,3,3,at_home,at_home,no,yes,5
R,GT3,2,1,other,other,no,no,5
R,GT3,4,4,teacher,teacher,no,yes,4
R,GT3,1,2,other,services,no,no,5
R,GT3,2,3,other,services,no,yes,4
R,GT3,1,2,other,other,no,no,4
R,GT3,2,2,other,other,no,yes,4
U,GT3,1,2,other,services,no,no,1
U,GT3,1,2,other,services,no,no,1
U,GT3,2,1,at_home,other,yes,yes,4
U,GT3,1,1,at_home,other,no,no,5
R,LE3,1,2,at_home,services,no,yes,5
R,GT3,1,1,other,other,no,yes,4
R,GT3,1,1,at_home,other,yes,no,4
R,GT3,1,1,at_home,other,no,yes,4
R,GT3,1,1,at_home,other,no,yes,4
R,GT3,1,1,at_home,at_home,no,no,4
R,LE3,2,2,other,other,yes,no,4
R,GT3,1,1,at_home,other,no,no,3
U,GT3,1,2,other,other,no,yes,3
U,GT3,3,1,other,services,no,no,3
R,GT3,2,2,other,services,no,yes,5
U,GT3,2,2,health,other,no,no,4
U,GT3,4,4,other,teacher,no,no,4
R,GT3,3,3,services,other,no,yes,4
R,GT3,2,2,at_home,other,no,no,4
R,LE3,2,2,other,other,no,no,4
U,LE3,2,1,at_home,services,no,yes,2
R,LE3,1,3,at_home,other,no,yes,4
U,GT3,2,2,other,services,no,no,5
R,LE3,2,1,other,other,no,yes,5
U,GT3,3,3,services,services,no,yes,4
R,GT3,1,1,at_home,other,yes,no,3
U,GT3,2,2,other,at_home,no,no,4
U,GT3,2,3,at_home,services,no,yes,4
R,GT3,2,1,at_home,other,no,no,5
R,LE3,1,1,at_home,other,no,no,5
R,GT3,2,2,other,other,no,yes,3
U,LE3,2,2,other,other,no,no,4
R,GT3,2,2,at_home,other,no,yes,4
U,GT3,2,2,other,services,no,yes,4
R,LE3,3,2,other,other,no,no,3
U,GT3,1,1,at_home,services,no,no,5
R,GT3,1,1,other,other,no,yes,4
R,GT3,1,1,at_home,at_home,no,yes,3
U,GT3,1,1,other,other,no,yes,1
R,GT3,2,2,health,other,no,no,3
U,GT3,0,1,other,at_home,no,no,2
R,LE3,1,2,at_home,other,no,yes,4
U,GT3,3,3,other,other,no,yes,4
R,LE3,1,1,services,services,no,yes,4
U,GT3,3,3,services,at_home,no,no,5
U,GT3,2,1,other,services,no,yes,5
U,GT3,2,2,services,other,no,no,4
U,GT3,1,2,other,other,no,yes,5
U,LE3,4,3,other,other,no,yes,4
R,LE3,2,2,services,services,no,no,1
U,GT3,1,1,other,other,yes,yes,2
U,LE3,2,2,other,other,no,yes,5
R,GT3,1,1,at_home,other,no,yes,4
U,GT3,3,3,at_home,services,no,yes,3
U,LE3,1,1,other,services,no,no,4
R,GT3,2,2,other,other,no,yes,4
R,LE3,1,1,at_home,other,no,no,5
R,GT3,2,2,other,other,no,no,5
U,GT3,1,0,other,other,no,yes,4
R,GT3,1,1,at_home,other,no,yes,4
U,GT3,3,1,other,other,no,yes,3
U,GT3,3,2,services,at_home,no,yes,3
U,LE3,1,1,other,at_home,yes,no,2
R,GT3,4,4,health,teacher,no,yes,4
R,LE3,1,2,other,other,no,yes,5
U,GT3,2,4,other,services,no,yes,2
R,GT3,2,1,other,services,no,yes,5
U,LE3,1,1,at_home,other,no,yes,4
R,GT3,2,3,at_home,services,no,yes,3
U,GT3,4,4,health,health,no,yes,4
U,LE3,4,4,at_home,health,no,yes,5
R,LE3,3,4,at_home,other,no,no,4
U,LE3,4,4,other,services,no,yes,4
R,GT3,4,1,other,other,no,yes,4
U,LE3,2,2,services,services,no,no,5
R,GT3,2,2,at_home,other,no,yes,5
U,LE3,4,4,services,services,no,no,5
U,GT3,3,3,services,services,no,yes,4
U,GT3,1,1,at_home,services,no,yes,5
U,GT3,2,1,health,services,no,yes,4
U,LE3,2,1,other,services,no,yes,3
U,LE3,4,4,teacher,health,no,yes,4
R,GT3,1,2,other,services,no,no,5
U,LE3,2,2,other,other,no,no,5
U,LE3,2,1,services,services,no,yes,4
R,LE3,2,2,other,other,no,no,4
U,LE3,4,1,other,other,no,yes,1
U,GT3,3,2,at_home,other,no,no,4
R,GT3,2,2,other,other,yes,no,5
U,GT3,4,4,teacher,services,no,yes,5
R,GT3,4,4,health,other,no,yes,3
R,LE3,1,3,other,other,no,no,5
U,GT3,3,4,services,other,no,yes,5
U,GT3,4,4,health,health,no,yes,5
R,LE3,4,1,other,at_home,no,yes,4
U,GT3,1,1,at_home,at_home,no,yes,4
R,GT3,4,2,other,other,yes,yes,4
U,LE3,2,2,other,services,no,yes,4
U,GT3,3,2,other,other,no,yes,4
U,GT3,1,1,other,other,no,yes,4
U,LE3,1,0,other,other,no,no,4
R,GT3,1,1,at_home,at_home,no,yes,3
R,GT3,1,2,other,other,yes,yes,4
R,LE3,1,2,other,at_home,no,no,4
R,GT3,3,1,other,other,no,yes,5
R,GT3,2,2,other,other,no,no,5
R,GT3,1,0,at_home,at_home,yes,no,4
R,GT3,1,1,other,services,no,yes,4
U,LE3,1,1,at_home,at_home,no,no,4
R,LE3,2,2,other,services,no,no,5
U,GT3,2,2,other,other,no,no,1
R,GT3,3,2,services,other,no,yes,4
R,LE3,1,1,at_home,other,no,yes,4
R,GT3,1,1,services,other,no,yes,5
R,GT3,3,2,services,other,no,yes,2
U,GT3,3,2,at_home,services,no,no,3
U,GT3,3,3,at_home,at_home,no,yes,4
R,GT3,2,2,services,services,no,yes,5
U,GT3,2,1,at_home,other,no,yes,4
U,GT3,3,2,services,at_home,no,no,2
U,GT3,1,1,other,at_home,no,no,4
R,GT3,1,1,other,other,no,yes,4
R,GT3,4,3,services,services,no,yes,5
R,GT3,3,2,other,other,no,yes,2
R,GT3,1,1,other,services,no,yes,5
U,GT3,3,3,health,other,no,yes,4
U,LE3,1,3,at_home,services,no,yes,4
R,GT3,1,1,other,other,no,yes,4
U,GT3,1,2,at_home,other,no,no,4
U,LE3,1,1,at_home,other,no,no,1
R,GT3,2,2,other,other,no,yes,5
R,GT3,0,0,at_home,other,no,yes,4
R,LE3,3,1,other,at_home,no,no,4
U,GT3,4,2,teacher,services,yes,yes,5
R,LE3,2,2,services,services,no,yes,2
U,GT3,4,1,health,at_home,no,no,3
U,LE3,1,2,at_home,other,no,yes,5
U,GT3,1,1,other,other,no,no,3
U,GT3,2,2,services,at_home,no,yes,4
U,GT3,3,3,services,services,no,yes,4
U,LE3,1,2,at_home,other,no,yes,4
U,GT3,4,4,teacher,teacher,no,yes,4
U,LE3,4,4,services,other,no,yes,5
U,GT3,4,2,other,other,no,yes,4
R,GT3,2,2,at_home,other,no,no,4
U,LE3,1,2,at_home,services,no,no,4
R,GT3,4,4,at_home,services,no,yes,2
R,GT3,1,1,other,services,no,no,4
U,GT3,2,2,other,other,no,yes,1
U,LE3,2,2,services,services,no,yes,5
R,LE3,4,2,teacher,other,no,yes,5
U,GT3,1,1,at_home,services,no,no,4
U,GT3,1,1,at_home,services,no,no,5
U,GT3,4,2,teacher,other,no,yes,4
R,LE3,2,1,services,other,no,yes,5
U,LE3,1,1,at_home,services,no,no,5
U,GT3,1,2,at_home,at_home,no,no,4
R,GT3,1,1,at_home,at_home,no,no,3
R,GT3,2,2,services,other,no,yes,4
R,GT3,4,3,services,other,no,yes,4
U,GT3,3,3,services,services,no,no,5
R,GT3,4,4,teacher,services,no,yes,4
U,LE3,3,2,services,other,no,no,1
U,LE3,1,1,other,services,no,yes,3
U,LE3,1,1,at_home,services,no,yes,5
R,LE3,1,2,at_home,other,no,no,4
U,GT3,3,3,services,services,no,yes,4
U,LE3,4,4,at_home,at_home,no,yes,2
R,GT3,1,2,other,services,no,no,3
R,GT3,1,3,at_home,other,no,no,3
U,LE3,4,4,teacher,services,no,yes,4
R,GT3,1,1,other,services,no,yes,5
U,GT3,2,3,at_home,services,no,yes,5
R,GT3,4,4,other,teacher,no,yes,3
R,LE3,1,2,at_home,services,no,yes,4
U,GT3,2,2,other,at_home,no,no,3
R,GT3,1,2,other,other,no,yes,3
R,LE3,4,4,other,other,no,yes,5
R,GT3,1,1,other,other,no,yes,4
R,GT3,1,1,at_home,other,no,yes,4
R,LE3,4,4,teacher,services,no,yes,5
U,GT3,3,3,other,other,no,yes,4
R,GT3,3,1,at_home,other,no,yes,4
U,GT3,4,4,teacher,teacher,no,yes,3
R,GT3,2,1,other,other,no,yes,4
U,GT3,2,3,other,services,no,yes,4
R,GT3,1,1,other,services,no,no,4
R,GT3,4,2,other,other,no,no,5
R,GT3,2,2,at_home,other,no,no,5
