C,I,O,U
15,services,0,yes
19,services,0,no
17,other,0,yes
15,at_home,0,yes
17,other,3,yes
18,at_home,3,yes
16,at_home,0,yes
16,other,1,yes
16,health,2,yes
17,at_home,1,no
17,other,2,yes
15,other,0,yes
16,at_home,1,no
17,other,0,no
17,services,3,no
16,other,0,no
16,health,0,yes
16,other,0,yes
16,health,0,yes
16,other,1,yes
16,other,0,yes
17,teacher,0,yes
16,at_home,0,yes
16,other,0,yes
17,teacher,0,yes
16,services,0,yes
17,other,0,yes
16,teacher,0,yes
17,other,0,yes
16,teacher,0,yes
16,services,0,yes
17,services,0,yes
17,other,0,yes
16,other,0,yes
17,services,0,yes
16,services,0,yes
16,other,0,yes
17,health,0,yes
17,at_home,0,yes
16,services,0,yes
17,at_home,0,yes
17,at_home,0,yes
16,services,0,yes
16,other,0,yes
17,services,0,yes
17,services,0,yes
16,teacher,0,yes
17,services,1,yes
16,teacher,0,yes
16,health,0,yes
16,other,0,yes
17,other,0,yes
17,other,0,yes
16,services,0,yes
17,at_home,1,yes
16,services,0,yes
16,teacher,0,yes
16,at_home,0,yes
17,teacher,0,yes
19,other,0,yes
17,services,0,yes
16,other,0,yes
18,services,0,yes
17,services,0,yes
17,other,0,yes
17,other,0,yes
18,services,0,yes
17,at_home,0,yes
17,at_home,0,yes
17,at_home,0,yes
17,at_home,0,yes
16,services,0,yes
18,other,3,yes
16,teacher,0,yes
18,other,0,yes
17,other,0,yes
17,services,0,yes
18,at_home,0,yes
17,other,0,yes
17,health,0,yes
17,other,0,yes
17,teacher,0,yes
16,health,0,yes
16,other,0,yes
16,at_home,0,yes
17,other,0,yes
16,other,0,yes
16,other,0,yes
18,services,1,yes
18,at_home,1,yes
18,other,1,no
18,other,1,no
17,teacher,0,yes
17,other,0,yes
17,at_home,0,yes
16,other,0,no
17,at_home,0,yes
17,other,1,yes
18,other,0,no
17,other,1,no
17,at_home,0,yes
17,teacher,0,yes
17,health,0,yes
17,teacher,0,yes
16,teacher,0,yes
16,services,0,yes
17,teacher,0,yes
17,other,0,yes
17,services,0,yes
17,at_home,0,yes
18,other,0,yes
16,other,0,yes
17,other,0,yes
17,other,0,yes
22,services,3,no
18,other,0,yes
16,other,0,yes
18,services,0,no
16,at_home,1,yes
18,services,2,no
16,other,0,yes
17,other,0,yes
17,health,1,yes
18,other,0,yes
17,teacher,0,yes
19,services,0,yes
18,services,1,no
17,other,0,yes
18,other,0,yes
18,other,0,yes
19,services,0,yes
18,other,0,yes
17,other,0,no
17,services,0,yes
20,other,0,no
18,services,0,yes
18,teacher,0,yes
18,other,0,yes
17,other,0,yes
18,at_home,0,yes
17,other,0,no
18,other,0,yes
17,services,0,yes
18,teacher,0,yes
18,health,0,yes
18,other,0,no
19,other,0,yes
18,other,0,yes
18,other,0,yes
17,at_home,0,yes
18,other,0,yes
17,at_home,0,yes
17,services,0,yes
18,other,0,no
18,teacher,0,yes
18,health,1,yes
17,other,0,yes
19,services,1,no
18,teacher,0,yes
18,at_home,0,no
17,services,0,yes
17,teacher,0,yes
18,at_home,0,yes
18,other,0,yes
17,other,0,yes
18,other,0,yes
17,other,0,yes
18,at_home,0,yes
17,services,0,yes
18,services,0,yes
18,teacher,0,yes
18,teacher,0,yes
17,health,0,yes
17,services,0,yes
18,services,0,yes
17,health,0,yes
19,health,0,yes
18,other,0,yes
18,other,0,yes
18,teacher,0,yes
18,health,0,yes
17,other,0,yes
17,services,0,yes
17,other,0,yes
17,health,0,yes
19,at_home,1,yes
20,services,2,yes
19,other,0,yes
18,other,0,yes
18,services,0,yes
17,other,0,yes
17,teacher,0,yes
18,other,0,yes
18,health,0,yes
17,at_home,0,yes
18,at_home,0,yes
19,health,0,yes
18,teacher,0,yes
18,other,0,yes
17,health,0,yes
17,services,0,yes
17,services,0,yes
17,other,0,yes
18,other,0,yes
19,other,0,no
19,other,2,yes
18,other,0,yes
17,other,0,yes
17,services,0,yes
17,services,0,yes
17,at_home,0,yes
18,other,0,yes
18,other,0,yes
17,other,0,yes
17,services,0,yes
17,teacher,0,yes
17,teacher,0,yes
17,at_home,0,yes
18,other,0,yes
19,at_home,0,yes
18,at_home,0,yes
17,at_home,0,yes
18,other,0,yes
18,services,0,yes
18,other,0,yes
18,at_home,0,yes
17,services,0,yes
17,other,0,yes
18,services,0,yes
17,other,0,yes
18,teacher,0,yes
18,services,0,yes
17,at_home,0,yes
18,at_home,0,yes
18,other,0,yes
18,teacher,0,yes
18,teacher,0,yes
17,health,0,yes
17,services,0,yes
17,services,0,yes
19,at_home,1,no
17,other,1,yes
21,other,2,yes
18,services,0,no
18,other,0,yes
17,services,0,yes
17,health,0,yes
18,teacher,0,yes
21,at_home,2,no
20,other,0,yes
19,teacher,1,yes
17,other,0,yes
18,at_home,0,yes
18,other,0,yes
19,other,0,yes
18,services,0,yes
20,other,1,yes
18,services,0,yes
16,at_home,0,no
16,other,0,yes
15,at_home,1,yes
15,at_home,0,yes
16,at_home,0,yes
15,at_home,0,no
16,at_home,0,yes
16,other,0,yes
17,at_home,1,yes
17,other,1,no
15,teacher,0,yes
16,at_home,0,no
15,at_home,0,yes
15,other,1,yes
16,other,0,yes
17,other,0,yes
15,other,0,yes
16,at_home,0,yes
17,other,0,yes
15,health,0,yes
15,health,0,yes
16,other,0,yes
15,other,0,yes
15,at_home,0,yes
17,other,0,no
16,teacher,0,yes
15,other,0,yes
16,other,0,yes
16,other,0,yes
16,other,0,yes
16,other,1,yes
16,other,1,yes
15,at_home,0,yes
16,at_home,0,yes
17,at_home,0,yes
16,other,0,yes
16,at_home,0,yes
15,at_home,0,yes
16,at_home,0,yes
15,at_home,0,yes
15,other,0,yes
16,at_home,0,yes
18,other,1,yes
15,other,0,yes
16,other,0,yes
15,health,0,yes
16,other,0,yes
15,services,0,yes
16,at_home,1,yes
16,other,0,yes
16,at_home,0,yes
15,at_home,0,yes
15,other,0,yes
16,other,0,yes
15,services,0,yes
16,at_home,3,yes
17,other,0,no
19,at_home,1,no
17,at_home,0,no
15,at_home,0,no
16,other,0,no
16,other,0,no
17,at_home,0,yes
16,other,1,yes
18,other,2,no
19,at_home,1,no
18,other,1,no
18,at_home,1,no
19,other,1,yes
16,health,0,yes
17,other,0,yes
16,at_home,0,no
16,other,0,no
16,services,0,yes
17,services,1,yes
16,other,0,yes
16,services,0,yes
17,other,1,no
16,other,0,yes
17,services,1,yes
16,other,0,yes
19,other,0,yes
17,at_home,0,yes
20,at_home,1,yes
17,other,0,yes
17,other,1,yes
16,at_home,0,yes
17,other,0,yes
17,other,0,yes
18,at_home,1,yes
16,other,0,yes
16,services,0,yes
18,other,0,yes
16,health,0,yes
16,other,0,yes
18,other,1,yes
16,other,0,yes
16,at_home,0,yes
16,at_home,0,yes
16,health,0,yes
18,at_home,0,no
16,at_home,0,yes
17,other,0,yes
17,other,0,yes
16,services,0,yes
17,at_home,0,yes
16,services,0,yes
17,services,0,yes
17,at_home,0,yes
16,health,0,yes
16,other,0,yes
16,teacher,0,yes
15,other,0,yes
15,other,0,yes
15,services,0,yes
16,other,0,yes
16,other,0,yes
17,at_home,0,yes
17,other,0,yes
16,teacher,0,yes
17,health,3,yes
17,other,0,yes
17,services,1,yes
17,health,0,yes
16,other,0,yes
17,at_home,0,yes
17,other,0,yes
16,other,0,yes
17,other,0,yes
19,other,2,no
17,other,0,yes
17,at_home,0,no
16,other,0,yes
16,other,0,yes
17,other,3,yes
17,other,0,no
18,at_home,1,yes
17,other,0,yes
18,at_home,0,yes
16,other,0,yes
17,other,1,yes
16,services,0,yes
16,at_home,0,yes
18,services,1,no
18,services,1,no
19,at_home,3,yes
18,at_home,2,no
16,services,0,yes
19,at_home,3,no
16,services,2,yes
17,other,0,yes
20,other,1,no
18,services,0,yes
18,other,0,yes
19,other,1,yes
17,health,1,yes
18,at_home,0,no
19,other,1,yes
18,at_home,2,yes
19,at_home,0,no
18,other,1,no
17,at_home,0,yes
17,other,0,no
17,teacher,0,yes
18,services,1,yes
17,health,0,yes
17,at_home,0,yes
18,other,2,yes
18,services,0,yes
17,services,0,yes
18,at_home,0,yes
18,teacher,0,yes
18,services,0,yes
17,other,0,yes
18,at_home,1,yes
18,at_home,0,yes
18,at_home,0,yes
17,other,0,no
18,other,0,yes
18,services,0,yes
18,teacher,0,yes
18,at_home,1,no
19,at_home,1,no
17,teacher,0,yes
17,services,0,yes
18,at_home,0,yes
18,at_home,0,no
19,at_home,3,no
18,services,0,yes
17,services,1,yes
18,services,0,yes
17,teacher,0,yes
17,services,0,yes
18,other,0,yes
18,at_home,0,yes
18,at_home,0,yes
18,services,0,yes
17,at_home,0,yes
17,other,0,yes
18,at_home,0,yes
18,teacher,0,yes
17,other,1,yes
18,at_home,0,yes
18,other,0,yes
18,at_home,0,no
17,other,0,yes
17,other,0,yes
18,other,0,yes
18,other,0,yes
19,at_home,1,yes
18,teacher,0,yes
18,other,0,yes
17,at_home,0,yes
18,teacher,0,yes
18,other,0,yes
17,other,0,yes
19,other,1,yes
18,other,1,yes
18,at_home,0,yes
17,teacher,0,yes
18,teacher,0,yes
19,services,1,yes
18,teacher,0,yes
18,other,0,yes
17,services,0,yes
18,services,0,yes
18,at_home,0,yes
17,at_home,0,yes
15,at_home,3,yes
15,health,0,yes
16,other,0,yes
16,services,0,yes
16,other,0,yes
17,other,0,yes
15,services,0,yes
15,other,0,yes
15,teacher,0,yes
15,services,0,yes
15,health,0,yes
15,teacher,0,yes
15,other,0,yes
16,health,0,yes
16,services,0,yes
16,other,0,yes
17,services,3,yes
16,health,0,yes
15,teacher,0,yes
15,health,0,yes
16,teacher,0,yes
16,other,0,yes
15,services,0,yes
16,services,2,yes
15,other,0,yes
15,health,0,yes
16,services,0,yes
16,teacher,0,yes
15,health,0,yes
15,services,0,yes
15,teacher,0,yes
15,other,0,yes
16,other,0,yes
15,other,0,yes
15,teacher,0,yes
16,other,0,yes
15,services,0,yes
15,at_home,0,yes
16,other,1,yes
15,teacher,0,yes
15,services,0,yes
15,services,0,yes
16,other,1,yes
15,other,0,yes
16,other,0,yes
16,health,0,yes
15,teacher,0,yes
15,services,1,yes
16,services,0,yes
15,health,0,yes
15,health,1,yes
15,services,0,yes
15,other,0,yes
16,other,0,yes
15,services,0,yes
15,teacher,0,yes
15,other,0,yes
16,services,0,yes
16,health,0,yes
16,services,0,yes
16,other,0,yes
16,teacher,0,yes
15,services,0,yes
16,teacher,0,yes
15,other,0,yes
16,services,0,yes
15,health,0,yes
15,other,0,yes
16,other,0,yes
15,other,0,yes
15,other,2,yes
16,other,0,yes
16,other,0,yes
15,teacher,0,yes
15,teacher,0,yes
16,other,0,yes
17,other,3,no
16,at_home,0,yes
15,other,0,yes
15,other,0,yes
15,services,0,yes
15,services,0,yes
15,other,0,yes
15,services,2,yes
16,at_home,0,yes
15,other,0,yes
16,services,1,yes
16,teacher,0,yes
16,other,0,yes
15,services,0,yes
16,other,0,yes
16,teacher,0,yes
15,services,0,yes
15,at_home,1,yes
16,services,0,yes
16,other,0,yes
16,other,0,yes
16,other,0,yes
16,services,0,yes
16,services,0,yes
15,services,0,yes
15,services,0,yes
15,services,0,yes
15,other,0,yes
15,other,0,yes
16,services,0,yes
15,other,0,yes
16,health,0,yes
15,teacher,0,yes
16,services,1,yes
16,at_home,1,yes
15,teacher,0,yes
15,health,0,yes
16,teacher,0,yes
15,other,0,yes
16,other,0,yes
17,other,1,yes
15,other,0,yes
15,at_home,0,yes
15,services,0,yes
16,other,0,yes
16,health,0,yes
16,other,0,yes
15,services,0,yes
15,other,0,yes
19,at_home,3,no
18,services,2,yes
16,teacher,0,yes
15,services,2,yes
15,at_home,0,yes
17,other,0,yes
16,services,0,yes
15,at_home,0,yes
15,services,0,yes
17,at_home,0,yes
16,other,2,yes
16,services,1,yes
15,teacher,0,yes
15,teacher,0,yes
16,services,2,yes
15,teacher,0,yes
16,at_home,0,yes
17,other,3,yes
15,other,0,yes
15,health,3,yes
15,at_home,0,yes
16,teacher,0,no
15,services,3,yes
18,other,3,no
16,at_home,1,yes
15,services,2,yes
19,services,3,no
17,other,0,yes
15,at_home,0,yes
17,other,0,yes
18,at_home,3,yes
16,at_home,0,yes
16,other,1,yes
17,at_home,2,no
15,other,2,yes
16,other,1,yes
17,at_home,0,no
17,other,3,no
16,services,1,no
16,other,0,no
16,health,0,yes
16,other,0,yes
16,health,0,yes
16,other,2,yes
16,other,0,yes
17,teacher,0,yes
16,at_home,3,yes
16,other,0,yes
17,teacher,0,yes
16,services,0,yes
17,other,0,yes
16,teacher,0,yes
17,other,0,yes
16,teacher,0,yes
16,services,0,yes
17,services,0,yes
17,other,0,yes
16,other,0,yes
17,services,0,yes
16,services,0,yes
16,other,0,yes
17,health,0,yes
17,at_home,0,yes
16,services,0,yes
17,at_home,0,yes
17,at_home,0,yes
16,services,0,yes
16,other,0,yes
17,services,0,yes
17,services,0,yes
16,teacher,0,yes
17,services,1,yes
16,teacher,0,yes
16,health,0,yes
16,other,0,yes
17,other,0,yes
17,other,0,yes
16,services,0,yes
17,at_home,1,yes
16,services,3,yes
16,teacher,0,yes
16,at_home,0,yes
17,teacher,0,yes
19,other,0,yes
17,services,0,yes
16,other,0,yes
18,services,1,yes
17,services,0,yes
17,other,0,yes
17,other,2,yes
18,services,1,yes
17,at_home,0,yes
17,at_home,0,yes
17,at_home,0,yes
17,at_home,1,yes
16,services,0,yes
18,other,0,yes
16,teacher,0,yes
18,other,1,yes
17,other,0,yes
17,services,0,yes
18,at_home,0,yes
17,other,0,yes
17,health,0,yes
17,other,0,yes
17,teacher,0,yes
16,health,0,yes
16,other,0,yes
16,at_home,0,yes
17,other,0,yes
16,other,0,yes
17,at_home,0,yes
18,other,1,no
17,health,0,yes
17,teacher,0,yes
16,teacher,0,yes
16,services,0,yes
18,other,0,yes
16,other,0,yes
17,other,0,yes
22,services,3,no
18,other,1,yes
16,other,0,yes
18,services,1,no
16,at_home,0,yes
18,services,1,no
16,other,0,yes
17,other,0,yes
17,health,1,yes
17,teacher,0,yes
19,services,0,yes
18,other,0,yes
17,services,0,yes
18,services,0,yes
18,teacher,0,yes
18,other,0,yes
17,other,0,yes
18,at_home,0,yes
18,other,0,yes
17,services,0,yes
18,teacher,0,yes
18,health,0,yes
18,other,0,no
19,other,2,yes
18,other,0,yes
18,other,0,yes
17,at_home,0,yes
17,at_home,0,yes
17,services,0,yes
18,other,0,no
18,teacher,0,yes
18,health,1,yes
18,teacher,0,yes
17,services,0,yes
17,teacher,1,yes
18,at_home,0,yes
18,other,0,yes
17,other,0,yes
17,other,0,yes
18,at_home,0,yes
17,services,0,yes
18,services,0,yes
18,teacher,0,yes
18,teacher,0,yes
17,health,0,yes
18,services,1,yes
17,services,0,yes
18,services,0,yes
17,health,0,yes
19,health,0,yes
18,other,0,yes
18,other,0,yes
18,teacher,0,yes
18,health,0,yes
17,other,0,yes
17,other,0,yes
17,health,0,yes
19,other,1,yes
18,services,1,yes
20,services,0,yes
19,teacher,1,yes
19,other,1,yes
19,at_home,1,yes
19,services,1,yes
19,at_home,0,no
19,other,1,yes
19,services,1,yes
19,at_home,2,yes
19,other,1,yes
18,services,0,yes
18,other,0,yes
17,at_home,0,yes
18,teacher,0,yes
17,services,0,yes
17,other,0,yes
17,services,0,yes
17,services,0,yes
17,at_home,0,yes
18,other,0,yes
17,other,0,yes
17,services,0,yes
17,teacher,0,yes
17,teacher,0,yes
18,other,0,yes
17,at_home,0,yes
18,services,0,yes
18,other,0,yes
18,at_home,0,yes
17,services,0,yes
19,services,1,yes
17,other,0,yes
18,services,0,yes
17,other,0,yes
19,services,1,yes
18,teacher,1,yes
18,services,0,yes
17,at_home,1,yes
18,at_home,0,yes
18,other,0,yes
18,teacher,0,yes
18,teacher,0,yes
17,health,0,yes
18,other,1,yes
19,other,3,yes
17,health,0,yes
18,at_home,1,no
19,other,1,yes
17,services,0,yes
18,services,0,yes
17,teacher,0,yes
17,services,0,yes
18,other,0,yes
18,at_home,0,yes
18,at_home,0,yes
18,at_home,1,no
18,services,0,yes
17,at_home,0,yes
17,other,0,yes
18,at_home,0,yes
18,teacher,0,yes
17,other,1,yes
18,at_home,0,yes
18,other,0,yes
19,services,2,yes
18,at_home,0,no
17,other,0,yes
17,other,0,yes
18,other,0,yes
18,other,0,yes
20,health,2,yes
18,teacher,0,yes
18,other,0,yes
17,at_home,0,yes
18,teacher,0,yes
18,other,0,yes
17,other,0,yes
19,other,1,yes
18,other,1,yes
18,at_home,0,yes
18,teacher,0,yes
19,services,1,yes
18,teacher,0,yes
18,other,1,yes
20,services,2,yes
17,services,0,yes
21,other,3,yes
18,services,0,yes
19,other,0,yes
