I,O,T,U,Z
other,0,yes,yes,3
other,0,yes,yes,2
services,0,yes,yes,4
services,0,yes,yes,3
other,0,yes,yes,3
health,0,no,yes,3
at_home,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,no,yes,4
services,0,yes,yes,2
other,0,yes,yes,3
services,0,yes,yes,2
services,0,yes,yes,3
teacher,0,yes,yes,4
services,1,yes,yes,4
teacher,0,yes,yes,2
health,0,yes,yes,5
other,0,yes,yes,3
other,0,no,yes,4
other,0,yes,yes,2
services,0,no,yes,5
at_home,1,yes,yes,3
services,0,yes,yes,3
teacher,0,yes,yes,2
at_home,0,yes,yes,2
teacher,0,yes,yes,2
other,0,yes,yes,3
services,0,yes,yes,5
other,0,yes,yes,4
services,0,yes,yes,4
services,0,yes,yes,1
other,0,yes,yes,4
other,0,yes,yes,5
services,0,yes,yes,4
at_home,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,yes,yes,5
at_home,0,yes,yes,4
services,0,yes,yes,1
other,3,yes,yes,3
teacher,0,no,yes,2
other,0,yes,yes,3
other,0,no,yes,4
services,0,no,yes,3
at_home,0,yes,yes,2
other,0,yes,yes,3
health,0,yes,yes,3
other,0,yes,yes,2
teacher,0,yes,yes,5
health,0,yes,yes,4
other,0,yes,yes,2
at_home,0,yes,yes,3
other,0,no,yes,2
other,0,yes,yes,2
other,0,yes,yes,3
services,1,yes,yes,3
at_home,1,no,yes,1
other,1,yes,no,1
other,1,no,no,3
teacher,0,no,yes,1
other,0,yes,yes,2
at_home,0,yes,yes,2
other,0,yes,no,5
at_home,0,yes,yes,1
other,1,yes,yes,4
other,0,yes,no,4
other,1,no,no,2
at_home,0,yes,yes,3
teacher,0,yes,yes,2
health,0,yes,yes,5
teacher,0,yes,yes,3
teacher,0,no,yes,5
services,0,yes,yes,2
teacher,0,yes,yes,1
other,0,no,yes,3
services,0,yes,yes,2
at_home,0,no,yes,2
other,0,no,yes,4
other,0,yes,yes,3
other,0,yes,yes,4
other,0,yes,yes,2
services,3,no,no,5
other,0,yes,yes,3
other,0,no,yes,2
services,0,yes,no,5
at_home,1,no,yes,3
services,2,no,no,5
other,0,no,yes,2
other,0,no,yes,2
health,1,yes,yes,4
other,0,no,yes,4
teacher,0,yes,yes,3
services,0,yes,yes,3
services,1,no,no,5
other,0,yes,yes,4
other,0,no,yes,3
other,0,yes,yes,3
services,0,yes,yes,1
other,0,yes,yes,4
other,0,no,no,2
services,0,yes,yes,1
other,0,yes,no,3
services,0,yes,yes,2
teacher,0,no,yes,2
other,0,no,yes,2
other,0,no,yes,3
at_home,0,yes,yes,3
other,0,yes,no,4
other,0,yes,yes,5
services,0,yes,yes,4
teacher,0,yes,yes,4
health,0,yes,yes,5
other,0,yes,no,5
other,0,yes,yes,5
other,0,yes,yes,5
other,0,no,yes,3
at_home,0,no,yes,2
other,0,yes,yes,5
at_home,0,yes,yes,3
services,0,yes,yes,4
other,0,no,no,1
teacher,0,yes,yes,4
health,1,yes,yes,4
other,0,yes,yes,3
services,1,yes,no,3
teacher,0,yes,yes,3
at_home,0,no,no,4
services,0,yes,yes,4
teacher,0,yes,yes,4
at_home,0,yes,yes,2
other,0,yes,yes,4
other,0,no,yes,5
other,0,yes,yes,1
other,0,no,yes,3
at_home,0,yes,yes,3
services,0,yes,yes,3
services,0,yes,yes,4
teacher,0,yes,yes,3
teacher,0,yes,yes,2
health,0,yes,yes,2
services,0,yes,yes,2
services,0,yes,yes,2
health,0,yes,yes,3
health,0,yes,yes,4
other,0,yes,yes,5
other,0,yes,yes,3
teacher,0,yes,yes,2
health,0,yes,yes,4
other,0,yes,yes,1
services,0,yes,yes,4
other,0,yes,yes,3
health,0,no,yes,2
at_home,1,yes,yes,1
services,2,yes,yes,3
other,0,yes,yes,3
other,0,no,yes,4
services,0,yes,yes,3
other,0,yes,yes,1
teacher,0,yes,yes,4
other,0,yes,yes,4
health,0,yes,yes,4
at_home,0,no,yes,4
at_home,0,yes,yes,4
health,0,yes,yes,4
teacher,0,yes,yes,4
other,0,yes,yes,4
health,0,yes,yes,4
services,0,yes,yes,2
services,0,yes,yes,3
other,0,yes,yes,3
other,0,yes,yes,5
other,0,yes,no,5
other,2,no,yes,4
other,0,yes,yes,5
other,0,yes,yes,2
services,0,yes,yes,2
services,0,no,yes,3
at_home,0,yes,yes,3
other,0,yes,yes,5
other,0,yes,yes,3
other,0,no,yes,5
services,0,yes,yes,5
teacher,0,yes,yes,4
teacher,0,no,yes,3
at_home,0,yes,yes,5
other,0,yes,yes,5
at_home,0,no,yes,4
at_home,0,yes,yes,5
at_home,0,yes,yes,3
other,0,no,yes,2
services,0,yes,yes,4
other,0,no,yes,3
at_home,0,yes,yes,4
services,0,yes,yes,5
other,0,yes,yes,2
services,0,yes,yes,3
other,0,yes,yes,3
teacher,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,1
at_home,0,yes,yes,3
other,0,yes,yes,3
teacher,0,yes,yes,2
teacher,0,yes,yes,5
health,0,yes,yes,3
services,0,yes,yes,4
services,0,yes,yes,5
at_home,1,yes,no,3
other,1,yes,yes,2
other,2,yes,yes,2
services,0,no,no,4
other,0,yes,yes,5
services,0,yes,yes,4
health,0,yes,yes,2
teacher,0,yes,yes,2
at_home,2,yes,no,3
other,0,yes,yes,2
teacher,1,yes,yes,5
other,0,yes,yes,4
at_home,0,yes,yes,4
other,0,yes,yes,3
other,0,yes,yes,4
services,0,yes,yes,4
other,1,yes,yes,1
services,0,no,yes,2
at_home,0,yes,no,3
other,0,yes,yes,4
at_home,1,yes,yes,3
at_home,0,yes,yes,4
at_home,0,yes,yes,2
at_home,0,yes,no,4
at_home,0,yes,yes,2
other,0,yes,yes,3
at_home,1,yes,yes,4
other,1,no,no,4
teacher,0,yes,yes,1
at_home,0,no,no,1
at_home,0,yes,yes,3
other,1,yes,yes,3
other,0,yes,yes,3
other,0,yes,yes,5
other,0,no,yes,3
at_home,0,yes,yes,5
other,0,no,yes,3
health,0,yes,yes,4
health,0,yes,yes,4
other,0,no,yes,5
other,0,yes,yes,5
at_home,0,yes,yes,3
other,0,yes,no,5
teacher,0,yes,yes,2
other,0,yes,yes,2
other,0,yes,yes,4
other,0,yes,yes,3
other,0,yes,yes,5
other,1,yes,yes,2
other,1,yes,yes,2
at_home,0,no,yes,2
at_home,0,no,yes,3
at_home,0,yes,yes,5
other,0,no,yes,2
at_home,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,yes,yes,2
at_home,0,yes,yes,1
other,0,yes,yes,3
at_home,0,yes,yes,4
other,1,yes,yes,4
other,0,yes,yes,3
other,0,yes,yes,4
health,0,yes,yes,3
other,0,yes,yes,1
services,0,yes,yes,4
at_home,1,no,yes,4
other,0,yes,yes,2
at_home,0,yes,yes,3
at_home,0,yes,yes,4
other,0,yes,yes,2
other,0,yes,yes,3
services,0,no,yes,3
at_home,3,yes,yes,3
other,0,yes,no,3
at_home,1,yes,no,4
at_home,0,yes,no,3
at_home,0,yes,no,1
other,0,yes,no,5
other,0,yes,no,4
at_home,0,yes,yes,5
other,1,no,yes,3
other,2,no,no,2
at_home,1,yes,no,1
other,1,yes,no,3
at_home,1,no,no,3
other,1,yes,yes,4
health,0,no,yes,2
other,0,no,yes,4
at_home,0,yes,no,5
other,0,yes,no,4
services,0,yes,yes,4
services,1,yes,yes,5
other,0,yes,yes,3
services,0,yes,yes,5
other,1,yes,no,5
other,0,yes,yes,5
services,1,yes,yes,5
other,0,yes,yes,1
other,0,yes,yes,5
at_home,0,no,yes,5
at_home,1,yes,yes,4
other,0,yes,yes,3
other,1,no,yes,5
at_home,0,yes,yes,2
other,0,yes,yes,2
other,0,yes,yes,5
at_home,1,yes,yes,2
other,0,yes,yes,3
services,0,yes,yes,3
other,0,yes,yes,5
health,0,no,yes,3
other,0,yes,yes,5
other,1,yes,yes,2
other,0,yes,yes,1
at_home,0,yes,yes,2
at_home,0,yes,yes,3
health,0,yes,yes,4
at_home,0,yes,no,5
at_home,0,no,yes,1
other,0,yes,yes,3
other,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,3
services,0,yes,yes,3
services,0,yes,yes,4
at_home,0,yes,yes,3
health,0,no,yes,2
other,0,yes,yes,2
teacher,0,yes,yes,2
other,0,yes,yes,5
other,0,yes,yes,5
services,0,yes,yes,3
other,0,no,yes,3
other,0,yes,yes,4
at_home,0,yes,yes,3
other,0,yes,yes,3
teacher,0,yes,yes,5
health,3,yes,yes,3
other,0,yes,yes,2
services,1,no,yes,4
health,0,yes,yes,5
other,0,yes,yes,2
at_home,0,yes,yes,5
other,0,no,yes,3
other,0,no,yes,2
other,0,yes,yes,2
other,2,yes,no,3
other,0,yes,yes,2
at_home,0,yes,no,5
other,0,no,yes,4
other,0,yes,yes,4
other,3,no,yes,4
other,0,yes,no,5
at_home,1,yes,yes,2
other,0,no,yes,5
at_home,0,yes,yes,3
other,0,yes,yes,3
other,1,yes,yes,1
services,0,yes,yes,5
at_home,0,yes,yes,5
services,1,yes,no,3
services,1,yes,no,1
at_home,3,yes,yes,1
at_home,2,yes,no,5
services,0,yes,yes,3
at_home,3,no,no,3
services,2,yes,yes,5
other,0,yes,yes,2
other,1,yes,no,3
services,0,yes,yes,4
other,0,no,yes,5
other,1,yes,yes,4
health,1,yes,yes,4
at_home,0,yes,no,3
other,1,yes,yes,4
at_home,2,yes,yes,3
at_home,0,yes,no,4
other,1,yes,no,5
at_home,0,yes,yes,3
other,0,yes,no,3
teacher,0,yes,yes,5
services,1,yes,yes,3
health,0,yes,yes,2
at_home,0,yes,yes,1
other,2,yes,yes,4
services,0,no,yes,5
services,0,yes,yes,3
at_home,0,yes,yes,3
teacher,0,no,yes,5
services,0,yes,yes,5
other,0,yes,yes,3
at_home,1,yes,yes,3
at_home,0,no,yes,4
at_home,0,yes,yes,5
other,0,no,no,3
other,0,no,yes,1
services,0,yes,yes,5
teacher,0,yes,yes,1
at_home,1,yes,no,2
at_home,1,yes,no,5
teacher,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,yes,no,1
at_home,3,yes,no,4
services,0,yes,yes,1
services,1,no,yes,5
services,0,yes,yes,4
teacher,0,yes,yes,3
services,0,yes,yes,3
other,0,no,yes,2
at_home,0,yes,yes,2
at_home,0,yes,yes,4
services,0,yes,yes,2
at_home,0,yes,yes,4
other,0,no,yes,2
at_home,0,yes,yes,4
teacher,0,yes,yes,2
other,1,yes,yes,1
at_home,0,yes,yes,3
other,0,no,yes,2
at_home,0,yes,no,3
other,0,yes,yes,3
other,0,yes,yes,5
other,0,yes,yes,4
other,0,yes,yes,2
at_home,1,yes,yes,3
teacher,0,yes,yes,3
other,0,yes,yes,3
at_home,0,no,yes,4
teacher,0,no,yes,4
other,0,no,yes,3
other,0,yes,yes,3
other,1,yes,yes,2
other,1,yes,yes,3
at_home,0,yes,yes,3
teacher,0,yes,yes,4
teacher,0,yes,yes,3
services,1,no,yes,2
teacher,0,yes,yes,4
other,0,yes,yes,1
services,0,no,yes,5
services,0,no,yes,1
at_home,0,yes,yes,4
at_home,0,no,yes,3
at_home,3,yes,yes,2
health,0,yes,yes,2
other,0,yes,yes,2
services,0,yes,yes,2
other,0,yes,yes,4
other,0,yes,yes,4
services,0,yes,yes,2
other,0,yes,yes,1
teacher,0,yes,yes,3
services,0,yes,yes,2
health,0,yes,yes,3
teacher,0,yes,yes,3
other,0,yes,yes,2
health,0,yes,yes,4
services,0,yes,yes,3
other,0,yes,yes,2
services,3,yes,yes,5
health,0,yes,yes,3
teacher,0,yes,yes,1
health,0,yes,yes,2
teacher,0,yes,yes,1
other,0,yes,yes,4
services,0,yes,yes,2
services,2,no,yes,2
other,0,yes,yes,2
health,0,yes,yes,4
services,0,yes,yes,3
teacher,0,yes,yes,5
health,0,no,yes,2
services,0,yes,yes,1
teacher,0,yes,yes,2
other,0,no,yes,2
other,0,no,yes,3
other,0,yes,yes,1
teacher,0,yes,yes,3
other,0,yes,yes,3
services,0,yes,yes,2
at_home,0,yes,yes,1
other,1,no,yes,3
teacher,0,no,yes,3
services,0,yes,yes,3
services,0,yes,yes,1
other,1,yes,yes,3
other,0,yes,yes,2
other,0,yes,yes,5
health,0,yes,yes,2
teacher,0,yes,yes,3
services,1,no,yes,4
services,0,yes,yes,3
health,0,yes,yes,3
health,1,yes,yes,5
services,0,yes,yes,4
other,0,yes,yes,4
other,0,yes,yes,4
services,0,yes,yes,2
teacher,0,yes,yes,2
other,0,yes,yes,2
services,0,yes,yes,3
health,0,yes,yes,4
services,0,no,yes,5
other,0,yes,yes,3
teacher,0,yes,yes,4
services,0,yes,yes,4
teacher,0,yes,yes,3
other,0,no,yes,3
services,0,yes,yes,3
health,0,yes,yes,3
other,0,no,yes,2
other,0,yes,yes,2
other,0,yes,yes,3
other,2,no,yes,4
other,0,yes,yes,2
other,0,yes,yes,3
teacher,0,yes,yes,3
teacher,0,yes,yes,3
other,0,yes,yes,3
other,3,yes,no,1
at_home,0,yes,yes,3
other,0,no,yes,2
other,0,no,yes,2
services,0,yes,yes,4
services,0,yes,yes,3
other,0,no,yes,2
services,2,yes,yes,4
at_home,0,yes,yes,4
other,0,yes,yes,3
services,1,no,yes,2
teacher,0,yes,yes,3
other,0,yes,yes,3
services,0,yes,yes,5
other,0,yes,yes,3
teacher,0,yes,yes,3
services,0,yes,yes,4
at_home,1,yes,yes,2
services,0,no,yes,3
other,0,yes,yes,5
other,0,no,yes,4
other,0,yes,yes,5
services,0,yes,yes,5
services,0,yes,yes,3
services,0,no,yes,3
services,0,yes,yes,5
services,0,yes,yes,4
other,0,yes,yes,3
other,0,yes,yes,2
services,0,yes,yes,3
other,0,yes,yes,5
health,0,yes,yes,5
teacher,0,yes,yes,3
services,1,yes,yes,2
at_home,1,yes,yes,2
teacher,0,yes,yes,2
health,0,yes,yes,2
teacher,0,yes,yes,4
other,0,yes,yes,3
other,0,yes,yes,2
other,1,yes,yes,4
other,0,yes,yes,3
at_home,0,no,yes,3
services,0,yes,yes,4
other,0,yes,yes,2
health,0,yes,yes,4
other,0,yes,yes,4
services,0,yes,yes,5
other,0,yes,yes,2
at_home,3,no,no,2
services,2,yes,yes,3
teacher,0,yes,yes,5
services,2,yes,yes,2
at_home,0,no,yes,3
other,0,yes,yes,4
services,0,yes,yes,1
at_home,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,5
other,2,no,yes,2
services,1,yes,yes,4
teacher,0,yes,yes,2
teacher,0,yes,yes,2
services,2,yes,yes,3
teacher,0,yes,yes,2
at_home,0,yes,yes,4
other,3,yes,yes,5
other,0,yes,yes,2
health,3,yes,yes,2
at_home,0,no,yes,2
teacher,0,yes,no,2
services,3,yes,yes,5
other,3,yes,no,5
at_home,1,yes,yes,4
services,2,yes,yes,1
services,3,yes,no,4
other,0,yes,yes,1
at_home,0,yes,yes,4
other,0,yes,yes,2
at_home,3,no,yes,5
at_home,0,no,yes,2
other,1,yes,yes,5
at_home,2,yes,no,2
other,2,yes,yes,4
other,1,yes,yes,4
at_home,0,yes,no,3
other,3,yes,no,5
services,1,no,no,2
other,0,yes,no,5
health,0,yes,yes,3
other,0,no,yes,5
health,0,yes,yes,2
other,2,no,yes,5
other,0,yes,yes,2
teacher,0,yes,yes,4
at_home,3,no,yes,5
other,0,yes,yes,5
teacher,0,yes,yes,4
services,0,no,yes,4
other,0,no,yes,4
teacher,0,yes,yes,3
other,0,yes,yes,3
teacher,0,yes,yes,3
services,0,yes,yes,3
services,0,yes,yes,2
other,0,yes,yes,3
other,0,yes,yes,2
services,0,yes,yes,4
services,0,yes,yes,3
other,0,yes,yes,3
health,0,no,yes,3
at_home,0,yes,yes,3
services,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,no,yes,4
services,0,yes,yes,2
other,0,yes,yes,3
services,0,yes,yes,2
services,0,yes,yes,3
teacher,0,yes,yes,4
services,1,yes,yes,4
teacher,0,yes,yes,2
health,0,yes,yes,5
other,0,yes,yes,3
other,0,no,yes,4
other,0,yes,yes,2
services,0,no,yes,5
at_home,1,yes,yes,3
services,3,yes,yes,3
teacher,0,yes,yes,2
at_home,0,yes,yes,2
teacher,0,yes,yes,2
other,0,yes,yes,3
services,0,yes,yes,5
other,0,yes,yes,4
services,1,yes,yes,4
services,0,yes,yes,1
other,0,yes,yes,4
other,2,yes,yes,5
services,1,yes,yes,4
at_home,0,yes,yes,3
at_home,0,yes,yes,3
at_home,0,yes,yes,5
at_home,1,yes,yes,4
services,0,yes,yes,1
other,0,yes,yes,3
teacher,0,no,yes,2
other,1,yes,yes,3
other,0,no,yes,4
services,0,no,yes,3
at_home,0,yes,yes,2
other,0,yes,yes,3
health,0,yes,yes,3
other,0,yes,yes,2
teacher,0,yes,yes,5
health,0,yes,yes,4
other,0,yes,yes,2
at_home,0,yes,yes,3
other,0,no,yes,2
other,0,yes,yes,2
at_home,0,yes,yes,1
other,1,yes,no,4
health,0,yes,yes,5
teacher,0,yes,yes,3
teacher,0,no,yes,5
services,0,yes,yes,2
other,0,no,yes,4
other,0,yes,yes,3
other,0,yes,yes,2
services,3,no,no,5
other,1,yes,yes,3
other,0,no,yes,2
services,1,yes,no,5
at_home,0,no,yes,3
services,1,no,no,5
other,0,no,yes,2
other,0,no,yes,2
health,1,yes,yes,4
teacher,0,yes,yes,3
services,0,yes,yes,1
other,0,yes,yes,4
services,0,yes,yes,1
services,0,yes,yes,2
teacher,0,no,yes,2
other,0,no,yes,2
other,0,no,yes,3
at_home,0,yes,yes,3
other,0,yes,yes,5
services,0,yes,yes,4
teacher,0,yes,yes,4
health,0,yes,yes,5
other,0,yes,no,5
other,2,yes,yes,5
other,0,yes,yes,5
other,0,no,yes,3
at_home,0,no,yes,2
at_home,0,yes,yes,3
services,0,yes,yes,4
other,0,no,no,1
teacher,0,yes,yes,4
health,1,yes,yes,4
teacher,0,yes,yes,3
services,0,yes,yes,4
teacher,1,yes,yes,4
at_home,0,yes,yes,2
other,0,yes,yes,4
other,0,no,yes,5
other,0,no,yes,3
at_home,0,yes,yes,3
services,0,yes,yes,3
services,0,yes,yes,4
teacher,0,yes,yes,3
teacher,0,yes,yes,2
health,0,yes,yes,2
services,1,yes,yes,3
services,0,yes,yes,2
services,0,yes,yes,2
health,0,yes,yes,3
health,0,yes,yes,4
other,0,yes,yes,5
other,0,yes,yes,3
teacher,0,yes,yes,2
health,0,yes,yes,4
other,0,yes,yes,1
other,0,yes,yes,3
health,0,no,yes,2
other,1,yes,yes,4
services,1,yes,yes,3
services,0,yes,yes,3
teacher,1,yes,yes,4
other,1,yes,yes,3
at_home,1,no,yes,3
services,1,no,yes,4
at_home,0,yes,no,1
other,1,no,yes,2
services,1,no,yes,2
at_home,2,no,yes,2
other,1,yes,yes,2
services,0,yes,yes,3
other,0,yes,yes,4
at_home,0,no,yes,4
teacher,0,yes,yes,4
services,0,yes,yes,2
other,0,yes,yes,2
services,0,yes,yes,2
services,0,no,yes,3
at_home,0,yes,yes,3
other,0,yes,yes,3
other,0,no,yes,5
services,0,yes,yes,5
teacher,0,yes,yes,4
teacher,0,no,yes,3
other,0,yes,yes,5
at_home,0,yes,yes,3
services,0,yes,yes,4
other,0,no,yes,3
at_home,0,yes,yes,4
services,0,yes,yes,5
services,1,yes,yes,3
other,0,yes,yes,2
services,0,yes,yes,3
other,0,yes,yes,3
services,1,yes,yes,4
teacher,1,yes,yes,3
services,0,yes,yes,3
at_home,1,yes,yes,1
at_home,0,yes,yes,3
other,0,yes,yes,3
teacher,0,yes,yes,2
teacher,0,yes,yes,5
health,0,yes,yes,3
other,1,no,yes,5
other,3,yes,yes,4
health,0,yes,yes,4
at_home,1,yes,no,3
other,1,yes,yes,4
services,0,no,yes,5
services,0,yes,yes,4
teacher,0,yes,yes,3
services,0,yes,yes,3
other,0,no,yes,2
at_home,0,yes,yes,2
at_home,0,yes,yes,4
at_home,1,no,no,3
services,0,yes,yes,2
at_home,0,yes,yes,4
other,0,no,yes,2
at_home,0,yes,yes,4
teacher,0,yes,yes,2
other,1,yes,yes,1
at_home,0,yes,yes,3
other,0,no,yes,2
services,2,yes,yes,2
at_home,0,yes,no,3
other,0,yes,yes,3
other,0,yes,yes,5
other,0,yes,yes,4
other,0,yes,yes,2
health,2,no,yes,3
teacher,0,yes,yes,3
other,0,yes,yes,3
at_home,0,no,yes,4
teacher,0,no,yes,4
other,0,no,yes,3
other,0,yes,yes,3
other,1,yes,yes,2
other,1,yes,yes,3
at_home,0,yes,yes,3
teacher,0,yes,yes,3
services,1,no,yes,2
teacher,0,yes,yes,4
other,1,yes,yes,1
services,2,yes,yes,4
services,0,no,yes,5
other,3,no,yes,3
services,0,no,yes,1
other,0,yes,yes,3
