A,C,D,L,O,P,W
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,yes
GP,15,U,father,1,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,yes
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,18,U,mother,2,no,yes
GP,16,U,mother,1,no,yes
GP,15,R,other,0,no,yes
GP,19,U,mother,0,no,yes
GP,17,U,mother,0,yes,yes
GP,15,R,mother,0,yes,no
GP,17,R,mother,3,no,no
GP,18,R,mother,3,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,1,no,yes
GP,16,U,mother,2,no,no
GP,17,R,mother,1,no,yes
GP,17,R,mother,2,yes,yes
GP,15,U,mother,0,no,no
GP,16,U,father,1,no,no
GP,17,R,mother,0,no,yes
GP,17,U,mother,3,no,no
GP,16,U,father,0,no,no
GP,16,U,father,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,16,U,father,1,no,no
GP,16,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,16,R,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,17,U,father,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,other,0,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,0,no,no
GP,17,U,father,0,no,yes
GP,17,U,mother,0,no,no
GP,16,R,father,0,no,no
GP,17,U,mother,1,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,17,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,16,R,mother,0,no,no
GP,17,U,mother,1,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,R,mother,0,no,yes
GP,19,U,other,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,yes,no
GP,18,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,18,U,father,0,no,no
GP,17,U,father,0,no,no
GP,17,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,yes,no
GP,18,U,mother,3,no,no
GP,16,U,mother,0,no,no
GP,18,R,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,18,U,mother,0,yes,yes
GP,17,U,mother,0,no,yes
GP,17,U,father,0,no,yes
GP,17,R,father,0,no,no
GP,17,U,mother,0,yes,yes
GP,16,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,17,U,father,0,no,yes
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,yes
GP,18,U,mother,1,no,no
GP,18,U,mother,1,no,yes
GP,18,U,mother,1,no,no
GP,18,U,other,1,no,yes
GP,17,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,R,other,1,no,no
GP,18,U,father,0,no,no
GP,17,U,mother,1,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,17,R,father,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,yes,yes
GP,18,U,other,0,no,yes
GP,16,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,17,U,father,0,no,no
GP,22,U,mother,3,no,yes
GP,18,R,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,16,U,other,1,yes,no
GP,18,U,mother,2,no,no
GP,16,R,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,1,no,no
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,19,U,mother,0,no,no
GP,18,U,mother,1,no,no
GP,17,R,mother,0,no,no
GP,18,U,mother,0,no,no
GP,18,R,mother,0,yes,no
GP,19,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,father,0,no,yes
GP,20,R,other,0,no,yes
GP,18,U,father,0,no,yes
GP,18,U,mother,0,no,no
GP,18,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,17,U,father,0,no,no
GP,18,R,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,18,R,mother,0,no,no
GP,18,U,father,0,no,yes
GP,18,R,mother,0,no,yes
GP,19,U,other,0,no,no
GP,18,U,father,0,no,yes
GP,18,U,mother,0,no,no
GP,17,R,mother,0,no,yes
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,yes,yes
GP,18,R,mother,0,no,yes
GP,18,U,mother,0,no,no
GP,18,U,father,1,yes,yes
GP,17,U,father,0,no,yes
GP,19,R,father,1,yes,no
GP,18,U,mother,0,no,no
GP,18,U,other,0,no,no
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,18,R,mother,0,no,no
GP,18,U,mother,0,yes,no
GP,17,U,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,17,U,father,0,no,no
GP,18,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,18,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,19,U,other,0,no,no
GP,18,U,other,0,no,yes
GP,18,U,father,0,no,no
GP,18,U,mother,0,no,yes
GP,18,U,mother,0,no,yes
GP,17,U,father,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,19,R,mother,1,no,yes
GP,20,U,other,2,no,no
GP,19,R,father,0,no,yes
GP,18,U,mother,0,yes,yes
GP,18,U,mother,0,no,no
GP,17,U,father,0,no,yes
GP,17,R,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,18,U,mother,0,no,no
GP,17,R,father,0,no,no
GP,18,U,father,0,no,no
GP,19,U,mother,0,no,yes
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,yes,no
GP,17,U,father,0,no,no
GP,18,U,father,0,no,no
GP,19,U,other,0,no,yes
GP,19,U,other,2,no,yes
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,17,U,father,0,no,no
GP,17,U,father,0,no,no
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,19,R,other,0,no,yes
GP,18,U,mother,0,no,yes
GP,17,R,father,0,no,yes
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,18,U,other,0,no,yes
GP,18,R,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,18,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,18,U,father,0,no,no
GP,18,U,mother,0,no,yes
GP,17,U,father,0,no,yes
GP,18,U,mother,0,no,no
GP,18,U,mother,0,no,yes
GP,18,R,mother,0,no,yes
GP,18,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,19,U,other,1,no,no
GP,17,U,mother,1,no,yes
GP,21,U,other,2,no,no
GP,18,U,mother,0,no,no
GP,18,U,other,0,no,yes
GP,17,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,21,R,other,2,no,yes
GP,20,R,other,0,no,yes
GP,19,U,other,1,no,yes
GP,17,U,mother,0,no,no
GP,18,U,father,0,no,yes
GP,18,R,father,0,no,no
GP,19,U,mother,0,no,no
GP,18,U,mother,0,no,no
GP,20,U,mother,1,yes,yes
GP,18,U,mother,0,no,yes
MS,16,U,father,0,no,yes
MS,16,R,mother,0,no,no
MS,15,R,mother,1,no,yes
MS,15,R,mother,0,no,no
MS,16,R,mother,0,no,no
MS,15,R,mother,0,no,no
MS,16,R,mother,0,no,no
MS,16,U,mother,0,yes,no
MS,17,R,father,1,no,yes
MS,17,R,father,1,no,no
MS,15,R,mother,0,no,yes
MS,16,U,mother,0,no,yes
MS,15,R,father,0,no,no
MS,15,R,mother,1,no,yes
MS,16,R,mother,0,no,no
MS,17,R,mother,0,no,no
MS,15,R,father,0,no,no
MS,16,U,mother,0,no,yes
MS,17,U,mother,0,no,no
MS,15,R,father,0,no,no
MS,15,R,father,0,no,no
MS,16,R,mother,0,no,no
MS,15,R,mother,0,no,yes
MS,15,U,father,0,no,no
MS,17,R,mother,0,no,yes
MS,16,R,mother,0,no,yes
MS,15,R,mother,0,no,no
MS,16,R,mother,0,no,no
MS,16,R,father,0,no,no
MS,16,R,mother,0,no,no
MS,16,U,mother,1,no,no
MS,16,U,mother,1,no,no
MS,15,U,mother,0,yes,no
MS,16,U,father,0,no,yes
MS,17,R,mother,0,no,no
MS,16,R,father,0,no,no
MS,16,R,father,0,yes,no
MS,15,R,father,0,no,no
MS,16,R,mother,0,no,yes
MS,15,R,father,0,no,no
MS,15,R,father,0,yes,no
MS,16,R,father,0,no,no
MS,18,U,father,1,no,yes
MS,15,U,mother,0,no,no
MS,16,R,father,0,no,no
MS,15,U,mother,0,no,no
MS,16,U,father,0,no,yes
MS,15,R,mother,0,no,yes
MS,16,R,mother,1,no,no
MS,16,R,father,0,no,yes
MS,16,U,mother,0,no,no
MS,15,R,father,0,no,no
MS,15,U,mother,0,no,no
MS,16,R,mother,0,no,yes
MS,15,U,father,0,no,no
MS,16,R,father,3,yes,no
MS,17,U,mother,0,no,no
MS,19,U,other,1,no,yes
MS,17,R,mother,0,no,yes
MS,15,R,mother,0,no,yes
MS,16,R,father,0,no,no
MS,16,U,mother,0,no,no
MS,17,R,mother,0,no,no
MS,16,U,father,1,no,no
MS,18,R,other,2,no,yes
MS,19,U,mother,1,no,yes
MS,18,R,mother,1,no,no
MS,18,R,mother,1,no,yes
MS,19,U,other,1,no,yes
MS,16,R,mother,0,no,yes
MS,17,U,father,0,no,no
MS,16,R,mother,0,no,no
MS,16,U,mother,0,no,yes
MS,16,R,mother,0,no,yes
MS,17,U,mother,1,no,no
MS,16,U,mother,0,no,no
MS,16,U,mother,0,no,yes
MS,17,U,father,1,no,yes
MS,16,U,father,0,no,no
MS,17,R,mother,1,no,no
MS,16,U,other,0,yes,no
MS,19,U,mother,0,no,yes
MS,17,R,mother,0,no,yes
MS,20,U,mother,1,no,yes
MS,17,U,father,0,no,yes
MS,17,R,mother,1,no,no
MS,16,R,father,0,no,no
MS,17,R,mother,0,no,no
MS,17,U,mother,0,no,yes
MS,18,R,mother,1,no,yes
MS,16,U,mother,0,no,no
MS,16,U,mother,0,no,no
MS,18,U,mother,0,yes,no
MS,16,R,father,0,no,yes
MS,16,R,mother,0,no,no
MS,18,U,father,1,no,no
MS,16,R,mother,0,no,no
MS,16,U,mother,0,no,no
MS,16,R,mother,0,no,no
MS,16,U,mother,0,no,yes
MS,18,U,mother,0,no,yes
MS,16,R,mother,0,no,no
MS,17,U,mother,0,no,no
MS,17,R,mother,0,no,yes
MS,16,U,mother,0,no,no
MS,17,R,mother,0,no,no
MS,16,U,father,0,no,no
MS,17,U,mother,0,no,no
MS,17,U,mother,0,no,yes
MS,16,U,mother,0,no,yes
MS,16,U,mother,0,no,yes
MS,16,U,father,0,no,no
MS,15,R,mother,0,no,no
MS,15,U,mother,0,no,no
MS,15,U,mother,0,no,no
MS,16,R,mother,0,no,yes
MS,16,U,mother,0,no,no
MS,17,U,mother,0,no,yes
MS,17,R,mother,0,yes,no
MS,16,U,mother,0,no,yes
MS,17,R,father,3,no,yes
MS,17,R,father,0,no,yes
MS,17,U,mother,1,no,yes
MS,17,U,father,0,no,no
MS,16,R,father,0,no,no
MS,17,U,mother,0,no,yes
MS,17,R,mother,0,yes,no
MS,16,U,father,0,no,yes
MS,17,U,father,0,no,no
MS,19,U,mother,2,no,no
MS,17,U,mother,0,no,yes
MS,17,R,father,0,no,yes
MS,16,R,father,0,yes,yes
MS,16,R,mother,0,no,no
MS,17,R,mother,3,no,yes
MS,17,R,mother,0,no,yes
MS,18,R,other,1,yes,no
MS,17,R,mother,0,no,yes
MS,18,U,mother,0,no,no
MS,16,R,father,0,no,yes
MS,17,U,mother,1,no,yes
MS,16,R,father,0,no,no
MS,16,R,mother,0,no,no
MS,18,R,other,1,no,yes
MS,18,R,mother,1,no,no
MS,19,U,mother,3,no,no
MS,18,U,mother,2,no,no
MS,16,R,mother,0,no,yes
MS,19,U,other,3,no,yes
MS,16,U,mother,2,no,yes
MS,17,U,mother,0,no,no
MS,20,R,other,1,no,yes
MS,18,R,mother,0,no,no
MS,18,R,mother,0,no,no
MS,19,R,other,1,no,no
MS,17,U,mother,1,no,no
MS,18,U,mother,0,no,yes
MS,19,R,other,1,no,no
MS,18,U,mother,2,no,no
MS,19,U,mother,0,no,no
MS,18,R,mother,1,no,yes
MS,17,R,mother,0,no,no
MS,17,R,other,0,no,no
MS,17,U,mother,0,yes,no
MS,18,R,mother,1,no,no
MS,17,U,mother,0,no,yes
MS,17,U,father,0,no,no
MS,18,U,mother,2,no,yes
MS,18,U,father,0,no,no
MS,17,U,mother,0,no,no
MS,18,U,mother,0,no,no
MS,18,U,mother,0,no,no
MS,18,U,mother,0,no,no
MS,17,U,mother,0,no,no
MS,18,R,mother,1,no,yes
MS,18,U,mother,0,no,no
MS,18,R,mother,0,no,yes
MS,17,R,father,0,no,no
MS,18,U,mother,0,no,yes
MS,18,U,father,0,no,yes
MS,18,R,mother,0,no,yes
MS,18,U,mother,1,no,no
MS,19,U,father,1,no,no
MS,17,U,father,0,no,yes
MS,17,R,mother,0,no,yes
MS,18,U,mother,0,no,yes
MS,18,U,father,0,no,no
MS,19,R,other,3,no,yes
MS,18,R,mother,0,no,yes
MS,17,R,mother,1,no,yes
MS,18,U,father,0,no,yes
MS,17,R,father,0,no,no
MS,17,U,mother,0,no,yes
MS,18,U,father,0,no,yes
MS,18,U,father,0,no,no
MS,18,R,mother,0,no,yes
MS,18,U,mother,0,no,yes
MS,17,U,mother,0,no,yes
MS,17,R,father,0,no,no
MS,18,R,mother,0,no,no
MS,18,U,mother,0,no,yes
MS,17,R,mother,1,no,yes
MS,18,U,father,0,no,yes
MS,18,R,father,0,no,yes
MS,18,R,father,0,no,yes
MS,17,U,mother,0,no,yes
MS,17,R,mother,0,no,no
MS,18,R,mother,0,no,no
MS,18,R,mother,0,no,no
MS,19,R,other,1,no,yes
MS,18,R,mother,0,no,no
MS,18,U,mother,0,no,yes
MS,17,R,mother,0,no,no
MS,18,U,father,0,no,no
MS,18,R,mother,0,no,yes
MS,17,U,father,0,no,no
MS,19,R,mother,1,no,no
MS,18,R,father,1,no,no
MS,18,R,mother,0,no,no
MS,17,U,mother,0,no,no
MS,18,R,mother,0,no,yes
MS,19,R,mother,1,no,no
MS,18,U,mother,0,no,no
MS,18,U,mother,0,no,no
MS,17,U,mother,0,no,no
MS,18,R,mother,0,no,no
GP,18,U,mother,0,yes,no
GP,17,U,father,0,no,no
GP,15,U,mother,3,yes,no
GP,15,U,mother,0,no,yes
GP,16,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,other,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,17,U,mother,3,no,no
GP,16,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,R,mother,0,yes,no
GP,16,U,mother,2,no,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,16,R,mother,0,no,yes
GP,15,R,mother,0,yes,no
GP,15,R,mother,0,yes,no
GP,16,U,mother,1,no,yes
GP,15,U,other,0,no,yes
GP,15,U,father,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,father,1,yes,no
GP,15,U,mother,0,yes,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,1,yes,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,1,no,no
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,mother,0,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,0,yes,yes
GP,16,U,father,0,yes,no
GP,16,U,mother,0,yes,no
GP,15,U,father,0,yes,yes
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,yes
GP,16,U,mother,0,yes,no
GP,15,R,mother,0,yes,no
GP,15,R,father,0,no,no
GP,16,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,2,yes,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,17,U,mother,3,yes,no
GP,16,U,mother,0,no,no
GP,15,U,father,0,yes,yes
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,15,U,father,2,no,yes
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,16,U,father,1,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,U,father,0,yes,no
GP,16,U,mother,0,no,no
GP,15,U,mother,0,no,no
GP,15,R,mother,1,yes,no
GP,16,R,mother,0,yes,no
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,16,U,mother,0,yes,no
GP,16,U,father,0,no,yes
GP,15,U,mother,0,no,no
GP,15,U,mother,0,yes,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,15,U,mother,0,yes,no
GP,16,U,father,0,no,no
GP,15,R,father,0,no,yes
GP,16,U,mother,0,no,yes
GP,15,U,mother,0,no,no
GP,16,R,father,1,yes,no
GP,16,U,mother,1,yes,no
GP,15,U,mother,0,no,no
GP,15,R,mother,0,no,yes
GP,16,U,father,0,no,no
GP,15,U,father,0,no,no
GP,16,U,father,0,no,no
GP,17,R,father,1,no,no
GP,15,U,father,0,no,no
GP,15,U,mother,0,no,no
GP,15,U,father,0,no,no
GP,16,U,father,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,father,0,yes,no
GP,15,U,mother,0,yes,yes
GP,19,U,other,3,no,no
GP,18,R,mother,2,no,no
GP,16,R,mother,0,no,no
GP,15,R,father,2,no,yes
GP,15,U,mother,0,no,yes
GP,17,U,father,0,no,yes
GP,16,U,father,0,no,no
GP,15,R,mother,0,no,yes
GP,15,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,16,U,other,2,no,yes
GP,16,U,mother,1,no,yes
GP,15,U,mother,0,no,no
GP,15,U,father,0,yes,no
GP,16,U,father,2,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,3,no,no
GP,15,U,father,0,no,no
GP,15,U,father,3,no,no
GP,15,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,15,U,mother,3,no,no
GP,18,U,mother,3,no,yes
GP,16,U,mother,1,no,yes
GP,15,R,other,2,no,yes
GP,19,U,mother,3,no,yes
GP,17,U,mother,0,yes,yes
GP,15,R,mother,0,yes,no
GP,17,R,mother,0,no,no
GP,18,R,mother,3,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,1,no,yes
GP,17,R,mother,2,no,yes
GP,15,R,mother,2,yes,yes
GP,16,U,mother,1,no,no
GP,17,U,father,0,no,no
GP,17,R,mother,3,no,yes
GP,16,U,mother,1,no,no
GP,16,U,father,0,no,no
GP,16,U,father,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,16,U,father,2,no,no
GP,16,U,mother,0,no,yes
GP,17,U,mother,0,no,no
GP,16,U,mother,3,no,yes
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,father,0,no,no
GP,16,R,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,yes
GP,17,U,father,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,yes
GP,17,U,mother,0,no,yes
GP,17,R,mother,0,no,no
GP,16,U,mother,0,no,no
GP,17,U,mother,0,no,no
GP,17,U,other,0,no,no
GP,16,R,mother,0,no,no
GP,16,U,father,0,no,no
GP,17,U,father,0,no,yes
GP,17,U,mother,0,no,no
GP,16,R,father,0,no,no
GP,17,U,mother,1,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,no,no
GP,16,U,mother,0,yes,no
GP,17,U,mother,0,no,no
GP,17,R,mother,0,no,no
GP,16,R,mother,0,no,no
GP,17,U,mother,1,no,yes
GP,16,U,mother,3,no,no
GP,16,U,mother,0,no,yes
GP,16,U,mother,0,no,no
GP,17,R,mother,0,no,yes
GP,19,U,other,0,no,no
GP,17,U,mother,0,no,yes
GP,16,U,mother,0,yes,no
GP,18,U,mother,1,no,no
