A,D,E,K,M,N,S,V,Y
MS,U,GT3,other,1,2,yes,yes,4
MS,U,GT3,course,1,2,no,yes,2
MS,R,LE3,other,1,1,no,yes,1
MS,U,GT3,other,1,2,yes,yes,5
MS,R,GT3,course,2,2,no,yes,3
MS,U,LE3,course,2,2,no,yes,1
MS,U,GT3,other,2,2,no,yes,1
MS,U,GT3,other,1,2,yes,yes,4
MS,U,LE3,home,1,1,no,no,1
MS,R,GT3,course,2,1,yes,yes,5
MS,R,GT3,home,1,3,no,yes,3
MS,R,LE3,course,1,1,no,no,4
MS,R,GT3,course,2,2,yes,yes,4
MS,R,GT3,course,2,1,yes,no,5
MS,R,GT3,course,3,1,no,no,3
MS,R,GT3,course,2,1,yes,yes,5
MS,U,LE3,course,2,2,yes,no,3
MS,R,LE3,course,1,2,yes,no,4
MS,U,GT3,course,1,1,yes,no,2
MS,R,GT3,course,2,1,no,yes,5
MS,R,LE3,course,2,1,yes,yes,5
MS,R,GT3,course,2,1,no,yes,3
MS,R,GT3,course,1,1,no,yes,3
MS,U,GT3,course,2,1,yes,no,2
MS,U,GT3,course,1,2,yes,yes,4
MS,R,GT3,course,2,1,yes,yes,4
MS,U,GT3,course,2,1,yes,yes,4
MS,U,GT3,course,2,2,yes,no,5
MS,U,GT3,course,1,1,yes,no,3
MS,R,GT3,course,2,1,no,yes,4
MS,R,GT3,course,1,1,no,yes,4
MS,R,GT3,course,2,1,no,yes,5
MS,R,GT3,home,3,2,no,yes,4
MS,U,GT3,course,2,2,no,yes,5
MS,U,LE3,course,1,1,no,yes,3
MS,R,GT3,home,3,1,no,yes,4
MS,U,GT3,course,2,2,no,no,3
MS,U,LE3,course,1,1,no,no,4
MS,R,GT3,other,2,1,no,yes,5
MS,R,GT3,course,2,1,no,yes,4
MS,R,LE3,course,2,3,no,no,2
MS,U,GT3,home,1,2,yes,yes,5
MS,R,LE3,course,1,2,yes,yes,3
MS,U,GT3,course,1,1,no,no,2
MS,U,LE3,course,1,1,no,yes,5
MS,U,GT3,course,3,2,yes,no,4
MS,U,GT3,reputation,2,2,yes,yes,3
MS,U,GT3,course,2,1,no,yes,4
MS,U,LE3,reputation,2,2,no,yes,4
MS,U,GT3,reputation,2,2,yes,yes,3
MS,U,LE3,reputation,1,1,yes,yes,4
MS,U,GT3,course,2,2,no,yes,3
MS,R,GT3,course,3,2,yes,no,3
MS,U,LE3,home,2,1,no,no,1
MS,R,GT3,other,3,1,yes,yes,5
MS,R,GT3,other,3,1,no,no,2
MS,U,GT3,course,2,2,no,yes,3
MS,U,LE3,course,2,3,no,yes,4
MS,R,LE3,reputation,1,2,yes,yes,3
MS,U,GT3,course,3,2,no,no,4
MS,U,GT3,other,2,1,no,no,5
MS,U,GT3,course,2,4,no,yes,2
MS,R,LE3,reputation,2,2,yes,yes,3
MS,U,LE3,course,1,2,no,no,2
MS,U,GT3,course,2,2,no,no,1
MS,R,GT3,course,2,2,yes,no,5
MS,R,GT3,home,2,3,no,yes,2
MS,R,GT3,home,2,2,yes,yes,5
MS,U,GT3,course,1,2,no,no,3
