E,F,L,Y
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,2
LE3,A,mother,4
GT3,T,mother,3
GT3,T,mother,2
LE3,T,mother,1
LE3,T,mother,4
GT3,T,mother,4
GT3,T,other,3
LE3,T,other,4
GT3,T,father,3
LE3,T,mother,4
LE3,A,mother,2
LE3,T,father,1
GT3,T,mother,3
GT3,T,mother,3
GT3,T,father,2
LE3,T,mother,3
GT3,A,other,5
GT3,T,father,5
GT3,T,mother,4
GT3,T,mother,3
GT3,T,father,2
GT3,T,mother,4
GT3,T,mother,3
LE3,T,mother,2
GT3,T,father,3
GT3,T,father,1
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,A,mother,2
LE3,A,mother,3
LE3,T,father,2
LE3,T,father,2
GT3,T,other,5
LE3,A,other,3
GT3,T,mother,3
GT3,T,mother,2
LE3,T,mother,3
GT3,T,father,4
LE3,T,father,3
GT3,T,mother,5
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,2
LE3,T,mother,5
GT3,T,other,3
GT3,T,mother,2
GT3,T,father,4
GT3,T,mother,4
GT3,T,mother,3
LE3,T,other,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
LE3,T,mother,3
GT3,A,mother,3
GT3,T,father,3
LE3,T,mother,3
GT3,A,father,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,3
LE3,A,other,2
GT3,T,mother,1
LE3,T,other,3
LE3,T,mother,4
LE3,A,other,3
GT3,T,mother,3
LE3,A,mother,4
LE3,T,mother,2
LE3,T,other,3
GT3,T,other,2
GT3,T,other,2
LE3,A,mother,4
GT3,T,father,3
GT3,T,father,1
GT3,T,mother,3
LE3,A,mother,1
GT3,T,mother,3
GT3,T,mother,1
GT3,T,father,3
GT3,T,mother,4
GT3,T,mother,1
GT3,T,mother,4
GT3,T,mother,5
LE3,T,mother,3
LE3,A,mother,3
GT3,A,mother,4
GT3,T,father,5
GT3,T,father,4
GT3,T,mother,5
LE3,A,mother,2
LE3,T,father,4
LE3,T,mother,4
GT3,T,mother,2
GT3,T,mother,5
GT3,T,father,1
GT3,T,mother,4
GT3,T,mother,4
LE3,T,father,3
LE3,T,father,3
GT3,T,mother,4
GT3,T,mother,4
LE3,T,father,3
GT3,T,mother,5
GT3,T,mother,2
GT3,T,mother,1
GT3,T,mother,5
GT3,T,father,3
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,father,4
LE3,T,mother,5
GT3,T,father,3
GT3,T,father,4
GT3,T,father,3
GT3,T,mother,2
GT3,T,father,2
LE3,T,father,4
GT3,T,father,4
GT3,T,father,4
GT3,T,mother,2
GT3,T,father,3
GT3,T,mother,3
GT3,T,father,3
GT3,T,mother,5
GT3,T,mother,4
LE3,T,father,3
LE3,T,mother,4
LE3,T,father,2
GT3,T,mother,3
LE3,T,mother,4
GT3,T,father,3
GT3,T,father,4
GT3,T,mother,5
GT3,T,other,4
GT3,T,mother,5
LE3,T,mother,2
GT3,T,father,4
LE3,A,mother,3
GT3,T,mother,3
GT3,T,father,4
LE3,A,other,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,2
GT3,T,other,1
GT3,A,mother,3
GT3,T,father,4
LE3,T,mother,4
GT3,T,mother,5
LE3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,2
GT3,T,father,3
LE3,T,father,2
LE3,T,mother,3
GT3,T,other,2
LE3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
LE3,T,father,3
GT3,T,mother,4
LE3,T,father,3
GT3,T,mother,3
GT3,A,mother,4
GT3,T,mother,3
GT3,T,mother,1
GT3,T,mother,1
LE3,T,mother,3
GT3,T,father,3
LE3,T,mother,4
GT3,A,father,3
GT3,T,mother,2
LE3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
LE3,T,mother,5
LE3,T,mother,2
LE3,T,mother,4
GT3,T,mother,2
LE3,T,mother,1
GT3,T,mother,1
LE3,T,father,1
GT3,T,mother,1
GT3,T,mother,1
GT3,T,mother,2
LE3,T,mother,2
LE3,T,father,1
GT3,T,mother,5
LE3,A,mother,4
LE3,A,mother,3
LE3,T,mother,3
LE3,T,mother,2
GT3,T,mother,3
GT3,T,mother,1
GT3,T,mother,3
GT3,T,father,3
LE3,T,father,1
GT3,T,mother,4
GT3,T,father,2
LE3,T,father,1
GT3,A,mother,5
GT3,T,mother,3
LE3,A,father,1
GT3,T,father,1
GT3,T,mother,4
LE3,A,mother,1
GT3,T,father,5
GT3,T,father,3
LE3,T,mother,4
GT3,T,mother,4
GT3,T,mother,5
GT3,T,other,3
GT3,T,mother,5
LE3,T,mother,3
LE3,T,father,4
GT3,T,mother,2
GT3,T,father,5
LE3,T,mother,5
GT3,T,other,3
GT3,T,mother,3
GT3,T,mother,2
GT3,T,mother,4
GT3,T,mother,4
GT3,T,other,4
GT3,A,mother,5
GT3,T,mother,3
GT3,T,other,4
GT3,A,mother,4
GT3,T,mother,5
GT3,T,other,4
GT3,T,mother,5
LE3,T,mother,3
GT3,T,other,4
GT3,A,mother,3
LE3,A,mother,4
GT3,T,mother,5
GT3,T,mother,4
LE3,A,other,2
GT3,T,mother,5
LE3,T,mother,3
GT3,T,mother,2
LE3,T,father,5
GT3,T,mother,4
GT3,T,father,3
GT3,T,mother,4
LE3,A,mother,4
GT3,T,mother,3
LE3,T,mother,4
GT3,T,mother,3
GT3,T,mother,3
LE3,T,mother,1
GT3,T,mother,5
GT3,T,father,2
GT3,T,mother,3
LE3,T,father,4
LE3,A,mother,3
GT3,T,mother,4
GT3,T,father,5
GT3,T,father,2
LE3,A,mother,3
LE3,A,mother,2
GT3,T,father,1
GT3,A,other,5
GT3,T,mother,2
GT3,T,mother,5
GT3,T,father,3
GT3,T,father,3
LE3,A,mother,2
LE3,T,father,3
LE3,T,father,3
LE3,A,mother,3
GT3,T,mother,3
LE3,T,mother,3
GT3,T,father,2
GT3,T,mother,3
LE3,T,mother,2
GT3,T,mother,2
GT3,T,father,2
GT3,T,father,2
LE3,T,father,3
GT3,T,mother,4
GT3,T,mother,5
LE3,T,mother,4
GT3,T,mother,3
GT3,T,other,3
LE3,T,mother,4
GT3,T,mother,1
GT3,T,mother,5
GT3,T,father,2
GT3,T,mother,4
GT3,T,father,4
GT3,T,mother,3
GT3,T,father,4
GT3,T,mother,3
GT3,T,mother,5
GT3,T,mother,4
GT3,T,mother,4
LE3,T,mother,3
GT3,T,mother,1
LE3,T,mother,4
LE3,T,mother,4
GT3,A,mother,3
GT3,T,father,3
LE3,T,mother,3
GT3,T,mother,2
GT3,T,father,3
LE3,T,mother,4
LE3,T,mother,4
GT3,A,mother,1
LE3,A,mother,2
GT3,T,mother,5
GT3,T,mother,3
GT3,T,father,2
LE3,T,father,3
GT3,T,mother,4
GT3,A,other,5
GT3,T,mother,4
GT3,T,mother,2
GT3,T,mother,3
GT3,T,mother,5
LE3,T,father,1
GT3,T,mother,4
GT3,T,father,4
LE3,T,mother,5
LE3,T,mother,4
GT3,T,mother,3
GT3,T,mother,2
GT3,T,mother,2
GT3,T,mother,2
LE3,A,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,5
LE3,T,mother,3
GT3,T,mother,4
GT3,T,father,5
LE3,T,mother,4
GT3,A,mother,4
GT3,T,mother,3
GT3,T,mother,3
LE3,T,mother,3
LE3,T,other,4
GT3,T,father,3
GT3,T,father,4
LE3,T,father,3
LE3,A,mother,2
LE3,A,mother,3
GT3,T,mother,2
GT3,T,mother,3
GT3,T,father,4
LE3,T,mother,3
LE3,T,mother,3
LE3,A,father,5
GT3,T,mother,3
LE3,A,mother,3
GT3,A,mother,3
GT3,A,mother,3
GT3,T,mother,2
LE3,T,father,3
GT3,T,mother,2
GT3,T,mother,4
GT3,T,father,5
LE3,T,father,4
GT3,T,mother,4
LE3,T,father,4
LE3,T,mother,4
GT3,A,mother,3
GT3,T,mother,3
LE3,T,mother,1
LE3,T,father,4
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,2
GT3,T,mother,5
GT3,T,mother,4
GT3,T,father,2
GT3,T,mother,3
LE3,T,mother,4
LE3,T,mother,3
GT3,T,father,3
GT3,T,father,4
LE3,T,mother,3
GT3,T,mother,3
GT3,T,father,4
LE3,A,mother,1
GT3,T,mother,3
GT3,T,mother,5
LE3,T,father,3
GT3,T,mother,3
LE3,T,mother,3
GT3,T,mother,1
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,5
GT3,T,father,4
GT3,T,mother,3
GT3,T,mother,3
GT3,A,mother,4
GT3,A,father,3
GT3,T,mother,1
GT3,T,father,3
GT3,T,father,3
LE3,T,mother,4
LE3,A,mother,5
GT3,T,father,1
GT3,T,mother,1
LE3,T,mother,5
GT3,T,mother,4
GT3,T,father,4
GT3,T,father,4
GT3,T,father,4
GT3,T,father,2
GT3,T,father,4
GT3,T,mother,2
GT3,T,father,5
LE3,T,father,2
GT3,T,mother,4
GT3,T,mother,4
GT3,T,father,5
LE3,A,mother,3
GT3,T,other,4
GT3,T,mother,3
GT3,T,mother,5
GT3,T,father,2
GT3,T,mother,3
LE3,T,father,4
GT3,A,father,2
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,A,other,3
LE3,T,mother,4
GT3,T,mother,3
GT3,T,father,2
LE3,T,father,3
GT3,T,mother,2
LE3,T,mother,4
GT3,T,mother,4
GT3,T,father,4
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,3
LE3,A,mother,5
LE3,T,mother,3
LE3,T,mother,4
GT3,T,other,2
GT3,T,mother,5
GT3,T,mother,2
GT3,T,mother,4
LE3,T,mother,2
GT3,T,mother,2
GT3,T,mother,2
GT3,T,father,5
LE3,T,mother,3
GT3,T,mother,4
LE3,T,mother,4
GT3,T,father,3
LE3,T,mother,3
GT3,T,mother,5
GT3,T,father,3
GT3,T,father,2
GT3,T,mother,1
GT3,T,mother,4
GT3,T,father,4
GT3,T,mother,3
LE3,T,mother,4
GT3,T,mother,3
LE3,T,mother,4
LE3,T,mother,4
GT3,T,mother,4
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,2
GT3,T,mother,4
GT3,T,mother,2
GT3,T,father,4
LE3,T,mother,3
GT3,T,mother,2
GT3,T,mother,3
GT3,T,mother,3
LE3,T,mother,2
GT3,A,mother,3
GT3,T,mother,1
GT3,T,mother,3
GT3,T,mother,3
GT3,T,other,4
GT3,T,mother,3
GT3,T,father,3
LE3,T,father,3
GT3,T,mother,2
LE3,T,father,3
GT3,T,mother,2
LE3,T,mother,5
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,A,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,other,3
LE3,T,mother,3
GT3,A,mother,3
GT3,T,mother,4
LE3,T,mother,2
LE3,T,mother,4
GT3,T,mother,4
LE3,T,father,2
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,2
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,3
LE3,T,father,3
LE3,T,mother,3
GT3,A,mother,2
LE3,T,father,2
GT3,T,father,5
GT3,T,mother,5
GT3,T,father,2
LE3,T,mother,4
GT3,T,mother,3
LE3,T,father,4
GT3,T,mother,5
GT3,T,mother,1
GT3,T,father,5
LE3,T,mother,5
LE3,A,mother,3
LE3,T,mother,4
GT3,T,mother,3
GT3,T,other,4
GT3,T,mother,3
GT3,T,father,2
GT3,T,mother,4
LE3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,other,3
GT3,T,mother,2
GT3,T,mother,3
GT3,T,mother,4
LE3,T,mother,4
LE3,T,mother,2
LE3,A,mother,3
GT3,T,mother,2
LE3,T,father,4
GT3,T,father,1
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,2
GT3,T,mother,3
LE3,A,mother,2
GT3,T,mother,4
GT3,T,mother,3
GT3,T,father,4
GT3,T,mother,3
GT3,T,other,3
GT3,T,father,5
LE3,T,mother,4
GT3,T,mother,5
GT3,T,mother,3
LE3,T,mother,4
GT3,A,mother,1
GT3,T,mother,2
GT3,T,father,4
LE3,T,mother,2
LE3,A,mother,5
LE3,A,mother,4
LE3,T,mother,2
GT3,T,mother,4
GT3,T,mother,4
GT3,T,father,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,2
LE3,A,mother,4
GT3,T,mother,3
GT3,T,mother,2
LE3,T,mother,4
LE3,T,mother,1
LE3,T,mother,4
GT3,T,mother,4
GT3,T,other,3
LE3,T,other,4
GT3,T,father,3
LE3,T,mother,4
LE3,A,mother,2
LE3,T,father,1
GT3,T,mother,3
GT3,T,father,2
GT3,T,other,4
GT3,T,other,4
GT3,A,other,5
GT3,T,other,3
GT3,T,father,5
LE3,T,other,4
LE3,T,other,2
GT3,T,other,4
GT3,T,other,5
LE3,T,other,2
GT3,T,other,1
GT3,T,other,1
GT3,T,mother,3
GT3,T,mother,3
GT3,T,father,3
GT3,T,mother,4
GT3,A,mother,2
GT3,T,mother,2
LE3,T,mother,3
GT3,T,father,4
LE3,T,father,3
GT3,T,mother,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,3
LE3,T,mother,5
GT3,T,father,4
GT3,T,mother,3
LE3,T,other,3
GT3,T,mother,4
GT3,T,mother,4
GT3,A,other,4
GT3,T,mother,3
LE3,T,mother,3
GT3,A,mother,3
GT3,T,other,3
GT3,T,father,3
LE3,T,mother,3
GT3,A,father,3
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
GT3,T,mother,5
GT3,T,other,4
GT3,T,mother,5
LE3,T,mother,3
GT3,T,other,4
GT3,T,mother,5
GT3,T,father,3
GT3,T,father,3
LE3,A,mother,2
LE3,T,father,3
LE3,T,father,3
LE3,A,mother,3
LE3,T,mother,4
GT3,T,mother,3
LE3,T,mother,3
GT3,T,father,2
GT3,T,mother,3
LE3,T,mother,2
GT3,T,mother,2
GT3,T,father,2
GT3,T,father,2
LE3,T,other,2
LE3,T,father,3
GT3,T,mother,4
GT3,T,mother,5
LE3,T,mother,4
GT3,T,mother,3
GT3,T,other,4
LE3,T,mother,4
GT3,T,mother,1
GT3,T,mother,5
GT3,T,father,2
GT3,T,mother,4
GT3,T,father,4
GT3,T,mother,3
GT3,T,father,4
GT3,T,mother,3
GT3,T,mother,4
GT3,T,mother,4
LE3,T,mother,3
GT3,T,mother,1
LE3,A,other,5
LE3,T,mother,4
GT3,T,other,5
LE3,T,mother,4
LE3,T,father,2
