A,C,D,E,G,H,I,J,K,M,P,V,W
GP,16,U,GT3,1,1,at_home,other,home,2,no,no,no
GP,17,R,GT3,4,3,teacher,other,reputation,2,no,yes,yes
GP,19,U,GT3,3,3,other,other,reputation,1,no,yes,no
GP,17,U,LE3,4,4,services,other,home,1,no,yes,yes
GP,16,U,GT3,2,2,other,other,reputation,1,yes,yes,no
GP,18,U,GT3,2,2,services,other,home,1,no,yes,no
GP,17,R,LE3,4,4,services,other,other,1,no,no,no
GP,17,U,LE3,3,2,other,other,reputation,2,no,yes,no
GP,17,U,GT3,4,3,other,other,reputation,1,no,yes,yes
GP,18,U,LE3,3,3,services,health,home,1,no,yes,no
GP,17,U,GT3,2,3,at_home,other,home,2,no,no,no
GP,17,U,GT3,2,2,at_home,at_home,course,1,no,yes,no
GP,17,R,GT3,2,1,at_home,services,reputation,2,no,yes,no
GP,17,U,GT3,1,1,at_home,other,reputation,1,no,no,yes
GP,16,U,GT3,2,3,services,teacher,other,1,yes,yes,no
GP,18,U,GT3,2,2,other,other,home,2,no,yes,no
GP,16,U,GT3,4,4,teacher,services,home,1,no,yes,no
GP,18,R,GT3,3,1,other,other,reputation,1,no,yes,yes
GP,17,U,GT3,3,2,other,other,course,1,no,yes,no
GP,17,U,LE3,2,3,services,services,reputation,1,no,yes,no
GP,18,U,LE3,2,1,at_home,other,course,4,yes,yes,yes
GP,17,U,GT3,2,1,other,other,course,2,no,yes,yes
GP,17,U,LE3,4,3,health,other,reputation,1,no,yes,yes
GP,17,R,GT3,2,2,other,other,course,2,no,yes,no
GP,17,U,GT3,4,4,teacher,teacher,reputation,1,yes,yes,yes
GP,16,U,GT3,4,4,health,other,reputation,1,no,yes,no
GP,16,U,LE3,1,1,other,other,home,2,no,yes,no
GP,16,U,GT3,3,2,at_home,other,reputation,2,no,yes,yes
GP,17,U,LE3,2,2,other,other,home,1,no,yes,yes
GP,16,U,GT3,2,1,other,other,home,1,no,yes,yes
GP,16,U,GT3,4,1,other,other,home,1,no,yes,yes
GP,18,U,LE3,2,4,services,other,course,2,no,yes,no
GP,18,U,LE3,2,2,at_home,services,course,1,no,yes,yes
GP,18,U,GT3,3,3,other,other,course,2,no,yes,no
GP,18,U,GT3,2,2,other,at_home,course,1,no,yes,yes
GP,17,U,GT3,4,4,teacher,teacher,course,1,no,yes,no
GP,17,U,GT3,3,2,other,other,course,1,no,no,no
GP,17,U,LE3,1,1,at_home,at_home,course,1,no,yes,yes
GP,16,U,GT3,1,2,other,other,course,1,no,yes,no
GP,17,R,GT3,2,1,at_home,services,course,3,no,no,no
GP,17,R,LE3,1,4,other,other,course,4,no,yes,no
GP,18,U,GT3,2,2,other,services,reputation,1,no,yes,no
GP,17,U,LE3,2,2,other,other,home,1,no,yes,no
GP,17,R,LE3,1,1,at_home,other,course,2,no,yes,no
GP,17,U,LE3,4,2,teacher,other,course,1,no,no,no
GP,17,U,LE3,4,3,health,other,course,2,no,yes,yes
GP,17,R,LE3,4,4,teacher,other,course,2,no,yes,no
GP,16,U,LE3,4,3,teacher,other,course,1,no,yes,no
GP,16,U,GT3,4,4,services,services,course,1,no,yes,no
GP,17,U,GT3,4,4,teacher,services,course,1,no,yes,yes
GP,17,R,GT3,1,1,other,other,home,2,no,yes,yes
GP,17,U,GT3,3,3,services,other,home,2,no,yes,yes
GP,17,U,GT3,1,1,at_home,other,course,1,yes,no,yes
GP,18,U,GT3,2,1,other,other,course,2,no,yes,yes
GP,16,U,GT3,2,1,other,other,course,3,no,yes,no
GP,17,U,GT3,1,1,other,services,course,1,no,no,no
GP,17,U,GT3,2,3,other,other,course,2,no,yes,no
GP,22,U,GT3,3,1,services,services,other,1,no,yes,yes
GP,18,R,LE3,3,3,other,services,course,1,no,yes,yes
GP,16,U,GT3,0,2,other,other,other,1,no,yes,no
GP,18,U,GT3,3,2,services,other,course,2,no,yes,no
GP,16,U,GT3,3,3,at_home,other,reputation,3,yes,yes,no
GP,18,U,GT3,2,1,services,services,other,1,no,yes,no
GP,16,R,GT3,2,1,other,other,course,2,no,no,no
GP,17,R,GT3,2,1,other,other,course,1,no,yes,no
GP,17,U,LE3,1,1,health,other,course,2,no,yes,no
GP,18,U,LE3,2,1,other,other,course,1,no,yes,yes
GP,17,U,LE3,4,2,teacher,services,reputation,1,no,yes,no
GP,19,U,GT3,2,2,services,services,home,1,no,yes,no
GP,18,U,LE3,2,1,services,other,course,3,no,yes,no
GP,17,R,GT3,4,2,other,other,course,1,no,yes,no
GP,18,U,LE3,1,1,other,at_home,home,1,no,no,no
GP,18,R,GT3,2,2,other,other,home,1,yes,no,no
GP,19,U,LE3,4,3,services,at_home,reputation,1,no,yes,no
GP,18,U,GT3,2,1,other,other,home,1,no,yes,no
GP,17,R,GT3,2,2,other,services,other,2,no,no,no
GP,17,U,LE3,2,2,services,services,course,1,no,yes,yes
GP,20,R,GT3,2,1,other,other,course,2,no,yes,yes
GP,18,U,GT3,4,3,services,other,home,1,no,yes,yes
GP,18,U,GT3,4,3,teacher,other,course,1,no,yes,no
GP,18,R,GT3,3,2,other,other,course,1,no,no,no
GP,17,U,GT3,3,3,other,other,home,1,no,no,no
GP,18,U,GT3,2,2,at_home,services,home,1,no,yes,yes
GP,17,U,GT3,2,2,other,other,home,2,no,yes,no
GP,18,R,LE3,3,4,other,other,reputation,2,no,yes,no
GP,17,U,GT3,3,1,services,other,other,1,no,yes,yes
GP,18,R,GT3,4,4,teacher,other,reputation,2,no,yes,no
GP,18,U,GT3,4,2,health,other,reputation,1,no,yes,yes
GP,18,R,GT3,2,1,other,other,reputation,2,no,yes,yes
GP,19,U,GT3,3,3,other,services,home,1,no,yes,no
GP,18,U,GT3,2,3,other,services,reputation,1,no,yes,yes
GP,18,U,LE3,1,1,other,other,home,2,no,no,no
GP,17,R,GT3,1,2,at_home,at_home,home,1,no,no,yes
GP,18,U,GT3,2,1,other,other,home,1,no,yes,yes
GP,17,U,GT3,2,4,at_home,health,reputation,2,no,yes,yes
GP,17,U,LE3,2,2,services,other,course,2,yes,yes,yes
GP,18,R,GT3,3,2,other,services,home,2,no,yes,yes
GP,18,U,GT3,4,4,teacher,services,home,2,no,yes,no
GP,18,U,GT3,4,4,health,health,reputation,1,yes,yes,yes
GP,17,U,GT3,2,2,other,services,reputation,3,no,yes,yes
GP,19,R,GT3,3,2,services,services,reputation,1,yes,yes,no
GP,18,U,LE3,4,3,teacher,services,course,2,no,yes,no
GP,18,U,GT3,1,2,at_home,other,home,2,no,yes,no
GP,17,U,LE3,4,1,services,other,home,2,no,yes,yes
GP,17,U,LE3,3,2,teacher,services,home,1,no,yes,no
GP,18,R,LE3,1,1,at_home,other,reputation,2,no,no,no
GP,18,U,GT3,1,1,other,other,home,2,yes,yes,no
GP,17,U,GT3,2,2,other,other,course,1,no,yes,no
GP,18,U,GT3,2,1,other,other,reputation,2,no,yes,yes
GP,17,U,GT3,1,1,other,other,reputation,1,no,yes,no
GP,18,U,GT3,2,2,at_home,at_home,other,1,no,yes,no
GP,17,U,GT3,1,1,services,teacher,reputation,1,no,yes,no
GP,18,U,GT3,2,1,services,services,reputation,1,no,yes,no
GP,18,U,LE3,4,4,teacher,teacher,reputation,1,no,yes,no
GP,18,U,GT3,4,2,teacher,other,home,1,no,yes,yes
GP,17,U,GT3,4,3,health,services,reputation,1,no,yes,no
GP,17,R,LE3,3,1,services,other,reputation,2,no,no,no
GP,18,R,LE3,3,2,services,other,reputation,2,no,yes,no
GP,17,U,GT3,3,3,health,other,home,1,no,yes,no
GP,19,U,GT3,4,4,health,other,reputation,2,no,yes,no
GP,18,U,LE3,4,3,other,other,home,2,no,yes,yes
GP,18,U,GT3,4,3,other,other,reputation,1,no,yes,no
GP,18,U,LE3,4,4,teacher,teacher,home,1,no,yes,yes
GP,18,U,LE3,4,4,health,other,home,1,no,yes,yes
GP,17,U,LE3,4,4,other,teacher,home,2,no,yes,no
GP,17,R,GT3,4,4,services,services,reputation,2,no,yes,no
GP,17,U,GT3,4,2,other,other,reputation,2,no,yes,no
GP,17,U,GT3,3,2,health,health,reputation,1,no,yes,no
GP,19,R,LE3,2,1,at_home,services,course,2,no,yes,yes
GP,20,U,GT3,3,2,services,other,course,1,no,no,no
GP,19,R,GT3,3,3,other,services,reputation,1,no,no,yes
GP,18,U,GT3,1,4,other,teacher,home,1,yes,no,yes
GP,18,U,GT3,2,1,services,other,course,2,no,yes,no
GP,17,U,GT3,2,3,other,other,course,2,no,yes,yes
GP,17,R,GT3,4,4,teacher,teacher,course,1,no,yes,no
GP,18,U,GT3,4,3,other,other,course,1,no,yes,yes
GP,18,U,LE3,4,3,health,services,course,2,no,yes,no
GP,17,R,GT3,3,4,at_home,services,course,1,no,yes,no
GP,18,U,GT3,3,3,at_home,other,course,1,no,yes,no
GP,19,U,GT3,4,2,health,other,course,2,no,yes,yes
GP,18,U,GT3,4,4,teacher,other,course,1,no,yes,no
GP,18,U,GT3,3,4,other,other,course,1,no,yes,yes
GP,17,U,GT3,4,4,health,health,course,1,no,yes,no
GP,17,U,GT3,4,3,services,services,course,1,no,yes,yes
GP,17,U,LE3,3,3,services,other,home,1,yes,yes,no
GP,17,U,LE3,2,1,other,other,home,1,no,yes,no
GP,18,U,LE3,4,4,other,other,reputation,1,no,yes,no
GP,19,U,GT3,1,1,other,other,course,3,no,no,yes
GP,19,U,LE3,1,1,other,other,course,3,no,yes,yes
GP,18,U,GT3,2,2,other,other,course,1,no,yes,yes
GP,17,U,GT3,2,2,other,other,course,1,no,no,yes
GP,17,R,LE3,2,2,services,services,course,1,no,yes,no
GP,17,U,GT3,3,1,services,services,course,1,no,yes,no
GP,17,U,LE3,0,2,at_home,at_home,home,2,no,yes,no
GP,18,U,GT3,1,1,other,other,home,2,no,yes,no
GP,18,U,GT3,4,4,other,other,course,1,no,yes,no
GP,17,U,GT3,3,3,other,services,reputation,1,no,yes,no
GP,17,R,GT3,2,2,services,other,course,4,no,yes,no
GP,17,U,GT3,4,4,teacher,services,course,1,no,yes,no
GP,17,U,GT3,4,4,teacher,teacher,course,2,no,yes,yes
GP,17,U,GT3,3,3,at_home,other,course,1,no,yes,no
GP,18,U,LE3,2,2,other,other,course,1,no,yes,no
GP,19,R,GT3,3,2,at_home,services,home,1,no,no,yes
GP,18,U,GT3,2,2,at_home,other,course,4,no,no,yes
GP,17,R,GT3,2,4,at_home,other,course,1,no,yes,yes
GP,18,U,GT3,2,2,other,other,reputation,1,no,yes,no
GP,18,U,GT3,3,3,services,services,home,1,no,yes,no
GP,18,U,LE3,2,2,other,other,home,1,no,yes,yes
GP,18,R,GT3,2,2,at_home,other,course,2,no,no,no
GP,17,U,GT3,3,4,services,other,course,1,no,yes,no
GP,17,U,GT3,3,2,other,other,home,1,no,yes,yes
GP,18,U,LE3,3,3,services,services,home,1,no,yes,no
GP,17,R,GT3,3,2,other,other,home,1,no,yes,no
GP,18,U,GT3,4,4,teacher,services,home,1,no,yes,no
GP,18,U,LE3,3,4,services,other,home,1,no,yes,yes
GP,17,U,GT3,2,2,at_home,at_home,home,1,no,yes,yes
GP,18,U,GT3,2,3,at_home,other,course,1,no,yes,no
GP,18,U,GT3,3,2,other,services,other,1,no,yes,yes
GP,18,R,GT3,4,3,teacher,services,course,1,no,yes,yes
GP,18,U,GT3,4,3,teacher,other,course,1,no,yes,yes
GP,17,U,GT3,4,3,health,other,reputation,1,no,yes,yes
GP,17,U,GT3,2,1,services,other,course,2,no,yes,yes
GP,17,U,GT3,2,1,services,other,reputation,1,no,yes,no
GP,19,U,LE3,2,3,at_home,other,home,2,no,yes,no
GP,17,U,GT3,3,1,other,at_home,home,1,no,yes,yes
GP,21,U,LE3,4,4,other,other,reputation,1,no,yes,no
GP,18,U,LE3,2,2,services,services,reputation,1,no,yes,no
GP,18,U,LE3,3,4,other,other,reputation,1,no,yes,yes
GP,17,U,GT3,2,2,services,services,reputation,1,no,yes,no
GP,17,U,LE3,4,4,health,other,reputation,1,no,yes,no
GP,18,U,LE3,4,2,teacher,other,course,1,no,yes,no
GP,21,R,LE3,1,1,at_home,other,course,2,no,yes,yes
GP,20,R,GT3,1,1,other,other,reputation,2,no,yes,yes
GP,19,U,GT3,4,4,teacher,other,home,1,no,yes,yes
GP,17,U,LE3,3,2,other,other,reputation,1,no,yes,no
GP,18,U,GT3,3,2,at_home,other,reputation,1,no,yes,yes
GP,18,R,GT3,2,3,other,services,reputation,1,no,yes,no
GP,19,U,GT3,2,1,other,other,reputation,1,no,yes,no
GP,18,U,LE3,2,2,services,other,reputation,2,no,yes,no
GP,20,U,GT3,1,0,other,other,reputation,2,yes,yes,yes
GP,18,U,GT3,3,2,services,other,home,1,no,yes,yes
MS,16,U,GT3,1,3,at_home,other,other,2,no,yes,yes
MS,16,R,GT3,2,2,other,other,course,2,no,yes,no
MS,15,R,GT3,1,1,at_home,services,other,1,no,no,yes
MS,15,R,GT3,3,3,at_home,other,course,2,no,yes,no
MS,16,R,GT3,2,3,at_home,services,course,2,no,no,no
MS,15,R,LE3,2,1,at_home,other,home,2,no,no,no
MS,16,R,LE3,4,4,at_home,other,home,1,no,no,no
MS,16,U,GT3,1,2,other,other,other,1,yes,yes,no
MS,17,R,GT3,3,2,at_home,other,course,1,no,no,yes
MS,17,R,GT3,1,1,other,other,other,1,no,yes,no
MS,15,R,GT3,4,4,teacher,other,course,2,no,yes,yes
MS,16,U,LE3,2,2,at_home,other,reputation,2,no,no,yes
MS,15,R,LE3,1,1,at_home,services,reputation,2,no,yes,no
MS,15,R,LE3,1,1,other,services,course,2,no,yes,yes
MS,16,R,GT3,0,2,other,other,other,2,no,no,no
MS,17,R,GT3,2,3,other,other,course,2,no,yes,no
MS,15,R,GT3,3,3,other,services,course,2,no,yes,no
