A,D,E,F,G,J,K,L,N,P,T,Y
GP,U,GT3,A,3,other,course,mother,2,no,yes,3
GP,U,GT3,T,4,other,other,mother,2,no,yes,3
GP,U,GT3,T,1,other,home,mother,1,no,yes,3
GP,R,GT3,T,4,other,reputation,mother,3,no,yes,4
GP,U,GT3,T,3,other,reputation,other,4,no,yes,3
GP,U,LE3,T,4,other,home,mother,2,no,yes,3
GP,U,GT3,A,2,other,reputation,mother,2,yes,yes,3
GP,U,GT3,T,2,other,home,mother,2,no,yes,4
GP,R,LE3,T,4,other,other,mother,1,no,yes,2
GP,U,LE3,T,3,other,reputation,mother,2,no,yes,4
GP,U,GT3,T,4,other,reputation,mother,2,no,yes,4
GP,U,LE3,T,3,health,home,father,2,no,yes,2
GP,U,GT3,T,2,other,home,father,1,no,yes,3
GP,U,GT3,T,2,at_home,course,mother,3,no,yes,3
GP,R,GT3,T,2,services,reputation,mother,2,no,yes,2
GP,U,GT3,T,1,other,reputation,mother,3,no,yes,3
GP,U,GT3,T,2,teacher,other,mother,2,yes,yes,3
GP,U,GT3,T,2,other,home,mother,2,no,yes,3
GP,U,GT3,T,4,services,home,mother,3,no,no,3
GP,R,GT3,T,3,other,reputation,mother,2,no,yes,3
GP,U,GT3,T,3,other,course,mother,2,no,no,3
GP,U,LE3,T,2,services,reputation,father,2,no,no,3
GP,U,LE3,T,2,other,course,mother,2,yes,yes,3
GP,U,GT3,A,2,other,course,mother,3,no,yes,2
GP,U,LE3,T,4,other,reputation,father,2,no,yes,2
GP,R,GT3,T,2,other,course,father,2,no,yes,5
GP,U,GT3,T,4,teacher,reputation,mother,2,yes,yes,5
GP,U,GT3,T,4,other,reputation,father,2,no,yes,2
GP,U,LE3,T,1,other,home,mother,2,no,yes,4
GP,U,GT3,T,3,other,reputation,mother,3,no,yes,3
GP,U,LE3,T,2,other,home,father,2,no,no,4
GP,U,GT3,T,2,other,home,mother,1,no,yes,5
GP,U,GT3,A,4,other,home,mother,2,no,yes,3
GP,U,LE3,A,2,other,course,mother,2,no,yes,3
GP,U,LE3,T,2,services,course,mother,2,no,no,3
GP,U,GT3,T,3,other,course,mother,1,no,yes,1
GP,U,GT3,T,2,at_home,course,other,1,no,no,4
GP,U,GT3,T,4,teacher,course,mother,1,no,no,2
GP,U,GT3,T,3,other,course,father,2,no,yes,4
GP,U,LE3,T,1,at_home,course,mother,3,no,yes,3
GP,U,GT3,T,1,other,course,mother,1,no,yes,3
GP,R,GT3,T,2,services,course,mother,2,no,yes,1
GP,R,LE3,A,1,other,course,other,1,no,yes,5
GP,U,GT3,T,2,services,reputation,father,2,no,yes,5
GP,U,LE3,A,2,other,home,mother,1,no,no,1
GP,R,LE3,T,1,other,course,mother,3,no,yes,3
GP,U,LE3,A,4,other,course,mother,2,no,yes,3
GP,U,LE3,T,4,other,course,mother,2,no,yes,5
GP,R,LE3,A,4,other,course,mother,2,no,yes,3
GP,U,LE3,T,4,other,course,mother,1,no,no,4
GP,U,GT3,T,4,services,course,mother,1,no,yes,3
GP,U,GT3,T,4,services,course,mother,2,no,yes,3
GP,R,GT3,T,1,other,home,father,3,no,no,3
GP,U,GT3,T,3,other,home,mother,3,no,yes,2
GP,U,GT3,T,1,other,course,mother,2,yes,no,3
GP,U,GT3,T,2,other,course,other,3,no,no,4
GP,U,GT3,T,2,other,course,mother,1,no,yes,3
GP,U,GT3,T,1,services,course,father,2,no,yes,3
GP,U,GT3,T,2,other,course,father,1,no,yes,2
GP,U,GT3,T,3,services,other,mother,1,no,no,4
GP,R,LE3,T,3,services,course,mother,2,no,yes,3
GP,U,GT3,T,0,other,other,mother,1,no,no,3
GP,U,GT3,T,3,other,course,mother,1,no,yes,4
GP,U,GT3,T,3,other,reputation,other,2,yes,no,3
GP,U,GT3,T,2,services,other,mother,1,no,no,2
GP,R,GT3,T,2,other,course,mother,1,no,no,3
GP,R,GT3,T,2,other,course,mother,1,no,no,4
GP,U,LE3,T,1,other,course,mother,1,no,yes,4
GP,U,LE3,A,2,other,course,mother,2,no,no,3
GP,U,LE3,T,4,services,reputation,mother,4,no,yes,2
GP,U,GT3,T,2,services,home,mother,2,no,yes,3
GP,U,LE3,T,2,other,course,mother,2,no,no,4
GP,R,GT3,T,4,other,course,mother,3,no,yes,3
GP,U,LE3,T,1,at_home,home,mother,3,no,no,4
GP,R,GT3,T,2,other,home,mother,2,yes,yes,2
GP,U,LE3,A,4,at_home,reputation,mother,2,no,yes,3
GP,U,GT3,T,2,other,home,mother,2,no,yes,2
GP,R,GT3,T,2,services,other,mother,1,no,no,2
GP,U,LE3,T,2,services,course,father,4,no,yes,4
GP,R,GT3,T,2,other,course,other,2,no,yes,2
GP,U,GT3,T,4,other,home,father,2,no,yes,1
GP,U,GT3,T,4,other,course,mother,2,no,no,3
GP,R,GT3,T,3,other,course,mother,3,no,no,3
GP,U,GT3,T,3,other,home,mother,3,no,no,2
GP,U,GT3,T,2,services,home,mother,3,no,yes,3
GP,U,GT3,T,2,other,home,father,1,no,yes,4
GP,R,LE3,A,3,other,reputation,mother,2,no,yes,2
GP,U,GT3,T,3,other,other,mother,2,no,yes,4
GP,R,GT3,T,4,other,reputation,mother,2,no,yes,3
GP,U,GT3,T,4,other,reputation,father,2,no,yes,4
GP,R,GT3,T,2,other,reputation,mother,2,no,yes,3
GP,U,GT3,T,3,services,home,other,2,no,yes,3
GP,U,GT3,T,2,services,reputation,father,4,no,yes,5
GP,U,LE3,T,1,other,home,mother,2,no,no,4
GP,R,GT3,T,1,at_home,home,mother,2,no,no,5
GP,U,GT3,T,2,other,home,mother,2,no,yes,2
GP,U,GT3,T,2,health,reputation,mother,2,no,yes,3
GP,U,LE3,T,2,other,course,mother,2,yes,yes,4
GP,R,GT3,A,3,services,home,mother,2,no,no,1
GP,U,GT3,T,4,services,home,mother,1,no,yes,2
GP,U,GT3,T,4,health,reputation,father,2,yes,yes,4
GP,U,GT3,T,2,services,reputation,father,3,no,yes,2
GP,R,GT3,T,3,services,reputation,father,2,yes,yes,3
GP,U,LE3,T,4,services,course,mother,1,no,yes,2
GP,U,GT3,T,1,other,home,other,1,no,no,4
GP,U,LE3,A,4,other,home,mother,1,no,yes,5
GP,U,LE3,A,3,services,home,mother,1,no,yes,4
GP,R,LE3,T,1,other,reputation,mother,4,no,yes,2
GP,U,GT3,T,1,other,home,mother,2,yes,yes,4
GP,U,GT3,T,2,other,course,mother,2,no,no,4
GP,U,GT3,T,2,other,reputation,mother,2,no,yes,3
GP,U,GT3,T,1,other,reputation,father,2,no,no,3
GP,U,GT3,T,2,at_home,other,mother,3,no,yes,3
GP,U,GT3,T,1,teacher,reputation,mother,3,no,yes,3
GP,U,GT3,T,2,services,reputation,mother,3,no,yes,2
GP,U,LE3,A,4,teacher,reputation,mother,2,no,yes,4
GP,U,GT3,T,4,other,home,mother,2,no,yes,3
GP,U,GT3,T,4,services,reputation,mother,3,no,yes,2
GP,R,LE3,T,3,other,reputation,mother,4,no,yes,1
GP,R,LE3,T,3,other,reputation,mother,3,no,yes,4
GP,U,GT3,T,3,other,home,mother,1,no,yes,4
GP,U,GT3,T,4,other,reputation,other,2,no,yes,3
GP,U,LE3,T,4,other,home,other,2,no,yes,4
GP,U,GT3,T,4,other,reputation,father,4,no,yes,3
GP,U,LE3,T,4,teacher,home,mother,1,no,yes,4
GP,U,LE3,A,4,other,home,mother,2,no,yes,2
GP,U,LE3,T,4,teacher,home,father,1,no,yes,1
GP,R,GT3,T,4,services,reputation,mother,3,no,yes,3
GP,U,GT3,T,4,other,reputation,mother,3,no,yes,3
GP,U,GT3,T,3,health,reputation,father,4,no,no,2
GP,R,LE3,T,2,services,course,mother,3,no,yes,3
GP,U,GT3,A,3,other,course,other,1,no,yes,5
GP,R,GT3,T,3,services,reputation,father,2,no,yes,5
GP,U,GT3,T,1,teacher,home,mother,2,yes,no,4
GP,U,GT3,T,2,other,course,mother,2,no,yes,3
GP,U,GT3,T,2,other,course,father,2,no,yes,2
GP,R,GT3,T,4,teacher,course,mother,1,no,yes,4
GP,U,GT3,T,4,other,course,mother,3,no,yes,3
GP,U,LE3,T,4,services,course,mother,1,no,yes,2
GP,R,GT3,T,3,services,course,father,3,no,no,3
GP,U,GT3,T,3,other,course,father,2,no,yes,1
GP,U,GT3,T,4,other,course,mother,2,no,yes,4
GP,U,GT3,T,4,other,course,mother,2,no,yes,4
GP,U,GT3,T,3,other,course,mother,1,no,yes,4
GP,U,GT3,T,4,health,course,mother,1,no,yes,3
GP,U,GT3,A,4,services,course,mother,2,no,yes,2
GP,U,LE3,A,3,other,home,mother,2,yes,yes,3
GP,U,LE3,T,2,other,home,father,2,no,yes,2
GP,U,LE3,T,4,other,reputation,father,1,no,yes,2
GP,U,GT3,T,1,other,course,other,3,no,yes,5
GP,U,LE3,A,1,other,course,other,2,no,no,3
GP,U,GT3,T,2,other,course,mother,1,no,yes,3
GP,U,GT3,T,2,other,course,mother,2,no,yes,2
GP,R,LE3,T,2,services,course,mother,3,no,yes,3
GP,U,GT3,T,3,services,course,father,3,no,no,4
GP,U,LE3,T,0,at_home,home,father,3,no,yes,3
GP,U,GT3,T,1,other,home,mother,3,no,yes,5
GP,U,GT3,T,4,other,course,mother,3,no,yes,3
GP,U,GT3,T,3,services,reputation,mother,1,no,no,3
GP,R,GT3,T,2,other,course,mother,1,no,yes,4
GP,U,GT3,T,4,services,course,mother,3,no,yes,4
GP,U,GT3,T,4,teacher,course,mother,3,no,no,3
GP,U,GT3,T,3,other,course,mother,1,no,yes,2
GP,U,LE3,T,2,other,course,mother,4,no,yes,5
GP,R,GT3,T,3,services,home,other,1,no,no,3
GP,U,GT3,T,2,other,course,mother,2,no,yes,2
GP,R,GT3,T,2,other,course,father,3,no,yes,4
GP,U,GT3,T,2,other,reputation,mother,1,no,no,4
GP,U,GT3,T,3,services,home,mother,2,no,yes,3
GP,U,LE3,T,2,other,home,other,2,no,no,3
GP,R,GT3,T,2,other,course,mother,4,no,yes,4
GP,U,GT3,T,3,other,course,mother,3,no,yes,4
GP,U,GT3,T,3,other,home,mother,2,no,yes,3
GP,U,LE3,T,3,services,home,mother,4,no,yes,3
GP,R,GT3,A,3,other,home,mother,2,no,yes,3
GP,U,GT3,T,4,services,home,father,2,no,yes,3
GP,U,LE3,T,3,other,home,mother,2,no,yes,3
GP,U,GT3,A,2,at_home,home,father,2,no,yes,3
GP,U,GT3,T,2,other,course,mother,3,no,yes,3
GP,U,GT3,T,3,services,other,mother,3,no,yes,4
GP,R,GT3,T,4,services,course,mother,3,no,yes,3
GP,U,GT3,T,4,other,course,mother,3,no,yes,4
GP,U,GT3,T,4,other,reputation,mother,3,no,yes,4
GP,U,GT3,T,2,other,course,mother,2,no,yes,3
GP,U,GT3,T,2,other,reputation,mother,2,no,yes,3
GP,U,LE3,A,2,other,home,other,1,no,yes,2
GP,U,GT3,T,3,at_home,home,mother,1,no,yes,1
GP,U,LE3,T,4,other,reputation,other,3,no,yes,3
GP,U,LE3,T,2,services,reputation,mother,2,no,no,4
GP,U,LE3,A,3,other,reputation,other,2,no,yes,3
GP,U,GT3,T,2,services,reputation,mother,2,no,yes,3
GP,U,LE3,A,4,other,reputation,mother,3,no,yes,4
GP,U,LE3,T,4,other,course,mother,2,no,yes,2
GP,R,LE3,T,1,other,course,other,2,no,yes,3
GP,R,GT3,T,1,other,reputation,other,3,no,yes,2
GP,U,GT3,T,4,other,home,other,1,no,yes,2
GP,U,LE3,A,3,other,reputation,mother,2,no,yes,4
GP,U,GT3,T,3,other,reputation,father,3,no,yes,3
GP,R,GT3,T,2,services,reputation,father,1,no,yes,1
GP,U,GT3,T,2,other,reputation,mother,1,no,yes,3
GP,U,LE3,A,2,other,reputation,mother,2,no,yes,1
GP,U,GT3,T,1,other,reputation,mother,1,yes,yes,3
GP,U,GT3,T,3,other,home,mother,2,no,no,1
MS,U,GT3,T,1,other,other,father,1,no,yes,3
MS,R,GT3,T,2,other,course,mother,2,no,yes,4
MS,R,GT3,T,1,services,other,mother,1,no,yes,1
MS,R,GT3,T,3,other,course,mother,1,no,yes,4
MS,R,GT3,T,2,services,course,mother,2,no,yes,5
MS,R,LE3,T,2,other,home,mother,1,no,yes,3
MS,R,LE3,A,4,other,home,mother,2,no,yes,3
MS,U,GT3,A,1,other,other,mother,3,yes,yes,4
MS,R,GT3,T,3,other,course,father,2,no,yes,5
MS,R,GT3,T,1,other,other,father,1,no,no,4
MS,R,GT3,T,4,other,course,mother,1,no,yes,5
MS,U,LE3,A,2,other,reputation,mother,4,no,no,2
MS,R,LE3,T,1,services,reputation,father,2,no,yes,4
MS,R,LE3,T,1,services,course,mother,1,no,yes,4
MS,R,GT3,T,0,other,other,mother,1,no,yes,2
MS,R,GT3,T,2,other,course,mother,1,no,yes,5
MS,R,GT3,T,3,services,course,father,1,no,no,1
MS,U,GT3,T,1,services,home,mother,2,no,yes,4
MS,U,GT3,T,1,other,home,mother,2,no,no,4
MS,R,LE3,T,4,services,reputation,father,2,no,yes,3
MS,R,LE3,T,4,services,reputation,father,2,no,yes,3
MS,R,GT3,T,3,health,other,mother,2,no,no,4
MS,R,GT3,T,1,other,course,mother,2,no,yes,4
MS,U,LE3,T,3,at_home,reputation,father,2,no,yes,3
MS,R,GT3,T,2,other,other,mother,1,no,yes,5
MS,R,GT3,T,4,teacher,course,mother,3,no,yes,2
MS,R,GT3,T,1,services,course,mother,1,no,yes,1
MS,R,GT3,T,2,services,course,mother,2,no,yes,5
MS,R,GT3,T,1,other,course,father,2,no,yes,3
MS,R,GT3,T,2,other,course,mother,2,no,yes,4
MS,U,GT3,T,1,services,course,mother,3,no,yes,3
MS,U,GT3,T,1,services,course,mother,3,no,yes,3
MS,U,GT3,T,2,other,home,mother,2,yes,no,4
MS,U,GT3,T,1,other,course,father,2,no,no,4
MS,R,LE3,T,1,services,reputation,mother,1,no,yes,5
MS,R,GT3,T,1,other,home,father,4,no,no,3
MS,R,GT3,T,1,other,other,father,3,yes,yes,4
MS,R,GT3,T,1,other,home,father,2,no,yes,3
MS,R,GT3,T,1,other,other,mother,1,no,yes,2
MS,R,GT3,T,1,at_home,course,father,2,no,yes,2
MS,R,LE3,T,2,other,other,father,3,yes,yes,4
MS,R,GT3,T,1,other,other,father,1,no,yes,4
MS,U,GT3,T,1,other,course,father,2,no,yes,4
MS,U,GT3,T,3,services,home,mother,1,no,yes,2
MS,R,GT3,T,2,services,course,father,2,no,yes,3
MS,U,GT3,T,2,other,reputation,mother,1,no,yes,3
MS,U,GT3,T,4,teacher,course,father,2,no,yes,3
MS,R,GT3,T,3,other,reputation,mother,2,no,yes,5
MS,R,GT3,T,2,other,course,mother,2,no,no,4
MS,R,LE3,T,2,other,home,father,1,no,yes,3
MS,U,LE3,T,2,services,course,mother,1,no,yes,4
MS,R,LE3,T,1,other,reputation,father,1,no,yes,2
