HRBP,VENTMACH,VENTTUBE,ANAPHYLAXIS,PULMEMBOLUS,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,INTUBATION,EXPCO2,PVSAT,PAP,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,SHUNT,TPR
HIGH,HIGH,NORMAL,False,False,False,False,False,NORMAL,NORMAL,HIGH,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL,NORMAL
LOW,HIGH,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,HIGH,False,False,False,True,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,HIGH,NORMAL,False,False,True,False,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL,False,LOW,NORMAL,NORMAL
LOW,LOW,ZERO,False,False,True,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,LOW
HIGH,LOW,ZERO,False,False,True,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,NORMAL,False,HIGH,NORMAL,LOW
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,HIGH
LOW,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
NORMAL,LOW,ZERO,False,False,False,False,False,NORMAL,ONESIDED,LOW,NORMAL,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,HIGH,HIGH
HIGH,LOW,ZERO,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW
LOW,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,LOW
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,LOW
HIGH,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH,HIGH
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
LOW,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
LOW,LOW,ZERO,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,HIGH,LOW,NORMAL,LOW,LOW,HIGH,False,HIGH,NORMAL,LOW
HIGH,LOW,ZERO,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,False,HIGH,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,HIGH,LOW,NORMAL,LOW,LOW,HIGH,HIGH,LOW,False,LOW,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW
HIGH,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,ZERO,LOW,NORMAL,NORMAL,HIGH,HIGH,HIGH,LOW,False,NORMAL,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,HIGH
LOW,LOW,ZERO,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,LOW,LOW,False,HIGH,NORMAL,HIGH
HIGH,LOW,ZERO,False,False,False,True,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,LOW,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,HIGH,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW
HIGH,LOW,ZERO,False,False,False,True,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL,NORMAL
HIGH,LOW,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,HIGH,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL,NORMAL
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,ZERO,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,NORMAL
NORMAL,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,True,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,LOW,NORMAL,NORMAL,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,ESOPHAGEAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,True,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL,NORMAL
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,HIGH,HIGH
LOW,NORMAL,ZERO,False,False,True,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,LOW
HIGH,NORMAL,ZERO,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,True,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
NORMAL,NORMAL,LOW,False,False,False,True,False,NORMAL,ONESIDED,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,HIGH,LOW
HIGH,NORMAL,LOW,False,False,True,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,LOW,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,NORMAL,True,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
NORMAL,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,True,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,NORMAL
LOW,NORMAL,HIGH,False,False,False,False,False,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,LOW,LOW,LOW,NORMAL,False,LOW,NORMAL,HIGH
NORMAL,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,True,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,True,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,True,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,LOW
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
LOW,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,LOW,False,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,HIGH
LOW,NORMAL,LOW,False,False,False,False,False,LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,LOW,False,ZERO,NORMAL,NORMAL
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,NORMAL,LOW,LOW,LOW,NORMAL,False,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,NORMAL,LOW,LOW,LOW,NORMAL,False,LOW,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,LOW,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
NORMAL,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW
LOW,NORMAL,LOW,False,False,True,True,False,HIGH,NORMAL,HIGH,LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,HIGH,True,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,HIGH,LOW
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,ZERO,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,LOW,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,HIGH
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,ZERO,LOW,NORMAL,NORMAL,LOW,LOW,LOW,NORMAL,False,NORMAL,NORMAL,HIGH
NORMAL,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,NORMAL
NORMAL,NORMAL,ZERO,False,False,False,False,False,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW
LOW,NORMAL,HIGH,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL,HIGH
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL
