HRBP,VENTMACH,VENTTUBE,INSUFFANESTH,LVFAILURE,INTUBATION,EXPCO2,PVSAT,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2,HR
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,ONESIDED,NORMAL,LOW,LOW,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,True,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,False,ONESIDED,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,False,False,ONESIDED,LOW,LOW,NORMAL,LOW,LOW,False,NORMAL,HIGH,ZERO,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,ESOPHAGEAL,NORMAL,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,LOW,HIGH,HIGH
LOW,NORMAL,ZERO,False,False,NORMAL,LOW,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,NORMAL,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH,LOW
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,NORMAL,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,LOW,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,NORMAL,LOW,LOW,LOW,LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,ZERO,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,HIGH,NORMAL,False,False,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,False,LOW,HIGH,HIGH,HIGH,HIGH
LOW,ZERO,ZERO,False,True,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False,HIGH,NORMAL,LOW,NORMAL,LOW
HIGH,NORMAL,LOW,False,False,ESOPHAGEAL,NORMAL,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL,NORMAL,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,HIGH,HIGH,True,False,ESOPHAGEAL,NORMAL,HIGH,ZERO,HIGH,HIGH,False,HIGH,NORMAL,NORMAL,NORMAL,HIGH
HIGH,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,False,NORMAL,NORMAL,NORMAL,LOW,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,True,False,ONESIDED,NORMAL,NORMAL,ZERO,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
LOW,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,ESOPHAGEAL,LOW,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,HIGH,False,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,ONESIDED,NORMAL,LOW,LOW,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,HIGH
HIGH,LOW,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,LOW,ZERO,True,False,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,ONESIDED,NORMAL,LOW,ZERO,NORMAL,NORMAL,False,LOW,HIGH,LOW,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,False,ONESIDED,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL,HIGH,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
NORMAL,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,False,HIGH,NORMAL,ZERO,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,True,False,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,NORMAL,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,ONESIDED,NORMAL,LOW,LOW,HIGH,HIGH,False,LOW,HIGH,LOW,HIGH,HIGH
LOW,NORMAL,ZERO,False,False,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,False,HIGH,HIGH,LOW,NORMAL,NORMAL
NORMAL,ZERO,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,LOW,LOW,LOW
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,LOW,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
LOW,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,False,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,HIGH,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,HIGH,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,LOW,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,NORMAL,False,False,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,False,LOW,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,ONESIDED,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL,HIGH,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,ONESIDED,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,HIGH,ZERO,NORMAL,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,HIGH,HIGH,False,False,NORMAL,LOW,LOW,ZERO,LOW,LOW,True,ZERO,NORMAL,ZERO,HIGH,NORMAL
HIGH,ZERO,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,ZERO,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,True,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,ZERO,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,False,False,NORMAL,LOW,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL,LOW,LOW,NORMAL
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,LOW,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,True,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,LOW,False,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL,ZERO,HIGH,HIGH
NORMAL,NORMAL,ZERO,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
