B,E,G,H,J
Self-emp-not-inc,13,Sales,Husband,Male
Private,10,Machine-op-inspct,Not-in-family,Male
Private,10,Prof-specialty,Other-relative,Male
Private,9,Other-service,Own-child,Male
Private,12,Adm-clerical,Husband,Male
noValueSetHere123156456,6,noValueSetHere123156456,Husband,Male
Private,7,Other-service,Own-child,Female
Local-gov,4,Farming-fishing,Husband,Male
Private,9,Sales,Not-in-family,Male
Private,13,Other-service,Husband,Male
Private,9,Other-service,Wife,Female
Private,9,Sales,Husband,Male
Private,9,Craft-repair,Not-in-family,Female
Private,9,Sales,Own-child,Female
Local-gov,9,Protective-serv,Husband,Male
Private,14,Prof-specialty,Husband,Male
Private,5,Sales,Not-in-family,Male
Federal-gov,16,Prof-specialty,Not-in-family,Female
Private,11,Prof-specialty,Husband,Male
Private,10,Craft-repair,Unmarried,Female
Private,10,Machine-op-inspct,Unmarried,Female
Private,9,Sales,Wife,Female
Local-gov,13,Protective-serv,Husband,Male
Local-gov,10,Handlers-cleaners,Not-in-family,Male
Self-emp-not-inc,16,Prof-specialty,Husband,Male
Private,10,Sales,Husband,Male
Private,12,Exec-managerial,Unmarried,Female
Federal-gov,9,Other-service,Own-child,Male
Private,14,Exec-managerial,Husband,Male
Private,13,Exec-managerial,Husband,Male
Self-emp-not-inc,14,Prof-specialty,Not-in-family,Female
Private,10,Tech-support,Own-child,Female
Private,9,Craft-repair,Not-in-family,Male
Self-emp-inc,9,Craft-repair,Husband,Male
noValueSetHere123156456,6,noValueSetHere123156456,Own-child,Female
Private,7,Handlers-cleaners,Own-child,Male
Local-gov,9,Adm-clerical,Not-in-family,Female
Private,9,Handlers-cleaners,Husband,Male
Private,13,Sales,Other-relative,Male
Private,15,Prof-specialty,Husband,Male
Self-emp-not-inc,9,Other-service,Husband,Male
Private,10,Sales,Wife,Female
Private,9,Machine-op-inspct,Own-child,Female
Private,5,Handlers-cleaners,Husband,Male
Self-emp-inc,10,Sales,Husband,Male
Local-gov,11,Craft-repair,Husband,Male
Private,10,Sales,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
Private,10,Other-service,Own-child,Female
Private,13,Exec-managerial,Husband,Male
Private,13,Exec-managerial,Own-child,Male
State-gov,13,Prof-specialty,Husband,Male
Private,10,Other-service,Own-child,Male
Private,13,Exec-managerial,Wife,Female
Private,10,Adm-clerical,Own-child,Female
Private,12,Adm-clerical,Husband,Male
noValueSetHere123156456,9,noValueSetHere123156456,Husband,Male
Private,10,Craft-repair,Not-in-family,Male
Private,12,Sales,Not-in-family,Female
Private,9,Other-service,Not-in-family,Female
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,13,Sales,Husband,Male
Private,12,Tech-support,Not-in-family,Female
Federal-gov,14,Prof-specialty,Husband,Male
Self-emp-not-inc,9,Craft-repair,Husband,Male
Private,11,Adm-clerical,Wife,Female
Private,10,Sales,Own-child,Male
Private,10,Craft-repair,Husband,Male
Self-emp-inc,9,Craft-repair,Husband,Male
Private,10,Sales,Own-child,Female
Private,10,Other-service,Own-child,Male
Private,11,Prof-specialty,Not-in-family,Female
Private,10,Tech-support,Other-relative,Male
Private,9,Transport-moving,Unmarried,Female
Private,10,Other-service,Husband,Male
Private,9,Other-service,Unmarried,Female
Private,7,Craft-repair,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Not-in-family,Female
Local-gov,10,Adm-clerical,Unmarried,Female
Private,9,Adm-clerical,Not-in-family,Female
Private,13,Exec-managerial,Other-relative,Female
Private,9,Craft-repair,Own-child,Male
noValueSetHere123156456,9,noValueSetHere123156456,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Private,13,Handlers-cleaners,Not-in-family,Male
Self-emp-not-inc,10,Sales,Unmarried,Male
Private,9,Craft-repair,Not-in-family,Male
Private,13,Other-service,Other-relative,Male
noValueSetHere123156456,2,noValueSetHere123156456,Not-in-family,Female
Private,9,Other-service,Unmarried,Female
Self-emp-inc,14,Exec-managerial,Unmarried,Female
Private,9,Exec-managerial,Not-in-family,Female
Self-emp-not-inc,14,Sales,Husband,Male
Private,10,Other-service,Unmarried,Female
Federal-gov,12,Exec-managerial,Not-in-family,Male
State-gov,14,Protective-serv,Unmarried,Male
Private,7,Handlers-cleaners,Own-child,Male
Local-gov,11,Prof-specialty,Not-in-family,Female
Private,9,Other-service,Not-in-family,Male
State-gov,9,Protective-serv,Husband,Male
Private,10,Sales,Husband,Male
Private,13,Craft-repair,Not-in-family,Male
State-gov,13,Prof-specialty,Husband,Male
Private,9,Sales,Unmarried,Female
Private,9,Craft-repair,Own-child,Male
Private,9,Handlers-cleaners,Not-in-family,Male
Private,9,Other-service,Own-child,Male
Private,13,Prof-specialty,Husband,Male
Local-gov,10,Exec-managerial,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Private,10,Craft-repair,Not-in-family,Male
Private,4,Machine-op-inspct,Husband,Male
Federal-gov,10,Adm-clerical,Husband,Male
Private,9,Adm-clerical,Husband,Male
Self-emp-not-inc,13,Exec-managerial,Not-in-family,Female
noValueSetHere123156456,13,noValueSetHere123156456,Not-in-family,Female
Private,14,Prof-specialty,Wife,Female
State-gov,16,Prof-specialty,Husband,Male
Private,10,Machine-op-inspct,Not-in-family,Female
Private,10,Machine-op-inspct,Husband,Male
Local-gov,13,Craft-repair,Husband,Male
Private,10,Tech-support,Husband,Male
Federal-gov,13,Tech-support,Husband,Male
Private,3,Transport-moving,Other-relative,Male
Private,10,Craft-repair,Not-in-family,Male
Federal-gov,14,Exec-managerial,Not-in-family,Female
Private,14,Prof-specialty,Other-relative,Male
Self-emp-not-inc,9,Sales,Not-in-family,Male
Private,14,Prof-specialty,Not-in-family,Female
noValueSetHere123156456,9,noValueSetHere123156456,Own-child,Male
Private,13,Exec-managerial,Husband,Male
Local-gov,10,Prof-specialty,Not-in-family,Female
State-gov,9,Adm-clerical,Unmarried,Female
Private,7,Sales,Own-child,Female
Private,13,Other-service,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
Self-emp-inc,9,Sales,Wife,Female
Private,7,Sales,Own-child,Female
Local-gov,9,Transport-moving,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,10,Sales,Not-in-family,Female
Private,9,Craft-repair,Husband,Male
Self-emp-inc,4,Machine-op-inspct,Husband,Male
Private,13,Exec-managerial,Not-in-family,Male
Private,12,Sales,Not-in-family,Female
Private,13,Sales,Husband,Male
Private,13,Prof-specialty,Husband,Male
Private,6,Craft-repair,Not-in-family,Male
Private,10,Handlers-cleaners,Husband,Male
noValueSetHere123156456,2,noValueSetHere123156456,Not-in-family,Male
Private,9,Other-service,Not-in-family,Male
Private,9,Adm-clerical,Husband,Male
Local-gov,1,Machine-op-inspct,Not-in-family,Female
Private,9,Sales,Own-child,Female
noValueSetHere123156456,6,noValueSetHere123156456,Not-in-family,Female
Self-emp-not-inc,9,Farming-fishing,Husband,Male
Private,11,Adm-clerical,Not-in-family,Female
Private,9,Adm-clerical,Not-in-family,Female
Private,7,Transport-moving,Not-in-family,Male
Private,9,Sales,Unmarried,Female
Private,10,Adm-clerical,Not-in-family,Male
Private,10,Craft-repair,Other-relative,Female
Private,15,Prof-specialty,Not-in-family,Male
State-gov,9,Other-service,Husband,Male
State-gov,10,Adm-clerical,Not-in-family,Female
Private,13,Exec-managerial,Husband,Male
Local-gov,14,Exec-managerial,Husband,Male
Private,9,Transport-moving,Own-child,Male
Private,13,Prof-specialty,Husband,Male
Self-emp-not-inc,9,Other-service,Wife,Female
State-gov,12,Protective-serv,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
Private,10,Craft-repair,Not-in-family,Male
Private,9,Adm-clerical,Husband,Male
Private,9,Adm-clerical,Husband,Male
Private,9,Other-service,Not-in-family,Female
Private,12,Tech-support,Husband,Male
Private,9,Adm-clerical,Husband,Male
Private,15,Prof-specialty,Wife,Female
Private,13,Adm-clerical,Wife,Female
Local-gov,6,Other-service,Unmarried,Female
Local-gov,10,Adm-clerical,Own-child,Male
Private,10,Transport-moving,Not-in-family,Male
Self-emp-not-inc,9,Farming-fishing,Husband,Male
Private,9,Other-service,Own-child,Female
Private,9,Other-service,Not-in-family,Female
Private,11,Exec-managerial,Not-in-family,Female
Private,4,Craft-repair,Not-in-family,Male
Private,13,Prof-specialty,Own-child,Female
Private,9,Sales,Husband,Male
Private,7,Other-service,Own-child,Male
Private,10,Sales,Husband,Male
Private,7,Craft-repair,Husband,Male
Self-emp-inc,10,Exec-managerial,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
Private,9,Exec-managerial,Husband,Male
Private,13,Prof-specialty,Not-in-family,Female
Private,9,Craft-repair,Wife,Female
Private,9,Exec-managerial,Husband,Male
Private,5,Other-service,Own-child,Male
Self-emp-not-inc,14,Farming-fishing,Husband,Male
Local-gov,14,Prof-specialty,Own-child,Male
Private,9,Prof-specialty,Own-child,Female
Private,9,Handlers-cleaners,Husband,Male
Private,10,Craft-repair,Husband,Male
Private,10,Exec-managerial,Not-in-family,Female
Private,10,Tech-support,Own-child,Female
Private,10,Machine-op-inspct,Wife,Female
Private,13,Prof-specialty,Not-in-family,Female
Local-gov,10,Craft-repair,Husband,Male
Private,12,Sales,Unmarried,Female
Private,13,Prof-specialty,Not-in-family,Female
Private,9,Handlers-cleaners,Own-child,Male
Federal-gov,14,Sales,Husband,Male
Private,15,Prof-specialty,Husband,Male
Private,10,Other-service,Not-in-family,Male
Private,13,Exec-managerial,Not-in-family,Female
Private,4,Craft-repair,Husband,Male
Private,13,Prof-specialty,Husband,Male
Private,9,Prof-specialty,Not-in-family,Female
Local-gov,13,Protective-serv,Not-in-family,Male
Private,10,Sales,Own-child,Male
Private,13,Tech-support,Unmarried,Female
Private,9,Transport-moving,Husband,Male
Self-emp-inc,13,Sales,Not-in-family,Female
noValueSetHere123156456,14,noValueSetHere123156456,Wife,Female
Private,9,Craft-repair,Own-child,Male
Private,9,Sales,Not-in-family,Male
Private,13,Adm-clerical,Husband,Male
Private,10,Other-service,Not-in-family,Female
Private,9,Transport-moving,Husband,Male
Private,9,Sales,Husband,Male
Private,10,Adm-clerical,Wife,Female
Private,9,Adm-clerical,Not-in-family,Female
Private,12,Tech-support,Not-in-family,Male
Private,12,Prof-specialty,Not-in-family,Female
Private,12,Adm-clerical,Husband,Male
Self-emp-inc,10,Farming-fishing,Husband,Male
Private,13,Sales,Not-in-family,Male
Private,14,Exec-managerial,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Female
Self-emp-not-inc,13,Prof-specialty,Not-in-family,Female
Private,10,Sales,Own-child,Male
Private,10,Machine-op-inspct,Not-in-family,Male
Self-emp-not-inc,10,Sales,Husband,Male
Private,3,Machine-op-inspct,Other-relative,Female
Private,10,Tech-support,Not-in-family,Female
Private,9,Other-service,Not-in-family,Female
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Private,10,Craft-repair,Husband,Male
Private,9,Transport-moving,Not-in-family,Male
Private,7,Exec-managerial,Not-in-family,Female
Self-emp-not-inc,14,Craft-repair,Husband,Male
Self-emp-not-inc,9,Farming-fishing,Husband,Male
noValueSetHere123156456,11,noValueSetHere123156456,Own-child,Female
Private,10,Prof-specialty,Wife,Female
Self-emp-not-inc,9,Handlers-cleaners,Husband,Male
Private,9,Transport-moving,Not-in-family,Male
Private,10,Craft-repair,Not-in-family,Male
Private,13,Adm-clerical,Not-in-family,Male
Private,11,Other-service,Not-in-family,Male
Local-gov,6,Adm-clerical,Husband,Male
Private,9,Transport-moving,Husband,Male
Private,3,Other-service,Other-relative,Male
Private,9,Craft-repair,Other-relative,Male
Private,14,Prof-specialty,Not-in-family,Male
Private,9,Sales,Unmarried,Male
Private,9,Other-service,Husband,Male
Private,12,Sales,Not-in-family,Male
Private,11,Craft-repair,Husband,Male
State-gov,9,Protective-serv,Husband,Male
Private,9,Farming-fishing,Not-in-family,Male
State-gov,10,Protective-serv,Own-child,Female
Self-emp-not-inc,13,Sales,Not-in-family,Male
noValueSetHere123156456,7,noValueSetHere123156456,Husband,Male
noValueSetHere123156456,11,noValueSetHere123156456,Unmarried,Female
Private,12,Other-service,Not-in-family,Male
Private,13,Prof-specialty,Own-child,Male
Private,13,Exec-managerial,Husband,Male
Private,9,Other-service,Husband,Male
Private,13,Exec-managerial,Husband,Male
Local-gov,7,Transport-moving,Husband,Male
noValueSetHere123156456,13,noValueSetHere123156456,Husband,Male
Federal-gov,9,Adm-clerical,Husband,Male
Private,7,Other-service,Unmarried,Male
Private,11,Tech-support,Husband,Male
Private,9,Adm-clerical,Wife,Female
Self-emp-not-inc,5,Craft-repair,Husband,Male
Private,6,Other-service,Wife,Female
Private,14,Prof-specialty,Husband,Male
Private,13,Transport-moving,Husband,Male
Private,13,Exec-managerial,Not-in-family,Male
Private,9,Sales,Not-in-family,Male
Private,9,Craft-repair,Husband,Male
Self-emp-not-inc,10,Sales,Husband,Male
Private,12,Sales,Not-in-family,Female
Private,13,Exec-managerial,Not-in-family,Female
Private,9,Sales,Unmarried,Female
Federal-gov,10,Adm-clerical,Unmarried,Female
Private,7,Other-service,Own-child,Male
State-gov,11,Machine-op-inspct,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
Local-gov,10,Adm-clerical,Own-child,Female
Private,9,Craft-repair,Wife,Female
Private,10,Sales,Not-in-family,Male
Self-emp-not-inc,14,Exec-managerial,Not-in-family,Male
Private,9,Sales,Husband,Male
Private,9,Transport-moving,Not-in-family,Male
Private,3,Craft-repair,Not-in-family,Female
Private,10,Craft-repair,Husband,Male
Private,10,Sales,Not-in-family,Female
Local-gov,10,Transport-moving,Wife,Female
Private,9,Other-service,Not-in-family,Female
Private,9,Machine-op-inspct,Not-in-family,Male
Private,10,Adm-clerical,Wife,Female
Private,10,Adm-clerical,Own-child,Female
Private,9,Other-service,Other-relative,Female
Private,9,Other-service,Wife,Female
Private,13,Craft-repair,Not-in-family,Male
Self-emp-not-inc,12,Craft-repair,Not-in-family,Male
State-gov,13,Exec-managerial,Husband,Male
Private,9,Other-service,Not-in-family,Female
Private,10,Tech-support,Husband,Male
Private,10,Handlers-cleaners,Unmarried,Female
noValueSetHere123156456,9,noValueSetHere123156456,Other-relative,Female
Private,13,Exec-managerial,Husband,Male
Self-emp-inc,13,Exec-managerial,Husband,Male
Private,10,Handlers-cleaners,Own-child,Male
Private,10,Other-service,Not-in-family,Female
State-gov,13,Protective-serv,Husband,Male
Private,11,Tech-support,Not-in-family,Female
Private,4,Handlers-cleaners,Husband,Male
Private,14,Exec-managerial,Husband,Male
Private,9,Adm-clerical,Husband,Male
Self-emp-not-inc,9,Craft-repair,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Wife,Female
Private,10,Exec-managerial,Husband,Male
Local-gov,10,Other-service,Not-in-family,Female
Private,9,Handlers-cleaners,Unmarried,Female
Private,10,Exec-managerial,Unmarried,Female
Private,16,Exec-managerial,Husband,Male
State-gov,10,Machine-op-inspct,Husband,Male
Private,8,Craft-repair,Not-in-family,Male
Private,2,Machine-op-inspct,Husband,Male
Private,7,Other-service,Own-child,Female
Local-gov,7,Machine-op-inspct,Not-in-family,Male
State-gov,9,Transport-moving,Unmarried,Female
Private,10,Sales,Husband,Male
Private,7,Handlers-cleaners,Own-child,Male
State-gov,13,Exec-managerial,Wife,Female
Private,9,Farming-fishing,Not-in-family,Male
Private,6,Craft-repair,Unmarried,Female
Private,9,Transport-moving,Husband,Male
Federal-gov,14,Prof-specialty,Not-in-family,Male
Private,9,Handlers-cleaners,Not-in-family,Male
Self-emp-inc,9,Exec-managerial,Husband,Male
Local-gov,14,Prof-specialty,Husband,Male
noValueSetHere123156456,9,noValueSetHere123156456,Not-in-family,Male
noValueSetHere123156456,7,noValueSetHere123156456,Own-child,Male
Self-emp-not-inc,13,Prof-specialty,Not-in-family,Female
Private,12,Other-service,Wife,Female
Private,10,Craft-repair,Own-child,Male
Private,14,Prof-specialty,Husband,Male
Local-gov,9,Farming-fishing,Not-in-family,Male
Local-gov,10,Protective-serv,Not-in-family,Female
Private,10,Adm-clerical,Husband,Male
Local-gov,10,Adm-clerical,Wife,Female
Private,13,Prof-specialty,Not-in-family,Male
Private,9,Adm-clerical,Not-in-family,Female
Federal-gov,9,Armed-Forces,Own-child,Male
Private,10,Prof-specialty,Husband,Male
Private,5,Craft-repair,Other-relative,Male
Private,10,Sales,Not-in-family,Male
Private,9,Exec-managerial,Unmarried,Female
Private,9,Craft-repair,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
noValueSetHere123156456,7,noValueSetHere123156456,Own-child,Female
Private,9,Machine-op-inspct,Own-child,Female
Self-emp-inc,10,Craft-repair,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,12,Exec-managerial,Husband,Male
Self-emp-not-inc,9,Sales,Wife,Female
Private,11,Machine-op-inspct,Husband,Male
Private,9,Exec-managerial,Wife,Female
Private,10,Transport-moving,Husband,Male
Private,9,Transport-moving,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Husband,Male
Private,12,Farming-fishing,Own-child,Male
Local-gov,9,Transport-moving,Husband,Male
Private,13,Prof-specialty,Husband,Male
Private,2,Craft-repair,Unmarried,Male
Private,13,Tech-support,Not-in-family,Female
Private,9,Adm-clerical,Wife,Female
Private,9,Transport-moving,Unmarried,Male
Private,10,Transport-moving,Husband,Male
Private,14,Exec-managerial,Husband,Male
Private,13,Tech-support,Wife,Female
Private,10,Prof-specialty,Unmarried,Male
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
Private,9,Craft-repair,Not-in-family,Male
Private,9,Transport-moving,Not-in-family,Male
Private,11,Other-service,Not-in-family,Female
Private,13,Craft-repair,Not-in-family,Female
Private,5,Other-service,Not-in-family,Male
Private,10,Handlers-cleaners,Own-child,Male
Private,6,Other-service,Not-in-family,Male
Private,9,Other-service,Unmarried,Female
Private,12,Craft-repair,Husband,Male
Self-emp-not-inc,10,Craft-repair,Husband,Male
State-gov,13,Prof-specialty,Not-in-family,Male
Private,9,Craft-repair,Unmarried,Female
noValueSetHere123156456,8,noValueSetHere123156456,Other-relative,Male
Private,10,Adm-clerical,Own-child,Female
noValueSetHere123156456,2,noValueSetHere123156456,Husband,Male
Local-gov,9,Transport-moving,Husband,Male
Local-gov,13,Prof-specialty,Unmarried,Female
Private,13,Sales,Husband,Male
Private,9,Other-service,Not-in-family,Female
Federal-gov,9,Adm-clerical,Not-in-family,Male
Private,12,Exec-managerial,Not-in-family,Female
Private,9,Prof-specialty,Unmarried,Female
Private,13,Craft-repair,Own-child,Male
Private,9,Adm-clerical,Unmarried,Female
Private,10,Machine-op-inspct,Own-child,Male
Private,3,Other-service,Own-child,Male
Private,10,Prof-specialty,Not-in-family,Female
noValueSetHere123156456,9,noValueSetHere123156456,Husband,Male
Local-gov,9,Farming-fishing,Not-in-family,Male
Local-gov,9,Transport-moving,Husband,Male
Private,10,Adm-clerical,Husband,Male
Private,10,Other-service,Unmarried,Female
Private,13,Sales,Not-in-family,Female
Private,13,Exec-managerial,Not-in-family,Male
Private,10,Protective-serv,Own-child,Male
Private,10,Exec-managerial,Husband,Male
Local-gov,9,Adm-clerical,Unmarried,Female
Private,9,Other-service,Unmarried,Female
Private,11,Handlers-cleaners,Unmarried,Male
noValueSetHere123156456,3,noValueSetHere123156456,Unmarried,Female
Private,11,Craft-repair,Not-in-family,Male
Private,10,Prof-specialty,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
noValueSetHere123156456,11,noValueSetHere123156456,Unmarried,Female
Private,10,Adm-clerical,Not-in-family,Female
noValueSetHere123156456,10,noValueSetHere123156456,Own-child,Male
noValueSetHere123156456,10,noValueSetHere123156456,Unmarried,Female
Private,13,Prof-specialty,Husband,Male
Self-emp-inc,13,Exec-managerial,Husband,Male
Private,9,Exec-managerial,Husband,Male
Local-gov,10,Handlers-cleaners,Not-in-family,Male
Local-gov,10,Tech-support,Husband,Male
Private,10,Machine-op-inspct,Unmarried,Male
Private,10,Sales,Wife,Female
Private,13,Exec-managerial,Husband,Male
Private,10,Adm-clerical,Not-in-family,Female
Self-emp-not-inc,9,Craft-repair,Husband,Male
Self-emp-not-inc,14,Prof-specialty,Husband,Male
Private,7,Machine-op-inspct,Unmarried,Female
Private,9,Machine-op-inspct,Not-in-family,Male
Private,9,Other-service,Husband,Male
Private,12,Exec-managerial,Wife,Female
Private,15,Prof-specialty,Husband,Male
Local-gov,8,Tech-support,Husband,Male
Private,2,Priv-house-serv,Not-in-family,Female
Private,11,Craft-repair,Not-in-family,Male
Self-emp-inc,13,Farming-fishing,Not-in-family,Female
noValueSetHere123156456,9,noValueSetHere123156456,Unmarried,Female
Private,10,Transport-moving,Husband,Male
Private,16,Prof-specialty,Own-child,Male
Private,10,Handlers-cleaners,Unmarried,Female
Private,9,Transport-moving,Not-in-family,Male
Private,10,Sales,Husband,Male
Private,9,Handlers-cleaners,Not-in-family,Female
Private,6,Other-service,Wife,Female
Local-gov,10,Protective-serv,Husband,Male
Private,9,Handlers-cleaners,Own-child,Male
Private,10,Craft-repair,Unmarried,Male
Self-emp-not-inc,10,Exec-managerial,Not-in-family,Male
Self-emp-not-inc,9,Other-service,Unmarried,Female
Private,7,Adm-clerical,Unmarried,Female
Private,9,Machine-op-inspct,Wife,Female
Federal-gov,11,Craft-repair,Unmarried,Female
Private,7,Machine-op-inspct,Not-in-family,Female
Private,9,Machine-op-inspct,Husband,Male
Private,9,Adm-clerical,Unmarried,Female
Private,9,Tech-support,Wife,Female
Private,7,Other-service,Husband,Male
Private,13,Transport-moving,Not-in-family,Male
Private,13,Sales,Husband,Male
Private,10,Prof-specialty,Husband,Male
Private,9,Handlers-cleaners,Unmarried,Female
Self-emp-not-inc,13,Prof-specialty,Husband,Male
Private,9,Handlers-cleaners,Own-child,Male
Self-emp-inc,14,Exec-managerial,Husband,Male
Private,4,Other-service,Unmarried,Female
Self-emp-not-inc,9,Craft-repair,Not-in-family,Male
Private,14,Exec-managerial,Unmarried,Male
Private,9,Craft-repair,Own-child,Male
Private,9,Prof-specialty,Husband,Male
Private,7,Sales,Own-child,Male
Private,11,Craft-repair,Husband,Male
Private,16,Prof-specialty,Not-in-family,Female
Private,13,Exec-managerial,Wife,Male
noValueSetHere123156456,8,noValueSetHere123156456,Own-child,Male
Self-emp-not-inc,12,Sales,Unmarried,Female
Local-gov,13,Prof-specialty,Not-in-family,Female
Self-emp-not-inc,10,Craft-repair,Husband,Male
noValueSetHere123156456,10,noValueSetHere123156456,Husband,Male
Private,9,Sales,Husband,Male
Private,9,Craft-repair,Husband,Male
Private,9,Machine-op-inspct,Husband,Male
Self-emp-not-inc,13,Tech-support,Not-in-family,Male
Private,10,Sales,Own-child,Female
Private,10,Adm-clerical,Not-in-family,Male
Private,7,Other-service,Own-child,Male
Private,6,Craft-repair,Husband,Male
Self-emp-inc,13,Prof-specialty,Not-in-family,Male
noValueSetHere123156456,9,noValueSetHere123156456,Husband,Male
noValueSetHere123156456,9,noValueSetHere123156456,Wife,Female
Private,4,Transport-moving,Not-in-family,Male
Private,13,Prof-specialty,Husband,Male
Private,13,Adm-clerical,Own-child,Female
Private,9,Sales,Own-child,Male
noValueSetHere123156456,10,noValueSetHere123156456,Unmarried,Female
Self-emp-not-inc,15,Prof-specialty,Husband,Male
Private,10,Tech-support,Not-in-family,Male
Private,13,Prof-specialty,Not-in-family,Female
Private,13,Tech-support,Not-in-family,Male
Private,10,Adm-clerical,Own-child,Male
Private,4,Other-service,Not-in-family,Female
Local-gov,5,Other-service,Husband,Male
Self-emp-not-inc,12,Farming-fishing,Not-in-family,Male
Private,9,Adm-clerical,Unmarried,Female
Private,14,Craft-repair,Husband,Male
Private,9,Craft-repair,Not-in-family,Male
Local-gov,9,Exec-managerial,Not-in-family,Male
Private,6,Other-service,Own-child,Female
Private,14,Prof-specialty,Not-in-family,Female
Private,9,Craft-repair,Not-in-family,Male
Private,9,Handlers-cleaners,Husband,Male
Local-gov,13,Prof-specialty,Own-child,Male
Private,13,Other-service,Own-child,Female
Private,9,Handlers-cleaners,Own-child,Male
Private,9,Transport-moving,Husband,Male
Self-emp-not-inc,9,Exec-managerial,Husband,Male
Self-emp-inc,13,Sales,Husband,Male
Private,15,Prof-specialty,Husband,Male
Private,13,Sales,Own-child,Female
Private,7,Other-service,Not-in-family,Female
Private,5,Priv-house-serv,Unmarried,Female
Private,11,Transport-moving,Husband,Male
Private,5,Handlers-cleaners,Unmarried,Male
Private,9,Farming-fishing,Own-child,Male
Private,9,Sales,Husband,Male
