F,G,H,J,M,O
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-spouse-absent,noValueSetHere123156456,Not-in-family,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Divorced,Tech-support,Not-in-family,Male,58,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Never-married,noValueSetHere123156456,Own-child,Male,40,<=50K
Never-married,Prof-specialty,Own-child,Male,32,<=50K
Separated,Sales,Own-child,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,70,>50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Other-relative,Male,20,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,2,<=50K
Never-married,Other-service,Own-child,Female,22,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Male,30,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,48,<=50K
Divorced,Craft-repair,Not-in-family,Female,40,>50K
Divorced,Sales,Own-child,Female,35,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Divorced,Craft-repair,Unmarried,Female,40,<=50K
Divorced,Machine-op-inspct,Unmarried,Female,25,<=50K
Married-civ-spouse,Sales,Wife,Female,35,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Never-married,Handlers-cleaners,Not-in-family,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Married-civ-spouse,Sales,Husband,Male,48,>50K
Divorced,Exec-managerial,Unmarried,Female,40,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Never-married,Prof-specialty,Not-in-family,Female,50,<=50K
Never-married,Tech-support,Own-child,Female,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,noValueSetHere123156456,Own-child,Female,32,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Never-married,Sales,Other-relative,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Husband,Male,50,>50K
Married-civ-spouse,Sales,Wife,Female,25,<=50K
Never-married,Machine-op-inspct,Own-child,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,50,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,56,<=50K
Never-married,Craft-repair,Not-in-family,Male,41,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,<=50K
Never-married,Exec-managerial,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Other-service,Own-child,Male,35,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Never-married,Adm-clerical,Own-child,Female,28,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,60,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Divorced,Tech-support,Not-in-family,Female,36,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,60,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,35,<=50K
Never-married,Sales,Own-child,Male,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Female,40,<=50K
Never-married,Other-service,Own-child,Male,30,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,>50K
Never-married,Tech-support,Other-relative,Male,40,<=50K
Never-married,Transport-moving,Unmarried,Female,30,<=50K
Married-civ-spouse,Other-service,Husband,Male,24,<=50K
Widowed,Other-service,Unmarried,Female,24,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Female,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,38,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Exec-managerial,Other-relative,Female,40,<=50K
Never-married,Craft-repair,Own-child,Male,35,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Male,45,>50K
Married-civ-spouse,Craft-repair,Husband,Male,46,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,40,<=50K
Separated,Sales,Unmarried,Male,2,<=50K
Divorced,Craft-repair,Not-in-family,Male,60,<=50K
Separated,Other-service,Other-relative,Male,50,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Female,20,<=50K
Never-married,Other-service,Unmarried,Female,40,<=50K
Divorced,Exec-managerial,Unmarried,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Divorced,Other-service,Unmarried,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,42,<=50K
Widowed,Protective-serv,Unmarried,Male,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,16,<=50K
Widowed,Prof-specialty,Not-in-family,Female,20,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-spouse-absent,Sales,Unmarried,Female,25,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,40,<=50K
Never-married,Other-service,Own-child,Male,12,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,65,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,38,>50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,42,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Female,50,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,1,>50K
Divorced,Machine-op-inspct,Not-in-family,Female,28,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,45,<=50K
Married-civ-spouse,Tech-support,Husband,Male,24,<=50K
Married-civ-spouse,Transport-moving,Other-relative,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Female,55,>50K
Married-civ-spouse,Prof-specialty,Other-relative,Male,40,>50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,35,<=50K
Never-married,Sales,Own-child,Female,40,<=50K
Married-civ-spouse,Other-service,Husband,Male,36,>50K
Divorced,Craft-repair,Not-in-family,Male,60,<=50K
Married-civ-spouse,Sales,Wife,Female,35,>50K
Never-married,Sales,Own-child,Female,12,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,>50K
Never-married,Exec-managerial,Not-in-family,Male,60,>50K
Divorced,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,55,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Male,40,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,20,<=50K
Never-married,Machine-op-inspct,Not-in-family,Female,35,<=50K
Never-married,Sales,Own-child,Female,40,<=50K
Divorced,noValueSetHere123156456,Not-in-family,Female,10,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,<=50K
Widowed,Adm-clerical,Not-in-family,Female,20,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Separated,Transport-moving,Not-in-family,Male,40,<=50K
Divorced,Sales,Unmarried,Female,38,<=50K
Never-married,Adm-clerical,Not-in-family,Male,42,<=50K
Divorced,Craft-repair,Other-relative,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,55,>50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,38,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,70,>50K
Never-married,Transport-moving,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Wife,Female,20,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,50,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,20,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,35,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,>50K
Never-married,Other-service,Not-in-family,Female,34,<=50K
Married-civ-spouse,Tech-support,Husband,Male,60,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,<=50K
Widowed,Other-service,Unmarried,Female,30,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,20,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,>50K
Never-married,Other-service,Own-child,Female,40,<=50K
Separated,Other-service,Not-in-family,Female,30,<=50K
Widowed,Exec-managerial,Not-in-family,Female,45,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Divorced,Prof-specialty,Own-child,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,60,<=50K
Never-married,Other-service,Own-child,Male,12,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,75,>50K
Never-married,noValueSetHere123156456,Own-child,Male,24,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,45,<=50K
Married-civ-spouse,Craft-repair,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Other-service,Own-child,Male,24,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,98,<=50K
Never-married,Prof-specialty,Own-child,Male,35,<=50K
Divorced,Prof-specialty,Own-child,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Never-married,Tech-support,Own-child,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Female,48,>50K
Never-married,Prof-specialty,Not-in-family,Female,15,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Divorced,Sales,Unmarried,Female,45,<=50K
Divorced,Prof-specialty,Not-in-family,Female,42,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Divorced,Other-service,Not-in-family,Male,45,<=50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,<=50K
Divorced,Prof-specialty,Not-in-family,Female,40,<=50K
Never-married,Protective-serv,Not-in-family,Male,56,<=50K
Never-married,Sales,Own-child,Male,45,<=50K
Never-married,Tech-support,Unmarried,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,16,<=50K
Divorced,Sales,Not-in-family,Female,60,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,40,<=50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Divorced,Sales,Not-in-family,Male,80,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Never-married,Other-service,Not-in-family,Female,25,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,45,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Tech-support,Not-in-family,Male,45,<=50K
Never-married,Prof-specialty,Not-in-family,Female,33,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,54,>50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,35,>50K
Never-married,noValueSetHere123156456,Own-child,Female,25,<=50K
Divorced,Prof-specialty,Not-in-family,Female,40,>50K
Never-married,Sales,Own-child,Male,15,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Other-relative,Female,40,<=50K
Never-married,Tech-support,Not-in-family,Female,40,<=50K
Widowed,Other-service,Not-in-family,Female,24,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Divorced,Transport-moving,Not-in-family,Male,45,<=50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,10,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,45,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,15,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,50,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,55,<=50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Never-married,Adm-clerical,Not-in-family,Male,40,<=50K
Never-married,Other-service,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Never-married,Other-service,Other-relative,Male,48,<=50K
Never-married,Craft-repair,Other-relative,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,60,<=50K
Never-married,Sales,Unmarried,Male,30,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Never-married,Farming-fishing,Not-in-family,Male,20,<=50K
Never-married,Protective-serv,Own-child,Female,40,<=50K
Never-married,Sales,Not-in-family,Male,42,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,8,<=50K
Divorced,noValueSetHere123156456,Unmarried,Female,40,<=50K
Married-spouse-absent,Other-service,Not-in-family,Male,25,<=50K
Never-married,Prof-specialty,Own-child,Male,25,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,30,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Widowed,Other-service,Unmarried,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,24,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,45,<=50K
Divorced,Exec-managerial,Not-in-family,Male,45,>50K
Married-spouse-absent,Sales,Not-in-family,Male,55,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,45,<=50K
Never-married,Sales,Not-in-family,Female,15,<=50K
Divorced,Exec-managerial,Not-in-family,Female,45,>50K
Divorced,Sales,Unmarried,Female,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,15,<=50K
Never-married,Other-service,Own-child,Male,10,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,38,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,10,<=50K
Married-civ-spouse,Craft-repair,Wife,Female,40,<=50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Divorced,Exec-managerial,Not-in-family,Male,30,<=50K
Married-civ-spouse,Sales,Husband,Male,50,<=50K
Divorced,Transport-moving,Not-in-family,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Female,45,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Transport-moving,Wife,Female,40,<=50K
Never-married,Other-service,Not-in-family,Female,25,<=50K
Separated,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,6,>50K
Never-married,Adm-clerical,Own-child,Female,16,<=50K
Never-married,Other-service,Other-relative,Female,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,40,>50K
Never-married,Craft-repair,Not-in-family,Male,50,<=50K
Separated,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Other-service,Not-in-family,Female,35,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Divorced,Handlers-cleaners,Unmarried,Female,40,<=50K
Never-married,noValueSetHere123156456,Other-relative,Female,35,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Divorced,Tech-support,Not-in-family,Female,64,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,65,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,25,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,<=50K
Divorced,Other-service,Not-in-family,Female,24,<=50K
Never-married,Handlers-cleaners,Unmarried,Female,40,<=50K
Divorced,Exec-managerial,Unmarried,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Divorced,Craft-repair,Not-in-family,Male,50,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,19,<=50K
Separated,Machine-op-inspct,Not-in-family,Male,40,<=50K
Divorced,Transport-moving,Unmarried,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,30,<=50K
Never-married,Handlers-cleaners,Own-child,Male,18,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Divorced,Farming-fishing,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Unmarried,Female,35,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Handlers-cleaners,Not-in-family,Male,72,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Widowed,noValueSetHere123156456,Not-in-family,Male,24,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,40,<=50K
Married-spouse-absent,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,25,>50K
Never-married,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Farming-fishing,Not-in-family,Male,60,<=50K
Never-married,Protective-serv,Not-in-family,Female,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,28,<=50K
Never-married,Armed-Forces,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Craft-repair,Other-relative,Male,40,<=50K
Never-married,Sales,Not-in-family,Male,35,<=50K
Widowed,Exec-managerial,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,5,<=50K
Never-married,Machine-op-inspct,Own-child,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,55,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Sales,Wife,Female,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Never-married,Farming-fishing,Own-child,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Married-spouse-absent,Craft-repair,Unmarried,Male,40,<=50K
Never-married,Tech-support,Not-in-family,Female,20,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,60,<=50K
Divorced,Transport-moving,Unmarried,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Married-civ-spouse,Tech-support,Wife,Female,16,>50K
