H,I,N
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,Asian-Pac-Islander,noValueSetHere123156456
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Wife,Asian-Pac-Islander,Laos
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Own-child,Black,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,Mexico
Other-relative,White,United-States
Not-in-family,White,United-States
Unmarried,Black,Haiti
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,Iran
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Other,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,Portugal
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Other,Puerto-Rico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Own-child,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Dominican-Republic
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,Asian-Pac-Islander,Philippines
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,Mexico
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Black,noValueSetHere123156456
Wife,White,United-States
Husband,Asian-Pac-Islander,United-States
Wife,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,Portugal
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Other-relative,Black,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,El-Salvador
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,Poland
Husband,White,United-States
Husband,White,United-States
Unmarried,White,France
Not-in-family,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Other,Puerto-Rico
Not-in-family,White,United-States
Husband,Black,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Wife,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,noValueSetHere123156456
Wife,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,White,Canada
Own-child,White,United-States
Own-child,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,White,El-Salvador
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,Black,United-States
Husband,White,United-States
Wife,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,Cuba
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,Asian-Pac-Islander,Philippines
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,Black,United-States
Own-child,Asian-Pac-Islander,South
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,Portugal
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,White,Dominican-Republic
Other-relative,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,Poland
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,Cuba
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,Black,Jamaica
Not-in-family,Black,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Unmarried,White,Honduras
Unmarried,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Own-child,Black,Haiti
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,Portugal
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Other-relative,White,United-States
Wife,White,Germany
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Guatemala
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Other,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,England
Not-in-family,White,United-States
Own-child,Black,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Wife,White,Italy
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,China
Unmarried,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,White,Philippines
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Husband,Black,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Wife,Asian-Pac-Islander,India
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Wife,Asian-Pac-Islander,South
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Wife,White,Mexico
Wife,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Guatemala
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,Mexico
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Amer-Indian-Eskimo,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,India
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Germany
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,Japan
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,Yugoslavia
Not-in-family,Black,noValueSetHere123156456
Husband,White,United-States
Wife,White,United-States
Not-in-family,Asian-Pac-Islander,India
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Unmarried,Black,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Canada
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Iran
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Own-child,Asian-Pac-Islander,Taiwan
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,China
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,Asian-Pac-Islander,India
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,Black,United-States
Wife,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Wife,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Own-child,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,Asian-Pac-Islander,Japan
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Unmarried,White,Mexico
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,Jamaica
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,Mexico
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,Germany
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Husband,White,Mexico
Husband,White,United-States
Wife,White,United-States
Unmarried,Asian-Pac-Islander,noValueSetHere123156456
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
