E,H,J,K,L,M,O
13,Husband,Male,15024,0,60,>50K
14,Not-in-family,Female,0,0,50,<=50K
10,Own-child,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,7688,0,40,>50K
6,Own-child,Female,34095,0,32,<=50K
7,Own-child,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Other-relative,Male,0,0,40,<=50K
15,Husband,Male,0,0,40,>50K
9,Husband,Male,0,1887,50,>50K
10,Wife,Female,4064,0,25,<=50K
9,Own-child,Female,0,0,40,<=50K
5,Husband,Male,0,0,50,<=50K
10,Husband,Male,0,0,50,<=50K
11,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,56,<=50K
9,Not-in-family,Male,0,0,41,<=50K
10,Own-child,Female,0,0,40,<=50K
13,Husband,Male,0,0,60,<=50K
13,Own-child,Male,0,0,40,<=50K
13,Husband,Male,0,0,50,>50K
10,Own-child,Male,0,0,35,<=50K
13,Wife,Female,0,0,40,>50K
10,Own-child,Female,0,1719,28,<=50K
12,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,40,<=50K
12,Not-in-family,Female,0,0,60,<=50K
9,Not-in-family,Female,0,1762,40,<=50K
9,Husband,Male,4386,0,35,<=50K
13,Husband,Male,0,0,50,<=50K
12,Not-in-family,Female,0,0,36,<=50K
14,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,60,<=50K
11,Wife,Female,0,0,35,<=50K
10,Own-child,Male,0,0,20,<=50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
10,Own-child,Female,0,0,40,<=50K
10,Own-child,Male,0,0,30,<=50K
11,Not-in-family,Female,0,1564,40,>50K
10,Other-relative,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,30,<=50K
10,Husband,Male,0,0,24,<=50K
9,Unmarried,Female,0,0,24,<=50K
7,Husband,Male,0,2179,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
10,Unmarried,Female,0,0,38,<=50K
9,Not-in-family,Female,0,0,40,<=50K
13,Other-relative,Female,0,0,40,<=50K
9,Own-child,Male,0,0,35,<=50K
9,Not-in-family,Male,0,0,45,>50K
9,Husband,Male,0,0,46,<=50K
13,Not-in-family,Male,0,0,40,<=50K
10,Unmarried,Male,0,1816,2,<=50K
9,Not-in-family,Male,0,0,60,<=50K
13,Other-relative,Male,0,0,50,<=50K
2,Not-in-family,Female,0,0,20,<=50K
9,Unmarried,Female,0,0,40,<=50K
14,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
14,Husband,Male,0,0,40,>50K
10,Unmarried,Female,0,0,40,<=50K
12,Not-in-family,Male,0,0,42,<=50K
14,Unmarried,Male,0,0,40,<=50K
7,Own-child,Male,0,0,16,<=50K
11,Not-in-family,Female,0,0,20,<=50K
9,Not-in-family,Male,0,1980,40,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,1977,40,>50K
13,Not-in-family,Male,0,0,50,<=50K
13,Husband,Male,0,0,40,>50K
9,Unmarried,Female,0,0,25,<=50K
9,Own-child,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Own-child,Male,0,0,12,<=50K
13,Husband,Male,0,0,65,<=50K
10,Husband,Male,0,0,38,>50K
10,Not-in-family,Female,0,0,40,<=50K
10,Not-in-family,Male,0,0,45,<=50K
4,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,42,>50K
9,Husband,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Female,0,0,50,<=50K
14,Wife,Female,0,0,50,<=50K
16,Husband,Male,0,0,1,>50K
10,Not-in-family,Female,0,0,28,<=50K
10,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,<=50K
13,Husband,Male,0,0,24,<=50K
3,Other-relative,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,40,<=50K
14,Not-in-family,Female,14084,0,55,>50K
14,Other-relative,Male,7298,0,40,>50K
9,Not-in-family,Male,0,0,40,<=50K
14,Not-in-family,Female,0,1876,40,<=50K
9,Own-child,Male,0,0,40,<=50K
13,Husband,Male,0,0,50,>50K
10,Not-in-family,Female,0,1340,40,<=50K
9,Unmarried,Female,0,0,35,<=50K
7,Own-child,Female,0,0,40,<=50K
13,Husband,Male,7298,0,36,>50K
9,Not-in-family,Male,0,0,60,<=50K
9,Wife,Female,15024,0,35,>50K
7,Own-child,Female,0,0,12,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
10,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
4,Husband,Male,0,0,40,>50K
13,Not-in-family,Male,0,0,60,>50K
12,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,0,0,50,<=50K
13,Husband,Male,0,0,55,<=50K
6,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
2,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Male,0,2206,40,<=50K
9,Husband,Male,0,0,20,<=50K
1,Not-in-family,Female,0,0,35,<=50K
9,Own-child,Female,0,0,40,<=50K
6,Not-in-family,Female,0,0,10,<=50K
9,Husband,Male,1409,0,50,<=50K
11,Not-in-family,Female,0,0,20,<=50K
9,Not-in-family,Female,0,0,40,<=50K
7,Not-in-family,Male,3674,0,40,<=50K
9,Unmarried,Female,0,0,38,<=50K
10,Not-in-family,Male,0,0,42,<=50K
10,Other-relative,Female,0,0,40,<=50K
15,Not-in-family,Male,0,0,55,>50K
9,Husband,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,38,<=50K
13,Husband,Male,0,0,50,>50K
14,Husband,Male,0,0,70,>50K
9,Own-child,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
9,Wife,Female,0,0,20,<=50K
12,Husband,Male,0,0,50,<=50K
10,Own-child,Male,0,0,20,<=50K
10,Not-in-family,Male,0,1741,40,<=50K
9,Husband,Male,0,0,35,<=50K
9,Husband,Male,0,0,45,>50K
9,Not-in-family,Female,0,0,34,<=50K
12,Husband,Male,0,1977,60,>50K
9,Husband,Male,0,0,40,<=50K
15,Wife,Female,0,0,40,>50K
13,Wife,Female,0,0,40,<=50K
6,Unmarried,Female,0,0,30,<=50K
10,Own-child,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,20,<=50K
9,Husband,Male,0,0,40,>50K
9,Own-child,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,30,<=50K
11,Not-in-family,Female,0,0,45,<=50K
4,Not-in-family,Male,0,0,40,<=50K
13,Own-child,Female,0,0,40,<=50K
9,Husband,Male,0,0,60,<=50K
7,Own-child,Male,0,0,12,<=50K
10,Husband,Male,4064,0,40,<=50K
7,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,75,>50K
10,Own-child,Male,0,0,24,<=50K
9,Husband,Male,0,0,40,>50K
13,Not-in-family,Female,0,0,45,<=50K
9,Wife,Female,0,0,40,>50K
9,Husband,Male,0,0,40,>50K
5,Own-child,Male,1055,0,24,<=50K
14,Husband,Male,2407,0,98,<=50K
14,Own-child,Male,0,0,35,<=50K
9,Own-child,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,7298,0,40,>50K
10,Not-in-family,Female,0,0,40,<=50K
10,Own-child,Female,0,0,40,<=50K
10,Wife,Female,7298,0,48,>50K
13,Not-in-family,Female,0,0,15,<=50K
10,Husband,Male,5178,0,40,>50K
12,Unmarried,Female,0,0,45,<=50K
13,Not-in-family,Female,0,0,42,<=50K
9,Own-child,Male,0,0,40,<=50K
14,Husband,Male,15024,0,40,>50K
15,Husband,Male,0,0,60,>50K
10,Not-in-family,Male,0,0,45,<=50K
13,Not-in-family,Female,0,0,40,<=50K
4,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,45,<=50K
9,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,56,<=50K
10,Own-child,Male,0,0,45,<=50K
13,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,16,<=50K
13,Not-in-family,Female,0,0,60,<=50K
14,Wife,Female,3464,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,80,<=50K
13,Husband,Male,7688,0,40,>50K
10,Not-in-family,Female,0,0,25,<=50K
9,Husband,Male,0,0,45,>50K
9,Husband,Male,4386,0,40,>50K
10,Wife,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
12,Not-in-family,Male,0,0,45,<=50K
12,Not-in-family,Female,0,0,33,<=50K
12,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,54,>50K
13,Not-in-family,Male,0,0,40,<=50K
14,Husband,Male,7298,0,35,>50K
10,Own-child,Female,0,0,25,<=50K
13,Not-in-family,Female,0,0,40,>50K
10,Own-child,Male,0,0,15,<=50K
10,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
3,Other-relative,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,24,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,1485,50,<=50K
9,Not-in-family,Male,0,0,45,<=50K
7,Not-in-family,Female,0,0,40,<=50K
14,Husband,Male,0,0,10,<=50K
9,Husband,Male,0,0,45,<=50K
11,Own-child,Female,0,0,15,<=50K
10,Wife,Female,0,1887,50,>50K
9,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,2050,0,55,<=50K
10,Not-in-family,Male,0,0,45,<=50K
13,Not-in-family,Male,0,0,40,<=50K
11,Not-in-family,Male,0,0,40,<=50K
6,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
3,Other-relative,Male,0,0,48,<=50K
9,Other-relative,Male,0,0,40,<=50K
14,Not-in-family,Male,0,0,60,<=50K
9,Unmarried,Male,0,0,30,<=50K
9,Husband,Male,0,0,40,<=50K
12,Not-in-family,Male,0,0,40,<=50K
11,Husband,Male,7298,0,40,>50K
9,Husband,Male,7298,0,40,>50K
9,Not-in-family,Male,0,0,20,<=50K
10,Own-child,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,42,<=50K
7,Husband,Male,0,0,8,<=50K
11,Unmarried,Female,0,0,40,<=50K
12,Not-in-family,Male,0,0,25,<=50K
13,Own-child,Male,0,0,25,<=50K
13,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
7,Husband,Male,0,0,30,<=50K
13,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,>50K
7,Unmarried,Male,0,0,40,<=50K
11,Husband,Male,0,0,40,>50K
9,Wife,Female,0,0,35,<=50K
5,Husband,Male,0,0,40,<=50K
6,Wife,Female,0,0,24,<=50K
14,Husband,Male,0,0,40,>50K
13,Husband,Male,0,0,45,<=50K
13,Not-in-family,Male,0,1564,45,>50K
9,Not-in-family,Male,0,0,55,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,<=50K
12,Not-in-family,Female,0,0,15,<=50K
13,Not-in-family,Female,0,0,45,>50K
9,Unmarried,Female,0,0,40,<=50K
10,Unmarried,Female,0,0,15,<=50K
7,Own-child,Male,0,0,10,<=50K
11,Husband,Male,0,0,38,>50K
9,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Female,0,0,10,<=50K
9,Wife,Female,0,0,40,<=50K
10,Not-in-family,Male,0,0,40,<=50K
14,Not-in-family,Male,0,0,30,<=50K
9,Husband,Male,0,0,50,<=50K
9,Not-in-family,Male,0,0,40,<=50K
3,Not-in-family,Female,0,2339,45,<=50K
10,Husband,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
10,Wife,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,25,<=50K
9,Not-in-family,Male,0,0,40,<=50K
10,Wife,Female,0,2415,6,>50K
10,Own-child,Female,0,0,16,<=50K
9,Other-relative,Female,0,0,40,<=50K
9,Wife,Female,0,0,40,>50K
13,Not-in-family,Male,0,0,50,<=50K
12,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,7688,0,45,>50K
9,Not-in-family,Female,0,0,35,<=50K
10,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
9,Other-relative,Female,0,0,35,<=50K
13,Husband,Male,0,0,55,>50K
13,Husband,Male,0,0,50,>50K
10,Own-child,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
11,Not-in-family,Female,0,0,64,<=50K
4,Husband,Male,0,2179,40,<=50K
14,Husband,Male,0,1977,65,>50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,25,<=50K
10,Wife,Female,0,1887,40,>50K
10,Husband,Male,0,0,50,<=50K
10,Not-in-family,Female,0,0,24,<=50K
9,Unmarried,Female,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
16,Husband,Male,15024,0,60,>50K
10,Husband,Male,0,0,40,<=50K
8,Not-in-family,Male,0,0,50,>50K
2,Husband,Male,0,0,40,<=50K
7,Own-child,Female,0,0,19,<=50K
7,Not-in-family,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
10,Husband,Male,0,0,30,<=50K
7,Own-child,Male,2176,0,18,<=50K
13,Wife,Female,0,0,40,>50K
9,Not-in-family,Male,0,0,40,<=50K
6,Unmarried,Female,0,0,35,<=50K
9,Husband,Male,0,0,60,<=50K
14,Not-in-family,Male,0,1408,40,<=50K
9,Not-in-family,Male,0,0,72,<=50K
9,Husband,Male,0,0,40,>50K
14,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,24,<=50K
7,Own-child,Male,0,0,40,<=50K
13,Not-in-family,Female,2174,0,40,<=50K
12,Wife,Female,0,0,25,>50K
10,Own-child,Male,0,1980,40,<=50K
14,Husband,Male,0,0,50,>50K
9,Not-in-family,Male,594,0,60,<=50K
10,Not-in-family,Female,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
10,Wife,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,28,<=50K
9,Own-child,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,>50K
5,Other-relative,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,35,<=50K
9,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
7,Own-child,Female,0,0,5,<=50K
9,Own-child,Female,0,0,40,<=50K
10,Husband,Male,0,0,55,>50K
9,Husband,Male,0,0,40,>50K
12,Husband,Male,0,0,40,>50K
9,Wife,Female,0,0,40,>50K
11,Husband,Male,0,0,40,>50K
9,Wife,Female,0,0,40,<=50K
10,Husband,Male,0,0,50,<=50K
9,Husband,Male,0,0,60,<=50K
10,Husband,Male,0,0,40,<=50K
12,Own-child,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,50,<=50K
2,Unmarried,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,20,<=50K
9,Wife,Female,0,0,60,<=50K
9,Unmarried,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
14,Husband,Male,0,1977,45,>50K
13,Wife,Female,0,0,16,>50K
10,Unmarried,Male,0,0,40,>50K
10,Own-child,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,60,<=50K
11,Not-in-family,Female,0,0,24,<=50K
13,Not-in-family,Female,0,0,40,<=50K
5,Not-in-family,Male,0,0,6,<=50K
10,Own-child,Male,0,0,30,<=50K
6,Not-in-family,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,35,<=50K
12,Husband,Male,0,0,45,<=50K
10,Husband,Male,0,0,20,<=50K
13,Not-in-family,Male,0,0,20,<=50K
9,Unmarried,Female,0,0,40,<=50K
8,Other-relative,Male,594,0,40,<=50K
10,Own-child,Female,0,0,20,<=50K
2,Husband,Male,0,0,35,<=50K
9,Husband,Male,0,0,45,<=50K
13,Unmarried,Female,0,0,40,<=50K
13,Husband,Male,15024,0,60,>50K
9,Not-in-family,Female,0,0,35,<=50K
9,Not-in-family,Male,0,0,40,<=50K
12,Not-in-family,Female,0,0,60,<=50K
9,Unmarried,Female,0,0,25,<=50K
13,Own-child,Male,0,0,20,<=50K
9,Unmarried,Female,0,0,36,<=50K
10,Own-child,Male,0,0,40,<=50K
3,Own-child,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,35,<=50K
9,Husband,Male,0,0,20,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,42,<=50K
13,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Male,0,0,8,<=50K
10,Husband,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
11,Unmarried,Male,0,1380,42,<=50K
3,Unmarried,Female,0,0,30,<=50K
11,Not-in-family,Male,0,0,45,<=50K
10,Husband,Male,0,0,50,>50K
9,Not-in-family,Male,0,0,45,<=50K
11,Unmarried,Female,0,0,38,<=50K
10,Not-in-family,Female,0,0,20,<=50K
10,Own-child,Male,0,0,24,<=50K
10,Unmarried,Female,0,0,35,<=50K
13,Husband,Male,0,0,50,>50K
13,Husband,Male,15024,0,80,>50K
9,Husband,Male,7688,0,50,>50K
10,Not-in-family,Male,0,0,50,<=50K
10,Husband,Male,0,0,45,>50K
10,Unmarried,Male,0,0,58,>50K
10,Wife,Female,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
10,Not-in-family,Female,0,0,9,<=50K
9,Husband,Male,0,0,50,<=50K
14,Husband,Male,0,0,40,<=50K
7,Unmarried,Female,0,0,46,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
12,Wife,Female,0,0,50,>50K
15,Husband,Male,20051,0,48,>50K
8,Husband,Male,0,0,50,<=50K
2,Not-in-family,Female,0,0,30,<=50K
11,Not-in-family,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,45,<=50K
9,Unmarried,Female,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
16,Own-child,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,50,<=50K
9,Not-in-family,Female,0,0,45,<=50K
6,Wife,Female,0,0,8,<=50K
10,Husband,Male,0,0,40,<=50K
9,Own-child,Male,0,0,36,<=50K
10,Unmarried,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,50,<=50K
9,Unmarried,Female,0,0,40,<=50K
7,Unmarried,Female,0,0,40,<=50K
9,Wife,Female,0,0,40,<=50K
11,Unmarried,Female,0,0,40,>50K
7,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,20,<=50K
9,Wife,Female,0,0,32,<=50K
7,Husband,Male,0,0,40,<=50K
13,Not-in-family,Male,0,0,55,<=50K
13,Husband,Male,0,0,35,>50K
10,Husband,Male,0,0,50,>50K
9,Unmarried,Female,0,0,40,<=50K
13,Husband,Male,0,0,60,>50K
9,Own-child,Male,0,0,48,<=50K
14,Husband,Male,5013,0,45,<=50K
4,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,35,<=50K
14,Unmarried,Male,0,0,42,<=50K
9,Own-child,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
7,Own-child,Male,0,0,12,<=50K
11,Husband,Male,0,1977,40,>50K
16,Not-in-family,Female,0,0,70,<=50K
13,Wife,Male,0,0,40,>50K
8,Own-child,Male,0,0,25,<=50K
12,Unmarried,Female,0,0,35,<=50K
13,Not-in-family,Female,0,0,40,<=50K
10,Husband,Male,0,0,45,<=50K
10,Husband,Male,0,0,30,>50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Female,0,0,24,<=50K
10,Not-in-family,Male,0,0,60,<=50K
7,Own-child,Male,0,0,40,<=50K
6,Husband,Male,0,1887,47,>50K
13,Not-in-family,Male,0,0,80,<=50K
9,Husband,Male,0,0,40,<=50K
9,Wife,Female,0,0,40,<=50K
4,Not-in-family,Male,0,0,48,>50K
13,Husband,Male,7688,0,40,>50K
13,Own-child,Female,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,25,<=50K
15,Husband,Male,0,1902,50,>50K
10,Not-in-family,Male,2174,0,40,<=50K
13,Not-in-family,Female,0,0,45,<=50K
13,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Male,0,0,28,<=50K
4,Not-in-family,Female,0,0,40,<=50K
5,Husband,Male,0,0,40,<=50K
12,Not-in-family,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,37,<=50K
14,Husband,Male,0,0,40,>50K
9,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
6,Own-child,Female,0,0,21,<=50K
14,Not-in-family,Female,6849,0,60,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
13,Own-child,Male,1055,0,40,<=50K
13,Own-child,Female,0,0,20,<=50K
9,Own-child,Male,0,0,60,<=50K
9,Husband,Male,0,0,45,<=50K
9,Husband,Male,0,0,32,<=50K
13,Husband,Male,0,0,55,<=50K
15,Husband,Male,15024,0,45,>50K
13,Own-child,Female,0,0,20,<=50K
7,Not-in-family,Female,0,0,20,<=50K
5,Unmarried,Female,0,0,24,<=50K
11,Husband,Male,0,0,55,<=50K
5,Unmarried,Male,0,0,40,<=50K
9,Own-child,Male,0,0,60,<=50K
9,Husband,Male,0,0,45,>50K
9,Husband,Male,0,0,64,<=50K
10,Husband,Male,0,0,40,>50K
13,Husband,Male,0,0,26,>50K
10,Unmarried,Female,0,0,40,<=50K
6,Unmarried,Female,0,0,40,<=50K
10,Husband,Male,15024,0,60,>50K
13,Wife,Female,0,0,40,>50K
9,Husband,Male,0,0,60,<=50K
9,Own-child,Female,0,0,14,<=50K
13,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,15024,0,60,>50K
3,Husband,Male,0,0,50,<=50K
16,Husband,Male,0,0,60,>50K
9,Not-in-family,Male,0,0,55,<=50K
9,Husband,Male,0,0,40,<=50K
10,Own-child,Male,0,0,40,<=50K
10,Husband,Male,5178,0,50,>50K
10,Husband,Male,0,0,45,<=50K
16,Not-in-family,Male,0,0,40,>50K
9,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,15,<=50K
9,Husband,Male,0,0,50,<=50K
13,Husband,Male,0,0,40,>50K
10,Own-child,Male,0,0,20,<=50K
9,Other-relative,Male,4101,0,50,<=50K
16,Husband,Male,0,0,40,>50K
10,Not-in-family,Female,0,0,45,<=50K
9,Own-child,Female,0,0,32,<=50K
10,Unmarried,Female,0,0,40,<=50K
5,Unmarried,Female,1111,0,15,<=50K
9,Husband,Male,0,0,45,<=50K
4,Husband,Male,0,0,35,<=50K
9,Husband,Male,0,0,40,>50K
8,Husband,Male,0,0,40,>50K
