A,F,H,J
28,Married-civ-spouse,Husband,Male
27,Married-spouse-absent,Unmarried,Female
21,Never-married,Own-child,Male
34,Never-married,Not-in-family,Male
18,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Female
30,Never-married,Not-in-family,Male
40,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Female
53,Divorced,Not-in-family,Female
31,Married-civ-spouse,Wife,Female
58,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Female
24,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Other-relative,Male
36,Divorced,Not-in-family,Male
40,Never-married,Not-in-family,Female
35,Married-civ-spouse,Other-relative,Male
24,Never-married,Not-in-family,Male
26,Never-married,Not-in-family,Female
19,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
42,Never-married,Not-in-family,Female
37,Divorced,Unmarried,Female
18,Never-married,Own-child,Female
36,Married-civ-spouse,Husband,Male
35,Divorced,Not-in-family,Male
58,Married-civ-spouse,Wife,Female
17,Never-married,Own-child,Female
44,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
37,Never-married,Not-in-family,Male
50,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
64,Divorced,Not-in-family,Male
90,Never-married,Not-in-family,Male
54,Married-civ-spouse,Husband,Male
53,Never-married,Not-in-family,Female
18,Never-married,Own-child,Female
60,Divorced,Not-in-family,Female
66,Married-civ-spouse,Husband,Male
75,Widowed,Not-in-family,Female
65,Divorced,Not-in-family,Female
35,Separated,Not-in-family,Male
41,Divorced,Unmarried,Female
25,Never-married,Not-in-family,Male
33,Divorced,Other-relative,Female
28,Never-married,Not-in-family,Male
59,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
40,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Wife,Female
24,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
38,Divorced,Not-in-family,Male
56,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Female
40,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Wife,Female
42,Married-civ-spouse,Wife,Female
59,Widowed,Unmarried,Female
19,Never-married,Own-child,Male
58,Never-married,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
32,Separated,Not-in-family,Female
45,Widowed,Not-in-family,Female
50,Divorced,Not-in-family,Male
36,Divorced,Own-child,Female
45,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
59,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
64,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Female
33,Married-civ-spouse,Wife,Female
61,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
50,Married-civ-spouse,Husband,Male
27,Never-married,Own-child,Male
30,Divorced,Own-child,Female
43,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Female
25,Never-married,Own-child,Female
24,Married-civ-spouse,Wife,Female
22,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
34,Divorced,Unmarried,Female
60,Divorced,Not-in-family,Female
21,Never-married,Own-child,Male
57,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
50,Divorced,Not-in-family,Male
25,Never-married,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
31,Divorced,Not-in-family,Female
29,Never-married,Not-in-family,Male
21,Never-married,Own-child,Male
27,Never-married,Unmarried,Female
65,Married-civ-spouse,Husband,Male
37,Divorced,Not-in-family,Female
39,Married-civ-spouse,Wife,Female
24,Never-married,Own-child,Male
38,Divorced,Not-in-family,Male
48,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Female
31,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
24,Married-civ-spouse,Wife,Female
43,Divorced,Not-in-family,Female
26,Never-married,Not-in-family,Male
46,Never-married,Not-in-family,Female
35,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
36,Divorced,Not-in-family,Female
22,Never-married,Own-child,Male
24,Never-married,Not-in-family,Male
77,Married-civ-spouse,Husband,Male
22,Married-civ-spouse,Other-relative,Female
29,Never-married,Not-in-family,Female
62,Widowed,Not-in-family,Female
39,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
35,Divorced,Not-in-family,Male
29,Never-married,Not-in-family,Female
76,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
43,Married-civ-spouse,Wife,Female
58,Married-civ-spouse,Husband,Male
66,Never-married,Not-in-family,Male
41,Never-married,Not-in-family,Male
26,Never-married,Not-in-family,Male
47,Never-married,Not-in-family,Male
55,Married-civ-spouse,Husband,Male
53,Married-civ-spouse,Husband,Male
17,Never-married,Other-relative,Male
30,Never-married,Other-relative,Male
49,Never-married,Not-in-family,Male
19,Never-married,Unmarried,Male
45,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Male
22,Never-married,Own-child,Female
43,Never-married,Not-in-family,Male
67,Married-civ-spouse,Husband,Male
30,Divorced,Unmarried,Female
56,Married-spouse-absent,Not-in-family,Male
31,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
65,Widowed,Unmarried,Male
40,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Wife,Female
26,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Wife,Female
62,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Male
22,Married-spouse-absent,Not-in-family,Male
28,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
57,Divorced,Not-in-family,Female
39,Divorced,Unmarried,Female
26,Never-married,Unmarried,Female
17,Never-married,Own-child,Male
40,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
44,Never-married,Not-in-family,Male
20,Never-married,Own-child,Female
33,Married-civ-spouse,Wife,Female
23,Never-married,Not-in-family,Male
46,Divorced,Not-in-family,Male
38,Married-civ-spouse,Husband,Male
54,Divorced,Not-in-family,Male
46,Divorced,Not-in-family,Female
25,Married-civ-spouse,Husband,Male
46,Divorced,Not-in-family,Female
36,Married-civ-spouse,Wife,Female
23,Never-married,Not-in-family,Female
29,Separated,Not-in-family,Male
44,Married-civ-spouse,Wife,Female
19,Never-married,Own-child,Female
19,Never-married,Other-relative,Female
35,Married-civ-spouse,Wife,Female
27,Never-married,Not-in-family,Male
46,Separated,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
45,Divorced,Unmarried,Female
20,Never-married,Other-relative,Female
25,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
28,Never-married,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
34,Divorced,Not-in-family,Female
28,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Wife,Female
32,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Female
24,Never-married,Unmarried,Female
33,Divorced,Unmarried,Female
46,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
35,Divorced,Not-in-family,Male
52,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Female
34,Separated,Not-in-family,Male
34,Divorced,Unmarried,Female
20,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
32,Married-civ-spouse,Wife,Female
29,Divorced,Not-in-family,Male
33,Never-married,Unmarried,Female
25,Married-civ-spouse,Husband,Male
36,Never-married,Not-in-family,Male
23,Never-married,Not-in-family,Male
63,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
80,Widowed,Not-in-family,Male
17,Never-married,Own-child,Male
40,Married-spouse-absent,Not-in-family,Female
30,Married-civ-spouse,Wife,Female
27,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
34,Never-married,Not-in-family,Male
34,Never-married,Not-in-family,Female
23,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Wife,Female
29,Never-married,Not-in-family,Male
45,Divorced,Not-in-family,Female
24,Never-married,Own-child,Male
44,Married-civ-spouse,Husband,Male
27,Never-married,Other-relative,Male
20,Never-married,Not-in-family,Male
44,Widowed,Unmarried,Female
51,Married-civ-spouse,Husband,Male
20,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
19,Never-married,Own-child,Female
45,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Wife,Female
40,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Wife,Female
38,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
44,Never-married,Own-child,Male
54,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
50,Married-spouse-absent,Unmarried,Male
24,Never-married,Not-in-family,Female
37,Married-civ-spouse,Wife,Female
52,Divorced,Unmarried,Male
38,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Wife,Female
60,Never-married,Unmarried,Male
22,Never-married,Own-child,Male
35,Never-married,Not-in-family,Male
30,Never-married,Not-in-family,Male
67,Divorced,Not-in-family,Female
46,Never-married,Not-in-family,Female
17,Never-married,Not-in-family,Male
22,Never-married,Own-child,Male
27,Never-married,Not-in-family,Male
23,Never-married,Unmarried,Female
33,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
41,Married-spouse-absent,Unmarried,Female
52,Never-married,Other-relative,Male
25,Married-spouse-absent,Own-child,Female
63,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
45,Divorced,Unmarried,Female
38,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Female
46,Divorced,Not-in-family,Male
35,Never-married,Not-in-family,Female
34,Divorced,Unmarried,Female
33,Never-married,Own-child,Male
41,Divorced,Unmarried,Female
20,Never-married,Own-child,Male
23,Never-married,Own-child,Male
26,Never-married,Not-in-family,Female
72,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
62,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
58,Divorced,Unmarried,Female
25,Never-married,Not-in-family,Female
24,Never-married,Not-in-family,Male
19,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
47,Separated,Unmarried,Female
39,Divorced,Unmarried,Female
49,Married-spouse-absent,Unmarried,Male
53,Widowed,Unmarried,Female
32,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
28,Divorced,Not-in-family,Male
57,Widowed,Unmarried,Female
25,Never-married,Not-in-family,Female
20,Never-married,Own-child,Male
21,Never-married,Unmarried,Female
34,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
24,Divorced,Not-in-family,Male
37,Married-civ-spouse,Husband,Male
44,Divorced,Unmarried,Male
28,Married-civ-spouse,Wife,Female
42,Married-civ-spouse,Husband,Male
74,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
44,Divorced,Unmarried,Female
26,Never-married,Not-in-family,Male
36,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Wife,Female
67,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
57,Widowed,Not-in-family,Female
29,Separated,Not-in-family,Male
31,Never-married,Not-in-family,Female
34,Never-married,Unmarried,Female
44,Married-civ-spouse,Husband,Male
29,Never-married,Own-child,Male
30,Never-married,Unmarried,Female
27,Never-married,Not-in-family,Male
27,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Female
58,Married-civ-spouse,Wife,Female
35,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Male
28,Never-married,Unmarried,Male
46,Divorced,Not-in-family,Male
36,Separated,Unmarried,Female
72,Widowed,Unmarried,Female
35,Married-civ-spouse,Wife,Female
33,Divorced,Unmarried,Female
69,Never-married,Not-in-family,Female
35,Married-civ-spouse,Husband,Male
31,Separated,Unmarried,Female
34,Married-civ-spouse,Wife,Female
30,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
54,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
24,Never-married,Unmarried,Female
52,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
45,Separated,Unmarried,Female
29,Separated,Not-in-family,Male
47,Divorced,Unmarried,Male
24,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
37,Married-civ-spouse,Husband,Male
27,Never-married,Not-in-family,Female
29,Married-civ-spouse,Wife,Male
18,Never-married,Own-child,Male
36,Divorced,Unmarried,Female
58,Never-married,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
65,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
21,Never-married,Own-child,Female
29,Never-married,Not-in-family,Male
18,Never-married,Own-child,Male
52,Married-civ-spouse,Husband,Male
57,Divorced,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Wife,Female
60,Never-married,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
27,Never-married,Own-child,Male
23,Never-married,Unmarried,Female
42,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Male
49,Never-married,Not-in-family,Female
32,Never-married,Not-in-family,Male
19,Never-married,Own-child,Male
60,Divorced,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Male
48,Never-married,Unmarried,Female
51,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
36,Separated,Not-in-family,Male
17,Never-married,Own-child,Female
52,Divorced,Not-in-family,Female
24,Never-married,Not-in-family,Male
24,Married-civ-spouse,Husband,Male
26,Never-married,Own-child,Male
27,Never-married,Own-child,Female
39,Never-married,Own-child,Male
30,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
45,Widowed,Not-in-family,Female
65,Widowed,Unmarried,Female
29,Married-civ-spouse,Husband,Male
47,Married-spouse-absent,Unmarried,Male
30,Never-married,Own-child,Male
34,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
47,Never-married,Unmarried,Female
49,Separated,Unmarried,Female
43,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Wife,Female
58,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
21,Never-married,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
52,Married-civ-spouse,Husband,Male
26,Divorced,Not-in-family,Male
60,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Male
36,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
50,Separated,Not-in-family,Male
31,Divorced,Unmarried,Female
71,Married-civ-spouse,Husband,Male
58,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
24,Never-married,Other-relative,Male
35,Married-civ-spouse,Husband,Male
38,Separated,Not-in-family,Female
27,Never-married,Own-child,Female
29,Never-married,Unmarried,Female
70,Widowed,Unmarried,Female
34,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Male
27,Never-married,Not-in-family,Male
43,Never-married,Not-in-family,Male
20,Never-married,Not-in-family,Female
42,Divorced,Unmarried,Female
27,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
20,Married-spouse-absent,Own-child,Female
24,Never-married,Not-in-family,Male
48,Divorced,Not-in-family,Male
17,Never-married,Own-child,Female
17,Never-married,Own-child,Male
33,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
17,Never-married,Own-child,Male
32,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
58,Widowed,Not-in-family,Male
29,Never-married,Own-child,Male
37,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
23,Separated,Unmarried,Male
18,Never-married,Own-child,Female
34,Divorced,Not-in-family,Female
66,Never-married,Not-in-family,Male
45,Married-civ-spouse,Wife,Female
41,Never-married,Not-in-family,Male
26,Never-married,Other-relative,Male
54,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
42,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
23,Never-married,Not-in-family,Female
25,Never-married,Other-relative,Male
35,Never-married,Not-in-family,Male
31,Married-civ-spouse,Husband,Male
30,Never-married,Own-child,Female
19,Never-married,Own-child,Female
36,Never-married,Not-in-family,Male
31,Widowed,Unmarried,Female
21,Never-married,Own-child,Male
31,Married-civ-spouse,Husband,Male
46,Divorced,Unmarried,Female
44,Divorced,Own-child,Female
40,Married-civ-spouse,Husband,Male
45,Never-married,Not-in-family,Male
60,Married-civ-spouse,Husband,Male
18,Never-married,Other-relative,Male
28,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
36,Separated,Not-in-family,Male
40,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
31,Separated,Unmarried,Female
33,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
22,Never-married,Own-child,Female
34,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
43,Never-married,Not-in-family,Male
44,Married-civ-spouse,Wife,Female
20,Never-married,Not-in-family,Female
31,Married-civ-spouse,Husband,Male
65,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Female
55,Divorced,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Female
45,Married-civ-spouse,Wife,Female
35,Married-civ-spouse,Husband,Male
36,Never-married,Not-in-family,Female
43,Married-civ-spouse,Husband,Male
56,Widowed,Unmarried,Female
42,Married-civ-spouse,Husband,Male
19,Never-married,Other-relative,Female
55,Married-civ-spouse,Husband,Male
42,Never-married,Not-in-family,Female
26,Never-married,Own-child,Male
17,Never-married,Own-child,Male
42,Married-civ-spouse,Wife,Female
55,Married-civ-spouse,Husband,Male
32,Never-married,Own-child,Female
29,Never-married,Own-child,Male
46,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
22,Never-married,Unmarried,Male
58,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Male
39,Never-married,Not-in-family,Male
27,Never-married,Own-child,Male
54,Married-civ-spouse,Husband,Male
33,Never-married,Not-in-family,Female
46,Married-civ-spouse,Wife,Female
37,Never-married,Not-in-family,Male
36,Never-married,Not-in-family,Female
59,Married-civ-spouse,Wife,Female
34,Divorced,Unmarried,Male
53,Married-civ-spouse,Husband,Male
51,Never-married,Not-in-family,Male
32,Separated,Unmarried,Female
31,Married-spouse-absent,Other-relative,Male
22,Married-civ-spouse,Wife,Female
47,Divorced,Not-in-family,Female
32,Never-married,Not-in-family,Male
26,Never-married,Not-in-family,Female
37,Separated,Not-in-family,Male
31,Divorced,Unmarried,Male
37,Married-civ-spouse,Wife,Female
55,Never-married,Not-in-family,Male
23,Divorced,Not-in-family,Male
36,Divorced,Unmarried,Female
34,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
54,Never-married,Not-in-family,Male
43,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Female
40,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Female
42,Divorced,Not-in-family,Female
61,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
59,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Female
48,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
23,Never-married,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
22,Never-married,Other-relative,Male
61,Married-civ-spouse,Husband,Male
