Attribute10,Attribute12,Attribute15,Attribute17,class
A103,A121,A152,A172,1
A101,A121,A152,A172,1
A103,A121,A152,A174,1
A101,A122,A152,A173,1
A101,A124,A153,A173,2
A101,A123,A152,A174,1
A101,A121,A152,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A172,2
A102,A124,A151,A173,1
A101,A121,A152,A173,1
A101,A124,A151,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A151,A174,1
A101,A121,A151,A172,1
A101,A123,A151,A173,1
A101,A121,A152,A173,1
A101,A123,A151,A173,1
A101,A123,A151,A173,1
A102,A123,A152,A174,2
A101,A124,A152,A174,2
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A151,A173,1
A101,A121,A151,A172,1
A101,A121,A152,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A174,2
A102,A121,A151,A173,1
A101,A123,A152,A173,2
A101,A123,A152,A174,1
A101,A121,A152,A173,2
A101,A123,A151,A174,1
A101,A121,A151,A172,1
A101,A124,A153,A173,1
A101,A121,A151,A173,2
A101,A122,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,2
A101,A123,A152,A174,1
A102,A121,A152,A173,2
A101,A123,A152,A173,1
A101,A122,A152,A173,2
A101,A122,A152,A172,1
A101,A124,A153,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,2
A103,A121,A152,A173,1
A101,A123,A151,A172,1
A101,A121,A152,A171,1
A101,A124,A152,A174,1
A101,A123,A152,A174,1
A101,A123,A152,A173,2
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A152,A173,1
A101,A123,A152,A173,1
A103,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A151,A173,1
A101,A123,A151,A174,1
A101,A123,A151,A173,2
A103,A121,A152,A173,1
A101,A123,A152,A172,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A124,A153,A174,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,2
A101,A121,A152,A173,1
A101,A122,A151,A173,1
A101,A121,A152,A173,2
A101,A123,A151,A173,2
A101,A121,A152,A173,1
A101,A122,A152,A174,2
A103,A121,A152,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A174,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A151,A174,1
A101,A121,A152,A173,1
A101,A123,A152,A173,2
A101,A121,A152,A174,2
A101,A122,A152,A172,2
A101,A121,A152,A173,1
A101,A123,A152,A173,2
A101,A122,A152,A173,1
A101,A124,A153,A174,2
A101,A123,A153,A171,1
A101,A122,A152,A173,2
A101,A123,A152,A173,1
A101,A122,A152,A174,2
A101,A124,A153,A172,2
A101,A123,A152,A173,2
A101,A121,A151,A173,1
A103,A122,A151,A173,2
A101,A123,A152,A174,2
A101,A123,A152,A173,1
A101,A123,A151,A173,2
A101,A124,A153,A173,1
A101,A124,A152,A174,2
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A151,A173,2
A101,A121,A152,A172,1
A101,A124,A153,A174,1
A101,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A172,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A173,2
A101,A121,A152,A174,2
A101,A123,A152,A173,1
A101,A122,A152,A172,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A151,A172,1
A101,A123,A152,A173,1
A103,A121,A152,A172,1
A101,A122,A151,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A102,A124,A152,A173,2
A101,A124,A153,A174,2
A101,A123,A152,A173,2
A101,A124,A153,A173,1
A101,A123,A152,A173,2
A101,A124,A153,A172,1
A101,A124,A152,A173,1
A103,A121,A152,A172,1
A101,A121,A152,A172,1
A101,A123,A152,A174,2
A101,A122,A152,A171,2
A101,A123,A151,A172,2
A101,A122,A152,A173,1
A103,A122,A152,A173,1
A101,A123,A152,A173,2
A101,A122,A152,A173,1
A101,A124,A153,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A124,A151,A173,1
A101,A121,A152,A173,1
A102,A121,A151,A173,2
A101,A121,A152,A172,1
A101,A123,A152,A172,1
A103,A124,A152,A173,2
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A121,A152,A172,1
A101,A124,A153,A173,2
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A174,1
A101,A124,A153,A172,1
A101,A121,A152,A172,1
A101,A123,A152,A173,2
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A174,2
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A151,A173,1
A102,A124,A153,A174,1
A101,A121,A152,A173,2
A101,A124,A152,A172,2
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A172,1
A101,A122,A152,A173,2
A101,A123,A151,A174,1
A101,A124,A151,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A172,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A173,1
A101,A124,A153,A174,1
A103,A121,A152,A173,1
A101,A121,A152,A173,2
A101,A121,A152,A173,1
A101,A123,A151,A174,2
A101,A124,A153,A174,1
A101,A124,A153,A173,1
A101,A123,A152,A174,1
A101,A123,A152,A173,2
A101,A123,A151,A173,1
A102,A122,A152,A172,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A171,1
A101,A123,A152,A173,2
A101,A121,A152,A172,2
A102,A122,A152,A173,1
A101,A124,A153,A173,2
A101,A121,A152,A173,1
A101,A122,A151,A172,1
A101,A124,A152,A172,2
A101,A121,A152,A173,2
A101,A121,A151,A172,1
A101,A124,A153,A171,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A172,2
A101,A121,A152,A172,1
A101,A123,A152,A173,2
A103,A122,A152,A172,1
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A172,1
A101,A123,A152,A174,2
A101,A122,A152,A173,2
A101,A124,A153,A174,1
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A151,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A174,1
A101,A121,A152,A173,2
A101,A122,A152,A174,2
A101,A123,A151,A172,2
A101,A124,A151,A173,2
A101,A121,A151,A174,2
A103,A122,A152,A172,1
A101,A123,A151,A173,2
A101,A122,A152,A173,1
A101,A123,A152,A172,1
A101,A124,A153,A173,1
A101,A123,A151,A172,1
A101,A121,A151,A173,1
A102,A121,A152,A174,1
A103,A122,A152,A172,1
A101,A123,A152,A172,1
A103,A121,A152,A173,1
A101,A124,A151,A171,1
A101,A121,A152,A172,1
A101,A124,A153,A173,2
A101,A121,A151,A173,1
A101,A123,A152,A173,2
A101,A124,A152,A174,1
A101,A122,A151,A173,2
A101,A124,A153,A173,1
A101,A121,A152,A172,2
A102,A121,A152,A173,1
A101,A123,A152,A174,2
A101,A121,A152,A173,1
A101,A121,A151,A173,2
A101,A124,A153,A173,1
A101,A123,A152,A174,1
A101,A123,A152,A173,1
A101,A122,A151,A173,1
A101,A123,A152,A171,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A151,A173,1
A101,A123,A152,A173,2
A101,A121,A151,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A151,A173,1
A101,A124,A153,A174,1
A101,A124,A153,A174,2
A103,A123,A151,A173,2
A101,A121,A152,A173,1
A101,A124,A153,A173,1
A101,A124,A153,A174,2
A101,A123,A152,A172,1
A101,A123,A152,A173,1
A101,A124,A153,A174,2
A101,A122,A151,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A121,A151,A173,1
A101,A122,A152,A174,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A174,1
A101,A121,A151,A172,1
A101,A124,A153,A174,1
A101,A123,A152,A173,1
A101,A123,A152,A174,1
A101,A124,A151,A173,1
A101,A124,A153,A174,1
A101,A122,A152,A173,1
A101,A121,A151,A173,2
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,2
A101,A123,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A173,2
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A174,1
A101,A121,A152,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A174,1
A101,A123,A152,A174,2
A101,A124,A151,A172,1
A101,A122,A152,A173,2
A101,A122,A152,A173,1
A101,A121,A152,A172,2
A101,A123,A151,A173,1
A101,A123,A152,A174,1
A101,A122,A152,A173,2
A101,A123,A151,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A121,A152,A174,1
A101,A122,A152,A173,2
A101,A123,A151,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A171,2
A101,A121,A152,A172,1
A102,A123,A152,A174,2
A101,A124,A153,A174,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A173,2
A101,A121,A151,A172,1
A101,A121,A152,A173,1
A102,A123,A152,A171,1
A101,A121,A152,A171,2
A101,A123,A152,A174,1
A102,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A172,2
A101,A123,A152,A174,2
A101,A122,A151,A172,1
A101,A123,A152,A173,2
A103,A121,A152,A173,1
A101,A121,A152,A174,1
A101,A122,A152,A173,2
A101,A123,A152,A174,1
A101,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A174,1
A102,A122,A152,A173,2
A101,A124,A152,A174,1
A101,A121,A151,A173,1
A101,A124,A153,A173,2
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A103,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A151,A174,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A103,A124,A152,A173,1
A101,A123,A151,A172,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A172,1
A101,A123,A151,A173,2
A101,A122,A152,A173,2
A101,A123,A152,A172,2
A101,A122,A152,A174,1
A101,A123,A152,A173,2
A101,A122,A151,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A173,1
A101,A122,A151,A173,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A174,2
A101,A123,A152,A173,1
A102,A124,A153,A173,1
A101,A121,A151,A172,1
A103,A122,A151,A173,1
A101,A124,A152,A173,1
A101,A124,A153,A174,2
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A121,A151,A172,1
A101,A123,A152,A173,2
A102,A124,A151,A174,2
A101,A122,A152,A173,1
A103,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A173,2
A101,A124,A153,A173,1
A101,A121,A152,A173,1
A101,A124,A152,A173,2
A101,A122,A151,A173,2
A103,A122,A152,A172,2
A101,A123,A152,A173,1
A101,A122,A152,A174,2
A101,A122,A152,A173,1
A101,A123,A152,A174,1
A101,A121,A152,A173,2
A101,A124,A153,A174,1
A101,A122,A151,A173,1
A102,A121,A151,A173,1
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A151,A173,2
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A101,A124,A153,A173,1
A101,A121,A152,A173,2
A101,A124,A153,A173,2
A101,A123,A152,A173,1
A103,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A151,A173,2
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A123,A151,A173,2
A101,A121,A151,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A151,A173,2
A101,A122,A152,A174,1
A101,A122,A152,A173,1
A101,A124,A153,A174,2
A101,A122,A152,A172,1
A101,A121,A151,A173,2
A101,A124,A153,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A172,2
A101,A121,A152,A172,1
A101,A121,A153,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A172,2
A101,A124,A153,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A172,1
A103,A121,A152,A173,2
A101,A123,A152,A173,1
A101,A122,A152,A174,1
A101,A123,A152,A173,2
A101,A123,A152,A173,2
A101,A122,A152,A173,2
A101,A123,A152,A173,2
A101,A121,A152,A172,2
A101,A124,A153,A173,1
A103,A123,A151,A172,2
A101,A122,A152,A173,1
A101,A124,A153,A173,2
A101,A122,A152,A174,1
A101,A122,A151,A173,1
A101,A123,A152,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,2
A101,A121,A151,A172,2
A102,A123,A152,A173,1
A101,A122,A151,A174,1
A101,A122,A152,A172,1
A101,A123,A152,A172,1
A102,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,2
A101,A123,A152,A172,1
A103,A121,A152,A173,2
A101,A121,A152,A172,1
A101,A121,A151,A173,1
A101,A124,A151,A172,2
A101,A124,A153,A174,1
A101,A121,A151,A173,2
A101,A121,A151,A173,1
A103,A122,A152,A172,1
A101,A121,A152,A172,2
A101,A122,A152,A173,2
A101,A121,A152,A172,1
A101,A123,A151,A173,1
A101,A121,A152,A172,1
A101,A122,A151,A172,2
A101,A123,A152,A174,2
A101,A122,A152,A172,2
A101,A123,A151,A173,2
A101,A121,A152,A172,2
A101,A122,A152,A173,2
A101,A124,A153,A173,1
A103,A121,A152,A173,1
A101,A122,A152,A173,2
A101,A124,A153,A172,2
A101,A123,A152,A174,2
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A174,1
A102,A124,A153,A173,2
A101,A121,A152,A173,1
A101,A124,A153,A173,1
A101,A122,A152,A173,2
A101,A124,A153,A172,2
A101,A123,A152,A173,1
A103,A123,A151,A173,1
A101,A121,A152,A173,2
A101,A123,A152,A174,1
A101,A124,A153,A174,1
A101,A121,A151,A173,1
A102,A123,A151,A173,2
A101,A121,A152,A172,1
A101,A122,A152,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A173,2
A101,A123,A151,A173,1
A101,A124,A153,A173,2
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A124,A152,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A123,A152,A173,2
A101,A122,A152,A173,1
A102,A123,A151,A173,2
A101,A123,A152,A172,2
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A171,2
A101,A123,A152,A172,1
A101,A122,A152,A174,2
A103,A123,A152,A173,1
A101,A122,A152,A174,1
A101,A123,A151,A173,2
A103,A121,A152,A173,1
A101,A122,A152,A173,2
A101,A124,A153,A173,2
A101,A123,A151,A172,2
A101,A124,A153,A174,1
A101,A122,A152,A172,2
A102,A121,A152,A173,2
A101,A123,A152,A174,2
A101,A123,A152,A173,1
A101,A124,A153,A173,1
A101,A123,A152,A172,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A152,A173,1
A101,A121,A151,A173,1
A101,A123,A152,A173,2
A101,A121,A152,A173,1
A101,A122,A152,A174,1
A101,A122,A152,A172,1
A102,A124,A152,A174,1
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A102,A122,A151,A173,2
A101,A122,A152,A173,1
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A174,1
A101,A123,A152,A173,1
A101,A121,A152,A172,2
A101,A123,A151,A174,1
A101,A123,A152,A173,1
A101,A123,A152,A173,2
A101,A121,A151,A172,1
A101,A121,A152,A173,1
A101,A124,A152,A173,1
A101,A124,A153,A173,1
A101,A121,A152,A173,1
A101,A124,A153,A173,1
A101,A122,A152,A172,1
A101,A124,A153,A173,1
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A102,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A151,A173,1
A103,A121,A152,A173,1
A101,A122,A152,A171,1
A101,A123,A152,A173,1
A101,A123,A151,A174,1
A101,A123,A151,A172,2
A101,A124,A153,A173,2
A101,A124,A153,A173,1
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A101,A122,A152,A173,2
A101,A122,A151,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A174,1
A101,A124,A153,A173,2
A101,A121,A152,A174,1
A101,A121,A152,A172,1
A101,A124,A152,A174,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A174,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A152,A174,2
A101,A122,A151,A173,2
A101,A121,A152,A172,2
A101,A121,A152,A172,1
A101,A121,A151,A173,2
A101,A121,A152,A172,1
A101,A122,A152,A172,1
A101,A123,A151,A173,2
A101,A124,A151,A173,2
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A151,A172,2
A103,A121,A152,A172,1
A101,A123,A151,A173,1
A101,A121,A152,A173,1
A101,A124,A152,A171,1
A101,A123,A151,A174,2
A101,A123,A152,A172,1
A101,A124,A152,A174,1
A101,A123,A151,A172,2
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A174,1
A101,A122,A152,A172,1
A101,A123,A151,A173,1
A101,A121,A152,A172,2
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A172,2
A101,A121,A151,A172,1
A101,A123,A152,A173,1
A101,A124,A153,A173,2
A101,A124,A151,A173,2
A101,A121,A152,A171,1
A101,A124,A153,A173,2
A103,A121,A152,A173,1
A101,A122,A152,A173,2
A101,A123,A152,A173,1
A101,A121,A151,A173,2
A101,A122,A152,A172,1
A101,A124,A153,A174,2
A101,A122,A152,A173,1
A103,A121,A152,A172,1
A101,A122,A152,A172,2
A101,A121,A151,A173,1
A101,A123,A151,A173,1
A101,A121,A152,A172,1
A101,A121,A151,A173,1
A101,A124,A152,A174,2
A101,A123,A152,A174,1
A101,A122,A152,A173,1
A101,A124,A153,A171,1
A101,A121,A151,A173,2
A101,A123,A152,A173,1
A103,A121,A152,A173,1
A101,A123,A152,A174,1
A101,A123,A152,A173,1
A103,A121,A152,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A172,1
A101,A122,A152,A172,2
A101,A121,A152,A174,1
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A173,2
A101,A124,A152,A173,2
A101,A122,A152,A173,2
A101,A123,A152,A174,1
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A101,A124,A151,A173,1
A101,A122,A151,A173,1
A101,A122,A153,A173,2
A101,A122,A151,A172,1
A101,A123,A152,A173,1
A101,A121,A152,A171,1
A101,A124,A153,A173,1
A103,A121,A151,A172,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A121,A151,A171,1
A101,A123,A152,A173,2
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A124,A153,A174,1
A101,A121,A151,A171,2
A101,A121,A152,A173,1
A103,A121,A152,A172,1
A101,A123,A152,A173,2
A101,A123,A152,A173,2
A101,A124,A153,A173,2
A101,A122,A151,A173,1
A101,A121,A152,A173,1
A101,A123,A151,A173,1
A102,A123,A152,A174,1
A101,A121,A152,A173,2
A101,A121,A152,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A172,1
A101,A123,A152,A174,1
A101,A123,A152,A173,1
A101,A121,A151,A173,2
A101,A123,A152,A173,2
A101,A124,A153,A173,2
A101,A124,A153,A173,1
A101,A123,A152,A173,1
A101,A123,A151,A173,2
A101,A123,A151,A173,2
A101,A123,A152,A173,1
A101,A121,A152,A172,2
A101,A123,A152,A173,2
A101,A123,A152,A173,1
A101,A121,A151,A172,1
A101,A122,A152,A173,1
A102,A121,A152,A173,1
A101,A122,A152,A173,2
A101,A121,A152,A172,1
A101,A121,A152,A173,2
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A123,A151,A173,2
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A172,2
A103,A122,A151,A173,2
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A101,A124,A153,A172,2
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A124,A153,A173,1
A101,A122,A152,A173,2
A103,A121,A151,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A173,2
A101,A121,A152,A173,2
A101,A121,A152,A172,1
A101,A121,A151,A172,2
A101,A123,A151,A173,1
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A122,A152,A173,1
A101,A122,A151,A173,1
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A101,A121,A152,A173,1
A102,A122,A152,A172,1
A101,A123,A152,A173,1
A102,A124,A153,A174,1
A101,A123,A152,A173,1
A101,A124,A153,A174,2
A101,A122,A152,A173,1
A101,A123,A152,A174,1
A101,A124,A153,A173,1
A101,A121,A152,A173,1
A101,A123,A152,A171,1
A101,A123,A152,A173,2
A101,A122,A152,A173,2
A101,A124,A152,A173,1
A101,A123,A152,A173,2
A101,A123,A152,A174,1
A103,A121,A151,A173,1
A101,A123,A152,A174,1
A101,A123,A152,A173,1
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A174,1
A101,A122,A151,A174,1
A101,A122,A152,A173,1
A101,A121,A151,A172,1
A102,A123,A152,A173,2
A103,A122,A151,A173,2
A101,A121,A152,A173,1
A101,A124,A153,A173,1
A101,A121,A151,A173,1
A101,A121,A152,A174,1
A101,A121,A151,A174,1
A102,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A172,1
A101,A121,A152,A172,1
A101,A121,A152,A173,1
A101,A123,A152,A172,2
A101,A123,A152,A173,1
A101,A121,A152,A173,1
A101,A122,A151,A173,2
A101,A122,A152,A174,2
A102,A121,A152,A173,1
A101,A124,A152,A174,2
A101,A122,A152,A173,2
A101,A122,A151,A174,2
A101,A124,A152,A173,1
A101,A123,A152,A174,1
A101,A122,A151,A173,2
A101,A122,A151,A173,1
A101,A122,A152,A173,2
A101,A123,A152,A173,2
A101,A122,A151,A173,1
A101,A124,A153,A173,2
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A102,A122,A152,A172,1
A101,A123,A152,A173,2
A101,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A173,1
A101,A124,A152,A174,2
A101,A121,A152,A172,2
A101,A123,A151,A174,1
A101,A124,A153,A173,2
A101,A122,A152,A174,1
A101,A122,A152,A174,1
A101,A121,A152,A172,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
A103,A122,A151,A173,1
A101,A123,A152,A173,1
A101,A124,A153,A173,2
A101,A124,A152,A174,1
A102,A122,A152,A172,2
A101,A123,A152,A173,2
A101,A123,A152,A171,1
A101,A123,A152,A173,2
A101,A123,A151,A173,2
A101,A123,A152,A174,2
A103,A122,A152,A173,1
A101,A122,A151,A174,1
A101,A122,A152,A172,1
A101,A121,A152,A172,1
A101,A123,A152,A172,2
A101,A124,A153,A173,1
A101,A121,A151,A173,1
A101,A122,A152,A173,1
A101,A124,A152,A173,1
A101,A123,A152,A173,2
A101,A122,A152,A172,1
A101,A123,A152,A173,1
A101,A122,A152,A172,2
A101,A123,A151,A174,1
A101,A122,A151,A173,1
A101,A121,A152,A172,1
A103,A121,A152,A173,1
A101,A122,A152,A172,1
A102,A124,A151,A171,2
A102,A124,A151,A173,2
A101,A123,A152,A173,1
A101,A123,A152,A172,1
A103,A121,A152,A173,1
A101,A122,A152,A173,1
A101,A123,A152,A172,2
A101,A122,A151,A173,2
A101,A122,A152,A173,2
A101,A123,A151,A174,2
A101,A123,A152,A174,1
A101,A122,A152,A173,2
A101,A122,A152,A172,1
A101,A122,A151,A173,1
A101,A122,A152,A173,1
A101,A121,A152,A173,1
A101,A124,A153,A174,1
A101,A122,A152,A172,1
A101,A122,A152,A172,1
A101,A123,A152,A172,1
A101,A123,A151,A172,1
A101,A122,A152,A174,1
A101,A123,A152,A173,1
A101,A121,A152,A172,1
