Attribute3,Attribute14
A34,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A143
A34,A141
A32,A143
A32,A143
A34,A143
A31,A143
A32,A143
A32,A143
A32,A143
A32,A143
A32,A143
A33,A143
A32,A143
A34,A143
A34,A143
A34,A143
A32,A143
A34,A143
A34,A143
A32,A143
A30,A143
A32,A143
A32,A143
A32,A143
A34,A143
A34,A143
A32,A143
A32,A143
A32,A143
A32,A143
A33,A143
A32,A143
A32,A143
A34,A143
A32,A143
A34,A143
A32,A141
A32,A142
A32,A143
A33,A143
A32,A143
A32,A143
A34,A143
A33,A143
A34,A143
A32,A141
A31,A141
A34,A143
A34,A143
A31,A141
A32,A143
A34,A143
A32,A143
A32,A142
A30,A143
A30,A141
A31,A141
A34,A143
A32,A141
A31,A141
A33,A141
A32,A143
A33,A141
A33,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A143
A34,A141
A32,A143
A34,A143
A34,A143
A32,A143
A34,A141
A34,A141
A32,A143
A32,A143
A32,A143
A32,A141
A34,A143
A32,A143
A32,A143
A34,A143
A34,A143
A33,A143
A32,A141
A32,A143
A31,A142
A31,A142
A32,A143
A30,A143
A34,A141
A33,A143
A32,A143
A32,A143
A31,A141
A32,A143
A32,A143
A31,A142
A34,A143
A32,A143
A32,A143
A32,A141
A32,A143
A32,A143
A32,A141
A31,A141
A33,A143
A30,A141
A33,A143
A34,A143
A32,A143
A32,A143
A34,A143
A34,A141
A32,A141
A32,A143
A32,A143
A32,A143
A32,A143
A31,A143
A34,A143
A32,A143
A32,A143
A31,A141
A32,A143
A32,A143
A32,A143
A32,A141
A32,A143
A33,A143
A32,A143
A33,A141
A32,A143
A32,A143
A32,A143
A34,A143
A34,A143
A33,A143
A30,A143
A32,A143
A32,A141
A32,A143
A32,A143
A32,A143
A32,A143
A33,A143
A34,A143
A32,A143
A32,A141
A32,A142
A30,A143
A34,A143
A32,A143
A32,A143
A32,A143
A33,A142
A34,A143
A34,A141
A31,A142
A31,A142
A34,A143
A34,A143
A34,A143
A32,A143
A32,A143
A34,A143
A33,A141
A34,A143
A34,A143
A32,A143
A32,A141
A32,A143
A32,A143
A32,A143
A33,A141
A34,A143
A33,A143
A32,A143
A34,A143
A33,A143
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A143
A34,A143
A34,A143
A32,A143
A32,A143
A34,A143
A32,A143
A33,A142
A32,A143
A32,A143
A32,A143
A30,A143
A32,A143
A32,A143
A34,A141
A31,A143
A32,A143
A34,A143
A32,A143
A34,A143
A34,A143
A32,A143
A34,A143
A30,A141
A30,A143
A31,A141
A32,A143
A32,A143
A32,A143
A34,A141
A34,A143
A32,A141
A31,A143
A34,A143
A33,A143
A32,A143
A32,A143
A32,A143
A34,A143
A31,A141
A32,A143
A32,A143
A34,A143
A30,A143
A31,A141
A31,A142
A32,A143
A31,A142
A34,A143
A34,A141
A32,A143
A32,A143
A32,A143
A32,A143
A32,A141
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A34,A143
A34,A143
A32,A143
A34,A143
A34,A143
A34,A143
A32,A143
A34,A143
A34,A143
A32,A141
A32,A143
A32,A143
A34,A143
A34,A143
A32,A143
A34,A143
A34,A143
A34,A141
A34,A141
A32,A143
A34,A143
A32,A143
A34,A143
A32,A143
A34,A143
A34,A143
A30,A143
A32,A141
A32,A143
A32,A143
A32,A143
A34,A143
A33,A143
A34,A141
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A34,A143
A34,A141
A34,A143
A34,A143
A32,A143
A32,A143
A32,A143
A34,A143
A31,A141
A30,A143
A32,A143
A32,A141
A34,A143
A32,A143
A32,A143
A33,A143
A32,A143
A34,A143
A32,A143
A32,A141
A32,A143
A32,A143
A32,A141
A34,A143
A34,A143
A34,A143
A34,A141
A30,A142
A32,A143
A33,A143
A33,A143
A32,A143
A30,A143
A32,A143
A32,A143
A30,A141
A32,A143
A32,A143
A34,A143
A34,A143
A32,A143
A33,A142
A32,A143
A31,A141
A32,A141
A32,A143
A32,A143
A32,A143
A32,A143
A32,A142
A34,A141
A34,A143
A34,A143
A31,A143
A33,A143
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A34,A142
A32,A141
A32,A143
A32,A142
A34,A142
A32,A143
A32,A143
A33,A143
A34,A143
A34,A143
A32,A143
A32,A143
A34,A143
A31,A141
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A34,A143
A34,A143
A32,A143
A32,A143
A34,A143
A32,A143
A34,A143
A31,A141
A34,A142
A34,A143
A34,A141
A34,A143
A34,A143
A33,A142
A32,A143
A34,A143
A32,A141
A32,A143
A34,A141
A34,A143
A34,A143
A32,A143
A32,A143
A32,A143
A32,A143
A32,A143
A33,A143
A32,A143
A33,A143
A34,A141
A32,A143
A32,A143
A31,A143
A30,A141
A32,A143
A32,A141
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A32,A143
A31,A141
A31,A141
A34,A143
A32,A142
A32,A143
A33,A143
A32,A143
A32,A143
A34,A143
A34,A143
A32,A141
A33,A142
A32,A143
A32,A143
A32,A143
A34,A143
A32,A143
A32,A143
A32,A142
A34,A143
A32,A143
A30,A143
A31,A143
A32,A143
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A32,A143
A32,A143
A34,A143
A34,A142
A34,A143
A32,A143
A32,A143
A34,A143
A33,A143
A32,A143
A32,A141
A32,A143
A32,A143
A34,A143
A32,A141
A32,A143
A34,A143
A32,A143
A32,A143
A31,A143
A32,A143
A34,A143
A32,A143
A32,A143
A33,A143
A33,A143
A31,A143
A34,A143
A32,A141
A32,A141
A32,A143
A34,A143
A34,A143
A30,A143
A32,A143
A32,A143
A34,A143
A34,A143
A31,A141
A32,A143
A32,A143
A32,A143
A32,A143
A32,A143
A32,A143
A32,A143
A34,A143
