Attribute2,Attribute8,Attribute16,Attribute17,Attribute18,Attribute19
30,4,2,A174,1,A191
24,4,1,A173,1,A191
24,2,1,A174,1,A192
18,4,1,A173,1,A191
18,4,2,A173,1,A191
8,1,2,A172,1,A191
12,2,1,A173,1,A192
24,4,1,A173,2,A192
36,4,1,A173,1,A191
6,4,1,A173,2,A191
24,2,2,A174,1,A192
18,4,2,A173,1,A191
60,4,1,A174,1,A191
48,2,2,A172,1,A191
24,3,2,A173,2,A191
6,1,1,A174,1,A192
13,2,1,A172,1,A191
15,4,1,A173,1,A191
24,4,1,A173,1,A191
10,4,1,A172,1,A191
24,2,2,A173,1,A192
21,1,1,A172,1,A191
18,1,1,A173,1,A191
18,1,1,A174,1,A192
10,1,1,A172,2,A191
15,4,1,A172,1,A191
13,4,2,A173,1,A191
24,1,1,A171,1,A191
6,1,2,A172,1,A191
9,4,2,A173,2,A191
9,1,1,A173,1,A192
9,1,1,A173,1,A191
18,2,1,A174,1,A192
12,4,2,A173,1,A192
10,4,1,A173,1,A192
24,4,1,A172,1,A191
12,1,1,A173,1,A192
36,4,2,A174,1,A192
12,4,1,A173,1,A191
30,4,1,A173,1,A191
18,4,1,A173,1,A191
12,2,1,A174,1,A191
12,2,2,A173,1,A192
6,1,1,A173,1,A191
18,4,1,A171,1,A191
12,2,1,A173,1,A192
18,3,2,A173,1,A191
18,1,1,A173,1,A191
36,4,1,A173,2,A191
18,2,1,A173,1,A191
36,4,1,A173,1,A191
18,3,2,A173,1,A192
10,1,2,A173,1,A191
60,2,1,A174,1,A192
60,3,2,A174,1,A192
48,2,1,A173,1,A191
18,2,2,A173,1,A191
7,3,1,A173,1,A191
36,4,1,A174,1,A192
6,4,2,A172,1,A191
20,4,1,A173,1,A192
18,3,1,A174,1,A192
22,4,1,A173,1,A191
12,4,1,A173,1,A191
30,2,2,A172,1,A191
18,2,2,A173,1,A191
18,4,1,A173,1,A192
18,4,2,A174,1,A192
15,2,1,A173,1,A191
9,3,2,A173,1,A191
18,2,1,A174,1,A192
12,1,1,A172,1,A191
36,2,1,A174,2,A192
6,1,1,A173,1,A191
9,2,1,A174,1,A191
39,2,1,A173,1,A192
12,3,1,A174,1,A191
36,3,2,A173,1,A192
12,1,2,A173,1,A191
24,4,2,A172,1,A191
18,3,1,A173,1,A192
18,4,2,A173,1,A191
24,2,2,A173,1,A192
14,4,2,A172,1,A191
18,4,1,A173,2,A191
24,1,1,A173,1,A192
24,4,2,A173,2,A192
15,4,1,A173,1,A191
24,3,1,A174,1,A192
12,4,3,A173,1,A192
24,4,1,A173,1,A192
33,3,2,A174,1,A192
12,4,2,A174,1,A192
10,3,1,A172,2,A191
24,4,1,A173,1,A191
36,2,2,A173,2,A192
12,4,1,A172,2,A191
18,1,2,A173,1,A192
21,1,1,A174,1,A191
18,4,1,A173,1,A191
15,2,1,A173,1,A191
12,4,1,A173,1,A191
12,2,2,A172,2,A191
21,4,2,A174,1,A191
12,1,1,A173,1,A192
18,1,1,A173,1,A192
28,4,2,A173,1,A191
18,4,2,A173,1,A191
9,1,1,A173,1,A191
18,2,3,A171,2,A191
5,1,1,A172,1,A191
24,2,2,A174,1,A192
6,4,3,A174,1,A192
24,4,2,A173,1,A192
9,3,1,A173,1,A191
12,2,1,A173,1,A192
6,2,1,A172,1,A191
24,4,2,A173,1,A192
42,4,2,A171,1,A191
12,4,1,A171,1,A191
12,4,1,A174,1,A192
12,2,1,A173,1,A191
20,2,2,A173,1,A192
12,4,1,A172,2,A191
48,2,1,A174,1,A192
9,4,2,A172,1,A191
36,4,1,A173,1,A192
7,2,1,A173,1,A191
12,3,1,A174,1,A192
15,3,2,A173,1,A191
36,4,1,A174,1,A192
6,3,1,A173,1,A191
12,2,2,A173,1,A191
24,4,1,A174,1,A192
24,2,1,A173,1,A192
24,4,1,A174,1,A192
11,2,2,A173,2,A191
12,3,1,A173,1,A192
6,4,1,A173,1,A191
18,3,1,A173,1,A192
36,1,1,A173,2,A191
15,2,1,A173,1,A191
12,3,1,A174,1,A191
12,4,2,A173,1,A191
18,4,2,A173,1,A192
24,3,1,A173,2,A192
24,4,1,A172,1,A192
48,3,2,A173,2,A191
33,2,2,A173,1,A192
24,3,2,A172,1,A192
24,3,1,A173,1,A192
6,4,1,A173,1,A191
9,4,1,A172,1,A191
6,4,1,A174,2,A192
18,4,1,A173,1,A191
18,1,1,A173,1,A191
39,4,1,A173,1,A191
24,4,1,A173,1,A191
12,3,1,A172,1,A191
15,4,2,A173,2,A192
12,1,1,A172,1,A191
24,4,1,A173,1,A191
30,4,2,A173,1,A192
15,3,2,A173,1,A191
12,4,1,A173,1,A192
6,4,1,A174,1,A192
12,2,1,A173,1,A192
24,4,1,A173,1,A192
10,3,1,A172,1,A191
6,2,1,A173,1,A191
12,2,2,A173,1,A191
27,2,2,A174,1,A192
6,1,2,A173,1,A191
6,4,1,A173,1,A191
12,3,2,A172,2,A191
24,2,1,A173,1,A191
36,4,1,A174,1,A192
24,4,2,A173,1,A191
18,4,1,A172,1,A191
6,2,2,A173,2,A192
24,4,1,A173,1,A191
36,2,1,A173,2,A191
9,2,1,A173,1,A191
24,4,2,A173,2,A191
24,4,1,A173,1,A191
10,4,1,A172,1,A191
15,2,1,A173,1,A192
15,1,1,A174,2,A192
24,4,1,A173,1,A191
39,4,1,A174,1,A192
12,4,1,A173,1,A191
36,2,1,A174,1,A192
15,2,1,A173,1,A192
12,4,2,A173,1,A191
24,4,1,A173,1,A191
6,4,2,A173,1,A191
6,2,1,A172,2,A191
36,2,2,A173,1,A192
6,3,1,A173,1,A192
6,4,2,A173,1,A191
24,3,2,A173,1,A191
18,2,1,A173,1,A191
48,3,2,A173,2,A191
24,3,1,A173,1,A191
18,4,1,A172,2,A191
26,2,2,A173,1,A191
15,4,1,A173,1,A191
4,2,2,A172,2,A191
36,4,1,A173,1,A191
6,3,1,A172,2,A192
36,3,2,A173,2,A191
15,2,2,A173,1,A192
12,4,1,A173,1,A191
24,4,1,A173,1,A192
24,4,2,A173,1,A191
21,2,1,A173,1,A191
6,4,1,A174,1,A192
18,3,1,A173,1,A192
48,4,1,A174,1,A191
18,1,1,A172,1,A191
12,1,1,A173,1,A191
24,4,2,A173,1,A192
30,4,1,A173,1,A191
18,2,1,A172,2,A191
12,4,2,A172,1,A191
24,4,2,A173,2,A191
24,4,1,A173,1,A192
24,3,1,A173,2,A191
12,4,1,A172,1,A191
48,2,2,A173,1,A192
12,4,2,A173,1,A191
6,2,1,A172,2,A191
48,1,2,A173,1,A192
12,4,1,A173,1,A191
9,4,2,A174,1,A192
12,2,1,A173,1,A191
18,3,2,A173,1,A191
21,1,2,A173,1,A192
24,3,1,A173,1,A191
18,2,2,A172,1,A191
24,4,1,A173,2,A192
24,4,1,A172,1,A191
6,2,1,A173,1,A191
36,1,1,A173,1,A192
24,4,2,A174,1,A192
24,3,2,A173,1,A192
12,2,1,A173,1,A191
24,2,1,A173,1,A191
48,4,2,A173,2,A192
48,3,1,A173,1,A192
24,4,1,A172,1,A192
30,3,1,A173,1,A191
24,2,1,A174,1,A192
15,4,1,A172,1,A191
9,4,2,A172,1,A191
15,2,2,A173,1,A191
12,2,1,A173,1,A191
24,3,2,A173,1,A192
36,4,2,A173,1,A191
24,4,2,A172,1,A191
18,3,2,A173,1,A191
12,1,2,A172,2,A191
9,4,1,A173,1,A191
36,4,1,A172,1,A191
12,4,1,A174,1,A192
18,1,1,A173,1,A191
9,2,2,A173,2,A191
12,4,1,A172,1,A191
18,4,1,A172,1,A192
12,3,2,A173,1,A191
12,4,4,A172,1,A192
24,4,2,A173,1,A192
21,4,1,A172,1,A191
24,3,1,A172,1,A192
24,4,1,A174,1,A192
6,1,1,A172,1,A191
24,4,2,A173,1,A191
24,1,3,A172,1,A192
18,2,2,A173,1,A191
24,1,1,A173,1,A191
7,1,1,A173,1,A191
9,4,1,A173,1,A191
24,4,1,A172,1,A191
36,4,1,A174,1,A192
10,4,1,A173,1,A191
24,4,1,A173,1,A192
24,3,1,A174,1,A192
36,4,1,A173,1,A191
18,4,1,A173,1,A191
15,4,1,A173,2,A191
12,4,1,A173,1,A191
10,1,1,A172,2,A191
21,4,1,A173,1,A191
24,1,1,A173,1,A191
18,4,1,A173,1,A191
48,2,1,A174,1,A192
60,2,1,A174,1,A191
6,1,3,A173,2,A191
30,2,1,A173,1,A191
12,4,1,A172,1,A191
21,2,2,A173,1,A191
18,3,2,A173,1,A191
48,4,1,A173,1,A191
12,4,1,A173,1,A191
18,4,2,A173,1,A191
15,4,1,A173,1,A191
6,2,1,A173,1,A192
9,2,1,A173,1,A191
42,4,2,A173,1,A192
9,1,1,A172,1,A191
24,2,1,A173,1,A191
18,4,1,A173,1,A191
15,4,1,A173,1,A191
9,2,2,A173,1,A191
24,3,1,A172,1,A192
12,4,3,A173,2,A192
24,4,1,A173,1,A191
60,2,2,A173,1,A192
12,4,1,A173,2,A191
42,3,2,A173,2,A192
18,4,1,A171,1,A191
15,4,2,A172,1,A191
15,3,1,A174,1,A192
24,4,2,A173,1,A192
18,4,2,A174,1,A192
36,4,2,A173,1,A192
30,2,2,A173,1,A191
12,2,1,A173,1,A191
24,4,1,A173,2,A191
12,4,1,A172,2,A191
48,4,1,A174,1,A192
12,4,1,A172,1,A191
24,4,1,A173,1,A191
36,2,4,A174,1,A192
24,4,2,A173,1,A192
14,1,1,A173,1,A191
12,4,1,A172,2,A191
48,4,1,A173,1,A192
30,2,2,A173,1,A191
18,2,1,A173,1,A192
12,3,1,A173,1,A191
12,4,1,A173,1,A191
21,4,2,A173,1,A191
6,4,2,A174,1,A192
6,2,1,A172,1,A191
24,4,2,A174,1,A192
30,4,1,A173,2,A192
48,1,1,A173,1,A191
12,3,2,A173,1,A192
30,4,1,A173,1,A191
24,3,2,A172,1,A192
36,2,2,A173,1,A192
60,2,1,A174,1,A192
6,1,1,A173,1,A191
21,4,1,A172,2,A191
30,4,1,A174,1,A192
24,4,1,A173,1,A192
72,2,1,A173,1,A191
24,4,1,A172,1,A191
18,3,1,A173,1,A191
6,1,1,A173,1,A191
12,4,1,A173,1,A192
15,4,2,A173,1,A191
24,3,3,A173,1,A192
36,1,2,A172,2,A192
60,4,1,A173,2,A192
10,4,2,A173,1,A192
36,4,1,A173,1,A191
9,3,1,A173,1,A192
12,1,1,A173,2,A191
15,2,2,A173,1,A191
15,3,1,A172,1,A191
24,2,1,A173,1,A191
6,1,2,A172,2,A191
24,4,1,A173,1,A192
6,2,1,A173,1,A191
12,4,2,A173,1,A191
12,1,1,A171,1,A191
18,4,2,A173,1,A191
15,4,1,A174,1,A192
12,4,1,A172,1,A191
48,4,2,A173,1,A192
24,4,1,A173,1,A192
30,4,2,A173,1,A191
27,4,1,A173,2,A192
15,1,1,A173,1,A191
48,3,1,A173,1,A191
12,4,2,A173,1,A191
9,4,1,A173,1,A191
9,2,1,A172,2,A191
18,4,2,A174,1,A192
6,4,1,A173,1,A191
21,4,1,A174,1,A192
9,4,2,A172,1,A191
60,4,1,A174,1,A192
30,1,2,A173,1,A191
30,3,2,A173,2,A192
18,4,1,A174,1,A192
24,3,2,A173,1,A192
20,3,2,A173,1,A192
9,4,2,A174,1,A192
6,4,1,A173,2,A191
12,4,1,A172,1,A191
9,4,1,A172,1,A191
27,3,1,A173,1,A191
6,2,2,A172,1,A191
15,2,2,A172,1,A191
18,4,2,A173,1,A191
48,4,1,A173,1,A191
24,2,2,A173,1,A192
24,1,1,A173,1,A191
24,2,1,A172,2,A191
8,4,1,A172,1,A191
24,2,1,A173,1,A192
4,1,1,A173,2,A191
36,3,1,A171,1,A191
24,1,2,A174,1,A191
18,3,1,A172,2,A192
6,1,2,A174,2,A192
30,4,2,A172,1,A191
24,2,1,A173,1,A191
10,4,1,A172,1,A191
21,4,1,A173,1,A192
24,4,1,A173,1,A192
39,4,2,A174,1,A192
13,3,2,A172,1,A191
15,1,1,A173,1,A191
12,3,1,A172,1,A191
21,1,1,A173,1,A191
15,2,1,A173,1,A191
6,2,1,A173,1,A192
18,1,1,A172,1,A191
12,2,1,A172,1,A191
30,4,2,A173,1,A191
12,4,2,A173,2,A191
24,4,1,A173,1,A191
6,1,3,A171,2,A191
15,3,2,A173,1,A192
24,2,1,A173,1,A192
12,4,2,A173,1,A191
15,1,1,A173,1,A192
18,4,2,A173,1,A191
12,4,1,A172,1,A191
21,4,1,A174,1,A192
24,4,2,A173,1,A192
12,3,2,A172,1,A191
30,2,1,A172,1,A191
10,1,1,A173,1,A191
12,1,3,A173,1,A192
12,2,2,A172,1,A192
24,2,1,A173,1,A191
36,3,2,A174,1,A192
21,1,1,A174,1,A192
24,4,2,A173,1,A191
12,2,3,A171,1,A191
24,4,1,A173,1,A191
36,4,2,A173,1,A192
18,4,1,A173,1,A191
36,4,2,A174,1,A192
18,2,1,A173,1,A192
39,2,2,A173,1,A191
24,4,1,A173,1,A192
12,2,1,A172,1,A192
12,4,1,A172,1,A191
20,1,1,A174,1,A192
18,4,1,A172,1,A192
22,3,1,A173,1,A191
48,4,2,A173,2,A192
48,4,1,A173,1,A191
40,4,1,A173,1,A192
21,2,1,A173,2,A191
24,3,1,A174,2,A192
6,1,2,A173,1,A191
24,3,1,A173,1,A191
24,4,1,A173,1,A192
9,2,1,A173,1,A191
18,1,1,A173,2,A192
12,2,2,A172,1,A191
24,4,2,A173,1,A192
9,4,1,A171,1,A191
24,4,2,A173,2,A191
18,3,2,A172,1,A192
20,1,2,A173,1,A191
12,4,2,A173,1,A191
12,1,1,A171,1,A191
36,2,1,A173,1,A192
6,3,1,A172,1,A191
12,4,4,A173,1,A191
42,1,1,A174,1,A192
15,2,2,A171,1,A191
8,3,1,A173,1,A192
6,3,1,A172,1,A191
36,4,2,A173,1,A192
48,3,1,A173,1,A191
48,4,1,A173,2,A191
36,2,1,A173,1,A191
6,1,1,A173,1,A191
6,1,2,A173,1,A192
36,2,1,A174,1,A191
18,4,1,A173,1,A191
12,3,2,A173,1,A192
12,3,1,A173,1,A191
36,2,1,A173,2,A191
8,4,2,A172,1,A191
18,3,2,A174,1,A192
21,4,2,A173,1,A192
18,1,3,A173,1,A192
18,2,2,A173,2,A191
36,3,1,A173,1,A191
48,4,1,A173,2,A192
24,4,2,A173,2,A192
18,4,1,A173,1,A192
45,2,2,A173,1,A191
24,2,1,A173,1,A192
15,2,1,A172,1,A191
12,4,2,A173,1,A191
12,4,1,A173,1,A191
4,1,1,A172,2,A191
24,4,2,A173,1,A192
24,4,2,A173,1,A191
36,4,1,A173,1,A191
21,3,2,A172,1,A191
18,4,1,A173,1,A191
24,4,1,A173,1,A192
18,4,3,A173,2,A192
21,2,1,A173,1,A192
18,2,2,A173,1,A191
24,4,1,A173,1,A191
9,3,1,A173,1,A191
12,4,1,A172,1,A191
20,4,2,A173,1,A191
24,3,2,A173,1,A192
15,4,2,A173,1,A192
18,4,2,A172,2,A191
36,2,2,A173,2,A192
24,4,1,A173,1,A192
10,4,1,A173,1,A192
15,4,1,A173,1,A192
15,3,1,A173,1,A192
9,1,1,A173,2,A191
24,4,2,A173,1,A191
18,4,1,A173,1,A192
24,4,1,A173,1,A192
27,4,2,A172,2,A192
10,2,1,A172,1,A191
15,2,1,A173,1,A191
18,4,1,A173,1,A191
12,2,1,A173,1,A191
36,3,2,A173,1,A191
12,4,1,A173,1,A191
36,2,2,A173,1,A192
6,1,2,A173,2,A191
24,4,2,A173,1,A192
15,4,1,A173,1,A191
12,2,1,A172,2,A191
11,4,2,A173,1,A191
18,3,1,A174,1,A192
36,4,1,A173,1,A191
9,3,1,A174,1,A192
30,2,2,A173,1,A191
24,3,1,A174,1,A192
24,2,1,A173,1,A192
30,4,2,A173,1,A191
18,4,2,A171,1,A191
24,3,1,A173,1,A192
12,4,1,A173,1,A191
24,4,2,A173,2,A192
48,2,1,A173,1,A192
36,4,2,A174,1,A192
28,3,2,A173,2,A192
27,4,4,A174,2,A192
15,4,2,A173,1,A192
12,4,2,A172,1,A191
36,3,2,A173,1,A192
18,4,2,A173,1,A192
36,3,1,A174,2,A192
21,4,1,A174,1,A192
12,3,1,A173,1,A191
15,1,1,A172,1,A191
18,2,1,A173,1,A191
16,2,1,A173,1,A192
20,2,2,A173,1,A192
36,2,2,A173,1,A191
15,4,1,A173,1,A192
24,4,1,A174,1,A192
12,2,1,A174,2,A192
21,2,1,A172,1,A191
36,2,1,A173,1,A191
15,1,2,A172,1,A191
9,1,1,A172,1,A191
36,4,2,A173,1,A191
24,2,1,A172,1,A191
30,2,1,A173,1,A191
11,1,1,A173,1,A192
24,4,1,A173,1,A192
48,1,1,A174,1,A192
10,1,1,A173,2,A191
6,1,1,A174,1,A192
24,1,1,A173,1,A191
24,4,1,A174,1,A192
18,4,2,A173,1,A191
48,4,1,A174,1,A192
9,3,1,A173,1,A191
12,3,1,A173,2,A192
24,2,1,A173,1,A192
12,4,2,A173,1,A192
18,4,1,A173,1,A191
48,4,3,A173,2,A192
30,4,1,A173,1,A192
12,4,2,A172,2,A191
24,4,1,A172,1,A191
9,4,1,A173,1,A192
9,3,2,A173,1,A191
12,4,2,A173,2,A192
12,4,1,A173,1,A191
30,4,2,A174,1,A191
9,3,1,A172,1,A191
6,4,1,A174,1,A192
60,4,1,A173,1,A191
24,2,2,A174,2,A192
12,2,1,A174,2,A192
10,3,1,A172,2,A191
24,4,1,A173,1,A192
4,2,3,A172,2,A191
15,4,1,A173,1,A191
48,1,2,A173,1,A191
24,4,1,A173,2,A192
12,4,1,A174,1,A192
18,4,1,A172,2,A191
24,2,2,A173,1,A191
18,3,3,A171,2,A192
36,2,2,A173,1,A192
24,3,1,A173,1,A191
36,4,2,A174,1,A192
12,4,1,A173,1,A192
24,4,2,A174,1,A192
30,4,2,A172,1,A191
9,2,3,A172,1,A191
28,3,1,A172,1,A191
24,4,1,A173,1,A191
6,2,2,A173,1,A191
21,1,2,A173,1,A191
15,3,1,A173,1,A191
24,3,2,A173,1,A192
6,3,1,A172,1,A191
30,4,1,A173,1,A191
27,4,2,A172,1,A191
15,4,1,A174,1,A192
42,2,1,A173,1,A192
11,1,2,A172,2,A191
15,4,1,A173,1,A191
24,1,1,A172,2,A191
24,1,2,A171,1,A191
60,4,1,A173,1,A191
30,4,1,A173,1,A192
24,3,1,A172,1,A191
6,2,1,A173,1,A191
18,4,2,A173,1,A191
24,4,2,A172,2,A191
15,2,1,A173,1,A191
30,2,1,A173,1,A191
48,3,1,A174,1,A192
21,1,1,A174,1,A192
36,2,1,A173,2,A191
24,2,2,A172,1,A191
15,4,2,A173,1,A191
42,2,2,A173,1,A191
13,2,1,A173,1,A191
24,4,1,A174,1,A192
24,4,2,A172,1,A191
12,2,2,A172,2,A191
15,4,1,A172,2,A191
18,2,2,A172,1,A191
36,4,1,A174,1,A192
