Attribute2,Attribute19
18,A191
24,A191
7,A191
9,A191
24,A191
36,A192
10,A191
24,A192
24,A192
36,A191
18,A191
15,A191
12,A191
10,A191
21,A191
24,A191
18,A191
48,A192
60,A191
6,A191
30,A191
12,A191
21,A191
18,A191
48,A191
12,A191
18,A191
15,A191
6,A192
9,A191
42,A192
9,A191
24,A191
18,A191
15,A191
9,A191
24,A192
12,A192
24,A191
60,A192
12,A191
42,A192
18,A191
15,A191
15,A192
24,A192
18,A192
36,A192
30,A191
12,A191
24,A191
12,A191
48,A192
12,A191
24,A191
36,A192
24,A192
14,A191
12,A191
48,A192
30,A191
18,A192
12,A191
12,A191
21,A191
6,A192
6,A191
24,A192
30,A192
48,A191
12,A192
30,A191
24,A192
36,A192
60,A192
6,A191
21,A191
30,A192
24,A192
72,A191
24,A191
18,A191
6,A191
12,A192
15,A191
24,A192
36,A192
60,A192
10,A192
36,A191
9,A192
12,A191
15,A191
15,A191
24,A191
6,A191
24,A192
6,A191
12,A191
12,A191
18,A191
15,A192
12,A191
48,A192
24,A192
30,A191
27,A192
15,A191
48,A191
12,A191
9,A191
9,A191
18,A192
6,A191
21,A192
9,A191
60,A192
30,A191
30,A192
18,A192
24,A192
20,A192
9,A192
6,A191
12,A191
9,A191
27,A191
6,A191
15,A191
18,A191
48,A191
24,A192
24,A191
24,A191
8,A191
24,A192
4,A191
36,A191
24,A191
18,A192
6,A192
30,A191
24,A191
10,A191
21,A192
24,A192
39,A192
13,A191
15,A191
12,A191
21,A191
15,A191
6,A192
18,A191
12,A191
30,A191
12,A191
24,A191
6,A191
15,A192
24,A192
12,A191
15,A192
18,A191
12,A191
21,A192
24,A192
12,A191
30,A191
10,A191
12,A192
12,A192
24,A191
36,A192
21,A192
24,A191
12,A191
24,A191
36,A192
18,A191
36,A192
18,A192
39,A191
24,A192
12,A192
12,A191
20,A192
18,A192
22,A191
48,A192
48,A191
40,A192
21,A191
24,A192
6,A191
24,A191
24,A192
9,A191
18,A192
12,A191
24,A192
9,A191
24,A191
18,A192
20,A191
12,A191
12,A191
36,A192
6,A191
12,A191
42,A192
15,A191
8,A192
6,A191
36,A192
48,A191
48,A191
36,A191
6,A191
6,A192
36,A191
18,A191
12,A192
12,A191
36,A191
8,A191
18,A192
21,A192
18,A192
18,A191
36,A191
48,A192
24,A192
18,A192
45,A191
24,A192
15,A191
12,A191
12,A191
4,A191
24,A192
24,A191
36,A191
21,A191
18,A191
24,A192
18,A192
21,A192
18,A191
24,A191
9,A191
12,A191
20,A191
24,A192
15,A192
18,A191
36,A192
24,A192
10,A192
15,A192
15,A192
9,A191
24,A191
18,A192
24,A192
27,A192
10,A191
15,A191
18,A191
12,A191
36,A191
12,A191
36,A192
6,A191
24,A192
15,A191
12,A191
11,A191
18,A192
36,A191
9,A192
30,A191
24,A192
24,A192
30,A191
18,A191
24,A192
12,A191
24,A192
48,A192
36,A192
28,A192
27,A192
15,A192
12,A191
36,A192
18,A192
36,A192
21,A192
12,A191
15,A191
18,A191
16,A192
20,A192
36,A191
15,A192
24,A192
12,A192
21,A191
36,A191
15,A191
9,A191
36,A191
24,A191
30,A191
11,A192
24,A192
48,A192
10,A191
6,A192
24,A191
24,A192
18,A191
48,A192
9,A191
12,A192
24,A192
12,A192
18,A191
48,A192
30,A192
12,A191
24,A191
9,A192
9,A191
12,A192
12,A191
30,A191
9,A191
6,A192
60,A191
24,A192
12,A192
10,A191
24,A192
4,A191
15,A191
48,A191
24,A192
12,A192
18,A191
24,A191
18,A192
36,A192
24,A191
36,A192
12,A192
24,A192
30,A191
9,A191
28,A191
24,A191
6,A191
21,A191
15,A191
24,A192
6,A191
30,A191
27,A191
15,A192
42,A192
11,A191
15,A191
24,A191
24,A191
60,A191
30,A192
24,A191
6,A191
18,A191
24,A191
15,A191
30,A191
48,A192
21,A192
36,A191
24,A191
15,A191
42,A191
13,A191
24,A192
24,A191
12,A191
15,A191
18,A191
36,A192
12,A192
12,A191
30,A192
12,A191
45,A192
45,A191
