A,B,C,E,G,H,I,J,K,M,N,P,Q,R,T,U,V,W,Y
GP,F,16,LE3,3,1,other,other,home,1,2,yes,yes,no,yes,yes,no,no,3
GP,F,16,GT3,4,2,teacher,services,home,2,2,no,yes,no,yes,yes,yes,no,3
GP,M,15,LE3,2,2,services,health,reputation,1,4,no,yes,no,yes,yes,yes,no,3
GP,F,15,GT3,1,1,at_home,other,home,2,4,yes,yes,yes,yes,yes,yes,no,1
GP,M,16,GT3,4,3,services,other,reputation,2,1,yes,yes,yes,no,yes,yes,no,3
GP,F,16,GT3,2,1,other,other,course,1,2,no,yes,no,yes,yes,no,yes,3
GP,F,16,GT3,4,4,other,other,reputation,1,1,no,no,no,no,yes,yes,no,3
GP,F,16,GT3,4,3,other,at_home,course,1,3,yes,yes,no,yes,yes,yes,no,3
GP,M,16,GT3,4,4,services,services,other,1,1,yes,yes,no,yes,yes,yes,no,5
GP,M,16,GT3,4,4,services,teacher,other,1,3,no,yes,no,yes,yes,yes,yes,4
GP,M,15,GT3,4,4,services,other,course,1,1,no,yes,yes,no,yes,yes,no,3
GP,F,15,GT3,3,2,services,other,home,2,2,yes,yes,no,yes,yes,yes,no,3
GP,M,15,GT3,3,4,services,other,course,1,2,no,yes,no,yes,yes,yes,no,4
GP,F,15,GT3,3,3,other,health,reputation,1,4,yes,no,no,yes,yes,no,no,3
GP,F,15,GT3,2,2,other,other,course,1,4,yes,yes,no,yes,yes,yes,no,1
GP,M,16,GT3,3,3,services,other,home,1,3,no,yes,no,yes,yes,yes,no,3
GP,M,15,GT3,4,4,other,other,home,4,4,no,yes,no,yes,yes,yes,yes,3
GP,F,16,LE3,4,4,health,health,other,1,3,no,yes,no,yes,yes,yes,yes,4
GP,M,15,LE3,4,4,teacher,teacher,course,1,1,no,no,no,yes,yes,yes,no,5
GP,F,16,GT3,3,3,services,other,reputation,1,3,yes,yes,no,yes,yes,yes,no,1
GP,F,16,GT3,2,2,at_home,other,home,1,2,yes,no,no,yes,yes,yes,no,1
GP,M,15,LE3,4,2,teacher,other,course,1,1,no,no,no,yes,yes,yes,no,5
GP,M,15,GT3,2,1,health,services,reputation,1,2,no,no,no,yes,yes,yes,yes,4
GP,M,16,GT3,4,4,teacher,teacher,course,1,2,no,yes,no,yes,yes,yes,no,4
GP,M,15,GT3,4,4,other,teacher,reputation,2,2,no,yes,no,yes,yes,no,no,4
GP,M,16,GT3,3,3,other,services,home,2,1,no,no,no,yes,yes,yes,no,4
GP,M,17,GT3,1,3,other,other,course,3,2,no,yes,no,yes,yes,yes,no,2
GP,M,15,GT3,3,4,other,other,reputation,1,1,no,no,no,yes,yes,yes,no,4
GP,F,15,GT3,1,2,at_home,services,course,1,2,no,no,no,no,yes,yes,no,2
GP,M,15,GT3,2,2,services,services,home,1,4,no,yes,no,yes,yes,yes,no,5
GP,F,16,LE3,2,4,other,health,course,2,2,no,yes,no,yes,yes,yes,yes,2
GP,M,16,GT3,4,4,health,other,course,1,1,no,yes,no,yes,yes,yes,no,4
GP,F,16,GT3,2,2,other,other,home,1,2,no,no,no,yes,yes,yes,yes,4
GP,M,15,GT3,3,4,services,services,home,1,1,yes,no,no,yes,yes,yes,no,5
GP,F,15,LE3,3,4,other,other,home,1,2,yes,no,no,yes,yes,yes,yes,3
GP,F,19,GT3,0,1,at_home,other,course,1,2,no,yes,no,no,no,no,no,4
GP,M,16,GT3,4,4,teacher,teacher,course,1,1,no,no,no,yes,yes,yes,no,5
GP,M,16,GT3,2,3,other,other,course,2,3,no,yes,no,no,yes,yes,yes,2
GP,F,15,GT3,3,4,services,teacher,course,2,3,no,yes,no,yes,yes,yes,yes,2
GP,F,18,GT3,2,1,services,other,reputation,1,2,no,yes,no,yes,no,yes,yes,4
GP,F,17,LE3,2,1,other,other,course,3,1,no,yes,no,yes,yes,yes,no,2
GP,F,15,GT3,1,1,at_home,other,course,3,1,no,yes,no,no,yes,yes,yes,3
GP,F,17,LE3,2,2,other,other,course,1,1,no,yes,no,yes,yes,yes,yes,4
GP,F,16,GT3,3,4,services,other,course,1,1,no,no,no,yes,yes,yes,no,2
GP,M,16,GT3,2,1,at_home,other,course,4,1,no,no,no,yes,yes,no,no,2
GP,F,16,GT3,2,2,other,other,home,1,1,no,no,no,yes,yes,no,no,3
GP,M,15,GT3,3,4,at_home,teacher,course,4,2,no,yes,no,yes,yes,no,yes,3
GP,F,15,GT3,4,4,services,at_home,course,1,3,no,yes,no,yes,yes,yes,yes,3
GP,M,17,GT3,3,4,at_home,other,course,3,2,no,no,no,yes,yes,no,no,4
GP,F,16,GT3,1,1,at_home,other,course,4,2,no,yes,no,yes,yes,no,no,1
GP,M,18,LE3,3,1,services,services,course,2,1,no,no,no,yes,yes,yes,yes,3
GP,F,18,GT3,3,2,other,services,course,1,3,no,yes,no,no,yes,yes,yes,3
GP,F,16,GT3,1,1,other,services,reputation,2,1,no,yes,no,yes,yes,no,yes,3
GP,F,16,GT3,3,3,other,other,course,2,1,no,yes,no,no,yes,yes,yes,3
GP,M,16,LE3,1,1,services,other,course,1,2,no,no,no,yes,yes,no,yes,4
GP,F,15,GT3,4,4,teacher,teacher,course,2,1,no,no,no,yes,yes,yes,no,3
GP,F,15,GT3,1,1,other,other,course,3,1,no,no,no,yes,yes,yes,yes,5
GP,M,15,GT3,4,3,teacher,services,course,2,4,yes,yes,no,yes,yes,yes,no,2
GP,F,15,GT3,3,3,services,services,home,1,2,no,no,no,no,yes,no,yes,3
GP,M,16,GT3,4,4,services,services,course,1,3,no,yes,no,yes,yes,yes,no,3
GP,M,16,LE3,2,2,services,services,reputation,2,1,no,yes,no,yes,yes,yes,no,3
GP,F,15,GT3,4,4,teacher,services,course,1,3,no,yes,no,yes,yes,yes,no,2
GP,F,16,LE3,1,1,at_home,at_home,course,1,1,no,no,no,yes,yes,yes,no,4
GP,M,17,GT3,2,1,other,other,home,1,1,no,yes,no,yes,yes,yes,no,4
GP,F,15,GT3,1,1,other,services,course,1,2,no,yes,no,yes,yes,yes,no,4
GP,F,15,LE3,2,1,at_home,other,home,2,1,no,yes,no,yes,no,yes,yes,4
GP,F,15,GT3,3,2,health,services,home,1,2,no,yes,no,yes,yes,yes,no,3
GP,F,15,GT3,1,2,at_home,other,course,1,2,no,yes,no,no,yes,yes,no,3
GP,F,15,GT3,1,2,at_home,services,course,1,2,no,no,no,no,yes,no,yes,3
GP,M,16,GT3,4,4,teacher,teacher,course,1,1,no,yes,no,yes,no,yes,yes,3
GP,M,15,LE3,2,1,services,other,course,4,1,no,no,no,yes,yes,yes,no,5
GP,M,18,LE3,1,1,other,other,course,1,1,no,no,no,yes,no,yes,yes,3
GP,M,16,LE3,2,1,at_home,other,course,1,1,no,no,no,yes,yes,no,yes,4
GP,F,15,GT3,3,3,services,services,reputation,2,3,no,yes,yes,yes,yes,yes,yes,2
GP,M,19,GT3,3,2,services,at_home,home,1,1,no,yes,no,yes,no,yes,yes,5
GP,F,17,GT3,4,4,other,teacher,course,1,1,yes,yes,no,yes,yes,no,yes,2
GP,M,15,GT3,2,3,at_home,services,course,1,2,yes,no,yes,yes,yes,no,no,4
GP,M,17,LE3,1,2,other,other,reputation,1,1,no,no,no,yes,yes,no,no,2
GP,F,18,GT3,1,1,at_home,other,course,3,1,no,yes,no,no,yes,no,no,2
GP,M,16,GT3,2,2,at_home,other,course,3,1,no,no,no,no,yes,no,no,2
GP,M,16,GT3,3,3,other,services,course,1,2,no,yes,no,yes,yes,yes,yes,5
GP,M,16,LE3,1,2,health,services,course,2,1,no,no,no,no,yes,yes,no,4
GP,M,17,LE3,2,1,at_home,other,course,2,1,no,no,yes,yes,no,yes,yes,3
GP,M,17,GT3,3,2,other,other,course,2,2,yes,yes,no,yes,yes,yes,yes,4
GP,M,15,LE3,1,2,other,other,course,2,1,no,no,no,yes,yes,no,no,4
GP,M,16,GT3,1,3,at_home,services,course,1,1,no,no,no,yes,no,yes,no,3
GP,M,17,LE3,1,1,other,services,course,4,2,no,no,no,yes,no,no,yes,3
GP,M,17,GT3,3,2,services,services,course,2,1,no,yes,no,no,no,no,no,5
GP,M,16,GT3,2,2,other,other,course,1,2,no,no,no,yes,no,yes,no,3
GP,F,16,GT3,4,2,health,services,home,1,2,no,no,no,yes,yes,yes,yes,2
GP,F,16,GT3,2,2,other,other,home,1,2,no,yes,no,no,yes,yes,no,1
GP,F,16,GT3,4,4,health,health,reputation,1,2,no,yes,no,yes,yes,yes,yes,4
GP,M,16,GT3,3,4,other,other,course,3,1,no,yes,no,no,yes,yes,no,4
GP,M,16,GT3,1,0,other,other,reputation,2,2,no,yes,no,yes,yes,yes,yes,3
GP,M,17,LE3,4,4,teacher,other,reputation,1,2,no,yes,no,yes,yes,yes,no,4
GP,F,16,GT3,1,3,at_home,services,home,1,2,no,no,no,no,yes,yes,yes,3
GP,F,16,LE3,3,3,other,other,reputation,2,2,no,yes,no,yes,yes,yes,no,4
GP,M,17,LE3,4,3,teacher,other,course,2,2,no,no,no,yes,yes,yes,no,4
GP,F,16,GT3,2,2,services,other,reputation,2,2,no,no,no,no,yes,yes,no,4
GP,M,17,GT3,3,3,other,other,reputation,1,2,no,no,no,no,yes,yes,no,3
GP,M,16,GT3,4,2,teacher,services,other,1,1,no,yes,no,yes,yes,yes,yes,3
GP,M,17,GT3,4,3,other,other,course,1,2,no,yes,yes,yes,yes,yes,yes,2
GP,M,16,GT3,4,3,teacher,other,home,1,2,no,yes,yes,yes,yes,yes,no,4
GP,M,16,GT3,3,3,services,other,home,1,2,no,no,no,yes,yes,yes,yes,2
GP,F,17,GT3,2,4,services,services,reputation,1,2,no,yes,no,yes,yes,no,no,4
GP,F,17,LE3,3,3,other,other,reputation,1,2,no,yes,no,yes,yes,yes,yes,3
GP,F,16,GT3,3,2,other,other,reputation,1,2,no,yes,no,yes,yes,yes,no,2
GP,M,17,GT3,3,3,services,services,other,1,2,no,yes,no,yes,yes,yes,yes,3
GP,M,16,GT3,1,2,services,services,other,1,1,no,yes,no,yes,yes,yes,yes,3
GP,M,16,LE3,2,1,other,other,course,1,2,no,no,no,yes,yes,yes,yes,2
GP,F,17,GT3,3,3,health,other,reputation,1,2,no,yes,no,no,yes,yes,yes,3
GP,M,17,GT3,1,2,at_home,other,home,1,2,no,no,no,yes,yes,no,no,1
GP,F,16,GT3,2,3,services,services,course,1,2,no,no,no,yes,yes,yes,no,3
GP,F,17,GT3,1,1,at_home,services,course,1,2,no,no,no,yes,yes,yes,no,3
GP,M,17,GT3,1,2,at_home,services,other,2,2,no,no,no,no,yes,yes,no,4
GP,M,16,GT3,3,3,services,services,reputation,1,1,no,yes,no,yes,yes,yes,no,3
GP,M,16,GT3,2,3,other,other,home,2,1,no,no,no,yes,yes,yes,no,3
GP,F,17,LE3,2,4,services,services,course,1,2,no,no,no,yes,yes,yes,yes,3
GP,M,17,GT3,4,4,services,teacher,home,1,1,no,no,no,yes,yes,yes,no,2
GP,M,16,LE3,3,3,teacher,other,home,3,1,no,yes,no,yes,yes,yes,no,3
GP,F,17,GT3,4,4,services,teacher,home,2,1,no,yes,no,yes,yes,yes,no,2
GP,F,16,LE3,4,4,teacher,teacher,reputation,1,2,no,yes,no,yes,yes,yes,no,5
GP,F,16,GT3,4,3,health,other,home,1,2,no,yes,no,yes,yes,yes,no,3
GP,F,16,GT3,2,3,other,other,reputation,1,2,yes,yes,no,yes,yes,no,no,4
GP,F,17,GT3,1,1,other,other,course,1,2,no,yes,no,no,yes,no,no,4
GP,F,17,GT3,2,2,other,other,reputation,1,1,no,yes,no,yes,yes,yes,no,3
GP,F,16,GT3,2,2,services,services,reputation,2,4,no,yes,no,no,yes,yes,no,3
GP,F,17,GT3,3,4,at_home,services,home,1,3,no,yes,yes,yes,yes,yes,yes,4
GP,F,16,GT3,3,1,services,other,course,1,2,no,yes,no,yes,yes,yes,no,3
GP,F,16,GT3,4,3,teacher,other,other,1,2,no,no,no,yes,yes,yes,yes,3
GP,F,16,GT3,1,1,at_home,other,home,2,1,no,yes,no,yes,yes,no,no,3
GP,F,17,GT3,4,3,teacher,other,reputation,2,3,no,yes,no,yes,yes,yes,yes,4
GP,F,19,GT3,3,3,other,other,reputation,1,4,no,yes,no,yes,yes,yes,no,3
GP,M,17,LE3,4,4,services,other,home,1,2,no,yes,no,yes,yes,yes,yes,3
GP,F,16,GT3,2,2,other,other,reputation,1,2,yes,yes,no,yes,yes,yes,no,3
GP,M,18,GT3,2,2,services,other,home,1,2,no,yes,no,yes,yes,yes,no,4
GP,F,17,LE3,4,4,services,other,other,1,1,no,yes,no,yes,yes,no,no,2
GP,F,17,LE3,3,2,other,other,reputation,2,2,no,no,no,yes,yes,yes,no,4
GP,F,17,GT3,4,3,other,other,reputation,1,2,no,no,no,yes,yes,yes,yes,4
GP,M,18,LE3,3,3,services,health,home,1,2,no,yes,no,yes,yes,yes,no,2
GP,F,17,GT3,2,3,at_home,other,home,2,1,no,yes,no,yes,yes,no,no,3
GP,F,17,GT3,2,2,at_home,at_home,course,1,3,no,yes,no,yes,yes,yes,no,3
GP,F,17,GT3,2,1,at_home,services,reputation,2,2,no,yes,no,yes,yes,yes,no,2
GP,F,17,GT3,1,1,at_home,other,reputation,1,3,no,yes,no,yes,yes,no,yes,3
GP,F,16,GT3,2,3,services,teacher,other,1,2,yes,no,no,yes,yes,yes,no,3
GP,M,18,GT3,2,2,other,other,home,2,2,no,yes,yes,yes,yes,yes,no,3
GP,F,16,GT3,4,4,teacher,services,home,1,3,no,yes,no,no,yes,yes,no,3
GP,F,18,GT3,3,1,other,other,reputation,1,2,no,no,no,yes,yes,yes,yes,3
GP,F,17,GT3,3,2,other,other,course,1,2,no,no,no,no,yes,yes,no,3
GP,M,17,LE3,2,3,services,services,reputation,1,2,no,yes,no,no,yes,yes,no,3
GP,M,18,LE3,2,1,at_home,other,course,4,2,yes,yes,no,yes,yes,yes,yes,3
GP,F,17,GT3,2,1,other,other,course,2,3,no,no,no,yes,yes,yes,yes,2
GP,F,17,LE3,4,3,health,other,reputation,1,2,no,no,no,yes,yes,yes,yes,2
GP,M,17,GT3,2,2,other,other,course,2,2,no,yes,no,yes,yes,yes,no,5
GP,M,17,GT3,4,4,teacher,teacher,reputation,1,2,yes,yes,no,yes,yes,yes,yes,5
GP,M,16,GT3,4,4,health,other,reputation,1,2,no,yes,no,yes,yes,yes,no,2
GP,M,16,LE3,1,1,other,other,home,2,2,no,yes,no,yes,yes,yes,no,4
GP,M,16,GT3,3,2,at_home,other,reputation,2,3,no,no,no,yes,yes,yes,yes,3
GP,M,17,LE3,2,2,other,other,home,1,2,no,no,no,no,yes,yes,yes,4
GP,F,16,GT3,2,1,other,other,home,1,1,no,no,no,yes,yes,yes,yes,5
GP,F,16,GT3,4,1,other,other,home,1,2,no,no,no,yes,yes,yes,yes,3
GP,F,18,LE3,2,4,services,other,course,2,2,no,yes,no,yes,yes,yes,no,3
GP,F,18,LE3,2,2,at_home,services,course,1,2,no,yes,no,no,yes,yes,yes,3
GP,F,18,GT3,3,3,other,other,course,2,1,no,no,no,yes,no,yes,no,1
GP,M,18,GT3,2,2,other,at_home,course,1,1,no,yes,no,no,no,yes,yes,4
GP,M,17,GT3,4,4,teacher,teacher,course,1,1,no,yes,no,no,yes,yes,no,2
GP,F,17,GT3,3,2,other,other,course,1,2,no,no,no,yes,yes,no,no,4
GP,F,17,LE3,1,1,at_home,at_home,course,1,3,no,yes,no,yes,yes,yes,yes,3
GP,F,16,GT3,1,2,other,other,course,1,1,no,no,no,yes,no,yes,no,3
GP,F,17,GT3,2,1,at_home,services,course,3,2,no,no,no,yes,yes,no,no,1
GP,F,17,LE3,1,4,other,other,course,4,1,no,yes,no,yes,yes,yes,no,5
GP,M,18,GT3,2,2,other,services,reputation,1,2,no,no,no,yes,no,yes,no,5
GP,F,17,LE3,2,2,other,other,home,1,1,no,yes,no,no,no,yes,no,1
GP,F,17,LE3,1,1,at_home,other,course,2,3,no,no,no,yes,yes,yes,no,3
GP,F,17,LE3,4,2,teacher,other,course,1,2,no,yes,no,yes,yes,no,no,3
GP,M,17,LE3,4,3,health,other,course,2,2,no,no,no,yes,yes,yes,yes,5
GP,M,17,LE3,4,4,teacher,other,course,2,2,no,yes,no,yes,yes,yes,no,3
GP,M,16,LE3,4,3,teacher,other,course,1,1,no,no,no,no,yes,yes,no,4
GP,M,16,GT3,4,4,services,services,course,1,1,no,no,yes,yes,yes,yes,no,3
GP,F,17,GT3,4,4,teacher,services,course,1,2,no,yes,yes,yes,yes,yes,yes,3
GP,M,17,GT3,1,1,other,other,home,2,3,no,no,no,no,yes,yes,yes,3
GP,F,17,GT3,3,3,services,other,home,2,3,no,yes,no,yes,yes,yes,yes,2
GP,F,17,GT3,1,1,at_home,other,course,1,2,yes,no,no,no,yes,no,yes,3
GP,F,18,GT3,2,1,other,other,course,2,3,no,yes,no,no,yes,yes,yes,4
GP,M,16,GT3,2,1,other,other,course,3,1,no,no,no,yes,yes,yes,no,3
GP,F,17,GT3,1,1,other,services,course,1,2,no,yes,no,yes,yes,no,no,3
GP,M,17,GT3,2,3,other,other,course,2,1,no,no,no,yes,yes,yes,no,2
GP,M,22,GT3,3,1,services,services,other,1,1,no,no,no,no,no,yes,yes,4
GP,M,18,LE3,3,3,other,services,course,1,2,no,yes,no,yes,yes,yes,yes,3
GP,M,16,GT3,0,2,other,other,other,1,1,no,no,no,no,yes,yes,no,3
GP,M,18,GT3,3,2,services,other,course,2,1,no,no,no,yes,no,yes,no,4
GP,M,16,GT3,3,3,at_home,other,reputation,3,2,yes,yes,no,no,yes,yes,no,3
GP,M,18,GT3,2,1,services,services,other,1,1,no,no,no,no,no,yes,no,2
GP,M,16,GT3,2,1,other,other,course,2,1,no,no,no,no,yes,no,no,3
GP,M,17,GT3,2,1,other,other,course,1,1,no,no,no,no,yes,yes,no,4
GP,M,17,LE3,1,1,health,other,course,2,1,no,yes,no,yes,yes,yes,no,4
GP,F,18,LE3,2,1,other,other,course,1,2,no,yes,no,no,yes,yes,yes,3
GP,F,17,LE3,4,2,teacher,services,reputation,1,4,no,yes,no,yes,yes,yes,no,2
GP,F,19,GT3,2,2,services,services,home,1,2,no,yes,no,yes,yes,yes,no,3
GP,M,18,LE3,2,1,services,other,course,3,2,no,no,no,no,no,yes,no,4
GP,F,17,GT3,4,2,other,other,course,1,3,no,yes,no,yes,yes,yes,no,3
GP,F,18,LE3,1,1,other,at_home,home,1,3,no,yes,no,no,yes,no,no,4
GP,F,18,GT3,2,2,other,other,home,1,2,yes,no,no,yes,yes,no,no,2
GP,M,19,LE3,4,3,services,at_home,reputation,1,2,no,yes,no,yes,yes,yes,no,3
GP,M,18,GT3,2,1,other,other,home,1,2,no,no,no,yes,yes,yes,no,2
GP,M,17,GT3,2,2,other,services,other,2,1,no,no,no,no,no,no,no,2
GP,F,17,LE3,2,2,services,services,course,1,4,no,no,no,yes,yes,yes,yes,4
GP,F,20,GT3,2,1,other,other,course,2,2,no,yes,yes,yes,no,yes,yes,2
GP,F,18,GT3,4,3,services,other,home,1,2,no,yes,no,yes,yes,yes,yes,1
GP,M,18,GT3,4,3,teacher,other,course,1,2,no,yes,no,no,yes,yes,no,3
