A,B,C,D,F,G,H,L,N,O,P,U,V,W,X
GP,M,16,U,T,3,3,father,2,1,no,yes,yes,yes,4
GP,M,16,U,T,1,2,mother,1,2,no,yes,yes,no,4
GP,M,17,R,T,2,1,mother,1,1,no,no,yes,yes,3
GP,M,17,R,T,3,2,mother,2,2,yes,yes,yes,yes,4
GP,M,15,U,T,1,2,mother,1,0,no,yes,no,no,4
GP,M,16,U,T,1,3,father,1,1,no,no,yes,no,5
GP,M,17,R,T,1,1,mother,2,0,no,no,no,yes,5
GP,M,17,U,T,3,2,mother,1,3,no,no,no,no,4
GP,M,16,U,T,2,2,father,2,0,no,no,yes,no,4
GP,F,16,U,T,4,2,father,2,0,no,yes,yes,yes,4
GP,F,16,U,T,2,2,mother,2,0,no,yes,yes,no,5
GP,F,16,U,T,4,4,mother,2,0,no,yes,yes,yes,4
GP,M,16,U,T,3,4,father,1,1,no,yes,yes,no,3
GP,M,16,U,T,1,0,mother,2,0,no,yes,yes,yes,4
GP,M,17,U,T,4,4,mother,2,0,no,yes,yes,no,4
GP,F,16,U,T,1,3,mother,2,0,no,yes,yes,yes,4
GP,F,16,U,T,3,3,mother,2,0,no,yes,yes,no,4
GP,M,17,U,T,4,3,mother,2,0,no,yes,yes,no,4
GP,F,16,U,T,2,2,mother,2,0,no,yes,yes,no,3
GP,M,17,U,T,3,3,father,2,0,no,yes,yes,no,4
GP,M,16,R,T,4,2,mother,1,0,no,yes,yes,yes,4
GP,M,17,U,T,4,3,mother,2,0,no,yes,yes,yes,5
GP,M,16,U,T,4,3,mother,2,0,no,yes,yes,no,3
GP,M,16,U,T,3,3,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,2,4,father,2,0,no,yes,no,no,5
GP,F,17,U,T,3,3,mother,2,0,no,yes,yes,yes,5
GP,F,16,U,T,3,2,mother,2,0,no,yes,yes,no,1
GP,M,17,U,T,3,3,mother,2,0,no,yes,yes,yes,4
GP,M,16,U,T,1,2,mother,1,0,no,yes,yes,yes,3
GP,M,16,U,T,2,1,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,A,3,3,mother,2,0,no,yes,yes,yes,3
GP,M,17,R,T,1,2,mother,2,0,no,yes,no,no,3
GP,F,16,U,T,2,3,mother,2,0,no,yes,yes,no,4
GP,F,17,U,T,1,1,mother,2,0,no,yes,yes,no,5
GP,M,17,U,T,1,2,other,2,0,no,yes,yes,no,4
GP,M,16,R,T,3,3,mother,1,0,no,yes,yes,no,4
GP,M,16,U,T,2,3,father,1,0,no,yes,yes,no,5
GP,F,17,U,T,2,4,father,2,0,no,yes,yes,yes,4
GP,M,17,U,T,4,4,mother,1,0,no,yes,yes,no,5
GP,M,16,R,T,3,3,father,1,0,no,yes,yes,no,3
GP,F,17,U,T,4,4,mother,1,1,no,yes,yes,no,4
GP,F,16,U,T,4,4,mother,2,0,no,yes,yes,no,4
GP,F,16,U,T,4,3,mother,2,0,no,yes,yes,no,4
GP,F,16,U,T,2,3,mother,2,0,yes,yes,no,no,4
GP,F,17,U,T,1,1,mother,2,0,no,yes,no,no,4
GP,F,17,R,T,2,2,mother,1,0,no,yes,yes,no,5
GP,F,16,R,T,2,2,mother,4,0,no,yes,yes,no,5
GP,F,17,U,T,3,4,mother,3,1,no,yes,yes,yes,4
GP,F,16,U,A,3,1,mother,2,0,no,yes,yes,no,2
GP,F,16,U,T,4,3,mother,2,0,no,yes,yes,yes,1
GP,F,16,U,T,1,1,mother,1,0,no,yes,no,no,4
GP,F,17,R,T,4,3,mother,3,0,no,yes,yes,yes,4
GP,F,19,U,T,3,3,other,4,0,no,yes,yes,no,4
GP,M,17,U,T,4,4,mother,2,0,no,yes,yes,yes,5
GP,F,16,U,A,2,2,mother,2,0,yes,yes,yes,no,3
GP,M,18,U,T,2,2,mother,2,0,no,yes,yes,no,4
GP,F,17,R,T,4,4,mother,1,0,no,yes,no,no,5
GP,F,17,U,T,3,2,mother,2,0,no,yes,yes,no,4
GP,F,17,U,T,4,3,mother,2,0,no,yes,yes,yes,3
GP,M,18,U,T,3,3,father,2,0,no,yes,yes,no,3
GP,F,17,U,T,2,3,father,1,0,no,yes,no,no,3
GP,F,17,U,T,2,2,mother,3,0,no,yes,yes,no,4
GP,F,17,R,T,2,1,mother,2,0,no,yes,yes,no,4
GP,F,17,U,T,1,1,mother,3,0,no,yes,no,yes,4
GP,F,16,U,T,2,3,mother,2,0,yes,yes,yes,no,2
GP,M,18,U,T,2,2,mother,2,3,no,yes,yes,no,3
GP,F,16,U,T,4,4,mother,3,0,no,yes,yes,no,5
GP,F,18,R,T,3,1,mother,2,0,no,yes,yes,yes,5
GP,F,17,U,T,3,2,mother,2,0,no,yes,yes,no,5
GP,M,17,U,T,2,3,father,2,0,no,yes,yes,no,5
GP,M,18,U,T,2,1,mother,2,0,yes,yes,yes,yes,4
GP,F,17,U,A,2,1,mother,3,0,no,yes,yes,yes,3
GP,F,17,U,T,4,3,father,2,0,no,yes,yes,yes,3
GP,M,17,R,T,2,2,father,2,0,no,yes,yes,no,4
GP,M,17,U,T,4,4,mother,2,0,yes,yes,yes,yes,4
GP,M,16,U,T,4,4,father,2,0,no,yes,yes,no,4
GP,M,16,U,T,1,1,mother,2,0,no,yes,yes,no,3
GP,M,16,U,T,3,2,mother,3,0,no,yes,yes,yes,5
GP,M,17,U,T,2,2,father,2,0,no,yes,yes,yes,4
GP,F,16,U,T,2,1,mother,1,0,no,yes,yes,yes,4
GP,F,16,U,A,4,1,mother,2,0,no,yes,yes,yes,5
GP,F,18,U,A,2,4,mother,2,1,no,yes,yes,no,4
GP,F,18,U,T,2,2,mother,2,1,no,yes,yes,yes,5
GP,F,18,U,T,3,3,mother,1,1,no,no,yes,no,4
GP,M,18,U,T,2,2,other,1,1,no,no,yes,yes,4
GP,M,17,U,T,4,4,mother,1,0,no,yes,yes,no,4
GP,F,17,U,T,3,2,father,2,0,no,yes,no,no,5
GP,F,17,U,T,1,1,mother,3,0,no,yes,yes,yes,4
GP,F,16,U,T,1,2,mother,1,0,no,no,yes,no,5
GP,F,17,R,T,2,1,mother,2,0,no,yes,no,no,2
GP,F,17,R,A,1,4,other,1,1,no,yes,yes,no,5
GP,M,18,U,T,2,2,father,2,0,no,no,yes,no,5
GP,F,17,U,A,2,2,mother,1,1,no,no,yes,no,3
GP,F,17,R,T,1,1,mother,3,0,no,yes,yes,no,4
GP,F,17,U,A,4,2,mother,2,0,no,yes,no,no,4
GP,M,17,U,T,4,3,mother,2,0,no,yes,yes,yes,2
GP,M,17,R,A,4,4,mother,2,0,no,yes,yes,no,3
GP,M,16,U,T,4,3,mother,1,0,no,yes,yes,no,5
GP,M,16,U,T,4,4,mother,1,0,no,yes,yes,no,5
GP,F,17,U,T,4,4,mother,2,0,no,yes,yes,yes,5
GP,M,17,R,T,1,1,father,3,0,no,yes,yes,yes,4
GP,F,17,U,T,3,3,mother,3,0,no,yes,yes,yes,4
GP,F,17,U,T,1,1,mother,2,0,yes,yes,no,yes,4
GP,F,18,U,T,2,1,other,3,0,no,yes,yes,yes,4
GP,M,16,U,T,2,1,mother,1,0,no,yes,yes,no,4
GP,F,17,U,T,1,1,father,2,0,no,yes,no,no,4
GP,M,17,U,T,2,3,father,1,0,no,yes,yes,no,5
GP,M,22,U,T,3,1,mother,1,3,no,no,yes,yes,5
GP,M,18,R,T,3,3,mother,2,0,no,yes,yes,yes,4
GP,M,16,U,T,0,2,mother,1,0,no,yes,yes,no,4
GP,M,18,U,T,3,2,mother,1,0,no,no,yes,no,4
GP,M,16,U,T,3,3,other,2,1,yes,yes,yes,no,5
GP,M,18,U,T,2,1,mother,1,2,no,no,yes,no,3
GP,M,16,R,T,2,1,mother,1,0,no,yes,no,no,3
GP,M,17,R,T,2,1,mother,1,0,no,yes,yes,no,4
GP,M,17,U,T,1,1,mother,1,1,no,yes,yes,no,4
GP,F,18,U,A,2,1,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,4,2,mother,4,0,no,yes,yes,no,4
GP,F,19,U,T,2,2,mother,2,0,no,yes,yes,no,4
GP,M,18,U,T,2,1,mother,2,1,no,no,yes,no,4
GP,F,17,R,T,4,2,mother,3,0,no,yes,yes,no,4
GP,F,18,U,T,1,1,mother,3,0,no,yes,no,no,4
GP,F,18,R,T,2,2,mother,2,0,yes,yes,no,no,3
GP,M,19,U,A,4,3,mother,2,0,no,yes,yes,no,4
GP,M,18,U,T,2,1,mother,2,0,no,yes,yes,no,5
GP,M,17,R,T,2,2,mother,1,0,no,no,no,no,5
GP,F,17,U,T,2,2,father,4,0,no,yes,yes,yes,3
GP,F,20,R,T,2,1,other,2,0,no,no,yes,yes,1
GP,F,18,U,T,4,3,father,2,0,no,yes,yes,yes,3
GP,M,18,U,T,4,3,mother,2,0,no,yes,yes,no,4
GP,M,18,R,T,3,2,mother,3,0,no,yes,no,no,5
GP,F,17,U,T,3,3,mother,3,0,no,yes,no,no,3
GP,F,18,U,T,2,2,mother,3,0,no,yes,yes,yes,4
GP,M,17,U,T,2,2,father,1,0,no,no,yes,no,4
GP,M,18,R,A,3,4,mother,2,0,no,yes,yes,no,4
GP,M,17,U,T,3,1,mother,2,0,no,yes,yes,yes,5
GP,F,18,R,T,4,4,mother,2,0,no,yes,yes,no,4
GP,M,18,U,T,4,2,father,2,0,no,yes,yes,yes,5
GP,F,18,R,T,2,1,mother,2,0,no,no,yes,yes,4
GP,F,19,U,T,3,3,other,2,0,no,yes,yes,no,4
GP,F,18,U,T,2,3,father,4,0,no,yes,yes,yes,4
GP,F,18,U,T,1,1,mother,2,0,no,yes,no,no,4
GP,M,17,R,T,1,2,mother,2,0,no,yes,no,yes,3
GP,F,18,U,T,2,1,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,2,4,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,2,2,mother,2,0,yes,yes,yes,yes,4
GP,F,18,R,A,3,2,mother,2,0,no,no,yes,yes,4
GP,M,18,U,T,4,4,mother,1,0,no,yes,yes,no,3
GP,F,18,U,T,4,4,father,2,1,yes,yes,yes,yes,2
GP,F,17,U,T,2,2,father,3,0,no,yes,yes,yes,4
GP,F,19,R,T,3,2,father,2,1,yes,no,yes,no,3
GP,M,18,U,T,4,3,mother,1,0,no,yes,yes,no,4
GP,M,18,U,T,1,2,other,1,0,no,no,yes,no,3
GP,M,17,U,A,4,1,mother,1,0,no,yes,yes,yes,4
GP,M,17,U,A,3,2,mother,1,0,no,yes,yes,no,4
GP,F,18,R,T,1,1,mother,4,0,no,yes,no,no,5
GP,F,18,U,T,1,1,mother,2,0,yes,yes,yes,no,5
GP,F,17,U,T,2,2,mother,2,0,no,yes,yes,no,5
GP,F,18,U,T,2,1,mother,2,0,no,yes,yes,yes,4
GP,M,17,U,T,1,1,father,2,0,no,yes,yes,no,4
GP,F,18,U,T,2,2,mother,3,0,no,yes,yes,no,4
GP,F,17,U,T,1,1,mother,3,0,no,yes,yes,no,4
GP,M,18,U,T,2,1,mother,3,0,no,yes,yes,no,4
GP,M,18,U,A,4,4,mother,2,0,no,yes,yes,no,5
GP,M,18,U,T,4,2,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,4,3,mother,3,0,no,yes,yes,no,4
GP,F,17,R,T,3,1,mother,4,0,no,yes,no,no,3
GP,M,18,R,T,3,2,mother,3,0,no,yes,yes,no,5
GP,M,17,U,T,3,3,mother,1,0,no,yes,yes,no,4
GP,F,19,U,T,4,4,other,2,0,no,yes,yes,no,2
GP,F,18,U,T,4,3,other,2,0,no,yes,yes,yes,4
GP,F,18,U,T,4,3,father,4,0,no,yes,yes,no,4
GP,M,18,U,T,4,4,mother,1,0,no,yes,yes,yes,1
GP,F,18,U,A,4,4,mother,2,0,no,yes,yes,yes,4
GP,M,17,U,T,4,4,father,1,0,no,yes,yes,no,4
GP,F,17,R,T,4,4,mother,3,0,no,yes,yes,no,5
GP,F,17,U,T,4,2,mother,3,0,no,yes,yes,no,4
GP,F,17,U,T,3,2,father,4,0,no,yes,yes,no,5
GP,M,19,R,T,2,1,mother,3,1,no,yes,yes,yes,4
GP,M,20,U,A,3,2,other,1,2,no,yes,no,no,5
GP,M,19,R,T,3,3,father,2,0,no,yes,no,yes,4
GP,F,18,U,T,1,4,mother,2,0,yes,yes,no,yes,3
GP,F,18,U,T,2,1,mother,2,0,no,yes,yes,no,5
GP,F,17,U,T,2,3,father,2,0,no,yes,yes,yes,4
GP,F,17,R,T,4,4,mother,1,0,no,yes,yes,no,4
GP,F,18,U,T,4,3,mother,3,0,no,yes,yes,yes,4
GP,F,18,U,T,4,3,mother,1,0,no,yes,yes,no,3
GP,F,17,R,T,3,4,father,3,0,no,yes,yes,no,4
GP,F,18,U,T,3,3,father,2,0,no,yes,yes,no,4
GP,M,19,U,T,4,2,mother,2,0,no,yes,yes,yes,5
GP,F,18,U,T,4,4,mother,2,0,no,yes,yes,no,4
GP,F,18,U,T,3,4,mother,1,0,no,yes,yes,yes,5
GP,F,17,U,T,4,4,mother,1,0,no,yes,yes,no,5
GP,F,17,U,A,4,3,mother,2,0,no,yes,yes,yes,5
GP,F,17,U,A,3,3,mother,2,0,yes,yes,yes,no,5
GP,F,17,U,T,2,1,father,2,0,no,yes,yes,no,4
GP,M,18,U,T,4,4,father,1,0,no,yes,yes,no,4
GP,F,19,U,T,1,1,other,3,0,no,no,no,yes,1
GP,F,19,U,A,1,1,other,2,2,no,yes,yes,yes,5
GP,F,18,U,T,2,2,mother,1,0,no,yes,yes,yes,4
GP,F,17,U,T,2,2,mother,2,0,no,yes,no,yes,4
GP,F,17,R,T,2,2,mother,3,0,no,yes,yes,no,3
GP,F,17,U,T,3,1,father,3,0,no,yes,yes,no,3
GP,F,17,U,T,0,2,father,3,0,no,yes,yes,no,3
GP,F,18,U,T,1,1,mother,3,0,no,yes,yes,no,4
GP,M,18,U,T,4,4,mother,3,0,no,yes,yes,no,4
GP,M,17,U,T,3,3,mother,1,0,no,yes,yes,no,4
GP,M,17,R,T,2,2,mother,1,0,no,yes,yes,no,4
GP,F,17,U,T,4,4,mother,3,0,no,yes,yes,no,5
GP,F,17,U,T,4,4,mother,3,0,no,yes,yes,yes,4
GP,F,17,U,T,3,3,mother,1,0,no,yes,yes,no,4
GP,M,18,U,T,2,2,mother,4,0,no,yes,yes,no,4
GP,M,19,R,T,3,2,other,1,0,no,yes,no,yes,5
GP,F,18,U,T,2,2,mother,2,0,no,yes,no,yes,4
GP,F,17,R,T,2,4,father,3,0,no,yes,yes,yes,4
GP,M,18,U,T,2,2,mother,1,0,no,yes,yes,no,5
GP,F,18,U,T,3,3,mother,2,0,no,yes,yes,no,5
GP,F,18,U,T,2,2,other,2,0,no,yes,yes,yes,4
GP,F,18,R,T,2,2,mother,4,0,no,yes,no,no,4
GP,F,17,U,T,3,4,mother,3,0,no,yes,yes,no,4
GP,F,17,U,T,3,2,mother,2,0,no,yes,yes,yes,4
GP,F,18,U,T,3,3,mother,4,0,no,yes,yes,no,5
GP,F,17,R,A,3,2,mother,2,0,no,yes,yes,no,4
GP,M,18,U,T,4,4,father,2,0,no,yes,yes,no,4
GP,M,18,U,T,3,4,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,A,2,2,father,2,0,no,yes,yes,yes,3
GP,F,18,U,T,2,3,mother,3,0,no,yes,yes,no,4
GP,F,18,U,T,3,2,mother,3,0,no,yes,yes,yes,5
GP,M,18,R,T,4,3,mother,3,0,no,yes,yes,yes,5
GP,M,18,U,T,4,3,mother,3,0,no,yes,yes,yes,5
GP,F,17,U,T,4,3,mother,3,0,no,yes,yes,yes,4
GP,F,17,U,T,2,1,mother,2,0,no,yes,yes,yes,4
GP,F,17,U,T,2,1,mother,2,0,no,yes,yes,no,4
GP,F,19,U,A,2,3,other,1,1,no,no,yes,no,2
GP,F,17,U,T,3,1,mother,1,1,no,yes,yes,yes,4
GP,F,21,U,T,4,4,other,3,2,no,yes,yes,no,3
GP,M,18,U,T,2,2,mother,2,0,no,no,yes,no,4
GP,M,18,U,A,3,4,other,2,0,no,yes,yes,yes,4
