A,D,E,F,G,H,I,J,K,L,M,N,P,Q,U,V,X
GP,U,LE3,T,4,2,teacher,other,course,mother,1,1,no,no,yes,yes,3
GP,R,GT3,T,2,1,health,services,reputation,mother,1,2,no,no,yes,yes,5
GP,U,GT3,T,4,4,teacher,teacher,course,father,1,2,no,yes,yes,yes,5
GP,U,GT3,T,4,4,other,teacher,reputation,father,2,2,no,yes,yes,no,4
GP,U,GT3,T,3,3,other,services,home,father,2,1,no,no,yes,yes,5
GP,R,GT3,T,1,3,other,other,course,father,3,2,no,yes,yes,yes,5
GP,U,GT3,T,3,4,other,other,reputation,father,1,1,no,no,yes,yes,3
GP,U,GT3,T,1,2,at_home,services,course,mother,1,2,no,no,yes,yes,3
GP,U,GT3,T,2,2,services,services,home,father,1,4,no,yes,yes,yes,5
GP,U,LE3,T,2,4,other,health,course,father,2,2,no,yes,yes,yes,4
GP,U,GT3,T,4,4,health,other,course,mother,1,1,no,yes,yes,yes,3
GP,U,GT3,T,2,2,other,other,home,mother,1,2,no,no,yes,yes,5
GP,U,GT3,T,3,4,services,services,home,father,1,1,yes,no,yes,yes,5
GP,U,LE3,A,3,4,other,other,home,mother,1,2,yes,no,yes,yes,5
GP,U,GT3,T,0,1,at_home,other,course,other,1,2,no,yes,no,no,3
GP,R,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,no,yes,yes,3
GP,U,GT3,T,2,3,other,other,course,mother,2,3,no,yes,yes,yes,3
GP,R,GT3,T,3,4,services,teacher,course,father,2,3,no,yes,yes,yes,4
GP,U,GT3,T,2,1,services,other,reputation,mother,1,2,no,yes,no,yes,5
GP,U,LE3,A,2,1,other,other,course,mother,3,1,no,yes,yes,yes,3
GP,U,GT3,T,1,1,at_home,other,course,mother,3,1,no,yes,yes,yes,4
GP,U,LE3,T,2,2,other,other,course,father,1,1,no,yes,yes,yes,3
GP,U,GT3,A,3,4,services,other,course,father,1,1,no,no,yes,yes,3
GP,U,GT3,T,2,1,at_home,other,course,mother,4,1,no,no,yes,no,3
GP,U,GT3,A,2,2,other,other,home,mother,1,1,no,no,yes,no,5
GP,R,GT3,T,3,4,at_home,teacher,course,mother,4,2,no,yes,yes,no,5
GP,U,GT3,T,4,4,services,at_home,course,mother,1,3,no,yes,yes,yes,4
GP,R,GT3,T,3,4,at_home,other,course,mother,3,2,no,no,yes,no,5
GP,R,GT3,T,1,1,at_home,other,course,mother,4,2,no,yes,yes,no,5
GP,U,LE3,T,3,1,services,services,course,mother,2,1,no,no,yes,yes,3
GP,U,GT3,A,3,2,other,services,course,other,1,3,no,yes,yes,yes,4
GP,R,GT3,T,1,1,other,services,reputation,mother,2,1,no,yes,yes,no,3
GP,U,GT3,A,3,3,other,other,course,other,2,1,no,yes,yes,yes,4
GP,U,LE3,T,1,1,services,other,course,mother,1,2,no,no,yes,no,4
GP,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,no,no,yes,yes,4
GP,R,GT3,T,1,1,other,other,course,mother,3,1,no,no,yes,yes,5
GP,U,GT3,T,4,3,teacher,services,course,father,2,4,yes,yes,yes,yes,2
GP,U,GT3,A,3,3,services,services,home,mother,1,2,no,no,yes,no,1
GP,U,GT3,T,4,4,services,services,course,mother,1,3,no,yes,yes,yes,5
GP,U,LE3,T,2,2,services,services,reputation,father,2,1,no,yes,yes,yes,2
GP,U,GT3,T,4,4,teacher,services,course,mother,1,3,no,yes,yes,yes,4
GP,U,LE3,T,1,1,at_home,at_home,course,mother,1,1,no,no,yes,yes,3
GP,U,GT3,T,2,1,other,other,home,mother,1,1,no,yes,yes,yes,5
GP,U,GT3,T,1,1,other,services,course,father,1,2,no,yes,yes,yes,4
GP,U,LE3,A,2,1,at_home,other,home,mother,2,1,no,yes,no,yes,4
GP,U,GT3,T,3,2,health,services,home,father,1,2,no,yes,yes,yes,3
GP,U,GT3,T,1,2,at_home,other,course,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,1,2,at_home,services,course,father,1,2,no,no,yes,no,2
GP,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,yes,no,yes,3
GP,U,LE3,A,2,1,services,other,course,mother,4,1,no,no,yes,yes,4
GP,U,LE3,T,1,1,other,other,course,mother,1,1,no,no,no,yes,2
GP,U,LE3,T,2,1,at_home,other,course,mother,1,1,no,no,yes,no,4
GP,R,GT3,T,3,3,services,services,reputation,other,2,3,no,yes,yes,yes,4
GP,U,GT3,T,3,2,services,at_home,home,mother,1,1,no,yes,no,yes,4
GP,U,GT3,T,4,4,other,teacher,course,mother,1,1,yes,yes,yes,no,4
GP,R,GT3,T,2,3,at_home,services,course,mother,1,2,yes,no,yes,no,4
GP,R,LE3,T,1,2,other,other,reputation,mother,1,1,no,no,yes,no,2
GP,R,GT3,T,1,1,at_home,other,course,mother,3,1,no,yes,yes,no,5
GP,R,GT3,T,2,2,at_home,other,course,mother,3,1,no,no,yes,no,4
GP,U,GT3,T,3,3,other,services,course,father,1,2,no,yes,yes,yes,4
GP,U,LE3,T,1,2,health,services,course,mother,2,1,no,no,yes,yes,4
GP,R,LE3,T,2,1,at_home,other,course,mother,2,1,no,no,no,yes,3
GP,R,GT3,T,3,2,other,other,course,mother,2,2,yes,yes,yes,yes,4
GP,U,LE3,T,1,2,other,other,course,mother,2,1,no,no,yes,no,4
GP,U,GT3,T,1,3,at_home,services,course,father,1,1,no,no,no,yes,5
GP,R,LE3,T,1,1,other,services,course,mother,4,2,no,no,no,no,5
GP,U,GT3,T,3,2,services,services,course,mother,2,1,no,yes,no,no,4
GP,U,GT3,T,2,2,other,other,course,father,1,2,no,no,no,yes,4
GP,U,GT3,T,4,2,health,services,home,father,1,2,no,no,yes,yes,4
GP,U,GT3,T,2,2,other,other,home,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,4,4,health,health,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,3,4,other,other,course,father,3,1,no,yes,yes,yes,3
GP,U,GT3,T,1,0,other,other,reputation,mother,2,2,no,yes,yes,yes,4
GP,U,LE3,T,4,4,teacher,other,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,1,3,at_home,services,home,mother,1,2,no,no,yes,yes,4
GP,U,LE3,T,3,3,other,other,reputation,mother,2,2,no,yes,yes,yes,4
GP,U,LE3,T,4,3,teacher,other,course,mother,2,2,no,no,yes,yes,4
GP,U,GT3,T,2,2,services,other,reputation,mother,2,2,no,no,yes,yes,3
GP,U,GT3,T,3,3,other,other,reputation,father,1,2,no,no,yes,yes,4
GP,R,GT3,T,4,2,teacher,services,other,mother,1,1,no,yes,yes,yes,4
GP,U,GT3,T,4,3,other,other,course,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,4,3,teacher,other,home,mother,1,2,no,yes,yes,yes,3
GP,U,GT3,T,3,3,services,other,home,mother,1,2,no,no,yes,yes,4
GP,U,GT3,T,2,4,services,services,reputation,father,1,2,no,yes,yes,no,5
GP,U,LE3,T,3,3,other,other,reputation,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,3,2,other,other,reputation,mother,1,2,no,yes,yes,yes,1
GP,U,GT3,T,3,3,services,services,other,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,1,2,services,services,other,mother,1,1,no,yes,yes,yes,3
GP,U,LE3,T,2,1,other,other,course,mother,1,2,no,no,yes,yes,4
GP,U,GT3,A,3,3,health,other,reputation,mother,1,2,no,yes,yes,yes,3
GP,R,GT3,T,1,2,at_home,other,home,mother,1,2,no,no,yes,no,3
GP,U,GT3,T,2,3,services,services,course,mother,1,2,no,no,yes,yes,4
GP,U,GT3,T,1,1,at_home,services,course,mother,1,2,no,no,yes,yes,5
GP,U,GT3,T,1,2,at_home,services,other,other,2,2,no,no,yes,yes,4
GP,R,GT3,T,3,3,services,services,reputation,mother,1,1,no,yes,yes,yes,4
GP,U,GT3,T,2,3,other,other,home,father,2,1,no,no,yes,yes,5
GP,U,LE3,T,2,4,services,services,course,father,1,2,no,no,yes,yes,4
GP,U,GT3,T,4,4,services,teacher,home,mother,1,1,no,no,yes,yes,5
GP,R,LE3,T,3,3,teacher,other,home,father,3,1,no,yes,yes,yes,3
GP,U,GT3,T,4,4,services,teacher,home,mother,2,1,no,yes,yes,yes,4
GP,U,LE3,T,4,4,teacher,teacher,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,4,3,health,other,home,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,2,3,other,other,reputation,mother,1,2,yes,yes,yes,no,4
GP,U,GT3,T,1,1,other,other,course,mother,1,2,no,yes,yes,no,4
GP,R,GT3,T,2,2,other,other,reputation,mother,1,1,no,yes,yes,yes,5
GP,R,GT3,T,2,2,services,services,reputation,mother,2,4,no,yes,yes,yes,5
GP,U,GT3,T,3,4,at_home,services,home,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,A,3,1,services,other,course,mother,1,2,no,yes,yes,yes,2
GP,U,GT3,T,4,3,teacher,other,other,mother,1,2,no,no,yes,yes,1
GP,U,GT3,T,1,1,at_home,other,home,mother,2,1,no,yes,yes,no,4
GP,R,GT3,T,4,3,teacher,other,reputation,mother,2,3,no,yes,yes,yes,4
GP,U,GT3,T,3,3,other,other,reputation,other,1,4,no,yes,yes,yes,4
GP,U,LE3,T,4,4,services,other,home,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,A,2,2,other,other,reputation,mother,1,2,yes,yes,yes,yes,3
GP,U,GT3,T,2,2,services,other,home,mother,1,2,no,yes,yes,yes,4
GP,R,LE3,T,4,4,services,other,other,mother,1,1,no,yes,yes,no,5
GP,U,LE3,T,3,2,other,other,reputation,mother,2,2,no,no,yes,yes,4
GP,U,GT3,T,4,3,other,other,reputation,mother,1,2,no,no,yes,yes,3
GP,U,LE3,T,3,3,services,health,home,father,1,2,no,yes,yes,yes,3
GP,U,GT3,T,2,3,at_home,other,home,father,2,1,no,yes,yes,no,3
GP,U,GT3,T,2,2,at_home,at_home,course,mother,1,3,no,yes,yes,yes,4
GP,R,GT3,T,2,1,at_home,services,reputation,mother,2,2,no,yes,yes,yes,4
GP,U,GT3,T,1,1,at_home,other,reputation,mother,1,3,no,yes,yes,no,4
GP,U,GT3,T,2,3,services,teacher,other,mother,1,2,yes,no,yes,yes,2
GP,U,GT3,T,2,2,other,other,home,mother,2,2,no,yes,yes,yes,3
GP,U,GT3,T,4,4,teacher,services,home,mother,1,3,no,yes,yes,yes,5
GP,R,GT3,T,3,1,other,other,reputation,mother,1,2,no,no,yes,yes,5
GP,U,GT3,T,3,2,other,other,course,mother,1,2,no,no,yes,yes,5
GP,U,LE3,T,2,3,services,services,reputation,father,1,2,no,yes,yes,yes,5
GP,U,LE3,T,2,1,at_home,other,course,mother,4,2,yes,yes,yes,yes,4
GP,U,GT3,A,2,1,other,other,course,mother,2,3,no,no,yes,yes,3
GP,U,LE3,T,4,3,health,other,reputation,father,1,2,no,no,yes,yes,3
GP,R,GT3,T,2,2,other,other,course,father,2,2,no,yes,yes,yes,4
GP,U,GT3,T,4,4,teacher,teacher,reputation,mother,1,2,yes,yes,yes,yes,4
GP,U,GT3,T,4,4,health,other,reputation,father,1,2,no,yes,yes,yes,4
GP,U,LE3,T,1,1,other,other,home,mother,2,2,no,yes,yes,yes,3
GP,U,GT3,T,3,2,at_home,other,reputation,mother,2,3,no,no,yes,yes,5
GP,U,LE3,T,2,2,other,other,home,father,1,2,no,no,yes,yes,4
GP,U,GT3,T,2,1,other,other,home,mother,1,1,no,no,yes,yes,4
GP,U,GT3,A,4,1,other,other,home,mother,1,2,no,no,yes,yes,5
GP,U,LE3,A,2,4,services,other,course,mother,2,2,no,yes,yes,yes,4
GP,U,LE3,T,2,2,at_home,services,course,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,3,3,other,other,course,mother,2,1,no,no,no,yes,4
GP,U,GT3,T,2,2,other,at_home,course,other,1,1,no,yes,no,yes,4
GP,U,GT3,T,4,4,teacher,teacher,course,mother,1,1,no,yes,yes,yes,4
GP,U,GT3,T,3,2,other,other,course,father,1,2,no,no,yes,no,5
GP,U,LE3,T,1,1,at_home,at_home,course,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,T,1,2,other,other,course,mother,1,1,no,no,no,yes,5
GP,R,GT3,T,2,1,at_home,services,course,mother,3,2,no,no,yes,no,2
GP,R,LE3,A,1,4,other,other,course,other,4,1,no,yes,yes,yes,5
GP,U,GT3,T,2,2,other,services,reputation,father,1,2,no,no,no,yes,5
GP,U,LE3,A,2,2,other,other,home,mother,1,1,no,yes,no,yes,3
GP,R,LE3,T,1,1,at_home,other,course,mother,2,3,no,no,yes,yes,4
GP,U,LE3,A,4,2,teacher,other,course,mother,1,2,no,yes,yes,no,4
GP,U,LE3,T,4,3,health,other,course,mother,2,2,no,no,yes,yes,2
GP,R,LE3,A,4,4,teacher,other,course,mother,2,2,no,yes,yes,yes,3
GP,U,LE3,T,4,3,teacher,other,course,mother,1,1,no,no,yes,yes,5
GP,U,GT3,T,4,4,services,services,course,mother,1,1,no,no,yes,yes,5
GP,U,GT3,T,4,4,teacher,services,course,mother,1,2,no,yes,yes,yes,5
GP,R,GT3,T,1,1,other,other,home,father,2,3,no,no,yes,yes,4
GP,U,GT3,T,3,3,services,other,home,mother,2,3,no,yes,yes,yes,4
GP,U,GT3,T,1,1,at_home,other,course,mother,1,2,yes,no,yes,no,4
GP,U,GT3,T,2,1,other,other,course,other,2,3,no,yes,yes,yes,4
GP,U,GT3,T,2,1,other,other,course,mother,3,1,no,no,yes,yes,4
GP,U,GT3,T,1,1,other,services,course,father,1,2,no,yes,yes,no,4
GP,U,GT3,T,2,3,other,other,course,father,2,1,no,no,yes,yes,5
GP,U,GT3,T,3,1,services,services,other,mother,1,1,no,no,no,yes,5
GP,R,LE3,T,3,3,other,services,course,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,0,2,other,other,other,mother,1,1,no,no,yes,yes,4
GP,U,GT3,T,3,2,services,other,course,mother,2,1,no,no,no,yes,4
GP,U,GT3,T,3,3,at_home,other,reputation,other,3,2,yes,yes,yes,yes,5
GP,U,GT3,T,2,1,services,services,other,mother,1,1,no,no,no,yes,3
GP,R,GT3,T,2,1,other,other,course,mother,2,1,no,no,yes,no,3
GP,R,GT3,T,2,1,other,other,course,mother,1,1,no,no,yes,yes,4
GP,U,LE3,T,1,1,health,other,course,mother,2,1,no,yes,yes,yes,4
GP,U,LE3,A,2,1,other,other,course,mother,1,2,no,yes,yes,yes,4
GP,U,LE3,T,4,2,teacher,services,reputation,mother,1,4,no,yes,yes,yes,4
GP,U,GT3,T,2,2,services,services,home,mother,1,2,no,yes,yes,yes,4
GP,U,LE3,T,2,1,services,other,course,mother,3,2,no,no,no,yes,4
GP,R,GT3,T,4,2,other,other,course,mother,1,3,no,yes,yes,yes,4
GP,U,LE3,T,1,1,other,at_home,home,mother,1,3,no,yes,yes,no,4
GP,R,GT3,T,2,2,other,other,home,mother,1,2,yes,no,yes,no,3
GP,U,LE3,A,4,3,services,at_home,reputation,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,2,1,other,other,home,mother,1,2,no,no,yes,yes,5
GP,R,GT3,T,2,2,other,services,other,mother,2,1,no,no,no,no,5
GP,U,LE3,T,2,2,services,services,course,father,1,4,no,no,yes,yes,3
GP,R,GT3,T,2,1,other,other,course,other,2,2,no,yes,no,yes,1
GP,U,GT3,T,4,3,services,other,home,father,1,2,no,yes,yes,yes,3
GP,U,GT3,T,4,3,teacher,other,course,mother,1,2,no,yes,yes,yes,4
GP,R,GT3,T,3,2,other,other,course,mother,1,3,no,no,yes,no,5
GP,U,GT3,T,3,3,other,other,home,mother,1,3,no,no,yes,no,3
GP,U,GT3,T,2,2,at_home,services,home,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,T,2,2,other,other,home,father,2,1,no,no,no,yes,4
GP,R,LE3,A,3,4,other,other,reputation,mother,2,2,no,yes,yes,yes,4
GP,U,GT3,T,3,1,services,other,other,mother,1,2,no,no,yes,yes,5
GP,R,GT3,T,4,4,teacher,other,reputation,mother,2,2,no,no,yes,yes,4
GP,U,GT3,T,4,2,health,other,reputation,father,1,2,no,yes,yes,yes,5
GP,R,GT3,T,2,1,other,other,reputation,mother,2,2,no,yes,no,yes,4
GP,U,GT3,T,3,3,other,services,home,other,1,2,no,yes,yes,yes,4
GP,U,GT3,T,2,3,other,services,reputation,father,1,4,no,yes,yes,yes,4
GP,U,LE3,T,1,1,other,other,home,mother,2,2,no,yes,yes,no,4
GP,R,GT3,T,1,2,at_home,at_home,home,mother,1,2,no,yes,yes,no,3
GP,U,GT3,T,2,1,other,other,home,mother,1,2,no,yes,yes,yes,4
GP,U,GT3,T,2,4,at_home,health,reputation,mother,2,2,no,yes,yes,yes,4
GP,U,LE3,T,2,2,services,other,course,mother,2,2,yes,yes,yes,yes,4
GP,R,GT3,A,3,2,other,services,home,mother,2,2,no,no,no,yes,4
GP,U,GT3,T,4,4,teacher,services,home,mother,2,1,no,no,yes,yes,3
GP,U,GT3,T,4,4,health,health,reputation,father,1,2,yes,yes,yes,yes,2
GP,U,GT3,T,2,2,other,services,reputation,father,3,3,no,yes,yes,yes,4
GP,R,GT3,T,3,2,services,services,reputation,father,1,2,yes,yes,no,yes,3
GP,U,LE3,T,4,3,teacher,services,course,mother,2,1,no,no,yes,yes,4
GP,U,GT3,T,1,2,at_home,other,home,other,2,1,no,no,no,yes,3
GP,U,LE3,A,4,1,services,other,home,mother,2,1,no,no,yes,yes,4
GP,U,LE3,A,3,2,teacher,services,home,mother,1,1,no,no,yes,yes,4
GP,R,LE3,T,1,1,at_home,other,reputation,mother,2,4,no,yes,yes,no,5
GP,U,GT3,T,1,1,other,other,home,mother,2,2,yes,no,yes,yes,5
GP,U,GT3,T,2,2,other,other,course,mother,1,2,no,yes,yes,yes,5
GP,U,GT3,T,2,1,other,other,reputation,mother,2,2,no,no,yes,yes,4
GP,U,GT3,T,1,1,other,other,reputation,father,1,2,no,no,yes,yes,4
GP,U,GT3,T,2,2,at_home,at_home,other,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,T,1,1,services,teacher,reputation,mother,1,3,no,yes,yes,yes,4
GP,U,GT3,T,2,1,services,services,reputation,mother,1,3,no,no,yes,yes,4
