A,B,D,F,G,H,I,K,N,Q,S,U,V,Y
GP,M,R,A,4,4,other,reputation,3,yes,yes,yes,yes,4
GP,F,R,T,3,4,services,course,3,yes,yes,yes,yes,3
GP,F,R,T,2,2,at_home,reputation,1,yes,yes,yes,no,3
GP,F,U,T,2,2,other,home,2,yes,yes,yes,yes,3
GP,M,U,T,4,4,teacher,home,1,yes,no,yes,yes,4
GP,M,U,T,4,4,services,course,2,yes,yes,yes,yes,3
GP,M,U,T,2,2,services,course,1,yes,no,yes,yes,4
GP,F,U,T,2,2,other,course,2,no,yes,yes,yes,3
GP,F,U,A,4,3,other,course,2,yes,yes,yes,yes,2
GP,F,U,A,3,3,other,home,2,yes,no,yes,yes,3
GP,M,U,T,4,3,health,reputation,4,no,yes,yes,yes,2
GP,M,U,T,4,2,teacher,home,2,yes,no,yes,no,3
GP,F,U,T,4,4,services,other,2,yes,yes,yes,yes,4
GP,F,U,T,2,2,services,course,2,yes,no,yes,yes,3
GP,F,U,T,4,2,health,other,2,yes,no,yes,yes,3
GP,M,U,A,4,2,health,other,1,no,no,yes,no,5
GP,F,U,T,4,4,services,course,1,yes,no,yes,yes,3
GP,F,U,A,3,3,other,other,1,no,no,yes,yes,3
GP,F,U,A,2,1,other,other,2,no,yes,yes,yes,3
GP,F,U,A,4,3,services,reputation,2,yes,yes,yes,yes,3
GP,M,U,T,4,4,teacher,reputation,2,yes,yes,yes,no,2
GP,M,U,T,1,2,other,home,2,yes,yes,yes,yes,3
GP,F,U,T,4,2,services,course,2,yes,no,yes,yes,2
GP,F,R,T,4,4,health,other,2,yes,yes,yes,no,4
GP,F,U,T,1,1,services,course,1,yes,yes,yes,yes,5
GP,F,U,T,1,2,other,reputation,2,no,yes,yes,yes,4
GP,F,U,T,4,3,teacher,home,3,yes,yes,yes,yes,4
GP,F,U,T,4,3,services,reputation,2,no,yes,yes,yes,4
GP,F,U,T,4,3,teacher,course,2,yes,yes,yes,yes,4
GP,M,U,A,4,4,other,reputation,4,yes,yes,yes,yes,3
GP,F,U,T,3,1,services,course,4,yes,no,yes,yes,3
GP,F,R,T,2,2,health,reputation,2,yes,no,yes,yes,1
GP,F,R,T,3,1,other,reputation,4,yes,no,yes,yes,4
GP,M,U,T,3,1,other,reputation,4,yes,no,yes,yes,3
GP,M,U,T,4,2,other,course,4,no,no,yes,yes,3
GP,F,R,T,1,1,other,reputation,2,yes,no,yes,yes,3
GP,M,U,T,3,1,other,reputation,1,no,yes,yes,no,3
GP,F,U,T,3,3,other,home,2,yes,yes,yes,yes,3
GP,M,U,T,4,3,teacher,home,2,yes,yes,yes,yes,3
GP,M,U,T,4,0,teacher,course,4,no,yes,yes,yes,4
GP,F,U,T,2,2,other,reputation,4,no,no,yes,yes,2
GP,M,U,T,2,1,other,home,1,yes,yes,no,yes,5
GP,F,U,T,3,4,at_home,course,2,yes,no,yes,yes,4
GP,M,U,T,2,3,other,course,1,yes,yes,yes,yes,2
GP,M,U,T,2,3,other,home,3,no,no,yes,yes,3
GP,F,U,T,3,2,services,reputation,2,yes,no,yes,yes,4
GP,M,U,T,2,2,services,home,2,no,yes,yes,yes,3
GP,F,U,T,1,1,other,home,2,yes,yes,yes,yes,3
GP,F,U,T,4,4,services,reputation,2,no,no,yes,yes,4
GP,F,U,T,2,2,at_home,course,2,yes,no,yes,no,3
GP,F,U,T,4,2,other,reputation,3,yes,yes,yes,yes,3
GP,M,U,T,2,2,services,reputation,2,no,yes,yes,yes,4
GP,M,U,A,4,4,teacher,reputation,2,yes,no,yes,no,1
GP,F,U,T,3,3,other,home,3,yes,no,yes,yes,3
GP,F,U,T,4,3,services,reputation,1,no,yes,yes,yes,5
GP,F,U,T,3,1,other,home,2,yes,no,yes,no,3
GP,F,U,T,4,2,teacher,home,2,yes,yes,yes,yes,3
GP,M,U,T,2,2,services,reputation,4,yes,yes,yes,yes,3
GP,F,R,T,1,1,at_home,home,4,yes,yes,yes,yes,1
GP,M,R,T,4,3,services,reputation,1,yes,yes,yes,yes,3
GP,F,U,T,2,1,other,course,2,yes,no,yes,no,3
GP,F,U,T,4,4,other,reputation,1,no,yes,yes,yes,3
GP,F,U,T,4,3,other,course,3,yes,no,yes,yes,3
GP,M,U,T,4,4,services,other,1,yes,yes,yes,yes,5
GP,M,U,T,4,4,services,other,3,yes,yes,yes,yes,4
GP,M,U,T,4,4,services,course,1,yes,yes,yes,yes,3
GP,F,U,T,3,2,services,home,2,yes,no,yes,yes,3
GP,M,U,A,3,4,services,course,2,yes,yes,yes,yes,4
GP,F,U,A,3,3,other,reputation,4,no,no,yes,no,3
GP,F,U,T,2,2,other,course,4,yes,no,yes,yes,1
GP,M,U,T,3,3,services,home,3,yes,yes,yes,yes,3
GP,M,R,T,4,4,other,home,4,yes,yes,yes,yes,3
GP,F,U,T,4,4,health,other,3,yes,yes,yes,yes,4
GP,M,U,A,4,4,teacher,course,1,no,yes,yes,yes,5
GP,F,R,T,3,3,services,reputation,3,yes,yes,yes,yes,1
GP,F,U,T,2,2,at_home,home,2,no,yes,yes,yes,1
GP,M,U,T,4,2,teacher,course,1,no,no,yes,yes,5
GP,M,R,T,2,1,health,reputation,2,no,yes,yes,yes,4
GP,M,U,T,4,4,teacher,course,2,yes,yes,yes,yes,4
GP,M,U,T,4,4,other,reputation,2,yes,yes,yes,no,4
GP,M,U,T,3,3,other,home,1,no,yes,yes,yes,4
GP,M,R,T,1,3,other,course,2,yes,yes,yes,yes,2
GP,M,U,T,3,4,other,reputation,1,no,no,yes,yes,4
GP,F,U,T,1,2,at_home,course,2,no,no,yes,yes,2
GP,M,U,T,2,2,services,home,4,yes,yes,yes,yes,5
GP,F,U,T,2,4,other,course,2,yes,yes,yes,yes,2
GP,M,U,T,4,4,health,course,1,yes,yes,yes,yes,4
GP,F,U,T,2,2,other,home,2,no,no,yes,yes,4
GP,M,U,T,3,4,services,home,1,no,no,yes,yes,5
GP,F,U,A,3,4,other,home,2,no,yes,yes,yes,3
GP,F,U,T,0,1,at_home,course,2,yes,no,no,no,4
GP,M,R,T,4,4,teacher,course,1,no,yes,yes,yes,5
GP,M,U,T,2,3,other,course,3,yes,no,yes,yes,2
GP,F,R,T,3,4,services,course,3,yes,no,yes,yes,2
GP,F,U,T,2,1,services,reputation,2,yes,yes,no,yes,4
GP,F,U,A,2,1,other,course,1,yes,no,yes,yes,2
GP,F,U,T,1,1,at_home,course,1,yes,yes,yes,yes,3
GP,F,U,T,2,2,other,course,1,yes,no,yes,yes,4
GP,F,U,A,3,4,services,course,1,no,no,yes,yes,2
GP,M,U,T,2,1,at_home,course,1,no,no,yes,no,2
GP,F,U,A,2,2,other,home,1,no,no,yes,no,3
GP,M,R,T,3,4,at_home,course,2,yes,no,yes,no,3
GP,F,U,T,4,4,services,course,3,yes,yes,yes,yes,3
GP,M,R,T,3,4,at_home,course,2,no,no,yes,no,4
GP,F,R,T,1,1,at_home,course,2,yes,no,yes,no,1
GP,M,U,T,3,1,services,course,1,no,yes,yes,yes,3
GP,F,U,A,3,2,other,course,3,yes,yes,yes,yes,3
GP,F,R,T,1,1,other,reputation,1,yes,yes,yes,no,3
GP,F,U,A,3,3,other,course,1,yes,yes,yes,yes,3
GP,M,U,T,1,1,services,course,2,no,no,yes,no,4
GP,F,U,T,4,4,teacher,course,1,no,yes,yes,yes,3
GP,F,R,T,1,1,other,course,1,no,yes,yes,yes,5
GP,M,U,T,4,3,teacher,course,4,yes,no,yes,yes,2
GP,F,U,A,3,3,services,home,2,no,no,yes,no,3
GP,M,U,T,4,4,services,course,3,yes,yes,yes,yes,3
GP,M,U,T,2,2,services,reputation,1,yes,yes,yes,yes,3
GP,F,U,T,4,4,teacher,course,3,yes,yes,yes,yes,2
GP,F,U,T,1,1,at_home,course,1,no,no,yes,yes,4
GP,M,U,T,2,1,other,home,1,yes,no,yes,yes,4
GP,F,U,T,1,1,other,course,2,yes,no,yes,yes,4
GP,F,U,A,2,1,at_home,home,1,yes,yes,no,yes,4
GP,F,U,T,3,2,health,home,2,yes,no,yes,yes,3
GP,F,U,T,1,2,at_home,course,2,yes,no,yes,yes,3
GP,F,U,T,1,2,at_home,course,2,no,no,yes,no,3
GP,M,U,T,4,4,teacher,course,1,yes,no,no,yes,3
GP,M,U,A,2,1,services,course,1,no,no,yes,yes,5
GP,M,U,T,1,1,other,course,1,no,no,no,yes,3
GP,M,U,T,2,1,at_home,course,1,no,yes,yes,no,4
GP,F,R,T,3,3,services,reputation,3,yes,yes,yes,yes,2
GP,M,U,T,3,2,services,home,1,yes,no,no,yes,5
GP,F,U,T,4,4,other,course,1,yes,no,yes,no,2
GP,M,R,T,2,3,at_home,course,2,no,yes,yes,no,4
GP,M,R,T,1,2,other,reputation,1,no,no,yes,no,2
GP,F,R,T,1,1,at_home,course,1,yes,yes,yes,no,2
GP,M,R,T,2,2,at_home,course,1,no,no,yes,no,2
GP,M,U,T,3,3,other,course,2,yes,no,yes,yes,5
GP,M,U,T,1,2,health,course,1,no,no,yes,yes,4
GP,M,R,T,2,1,at_home,course,1,no,yes,no,yes,3
GP,M,R,T,3,2,other,course,2,yes,no,yes,yes,4
GP,M,U,T,1,2,other,course,1,no,yes,yes,no,4
GP,M,U,T,1,3,at_home,course,1,no,no,no,yes,3
GP,M,R,T,1,1,other,course,2,no,yes,no,no,3
GP,M,U,T,3,2,services,course,1,yes,yes,no,no,5
GP,M,U,T,2,2,other,course,2,no,no,no,yes,3
GP,F,U,T,4,2,health,home,2,no,no,yes,yes,2
GP,F,U,T,2,2,other,home,2,yes,no,yes,yes,1
GP,F,U,T,4,4,health,reputation,2,yes,no,yes,yes,4
GP,M,U,T,3,4,other,course,1,yes,yes,yes,yes,4
GP,M,U,T,1,0,other,reputation,2,yes,yes,yes,yes,3
GP,M,U,T,4,4,teacher,reputation,2,yes,yes,yes,yes,4
GP,F,U,T,1,3,at_home,home,2,no,yes,yes,yes,3
GP,F,U,T,3,3,other,reputation,2,yes,yes,yes,yes,4
GP,M,U,T,4,3,teacher,course,2,no,yes,yes,yes,4
GP,F,U,T,2,2,services,reputation,2,no,yes,yes,yes,4
GP,M,U,T,3,3,other,reputation,2,no,yes,yes,yes,3
GP,M,R,T,4,2,teacher,other,1,yes,yes,yes,yes,3
GP,M,U,T,4,3,other,course,2,yes,yes,yes,yes,2
GP,M,U,T,4,3,teacher,home,2,yes,yes,yes,yes,4
GP,M,U,T,3,3,services,home,2,no,yes,yes,yes,2
GP,F,U,T,2,4,services,reputation,2,yes,yes,yes,no,4
GP,F,U,T,3,3,other,reputation,2,yes,yes,yes,yes,3
GP,F,U,T,3,2,other,reputation,2,yes,no,yes,yes,2
GP,M,U,T,3,3,services,other,2,yes,yes,yes,yes,3
GP,M,U,T,1,2,services,other,1,yes,yes,yes,yes,3
GP,M,U,T,2,1,other,course,2,no,yes,yes,yes,2
GP,F,U,A,3,3,health,reputation,2,yes,no,yes,yes,3
GP,M,R,T,1,2,at_home,home,2,no,no,yes,no,1
GP,F,U,T,2,3,services,course,2,no,no,yes,yes,3
GP,F,U,T,1,1,at_home,course,2,no,yes,yes,yes,3
GP,M,U,T,1,2,at_home,other,2,no,yes,yes,yes,4
GP,M,R,T,3,3,services,reputation,1,yes,yes,yes,yes,3
GP,M,U,T,2,3,other,home,1,no,no,yes,yes,3
GP,F,U,T,2,4,services,course,2,no,yes,yes,yes,3
GP,M,U,T,4,4,services,home,1,no,no,yes,yes,2
GP,M,R,T,3,3,teacher,home,1,yes,yes,yes,yes,3
GP,F,U,T,4,4,services,home,1,yes,no,yes,yes,2
GP,F,U,T,4,4,teacher,reputation,2,yes,no,yes,yes,5
GP,F,U,T,4,3,health,home,2,yes,yes,yes,yes,3
GP,F,U,T,2,3,other,reputation,2,yes,yes,yes,no,4
GP,F,U,T,1,1,other,course,2,yes,no,yes,no,4
GP,F,R,T,2,2,other,reputation,1,yes,no,yes,yes,3
GP,F,R,T,2,2,services,reputation,4,yes,yes,yes,yes,3
GP,F,U,T,3,4,at_home,home,3,yes,no,yes,yes,4
GP,F,U,A,3,1,services,course,2,yes,no,yes,yes,3
GP,F,U,T,4,3,teacher,other,2,no,yes,yes,yes,3
GP,F,U,T,1,1,at_home,home,1,yes,no,yes,no,3
GP,F,R,T,4,3,teacher,reputation,3,yes,yes,yes,yes,4
GP,F,U,T,3,3,other,reputation,4,yes,yes,yes,yes,3
GP,M,U,T,4,4,services,home,2,yes,no,yes,yes,3
GP,F,U,A,2,2,other,reputation,2,yes,no,yes,yes,3
GP,M,U,T,2,2,services,home,2,yes,yes,yes,yes,4
GP,F,R,T,4,4,services,other,1,yes,no,yes,no,2
GP,F,U,T,3,2,other,reputation,2,no,no,yes,yes,4
GP,F,U,T,4,3,other,reputation,2,no,no,yes,yes,4
GP,M,U,T,3,3,services,home,2,yes,no,yes,yes,2
GP,F,U,T,2,3,at_home,home,1,yes,no,yes,no,3
GP,F,U,T,2,2,at_home,course,3,yes,yes,yes,yes,3
GP,F,R,T,2,1,at_home,reputation,2,yes,yes,yes,yes,2
GP,F,U,T,1,1,at_home,reputation,3,yes,yes,yes,no,3
GP,F,U,T,2,3,services,other,2,no,no,yes,yes,3
GP,M,U,T,2,2,other,home,2,yes,no,yes,yes,3
GP,F,U,T,4,4,teacher,home,3,yes,yes,yes,yes,3
GP,F,R,T,3,1,other,reputation,2,no,yes,yes,yes,3
GP,F,U,T,3,2,other,course,2,no,yes,yes,yes,3
GP,M,U,T,2,3,services,reputation,2,yes,no,yes,yes,3
GP,M,U,T,2,1,at_home,course,2,yes,yes,yes,yes,3
GP,F,U,A,2,1,other,course,3,no,yes,yes,yes,2
GP,F,U,T,4,3,health,reputation,2,no,yes,yes,yes,2
GP,M,R,T,2,2,other,course,2,yes,yes,yes,yes,5
GP,M,U,T,4,4,teacher,reputation,2,yes,yes,yes,yes,5
GP,M,U,T,4,4,health,reputation,2,yes,yes,yes,yes,2
GP,M,U,T,1,1,other,home,2,yes,no,yes,yes,4
GP,M,U,T,3,2,at_home,reputation,3,no,yes,yes,yes,3
GP,M,U,T,2,2,other,home,2,no,yes,yes,yes,4
GP,F,U,T,2,1,other,home,1,no,no,yes,yes,5
GP,F,U,A,4,1,other,home,2,no,yes,yes,yes,3
GP,F,U,A,2,4,services,course,2,yes,no,yes,yes,3
GP,F,U,T,2,2,at_home,course,2,yes,no,yes,yes,3
GP,F,U,T,3,3,other,course,1,no,no,no,yes,1
GP,M,U,T,2,2,other,course,1,yes,yes,no,yes,4
GP,M,U,T,4,4,teacher,course,1,yes,yes,yes,yes,2
GP,F,U,T,3,2,other,course,2,no,yes,yes,no,4
GP,F,U,T,1,1,at_home,course,3,yes,yes,yes,yes,3
GP,F,U,T,1,2,other,course,1,no,no,no,yes,3
GP,F,R,T,2,1,at_home,course,2,no,yes,yes,no,1
GP,F,R,A,1,4,other,course,1,yes,no,yes,yes,5
GP,M,U,T,2,2,other,reputation,2,no,no,no,yes,5
GP,F,U,A,2,2,other,home,1,yes,no,no,yes,1
GP,F,R,T,1,1,at_home,course,3,no,yes,yes,yes,3
GP,F,U,A,4,2,teacher,course,2,yes,yes,yes,no,3
GP,M,U,T,4,3,health,course,2,no,yes,yes,yes,5
GP,M,R,A,4,4,teacher,course,2,yes,no,yes,yes,3
GP,M,U,T,4,3,teacher,course,1,no,yes,yes,yes,4
GP,M,U,T,4,4,services,course,1,no,yes,yes,yes,3
GP,F,U,T,4,4,teacher,course,2,yes,no,yes,yes,3
GP,M,R,T,1,1,other,home,3,no,no,yes,yes,3
GP,F,U,T,3,3,services,home,3,yes,no,yes,yes,2
GP,F,U,T,1,1,at_home,course,2,no,no,yes,no,3
GP,F,U,T,2,1,other,course,3,yes,no,yes,yes,4
GP,M,U,T,2,1,other,course,1,no,no,yes,yes,3
GP,F,U,T,1,1,other,course,2,yes,no,yes,no,3
GP,M,U,T,2,3,other,course,1,no,no,yes,yes,2
GP,M,U,T,3,1,services,other,1,no,no,no,yes,4
GP,M,R,T,3,3,other,course,2,yes,no,yes,yes,3
GP,M,U,T,0,2,other,other,1,no,no,yes,yes,3
GP,M,U,T,3,2,services,course,1,no,no,no,yes,4
GP,M,U,T,3,3,at_home,reputation,2,yes,no,yes,yes,3
GP,M,U,T,2,1,services,other,1,no,no,no,yes,2
GP,M,R,T,2,1,other,course,1,no,yes,yes,no,3
GP,M,R,T,2,1,other,course,1,no,no,yes,yes,4
GP,M,U,T,1,1,health,course,1,yes,yes,yes,yes,4
GP,F,U,A,2,1,other,course,2,yes,no,yes,yes,3
GP,F,U,T,4,2,teacher,reputation,4,yes,yes,yes,yes,2
GP,F,U,T,2,2,services,home,2,yes,no,yes,yes,3
GP,M,U,T,2,1,services,course,2,no,yes,no,yes,4
GP,F,R,T,4,2,other,course,3,yes,yes,yes,yes,3
GP,F,U,T,1,1,other,home,3,yes,no,yes,no,4
GP,F,R,T,2,2,other,home,2,no,no,yes,no,2
GP,M,U,A,4,3,services,reputation,2,yes,no,yes,yes,3
GP,M,U,T,2,1,other,home,2,no,yes,yes,yes,2
GP,M,R,T,2,2,other,other,1,no,no,no,no,2
GP,F,U,T,2,2,services,course,4,no,yes,yes,yes,4
GP,F,R,T,2,1,other,course,2,yes,yes,no,yes,2
GP,F,U,T,4,3,services,home,2,yes,no,yes,yes,1
GP,M,U,T,4,3,teacher,course,2,yes,no,yes,yes,3
GP,M,R,T,3,2,other,course,3,no,yes,yes,no,3
GP,F,U,T,3,3,other,home,3,no,yes,yes,no,2
GP,F,U,T,2,2,at_home,home,3,yes,yes,yes,yes,3
GP,M,U,T,2,2,other,home,1,no,no,no,yes,4
GP,M,R,A,3,4,other,reputation,2,yes,yes,yes,yes,2
GP,M,U,T,3,1,services,other,2,no,yes,yes,yes,4
GP,F,R,T,4,4,teacher,reputation,2,no,yes,yes,yes,3
GP,M,U,T,4,2,health,reputation,2,yes,yes,yes,yes,4
GP,F,R,T,2,1,other,reputation,2,yes,no,no,yes,3
GP,F,U,T,3,3,other,home,2,yes,yes,yes,yes,3
GP,F,U,T,2,3,other,reputation,4,yes,yes,yes,yes,5
GP,F,U,T,1,1,other,home,2,yes,no,yes,no,4
GP,M,R,T,1,2,at_home,home,2,yes,yes,yes,no,5
GP,F,U,T,2,1,other,home,2,yes,no,yes,yes,2
GP,F,U,T,2,4,at_home,reputation,2,yes,no,yes,yes,3
GP,F,U,T,2,2,services,course,2,yes,no,yes,yes,4
GP,F,R,A,3,2,other,home,2,no,no,no,yes,1
GP,M,U,T,4,4,teacher,home,1,no,yes,yes,yes,2
GP,F,U,T,4,4,health,reputation,2,yes,yes,yes,yes,4
GP,F,U,T,2,2,other,reputation,3,yes,no,yes,yes,2
GP,F,R,T,3,2,services,reputation,2,yes,no,no,yes,3
GP,M,U,T,4,3,teacher,course,1,no,yes,yes,yes,2
GP,M,U,T,1,2,at_home,home,1,no,no,no,yes,4
GP,M,U,A,4,1,services,home,1,no,yes,yes,yes,5
GP,M,U,A,3,2,teacher,home,1,no,no,yes,yes,4
GP,F,R,T,1,1,at_home,reputation,4,yes,yes,yes,no,2
GP,F,U,T,1,1,other,home,2,no,yes,yes,yes,4
GP,F,U,T,2,2,other,course,2,yes,no,yes,yes,4
GP,F,U,T,2,1,other,reputation,2,no,yes,yes,yes,3
GP,M,U,T,1,1,other,reputation,2,no,no,yes,yes,3
GP,F,U,T,2,2,at_home,other,3,yes,no,yes,yes,3
GP,F,U,T,1,1,services,reputation,3,yes,no,yes,yes,3
GP,M,U,T,2,1,services,reputation,3,no,yes,yes,yes,2
GP,M,U,A,4,4,teacher,reputation,2,yes,yes,yes,yes,4
GP,M,U,T,4,2,teacher,home,2,yes,yes,yes,yes,3
GP,F,U,T,4,3,health,reputation,3,yes,no,yes,yes,2
GP,F,R,T,3,1,services,reputation,4,yes,no,yes,no,1
GP,M,R,T,3,2,services,reputation,3,yes,yes,yes,yes,4
GP,M,U,T,3,3,health,home,1,yes,no,yes,yes,4
GP,F,U,T,4,4,health,reputation,2,yes,yes,yes,yes,3
GP,F,U,T,4,3,other,home,2,yes,no,yes,yes,4
GP,F,U,T,4,3,other,reputation,4,yes,no,yes,yes,3
GP,M,U,T,4,4,teacher,home,1,yes,no,yes,yes,4
GP,F,U,A,4,4,health,home,2,yes,no,yes,yes,2
GP,M,U,T,4,4,other,home,1,no,no,yes,yes,1
GP,F,R,T,4,4,services,reputation,3,yes,yes,yes,yes,3
GP,F,U,T,4,2,other,reputation,3,yes,no,yes,yes,3
GP,F,U,T,3,2,health,reputation,4,yes,yes,yes,yes,2
GP,M,R,T,2,1,at_home,course,3,no,yes,yes,yes,3
GP,M,U,A,3,2,services,course,1,no,yes,yes,no,5
GP,M,R,T,3,3,other,reputation,2,no,yes,yes,no,5
GP,F,U,T,1,4,other,home,2,yes,no,yes,no,4
GP,F,U,T,2,1,services,course,2,yes,yes,yes,yes,3
GP,F,U,T,2,3,other,course,2,no,yes,yes,yes,2
GP,F,R,T,4,4,teacher,course,1,no,yes,yes,yes,4
GP,F,U,T,4,3,other,course,3,yes,yes,yes,yes,3
GP,F,U,T,4,3,health,course,1,yes,no,yes,yes,2
GP,F,R,T,3,4,at_home,course,3,yes,yes,yes,yes,3
GP,F,U,T,3,3,at_home,course,2,yes,no,yes,yes,1
GP,M,U,T,4,2,health,course,2,yes,yes,yes,yes,4
GP,F,U,T,4,4,teacher,course,2,yes,no,yes,yes,4
GP,F,U,T,3,4,other,course,1,yes,yes,yes,yes,4
GP,F,U,T,4,4,health,course,1,no,yes,yes,yes,3
GP,F,U,A,4,3,services,course,2,yes,no,yes,yes,2
GP,F,U,A,3,3,services,home,2,yes,no,yes,yes,3
GP,F,U,T,2,1,other,home,2,no,yes,yes,yes,2
GP,M,U,T,4,4,other,reputation,1,yes,no,yes,yes,2
GP,F,U,T,1,1,other,course,3,no,yes,no,no,5
GP,F,U,A,1,1,other,course,2,yes,no,yes,yes,3
GP,F,U,T,2,2,other,course,1,yes,yes,yes,yes,3
GP,F,U,T,2,2,other,course,2,yes,no,yes,no,2
GP,F,R,T,2,2,services,course,3,yes,yes,yes,yes,3
GP,F,U,T,3,1,services,course,3,yes,no,yes,yes,4
GP,F,U,T,0,2,at_home,home,3,no,no,yes,yes,3
GP,F,U,T,1,1,other,home,3,no,yes,yes,yes,5
GP,M,U,T,4,4,other,course,3,no,yes,yes,yes,3
GP,M,U,T,3,3,other,reputation,1,no,yes,yes,yes,3
GP,M,R,T,2,2,services,course,1,yes,no,yes,yes,4
GP,F,U,T,4,4,teacher,course,3,yes,yes,yes,yes,4
GP,F,U,T,4,4,teacher,course,3,yes,no,yes,yes,3
GP,F,U,T,3,3,at_home,course,1,yes,yes,yes,yes,2
GP,M,U,T,2,2,other,course,4,yes,yes,yes,yes,5
GP,M,R,T,3,2,at_home,home,1,yes,no,yes,no,3
GP,F,U,T,2,2,at_home,course,2,no,yes,yes,no,2
GP,F,R,T,2,4,at_home,course,3,yes,no,yes,yes,4
GP,M,U,T,2,2,other,reputation,1,no,no,yes,yes,4
GP,F,U,T,3,3,services,home,2,no,yes,yes,yes,3
GP,F,U,T,2,2,other,home,2,no,yes,yes,yes,3
GP,F,R,T,2,2,at_home,course,4,no,yes,yes,no,4
GP,F,U,T,3,4,services,course,3,no,no,yes,yes,4
GP,F,U,T,3,2,other,home,2,yes,no,yes,yes,3
GP,F,U,T,3,3,services,home,4,yes,no,yes,yes,3
GP,F,R,A,3,2,other,home,2,yes,no,yes,yes,3
GP,M,U,T,4,4,teacher,home,2,yes,yes,yes,yes,3
GP,M,U,T,3,4,services,home,2,no,yes,yes,yes,3
GP,F,U,A,2,2,at_home,home,2,yes,no,yes,yes,3
GP,F,U,T,2,3,at_home,course,3,yes,no,yes,yes,3
GP,F,U,T,3,2,other,other,3,no,no,yes,yes,4
GP,M,R,T,4,3,teacher,course,3,no,no,yes,yes,3
GP,M,U,T,4,3,teacher,course,3,yes,no,yes,yes,4
GP,F,U,T,4,3,health,reputation,3,yes,yes,yes,yes,4
GP,F,U,T,2,1,services,course,2,yes,yes,yes,yes,3
GP,F,U,T,2,1,services,reputation,2,yes,yes,yes,yes,3
GP,F,U,A,2,3,at_home,home,1,no,no,no,yes,2
GP,F,U,T,3,1,other,home,1,yes,no,yes,yes,1
GP,F,U,T,4,4,other,reputation,3,no,yes,yes,yes,3
GP,M,U,T,2,2,services,reputation,2,yes,yes,no,yes,4
GP,M,U,A,3,4,other,reputation,2,no,yes,yes,yes,3
GP,F,U,T,2,2,services,reputation,2,yes,yes,yes,yes,3
GP,M,U,A,4,4,health,reputation,3,yes,no,yes,yes,4
GP,F,U,T,4,2,teacher,course,2,yes,yes,yes,yes,2
GP,M,R,T,1,1,at_home,course,2,yes,yes,no,yes,3
GP,F,R,T,1,1,other,reputation,3,no,no,yes,yes,2
GP,F,U,T,4,4,teacher,home,1,yes,no,yes,yes,2
GP,M,U,A,3,2,other,reputation,2,yes,no,yes,yes,4
GP,F,U,T,3,2,at_home,reputation,3,yes,no,yes,yes,3
GP,M,R,T,2,3,other,reputation,1,no,no,yes,yes,1
GP,M,U,T,2,1,other,reputation,1,no,no,yes,yes,3
GP,F,U,A,2,2,services,reputation,2,yes,no,yes,yes,1
GP,F,U,T,1,0,other,reputation,1,no,no,yes,yes,3
