A,D,E,F,G,H,I,J,K,M,N,O,R,U,V,Y
GP,U,GT3,T,3,1,other,other,reputation,1,1,0,no,yes,no,3
GP,U,GT3,T,3,3,other,services,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,3,teacher,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,0,teacher,other,course,2,4,0,no,yes,yes,4
GP,U,GT3,T,2,2,other,other,reputation,1,4,0,no,yes,yes,2
GP,U,GT3,T,2,1,other,other,home,2,1,3,no,no,yes,5
GP,U,GT3,T,3,4,at_home,other,course,1,2,0,no,yes,yes,4
GP,U,GT3,T,2,3,other,services,course,1,1,0,no,yes,yes,2
GP,U,GT3,T,2,3,other,other,home,1,3,0,no,yes,yes,3
GP,U,LE3,T,3,2,services,other,reputation,1,2,0,no,yes,yes,4
GP,U,LE3,T,2,2,services,services,home,2,2,0,yes,yes,yes,3
GP,U,GT3,T,1,1,other,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,4,services,services,reputation,2,2,0,no,yes,yes,4
GP,U,LE3,T,2,2,at_home,other,course,1,2,0,no,yes,no,3
GP,U,GT3,T,4,2,other,other,reputation,1,3,0,no,yes,yes,3
GP,U,GT3,T,2,2,services,other,reputation,2,2,0,no,yes,yes,4
GP,U,LE3,A,4,4,teacher,health,reputation,1,2,0,no,yes,no,1
GP,U,GT3,T,3,3,other,other,home,1,3,0,no,yes,yes,3
GP,U,GT3,T,4,3,services,other,reputation,1,1,0,no,yes,yes,5
GP,U,LE3,T,3,1,other,other,home,1,2,0,no,yes,no,3
GP,U,GT3,T,4,2,teacher,services,home,2,2,0,no,yes,yes,3
GP,U,LE3,T,2,2,services,health,reputation,1,4,0,no,yes,yes,3
GP,R,GT3,T,1,1,at_home,other,home,2,4,0,yes,yes,yes,1
GP,R,GT3,T,4,3,services,other,reputation,2,1,0,yes,yes,yes,3
GP,U,GT3,T,2,1,other,other,course,1,2,0,no,yes,no,3
GP,U,GT3,T,4,4,other,other,reputation,1,1,0,no,yes,yes,3
GP,U,GT3,T,4,3,other,at_home,course,1,3,0,no,yes,yes,3
GP,U,GT3,T,4,4,services,services,other,1,1,0,no,yes,yes,5
GP,U,GT3,T,4,4,services,teacher,other,1,3,0,no,yes,yes,4
GP,U,GT3,T,4,4,services,other,course,1,1,0,yes,yes,yes,3
GP,U,GT3,T,3,2,services,other,home,2,2,0,no,yes,yes,3
GP,U,GT3,A,3,4,services,other,course,1,2,0,no,yes,yes,4
GP,U,GT3,A,3,3,other,health,reputation,1,4,0,no,yes,no,3
GP,U,GT3,T,2,2,other,other,course,1,4,0,no,yes,yes,1
GP,U,GT3,T,3,3,services,other,home,1,3,0,no,yes,yes,3
GP,R,GT3,T,4,4,other,other,home,4,4,0,no,yes,yes,3
GP,U,LE3,T,4,4,health,health,other,1,3,0,no,yes,yes,4
GP,U,LE3,A,4,4,teacher,teacher,course,1,1,0,no,yes,yes,5
GP,R,GT3,T,3,3,services,other,reputation,1,3,0,no,yes,yes,1
GP,U,GT3,T,2,2,at_home,other,home,1,2,1,no,yes,yes,1
GP,U,LE3,T,4,2,teacher,other,course,1,1,0,no,yes,yes,5
GP,R,GT3,T,2,1,health,services,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,4,4,teacher,teacher,course,1,2,0,no,yes,yes,4
GP,U,GT3,T,4,4,other,teacher,reputation,2,2,0,no,yes,no,4
GP,U,GT3,T,3,3,other,services,home,2,1,0,no,yes,yes,4
GP,R,GT3,T,1,3,other,other,course,3,2,1,no,yes,yes,2
GP,U,GT3,T,3,4,other,other,reputation,1,1,0,no,yes,yes,4
GP,U,GT3,T,1,2,at_home,services,course,1,2,0,no,yes,yes,2
GP,U,GT3,T,2,2,services,services,home,1,4,0,no,yes,yes,5
GP,U,LE3,T,2,4,other,health,course,2,2,0,no,yes,yes,2
GP,U,GT3,T,4,4,health,other,course,1,1,0,no,yes,yes,4
GP,U,GT3,T,2,2,other,other,home,1,2,0,no,yes,yes,4
GP,U,GT3,T,3,4,services,services,home,1,1,0,no,yes,yes,5
GP,U,LE3,A,3,4,other,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,0,1,at_home,other,course,1,2,2,no,no,no,4
GP,R,GT3,T,4,4,teacher,teacher,course,1,1,0,no,yes,yes,5
GP,U,GT3,T,2,3,other,other,course,2,3,0,no,yes,yes,2
GP,R,GT3,T,3,4,services,teacher,course,2,3,0,no,yes,yes,2
GP,U,GT3,T,2,1,services,other,reputation,1,2,3,no,no,yes,4
GP,U,LE3,A,2,1,other,other,course,3,1,0,no,yes,yes,2
GP,U,GT3,T,1,1,at_home,other,course,3,1,0,no,yes,yes,3
GP,U,LE3,T,2,2,other,other,course,1,1,0,no,yes,yes,4
GP,U,GT3,A,3,4,services,other,course,1,1,0,no,yes,yes,2
GP,U,GT3,T,2,1,at_home,other,course,4,1,0,no,yes,no,2
GP,U,GT3,A,2,2,other,other,home,1,1,1,no,yes,no,3
GP,R,GT3,T,3,4,at_home,teacher,course,4,2,0,no,yes,no,3
GP,U,GT3,T,4,4,services,at_home,course,1,3,0,no,yes,yes,3
GP,R,GT3,T,3,4,at_home,other,course,3,2,0,no,yes,no,4
GP,R,GT3,T,1,1,at_home,other,course,4,2,0,no,yes,no,1
GP,U,LE3,T,3,1,services,services,course,2,1,0,no,yes,yes,3
GP,U,GT3,A,3,2,other,services,course,1,3,0,no,yes,yes,3
GP,R,GT3,T,1,1,other,services,reputation,2,1,0,no,yes,no,3
GP,U,GT3,A,3,3,other,other,course,2,1,0,no,yes,yes,3
GP,U,LE3,T,1,1,services,other,course,1,2,2,no,yes,no,4
GP,U,GT3,T,4,4,teacher,teacher,course,2,1,0,no,yes,yes,3
GP,R,GT3,T,1,1,other,other,course,3,1,1,no,yes,yes,5
GP,U,GT3,T,4,3,teacher,services,course,2,4,0,no,yes,yes,2
GP,U,GT3,A,3,3,services,services,home,1,2,0,no,yes,no,3
GP,U,GT3,T,4,4,services,services,course,1,3,0,no,yes,yes,3
GP,U,LE3,T,2,2,services,services,reputation,2,1,0,no,yes,yes,3
GP,U,GT3,T,4,4,teacher,services,course,1,3,0,no,yes,yes,2
GP,U,LE3,T,1,1,at_home,at_home,course,1,1,0,no,yes,yes,4
GP,U,GT3,T,2,1,other,other,home,1,1,0,no,yes,yes,4
GP,U,GT3,T,1,1,other,services,course,1,2,0,no,yes,yes,4
GP,U,LE3,A,2,1,at_home,other,home,2,1,0,no,no,yes,4
GP,U,GT3,T,3,2,health,services,home,1,2,1,no,yes,yes,3
GP,U,GT3,T,1,2,at_home,other,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,1,2,at_home,services,course,1,2,0,no,yes,no,3
GP,U,GT3,T,4,4,teacher,teacher,course,1,1,0,no,no,yes,3
GP,U,LE3,A,2,1,services,other,course,4,1,0,no,yes,yes,5
GP,U,LE3,T,1,1,other,other,course,1,1,2,no,no,yes,3
GP,U,LE3,T,2,1,at_home,other,course,1,1,1,no,yes,no,4
GP,R,GT3,T,3,3,services,services,reputation,2,3,0,yes,yes,yes,2
GP,U,GT3,T,3,2,services,at_home,home,1,1,0,no,no,yes,5
GP,U,GT3,T,4,4,other,teacher,course,1,1,0,no,yes,no,2
GP,R,GT3,T,2,3,at_home,services,course,1,2,0,yes,yes,no,4
GP,R,LE3,T,1,2,other,other,reputation,1,1,3,no,yes,no,2
GP,R,GT3,T,1,1,at_home,other,course,3,1,3,no,yes,no,2
GP,R,GT3,T,2,2,at_home,other,course,3,1,0,no,yes,no,2
GP,U,GT3,T,3,3,other,services,course,1,2,1,no,yes,yes,5
GP,U,LE3,T,1,2,health,services,course,2,1,2,no,yes,yes,4
GP,R,LE3,T,2,1,at_home,other,course,2,1,1,yes,no,yes,3
GP,R,GT3,T,3,2,other,other,course,2,2,2,no,yes,yes,4
GP,U,LE3,T,1,2,other,other,course,2,1,0,no,yes,no,4
GP,U,GT3,T,1,3,at_home,services,course,1,1,1,no,no,yes,3
GP,R,LE3,T,1,1,other,services,course,4,2,0,no,no,no,3
GP,U,GT3,T,3,2,services,services,course,2,1,3,no,no,no,5
GP,U,GT3,T,2,2,other,other,course,1,2,0,no,no,yes,3
GP,U,GT3,T,4,2,health,services,home,1,2,0,no,yes,yes,2
GP,U,GT3,T,2,2,other,other,home,1,2,0,no,yes,yes,1
GP,U,GT3,T,4,4,health,health,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,3,4,other,other,course,3,1,1,no,yes,yes,4
GP,U,GT3,T,1,0,other,other,reputation,2,2,0,no,yes,yes,3
GP,U,LE3,T,4,4,teacher,other,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,1,3,at_home,services,home,1,2,0,no,yes,yes,3
GP,U,LE3,T,3,3,other,other,reputation,2,2,0,no,yes,yes,4
GP,U,LE3,T,4,3,teacher,other,course,2,2,0,no,yes,yes,4
GP,U,GT3,T,2,2,services,other,reputation,2,2,0,no,yes,yes,4
GP,U,GT3,T,3,3,other,other,reputation,1,2,0,no,yes,yes,3
GP,R,GT3,T,4,2,teacher,services,other,1,1,0,no,yes,yes,3
GP,U,GT3,T,4,3,other,other,course,1,2,0,yes,yes,yes,2
GP,U,GT3,T,4,3,teacher,other,home,1,2,0,yes,yes,yes,4
GP,U,GT3,T,3,3,services,other,home,1,2,0,no,yes,yes,2
GP,U,GT3,T,2,4,services,services,reputation,1,2,0,no,yes,no,4
GP,U,LE3,T,3,3,other,other,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,3,2,other,other,reputation,1,2,0,no,yes,yes,2
GP,U,GT3,T,3,3,services,services,other,1,2,0,no,yes,yes,3
GP,U,GT3,T,1,2,services,services,other,1,1,0,no,yes,yes,3
GP,U,LE3,T,2,1,other,other,course,1,2,0,no,yes,yes,2
GP,U,GT3,A,3,3,health,other,reputation,1,2,0,no,yes,yes,3
GP,R,GT3,T,1,2,at_home,other,home,1,2,0,no,yes,no,1
GP,U,GT3,T,2,3,services,services,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,1,1,at_home,services,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,1,2,at_home,services,other,2,2,0,no,yes,yes,4
GP,R,GT3,T,3,3,services,services,reputation,1,1,0,no,yes,yes,3
GP,U,GT3,T,2,3,other,other,home,2,1,0,no,yes,yes,3
GP,U,LE3,T,2,4,services,services,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,4,services,teacher,home,1,1,0,no,yes,yes,2
GP,R,LE3,T,3,3,teacher,other,home,3,1,0,no,yes,yes,3
GP,U,GT3,T,4,4,services,teacher,home,2,1,1,no,yes,yes,2
GP,U,LE3,T,4,4,teacher,teacher,reputation,1,2,0,no,yes,yes,5
GP,U,GT3,T,4,3,health,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,3,other,other,reputation,1,2,0,no,yes,no,4
GP,U,GT3,T,1,1,other,other,course,1,2,0,no,yes,no,4
GP,R,GT3,T,2,2,other,other,reputation,1,1,0,no,yes,yes,3
GP,R,GT3,T,2,2,services,services,reputation,2,4,0,no,yes,yes,3
GP,U,GT3,T,3,4,at_home,services,home,1,3,1,yes,yes,yes,4
GP,U,GT3,A,3,1,services,other,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,3,teacher,other,other,1,2,0,no,yes,yes,3
GP,U,GT3,T,1,1,at_home,other,home,2,1,0,no,yes,no,3
GP,R,GT3,T,4,3,teacher,other,reputation,2,3,0,no,yes,yes,4
GP,U,GT3,T,3,3,other,other,reputation,1,4,0,no,yes,yes,3
GP,U,LE3,T,4,4,services,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,A,2,2,other,other,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,2,services,other,home,1,2,0,no,yes,yes,4
GP,R,LE3,T,4,4,services,other,other,1,1,0,no,yes,no,2
GP,U,LE3,T,3,2,other,other,reputation,2,2,0,no,yes,yes,4
GP,U,GT3,T,4,3,other,other,reputation,1,2,0,no,yes,yes,4
GP,U,LE3,T,3,3,services,health,home,1,2,0,no,yes,yes,2
GP,U,GT3,T,2,3,at_home,other,home,2,1,0,no,yes,no,3
GP,U,GT3,T,2,2,at_home,at_home,course,1,3,0,no,yes,yes,3
GP,R,GT3,T,2,1,at_home,services,reputation,2,2,0,no,yes,yes,2
GP,U,GT3,T,1,1,at_home,other,reputation,1,3,0,no,yes,no,3
GP,U,GT3,T,2,3,services,teacher,other,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,2,other,other,home,2,2,3,yes,yes,yes,3
GP,U,GT3,T,4,4,teacher,services,home,1,3,0,no,yes,yes,3
GP,R,GT3,T,3,1,other,other,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,3,2,other,other,course,1,2,0,no,yes,yes,3
GP,U,LE3,T,2,3,services,services,reputation,1,2,0,no,yes,yes,3
GP,U,LE3,T,2,1,at_home,other,course,4,2,0,no,yes,yes,3
GP,U,GT3,A,2,1,other,other,course,2,3,0,no,yes,yes,2
GP,U,LE3,T,4,3,health,other,reputation,1,2,0,no,yes,yes,2
GP,R,GT3,T,2,2,other,other,course,2,2,0,no,yes,yes,5
GP,U,GT3,T,4,4,teacher,teacher,reputation,1,2,0,no,yes,yes,5
GP,U,GT3,T,4,4,health,other,reputation,1,2,0,no,yes,yes,2
GP,U,LE3,T,1,1,other,other,home,2,2,0,no,yes,yes,4
GP,U,GT3,T,3,2,at_home,other,reputation,2,3,0,no,yes,yes,3
GP,U,LE3,T,2,2,other,other,home,1,2,0,no,yes,yes,4
GP,U,GT3,T,2,1,other,other,home,1,1,0,no,yes,yes,5
GP,U,GT3,A,4,1,other,other,home,1,2,0,no,yes,yes,3
GP,U,LE3,A,2,4,services,other,course,2,2,1,no,yes,yes,3
GP,U,LE3,T,2,2,at_home,services,course,1,2,1,no,yes,yes,3
GP,U,GT3,T,3,3,other,other,course,2,1,1,no,no,yes,1
GP,U,GT3,T,2,2,other,at_home,course,1,1,1,no,no,yes,4
GP,U,GT3,T,4,4,teacher,teacher,course,1,1,0,no,yes,yes,2
GP,U,GT3,T,3,2,other,other,course,1,2,0,no,yes,no,4
GP,U,LE3,T,1,1,at_home,at_home,course,1,3,0,no,yes,yes,3
GP,U,GT3,T,1,2,other,other,course,1,1,0,no,no,yes,3
GP,R,GT3,T,2,1,at_home,services,course,3,2,0,no,yes,no,1
GP,R,LE3,A,1,4,other,other,course,4,1,1,no,yes,yes,5
GP,U,GT3,T,2,2,other,services,reputation,1,2,0,no,no,yes,5
GP,U,LE3,A,2,2,other,other,home,1,1,1,no,no,yes,1
GP,R,LE3,T,1,1,at_home,other,course,2,3,0,no,yes,yes,3
GP,U,LE3,A,4,2,teacher,other,course,1,2,0,no,yes,no,3
GP,U,LE3,T,4,3,health,other,course,2,2,0,no,yes,yes,5
GP,R,LE3,A,4,4,teacher,other,course,2,2,0,no,yes,yes,3
GP,U,LE3,T,4,3,teacher,other,course,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,4,services,services,course,1,1,0,yes,yes,yes,3
GP,U,GT3,T,4,4,teacher,services,course,1,2,0,yes,yes,yes,3
GP,R,GT3,T,1,1,other,other,home,2,3,0,no,yes,yes,3
GP,U,GT3,T,3,3,services,other,home,2,3,0,no,yes,yes,2
GP,U,GT3,T,1,1,at_home,other,course,1,2,0,no,yes,no,3
GP,U,GT3,T,2,1,other,other,course,2,3,0,no,yes,yes,4
GP,U,GT3,T,2,1,other,other,course,3,1,0,no,yes,yes,3
GP,U,GT3,T,1,1,other,services,course,1,2,0,no,yes,no,3
GP,U,GT3,T,2,3,other,other,course,2,1,0,no,yes,yes,2
GP,U,GT3,T,3,1,services,services,other,1,1,3,no,no,yes,4
GP,R,LE3,T,3,3,other,services,course,1,2,0,no,yes,yes,3
GP,U,GT3,T,0,2,other,other,other,1,1,0,no,yes,yes,3
GP,U,GT3,T,3,2,services,other,course,2,1,0,no,no,yes,4
GP,U,GT3,T,3,3,at_home,other,reputation,3,2,1,no,yes,yes,3
GP,U,GT3,T,2,1,services,services,other,1,1,2,no,no,yes,2
GP,R,GT3,T,2,1,other,other,course,2,1,0,no,yes,no,3
GP,R,GT3,T,2,1,other,other,course,1,1,0,no,yes,yes,4
GP,U,LE3,T,1,1,health,other,course,2,1,1,no,yes,yes,4
GP,U,LE3,A,2,1,other,other,course,1,2,0,no,yes,yes,3
GP,U,LE3,T,4,2,teacher,services,reputation,1,4,0,no,yes,yes,2
GP,U,GT3,T,2,2,services,services,home,1,2,0,no,yes,yes,3
GP,U,LE3,T,2,1,services,other,course,3,2,1,no,no,yes,4
GP,R,GT3,T,4,2,other,other,course,1,3,0,no,yes,yes,3
GP,U,LE3,T,1,1,other,at_home,home,1,3,0,no,yes,no,4
GP,R,GT3,T,2,2,other,other,home,1,2,0,no,yes,no,2
GP,U,LE3,A,4,3,services,at_home,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,1,other,other,home,1,2,0,no,yes,yes,2
GP,R,GT3,T,2,2,other,services,other,2,1,0,no,no,no,2
GP,U,LE3,T,2,2,services,services,course,1,4,0,no,yes,yes,4
GP,R,GT3,T,2,1,other,other,course,2,2,0,yes,no,yes,2
GP,U,GT3,T,4,3,services,other,home,1,2,0,no,yes,yes,1
GP,U,GT3,T,4,3,teacher,other,course,1,2,0,no,yes,yes,3
GP,R,GT3,T,3,2,other,other,course,1,3,0,no,yes,no,3
GP,U,GT3,T,3,3,other,other,home,1,3,0,no,yes,no,2
GP,U,GT3,T,2,2,at_home,services,home,1,3,0,no,yes,yes,3
GP,U,GT3,T,2,2,other,other,home,2,1,0,no,no,yes,4
GP,R,LE3,A,3,4,other,other,reputation,2,2,0,no,yes,yes,2
GP,U,GT3,T,3,1,services,other,other,1,2,0,no,yes,yes,4
GP,R,GT3,T,4,4,teacher,other,reputation,2,2,0,no,yes,yes,3
GP,U,GT3,T,4,2,health,other,reputation,1,2,0,no,yes,yes,4
GP,R,GT3,T,2,1,other,other,reputation,2,2,0,no,no,yes,3
GP,U,GT3,T,3,3,other,services,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,3,other,services,reputation,1,4,0,no,yes,yes,5
GP,U,LE3,T,1,1,other,other,home,2,2,0,no,yes,no,4
GP,R,GT3,T,1,2,at_home,at_home,home,1,2,0,no,yes,no,5
GP,U,GT3,T,2,1,other,other,home,1,2,0,no,yes,yes,2
GP,U,GT3,T,2,4,at_home,health,reputation,2,2,0,no,yes,yes,3
GP,U,LE3,T,2,2,services,other,course,2,2,0,no,yes,yes,4
GP,R,GT3,A,3,2,other,services,home,2,2,0,no,no,yes,1
GP,U,GT3,T,4,4,teacher,services,home,2,1,0,no,yes,yes,2
GP,U,GT3,T,4,4,health,health,reputation,1,2,1,no,yes,yes,4
GP,U,GT3,T,2,2,other,services,reputation,3,3,0,no,yes,yes,2
GP,R,GT3,T,3,2,services,services,reputation,1,2,1,no,no,yes,3
GP,U,LE3,T,4,3,teacher,services,course,2,1,0,no,yes,yes,2
GP,U,GT3,T,1,2,at_home,other,home,2,1,0,no,no,yes,4
GP,U,LE3,A,4,1,services,other,home,2,1,0,no,yes,yes,5
GP,U,LE3,A,3,2,teacher,services,home,1,1,0,no,yes,yes,4
GP,R,LE3,T,1,1,at_home,other,reputation,2,4,0,no,yes,no,2
GP,U,GT3,T,1,1,other,other,home,2,2,0,no,yes,yes,4
GP,U,GT3,T,2,2,other,other,course,1,2,0,no,yes,yes,4
GP,U,GT3,T,2,1,other,other,reputation,2,2,0,no,yes,yes,3
GP,U,GT3,T,1,1,other,other,reputation,1,2,0,no,yes,yes,3
GP,U,GT3,T,2,2,at_home,at_home,other,1,3,0,no,yes,yes,3
GP,U,GT3,T,1,1,services,teacher,reputation,1,3,0,no,yes,yes,3
GP,U,GT3,T,2,1,services,services,reputation,1,3,0,no,yes,yes,2
GP,U,LE3,A,4,4,teacher,teacher,reputation,1,2,0,no,yes,yes,4
GP,U,GT3,T,4,2,teacher,other,home,1,2,0,no,yes,yes,3
GP,U,GT3,T,4,3,health,services,reputation,1,3,0,no,yes,yes,2
GP,R,LE3,T,3,1,services,other,reputation,2,4,0,no,yes,no,1
GP,R,LE3,T,3,2,services,other,reputation,2,3,0,no,yes,yes,4
GP,U,GT3,T,3,3,health,other,home,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,4,health,other,reputation,2,2,0,no,yes,yes,3
GP,U,LE3,T,4,3,other,other,home,2,2,0,no,yes,yes,4
GP,U,GT3,T,4,3,other,other,reputation,1,4,0,no,yes,yes,3
GP,U,LE3,T,4,4,teacher,teacher,home,1,1,0,no,yes,yes,4
GP,U,LE3,A,4,4,health,other,home,1,2,0,yes,yes,yes,2
GP,U,LE3,T,4,4,other,teacher,home,2,1,0,no,yes,yes,1
GP,R,GT3,T,4,4,services,services,reputation,2,3,0,no,yes,yes,3
GP,U,GT3,T,4,2,other,other,reputation,2,3,0,no,yes,yes,3
GP,U,GT3,T,3,2,health,health,reputation,1,4,0,no,yes,yes,2
GP,R,LE3,T,2,1,at_home,services,course,2,3,1,no,yes,yes,3
GP,U,GT3,A,3,2,services,other,course,1,1,2,no,yes,no,5
GP,R,GT3,T,3,3,other,services,reputation,1,2,0,no,yes,no,5
GP,U,GT3,T,1,4,other,teacher,home,1,2,0,no,yes,no,4
GP,U,GT3,T,2,1,services,other,course,2,2,0,no,yes,yes,3
GP,U,GT3,T,2,3,other,other,course,2,2,0,no,yes,yes,2
GP,R,GT3,T,4,4,teacher,teacher,course,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,3,other,other,course,1,3,0,no,yes,yes,3
GP,U,LE3,T,4,3,health,services,course,2,1,0,no,yes,yes,2
GP,R,GT3,T,3,4,at_home,services,course,1,3,0,no,yes,yes,3
GP,U,GT3,T,3,3,at_home,other,course,1,2,0,no,yes,yes,1
GP,U,GT3,T,4,2,health,other,course,2,2,0,no,yes,yes,4
GP,U,GT3,T,4,4,teacher,other,course,1,2,0,no,yes,yes,4
GP,U,GT3,T,3,4,other,other,course,1,1,0,no,yes,yes,4
GP,U,GT3,T,4,4,health,health,course,1,1,0,no,yes,yes,3
