A,B,C,D,F,G,H,I,J,K,L,M,O,Q,R,S,T,U,V,W
GP,F,16,U,T,2,2,at_home,other,home,mother,1,1,no,no,yes,yes,yes,yes,no
GP,M,15,U,T,4,2,teacher,other,course,mother,1,0,no,no,no,yes,yes,yes,no
GP,M,15,R,T,2,1,health,services,reputation,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,M,16,U,T,4,4,teacher,teacher,course,father,1,0,yes,no,yes,yes,yes,yes,no
GP,M,15,U,T,4,4,other,teacher,reputation,father,2,0,yes,no,yes,yes,yes,no,no
GP,M,16,U,T,3,3,other,services,home,father,2,0,no,no,yes,yes,yes,yes,no
GP,M,17,R,T,1,3,other,other,course,father,3,1,yes,no,yes,yes,yes,yes,no
GP,M,15,U,T,3,4,other,other,reputation,father,1,0,no,no,no,yes,yes,yes,no
GP,F,15,U,T,1,2,at_home,services,course,mother,1,0,no,no,no,no,yes,yes,no
GP,M,15,U,T,2,2,services,services,home,father,1,0,yes,no,yes,yes,yes,yes,no
GP,F,16,U,T,2,4,other,health,course,father,2,0,yes,no,yes,yes,yes,yes,yes
GP,M,16,U,T,4,4,health,other,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,16,U,T,2,2,other,other,home,mother,1,0,no,no,no,yes,yes,yes,yes
GP,M,15,U,T,3,4,services,services,home,father,1,0,no,no,no,yes,yes,yes,no
GP,F,15,U,A,3,4,other,other,home,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,19,U,T,0,1,at_home,other,course,other,1,2,yes,no,no,no,no,no,no
GP,M,16,R,T,4,4,teacher,teacher,course,mother,1,0,no,no,yes,yes,yes,yes,no
GP,M,16,U,T,2,3,other,other,course,mother,2,0,yes,no,no,no,yes,yes,yes
GP,F,15,R,T,3,4,services,teacher,course,father,2,0,yes,no,no,yes,yes,yes,yes
GP,F,18,U,T,2,1,services,other,reputation,mother,1,3,yes,no,yes,yes,no,yes,yes
GP,F,17,U,A,2,1,other,other,course,mother,3,0,yes,no,no,yes,yes,yes,no
GP,F,15,U,T,1,1,at_home,other,course,mother,3,0,yes,no,yes,no,yes,yes,yes
GP,F,17,U,T,2,2,other,other,course,father,1,0,yes,no,no,yes,yes,yes,yes
GP,F,16,U,A,3,4,services,other,course,father,1,0,no,no,no,yes,yes,yes,no
GP,M,16,U,T,2,1,at_home,other,course,mother,4,0,no,no,no,yes,yes,no,no
GP,F,16,U,A,2,2,other,other,home,mother,1,1,no,no,no,yes,yes,no,no
GP,M,15,R,T,3,4,at_home,teacher,course,mother,4,0,yes,no,no,yes,yes,no,yes
GP,F,15,U,T,4,4,services,at_home,course,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,17,R,T,3,4,at_home,other,course,mother,3,0,no,no,no,yes,yes,no,no
GP,F,16,R,T,1,1,at_home,other,course,mother,4,0,yes,no,no,yes,yes,no,no
GP,M,18,U,T,3,1,services,services,course,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,F,18,U,A,3,2,other,services,course,other,1,0,yes,no,yes,no,yes,yes,yes
GP,F,16,R,T,1,1,other,services,reputation,mother,2,0,yes,no,yes,yes,yes,no,yes
GP,F,16,U,A,3,3,other,other,course,other,2,0,yes,no,yes,no,yes,yes,yes
GP,M,16,U,T,1,1,services,other,course,mother,1,2,no,no,no,yes,yes,no,yes
GP,F,15,U,T,4,4,teacher,teacher,course,mother,2,0,no,no,yes,yes,yes,yes,no
GP,F,15,R,T,1,1,other,other,course,mother,3,1,no,no,yes,yes,yes,yes,yes
GP,M,15,U,T,4,3,teacher,services,course,father,2,0,yes,no,no,yes,yes,yes,no
GP,F,15,U,A,3,3,services,services,home,mother,1,0,no,no,no,no,yes,no,yes
GP,M,16,U,T,4,4,services,services,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,M,16,U,T,2,2,services,services,reputation,father,2,0,yes,no,yes,yes,yes,yes,no
GP,F,15,U,T,4,4,teacher,services,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,16,U,T,1,1,at_home,at_home,course,mother,1,0,no,no,no,yes,yes,yes,no
GP,M,17,U,T,2,1,other,other,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,15,U,T,1,1,other,services,course,father,1,0,yes,no,no,yes,yes,yes,no
GP,F,15,U,A,2,1,at_home,other,home,mother,2,0,yes,no,yes,yes,no,yes,yes
GP,F,15,U,T,3,2,health,services,home,father,1,1,yes,no,no,yes,yes,yes,no
GP,F,15,U,T,1,2,at_home,other,course,mother,1,0,yes,no,no,no,yes,yes,no
GP,F,15,U,T,1,2,at_home,services,course,father,1,0,no,no,no,no,yes,no,yes
GP,M,16,U,T,4,4,teacher,teacher,course,mother,1,0,yes,no,no,yes,no,yes,yes
GP,M,15,U,A,2,1,services,other,course,mother,4,0,no,no,no,yes,yes,yes,no
GP,M,18,U,T,1,1,other,other,course,mother,1,2,no,no,no,yes,no,yes,yes
GP,M,16,U,T,2,1,at_home,other,course,mother,1,1,no,no,yes,yes,yes,no,yes
GP,F,15,R,T,3,3,services,services,reputation,other,2,0,yes,yes,yes,yes,yes,yes,yes
GP,M,19,U,T,3,2,services,at_home,home,mother,1,0,yes,no,no,yes,no,yes,yes
GP,F,17,U,T,4,4,other,teacher,course,mother,1,0,yes,no,no,yes,yes,no,yes
GP,M,15,R,T,2,3,at_home,services,course,mother,1,0,no,yes,yes,yes,yes,no,no
GP,M,17,R,T,1,2,other,other,reputation,mother,1,3,no,no,no,yes,yes,no,no
GP,F,18,R,T,1,1,at_home,other,course,mother,3,3,yes,no,yes,no,yes,no,no
GP,M,16,R,T,2,2,at_home,other,course,mother,3,0,no,no,no,no,yes,no,no
GP,M,16,U,T,3,3,other,services,course,father,1,1,yes,no,no,yes,yes,yes,yes
GP,M,16,U,T,1,2,health,services,course,mother,2,2,no,no,no,no,yes,yes,no
GP,M,17,R,T,2,1,at_home,other,course,mother,2,1,no,yes,yes,yes,no,yes,yes
GP,M,17,R,T,3,2,other,other,course,mother,2,2,yes,no,no,yes,yes,yes,yes
GP,M,15,U,T,1,2,other,other,course,mother,2,0,no,no,yes,yes,yes,no,no
GP,M,16,U,T,1,3,at_home,services,course,father,1,1,no,no,no,yes,no,yes,no
GP,M,17,R,T,1,1,other,services,course,mother,4,0,no,no,yes,yes,no,no,yes
GP,M,17,U,T,3,2,services,services,course,mother,2,3,yes,no,yes,no,no,no,no
GP,M,16,U,T,2,2,other,other,course,father,1,0,no,no,no,yes,no,yes,no
GP,F,16,U,T,4,2,health,services,home,father,1,0,no,no,no,yes,yes,yes,yes
GP,F,16,U,T,2,2,other,other,home,mother,1,0,yes,no,no,no,yes,yes,no
GP,F,16,U,T,4,4,health,health,reputation,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,M,16,U,T,3,4,other,other,course,father,3,1,yes,no,yes,no,yes,yes,no
GP,M,16,U,T,1,0,other,other,reputation,mother,2,0,yes,no,yes,yes,yes,yes,yes
GP,M,17,U,T,4,4,teacher,other,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,16,U,T,1,3,at_home,services,home,mother,1,0,no,no,yes,no,yes,yes,yes
GP,F,16,U,T,3,3,other,other,reputation,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,T,4,3,teacher,other,course,mother,2,0,no,no,yes,yes,yes,yes,no
GP,F,16,U,T,2,2,services,other,reputation,mother,2,0,no,no,yes,no,yes,yes,no
GP,M,17,U,T,3,3,other,other,reputation,father,1,0,no,no,yes,no,yes,yes,no
GP,M,16,R,T,4,2,teacher,services,other,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,17,U,T,4,3,other,other,course,mother,1,0,yes,yes,yes,yes,yes,yes,yes
GP,M,16,U,T,4,3,teacher,other,home,mother,1,0,yes,yes,yes,yes,yes,yes,no
GP,M,16,U,T,3,3,services,other,home,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,4,services,services,reputation,father,1,0,yes,no,yes,yes,yes,no,no
GP,F,17,U,T,3,3,other,other,reputation,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,16,U,T,3,2,other,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,17,U,T,3,3,services,services,other,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,16,U,T,1,2,services,services,other,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,16,U,T,2,1,other,other,course,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,A,3,3,health,other,reputation,mother,1,0,yes,no,no,no,yes,yes,yes
GP,M,17,R,T,1,2,at_home,other,home,mother,1,0,no,no,no,yes,yes,no,no
GP,F,16,U,T,2,3,services,services,course,mother,1,0,no,no,no,yes,yes,yes,no
GP,F,17,U,T,1,1,at_home,services,course,mother,1,0,no,no,yes,yes,yes,yes,no
GP,M,17,U,T,1,2,at_home,services,other,other,2,0,no,no,yes,no,yes,yes,no
GP,M,16,R,T,3,3,services,services,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,M,16,U,T,2,3,other,other,home,father,2,0,no,no,no,yes,yes,yes,no
GP,F,17,U,T,2,4,services,services,course,father,1,0,no,no,yes,yes,yes,yes,yes
GP,M,17,U,T,4,4,services,teacher,home,mother,1,0,no,no,no,yes,yes,yes,no
GP,M,16,R,T,3,3,teacher,other,home,father,3,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,4,4,services,teacher,home,mother,2,1,yes,no,no,yes,yes,yes,no
GP,F,16,U,T,4,4,teacher,teacher,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,16,U,T,4,3,health,other,home,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,16,U,T,2,3,other,other,reputation,mother,1,0,yes,no,yes,yes,yes,no,no
GP,F,17,U,T,1,1,other,other,course,mother,1,0,yes,no,no,no,yes,no,no
GP,F,17,R,T,2,2,other,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,16,R,T,2,2,services,services,reputation,mother,2,0,yes,no,yes,no,yes,yes,no
GP,F,17,U,T,3,4,at_home,services,home,mother,1,1,yes,yes,no,yes,yes,yes,yes
GP,F,16,U,A,3,1,services,other,course,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,16,U,T,4,3,teacher,other,other,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,16,U,T,1,1,at_home,other,home,mother,2,0,yes,no,no,yes,yes,no,no
GP,F,17,R,T,4,3,teacher,other,reputation,mother,2,0,yes,no,yes,yes,yes,yes,yes
GP,F,19,U,T,3,3,other,other,reputation,other,1,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,T,4,4,services,other,home,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,16,U,A,2,2,other,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,2,2,services,other,home,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,17,R,T,4,4,services,other,other,mother,1,0,yes,no,no,yes,yes,no,no
GP,F,17,U,T,3,2,other,other,reputation,mother,2,0,no,no,no,yes,yes,yes,no
GP,F,17,U,T,4,3,other,other,reputation,mother,1,0,no,no,no,yes,yes,yes,yes
GP,M,18,U,T,3,3,services,health,home,father,1,0,yes,no,no,yes,yes,yes,no
GP,F,17,U,T,2,3,at_home,other,home,father,2,0,yes,no,no,yes,yes,no,no
GP,F,17,U,T,2,2,at_home,at_home,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,17,R,T,2,1,at_home,services,reputation,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,1,1,at_home,other,reputation,mother,1,0,yes,no,yes,yes,yes,no,yes
GP,F,16,U,T,2,3,services,teacher,other,mother,1,0,no,no,no,yes,yes,yes,no
GP,M,18,U,T,2,2,other,other,home,mother,2,3,yes,yes,no,yes,yes,yes,no
GP,F,16,U,T,4,4,teacher,services,home,mother,1,0,yes,no,yes,no,yes,yes,no
GP,F,18,R,T,3,1,other,other,reputation,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,T,3,2,other,other,course,mother,1,0,no,no,yes,no,yes,yes,no
GP,M,17,U,T,2,3,services,services,reputation,father,1,0,yes,no,no,no,yes,yes,no
GP,M,18,U,T,2,1,at_home,other,course,mother,4,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,A,2,1,other,other,course,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,T,4,3,health,other,reputation,father,1,0,no,no,yes,yes,yes,yes,yes
GP,M,17,R,T,2,2,other,other,course,father,2,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,T,4,4,teacher,teacher,reputation,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,16,U,T,4,4,health,other,reputation,father,1,0,yes,no,yes,yes,yes,yes,no
GP,M,16,U,T,1,1,other,other,home,mother,2,0,yes,no,no,yes,yes,yes,no
GP,M,16,U,T,3,2,at_home,other,reputation,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,M,17,U,T,2,2,other,other,home,father,1,0,no,no,yes,no,yes,yes,yes
GP,F,16,U,T,2,1,other,other,home,mother,1,0,no,no,no,yes,yes,yes,yes
GP,F,16,U,A,4,1,other,other,home,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,18,U,A,2,4,services,other,course,mother,2,1,yes,no,no,yes,yes,yes,no
GP,F,18,U,T,2,2,at_home,services,course,mother,1,1,yes,no,no,no,yes,yes,yes
GP,F,18,U,T,3,3,other,other,course,mother,2,1,no,no,no,yes,no,yes,no
GP,M,18,U,T,2,2,other,at_home,course,other,1,1,yes,no,yes,no,no,yes,yes
GP,M,17,U,T,4,4,teacher,teacher,course,mother,1,0,yes,no,yes,no,yes,yes,no
GP,F,17,U,T,3,2,other,other,course,father,1,0,no,no,yes,yes,yes,no,no
GP,F,17,U,T,1,1,at_home,at_home,course,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,16,U,T,1,2,other,other,course,mother,1,0,no,no,no,yes,no,yes,no
GP,F,17,R,T,2,1,at_home,services,course,mother,3,0,no,no,yes,yes,yes,no,no
GP,F,17,R,A,1,4,other,other,course,other,4,1,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,2,2,other,services,reputation,father,1,0,no,no,no,yes,no,yes,no
GP,F,17,U,A,2,2,other,other,home,mother,1,1,yes,no,no,no,no,yes,no
GP,F,17,R,T,1,1,at_home,other,course,mother,2,0,no,no,yes,yes,yes,yes,no
GP,F,17,U,A,4,2,teacher,other,course,mother,1,0,yes,no,yes,yes,yes,no,no
GP,M,17,U,T,4,3,health,other,course,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,M,17,R,A,4,4,teacher,other,course,mother,2,0,yes,no,no,yes,yes,yes,no
GP,M,16,U,T,4,3,teacher,other,course,mother,1,0,no,no,yes,no,yes,yes,no
GP,M,16,U,T,4,4,services,services,course,mother,1,0,no,yes,yes,yes,yes,yes,no
GP,F,17,U,T,4,4,teacher,services,course,mother,1,0,yes,yes,no,yes,yes,yes,yes
GP,M,17,R,T,1,1,other,other,home,father,2,0,no,no,no,no,yes,yes,yes
GP,F,17,U,T,3,3,services,other,home,mother,2,0,yes,no,no,yes,yes,yes,yes
GP,F,17,U,T,1,1,at_home,other,course,mother,1,0,no,no,no,no,yes,no,yes
GP,F,18,U,T,2,1,other,other,course,other,2,0,yes,no,no,no,yes,yes,yes
GP,M,16,U,T,2,1,other,other,course,mother,3,0,no,no,no,yes,yes,yes,no
GP,F,17,U,T,1,1,other,services,course,father,1,0,yes,no,no,yes,yes,no,no
GP,M,17,U,T,2,3,other,other,course,father,2,0,no,no,no,yes,yes,yes,no
GP,M,22,U,T,3,1,services,services,other,mother,1,3,no,no,no,no,no,yes,yes
GP,M,18,R,T,3,3,other,services,course,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,M,16,U,T,0,2,other,other,other,mother,1,0,no,no,no,no,yes,yes,no
GP,M,18,U,T,3,2,services,other,course,mother,2,0,no,no,no,yes,no,yes,no
GP,M,16,U,T,3,3,at_home,other,reputation,other,3,1,yes,no,no,no,yes,yes,no
GP,M,18,U,T,2,1,services,services,other,mother,1,2,no,no,no,no,no,yes,no
GP,M,16,R,T,2,1,other,other,course,mother,2,0,no,no,yes,no,yes,no,no
GP,M,17,R,T,2,1,other,other,course,mother,1,0,no,no,no,no,yes,yes,no
GP,M,17,U,T,1,1,health,other,course,mother,2,1,yes,no,yes,yes,yes,yes,no
GP,F,18,U,A,2,1,other,other,course,mother,1,0,yes,no,no,no,yes,yes,yes
GP,F,17,U,T,4,2,teacher,services,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,19,U,T,2,2,services,services,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,2,1,services,other,course,mother,3,1,no,no,yes,no,no,yes,no
GP,F,17,R,T,4,2,other,other,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,18,U,T,1,1,other,at_home,home,mother,1,0,yes,no,no,no,yes,no,no
GP,F,18,R,T,2,2,other,other,home,mother,1,0,no,no,no,yes,yes,no,no
