F,H,I,J,K,N
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,4386,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Iran
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,Mexico
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,Mexico
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,Asian-Pac-Islander,Female,0,Philippines
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Unmarried,Black,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Separated,Other-relative,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Divorced,Unmarried,Asian-Pac-Islander,Female,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Female,0,England
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Widowed,Unmarried,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Other-relative,White,Male,0,Mexico
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,14084,United-States
Married-civ-spouse,Other-relative,White,Male,7298,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,Italy
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,7298,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,15024,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Amer-Indian-Eskimo,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Poland
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,Amer-Indian-Eskimo,Female,0,United-States
Married-civ-spouse,Husband,White,Male,1409,United-States
Widowed,Not-in-family,White,Female,0,Columbia
Divorced,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,Black,Male,3674,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Other-relative,Other,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Iran
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Cambodia
Never-married,Own-child,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,4064,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Thailand
Never-married,Own-child,White,Male,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,1055,United-States
Married-civ-spouse,Husband,White,Male,2407,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,7298,United-States
Never-married,Not-in-family,White,Female,0,Germany
Married-civ-spouse,Husband,White,Male,5178,United-States
Divorced,Unmarried,Black,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Ecuador
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,3464,noValueSetHere123156456
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,4386,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,Laos
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,7298,Taiwan
Never-married,Own-child,Black,Female,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Other-relative,White,Female,0,Mexico
Never-married,Not-in-family,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,2050,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,Mexico
Never-married,Other-relative,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,Black,Male,0,Haiti
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,Iran
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,Other,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Portugal
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,noValueSetHere123156456
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Other,Male,0,Puerto-Rico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Own-child,White,Female,0,United-States
Separated,Not-in-family,Black,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,2176,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,Dominican-Republic
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Female,2174,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,Asian-Pac-Islander,Male,0,Philippines
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,594,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Portugal
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Female,0,United-States
Never-married,Other-relative,Black,Male,594,United-States
Married-spouse-absent,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,El-Salvador
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,Poland
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,France
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,United-States
Widowed,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,Amer-Indian-Eskimo,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,Other,Female,0,Puerto-Rico
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,20051,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,Black,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Separated,Unmarried,White,Female,0,Mexico
Separated,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
