B,F,G,H,J,K,L,O
Local-gov,Never-married,Protective-serv,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Own-child,Male,0,1408,<=50K
Federal-gov,Married-civ-spouse,Adm-clerical,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Unmarried,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Married-AF-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Private,Separated,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
State-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,1902,>50K
Federal-gov,Divorced,Exec-managerial,Not-in-family,Male,0,0,>50K
Self-emp-inc,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,5013,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,2407,0,<=50K
noValueSetHere123156456,Married-spouse-absent,noValueSetHere123156456,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Tech-support,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,>50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Separated,Sales,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Other-relative,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Female,14344,0,>50K
Private,Divorced,Sales,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Federal-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Divorced,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,1573,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,>50K
Local-gov,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,1902,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Federal-gov,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,>50K
Self-emp-not-inc,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Tech-support,Own-child,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,7688,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,34095,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Other-service,Husband,Male,0,1887,>50K
Private,Married-civ-spouse,Sales,Wife,Female,4064,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,>50K
Private,Never-married,Adm-clerical,Own-child,Female,0,1719,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Female,0,1762,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,4386,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Tech-support,Not-in-family,Female,0,0,<=50K
Federal-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,1564,>50K
Private,Never-married,Tech-support,Other-relative,Male,0,0,<=50K
Private,Never-married,Transport-moving,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Widowed,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,2179,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Local-gov,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Other-relative,Female,0,0,<=50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Separated,Sales,Unmarried,Male,0,1816,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Separated,Other-service,Other-relative,Male,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Self-emp-inc,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Unmarried,Female,0,0,<=50K
Federal-gov,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
State-gov,Widowed,Protective-serv,Unmarried,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Local-gov,Widowed,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,1980,<=50K
State-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,1977,>50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-spouse-absent,Sales,Unmarried,Female,0,0,<=50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Other-relative,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Federal-gov,Never-married,Exec-managerial,Not-in-family,Female,14084,0,>50K
Private,Married-civ-spouse,Prof-specialty,Other-relative,Male,7298,0,>50K
Self-emp-not-inc,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,1876,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Local-gov,Never-married,Prof-specialty,Not-in-family,Female,0,1340,<=50K
State-gov,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,7298,0,>50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Wife,Female,15024,0,>50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,>50K
Private,Divorced,Sales,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,2206,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Local-gov,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Female,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,1409,0,<=50K
Private,Widowed,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Separated,Transport-moving,Not-in-family,Male,3674,0,<=50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Divorced,Craft-repair,Other-relative,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,>50K
State-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
State-gov,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Transport-moving,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Other-service,Wife,Female,0,0,<=50K
State-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,1741,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,1977,>50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Local-gov,Widowed,Other-service,Unmarried,Female,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Separated,Other-service,Not-in-family,Female,0,0,<=50K
Private,Widowed,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,4064,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Wife,Female,0,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Own-child,Male,1055,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,2407,0,<=50K
Local-gov,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Never-married,Tech-support,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Wife,Female,7298,0,>50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Craft-repair,Husband,Male,5178,0,>50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Divorced,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Sales,Husband,Male,15024,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Not-in-family,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Not-in-family,Female,0,0,<=50K
Local-gov,Never-married,Protective-serv,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Tech-support,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-inc,Divorced,Sales,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Wife,Female,3464,0,<=50K
Private,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,7688,0,>50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,4386,0,>50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Tech-support,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,7298,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Prof-specialty,Not-in-family,Female,0,0,>50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Other-relative,Female,0,0,<=50K
Private,Never-married,Tech-support,Not-in-family,Female,0,0,<=50K
Private,Widowed,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,1485,<=50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Wife,Female,0,1887,>50K
Self-emp-not-inc,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Never-married,Transport-moving,Not-in-family,Male,2050,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Other-relative,Male,0,0,<=50K
Private,Never-married,Craft-repair,Other-relative,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,>50K
State-gov,Married-civ-spouse,Protective-serv,Husband,Male,7298,0,>50K
Private,Never-married,Farming-fishing,Not-in-family,Male,0,0,<=50K
State-gov,Never-married,Protective-serv,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Sales,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Private,Married-spouse-absent,Other-service,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,>50K
Private,Widowed,Other-service,Unmarried,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Male,0,1564,>50K
Private,Married-spouse-absent,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Female,0,0,>50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Federal-gov,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Wife,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Divorced,Craft-repair,Not-in-family,Female,0,2339,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Female,0,0,<=50K
