HRBP,VENTMACH,VENTTUBE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,SHUNT
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,HIGH,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,HIGH
HIGH,LOW,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,LOW,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,ONESIDED,LOW,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,HIGH
LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
NORMAL,ZERO,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,ONESIDED,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,True,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,NORMAL
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,NORMAL,ZERO,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,LOW,False,ZERO,HIGH
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,HIGH,ONESIDED,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,HIGH
LOW,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH
LOW,NORMAL,LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,HIGH,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,ZERO,NORMAL,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,NORMAL,NORMAL
NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,ESOPHAGEAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,ZERO,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,NORMAL,ZERO,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
