HRBP,LVFAILURE,LVEDVOLUME,PAP,CO,PCWP,TPR
HIGH,False,HIGH,HIGH,NORMAL,HIGH,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,True,LOW,NORMAL,LOW,LOW,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,True,LOW,NORMAL,LOW,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,HIGH,NORMAL,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW
LOW,False,NORMAL,NORMAL,NORMAL,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,HIGH,LOW,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
NORMAL,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,NORMAL,LOW,HIGH
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,True,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL
HIGH,False,HIGH,LOW,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,LOW,NORMAL,HIGH,LOW,LOW
LOW,False,HIGH,HIGH,LOW,HIGH,HIGH
LOW,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,LOW,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,HIGH,NORMAL,LOW,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,HIGH,LOW,LOW,HIGH,HIGH
HIGH,True,LOW,LOW,LOW,LOW,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,LOW,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
NORMAL,False,HIGH,NORMAL,LOW,HIGH,LOW
LOW,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
HIGH,False,LOW,NORMAL,HIGH,LOW,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,LOW,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,LOW,HIGH,HIGH,LOW,NORMAL
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
NORMAL,False,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL
HIGH,True,NORMAL,NORMAL,LOW,NORMAL,LOW
HIGH,True,LOW,NORMAL,NORMAL,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,LOW,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,LOW,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,HIGH,HIGH
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
LOW,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
HIGH,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,True,LOW,NORMAL,LOW,LOW,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,NORMAL,LOW,LOW
HIGH,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,LOW
LOW,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL
LOW,True,LOW,NORMAL,LOW,LOW,LOW
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,HIGH
HIGH,False,HIGH,HIGH,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
LOW,False,NORMAL,NORMAL,LOW,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,LOW,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL
LOW,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,LOW,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,True,LOW,HIGH,LOW,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,True,HIGH,HIGH,NORMAL,HIGH,LOW
LOW,True,LOW,NORMAL,NORMAL,LOW,HIGH
NORMAL,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,LOW,LOW,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,HIGH
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
LOW,False,HIGH,NORMAL,LOW,NORMAL,HIGH
HIGH,False,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
LOW,False,NORMAL,NORMAL,NORMAL,LOW,HIGH
HIGH,False,NORMAL,LOW,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,LOW
LOW,True,LOW,NORMAL,LOW,LOW,HIGH
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
LOW,False,HIGH,NORMAL,LOW,HIGH,HIGH
LOW,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,LOW
HIGH,True,LOW,NORMAL,HIGH,LOW,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,HIGH,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,NORMAL,HIGH,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,LOW,NORMAL,HIGH,LOW,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL
HIGH,True,NORMAL,NORMAL,LOW,NORMAL,LOW
NORMAL,False,HIGH,NORMAL,HIGH,HIGH,LOW
NORMAL,False,LOW,NORMAL,HIGH,LOW,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,LOW,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,HIGH,NORMAL,LOW,HIGH,NORMAL
HIGH,False,HIGH,NORMAL,LOW,NORMAL,LOW
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,LOW
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,HIGH,NORMAL,HIGH,HIGH,HIGH
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,NORMAL
HIGH,False,HIGH,NORMAL,LOW,HIGH,HIGH
HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,HIGH,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,LOW
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
HIGH,True,LOW,NORMAL,LOW,LOW,HIGH
HIGH,False,NORMAL,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL
HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH
HIGH,False,HIGH,LOW,HIGH,HIGH,NORMAL
