HRBP,VENTMACH,VENTTUBE,LVFAILURE,INTUBATION,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV
HIGH,NORMAL,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,LOW,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO
HIGH,HIGH,NORMAL,False,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
LOW,ZERO,ZERO,True,NORMAL,ZERO,HIGH,LOW,HIGH,LOW,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,ESOPHAGEAL,NORMAL,HIGH,HIGH,LOW,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,HIGH,HIGH,False,ESOPHAGEAL,NORMAL,HIGH,LOW,ZERO,HIGH,HIGH,False,HIGH
HIGH,HIGH,HIGH,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,False,NORMAL
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,ONESIDED,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH
HIGH,HIGH,HIGH,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
LOW,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,ESOPHAGEAL,LOW,HIGH,HIGH,LOW,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,HIGH,False,NORMAL,ZERO,HIGH,LOW,HIGH,NORMAL,NORMAL,False,HIGH
HIGH,NORMAL,LOW,False,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
HIGH,LOW,ZERO,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH
HIGH,LOW,ZERO,False,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,ONESIDED,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,ONESIDED,LOW,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,LOW,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO
HIGH,NORMAL,LOW,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,NORMAL,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,ONESIDED,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
LOW,NORMAL,ZERO,False,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
NORMAL,ZERO,ZERO,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
LOW,LOW,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
LOW,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,LOW,ZERO,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,LOW,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,NORMAL,False,NORMAL,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,ONESIDED,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,HIGH,HIGH,False,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,LOW,True,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
NORMAL,NORMAL,ZERO,False,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
LOW,NORMAL,ZERO,False,NORMAL,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,NORMAL,LOW,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,HIGH,False,ONESIDED,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO
LOW,NORMAL,LOW,False,NORMAL,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
LOW,NORMAL,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
LOW,HIGH,HIGH,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,ZERO,False,NORMAL,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
LOW,LOW,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,ESOPHAGEAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,ESOPHAGEAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,False,LOW
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,ZERO,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,LOW,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
NORMAL,NORMAL,ZERO,False,ONESIDED,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,True,NORMAL,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO
HIGH,HIGH,HIGH,True,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH
NORMAL,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,LOW,ZERO,False,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,ZERO,ZERO,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
LOW,ZERO,ZERO,False,NORMAL,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO
