VENTMACH,LVFAILURE,LVEDVOLUME,EXPCO2,PVSAT,CO,PCWP,SHUNT,TPR
HIGH,False,NORMAL,HIGH,LOW,HIGH,NORMAL,HIGH,NORMAL
ZERO,True,LOW,ZERO,HIGH,LOW,LOW,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,ZERO,HIGH,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW
LOW,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,LOW,HIGH,HIGH,LOW,NORMAL,HIGH
LOW,False,HIGH,ZERO,HIGH,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
ZERO,False,HIGH,ZERO,HIGH,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,NORMAL
ZERO,False,NORMAL,LOW,HIGH,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,NORMAL,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,LOW
LOW,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
ZERO,False,NORMAL,LOW,HIGH,HIGH,NORMAL,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
LOW,False,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,HIGH,NORMAL
NORMAL,False,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL
HIGH,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
ZERO,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL
ZERO,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
ZERO,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL
NORMAL,False,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,LOW
ZERO,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
LOW,False,HIGH,LOW,HIGH,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,HIGH,LOW,HIGH,NORMAL,LOW
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,LOW,ZERO,LOW,HIGH,LOW,NORMAL,HIGH
LOW,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,LOW
NORMAL,False,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,True,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,LOW
HIGH,True,LOW,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
ZERO,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,NORMAL,HIGH
ZERO,False,NORMAL,LOW,HIGH,NORMAL,LOW,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,HIGH,NORMAL,HIGH
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,HIGH,HIGH
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
HIGH,True,LOW,LOW,HIGH,LOW,LOW,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,NORMAL,LOW,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
ZERO,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL
HIGH,False,NORMAL,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL
ZERO,True,LOW,LOW,LOW,LOW,LOW,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,HIGH
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW
LOW,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,LOW,LOW,LOW,HIGH,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
ZERO,False,NORMAL,LOW,LOW,NORMAL,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,LOW
ZERO,False,NORMAL,LOW,LOW,HIGH,LOW,HIGH,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,True,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,NORMAL,HIGH
NORMAL,True,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW
NORMAL,True,LOW,ZERO,HIGH,NORMAL,LOW,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,LOW,LOW,NORMAL,NORMAL
HIGH,False,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
HIGH,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
ZERO,False,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,HIGH
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,NORMAL,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH
HIGH,False,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL
ZERO,False,NORMAL,LOW,HIGH,NORMAL,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,False,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,LOW
NORMAL,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH
