HRBP,VENTTUBE,ERRCAUTER,EXPCO2,PVSAT,CO,MINVOL,HRSAT,HREKG,KINKEDTUBE,VENTALV,TPR
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,True,ZERO,HIGH,LOW,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,LOW
HIGH,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,HIGH
LOW,HIGH,False,LOW,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,ZERO,False,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,True,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,LOW,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,LOW,NORMAL,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,LOW
NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,HIGH
HIGH,LOW,False,ZERO,HIGH,HIGH,ZERO,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,ZERO,False,ZERO,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,LOW,False,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,HIGH
LOW,ZERO,False,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,LOW
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
LOW,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,LOW
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,NORMAL
NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,NORMAL,False,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,LOW,False,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,HIGH,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,True,ZERO,HIGH
HIGH,ZERO,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,True,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,ZERO,True,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
NORMAL,ZERO,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,False,ZERO,LOW
LOW,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,ZERO,False,LOW,LOW,HIGH,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,ZERO,HIGH,HIGH,ZERO,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,True,LOW,LOW,LOW,ZERO,NORMAL,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
LOW,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,LOW,False,ZERO,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,HIGH,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,ZERO,True,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,False,NORMAL,LOW
NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,LOW,HIGH,HIGH,False,LOW,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,False,LOW,LOW
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,ZERO,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,NORMAL
NORMAL,ZERO,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,LOW
NORMAL,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,HIGH,False,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,ZERO,False,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,True,LOW,LOW,HIGH,ZERO,NORMAL,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
LOW,LOW,False,LOW,LOW,LOW,ZERO,LOW,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,HIGH,True,LOW,HIGH,LOW,HIGH,NORMAL,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,HIGH
LOW,ZERO,False,LOW,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,HIGH
LOW,LOW,True,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,HIGH
HIGH,ZERO,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,NORMAL
LOW,HIGH,False,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,True,ZERO,LOW
LOW,LOW,False,LOW,LOW,NORMAL,ZERO,LOW,LOW,False,ZERO,NORMAL
LOW,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False,LOW,LOW
HIGH,LOW,False,LOW,LOW,LOW,ZERO,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,True,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,False,HIGH,LOW
