nedboer_3,mikro_3,straaling_2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,____250_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,___150_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,____250_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,___150_MJ_m2
0___1,V_dt_og_koldt,____250_MJ_m2
0___1,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,____250_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,____250_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,___150_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,____250_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,___150_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
0___1,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,____250_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,____250_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,___150_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,____250_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
0___1,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,___150_MJ_m2
0___1,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,____250_MJ_m2
2___3,V_dt_og_varmt,____250_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,____250_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,____250_MJ_m2
0___1,T_rt_og_koldt,___150_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,____250_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,___150_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,___150_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,____250_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,____250_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
0___1,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,___150_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_varmt,____250_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_varmt,____250_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,___150_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,150___199_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
2___3,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,V_dt_og_koldt,150___199_MJ_m2
2___3,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,____250_MJ_m2
0___1,T_rt_og_varmt,150___199_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
2___3,T_rt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_koldt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_varmt,150___199_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
0___1,T_rt_og_varmt,200___249_MJ_m2
____4,V_dt_og_koldt,200___249_MJ_m2
