lai_3,straaling_3,foto_3
2_5___3_5,___300_MJ_m2,0_55_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,350___399_MJ_m2,1_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
3_5___4_5,350___399_MJ_m2,1_05_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
3_5___4_5,350___399_MJ_m2,0_85_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
3_5___4_5,350___399_MJ_m2,1_05_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
4_5___5_5,350___399_MJ_m2,0_95_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
3_5___4_5,300___349_MJ_m2,1_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,350___399_MJ_m2,0_85_kg_m2
0_5___1_5,___300_MJ_m2,0_45_kg_m2
4_5___5_5,300___349_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
3_5___4_5,___300_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
0_5___1_5,300___349_MJ_m2,0_35_kg_m2
2_5___3_5,350___399_MJ_m2,1_00_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
0_5___1_5,300___349_MJ_m2,0_55_kg_m2
1_5___2_5,350___399_MJ_m2,0_65_kg_m2
2_5___3_5,____400_MJ_m2,1_05_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_75_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
0_5___1_5,300___349_MJ_m2,0_50_kg_m2
0_5___1_5,350___399_MJ_m2,0_50_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
0_0___0_5,____400_MJ_m2,0_15_kg_m2
1_5___2_5,300___349_MJ_m2,0_55_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
1_5___2_5,300___349_MJ_m2,0_70_kg_m2
1_5___2_5,350___399_MJ_m2,0_85_kg_m2
1_5___2_5,350___399_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,350___399_MJ_m2,1_15_kg_m2
1_5___2_5,350___399_MJ_m2,0_60_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,1_05_kg_m2
4_5___5_5,300___349_MJ_m2,0_90_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_90_kg_m2
0_5___1_5,___300_MJ_m2,0_50_kg_m2
3_5___4_5,350___399_MJ_m2,1_15_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_90_kg_m2
0_0___0_5,350___399_MJ_m2,0_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
0_5___1_5,___300_MJ_m2,0_25_kg_m2
4_5___5_5,300___349_MJ_m2,1_00_kg_m2
2_5___3_5,____400_MJ_m2,0_95_kg_m2
0_5___1_5,350___399_MJ_m2,0_40_kg_m2
1_5___2_5,____400_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
1_5___2_5,____400_MJ_m2,0_95_kg_m2
0_5___1_5,350___399_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
3_5___4_5,300___349_MJ_m2,1_00_kg_m2
0_5___1_5,350___399_MJ_m2,0_45_kg_m2
0_5___1_5,300___349_MJ_m2,0_35_kg_m2
1_5___2_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,350___399_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_70_kg_m2
0_5___1_5,350___399_MJ_m2,0_70_kg_m2
0_0___0_5,300___349_MJ_m2,0_05_kg_m2
0_0___0_5,350___399_MJ_m2,0_00_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
3_5___4_5,350___399_MJ_m2,1_00_kg_m2
1_5___2_5,300___349_MJ_m2,0_80_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_75_kg_m2
3_5___4_5,350___399_MJ_m2,0_85_kg_m2
4_5___5_5,300___349_MJ_m2,1_05_kg_m2
1_5___2_5,350___399_MJ_m2,0_75_kg_m2
1_5___2_5,____400_MJ_m2,0_85_kg_m2
3_5___4_5,____400_MJ_m2,1_05_kg_m2
1_5___2_5,350___399_MJ_m2,0_90_kg_m2
4_5___5_5,300___349_MJ_m2,0_75_kg_m2
1_5___2_5,350___399_MJ_m2,0_75_kg_m2
0_5___1_5,350___399_MJ_m2,0_40_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
3_5___4_5,350___399_MJ_m2,0_80_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
1_5___2_5,350___399_MJ_m2,0_75_kg_m2
0_5___1_5,350___399_MJ_m2,0_45_kg_m2
2_5___3_5,___300_MJ_m2,0_80_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
1_5___2_5,____400_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
0_0___0_5,300___349_MJ_m2,0_20_kg_m2
1_5___2_5,350___399_MJ_m2,0_60_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
2_5___3_5,___300_MJ_m2,0_60_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,____400_MJ_m2,0_80_kg_m2
3_5___4_5,350___399_MJ_m2,1_05_kg_m2
1_5___2_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
3_5___4_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,350___399_MJ_m2,1_00_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
1_5___2_5,____400_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_90_kg_m2
2_5___3_5,____400_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
1_5___2_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,____400_MJ_m2,0_80_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,___300_MJ_m2,0_70_kg_m2
2_5___3_5,350___399_MJ_m2,0_75_kg_m2
2_5___3_5,____400_MJ_m2,0_90_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
3_5___4_5,300___349_MJ_m2,0_75_kg_m2
1_5___2_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
1_5___2_5,300___349_MJ_m2,0_85_kg_m2
4_5___5_5,350___399_MJ_m2,0_90_kg_m2
1_5___2_5,___300_MJ_m2,0_65_kg_m2
0_5___1_5,300___349_MJ_m2,0_35_kg_m2
1_5___2_5,300___349_MJ_m2,0_55_kg_m2
0_5___1_5,350___399_MJ_m2,0_65_kg_m2
1_5___2_5,350___399_MJ_m2,0_90_kg_m2
0_5___1_5,350___399_MJ_m2,0_50_kg_m2
0_0___0_5,350___399_MJ_m2,0_25_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
0_0___0_5,300___349_MJ_m2,0_10_kg_m2
1_5___2_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,300___349_MJ_m2,1_05_kg_m2
0_5___1_5,350___399_MJ_m2,0_35_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
3_5___4_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_75_kg_m2
1_5___2_5,350___399_MJ_m2,0_55_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
0_0___0_5,350___399_MJ_m2,0_30_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,350___399_MJ_m2,1_05_kg_m2
4_5___5_5,350___399_MJ_m2,1_10_kg_m2
0_5___1_5,300___349_MJ_m2,0_55_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
4_5___5_5,300___349_MJ_m2,0_95_kg_m2
1_5___2_5,____400_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
2_5___3_5,350___399_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_95_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_95_kg_m2
2_5___3_5,300___349_MJ_m2,0_90_kg_m2
3_5___4_5,____400_MJ_m2,1_05_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,___300_MJ_m2,0_70_kg_m2
0_0___0_5,350___399_MJ_m2,0_05_kg_m2
1_5___2_5,350___399_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
0_5___1_5,300___349_MJ_m2,0_35_kg_m2
3_5___4_5,350___399_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
3_5___4_5,____400_MJ_m2,1_05_kg_m2
4_5___5_5,350___399_MJ_m2,1_15_kg_m2
3_5___4_5,300___349_MJ_m2,0_90_kg_m2
0_5___1_5,300___349_MJ_m2,0_50_kg_m2
1_5___2_5,___300_MJ_m2,0_60_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
1_5___2_5,___300_MJ_m2,0_50_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
3_5___4_5,____400_MJ_m2,1_15_kg_m2
0_5___1_5,300___349_MJ_m2,0_40_kg_m2
0_5___1_5,350___399_MJ_m2,0_35_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_75_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
3_5___4_5,___300_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,1_00_kg_m2
1_5___2_5,300___349_MJ_m2,0_70_kg_m2
0_0___0_5,350___399_MJ_m2,0_05_kg_m2
3_5___4_5,350___399_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,____400_MJ_m2,0_85_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
0_5___1_5,____400_MJ_m2,0_50_kg_m2
1_5___2_5,350___399_MJ_m2,0_85_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,350___399_MJ_m2,1_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
3_5___4_5,____400_MJ_m2,1_10_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_85_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,350___399_MJ_m2,0_70_kg_m2
0_5___1_5,____400_MJ_m2,0_60_kg_m2
0_5___1_5,350___399_MJ_m2,0_50_kg_m2
3_5___4_5,300___349_MJ_m2,0_85_kg_m2
2_5___3_5,___300_MJ_m2,0_80_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
0_5___1_5,300___349_MJ_m2,0_30_kg_m2
4_5___5_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,350___399_MJ_m2,0_95_kg_m2
1_5___2_5,350___399_MJ_m2,0_80_kg_m2
0_5___1_5,300___349_MJ_m2,0_50_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
2_5___3_5,300___349_MJ_m2,0_65_kg_m2
4_5___5_5,300___349_MJ_m2,0_90_kg_m2
0_5___1_5,300___349_MJ_m2,0_40_kg_m2
1_5___2_5,____400_MJ_m2,0_75_kg_m2
3_5___4_5,____400_MJ_m2,1_05_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
1_5___2_5,350___399_MJ_m2,0_75_kg_m2
0_5___1_5,___300_MJ_m2,0_45_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
0_5___1_5,350___399_MJ_m2,0_55_kg_m2
3_5___4_5,300___349_MJ_m2,1_05_kg_m2
3_5___4_5,350___399_MJ_m2,0_90_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
1_5___2_5,___300_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
1_5___2_5,350___399_MJ_m2,0_75_kg_m2
3_5___4_5,300___349_MJ_m2,0_95_kg_m2
1_5___2_5,300___349_MJ_m2,0_55_kg_m2
1_5___2_5,300___349_MJ_m2,0_55_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
4_5___5_5,350___399_MJ_m2,1_05_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
1_5___2_5,300___349_MJ_m2,0_60_kg_m2
2_5___3_5,300___349_MJ_m2,0_90_kg_m2
0_5___1_5,____400_MJ_m2,0_40_kg_m2
3_5___4_5,300___349_MJ_m2,1_00_kg_m2
0_0___0_5,____400_MJ_m2,0_05_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
2_5___3_5,300___349_MJ_m2,0_80_kg_m2
0_5___1_5,300___349_MJ_m2,0_60_kg_m2
3_5___4_5,350___399_MJ_m2,1_10_kg_m2
4_5___5_5,300___349_MJ_m2,0_85_kg_m2
0_0___0_5,350___399_MJ_m2,0_00_kg_m2
2_5___3_5,350___399_MJ_m2,0_90_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
4_5___5_5,300___349_MJ_m2,0_95_kg_m2
1_5___2_5,___300_MJ_m2,0_50_kg_m2
1_5___2_5,___300_MJ_m2,0_60_kg_m2
3_5___4_5,300___349_MJ_m2,0_90_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,1_00_kg_m2
1_5___2_5,350___399_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_95_kg_m2
2_5___3_5,___300_MJ_m2,0_65_kg_m2
2_5___3_5,300___349_MJ_m2,0_85_kg_m2
3_5___4_5,300___349_MJ_m2,0_80_kg_m2
4_5___5_5,350___399_MJ_m2,0_95_kg_m2
3_5___4_5,350___399_MJ_m2,1_10_kg_m2
0_0___0_5,300___349_MJ_m2,0_00_kg_m2
4_5___5_5,___300_MJ_m2,0_75_kg_m2
1_5___2_5,300___349_MJ_m2,0_70_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
1_5___2_5,300___349_MJ_m2,0_65_kg_m2
2_5___3_5,___300_MJ_m2,0_75_kg_m2
2_5___3_5,300___349_MJ_m2,0_70_kg_m2
0_0___0_5,350___399_MJ_m2,0_00_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,350___399_MJ_m2,0_80_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
2_5___3_5,350___399_MJ_m2,0_95_kg_m2
2_5___3_5,350___399_MJ_m2,0_85_kg_m2
