Attribute1,Attribute3,Attribute6,Attribute14,Attribute15,Attribute17,Attribute18,class
A14,A34,A61,A143,A152,A173,1,1
A14,A31,A63,A143,A152,A172,2,1
A14,A32,A61,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A14,A30,A62,A141,A151,A173,1,1
A13,A32,A61,A143,A152,A173,1,1
A14,A32,A61,A143,A151,A173,1,2
A11,A34,A64,A143,A152,A172,1,1
A13,A32,A61,A143,A152,A172,1,1
A12,A32,A61,A141,A152,A173,1,2
A14,A33,A62,A143,A152,A173,1,1
A12,A32,A65,A143,A152,A173,1,1
A12,A33,A65,A143,A152,A172,1,1
A14,A34,A61,A143,A152,A172,1,1
A11,A31,A61,A143,A153,A173,1,2
A14,A32,A62,A143,A152,A173,1,1
A14,A34,A62,A143,A152,A172,1,1
A11,A32,A61,A143,A152,A173,1,1
A11,A32,A61,A143,A152,A173,1,1
A11,A34,A61,A143,A153,A174,1,1
A14,A34,A61,A141,A153,A172,1,1
A14,A34,A61,A143,A152,A172,2,1
A12,A32,A61,A143,A152,A173,2,2
A14,A34,A65,A143,A152,A173,1,1
A14,A32,A61,A142,A152,A173,1,1
A11,A32,A61,A143,A152,A174,1,2
A14,A32,A65,A143,A152,A173,1,1
A14,A32,A65,A143,A152,A173,1,1
A14,A34,A63,A143,A151,A173,1,1
A12,A31,A65,A143,A153,A174,1,1
A12,A32,A61,A143,A152,A173,1,2
A11,A32,A61,A143,A152,A172,1,2
A14,A32,A61,A143,A152,A173,2,1
A14,A34,A61,A143,A152,A173,1,1
A11,A32,A65,A143,A152,A172,1,1
A14,A32,A61,A143,A152,A173,1,2
A14,A32,A62,A143,A151,A174,1,1
A14,A34,A64,A143,A151,A173,1,1
A14,A32,A61,A143,A152,A173,1,1
A13,A31,A65,A141,A152,A172,1,1
A14,A34,A65,A143,A152,A173,1,1
A12,A34,A62,A143,A152,A173,1,1
A11,A32,A61,A143,A152,A172,1,1
A11,A32,A61,A143,A152,A173,2,1
A12,A33,A62,A143,A153,A174,1,1
A12,A32,A61,A143,A152,A173,1,1
A11,A33,A61,A142,A152,A173,1,2
A14,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A151,A174,1,2
A11,A34,A61,A143,A153,A174,2,1
A13,A34,A61,A143,A153,A173,1,1
A14,A34,A65,A141,A152,A174,2,1
A12,A32,A61,A143,A152,A173,1,2
A14,A32,A65,A143,A151,A173,1,1
A14,A32,A65,A143,A152,A172,1,1
A14,A32,A61,A143,A152,A173,1,1
A12,A34,A64,A143,A152,A173,1,1
A14,A32,A61,A143,A152,A171,1,1
A12,A30,A61,A143,A152,A173,1,2
A13,A34,A65,A141,A152,A172,2,2
A11,A34,A61,A143,A152,A173,1,1
A14,A34,A63,A141,A153,A173,1,2
A14,A32,A64,A143,A152,A173,1,1
A14,A32,A65,A142,A151,A172,1,1
A11,A32,A62,A143,A152,A172,1,2
A12,A32,A61,A143,A152,A173,1,2
A12,A32,A61,A143,A151,A172,1,1
A12,A32,A65,A141,A153,A171,1,1
A14,A32,A62,A142,A152,A173,1,1
A13,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A141,A152,A172,1,2
A13,A32,A65,A143,A152,A172,2,1
A11,A31,A61,A141,A152,A173,1,2
A11,A32,A61,A143,A152,A172,2,1
A12,A32,A65,A143,A152,A172,1,1
A14,A34,A61,A143,A152,A173,1,1
A11,A33,A61,A143,A152,A172,1,1
A12,A34,A61,A143,A152,A174,1,2
A11,A32,A61,A143,A152,A173,1,2
A11,A32,A61,A143,A153,A174,1,1
A11,A32,A64,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A11,A34,A61,A143,A152,A172,1,1
A14,A34,A65,A143,A151,A173,1,1
A14,A32,A64,A143,A152,A173,2,1
A13,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A173,2,1
A11,A34,A61,A143,A153,A174,1,1
A14,A34,A62,A143,A152,A173,1,2
A12,A32,A62,A143,A152,A174,1,2
A14,A34,A62,A141,A151,A172,1,2
A11,A30,A61,A141,A151,A173,2,2
A11,A34,A61,A143,A151,A174,1,2
A12,A32,A61,A143,A152,A172,1,1
A11,A32,A65,A143,A151,A173,1,2
A11,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A172,1,1
A12,A34,A61,A143,A153,A173,1,1
A11,A32,A61,A143,A151,A172,1,1
A12,A32,A63,A143,A151,A173,1,1
A12,A32,A61,A141,A152,A174,1,1
A13,A32,A61,A143,A152,A172,2,1
A14,A34,A61,A143,A152,A172,1,1
A12,A34,A61,A143,A152,A173,1,1
A12,A32,A63,A143,A151,A171,1,1
A14,A33,A62,A143,A152,A172,1,1
A12,A34,A64,A143,A153,A173,2,2
A14,A32,A61,A143,A151,A173,1,1
A12,A32,A61,A143,A152,A173,1,2
A14,A34,A65,A143,A152,A174,1,1
A11,A30,A61,A143,A151,A173,1,2
A14,A32,A63,A143,A153,A173,1,1
A12,A32,A61,A142,A152,A172,1,2
A14,A34,A65,A143,A152,A173,1,1
A14,A33,A61,A143,A152,A174,1,2
A14,A32,A61,A143,A152,A173,1,1
A11,A32,A61,A143,A151,A173,1,2
A12,A32,A65,A143,A153,A173,1,1
A13,A32,A65,A143,A152,A174,1,1
A13,A33,A61,A142,A152,A173,1,1
A14,A32,A61,A143,A151,A173,1,1
A11,A32,A61,A143,A152,A171,1,2
A14,A32,A61,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A11,A32,A61,A143,A151,A173,1,1
A11,A32,A61,A143,A152,A173,2,2
A12,A32,A61,A143,A151,A173,1,1
A14,A32,A65,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A14,A34,A61,A143,A151,A173,1,1
A14,A34,A65,A141,A153,A174,1,1
A12,A31,A62,A141,A153,A174,1,2
A11,A31,A61,A143,A151,A173,1,2
A14,A33,A61,A143,A152,A173,1,1
A14,A33,A65,A143,A153,A173,1,1
A12,A32,A61,A143,A153,A174,1,2
A14,A34,A62,A143,A152,A172,1,1
A11,A32,A65,A143,A152,A173,1,1
A12,A32,A61,A143,A153,A174,1,2
A14,A32,A65,A143,A151,A173,1,1
A13,A32,A61,A143,A152,A173,1,1
A14,A33,A62,A143,A152,A172,1,1
A14,A34,A61,A143,A152,A173,1,1
A14,A32,A65,A143,A151,A173,1,1
A12,A34,A61,A142,A152,A174,1,1
A12,A34,A63,A141,A152,A173,1,1
A14,A32,A61,A143,A152,A173,1,1
A14,A32,A61,A143,A152,A174,1,1
A12,A32,A64,A143,A151,A172,1,1
A11,A32,A61,A141,A153,A174,2,1
A11,A34,A61,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A174,1,1
A12,A33,A62,A143,A151,A173,1,1
A11,A32,A61,A143,A153,A174,1,1
A11,A34,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A151,A173,1,2
A14,A34,A64,A143,A152,A172,1,1
A14,A32,A61,A143,A152,A173,1,1
A12,A34,A65,A141,A152,A173,1,1
A14,A33,A61,A141,A152,A173,1,2
A14,A33,A61,A143,A152,A172,1,1
A12,A33,A65,A143,A152,A173,2,1
A12,A32,A61,A143,A152,A173,1,2
A14,A34,A65,A143,A152,A173,2,1
A11,A32,A61,A143,A152,A173,1,1
A14,A32,A63,A143,A152,A174,1,1
A13,A34,A63,A143,A152,A173,1,2
A12,A32,A61,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A174,1,1
A14,A34,A61,A142,A152,A174,1,2
A14,A32,A63,A143,A151,A172,2,1
A11,A32,A65,A143,A152,A173,1,2
A14,A34,A61,A143,A152,A173,2,1
A11,A32,A61,A143,A152,A172,2,2
A11,A33,A65,A143,A151,A173,1,1
A14,A32,A63,A141,A152,A174,1,1
A12,A32,A65,A143,A152,A173,1,2
A14,A32,A64,A143,A151,A173,1,1
A12,A32,A65,A143,A152,A173,1,1
A12,A34,A61,A143,A152,A172,2,1
A14,A33,A62,A143,A152,A174,1,1
A12,A32,A65,A141,A152,A173,1,2
A12,A32,A61,A143,A151,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A14,A34,A64,A143,A152,A173,1,1
A14,A32,A61,A143,A152,A173,1,1
A11,A34,A61,A143,A153,A171,2,2
A14,A32,A61,A143,A152,A172,1,1
A12,A32,A61,A141,A152,A174,1,2
A11,A34,A61,A143,A153,A174,1,1
A14,A34,A61,A143,A152,A173,1,1
A11,A32,A61,A143,A152,A173,1,1
A12,A32,A65,A143,A152,A173,1,2
A14,A32,A63,A143,A151,A172,1,1
A14,A34,A64,A143,A152,A173,1,1
A11,A34,A61,A143,A152,A171,1,1
A13,A31,A61,A143,A152,A171,1,2
A14,A32,A61,A143,A152,A174,1,1
A11,A32,A61,A143,A152,A173,1,1
A12,A33,A61,A141,A152,A173,1,1
A14,A32,A61,A141,A152,A172,2,2
A12,A34,A61,A143,A152,A174,1,2
A14,A34,A65,A143,A151,A172,1,1
A11,A32,A61,A143,A152,A173,1,2
A12,A32,A61,A143,A152,A173,1,1
A13,A32,A65,A143,A152,A174,1,1
A12,A33,A64,A142,A152,A173,1,2
A14,A34,A65,A143,A152,A174,1,1
A14,A32,A61,A143,A152,A173,1,1
A14,A30,A61,A143,A152,A173,1,1
A14,A32,A61,A143,A152,A174,1,1
A11,A32,A61,A143,A152,A173,1,2
A14,A32,A61,A143,A152,A174,1,1
A11,A34,A61,A143,A151,A173,2,1
A11,A32,A61,A143,A153,A173,1,2
A11,A32,A61,A143,A152,A173,1,1
A14,A32,A61,A143,A152,A173,1,1
A11,A32,A61,A143,A152,A173,2,1
A11,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A151,A174,1,1
A12,A32,A65,A143,A152,A173,1,1
A14,A32,A61,A142,A152,A173,1,1
A11,A32,A61,A141,A152,A173,2,1
A11,A33,A61,A143,A151,A172,1,2
A14,A33,A65,A141,A152,A173,2,1
A14,A33,A61,A143,A152,A173,1,1
A14,A33,A61,A143,A152,A172,1,1
A12,A32,A62,A143,A151,A173,1,2
A11,A32,A61,A143,A152,A173,1,2
A11,A32,A61,A143,A152,A172,1,2
A14,A32,A65,A143,A152,A174,2,1
A12,A34,A61,A143,A152,A173,1,2
A11,A30,A61,A143,A151,A173,1,2
A14,A32,A63,A143,A152,A173,1,1
A13,A32,A61,A141,A152,A173,1,1
A12,A32,A62,A143,A152,A172,1,1
A11,A34,A61,A143,A152,A173,2,1
A12,A34,A61,A143,A152,A172,1,1
A12,A32,A61,A143,A152,A173,1,1
A11,A32,A64,A143,A151,A173,1,1
A14,A33,A64,A143,A152,A173,1,1
A14,A34,A63,A143,A152,A173,1,1
A12,A33,A61,A143,A152,A174,1,2
A14,A32,A61,A143,A152,A173,1,1
A14,A32,A61,A143,A153,A173,1,1
A14,A32,A62,A143,A151,A172,1,1
A14,A32,A61,A143,A151,A173,1,1
A14,A34,A61,A143,A152,A173,1,1
A12,A30,A61,A143,A153,A174,1,2
A14,A34,A62,A143,A152,A173,1,1
A12,A32,A65,A143,A152,A173,1,1
A11,A34,A61,A143,A151,A172,2,1
A11,A32,A65,A143,A152,A173,1,2
A12,A32,A62,A143,A151,A174,1,2
A14,A34,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A172,1,1
A13,A34,A62,A143,A152,A173,2,1
A11,A32,A61,A143,A152,A173,1,2
A11,A32,A61,A143,A153,A173,2,1
A13,A32,A62,A143,A152,A173,1,1
A12,A34,A62,A141,A152,A173,2,2
A11,A32,A61,A143,A151,A173,1,2
A14,A32,A65,A143,A152,A172,1,2
A13,A34,A63,A143,A152,A173,1,1
A12,A31,A62,A143,A152,A174,2,2
A14,A32,A61,A143,A152,A173,1,1
A14,A32,A62,A143,A152,A174,1,1
A11,A32,A61,A143,A152,A173,1,2
A14,A32,A61,A143,A153,A174,1,1
A13,A32,A61,A143,A151,A173,1,1
A12,A33,A61,A143,A151,A173,1,1
A14,A32,A65,A143,A152,A173,1,1
A11,A34,A61,A143,A152,A173,1,1
A11,A34,A61,A143,A152,A172,2,1
A14,A34,A61,A143,A151,A173,1,2
A11,A32,A62,A143,A152,A173,1,1
A14,A34,A65,A143,A153,A173,1,1
A14,A34,A61,A143,A153,A173,1,1
A11,A32,A61,A143,A152,A173,1,2
A11,A30,A61,A143,A153,A173,2,2
A14,A32,A62,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A172,2,1
A12,A32,A61,A143,A152,A173,1,1
A14,A34,A62,A143,A152,A173,1,1
A14,A34,A61,A143,A152,A172,2,1
A11,A32,A61,A143,A151,A173,1,2
A11,A32,A61,A143,A152,A172,2,1
A12,A32,A61,A143,A152,A173,2,1
A12,A32,A62,A143,A151,A173,1,2
A14,A33,A61,A143,A151,A173,1,1
A14,A32,A62,A143,A152,A173,1,1
A14,A32,A65,A143,A152,A173,1,1
A13,A34,A61,A143,A151,A173,1,2
A11,A32,A65,A143,A152,A174,1,1
A12,A34,A61,A143,A152,A173,1,1
A11,A32,A61,A141,A153,A174,1,2
A13,A32,A61,A142,A152,A172,1,1
A12,A32,A61,A143,A151,A173,1,2
A14,A33,A61,A143,A153,A173,1,1
A11,A32,A65,A143,A152,A173,1,2
A13,A32,A61,A143,A152,A172,2,2
A14,A34,A61,A143,A152,A172,1,1
A11,A33,A61,A143,A153,A173,2,2
A14,A34,A61,A143,A152,A173,1,1
A14,A32,A61,A141,A152,A173,2,1
A11,A31,A61,A141,A152,A172,1,2
A14,A34,A65,A143,A153,A173,1,1
A14,A34,A65,A143,A152,A173,1,1
A14,A31,A63,A141,A152,A172,2,1
A11,A32,A61,A143,A152,A173,1,2
A12,A34,A62,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A174,1,1
A12,A32,A61,A142,A152,A173,1,2
A12,A30,A62,A143,A152,A173,1,2
A14,A30,A65,A141,A152,A173,1,2
A11,A31,A61,A141,A152,A173,1,2
A12,A34,A61,A143,A152,A172,1,2
A11,A32,A65,A141,A153,A173,2,1
A11,A31,A61,A141,A151,A172,1,2
A13,A33,A61,A141,A152,A173,1,1
A12,A32,A65,A143,A153,A173,1,2
A12,A33,A65,A141,A152,A174,1,1
A12,A33,A62,A143,A151,A173,1,1
A11,A32,A61,A143,A152,A173,1,2
A14,A34,A64,A143,A152,A173,1,1
A12,A32,A65,A143,A152,A173,2,1
A11,A32,A61,A143,A152,A173,1,2
A11,A32,A61,A143,A151,A172,1,2
A14,A34,A61,A143,A152,A173,1,1
A14,A32,A65,A143,A151,A174,1,1
A11,A32,A61,A143,A152,A172,1,1
A12,A32,A61,A143,A152,A172,1,1
A14,A34,A61,A141,A152,A173,1,1
A12,A32,A61,A143,A152,A173,1,1
A14,A34,A65,A143,A152,A173,1,1
A12,A34,A61,A143,A152,A173,1,2
A14,A32,A61,A143,A152,A172,1,1
A12,A34,A61,A141,A152,A173,1,2
A12,A34,A61,A141,A152,A172,2,1
A14,A32,A61,A143,A151,A173,1,1
A12,A32,A61,A143,A151,A172,1,2
A14,A32,A65,A143,A153,A174,1,1
A11,A32,A61,A141,A151,A173,1,2
A11,A34,A61,A143,A151,A173,2,1
A11,A32,A61,A143,A152,A172,1,1
A11,A32,A61,A143,A152,A172,1,2
A11,A34,A61,A143,A152,A173,1,2
A11,A34,A61,A143,A152,A172,1,1
A12,A33,A65,A143,A151,A173,1,1
A14,A32,A64,A141,A152,A172,1,1
A12,A32,A61,A143,A151,A172,1,2
A11,A31,A65,A142,A152,A174,1,2
A12,A31,A62,A142,A152,A172,1,2
A11,A32,A61,A143,A151,A173,1,2
A12,A30,A61,A143,A152,A172,1,2
A14,A34,A61,A141,A152,A173,1,2
A14,A33,A61,A143,A153,A173,1,1
A12,A32,A61,A143,A152,A173,1,1
A12,A32,A61,A143,A152,A173,1,2
A12,A31,A61,A141,A153,A172,1,2
A14,A32,A61,A143,A152,A174,1,2
A13,A32,A61,A143,A152,A173,1,1
A11,A31,A63,A142,A152,A173,1,1
A14,A34,A61,A143,A152,A174,1,1
A12,A32,A62,A143,A153,A173,1,2
A14,A32,A61,A143,A152,A173,1,1
A14,A32,A65,A141,A153,A173,2,1
A11,A32,A62,A143,A152,A173,1,2
A13,A32,A62,A143,A153,A172,2,2
A11,A32,A64,A141,A152,A173,1,1
A11,A31,A61,A141,A151,A173,1,1
A14,A33,A61,A143,A152,A173,1,2
A12,A30,A65,A141,A152,A174,1,1
A12,A33,A65,A143,A153,A174,1,1
A11,A34,A61,A143,A151,A173,2,1
A12,A32,A62,A143,A151,A173,1,2
A14,A32,A61,A143,A152,A172,1,1
A12,A34,A61,A143,A152,A173,1,1
A14,A34,A61,A141,A152,A173,1,2
A14,A32,A65,A141,A152,A173,1,2
A11,A32,A61,A143,A151,A173,1,1
A11,A32,A61,A143,A153,A173,1,2
A14,A32,A65,A143,A152,A173,1,1
A13,A32,A61,A143,A152,A173,1,1
A12,A31,A62,A143,A152,A173,1,2
A14,A34,A63,A143,A152,A173,1,1
A14,A32,A65,A143,A152,A172,1,1
A11,A32,A61,A143,A152,A173,1,1
A11,A31,A61,A141,A152,A173,1,2
