Attribute2,Attribute4,Attribute7,Attribute12,Attribute14,Attribute15,Attribute16,Attribute17,Attribute19,Attribute20
48,A46,A73,A124,A141,A153,1,A173,A192,A201
18,A43,A73,A121,A142,A152,1,A173,A191,A201
10,A44,A73,A123,A143,A152,1,A173,A192,A201
9,A43,A73,A121,A143,A152,1,A173,A191,A201
30,A43,A75,A123,A141,A152,1,A174,A191,A201
12,A43,A73,A123,A143,A152,1,A173,A192,A201
18,A45,A73,A121,A143,A152,1,A172,A192,A201
30,A41,A74,A123,A143,A151,2,A173,A191,A201
48,A41,A75,A124,A142,A153,2,A172,A191,A201
11,A40,A72,A123,A143,A152,2,A174,A191,A201
36,A43,A75,A123,A143,A152,1,A173,A191,A201
6,A41,A71,A122,A143,A151,1,A171,A192,A201
11,A40,A73,A122,A143,A152,2,A172,A191,A201
12,A43,A73,A121,A143,A152,1,A173,A191,A201
24,A42,A72,A122,A141,A152,1,A172,A191,A201
27,A41,A75,A123,A143,A152,2,A174,A192,A201
12,A43,A73,A123,A143,A152,1,A173,A191,A201
18,A41,A73,A122,A143,A152,1,A173,A192,A201
36,A40,A75,A124,A141,A153,2,A173,A192,A201
6,A40,A73,A121,A142,A152,1,A172,A191,A201
12,A43,A71,A124,A143,A152,1,A174,A192,A201
36,A43,A73,A123,A142,A152,2,A173,A191,A201
18,A40,A75,A123,A143,A152,1,A174,A191,A201
36,A42,A72,A124,A143,A151,2,A172,A192,A201
9,A49,A73,A121,A141,A152,1,A173,A192,A201
15,A43,A75,A121,A143,A152,2,A173,A192,A201
36,A49,A75,A124,A143,A153,1,A174,A192,A201
48,A49,A73,A123,A143,A152,1,A173,A192,A201
24,A43,A72,A122,A143,A152,1,A173,A192,A201
27,A45,A75,A122,A143,A152,4,A173,A192,A201
12,A43,A72,A123,A141,A152,1,A173,A191,A201
12,A40,A73,A121,A143,A152,1,A173,A191,A201
36,A46,A73,A124,A142,A153,1,A173,A192,A201
36,A43,A73,A123,A143,A152,1,A173,A191,A201
36,A41,A73,A122,A141,A152,1,A173,A191,A201
7,A43,A75,A122,A143,A151,2,A172,A192,A201
8,A410,A75,A124,A141,A153,2,A174,A192,A201
42,A49,A74,A121,A141,A152,2,A172,A191,A201
36,A46,A75,A124,A143,A152,1,A174,A192,A201
12,A41,A75,A124,A143,A153,2,A174,A191,A201
42,A43,A72,A123,A143,A152,1,A173,A191,A201
11,A43,A74,A122,A143,A152,1,A173,A191,A201
54,A41,A73,A122,A143,A152,1,A172,A191,A201
30,A42,A72,A122,A143,A152,1,A173,A191,A201
24,A43,A72,A123,A143,A152,2,A173,A192,A201
15,A43,A75,A122,A142,A152,1,A173,A192,A201
18,A49,A73,A122,A143,A151,1,A172,A191,A201
24,A410,A75,A121,A143,A152,1,A172,A192,A201
10,A43,A75,A121,A143,A152,1,A172,A191,A201
12,A49,A73,A121,A143,A152,2,A174,A192,A201
18,A42,A72,A122,A143,A152,2,A173,A191,A201
36,A46,A73,A124,A143,A153,1,A173,A192,A201
18,A40,A74,A123,A143,A152,1,A174,A192,A201
12,A45,A74,A121,A143,A152,2,A173,A191,A201
12,A43,A75,A121,A143,A152,1,A173,A191,A201
12,A41,A75,A121,A143,A152,1,A173,A191,A201
12,A43,A75,A122,A141,A152,1,A172,A191,A201
24,A42,A75,A124,A143,A151,2,A173,A191,A201
12,A40,A75,A121,A143,A152,1,A173,A192,A201
54,A49,A72,A124,A143,A151,1,A173,A192,A201
12,A46,A74,A123,A143,A152,1,A173,A191,A201
18,A49,A73,A123,A143,A152,1,A173,A191,A201
36,A43,A75,A121,A143,A152,1,A173,A191,A201
20,A41,A74,A122,A141,A151,2,A174,A192,A201
24,A40,A75,A121,A143,A151,1,A172,A191,A201
36,A43,A74,A123,A143,A151,1,A173,A191,A201
6,A43,A73,A121,A143,A152,1,A173,A191,A201
9,A42,A74,A123,A143,A151,1,A173,A192,A201
12,A41,A72,A123,A143,A151,1,A173,A192,A201
24,A410,A73,A123,A143,A152,2,A174,A192,A201
18,A40,A75,A124,A141,A152,2,A174,A192,A201
12,A40,A74,A123,A143,A152,1,A173,A191,A201
24,A42,A72,A122,A143,A152,1,A173,A192,A202
14,A49,A75,A121,A143,A152,1,A173,A192,A201
6,A49,A75,A123,A141,A152,2,A173,A191,A201
15,A46,A72,A122,A143,A151,1,A173,A192,A201
18,A40,A74,A121,A143,A151,1,A172,A191,A201
36,A40,A73,A121,A142,A152,2,A173,A192,A201
12,A43,A75,A121,A143,A152,1,A173,A191,A201
48,A43,A75,A121,A143,A152,1,A173,A192,A201
42,A43,A74,A123,A143,A152,1,A174,A192,A201
10,A42,A72,A121,A143,A151,2,A173,A191,A202
33,A42,A73,A123,A143,A152,2,A173,A191,A201
12,A40,A74,A123,A143,A152,1,A174,A192,A201
21,A43,A73,A121,A143,A152,2,A173,A192,A201
24,A41,A75,A123,A143,A151,2,A174,A192,A201
12,A42,A73,A121,A143,A151,1,A172,A191,A201
10,A40,A75,A124,A143,A153,2,A173,A192,A201
18,A42,A72,A121,A143,A151,1,A173,A191,A201
12,A40,A73,A122,A143,A152,2,A173,A191,A201
12,A43,A73,A121,A143,A152,1,A172,A191,A201
12,A45,A73,A123,A143,A152,1,A173,A191,A201
12,A41,A71,A123,A143,A152,2,A174,A192,A201
12,A40,A73,A121,A143,A152,2,A173,A191,A201
48,A40,A74,A123,A143,A152,1,A173,A191,A201
36,A46,A73,A122,A142,A152,1,A173,A192,A201
15,A42,A72,A122,A141,A152,2,A172,A191,A201
18,A42,A73,A124,A141,A153,2,A173,A191,A201
60,A43,A74,A121,A143,A152,1,A173,A192,A201
12,A43,A75,A121,A143,A152,2,A173,A192,A201
27,A41,A73,A123,A143,A152,2,A173,A191,A201
12,A43,A73,A121,A143,A152,1,A172,A191,A201
15,A43,A74,A121,A141,A152,3,A173,A192,A201
12,A43,A73,A123,A143,A151,1,A172,A192,A201
6,A40,A72,A121,A143,A152,1,A171,A191,A202
36,A43,A72,A124,A143,A152,1,A174,A192,A201
27,A43,A73,A123,A143,A152,1,A174,A191,A201
18,A42,A73,A123,A143,A152,1,A173,A191,A201
21,A42,A72,A122,A143,A152,1,A173,A192,A201
48,A49,A74,A123,A143,A152,1,A173,A191,A201
6,A40,A75,A124,A143,A152,2,A173,A192,A201
12,A40,A74,A123,A143,A152,2,A173,A192,A201
36,A42,A73,A122,A143,A152,2,A173,A191,A201
18,A43,A75,A123,A143,A152,2,A173,A191,A201
6,A43,A75,A124,A141,A153,1,A173,A192,A201
10,A43,A73,A122,A143,A152,1,A173,A192,A202
36,A43,A73,A123,A143,A152,1,A173,A191,A201
24,A41,A75,A124,A143,A151,1,A173,A191,A201
24,A49,A74,A123,A143,A151,1,A174,A192,A201
12,A42,A73,A123,A143,A151,1,A173,A191,A201
9,A45,A75,A121,A143,A152,2,A173,A191,A202
12,A48,A75,A123,A141,A152,1,A172,A191,A201
24,A40,A74,A123,A141,A152,2,A173,A192,A201
6,A43,A73,A121,A143,A152,2,A172,A191,A201
24,A43,A75,A121,A143,A152,1,A173,A192,A201
18,A40,A72,A122,A143,A152,2,A173,A191,A201
15,A44,A74,A122,A143,A152,2,A173,A192,A201
10,A40,A71,A124,A141,A153,1,A174,A192,A201
36,A40,A75,A122,A143,A152,1,A173,A191,A201
6,A42,A73,A123,A143,A152,1,A173,A192,A201
18,A42,A71,A123,A143,A152,1,A173,A191,A201
11,A42,A72,A121,A143,A152,1,A173,A191,A201
24,A42,A74,A122,A143,A151,1,A173,A192,A201
24,A49,A75,A121,A143,A152,2,A173,A192,A201
15,A40,A75,A123,A143,A151,2,A173,A191,A201
12,A42,A73,A121,A143,A152,1,A173,A192,A201
24,A42,A71,A122,A143,A152,1,A174,A192,A201
8,A43,A73,A121,A143,A152,1,A173,A191,A202
21,A46,A72,A122,A143,A152,2,A173,A191,A201
30,A41,A71,A121,A141,A152,1,A174,A192,A201
12,A42,A73,A123,A143,A152,1,A173,A191,A201
6,A43,A75,A123,A143,A152,2,A173,A191,A201
12,A43,A74,A123,A143,A151,2,A174,A192,A201
21,A40,A75,A121,A143,A152,2,A173,A191,A201
36,A49,A72,A123,A143,A152,2,A173,A191,A201
36,A49,A73,A121,A142,A152,2,A174,A192,A201
21,A40,A73,A122,A143,A152,2,A172,A191,A201
24,A42,A73,A121,A143,A152,1,A173,A192,A201
18,A40,A75,A123,A141,A152,1,A173,A192,A201
15,A43,A73,A122,A143,A152,2,A173,A191,A201
9,A41,A75,A124,A141,A153,1,A174,A192,A201
16,A40,A71,A123,A143,A153,3,A171,A192,A201
12,A43,A74,A122,A143,A152,1,A173,A191,A201
18,A42,A73,A123,A141,A152,2,A173,A192,A201
24,A49,A73,A122,A143,A152,3,A174,A192,A201
48,A49,A74,A124,A143,A153,1,A172,A191,A201
27,A49,A73,A123,A143,A152,1,A173,A192,A201
6,A43,A74,A121,A143,A151,1,A173,A191,A201
45,A43,A73,A122,A143,A151,1,A173,A191,A201
9,A46,A75,A123,A143,A152,2,A174,A192,A201
6,A43,A73,A123,A143,A152,2,A173,A192,A201
12,A42,A72,A123,A141,A151,4,A173,A191,A201
24,A41,A75,A124,A141,A153,1,A173,A192,A201
18,A42,A75,A124,A143,A152,1,A174,A192,A201
9,A46,A75,A123,A143,A152,2,A173,A192,A201
12,A40,A73,A121,A143,A152,1,A172,A191,A201
27,A49,A74,A123,A143,A152,2,A173,A191,A201
12,A48,A74,A122,A143,A151,1,A173,A191,A201
12,A40,A75,A121,A143,A152,2,A172,A191,A201
30,A41,A75,A124,A143,A153,3,A174,A192,A201
12,A42,A75,A121,A143,A152,3,A173,A192,A201
12,A44,A74,A122,A143,A152,1,A173,A191,A201
24,A49,A73,A123,A142,A152,1,A172,A191,A201
12,A41,A74,A122,A143,A152,1,A173,A191,A202
9,A43,A73,A121,A143,A152,2,A173,A191,A201
36,A43,A75,A121,A143,A152,1,A172,A192,A201
27,A49,A71,A122,A142,A152,2,A173,A192,A201
30,A49,A75,A121,A143,A152,1,A174,A192,A201
36,A43,A75,A123,A143,A152,1,A173,A192,A201
6,A48,A74,A122,A143,A152,2,A172,A191,A201
18,A49,A74,A122,A141,A152,1,A173,A192,A201
36,A43,A73,A121,A143,A152,1,A173,A192,A201
24,A42,A73,A121,A143,A151,1,A172,A191,A201
10,A40,A73,A123,A143,A152,1,A173,A192,A201
12,A43,A72,A121,A141,A152,1,A172,A191,A201
12,A46,A73,A122,A141,A151,1,A173,A192,A201
12,A43,A73,A121,A141,A152,2,A173,A191,A201
24,A49,A73,A121,A143,A152,2,A173,A192,A201
15,A41,A73,A123,A143,A152,1,A173,A192,A201
36,A45,A73,A123,A143,A152,2,A173,A191,A201
48,A43,A74,A124,A141,A152,2,A173,A192,A201
12,A42,A75,A124,A143,A153,1,A174,A192,A201
9,A43,A74,A123,A143,A152,1,A173,A191,A201
24,A42,A72,A124,A141,A153,1,A173,A191,A201
36,A43,A73,A123,A143,A152,1,A173,A191,A201
9,A40,A75,A124,A143,A153,1,A172,A191,A201
12,A43,A74,A124,A143,A152,1,A173,A191,A201
18,A43,A73,A121,A143,A152,1,A172,A191,A201
4,A43,A74,A121,A143,A152,3,A172,A191,A201
24,A43,A71,A123,A142,A152,1,A174,A191,A201
6,A40,A71,A122,A143,A152,1,A171,A192,A201
21,A49,A75,A123,A141,A151,2,A172,A191,A201
12,A43,A73,A122,A143,A152,2,A173,A191,A201
30,A43,A75,A122,A143,A152,1,A173,A191,A201
24,A40,A75,A123,A141,A152,1,A173,A191,A201
6,A43,A74,A122,A143,A152,1,A173,A191,A201
48,A41,A75,A124,A143,A153,2,A173,A191,A201
12,A49,A73,A121,A143,A152,2,A173,A191,A201
12,A48,A73,A121,A143,A152,1,A172,A191,A201
24,A49,A74,A121,A143,A152,1,A173,A192,A201
12,A43,A75,A121,A143,A152,3,A173,A191,A201
6,A40,A73,A124,A141,A151,1,A173,A191,A202
24,A42,A73,A121,A143,A152,1,A173,A191,A201
18,A43,A71,A121,A143,A151,1,A173,A191,A201
6,A40,A74,A121,A143,A152,2,A172,A192,A201
12,A42,A73,A123,A143,A152,1,A172,A191,A201
30,A40,A73,A124,A141,A152,1,A173,A191,A201
24,A42,A73,A122,A143,A152,2,A173,A191,A201
9,A42,A74,A123,A143,A152,1,A173,A192,A201
60,A43,A73,A121,A143,A152,1,A172,A191,A201
24,A43,A73,A121,A143,A152,2,A172,A191,A201
12,A43,A73,A124,A143,A153,1,A173,A191,A201
15,A41,A72,A123,A143,A152,1,A173,A192,A201
11,A43,A71,A121,A143,A152,3,A172,A191,A201
12,A42,A73,A121,A143,A152,1,A173,A191,A201
24,A43,A75,A123,A143,A152,1,A173,A191,A201
18,A40,A75,A124,A143,A153,3,A174,A192,A201
12,A46,A75,A124,A141,A153,3,A172,A191,A201
10,A40,A75,A121,A143,A152,2,A172,A191,A202
15,A43,A75,A123,A143,A152,1,A173,A191,A201
36,A49,A75,A121,A143,A152,2,A173,A191,A201
24,A43,A72,A123,A142,A152,1,A173,A192,A201
14,A40,A75,A122,A143,A152,1,A174,A192,A202
24,A43,A75,A123,A143,A152,2,A173,A191,A201
18,A40,A74,A122,A143,A152,1,A173,A191,A202
12,A42,A74,A123,A143,A151,1,A173,A192,A201
48,A40,A71,A124,A143,A153,1,A174,A192,A201
48,A43,A74,A121,A143,A152,2,A173,A191,A201
30,A45,A72,A124,A143,A152,1,A172,A192,A201
9,A43,A73,A121,A143,A152,1,A173,A191,A201
18,A43,A73,A123,A143,A152,2,A173,A191,A201
12,A42,A75,A122,A143,A152,1,A172,A192,A201
6,A42,A72,A122,A143,A152,1,A173,A191,A201
24,A43,A73,A123,A143,A151,1,A174,A192,A201
15,A41,A75,A124,A143,A151,2,A173,A192,A201
12,A42,A73,A121,A143,A152,1,A173,A191,A201
18,A43,A74,A123,A141,A152,1,A172,A191,A201
15,A42,A75,A122,A143,A152,1,A173,A191,A201
24,A40,A72,A123,A143,A152,1,A173,A192,A201
47,A40,A72,A121,A143,A152,1,A172,A192,A201
48,A41,A74,A122,A143,A152,1,A173,A191,A201
48,A410,A71,A124,A143,A153,1,A174,A192,A201
12,A43,A73,A121,A143,A152,2,A173,A192,A201
24,A43,A72,A121,A142,A152,1,A173,A191,A201
12,A49,A73,A121,A143,A152,1,A173,A192,A202
36,A41,A72,A123,A143,A151,1,A174,A192,A201
24,A41,A75,A124,A143,A153,2,A174,A192,A201
42,A41,A75,A124,A143,A153,1,A173,A191,A201
48,A49,A75,A123,A141,A152,2,A174,A191,A201
48,A42,A72,A123,A143,A152,1,A173,A192,A201
12,A41,A72,A123,A143,A151,1,A173,A191,A201
10,A40,A75,A122,A143,A152,1,A172,A191,A202
18,A42,A73,A121,A143,A152,1,A173,A192,A201
21,A42,A74,A123,A143,A152,2,A173,A192,A201
6,A40,A71,A121,A143,A152,1,A171,A192,A201
36,A43,A73,A123,A143,A152,1,A173,A192,A201
24,A40,A74,A121,A141,A152,2,A172,A191,A201
10,A40,A74,A122,A143,A152,2,A173,A192,A201
48,A40,A73,A124,A141,A153,1,A173,A191,A201
6,A42,A73,A121,A143,A152,1,A173,A191,A201
30,A41,A74,A122,A142,A151,1,A172,A191,A201
12,A43,A72,A124,A143,A152,1,A172,A192,A201
8,A42,A73,A121,A143,A152,1,A173,A191,A201
9,A40,A73,A121,A143,A151,1,A172,A191,A201
48,A410,A71,A124,A141,A153,1,A171,A192,A201
24,A42,A73,A123,A142,A152,1,A173,A191,A201
24,A42,A72,A123,A143,A152,1,A173,A191,A201
12,A40,A74,A123,A141,A152,1,A172,A191,A201
4,A40,A72,A121,A143,A152,1,A172,A191,A202
36,A42,A75,A123,A141,A152,1,A173,A191,A201
12,A42,A73,A122,A143,A152,1,A172,A191,A201
24,A42,A73,A122,A143,A152,1,A172,A192,A201
12,A46,A73,A123,A143,A152,2,A173,A191,A201
15,A42,A75,A122,A143,A152,2,A172,A191,A201
30,A40,A71,A123,A143,A152,2,A174,A191,A201
24,A43,A72,A122,A143,A152,1,A173,A191,A201
24,A41,A74,A124,A143,A153,1,A174,A192,A201
18,A42,A73,A123,A143,A152,1,A173,A191,A201
18,A40,A73,A121,A143,A152,2,A173,A191,A201
8,A40,A74,A121,A143,A152,2,A172,A191,A202
12,A42,A75,A122,A143,A151,1,A173,A192,A201
24,A40,A74,A123,A143,A152,1,A173,A192,A201
36,A43,A75,A123,A143,A152,1,A173,A191,A201
6,A43,A75,A123,A143,A152,1,A173,A191,A201
24,A41,A71,A124,A143,A153,2,A174,A192,A201
18,A46,A73,A121,A143,A152,2,A173,A191,A201
60,A40,A72,A122,A143,A152,1,A174,A191,A201
48,A41,A73,A123,A141,A151,2,A172,A191,A201
24,A42,A75,A124,A141,A151,2,A173,A191,A201
6,A42,A73,A121,A143,A151,1,A174,A192,A201
13,A43,A72,A122,A143,A152,1,A172,A191,A201
15,A44,A73,A123,A143,A151,1,A173,A191,A201
24,A42,A73,A122,A143,A152,1,A173,A191,A201
10,A42,A73,A123,A143,A152,1,A172,A191,A201
24,A46,A72,A124,A143,A153,2,A173,A192,A201
21,A42,A74,A123,A143,A151,1,A172,A191,A201
18,A43,A72,A121,A143,A151,1,A173,A191,A201
18,A49,A75,A121,A141,A152,1,A174,A192,A201
10,A40,A72,A122,A143,A152,1,A172,A191,A201
15,A43,A73,A123,A143,A152,1,A172,A191,A201
13,A43,A72,A121,A143,A152,2,A173,A191,A201
24,A43,A71,A124,A143,A151,1,A171,A191,A201
6,A49,A73,A121,A143,A152,2,A172,A191,A201
9,A46,A75,A124,A143,A153,2,A173,A191,A201
9,A44,A72,A121,A143,A151,1,A173,A192,A201
9,A42,A73,A123,A143,A152,1,A173,A191,A202
18,A41,A71,A124,A143,A152,1,A174,A192,A201
12,A43,A73,A122,A143,A151,2,A173,A192,A201
10,A46,A75,A124,A143,A153,1,A173,A192,A201
24,A40,A72,A121,A142,A152,1,A172,A191,A201
12,A43,A75,A121,A143,A152,1,A173,A192,A201
36,A43,A73,A123,A143,A152,2,A174,A192,A201
12,A43,A73,A121,A143,A152,1,A173,A191,A201
30,A42,A74,A121,A143,A151,1,A173,A191,A201
18,A46,A73,A124,A143,A153,1,A173,A191,A201
12,A43,A75,A123,A143,A152,1,A174,A191,A201
12,A40,A73,A123,A142,A152,2,A173,A192,A201
6,A42,A73,A122,A143,A151,1,A173,A191,A201
18,A42,A71,A123,A143,A152,1,A171,A191,A201
12,A49,A74,A123,A143,A152,1,A173,A192,A201
18,A41,A74,A123,A143,A152,2,A173,A191,A201
18,A42,A72,A123,A143,A151,1,A173,A191,A201
36,A42,A75,A123,A143,A152,1,A173,A191,A201
18,A42,A74,A121,A143,A151,1,A173,A191,A201
36,A40,A73,A121,A143,A152,1,A173,A191,A201
18,A43,A75,A123,A143,A152,2,A173,A192,A201
10,A42,A72,A121,A143,A151,2,A173,A191,A201
60,A40,A75,A124,A141,A153,1,A174,A192,A201
60,A410,A75,A124,A141,A153,2,A174,A192,A201
48,A49,A74,A123,A143,A151,1,A173,A191,A201
18,A43,A71,A121,A143,A152,2,A173,A191,A201
7,A43,A75,A124,A143,A153,1,A173,A191,A201
36,A40,A75,A124,A143,A153,1,A174,A192,A201
6,A40,A73,A123,A143,A152,2,A172,A191,A201
20,A42,A74,A123,A143,A152,1,A173,A192,A201
18,A41,A71,A124,A143,A153,1,A174,A192,A201
22,A40,A74,A122,A143,A151,1,A173,A191,A201
12,A40,A72,A121,A143,A152,1,A173,A191,A201
30,A49,A73,A122,A143,A152,2,A172,A191,A201
18,A43,A73,A123,A143,A152,2,A173,A191,A201
18,A43,A72,A121,A143,A151,1,A173,A192,A201
18,A42,A71,A122,A142,A152,2,A174,A192,A201
15,A49,A73,A123,A141,A152,1,A173,A191,A201
9,A49,A74,A123,A143,A152,2,A173,A191,A201
18,A40,A73,A122,A143,A152,1,A174,A192,A201
12,A42,A72,A121,A143,A151,1,A172,A191,A201
36,A40,A74,A124,A141,A153,1,A174,A192,A201
6,A43,A74,A123,A143,A152,1,A173,A191,A201
9,A42,A71,A123,A143,A152,1,A174,A191,A201
39,A46,A74,A124,A143,A151,1,A173,A192,A201
12,A42,A71,A124,A143,A153,1,A174,A191,A201
36,A42,A73,A122,A143,A152,2,A173,A192,A201
12,A40,A75,A121,A143,A151,2,A173,A191,A201
24,A43,A73,A121,A143,A152,2,A172,A191,A201
18,A43,A72,A121,A143,A152,1,A173,A192,A201
18,A49,A73,A121,A141,A152,2,A173,A191,A201
24,A49,A72,A123,A141,A152,2,A173,A192,A201
14,A40,A73,A123,A143,A152,2,A172,A191,A201
18,A40,A75,A123,A143,A152,1,A173,A191,A201
24,A43,A72,A122,A143,A152,1,A173,A192,A201
24,A41,A74,A123,A143,A152,2,A173,A192,A201
15,A43,A72,A121,A143,A152,1,A173,A191,A202
24,A43,A75,A123,A143,A152,1,A174,A192,A201
12,A40,A74,A121,A143,A152,3,A173,A192,A201
24,A43,A75,A123,A143,A152,1,A173,A192,A201
33,A41,A74,A123,A143,A152,2,A174,A192,A201
12,A49,A71,A123,A142,A152,2,A174,A192,A201
10,A40,A73,A124,A143,A151,1,A172,A191,A202
24,A40,A73,A122,A143,A152,1,A173,A191,A201
36,A41,A75,A122,A143,A152,2,A173,A192,A201
12,A40,A72,A121,A143,A152,1,A172,A191,A201
18,A46,A73,A123,A143,A151,2,A173,A192,A201
21,A40,A74,A123,A141,A152,1,A174,A191,A201
18,A40,A73,A122,A143,A152,1,A173,A191,A201
15,A40,A74,A123,A143,A151,1,A173,A191,A201
12,A41,A73,A123,A143,A152,1,A173,A191,A201
12,A40,A74,A121,A143,A152,2,A172,A191,A201
21,A42,A74,A121,A143,A152,2,A174,A191,A201
12,A42,A75,A122,A141,A152,1,A173,A192,A201
18,A41,A73,A123,A143,A151,1,A173,A192,A201
28,A43,A75,A123,A143,A152,2,A173,A191,A201
18,A43,A73,A121,A143,A152,2,A173,A191,A201
9,A42,A75,A123,A143,A152,1,A173,A191,A201
18,A45,A71,A124,A143,A153,3,A171,A191,A201
5,A49,A74,A121,A143,A152,1,A172,A191,A201
24,A410,A73,A123,A141,A152,2,A174,A192,A201
6,A42,A71,A124,A143,A153,3,A174,A192,A201
24,A45,A73,A121,A143,A152,2,A173,A192,A201
9,A42,A73,A121,A143,A152,1,A173,A191,A201
12,A43,A73,A121,A143,A152,1,A173,A192,A201
6,A45,A74,A121,A143,A151,1,A172,A191,A201
24,A40,A75,A121,A143,A152,2,A173,A192,A201
42,A45,A71,A123,A143,A152,2,A171,A191,A201
12,A49,A72,A121,A143,A152,1,A171,A191,A201
12,A40,A75,A123,A143,A152,1,A174,A192,A201
12,A42,A73,A122,A143,A152,1,A173,A191,A201
20,A410,A73,A123,A141,A152,2,A173,A192,A201
12,A46,A75,A123,A141,A152,1,A172,A191,A201
48,A42,A73,A123,A143,A152,1,A174,A192,A201
9,A46,A75,A122,A143,A151,2,A172,A191,A201
36,A40,A72,A123,A143,A152,1,A173,A192,A201
7,A43,A73,A121,A143,A152,1,A173,A191,A201
12,A42,A75,A121,A143,A152,1,A174,A192,A201
15,A45,A73,A122,A142,A152,2,A173,A191,A201
36,A41,A73,A123,A143,A152,1,A174,A192,A201
6,A43,A73,A121,A143,A152,1,A173,A191,A201
12,A42,A75,A122,A143,A152,2,A173,A191,A201
24,A41,A75,A123,A143,A152,1,A174,A192,A201
24,A40,A74,A122,A143,A152,1,A173,A192,A201
24,A41,A72,A124,A143,A152,1,A174,A192,A201
11,A40,A73,A121,A143,A151,2,A173,A191,A201
12,A41,A75,A124,A143,A153,1,A173,A192,A201
6,A44,A72,A121,A143,A152,1,A173,A191,A201
18,A43,A72,A123,A143,A152,1,A173,A192,A201
36,A42,A73,A122,A143,A152,1,A173,A191,A201
15,A40,A72,A121,A143,A152,1,A173,A191,A201
12,A42,A72,A121,A143,A151,1,A174,A191,A201
12,A48,A75,A122,A143,A152,2,A173,A191,A201
18,A49,A74,A123,A142,A152,2,A173,A192,A201
24,A41,A73,A124,A141,A152,1,A173,A192,A201
24,A43,A72,A123,A143,A151,1,A172,A192,A201
48,A43,A75,A123,A141,A152,2,A173,A191,A201
33,A49,A73,A123,A143,A152,2,A173,A192,A201
24,A41,A74,A123,A143,A152,2,A172,A192,A201
24,A43,A72,A123,A143,A151,1,A173,A192,A201
6,A46,A72,A122,A143,A152,1,A173,A191,A201
9,A40,A73,A123,A143,A152,1,A172,A191,A201
6,A48,A71,A122,A143,A152,1,A174,A192,A201
18,A43,A73,A123,A143,A152,1,A173,A191,A201
18,A42,A72,A122,A143,A151,1,A173,A191,A201
39,A41,A73,A123,A143,A152,1,A173,A191,A201
24,A43,A74,A123,A141,A152,1,A173,A191,A201
12,A49,A74,A121,A143,A152,1,A172,A191,A201
15,A42,A75,A123,A143,A152,2,A173,A192,A201
12,A43,A73,A121,A143,A152,1,A172,A191,A201
24,A40,A72,A122,A143,A152,1,A173,A191,A201
30,A42,A75,A122,A143,A151,2,A173,A192,A201
15,A42,A74,A122,A143,A152,2,A173,A191,A201
12,A40,A73,A121,A143,A152,1,A173,A192,A201
6,A40,A71,A122,A143,A152,1,A174,A192,A201
12,A43,A73,A123,A143,A152,1,A173,A192,A201
24,A40,A75,A124,A143,A153,1,A173,A192,A201
10,A40,A73,A121,A143,A151,1,A172,A191,A202
6,A40,A73,A122,A143,A151,1,A173,A191,A201
12,A43,A75,A124,A143,A152,2,A173,A191,A201
27,A49,A75,A124,A143,A153,2,A174,A192,A201
6,A43,A73,A122,A143,A152,2,A173,A191,A201
6,A43,A75,A122,A143,A152,1,A173,A191,A201
12,A40,A73,A121,A143,A151,2,A172,A191,A202
