Attribute3,Attribute7,Attribute9,Attribute11,Attribute12,Attribute15,Attribute16,Attribute18,class
A32,A72,A92,4,A123,A152,1,1,1
A34,A71,A92,4,A121,A152,3,1,1
A32,A73,A93,2,A121,A152,1,1,1
A32,A75,A92,4,A123,A152,1,1,1
A34,A75,A93,4,A124,A153,3,1,1
A34,A75,A92,4,A124,A153,3,1,1
A34,A75,A93,4,A121,A152,2,2,1
A32,A75,A93,3,A123,A152,1,2,2
A34,A75,A93,4,A121,A152,2,1,1
A32,A72,A92,3,A123,A152,1,1,1
A32,A75,A91,4,A122,A152,1,1,2
A32,A75,A93,2,A123,A152,2,1,1
A32,A74,A93,3,A122,A152,1,1,1
A34,A74,A92,4,A123,A151,1,1,1
A31,A71,A93,4,A124,A153,1,1,1
A32,A74,A93,4,A121,A152,2,1,2
A32,A72,A91,1,A124,A152,1,1,2
A32,A73,A93,2,A121,A152,1,2,1
A34,A73,A92,2,A123,A152,2,1,1
A32,A75,A91,4,A122,A152,1,1,1
A32,A72,A92,4,A122,A152,1,1,2
A32,A73,A93,4,A123,A151,1,1,1
A34,A75,A93,4,A124,A151,2,1,1
A32,A73,A93,2,A121,A152,1,1,1
A31,A74,A93,4,A123,A152,1,1,1
A34,A75,A93,4,A122,A152,1,1,1
A34,A72,A91,2,A123,A152,1,1,1
A32,A72,A92,1,A121,A152,1,1,1
A32,A74,A93,3,A122,A152,1,2,1
A33,A71,A93,4,A124,A153,1,1,1
A32,A73,A92,4,A121,A152,2,1,1
A33,A72,A94,4,A121,A152,1,1,2
A32,A73,A94,2,A121,A152,1,1,1
A32,A72,A94,4,A123,A151,1,1,2
A34,A75,A92,4,A124,A153,2,2,1
A34,A75,A93,4,A124,A153,1,1,1
A34,A75,A91,2,A123,A152,2,2,1
A32,A72,A92,2,A123,A152,1,1,2
A32,A72,A92,4,A123,A151,1,1,1
A32,A75,A93,2,A122,A152,1,1,1
A32,A73,A93,4,A121,A152,1,1,1
A34,A74,A93,2,A123,A152,2,1,1
A32,A71,A92,4,A121,A152,1,1,1
A30,A73,A92,1,A123,A152,1,1,2
A34,A74,A93,2,A121,A152,2,2,2
A34,A74,A93,3,A122,A152,2,1,1
A34,A73,A93,2,A124,A153,1,1,2
A32,A73,A91,2,A121,A152,1,1,1
A32,A74,A92,4,A122,A151,1,1,1
A32,A72,A94,3,A124,A152,1,1,2
A32,A73,A92,4,A121,A152,1,1,2
A32,A73,A94,4,A121,A151,1,1,1
A32,A71,A93,4,A124,A153,1,1,1
A32,A73,A93,1,A123,A152,1,1,1
A32,A72,A92,4,A123,A152,1,1,1
A32,A74,A94,3,A123,A152,1,1,2
A32,A72,A93,2,A121,A152,1,2,1
A31,A75,A93,4,A123,A152,1,1,2
A32,A73,A93,3,A122,A152,1,2,1
A32,A73,A92,4,A122,A152,1,1,1
A34,A73,A93,2,A123,A152,2,1,1
A33,A75,A92,4,A122,A152,2,1,1
A34,A71,A94,2,A123,A152,2,1,2
A32,A72,A91,3,A122,A152,1,1,2
A32,A74,A93,1,A124,A153,1,1,1
A32,A73,A93,2,A123,A152,1,1,1
A34,A73,A92,3,A121,A152,2,1,1
A34,A74,A93,4,A121,A152,2,1,1
A34,A75,A93,4,A122,A151,1,1,1
A32,A74,A92,3,A123,A152,1,2,1
A32,A75,A93,2,A123,A152,1,1,1
A32,A75,A93,4,A123,A152,1,2,1
A34,A71,A93,4,A124,A153,2,1,1
A34,A73,A92,2,A121,A152,2,1,2
A32,A72,A92,2,A122,A152,1,1,2
A34,A73,A92,4,A123,A151,2,1,2
A30,A75,A93,4,A124,A151,2,2,2
A34,A73,A91,4,A121,A151,1,1,2
A32,A72,A92,4,A122,A152,1,1,1
A32,A73,A92,2,A123,A151,1,1,2
A32,A73,A93,4,A122,A152,1,1,1
A32,A73,A91,2,A123,A152,1,1,1
A34,A72,A92,4,A124,A153,2,1,1
A32,A74,A92,4,A123,A151,1,1,1
A32,A72,A94,3,A121,A151,1,1,1
A32,A75,A93,1,A121,A152,1,1,1
A32,A72,A93,1,A122,A152,1,2,1
A34,A73,A92,2,A123,A152,1,1,1
A34,A72,A93,4,A121,A152,2,1,1
A32,A71,A92,4,A124,A151,1,1,1
A33,A73,A93,2,A121,A152,2,1,1
A34,A75,A93,3,A124,A153,2,2,2
A32,A72,A92,4,A121,A151,1,1,1
A32,A73,A92,2,A123,A152,1,1,2
A34,A71,A93,4,A124,A152,1,1,1
A30,A73,A93,2,A122,A151,2,1,2
A32,A75,A93,4,A124,A153,1,1,1
A32,A72,A93,2,A121,A152,1,1,2
A34,A75,A93,4,A121,A152,1,1,1
A33,A73,A93,2,A123,A152,2,1,2
A32,A73,A94,2,A121,A152,1,1,1
A32,A74,A92,4,A121,A151,1,1,2
A32,A73,A93,4,A124,A153,1,1,1
A32,A75,A93,3,A123,A152,1,1,1
A33,A73,A92,2,A123,A152,2,1,1
A32,A73,A94,2,A122,A151,1,1,1
A32,A71,A93,1,A123,A152,1,1,2
A32,A74,A93,4,A123,A152,1,1,1
A34,A74,A93,1,A123,A152,2,1,1
A32,A72,A92,4,A123,A151,1,1,1
A32,A75,A93,2,A123,A152,1,2,2
A32,A74,A92,4,A121,A151,1,1,1
A32,A73,A93,4,A121,A152,1,1,1
A34,A75,A93,4,A123,A152,2,1,1
A34,A72,A92,3,A121,A151,2,1,1
A34,A75,A93,4,A124,A153,1,1,1
A31,A75,A92,4,A124,A153,2,1,2
A31,A74,A92,4,A123,A151,1,1,2
A33,A71,A94,3,A121,A152,2,1,1
A33,A75,A93,4,A124,A153,1,1,1
A32,A75,A93,2,A124,A153,1,1,2
A34,A73,A92,4,A123,A152,2,1,1
A32,A74,A93,4,A123,A152,1,1,1
A32,A71,A92,4,A124,A153,1,1,2
A32,A74,A92,4,A122,A151,1,1,1
A32,A72,A93,1,A121,A152,1,1,1
A33,A73,A93,2,A122,A152,2,1,1
A34,A73,A92,1,A123,A152,2,1,1
A32,A72,A92,2,A121,A151,1,1,1
A34,A71,A93,4,A122,A152,2,1,1
A34,A73,A93,4,A123,A152,1,1,1
A32,A74,A92,2,A123,A152,2,1,1
A32,A73,A94,2,A122,A152,1,1,1
A32,A72,A92,4,A121,A151,1,1,1
A32,A74,A93,4,A124,A153,1,2,1
A34,A74,A92,4,A123,A152,1,1,1
A34,A71,A93,3,A123,A152,1,1,1
A33,A74,A93,3,A124,A151,1,1,1
A32,A71,A92,4,A124,A153,1,1,1
A34,A73,A94,2,A122,A152,2,1,1
A32,A75,A91,1,A121,A151,2,1,2
A34,A73,A92,1,A121,A152,2,1,1
A32,A72,A94,4,A121,A152,1,1,1
A34,A73,A94,4,A121,A152,2,1,1
A33,A72,A93,2,A123,A152,2,1,2
A33,A73,A93,2,A123,A152,2,1,1
A33,A75,A93,4,A123,A152,1,2,1
A32,A72,A94,1,A122,A152,1,1,2
A34,A74,A93,4,A123,A152,2,2,1
A32,A72,A94,2,A121,A152,1,1,1
A32,A75,A91,2,A123,A152,1,1,1
A34,A74,A94,2,A121,A152,3,1,2
A32,A75,A92,4,A123,A152,1,1,1
A34,A74,A93,2,A123,A152,2,1,1
A34,A71,A93,2,A123,A152,2,1,2
A32,A73,A93,2,A124,A151,1,2,1
A32,A73,A92,2,A122,A152,1,1,2
A34,A75,A93,2,A122,A152,2,2,1
A32,A72,A93,1,A121,A152,1,2,2
A33,A73,A92,2,A123,A151,2,1,1
A32,A74,A92,2,A123,A152,1,1,1
A32,A73,A92,2,A122,A152,1,1,2
A32,A74,A92,3,A123,A151,1,1,1
A32,A73,A93,2,A123,A152,1,1,1
A34,A74,A93,3,A121,A152,2,2,1
A33,A74,A93,3,A121,A152,2,1,1
A32,A75,A92,2,A122,A152,1,1,2
A32,A73,A94,3,A123,A151,1,1,1
A34,A75,A93,2,A123,A152,2,1,1
A34,A73,A93,3,A121,A152,2,1,1
A32,A75,A93,4,A123,A152,1,1,1
A34,A71,A92,4,A124,A153,3,2,2
A32,A74,A93,4,A121,A152,1,1,1
A32,A73,A93,3,A123,A152,2,1,2
A34,A71,A93,4,A124,A153,3,1,1
A34,A73,A91,2,A121,A152,2,1,1
A32,A73,A93,2,A121,A152,1,1,1
A32,A73,A94,1,A121,A152,1,1,2
A32,A74,A94,4,A121,A151,1,1,1
A34,A75,A92,4,A121,A152,2,1,1
A34,A71,A93,4,A123,A152,2,1,1
A31,A72,A92,1,A121,A152,1,1,2
A32,A75,A93,4,A123,A152,1,1,1
A32,A73,A92,3,A122,A152,1,1,1
A33,A73,A93,3,A123,A152,2,1,1
A32,A75,A93,4,A123,A152,1,2,2
A34,A73,A92,3,A123,A152,1,1,2
A34,A75,A92,4,A122,A151,2,1,1
A32,A72,A92,4,A123,A152,1,1,2
A32,A73,A93,2,A121,A152,1,1,1
A32,A75,A92,4,A121,A152,1,1,1
A33,A73,A94,3,A122,A152,2,1,2
A34,A73,A93,2,A123,A152,1,1,1
A32,A73,A92,1,A121,A152,1,1,1
A30,A75,A93,4,A122,A152,2,1,1
A32,A75,A93,4,A123,A152,1,1,1
A32,A74,A93,3,A122,A152,1,1,2
A32,A72,A92,1,A124,A152,1,1,1
A34,A73,A93,2,A121,A151,2,2,1
A32,A75,A93,4,A124,A153,1,1,2
A32,A72,A92,1,A121,A152,1,1,1
A32,A72,A93,2,A123,A152,1,1,1
A32,A73,A93,2,A122,A152,1,2,1
A32,A72,A93,3,A121,A152,1,1,1
A32,A72,A92,1,A121,A151,1,1,1
A32,A75,A93,4,A122,A152,2,1,1
A32,A74,A93,1,A123,A152,2,1,1
A32,A73,A93,4,A124,A152,1,2,1
A33,A72,A92,2,A123,A151,1,1,2
A33,A75,A93,3,A123,A152,2,2,1
A33,A73,A92,2,A123,A152,2,1,1
A33,A74,A93,3,A123,A152,2,1,1
A32,A72,A94,2,A123,A151,1,1,2
A32,A72,A92,4,A122,A152,1,1,2
A32,A73,A93,3,A123,A152,1,1,2
A32,A71,A93,4,A122,A152,1,2,1
A34,A73,A94,2,A123,A152,1,1,2
A30,A72,A92,4,A122,A151,1,1,2
A32,A73,A93,4,A123,A152,1,1,1
A32,A74,A93,2,A123,A152,1,1,1
A32,A74,A93,4,A121,A152,1,1,1
A34,A75,A93,4,A123,A152,2,2,1
A34,A73,A92,1,A121,A152,1,1,1
A32,A72,A93,1,A122,A152,1,1,1
A32,A75,A92,4,A122,A151,2,1,1
A33,A74,A92,2,A122,A152,2,1,1
A34,A73,A93,4,A121,A152,1,1,1
A33,A71,A93,4,A122,A152,1,1,2
A32,A73,A93,4,A123,A152,1,1,1
A32,A75,A92,4,A124,A153,1,1,1
A32,A73,A93,2,A121,A151,1,1,1
A32,A73,A93,3,A122,A151,1,1,1
A34,A75,A93,2,A124,A152,2,1,1
A30,A75,A92,4,A124,A153,2,1,2
A34,A73,A92,1,A122,A152,2,1,1
A32,A75,A93,4,A122,A152,1,1,1
A34,A73,A93,2,A121,A151,2,2,1
A32,A73,A94,4,A123,A152,1,1,2
A32,A72,A93,1,A124,A151,1,1,2
A34,A74,A93,3,A122,A152,2,1,1
A32,A75,A94,2,A121,A152,1,1,1
A34,A75,A91,4,A123,A152,2,2,1
A32,A72,A92,1,A122,A152,1,1,2
A32,A75,A93,4,A124,A153,1,2,1
A32,A75,A91,4,A121,A152,1,1,1
A34,A72,A93,4,A124,A152,2,2,2
A32,A72,A92,4,A122,A151,1,1,2
A32,A73,A93,4,A122,A152,1,1,2
A34,A73,A93,2,A123,A152,1,1,1
A31,A71,A93,2,A122,A152,1,2,2
A32,A73,A94,2,A122,A152,1,1,1
A32,A75,A93,2,A123,A152,1,1,1
A32,A74,A93,2,A121,A152,1,1,2
A32,A73,A93,2,A124,A153,1,1,1
A32,A74,A93,4,A122,A151,1,1,1
A33,A73,A94,4,A121,A151,2,1,1
A32,A72,A93,1,A122,A152,1,1,1
A34,A74,A92,3,A122,A152,2,1,1
A34,A72,A93,4,A121,A152,1,2,1
A34,A72,A92,4,A122,A151,2,1,2
A32,A75,A93,2,A122,A152,1,1,1
A34,A75,A93,4,A124,A153,2,1,1
A34,A75,A93,4,A124,A153,2,1,1
A32,A73,A92,2,A121,A152,1,1,2
A30,A73,A93,4,A124,A153,2,2,2
A32,A74,A92,4,A123,A152,1,1,1
A32,A73,A92,4,A121,A152,1,2,1
A32,A72,A93,3,A123,A152,2,1,1
A34,A73,A92,3,A123,A152,1,1,1
A34,A74,A93,1,A121,A152,2,2,1
A32,A73,A91,4,A123,A151,1,1,2
A32,A72,A93,4,A121,A152,1,2,1
A32,A74,A93,1,A123,A152,2,2,1
A32,A73,A92,4,A123,A151,2,1,2
A33,A73,A94,4,A121,A151,1,1,1
A32,A74,A94,3,A122,A152,1,1,1
A32,A72,A93,2,A123,A152,2,1,1
A34,A72,A91,1,A123,A151,1,1,2
A32,A71,A92,3,A122,A152,1,1,1
A34,A75,A92,4,A122,A152,1,1,1
A32,A75,A93,4,A124,A153,1,1,2
A32,A72,A92,1,A122,A152,1,1,1
A32,A72,A94,1,A121,A151,1,1,2
A33,A75,A93,4,A124,A153,2,1,1
A32,A75,A93,4,A122,A152,1,1,2
A32,A73,A93,1,A121,A152,1,2,2
A34,A75,A93,4,A121,A152,2,1,1
A33,A71,A93,2,A121,A153,2,2,2
A34,A73,A92,4,A123,A152,1,1,1
A32,A74,A93,1,A123,A152,1,2,1
A31,A73,A92,4,A121,A152,1,1,2
A34,A74,A93,1,A124,A153,2,1,1
A34,A74,A92,4,A121,A152,2,1,1
A31,A75,A93,4,A122,A152,1,2,1
A32,A74,A94,1,A121,A152,2,1,2
A34,A72,A93,1,A123,A152,1,1,1
A32,A74,A92,4,A122,A152,2,1,1
A32,A72,A93,1,A123,A152,1,1,2
A30,A72,A92,3,A123,A152,2,1,2
A30,A73,A92,4,A122,A152,2,1,2
A31,A74,A93,4,A123,A152,1,1,2
A34,A72,A93,2,A121,A152,2,1,2
A32,A75,A93,4,A124,A153,1,2,1
A31,A74,A93,4,A123,A151,1,1,2
A33,A72,A92,1,A122,A152,1,1,1
A32,A73,A93,4,A124,A153,1,1,2
A33,A73,A93,2,A122,A152,2,1,1
A33,A74,A92,2,A122,A151,2,1,1
A32,A74,A91,3,A123,A152,1,1,2
A34,A75,A93,2,A123,A152,1,1,1
A32,A74,A93,1,A123,A152,2,2,1
A32,A73,A92,2,A123,A152,1,1,2
A32,A72,A92,4,A121,A151,1,1,2
A34,A74,A93,2,A123,A152,1,1,1
A32,A71,A92,4,A122,A151,1,1,1
A32,A73,A92,4,A122,A152,1,1,1
A32,A75,A93,4,A123,A152,2,1,1
A34,A74,A92,3,A123,A152,2,1,1
A32,A74,A92,1,A121,A152,1,1,1
A34,A73,A92,2,A123,A152,2,1,1
A34,A72,A91,4,A123,A152,2,1,2
A32,A72,A94,3,A123,A152,2,1,1
A34,A75,A93,3,A121,A152,2,1,2
A34,A72,A93,3,A121,A152,2,2,1
A32,A73,A92,2,A121,A151,1,1,1
A32,A72,A93,1,A124,A151,1,1,2
A32,A75,A92,4,A124,A153,1,1,1
A32,A73,A92,4,A121,A151,1,1,2
A34,A73,A93,2,A121,A151,2,2,1
A32,A73,A93,1,A122,A152,1,1,1
A32,A73,A94,3,A121,A152,1,1,2
A34,A75,A93,3,A122,A152,2,1,2
A34,A74,A92,3,A121,A152,4,1,1
A33,A73,A92,4,A123,A151,2,1,1
A32,A75,A92,4,A121,A152,1,1,1
A32,A73,A92,4,A122,A151,1,1,2
A31,A75,A93,3,A123,A152,1,1,2
A31,A72,A92,1,A122,A152,1,1,2
A32,A74,A92,4,A123,A151,2,1,2
A30,A73,A93,4,A121,A152,3,1,2
A34,A74,A93,2,A122,A152,2,1,2
A33,A73,A93,2,A124,A153,1,1,1
A32,A72,A92,1,A121,A152,1,1,1
A32,A73,A92,1,A122,A152,1,1,2
A31,A74,A92,4,A124,A153,1,1,2
A32,A73,A92,2,A123,A152,1,1,2
