ChestXray,Grunting,CO2,DuctFlow,GruntingReport,CardiacMixing,LungParench
Plethoric,no,Normal,,no,Complete,Congested
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Normal,no,High,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Complete,Normal
Plethoric,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Grd_Glass,yes,Normal,,no,Mild,Congested
Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Grd_Glass,no,High,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,no,High,,no,Transp.,Congested
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,yes,Normal,Lt_to_Rt,no,Mild,Abnormal
Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Grd_Glass,yes,High,,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Mild,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Asy/Patch,no,High,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Mild,Normal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,yes,High,,yes,Mild,Abnormal
Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Low,Rt_to_Lt,no,Transp.,Normal
Plethoric,no,High,Lt_to_Rt,yes,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Grd_Glass,no,Normal,,no,Transp.,Congested
Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Rt_to_Lt,no,Mild,Normal
Oligaemic,yes,High,Rt_to_Lt,yes,Mild,Congested
Oligaemic,no,High,,no,Transp.,Abnormal
Asy/Patch,yes,Normal,,yes,Transp.,Abnormal
Plethoric,yes,Normal,,yes,,Abnormal
Normal,no,Normal,Rt_to_Lt,no,Transp.,Abnormal
Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,Normal,,yes,Transp.,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Plethoric,no,Low,,no,Complete,Congested
Oligaemic,yes,Normal,,yes,Complete,Normal
Normal,no,Normal,,no,Transp.,Normal
Normal,no,High,,no,Mild,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Congested
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,High,,no,Transp.,Abnormal
Grd_Glass,yes,High,,yes,Transp.,Abnormal
Plethoric,no,Normal,Lt_to_Rt,no,Mild,Normal
Plethoric,no,Normal,,no,Mild,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,High,,no,Transp.,Normal
Grd_Glass,yes,Normal,,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,yes,Low,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,no,Low,Lt_to_Rt,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Low,,no,Transp.,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Complete,Normal
Normal,no,Normal,,no,Mild,Normal
Asy/Patch,yes,Normal,,yes,Mild,Abnormal
Plethoric,yes,Low,,yes,Transp.,Normal
Plethoric,yes,Normal,Rt_to_Lt,no,Complete,Congested
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,Normal,,no,Complete,Normal
Grd_Glass,yes,High,Lt_to_Rt,yes,Complete,Congested
Oligaemic,no,High,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,no,Mild,Normal
Asy/Patch,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Plethoric,no,Normal,,no,Mild,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Transp.,Normal
Plethoric,no,High,,no,Transp.,Normal
Normal,no,Normal,Rt_to_Lt,no,,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Mild,Normal
Normal,no,Normal,,no,Transp.,Normal
Asy/Patch,yes,High,,yes,Mild,Abnormal
Asy/Patch,yes,Normal,,no,,Congested
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,,no,Complete,Congested
Grd_Glass,no,Normal,,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,,Normal
Plethoric,no,Normal,,no,,Normal
Grd_Glass,no,High,Rt_to_Lt,yes,Complete,Congested
Oligaemic,no,High,Lt_to_Rt,no,Mild,Congested
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Plethoric,yes,Normal,,yes,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,High,,no,Complete,Congested
Grd_Glass,yes,High,Lt_to_Rt,yes,Complete,Congested
Oligaemic,yes,Normal,,yes,Complete,Normal
Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Complete,Congested
Plethoric,yes,Normal,,yes,Mild,Normal
Grd_Glass,no,High,Lt_to_Rt,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,yes,Normal,,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,yes,Transp.,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Normal,yes,Normal,Rt_to_Lt,no,Transp.,Abnormal
Oligaemic,yes,Normal,,yes,Mild,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,yes,Normal,,yes,Transp.,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Oligaemic,yes,High,,yes,Transp.,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,yes,Transp.,Normal
Asy/Patch,no,Normal,Lt_to_Rt,yes,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,yes,Low,,yes,Transp.,Normal
Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,Rt_to_Lt,no,Transp.,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Low,,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Asy/Patch,yes,High,Lt_to_Rt,no,Mild,Abnormal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
Plethoric,no,Normal,,no,Transp.,Normal
Plethoric,no,Low,,yes,Transp.,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Oligaemic,no,Normal,,no,Complete,Normal
Asy/Patch,yes,High,Rt_to_Lt,yes,Mild,Abnormal
Normal,yes,Low,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,Low,,yes,Transp.,Abnormal
Asy/Patch,no,High,Lt_to_Rt,no,Complete,Abnormal
Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Grd_Glass,no,Normal,Rt_to_Lt,no,Mild,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,High,Rt_to_Lt,yes,Complete,Congested
Normal,no,Low,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,,no,Complete,Congested
Normal,no,High,,no,Transp.,Abnormal
Plethoric,no,Normal,,no,Transp.,Normal
Asy/Patch,yes,High,Rt_to_Lt,yes,,Abnormal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Transp.,Normal
Normal,yes,High,,yes,Transp.,Abnormal
Plethoric,yes,Normal,Rt_to_Lt,yes,Transp.,Normal
Grd_Glass,yes,High,,yes,Transp.,Abnormal
Oligaemic,no,Normal,,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Mild,Congested
Normal,no,Normal,,no,Transp.,Normal
Grd_Glass,no,Normal,,no,Transp.,Normal
Normal,yes,High,,yes,Transp.,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Normal,yes,Normal,Lt_to_Rt,yes,Complete,Congested
Oligaemic,no,Normal,,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Oligaemic,no,Normal,Rt_to_Lt,no,Complete,Congested
Normal,no,Normal,,no,Transp.,Normal
Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,yes,Normal,,yes,Transp.,Congested
Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,no,High,,no,Transp.,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Congested
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,High,Lt_to_Rt,no,Complete,Abnormal
Grd_Glass,yes,High,,no,Mild,Congested
Asy/Patch,yes,Normal,Rt_to_Lt,no,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,yes,Normal,,yes,Complete,Congested
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,,no,,Normal
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,,yes,Transp.,Abnormal
Oligaemic,yes,Normal,Rt_to_Lt,yes,,Normal
Grd_Glass,no,Low,,no,Transp.,Normal
Grd_Glass,no,Normal,,no,Transp.,Congested
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,Rt_to_Lt,yes,Transp.,Abnormal
Oligaemic,no,Normal,,no,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Plethoric,no,Low,,no,,Normal
Normal,no,Normal,,no,Transp.,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Plethoric,no,Normal,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Congested
Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Plethoric,no,Normal,,no,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,yes,High,,no,Mild,Abnormal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Grd_Glass,no,Normal,,no,Transp.,Abnormal
Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Grd_Glass,no,High,Lt_to_Rt,no,Complete,Abnormal
Grd_Glass,yes,Normal,Lt_to_Rt,yes,Complete,Congested
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,no,Normal,,no,Complete,Normal
Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Congested
Plethoric,yes,Normal,,yes,Transp.,Normal
Plethoric,yes,Normal,,yes,Transp.,Normal
Oligaemic,no,High,,no,Transp.,Normal
Oligaemic,no,Normal,,no,Complete,Normal
Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,yes,Normal,,yes,Transp.,Normal
Asy/Patch,yes,High,,yes,Complete,Abnormal
Plethoric,no,Normal,,no,Mild,Normal
Oligaemic,no,Normal,,yes,Transp.,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,yes,Normal,,no,Transp.,Normal
Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Plethoric,yes,Normal,Rt_to_Lt,yes,Transp.,Normal
Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Congested
Normal,yes,High,,yes,Mild,Congested
