HRBP,VENTMACH,VENTTUBE,PULMEMBOLUS,INSUFFANESTH,LVFAILURE,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,TPR,VENTLUNG,ARTCO2,HR,SAO2,CATECHOL,DISCONNECT
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,NORMAL,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,LOW,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,ZERO,ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,NORMAL,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,True
LOW,ZERO,ZERO,False,False,True,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,True,False,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,NORMAL,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,True,False,NORMAL,HIGH,ZERO,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,HIGH,HIGH,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,HIGH,False,False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,LOW,ZERO,False,True,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,HIGH,HIGH,ZERO,HIGH,NORMAL,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,True,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,True
NORMAL,ZERO,ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,LOW,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,False
LOW,LOW,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,HIGH,True,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,NORMAL,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,HIGH,ZERO,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
