HRBP,VENTMACH,VENTTUBE,LVFAILURE,LVEDVOLUME,PVSAT,CO,MINVOL,HRSAT,HREKG,PCWP,VENTALV,TPR,ARTCO2,HR,CVP,SAO2,HYPOVOLEMIA,CATECHOL,DISCONNECT
LOW,NORMAL,ZERO,False,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,NORMAL,True,HIGH,True
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,LOW,ZERO,False,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,NORMAL,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,ZERO,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,LOW,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,LOW,NORMAL,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,ZERO,NORMAL,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
NORMAL,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,LOW,True,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,LOW,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,ZERO,ZERO,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,True,NORMAL,True
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,LOW,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,HIGH,NORMAL,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,True
LOW,ZERO,ZERO,True,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,HIGH,HIGH,False,NORMAL,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,LOW,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,ZERO,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,False,HIGH,True
HIGH,NORMAL,LOW,False,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,True,LOW,LOW,LOW,ZERO,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,True,HIGH,False
LOW,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,NORMAL,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,HIGH,False,HIGH,False
LOW,NORMAL,LOW,True,LOW,LOW,LOW,ZERO,LOW,LOW,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,LOW,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,True,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,HIGH,False,NORMAL,HIGH,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,LOW,ZERO,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,False,NORMAL,False
HIGH,LOW,ZERO,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,NORMAL,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,False,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH,HIGH,LOW,True,HIGH,True
HIGH,NORMAL,LOW,False,HIGH,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,True,HIGH,False
HIGH,LOW,ZERO,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
NORMAL,NORMAL,LOW,False,HIGH,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,HIGH,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,ZERO,ZERO,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,ZERO,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,True
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
LOW,NORMAL,ZERO,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,True
NORMAL,ZERO,ZERO,False,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,True,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,HIGH,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,NORMAL,True,HIGH,False
LOW,LOW,LOW,False,NORMAL,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,False,NORMAL,False
LOW,NORMAL,LOW,True,LOW,LOW,LOW,ZERO,LOW,LOW,LOW,ZERO,NORMAL,HIGH,NORMAL,LOW,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,LOW,True,HIGH,False
LOW,HIGH,HIGH,False,NORMAL,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,True,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,ZERO,ZERO,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,False,HIGH,True
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,HIGH,LOW,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,HIGH,HIGH,NORMAL,HIGH,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,NORMAL,LOW,False,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,LOW,False,HIGH,False
HIGH,LOW,ZERO,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,HIGH,True,HIGH,False
