HRBP,VENTMACH,VENTTUBE,ERRCAUTER,LVFAILURE,PVSAT,CO,MINVOL,HRSAT,HREKG,PCWP,VENTALV,TPR,VENTLUNG,ARTCO2,HR,FIO2,SAO2,CATECHOL,DISCONNECT
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
LOW,HIGH,HIGH,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,HIGH,False
LOW,NORMAL,LOW,False,True,LOW,LOW,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,HIGH,True,False,HIGH,LOW,HIGH,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,LOW,ZERO,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
NORMAL,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,HIGH,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH,NORMAL,ZERO,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,HIGH,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,NORMAL,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,True
NORMAL,ZERO,ZERO,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,NORMAL,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
LOW,LOW,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,True,LOW,LOW,ZERO,LOW,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
