LungFlow,XrayReport,ChestXray,LungParench
Low,Asy/Patchy,Oligaemic,Abnormal
High,Asy/Patchy,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Normal
Low,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Congested
High,Asy/Patchy,Oligaemic,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Plethoric,Congested
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Normal,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Plethoric,Plethoric,Congested
Low,Oligaemic,Oligaemic,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Oligaemic,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Oligaemic,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Asy/Patch,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Congested
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Asy/Patch,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Oligaemic,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
High,Grd_Glass,Grd_Glass,Congested
High,Normal,Plethoric,Normal
Low,Oligaemic,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Abnormal
High,Asy/Patchy,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Plethoric,Congested
Low,Oligaemic,Oligaemic,Abnormal
Low,Normal,Normal,Abnormal
High,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Congested
High,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Abnormal
Low,Normal,Normal,Normal
Low,Grd_Glass,Grd_Glass,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Abnormal
Normal,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Grd_Glass,Congested
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Normal,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Normal,Normal
Low,Normal,Asy/Patch,Abnormal
Low,Asy/Patchy,Plethoric,Normal
Low,Normal,Normal,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
High,Oligaemic,Oligaemic,Abnormal
Normal,Normal,Normal,Normal
High,Grd_Glass,Oligaemic,Abnormal
High,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Normal,Plethoric,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Congested
High,Normal,Normal,Normal
Low,Plethoric,Asy/Patch,Normal
Normal,Grd_Glass,Grd_Glass,Congested
High,Normal,Oligaemic,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Grd_Glass,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Normal,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Congested
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Normal,Oligaemic,Normal,Normal
High,Oligaemic,Plethoric,Normal
High,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Oligaemic,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
Normal,Plethoric,Plethoric,Abnormal
High,Asy/Patchy,Plethoric,Normal
High,Asy/Patchy,Normal,Normal
Normal,Plethoric,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Normal,Oligaemic,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Congested
Normal,Normal,Normal,Normal
High,Normal,Normal,Abnormal
High,Normal,Normal,Abnormal
High,Grd_Glass,Grd_Glass,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Oligaemic,Normal,Normal
Low,Normal,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Normal,Normal
Low,Plethoric,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Plethoric,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Grd_Glass,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Normal,Oligaemic,Congested
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
High,Plethoric,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
Low,Plethoric,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Congested
Normal,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Grd_Glass,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Asy/Patchy,Asy/Patch,Normal
High,Oligaemic,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Normal,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Grd_Glass,Congested
High,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Oligaemic,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Asy/Patch,Congested
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Congested
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Oligaemic,Abnormal
High,Normal,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Grd_Glass,Grd_Glass,Normal
High,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Normal,Grd_Glass,Asy/Patch,Abnormal
Normal,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Grd_Glass,Congested
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Abnormal
High,Asy/Patchy,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Congested
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
Low,Normal,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Normal
High,Oligaemic,Oligaemic,Abnormal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Normal,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Plethoric,Normal,Normal
High,Oligaemic,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Plethoric,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Oligaemic,Abnormal
High,Normal,Normal,Normal
High,Asy/Patchy,Grd_Glass,Congested
Low,Normal,Plethoric,Abnormal
High,Plethoric,Plethoric,Normal
High,Normal,Oligaemic,Abnormal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Grd_Glass,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
High,Grd_Glass,Grd_Glass,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Abnormal
High,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Normal
Normal,Asy/Patchy,Normal,Normal
High,Grd_Glass,Asy/Patch,Abnormal
High,Oligaemic,Plethoric,Normal
High,Normal,Grd_Glass,Abnormal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Plethoric,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Oligaemic,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Grd_Glass,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
High,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Normal,Normal,Normal,Normal
High,Normal,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Oligaemic,Oligaemic,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Congested
High,Grd_Glass,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Asy/Patch,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
