RUQO2,HypoxiaInO2,LowerBodyO2,HypDistrib,LVH,CardiacMixing,LungParench
5-12,Severe,<5,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,<5,Unequal,no,Mild,Abnormal
5-12,Moderate,<5,Equal,yes,Complete,Normal
5-12,Mild,12+,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Complete,Abnormal
<5,Severe,<5,Equal,yes,Transp.,Normal
<5,Moderate,<5,Unequal,no,Mild,Congested
<5,Mild,12+,Equal,no,Mild,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,<5,Unequal,yes,Complete,Abnormal
5-12,Severe,12+,Equal,yes,Transp.,Abnormal
<5,Moderate,12+,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Severe,<5,Unequal,no,Transp.,Normal
5-12,Severe,12+,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Abnormal
5-12,Moderate,<5,Equal,no,Mild,Abnormal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,yes,Mild,Abnormal
<5,Moderate,5-12,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Unequal,no,Mild,Abnormal
<5,Moderate,<5,Equal,yes,Transp.,Normal
<5,Moderate,<5,Unequal,no,,Congested
12+,Moderate,<5,Equal,no,Complete,Abnormal
<5,Severe,5-12,Equal,no,Transp.,Normal
12+,Mild,12+,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Congested
5-12,Severe,<5,Equal,no,Transp.,Normal
<5,Moderate,12+,Equal,no,Complete,Congested
<5,Severe,5-12,Unequal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Abnormal
<5,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,no,Complete,Abnormal
5-12,Mild,5-12,Equal,no,Transp.,Congested
5-12,Severe,5-12,Equal,no,Mild,Abnormal
5-12,Moderate,<5,Equal,no,Complete,Normal
12+,Mild,12+,Equal,no,Transp.,Congested
5-12,Moderate,5-12,Equal,no,Transp.,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
<5,Moderate,5-12,Unequal,yes,Transp.,Abnormal
<5,Moderate,<5,Equal,yes,Transp.,Normal
12+,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,no,,Congested
<5,Severe,<5,Equal,no,Complete,Congested
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Mild,5-12,Equal,yes,Mild,Abnormal
12+,Moderate,<5,Equal,no,Complete,Normal
12+,Mild,12+,Equal,no,Mild,Congested
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Unequal,no,Complete,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Unequal,no,Complete,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Moderate,5-12,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Mild,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Congested
5-12,Moderate,<5,Equal,yes,Complete,Congested
5-12,Mild,12+,Equal,no,Mild,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,12+,Equal,no,Mild,Normal
5-12,Moderate,5-12,Unequal,no,Transp.,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
12+,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,12+,Equal,no,Complete,Abnormal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,yes,Transp.,Normal
<5,Severe,<5,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Congested
5-12,Moderate,5-12,Equal,no,Mild,Normal
5-12,Moderate,5-12,Equal,no,Mild,Congested
12+,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,<5,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,no,Complete,Congested
5-12,Severe,<5,Equal,yes,Complete,Abnormal
5-12,Moderate,<5,Equal,yes,Complete,Congested
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Mild,5-12,Unequal,no,,Congested
12+,Severe,<5,Equal,no,Mild,Normal
5-12,Moderate,12+,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Congested
5-12,Severe,<5,Equal,no,Complete,Congested
<5,Severe,<5,Unequal,yes,Transp.,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,5-12,Unequal,no,Complete,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,no,Complete,Normal
12+,Mild,5-12,Equal,no,Mild,Normal
5-12,Moderate,<5,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Complete,Normal
5-12,Moderate,<5,Unequal,no,Mild,Abnormal
<5,Severe,<5,Equal,yes,Mild,Abnormal
12+,Moderate,5-12,Equal,yes,Complete,Abnormal
5-12,Moderate,<5,Equal,no,Mild,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Moderate,12+,Equal,no,Complete,Congested
<5,Severe,<5,Equal,yes,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Mild,Abnormal
12+,Mild,5-12,Equal,no,Complete,Abnormal
5-12,Moderate,12+,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Mild,Normal
5-12,Mild,12+,Equal,no,,Normal
5-12,Moderate,5-12,Equal,no,Mild,Normal
5-12,Moderate,<5,Equal,yes,Mild,Congested
<5,Mild,12+,Equal,yes,,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
12+,Mild,<5,Equal,no,Mild,Abnormal
5-12,Severe,<5,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Complete,Normal
<5,Severe,5-12,Equal,no,Complete,Abnormal
12+,Moderate,5-12,Equal,no,Mild,Normal
<5,Moderate,12+,Equal,no,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
<5,Moderate,5-12,Equal,no,Complete,Congested
12+,Moderate,5-12,Equal,yes,Complete,Abnormal
5-12,Moderate,12+,Equal,no,Complete,Abnormal
12+,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Mild,Abnormal
5-12,Severe,<5,Unequal,yes,Transp.,Normal
12+,Mild,12+,Equal,no,Complete,Normal
12+,Mild,12+,Equal,no,,Abnormal
5-12,Severe,5-12,Equal,yes,Complete,Abnormal
5-12,Moderate,<5,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,yes,Complete,Abnormal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,12+,Equal,no,Mild,Normal
5-12,Severe,<5,Equal,no,Complete,Congested
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Abnormal
5-12,Moderate,5-12,Equal,no,Mild,Normal
5-12,Mild,12+,Equal,no,,Normal
<5,Severe,12+,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,12+,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Mild,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Complete,Normal
5-12,Severe,5-12,Unequal,yes,Transp.,Abnormal
5-12,Severe,<5,Equal,no,Mild,Normal
12+,Mild,12+,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Mild,12+,Equal,no,Complete,Abnormal
5-12,Moderate,<5,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Transp.,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,<5,Unequal,no,Mild,Normal
5-12,Severe,5-12,Equal,no,Complete,Congested
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Mild,12+,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,12+,Equal,no,Complete,Congested
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Mild,Normal
<5,Severe,5-12,Equal,yes,Complete,Abnormal
<5,Severe,5-12,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
12+,Severe,12+,Equal,no,Mild,Abnormal
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Complete,Normal
<5,Severe,5-12,Equal,yes,Complete,Abnormal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Mild,12+,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
<5,Severe,5-12,Unequal,no,Transp.,Normal
5-12,Severe,5-12,Equal,yes,Transp.,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Transp.,Abnormal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Severe,<5,Equal,no,Complete,Abnormal
<5,Severe,5-12,Equal,no,Transp.,Abnormal
12+,Severe,<5,Unequal,no,Complete,Normal
<5,Severe,5-12,Equal,yes,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
<5,Severe,12+,Equal,no,Complete,Normal
5-12,Moderate,5-12,Unequal,no,Mild,Normal
5-12,Severe,<5,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Mild,Normal
<5,Severe,5-12,Equal,no,Complete,Normal
5-12,Moderate,12+,Equal,no,Mild,Normal
<5,Moderate,<5,Equal,no,Mild,Normal
12+,Severe,12+,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Complete,Abnormal
<5,Severe,<5,Equal,yes,Complete,Normal
12+,Moderate,<5,Equal,no,Complete,Normal
<5,Severe,5-12,Equal,yes,Transp.,Abnormal
<5,Moderate,<5,Equal,no,Mild,Normal
12+,Moderate,<5,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,no,Mild,Normal
<5,Moderate,5-12,Unequal,yes,Complete,Normal
12+,Severe,<5,Equal,no,Complete,Normal
5-12,Moderate,<5,Equal,no,Complete,Normal
5-12,Moderate,<5,Equal,no,Complete,Congested
<5,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Complete,Normal
12+,Moderate,5-12,Equal,no,Complete,Congested
5-12,Moderate,5-12,Equal,yes,,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,yes,Transp.,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Abnormal
<5,Severe,5-12,Equal,no,Transp.,Normal
12+,Mild,5-12,Equal,no,Mild,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Moderate,<5,Equal,no,Mild,Normal
12+,Severe,<5,Unequal,no,Complete,Congested
<5,Mild,12+,Equal,no,Mild,Abnormal
5-12,Mild,5-12,Equal,no,Mild,Normal
12+,Mild,12+,Equal,no,Mild,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
<5,Mild,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Transp.,Normal
<5,Moderate,5-12,Equal,no,Complete,Abnormal
12+,Mild,5-12,Unequal,no,,Normal
12+,Moderate,12+,Equal,no,Complete,Normal
5-12,Moderate,12+,Equal,yes,Transp.,Normal
<5,Severe,<5,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,yes,Complete,Congested
<5,Moderate,12+,Equal,yes,Complete,Congested
5-12,Moderate,5-12,Equal,yes,Mild,Normal
5-12,Mild,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Congested
12+,Moderate,5-12,Equal,no,Complete,Normal
<5,Severe,12+,Equal,yes,Complete,Normal
5-12,Moderate,12+,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
12+,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
12+,Mild,<5,Equal,no,Mild,Normal
<5,Moderate,12+,Equal,yes,Transp.,Normal
12+,Severe,5-12,Equal,no,Transp.,Normal
<5,Moderate,<5,Equal,no,Mild,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Mild,12+,Equal,yes,Complete,Normal
5-12,Severe,<5,Unequal,yes,,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Abnormal
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,12+,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Complete,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,yes,Mild,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
12+,Mild,<5,Unequal,no,Mild,Abnormal
5-12,Severe,5-12,Unequal,no,Transp.,Abnormal
12+,Mild,<5,Unequal,no,,Abnormal
12+,Severe,<5,Equal,yes,Transp.,Normal
<5,Moderate,5-12,Equal,no,Mild,Normal
<5,Severe,5-12,Equal,no,Complete,Abnormal
12+,Mild,12+,Equal,yes,Mild,Abnormal
<5,Moderate,5-12,Equal,no,Mild,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,yes,Transp.,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Mild,Abnormal
<5,Severe,<5,Equal,no,Transp.,Normal
<5,Severe,<5,Unequal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Mild,12+,Equal,no,Mild,Abnormal
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,no,Mild,Normal
<5,Mild,<5,Equal,no,,Normal
5-12,Severe,<5,Equal,no,Complete,Normal
5-12,Severe,12+,Equal,no,Transp.,Abnormal
5-12,Moderate,5-12,Unequal,no,Mild,Normal
<5,Moderate,5-12,Unequal,yes,Complete,Normal
5-12,Moderate,5-12,Unequal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Moderate,<5,Unequal,yes,Complete,Normal
<5,Severe,5-12,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Complete,Abnormal
5-12,Moderate,5-12,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,,Congested
<5,Severe,5-12,Equal,no,Complete,Normal
5-12,Moderate,<5,Equal,no,Transp.,Normal
<5,Severe,5-12,Equal,no,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Congested
12+,Moderate,<5,Equal,no,Mild,Normal
<5,Moderate,5-12,Equal,no,Complete,Abnormal
5-12,Moderate,<5,Unequal,no,Complete,Abnormal
5-12,Mild,12+,Equal,yes,Complete,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
5-12,Severe,12+,Equal,no,Transp.,Normal
5-12,Moderate,12+,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Mild,Normal
<5,Severe,<5,Equal,no,Complete,Abnormal
5-12,Mild,12+,Equal,yes,Complete,Normal
<5,Severe,<5,Equal,no,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Mild,Congested
12+,Mild,12+,Equal,no,Complete,Normal
12+,Mild,<5,Unequal,no,,Abnormal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Severe,<5,Equal,no,Transp.,Abnormal
12+,Mild,5-12,Equal,yes,Complete,Normal
<5,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Severe,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Congested
12+,Moderate,<5,Equal,no,Complete,Abnormal
5-12,Severe,<5,Equal,no,Transp.,Abnormal
<5,Moderate,<5,Unequal,no,Transp.,Abnormal
<5,Moderate,5-12,Equal,yes,Complete,Normal
<5,Severe,5-12,Equal,no,Complete,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,yes,Complete,Abnormal
12+,Mild,12+,Equal,no,,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Unequal,no,Mild,Normal
12+,Mild,12+,Equal,no,Transp.,Normal
5-12,Moderate,<5,Equal,yes,Mild,Congested
<5,Moderate,5-12,Equal,yes,Complete,Congested
5-12,Severe,<5,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
12+,Moderate,5-12,Equal,no,Complete,Normal
<5,Mild,12+,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,yes,Complete,Abnormal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Severe,<5,Equal,no,Complete,Abnormal
5-12,Moderate,12+,Equal,no,Complete,Normal
12+,Mild,12+,Equal,no,Mild,Normal
<5,Mild,12+,Equal,no,Complete,Normal
5-12,Moderate,12+,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Moderate,<5,Unequal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
12+,Severe,<5,Unequal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Abnormal
<5,Severe,<5,Unequal,no,Transp.,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,12+,Unequal,yes,Complete,Normal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Mild,Congested
<5,Moderate,5-12,Equal,no,Mild,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
5-12,Moderate,12+,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Mild,Abnormal
5-12,Moderate,5-12,Unequal,no,Complete,Normal
12+,Mild,12+,Equal,yes,,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Mild,Abnormal
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Moderate,<5,Equal,no,Transp.,Congested
5-12,Moderate,12+,Equal,no,Complete,Normal
12+,Mild,12+,Equal,no,Complete,Normal
<5,Severe,12+,Equal,no,Transp.,Normal
5-12,Severe,<5,Equal,no,Complete,Normal
12+,Severe,12+,Equal,no,Complete,Normal
5-12,Moderate,<5,Equal,no,Complete,Abnormal
<5,Moderate,<5,Unequal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Transp.,Congested
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Mild,Congested
5-12,Moderate,<5,Equal,no,Transp.,Normal
5-12,Moderate,<5,Unequal,yes,Complete,Normal
12+,Mild,12+,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Moderate,<5,Unequal,no,Complete,Congested
12+,Moderate,5-12,Equal,no,Mild,Normal
<5,Moderate,5-12,Unequal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Transp.,Abnormal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Complete,Congested
5-12,Severe,5-12,Unequal,yes,Complete,Normal
<5,Severe,5-12,Equal,no,Transp.,Normal
<5,Severe,<5,Equal,no,Transp.,Abnormal
<5,Moderate,5-12,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,<5,Equal,no,Mild,Normal
5-12,Severe,<5,Equal,no,Mild,Normal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,<5,Equal,yes,Complete,Normal
12+,Severe,5-12,Equal,yes,Complete,Normal
5-12,Severe,5-12,Equal,no,Transp.,Abnormal
<5,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
<5,Moderate,<5,Equal,no,Complete,Normal
5-12,Moderate,5-12,Equal,no,Complete,Normal
12+,Severe,5-12,Equal,yes,Complete,Normal
12+,Mild,<5,Equal,yes,Complete,Abnormal
12+,Severe,<5,Equal,no,Complete,Congested
12+,Mild,<5,Unequal,no,,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,no,Transp.,Normal
12+,Severe,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
12+,Moderate,5-12,Equal,no,Mild,Abnormal
5-12,Severe,<5,Equal,no,Transp.,Normal
12+,Mild,5-12,Equal,no,,Normal
<5,Severe,12+,Equal,no,Transp.,Abnormal
5-12,Severe,5-12,Equal,no,Complete,Normal
5-12,Severe,5-12,Equal,no,Complete,Abnormal
5-12,Mild,5-12,Unequal,no,,Normal
5-12,Severe,<5,Equal,no,Transp.,Normal
5-12,Moderate,5-12,Equal,yes,Complete,Normal
5-12,Moderate,5-12,Equal,yes,Mild,Normal
