G,N,S
AZ,Pneumonia,AZ_PN-4
AK,Heart Failure,AK_HF-4
AZ,Heart Attack,AZ_AMI-1
AK,Heart Attack,AK_AMI-1
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-4
AR,Heart Attack,AR_AMI-1
CA,Heart Attack,CA_AMI-4
AZ,Pneumonia,AZ_PN-4
AZ,Heart Failure,AZ_HF-3
AR,Heart Attack,AR_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AL,Heart Attack,AL_AMI-4
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-5
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-5
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AZ,Heart Failure,AZ_HF-3
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-7A
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-3
AK,Heart Failure,AK_HF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-4
CA,Heart Attack,CA_AMI-7A
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Failure,AZ_HF-1
AL,Heart Attack,AL_AMI-7A
AR,Heart Failure,AR_HF-4
AR,Heart Attack,AR_AMI-1
AZ,Heart Attack,AZ_AMI-5
AZ,Pneumonia,AZ_PN-6
AK,Heart Failure,AK_HF-3
AZ,Heart Attack,AZ_AMI-2
AR,Heart Attack,AR_AMI-3
AZ,Heart Attack,AZ_AMI-2
AK,Heart Failure,AK_HF-4
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Heart Attack,AR_AMI-1
AK,Heart Failure,AK_HF-4
AR,Heart Failure,AR_HF-3
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-5
CA,Heart Attack,CA_AMI-7A
AZ,Heart Failure,AZ_HF-1
AR,Heart Attack,AR_AMI-4
AR,Pneumonia,AR_PN-3B
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Failure,AZ_HF-4
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-4
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-3
AK,Heart Attack,AK_AMI-4
AL,Heart Attack,AL_AMI-3
AK,Pneumonia,AK_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AL,Heart Failure,AL_HF-4
AL,Heart Attack,AL_AMI-3
AZ,Surgical Infection Prevention,AZ_SCIP-CARD-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AL,Heart Attack,AL_AMI-2
AZ,Heart Attack,AZ_AMI-1
AZ,Heart Failure,AZ_HF-1
CA,Heart Attack,CA_AMI-4
AL,Pneumonia,AL_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AR,Heart Attack,AR_AMI-2
AK,Heart Attack,AK_AMI-4
AR,Heart Failure,AR_HF-3
AL,Heart Failure,AL_HF-4
AK,Heart Attack,AK_AMI-4
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-4
AK,Pneumonia,AK_PN-5C
AR,Heart Attack,AR_AMI-3
AZ,Heart Attack,AZ_AMI-3
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Attack,AZ_AMI-5
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-4
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AR,Heart Attack,AR_AMI-3
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AK,Heart Failure,AK_HF-3
AZ,Heart Failure,AZ_HF-1
AK,Surgical Infection Prevention,AK_SCIP-CARD-2
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-1
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Attack,CA_AMI-3
AL,Pneumonia,AL_PN-3B
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-7A
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-2
AL,Pneumonia,AL_PN-4
AZ,Pneumonia,AZ_PN-6
AZ,Pneumonia,AZ_PN-4
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-7A
AZ,Heart Failure,AZ_HF-2
AZ,Heart Attack,AZ_AMI-5
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-1
AR,Heart Attack,AR_AMI-5
AR,Heart Attack,AR_AMI-3
AK,Heart Failure,AK_HF-4
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-1
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-5
AK,Pneumonia,AK_PN-5C
CA,Heart Attack,CA_AMI-3
AZ,Heart Attack,AZ_AMI-1
AZ,Heart Failure,AZ_HF-4
AL,Heart Attack,AL_AMI-2
AK,Heart Failure,AK_HF-4
CA,Heart Attack,CA_AMI-4
AR,Heart Attack,AR_AMI-7A
AR,Heart Attack,AR_AMI-4
AL,Heart Attack,AL_AMI-3
AR,Pneumonia,AR_PN-3B
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-7A
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AL,Heart Failure,AL_HF-4
AK,Heart Attack,AK_AMI-4
AR,Heart Attack,AR_AMI-1
AZ,Heart Failure,AZ_HF-3
AZ,Heart Attack,AZ_AMI-5
AZ,Heart Attack,AZ_AMI-1
CA,Heart Attack,CA_AMI-3
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AK,Surgical Infection Prevention,AK_SCIP-CARD-2
AZ,Pneumonia,AZ_PN-4
AK,Pneumonia,AK_PN-5C
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-4
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Heart Attack,AL_AMI-1
AK,Heart Attack,AK_AMI-1
AZ,Heart Attack,AZ_AMI-2
AR,Heart Attack,AR_AMI-4
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-1
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-3
AZ,Pneumonia,AZ_PN-4
AZ,Heart Failure,AZ_HF-3
AL,Heart Attack,AL_AMI-3
AZ,Heart Attack,AZ_AMI-3
AR,Heart Attack,AR_AMI-5
CA,Heart Attack,CA_AMI-2
AK,Heart Attack,AK_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Attack,CA_AMI-4
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-5
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-2
AZ,Heart Attack,AZ_AMI-8A
AR,Heart Attack,AR_AMI-3
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-7A
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-1
CA,Heart Attack,CA_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-5
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-1
AZ,Heart Attack,AZ_AMI-1
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-2
AK,Heart Failure,AK_HF-1
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-4
AL,Heart Attack,AL_AMI-7A
AZ,Heart Attack,AZ_AMI-3
AL,Heart Attack,AL_AMI-5
AZ,Heart Attack,AZ_AMI-2
AL,Heart Attack,AL_AMI-2
AR,Heart Attack,AR_AMI-1
AR,Pneumonia,AR_PN-6
AZ,Heart Attack,AZ_AMI-7A
AL,Heart Attack,AL_AMI-5
AR,Heart Attack,AR_AMI-2
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-1
AK,Heart Attack,AK_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AK,Heart Attack,AK_AMI-5
CA,Heart Attack,CA_AMI-3
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-3
AL,Heart Attack,AL_AMI-3
AZ,Heart Attack,AZ_AMI-7A
AZ,Heart Failure,AZ_HF-3
AR,Heart Attack,AR_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
CA,Heart Attack,CA_AMI-3
AZ,Heart Attack,AZ_AMI-3
AZ,Heart Failure,AZ_HF-3
AR,Heart Attack,AR_AMI-7A
AZ,Surgical Infection Prevention,AZ_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-3
AL,Heart Attack,AL_AMI-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AL,Heart Attack,AL_AMI-2
AR,Heart Attack,AR_AMI-3
AR,Heart Attack,AR_AMI-3
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AR,Heart Attack,AR_AMI-1
CA,Heart Attack,CA_AMI-2
AL,Heart Attack,AL_AMI-2
AR,Heart Attack,AR_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-3
AK,Pneumonia,AK_PN-3B
AL,Heart Attack,AL_AMI-5
AK,Pneumonia,AK_PN-3B
AK,Heart Failure,AK_HF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-2
AZ,Heart Failure,AZ_HF-3
AL,Heart Attack,AL_AMI-3
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-5
AZ,Surgical Infection Prevention,AZ_SCIP-VTE-1
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-3
AZ,Heart Failure,AZ_HF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Heart Attack,AR_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AZ,Heart Attack,AZ_AMI-3
AK,Pneumonia,AK_PN-5C
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-5
AL,Heart Attack,AL_AMI-1
AL,Heart Attack,AL_AMI-4
AK,Heart Attack,AK_AMI-2
AR,Heart Attack,AR_AMI-4
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-3
AZ,Heart Failure,AZ_HF-2
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AL,Heart Attack,AL_AMI-5
AK,Heart Attack,AK_AMI-2
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-3
AZ,Heart Failure,AZ_HF-3
AZ,Heart Failure,AZ_HF-1
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-4
CA,Heart Attack,CA_AMI-7A
AZ,Heart Attack,AZ_AMI-4
AL,Heart Attack,AL_AMI-5
AR,Heart Attack,AR_AMI-2
AZ,Heart Failure,AZ_HF-3
AZ,Heart Attack,AZ_AMI-4
AL,Heart Failure,AL_HF-4
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AZ,Heart Attack,AZ_AMI-2
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-5
CA,Heart Attack,CA_AMI-5
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-4
AL,Heart Attack,AL_AMI-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-5
AZ,Heart Failure,AZ_HF-4
AK,Heart Attack,AK_AMI-5
CA,Heart Attack,CA_AMI-3
AZ,Heart Attack,AZ_AMI-8A
AR,Heart Attack,AR_AMI-7A
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-4
AZ,Heart Attack,AZ_AMI-4
CA,Heart Attack,CA_AMI-2
AL,Heart Attack,AL_AMI-3
AK,Heart Attack,AK_AMI-1
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-5
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-7A
AL,Heart Attack,AL_AMI-5
CA,Heart Attack,CA_AMI-7A
AK,Heart Attack,AK_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-4
CA,Heart Attack,CA_AMI-8A
AL,Heart Attack,AL_AMI-1
AK,Heart Attack,AK_AMI-5
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-7A
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-1
AK,Heart Attack,AK_AMI-7A
AK,Heart Failure,AK_HF-4
AL,Heart Attack,AL_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-4
AR,Pneumonia,AR_PN-6
AZ,Heart Attack,AZ_AMI-7A
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-4
CA,Heart Attack,CA_AMI-2
AK,Heart Failure,AK_HF-3
AL,Heart Attack,AL_AMI-4
AZ,Heart Failure,AZ_HF-4
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-4
AZ,Heart Failure,AZ_HF-4
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-5
AL,Heart Attack,AL_AMI-7A
AZ,Surgical Infection Prevention,AZ_SCIP-INF-4
AK,Heart Failure,AK_HF-4
CA,Heart Attack,CA_AMI-1
AL,Pneumonia,AL_PN-4
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Heart Attack,AR_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-INF-4
CA,Heart Attack,CA_AMI-4
AR,Heart Failure,AR_HF-4
AL,Heart Attack,AL_AMI-2
CA,Heart Attack,CA_AMI-7A
AK,Pneumonia,AK_PN-3B
AR,Heart Attack,AR_AMI-2
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-3
CA,Heart Attack,CA_AMI-4
AZ,Heart Failure,AZ_HF-2
AR,Heart Attack,AR_AMI-1
AL,Heart Attack,AL_AMI-7A
AL,Heart Attack,AL_AMI-1
AL,Heart Attack,AL_AMI-2
AL,Heart Attack,AL_AMI-7A
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-1
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-3
AL,Heart Attack,AL_AMI-2
AR,Heart Attack,AR_AMI-3
AK,Heart Attack,AK_AMI-1
AZ,Heart Failure,AZ_HF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AK,Heart Failure,AK_HF-4
AL,Heart Attack,AL_AMI-1
AZ,Heart Attack,AZ_AMI-5
CA,Heart Attack,CA_AMI-4
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
CA,Heart Attack,CA_AMI-4
AR,Heart Attack,AR_AMI-2
AL,Pneumonia,AL_PN-3B
AL,Heart Attack,AL_AMI-2
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-7A
AR,Heart Attack,AR_AMI-7A
AZ,Heart Failure,AZ_HF-3
AZ,Heart Failure,AZ_HF-2
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AR,Heart Attack,AR_AMI-3
AL,Heart Failure,AL_HF-4
AL,Heart Attack,AL_AMI-5
AR,Heart Attack,AR_AMI-3
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
AZ,Heart Attack,AZ_AMI-3
AL,Heart Attack,AL_AMI-7A
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-3
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-2
CA,Heart Attack,CA_AMI-5
CA,Heart Attack,CA_AMI-4
AL,Heart Attack,AL_AMI-4
AR,Heart Attack,AR_AMI-4
AR,Heart Attack,AR_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-CARD-2
AK,Heart Attack,AK_AMI-7A
AL,Heart Attack,AL_AMI-1
CA,Heart Attack,CA_AMI-3
CA,Heart Attack,CA_AMI-3
AL,Heart Attack,AL_AMI-7A
AZ,Heart Attack,AZ_AMI-2
AR,Pneumonia,AR_PN-6
AZ,Heart Attack,AZ_AMI-4
AR,Heart Attack,AR_AMI-2
AR,Heart Attack,AR_AMI-3
AL,Heart Attack,AL_AMI-1
AR,Heart Attack,AR_AMI-3
AR,Heart Attack,AR_AMI-3
AR,Heart Attack,AR_AMI-7A
AL,Pneumonia,AL_PN-3B
AR,Pneumonia,AR_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-CARD-2
CA,Heart Attack,CA_AMI-2
AK,Heart Attack,AK_AMI-4
AZ,Pneumonia,AZ_PN-4
AL,Heart Failure,AL_HF-4
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-7A
CA,Heart Attack,CA_AMI-7A
AK,Heart Attack,AK_AMI-1
AL,Heart Attack,AL_AMI-3
AK,Heart Failure,AK_HF-4
AR,Heart Attack,AR_AMI-3
AL,Heart Failure,AL_HF-4
AK,Heart Failure,AK_HF-3
AR,Heart Attack,AR_AMI-5
AL,Heart Attack,AL_AMI-1
AL,Heart Attack,AL_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-VTE-2
AK,Heart Attack,AK_AMI-2
AR,Heart Attack,AR_AMI-4
AZ,Surgical Infection Prevention,AZ_SCIP-INF-4
AR,Heart Failure,AR_HF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-3
CA,Heart Attack,CA_AMI-7A
AR,Heart Attack,AR_AMI-2
CA,Heart Attack,CA_AMI-7A
CA,Surgical Infection Prevention,CA_SCIP-CARD-2
AZ,Heart Attack,AZ_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-4
AL,Heart Attack,AL_AMI-3
