OriginState,OriginStateFips
CA,6
CT,9
HI,15
NC,37
IL,17
VA,51
OK,40
TX,48
MO,29
PA,42
IL,17
TX,48
TX,48
VA,51
MD,24
TX,48
CA,6
NM,35
FL,12
UT,49
CA,6
CA,6
HI,15
MI,26
AK,2
CA,6
SC,45
NY,36
NC,37
GA,13
HI,15
GA,13
FL,12
GA,13
NY,36
AZ,4
GA,13
TX,48
PA,42
NY,36
CO,8
NV,32
GA,13
TX,48
OR,41
CA,6
OK,40
NC,37
TX,48
OK,40
OH,39
AR,5
CA,6
PA,42
FL,12
LA,22
TX,48
MT,30
FL,12
FL,12
CA,6
GA,13
GA,13
NC,37
WI,55
TX,48
TX,48
GA,13
NC,37
AR,5
LA,22
OR,41
GA,13
ME,23
TX,48
IL,17
TX,48
MI,26
TX,48
MS,28
CA,6
VA,51
TX,48
CA,6
CO,8
MO,29
TX,48
NV,32
TX,48
PA,42
NV,32
MO,29
FL,12
MN,27
CO,8
FL,12
GA,13
CA,6
MN,27
GA,13
MO,29
MT,30
TX,48
SC,45
NJ,34
CA,6
TX,48
CA,6
CO,8
GA,13
LA,22
PA,42
WA,53
AK,2
CA,6
IL,17
FL,12
TN,47
TX,48
WI,55
TN,47
GA,13
IL,17
CA,6
MS,28
TX,48
NY,36
PA,42
MN,27
NY,36
NC,37
MN,27
FL,12
HI,15
NC,37
NJ,34
TX,48
MA,25
AZ,4
VA,51
FL,12
NV,32
MO,29
CA,6
CA,6
LA,22
NV,32
CO,8
AZ,4
HI,15
FL,12
GA,13
GA,13
TN,47
IL,17
CA,6
NY,36
TX,48
WA,53
IL,17
TX,48
TN,47
TX,48
OH,39
CO,8
VA,51
VA,51
NV,32
CO,8
MO,29
WA,53
IL,17
GA,13
LA,22
IL,17
CO,8
TX,48
TN,47
NJ,34
TX,48
MA,25
TX,48
TX,48
GA,13
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
AL,1
FL,12
CA,6
FL,12
WA,53
CA,6
CA,6
GA,13
TX,48
CA,6
IL,17
PA,42
AL,1
TX,48
TX,48
MA,25
WA,53
NY,36
CA,6
TX,48
HI,15
MA,25
LA,22
IL,17
IA,19
FL,12
UT,49
UT,49
GA,13
GA,13
CO,8
FL,12
GA,13
NY,36
TX,48
IL,17
GA,13
WA,53
NJ,34
FL,12
CA,6
IN,18
TN,47
MI,26
CO,8
TN,47
IL,17
NH,33
NV,32
NV,32
TX,48
IL,17
TX,48
MI,26
NY,36
NY,36
NY,36
CO,8
GA,13
NY,36
NY,36
IL,17
TX,48
GA,13
PA,42
FL,12
NV,32
NH,33
WI,55
CA,6
NC,37
FL,12
GA,13
AZ,4
CA,6
TX,48
VA,51
CO,8
CA,6
AZ,4
TX,48
CA,6
MO,29
CA,6
CA,6
TX,48
UT,49
OK,40
TX,48
AL,1
CA,6
PR,72
CA,6
CA,6
CA,6
FL,12
AZ,4
MN,27
NH,33
TX,48
GA,13
TX,48
GA,13
IL,17
NV,32
NY,36
AZ,4
GA,13
GA,13
CO,8
CA,6
CA,6
GA,13
NY,36
TX,48
CO,8
KS,20
MI,26
IL,17
TX,48
NY,36
IN,18
HI,15
VT,50
VA,51
NC,37
IN,18
FL,12
CA,6
GA,13
MN,27
GA,13
CA,6
NY,36
MI,26
KY,21
GA,13
CA,6
TN,47
KS,20
NY,36
NY,36
PA,42
CO,8
OH,39
FL,12
NC,37
AZ,4
NY,36
MO,29
PA,42
MI,26
FL,12
WA,53
CA,6
FL,12
TX,48
NY,36
NV,32
TX,48
TX,48
AZ,4
CA,6
MO,29
CA,6
CA,6
IL,17
FL,12
SC,45
CO,8
GA,13
TX,48
NY,36
FL,12
UT,49
NM,35
VA,51
MN,27
MT,30
LA,22
IL,17
FL,12
WA,53
NY,36
AZ,4
AZ,4
IL,17
GA,13
AZ,4
ID,16
MA,25
MO,29
IL,17
WY,56
CA,6
MA,25
NC,37
FL,12
MN,27
NV,32
CT,9
CO,8
UT,49
NY,36
MD,24
OK,40
GA,13
MD,24
TX,48
TX,48
NY,36
AR,5
PA,42
TX,48
IN,18
FL,12
AZ,4
GA,13
IL,17
KY,21
OH,39
MN,27
IL,17
IL,17
TX,48
FL,12
PA,42
CO,8
CO,8
TX,48
CA,6
NV,32
WI,55
CA,6
CA,6
OH,39
MN,27
TX,48
FL,12
FL,12
MO,29
AR,5
PA,42
TN,47
MN,27
LA,22
CO,8
CA,6
PA,42
GA,13
NY,36
TX,48
NC,37
TX,48
TX,48
MA,25
TX,48
MS,28
FL,12
AZ,4
CA,6
TN,47
VA,51
TX,48
MT,30
IL,17
NY,36
TX,48
TX,48
LA,22
CA,6
AK,2
AZ,4
MS,28
NC,37
CO,8
IL,17
NV,32
TX,48
MD,24
GA,13
FL,12
GA,13
NC,37
VA,51
IL,17
NY,36
NY,36
GA,13
MN,27
NV,32
TX,48
TX,48
CA,6
TX,48
CA,6
TX,48
PA,42
GA,13
MI,26
MO,29
HI,15
HI,15
NM,35
IL,17
NE,31
GA,13
AZ,4
RI,44
NY,36
TX,48
IA,19
CA,6
GA,13
IL,17
CA,6
TX,48
MD,24
HI,15
FL,12
VA,51
LA,22
TX,48
GA,13
TN,47
IL,17
KS,20
FL,12
WA,53
CA,6
GA,13
UT,49
WA,53
NC,37
AR,5
IL,17
TX,48
LA,22
IL,17
OH,39
CO,8
IL,17
PA,42
FL,12
NJ,34
MS,28
CA,6
IL,17
IL,17
FL,12
CO,8
IL,17
GA,13
FL,12
IL,17
GA,13
NV,32
CA,6
AZ,4
NC,37
NY,36
OH,39
CA,6
MS,28
CT,9
TX,48
NY,36
CA,6
VT,50
AZ,4
NC,37
TX,48
TX,48
TX,48
NE,31
TX,48
MD,24
NJ,34
IL,17
NH,33
CA,6
GA,13
CA,6
TX,48
TN,47
GA,13
OK,40
TX,48
NC,37
KY,21
TX,48
FL,12
WI,55
CA,6
NY,36
CA,6
MN,27
GA,13
CA,6
CA,6
MN,27
UT,49
TX,48
OR,41
CO,8
NC,37
NC,37
GA,13
NC,37
TX,48
FL,12
VA,51
LA,22
TX,48
CA,6
UT,49
LA,22
MN,27
TX,48
CA,6
MN,27
IL,17
NV,32
TX,48
VA,51
PA,42
HI,15
FL,12
TX,48
IL,17
WA,53
FL,12
TX,48
NJ,34
MD,24
FL,12
WA,53
NY,36
LA,22
FL,12
CA,6
FL,12
WA,53
HI,15
WI,55
ND,38
GA,13
HI,15
GA,13
MD,24
IL,17
NY,36
CO,8
CA,6
WA,53
MN,27
MO,29
OH,39
GA,13
TX,48
TX,48
IL,17
TX,48
NY,36
AZ,4
IL,17
TX,48
NV,32
WI,55
FL,12
VA,51
TX,48
NJ,34
NV,32
CA,6
IL,17
NV,32
TX,48
IL,17
IL,17
FL,12
AK,2
CO,8
LA,22
AZ,4
WA,53
WI,55
CA,6
VA,51
OH,39
SC,45
GA,13
CA,6
HI,15
TX,48
NV,32
GA,13
NC,37
FL,12
TX,48
MA,25
FL,12
TX,48
IN,18
NC,37
CO,8
NJ,34
PA,42
TX,48
NY,36
CA,6
OR,41
CO,8
AZ,4
CA,6
NY,36
UT,49
AZ,4
MA,25
IL,17
LA,22
MD,24
CA,6
OR,41
NV,32
CA,6
CA,6
IL,17
FL,12
TX,48
FL,12
MN,27
FL,12
HI,15
RI,44
GA,13
GA,13
MA,25
CA,6
IL,17
MO,29
NV,32
TX,48
AZ,4
MA,25
IL,17
CA,6
IL,17
GA,13
AZ,4
TX,48
NY,36
IL,17
GA,13
AZ,4
FL,12
PA,42
IL,17
TX,48
CA,6
TX,48
NV,32
TX,48
FL,12
CA,6
NY,36
NV,32
MN,27
FL,12
AZ,4
AZ,4
OK,40
TN,47
NM,35
AZ,4
TX,48
UT,49
IL,17
TX,48
MO,29
KY,21
NY,36
CA,6
NY,36
NC,37
OH,39
CO,8
MD,24
TX,48
PA,42
CO,8
FL,12
NY,36
MO,29
NJ,34
TX,48
VA,51
NC,37
MO,29
CO,8
GA,13
TX,48
OR,41
IL,17
NY,36
NV,32
CT,9
FL,12
NY,36
FL,12
NY,36
CO,8
NY,36
VA,51
IL,17
NJ,34
OK,40
GA,13
TX,48
CA,6
CA,6
TX,48
CA,6
GA,13
IL,17
FL,12
CA,6
MI,26
TX,48
OH,39
PA,42
CO,8
IL,17
FL,12
PR,72
IL,17
CO,8
GA,13
NC,37
MO,29
NJ,34
IL,17
GA,13
LA,22
CO,8
FL,12
CA,6
AZ,4
FL,12
AZ,4
CA,6
CA,6
IL,17
CA,6
IL,17
CA,6
NY,36
TX,48
GA,13
PA,42
TX,48
NY,36
IL,17
TX,48
NY,36
FL,12
CO,8
HI,15
NJ,34
AZ,4
IA,19
CA,6
TX,48
FL,12
CA,6
TX,48
NC,37
SC,45
PA,42
TX,48
TX,48
FL,12
WA,53
CO,8
MO,29
TX,48
MN,27
NE,31
CA,6
NJ,34
CA,6
NV,32
WA,53
AL,1
NY,36
PA,42
CA,6
KY,21
CO,8
TX,48
CO,8
CA,6
IL,17
VA,51
CA,6
AK,2
WA,53
PA,42
NV,32
TX,48
FL,12
NY,36
NM,35
TX,48
TN,47
TX,48
NC,37
UT,49
IL,17
VA,51
FL,12
MI,26
TX,48
OK,40
OK,40
CA,6
NJ,34
GA,13
WA,53
FL,12
CO,8
NJ,34
MA,25
PA,42
UT,49
IL,17
TX,48
OH,39
HI,15
MO,29
CA,6
CA,6
NY,36
IL,17
NY,36
VI,78
GA,13
IL,17
MO,29
OH,39
GA,13
MA,25
GA,13
AK,2
MI,26
CO,8
CA,6
FL,12
FL,12
NY,36
VA,51
KS,20
IL,17
NC,37
MO,29
TX,48
HI,15
IL,17
TX,48
CO,8
CA,6
CA,6
TX,48
NY,36
VA,51
MI,26
CA,6
TX,48
UT,49
WI,55
MN,27
OH,39
GA,13
NC,37
OH,39
GA,13
FL,12
CO,8
NC,37
NV,32
MI,26
FL,12
NJ,34
TX,48
MI,26
MO,29
CA,6
CO,8
LA,22
GA,13
TX,48
CA,6
TX,48
CA,6
CO,8
MA,25
GA,13
IL,17
NC,37
TX,48
TX,48
GA,13
UT,49
TX,48
CA,6
TX,48
IL,17
FL,12
IL,17
GA,13
TX,48
FL,12
TN,47
MA,25
TN,47
IL,17
CA,6
NV,32
IN,18
OH,39
AZ,4
NC,37
CA,6
CA,6
TX,48
WA,53
CO,8
CA,6
CO,8
ME,23
IL,17
CA,6
GA,13
CA,6
OR,41
TX,48
FL,12
CA,6
CA,6
OR,41
MA,25
CO,8
AZ,4
NY,36
CA,6
NV,32
OR,41
MN,27
NY,36
GA,13
TX,48
TX,48
CA,6
IL,17
NC,37
MO,29
ID,16
NV,32
FL,12
CA,6
AL,1
SC,45
CA,6
AK,2
MS,28
NV,32
IL,17
CA,6
WI,55
PA,42
CA,6
CT,9
VA,51
IL,17
CA,6
NC,37
IL,17
FL,12
TN,47
TX,48
HI,15
CA,6
CA,6
TX,48
FL,12
WA,53
VA,51
TX,48
TX,48
HI,15
VA,51
WA,53
NE,31
CO,8
TX,48
AR,5
CO,8
CA,6
HI,15
TX,48
IL,17
NY,36
MO,29
GA,13
CA,6
FL,12
TX,48
MI,26
NC,37
HI,15
TX,48
WI,55
TX,48
VA,51
NY,36
TX,48
TX,48
TX,48
GA,13
CA,6
NV,32
FL,12
FL,12
NC,37
UT,49
HI,15
NY,36
WA,53
MO,29
GA,13
CA,6
IL,17
CO,8
TN,47
MN,27
VA,51
IL,17
NY,36
FL,12
TX,48
CA,6
TX,48
WY,56
CA,6
MA,25
MI,26
TX,48
TX,48
PA,42
CA,6
NJ,34
NC,37
CA,6
GA,13
TX,48
FL,12
LA,22
FL,12
MI,26
GA,13
GA,13
MN,27
NV,32
MN,27
TX,48
WA,53
AZ,4
OK,40
WA,53
NC,37
AZ,4
NY,36
CO,8
GA,13
VA,51
CA,6
IL,17
TX,48
MD,24
NM,35
FL,12
CO,8
MO,29
CA,6
TX,48
CA,6
CA,6
VA,51
FL,12
CA,6
NE,31
AZ,4
TX,48
TX,48
GA,13
OH,39
FL,12
ID,16
CO,8
LA,22
VA,51
GA,13
VA,51
LA,22
NC,37
GA,13
IL,17
FL,12
TX,48
IN,18
CO,8
NY,36
CA,6
CO,8
IL,17
TX,48
MD,24
NH,33
CO,8
GA,13
FL,12
NV,32
CO,8
TX,48
OH,39
MO,29
MA,25
FL,12
TX,48
CA,6
SC,45
WA,53
TX,48
VA,51
KY,21
GA,13
GA,13
NV,32
FL,12
NE,31
ID,16
PA,42
TX,48
MO,29
VA,51
OR,41
NJ,34
CA,6
IL,17
FL,12
IL,17
NY,36
MD,24
LA,22
NC,37
FL,12
GA,13
GA,13
AZ,4
IL,17
CA,6
NY,36
NY,36
NY,36
CO,8
VA,51
GA,13
TX,48
OR,41
TX,48
NV,32
TX,48
NV,32
TX,48
MD,24
IL,17
FL,12
WA,53
KY,21
CA,6
TX,48
NC,37
MI,26
GA,13
OR,41
FL,12
VA,51
AZ,4
CO,8
TX,48
NJ,34
PA,42
TX,48
AZ,4
OR,41
FL,12
IL,17
CO,8
CA,6
TX,48
NC,37
FL,12
CA,6
CO,8
GA,13
NV,32
CA,6
IL,17
TX,48
AZ,4
CA,6
CA,6
RI,44
TX,48
AZ,4
MN,27
NC,37
IL,17
AZ,4
FL,12
NV,32
SC,45
CA,6
FL,12
GA,13
FL,12
PA,42
TN,47
HI,15
NC,37
LA,22
GA,13
CA,6
IL,17
CA,6
TN,47
TX,48
OR,41
CO,8
RI,44
NY,36
FL,12
TX,48
IL,17
TX,48
TX,48
CA,6
OR,41
GA,13
WA,53
TX,48
IL,17
GA,13
TN,47
NC,37
GA,13
NV,32
FL,12
FL,12
CA,6
TX,48
TX,48
NJ,34
TX,48
CA,6
TX,48
AZ,4
VA,51
GA,13
GA,13
OK,40
WA,53
FL,12
NY,36
GA,13
IL,17
OH,39
NV,32
KS,20
LA,22
TX,48
WA,53
ID,16
FL,12
IL,17
GA,13
AK,2
OR,41
TX,48
GA,13
AR,5
PA,42
OH,39
FL,12
CA,6
AZ,4
VA,51
MN,27
IL,17
LA,22
GA,13
WV,54
CO,8
CA,6
PA,42
OR,41
CA,6
ND,38
NY,36
CA,6
VA,51
TX,48
TX,48
CA,6
TX,48
FL,12
IL,17
HI,15
MA,25
FL,12
AZ,4
OR,41
TX,48
IL,17
HI,15
CA,6
ND,38
KY,21
MA,25
CO,8
UT,49
CA,6
GA,13
NY,36
CO,8
TX,48
SC,45
AZ,4
FL,12
FL,12
NC,37
CA,6
NY,36
TX,48
IL,17
GA,13
TX,48
IL,17
AZ,4
VA,51
MA,25
CT,9
NV,32
WI,55
ID,16
GA,13
NH,33
MI,26
IL,17
CA,6
KY,21
MA,25
LA,22
AZ,4
UT,49
GA,13
FL,12
IL,17
TX,48
WI,55
AZ,4
TX,48
VA,51
IL,17
GA,13
FL,12
NC,37
FL,12
OR,41
VI,78
CA,6
IL,17
FL,12
CA,6
AL,1
GA,13
IL,17
AZ,4
CA,6
NM,35
HI,15
SC,45
GA,13
NY,36
AR,5
IA,19
NY,36
MO,29
AZ,4
FL,12
CT,9
CA,6
MD,24
NY,36
PA,42
FL,12
GA,13
PA,42
CO,8
TX,48
CO,8
CA,6
MI,26
VA,51
NJ,34
MI,26
NC,37
MN,27
CA,6
NV,32
VA,51
NY,36
NJ,34
TX,48
NY,36
CA,6
WA,53
MO,29
NV,32
MA,25
NJ,34
NC,37
OK,40
HI,15
WA,53
CA,6
NJ,34
NH,33
AZ,4
SC,45
FL,12
HI,15
MO,29
CO,8
OH,39
TX,48
TX,48
LA,22
CO,8
WA,53
UT,49
MN,27
TX,48
NJ,34
IN,18
NY,36
NY,36
IL,17
NC,37
IL,17
SC,45
MI,26
NV,32
OH,39
WI,55
TX,48
FL,12
AZ,4
NY,36
GA,13
MO,29
CA,6
MI,26
NY,36
MI,26
LA,22
VA,51
HI,15
TX,48
WA,53
VA,51
CA,6
MA,25
MA,25
IL,17
SC,45
CO,8
UT,49
AZ,4
PA,42
TX,48
IL,17
IL,17
GA,13
ND,38
MI,26
CA,6
NY,36
GA,13
CA,6
MD,24
TX,48
IL,17
TX,48
FL,12
AZ,4
CA,6
NV,32
GA,13
CA,6
NY,36
LA,22
HI,15
CA,6
FL,12
LA,22
CO,8
NY,36
NY,36
MN,27
WI,55
UT,49
NC,37
HI,15
AZ,4
CO,8
CT,9
WI,55
TX,48
PA,42
CA,6
CA,6
CA,6
8,Colorado
NV,32
OR,41
CA,6
NC,37
NV,32
CA,6
NY,36
OR,41
IL,17
IL,17
IL,17
CA,6
HI,15
FL,12
CA,6
MI,26
CA,6
GA,13
KY,21
TX,48
NY,36
NY,36
TX,48
MN,27
TX,48
NY,36
GA,13
IL,17
FL,12
GA,13
OK,40
UT,49
NJ,34
CA,6
OR,41
TX,48
AR,5
TX,48
VA,51
WA,53
NM,35
FL,12
AZ,4
HI,15
FL,12
MO,29
ND,38
GA,13
GA,13
CO,8
WA,53
TX,48
GA,13
TX,48
CA,6
HI,15
CA,6
PA,42
NY,36
TX,48
NY,36
TX,48
UT,49
GA,13
MT,30
CA,6
CA,6
NY,36
NC,37
CA,6
CA,6
CA,6
AL,1
AZ,4
UT,49
TX,48
TX,48
VA,51
TX,48
WA,53
KY,21
MN,27
NY,36
GA,13
OR,41
CA,6
MI,26
GA,13
MN,27
VA,51
NV,32
NJ,34
FL,12
GA,13
IL,17
CA,6
GA,13
NY,36
CO,8
TX,48
IL,17
IL,17
AZ,4
TX,48
MN,27
MO,29
AZ,4
TX,48
MI,26
CA,6
AZ,4
TX,48
CA,6
CA,6
NC,37
GA,13
TX,48
NC,37
TX,48
FL,12
NC,37
AZ,4
FL,12
NY,36
AZ,4
UT,49
FL,12
IL,17
CA,6
NY,36
AZ,4
FL,12
CA,6
FL,12
IL,17
WA,53
CA,6
OH,39
TN,47
IL,17
FL,12
TX,48
CA,6
CA,6
GA,13
GA,13
GA,13
IN,18
MN,27
CA,6
CA,6
OH,39
GA,13
LA,22
TX,48
PR,72
NV,32
CA,6
GA,13
NC,37
CA,6
AZ,4
VA,51
VA,51
CA,6
TX,48
TX,48
FL,12
MO,29
AZ,4
CO,8
WA,53
WA,53
NV,32
FL,12
PA,42
TN,47
FL,12
AZ,4
NJ,34
TX,48
CA,6
NE,31
TX,48
CA,6
CA,6
NY,36
IL,17
TN,47
CA,6
TX,48
VA,51
CO,8
IL,17
MD,24
UT,49
NC,37
GA,13
TX,48
17,Illinois
CA,6
NC,37
TX,48
SC,45
MO,29
CA,6
IL,17
MN,27
NJ,34
KS,20
TX,48
NV,32
FL,12
CO,8
MA,25
FL,12
CA,6
WA,53
CA,6
CO,8
VA,51
CO,8
KY,21
WI,55
OH,39
HI,15
WI,55
MA,25
GA,13
PA,42
TX,48
WA,53
AZ,4
NY,36
TX,48
WI,55
CO,8
FL,12
CO,8
NC,37
NY,36
GA,13
CA,6
CO,8
SC,45
PA,42
GA,13
CA,6
TX,48
TX,48
GA,13
CA,6
NC,37
CO,8
CA,6
TN,47
CA,6
VA,51
NC,37
TX,48
CA,6
VA,51
MO,29
GA,13
AK,2
NY,36
HI,15
IL,17
NY,36
CO,8
GA,13
IL,17
CA,6
CA,6
NV,32
CO,8
TX,48
VA,51
CA,6
CO,8
CA,6
CA,6
TX,48
NJ,34
NV,32
FL,12
TX,48
CO,8
TX,48
GA,13
CO,8
FL,12
MD,24
MD,24
TX,48
TX,48
MN,27
VA,51
WI,55
NJ,34
TX,48
NY,36
FL,12
NC,37
MI,26
GA,13
NC,37
GA,13
CO,8
NJ,34
TX,48
GA,13
PA,42
LA,22
HI,15
NC,37
CA,6
TX,48
NY,36
GA,13
NC,37
CA,6
CA,6
IL,17
TN,47
FL,12
IL,17
IL,17
CA,6
IL,17
IL,17
TX,48
FL,12
TX,48
NV,32
TX,48
CA,6
MN,27
AZ,4
CA,6
FL,12
17,Illinois
CO,8
TX,48
NV,32
OK,40
MD,24
NY,36
TX,48
HI,15
WV,54
CA,6
WA,53
CA,6
PA,42
CO,8
CA,6
CA,6
GA,13
FL,12
CA,6
GA,13
TX,48
WA,53
NV,32
UT,49
AZ,4
TX,48
TX,48
VA,51
MA,25
FL,12
MA,25
TX,48
NC,37
IL,17
OR,41
GA,13
NY,36
TX,48
AL,1
CO,8
GA,13
CA,6
AZ,4
CA,6
CO,8
CA,6
NC,37
WA,53
CA,6
WA,53
VA,51
MD,24
CO,8
WI,55
NV,32
HI,15
TX,48
CA,6
PR,72
GA,13
SC,45
TX,48
NY,36
GA,13
VA,51
CA,6
IL,17
CO,8
WI,55
TX,48
MO,29
CO,8
VA,51
MO,29
MI,26
CA,6
FL,12
TX,48
PA,42
TX,48
IL,17
MA,25
NY,36
WI,55
MA,25
WA,53
KY,21
TX,48
TX,48
OK,40
FL,12
CA,6
NJ,34
UT,49
FL,12
MI,26
AZ,4
IL,17
FL,12
IN,18
NV,32
OK,40
TX,48
KY,21
NJ,34
CA,6
CO,8
AZ,4
WA,53
GA,13
TN,47
IA,19
CO,8
MO,29
KY,21
WA,53
CA,6
GA,13
CA,6
CA,6
IL,17
PA,42
GA,13
HI,15
UT,49
TX,48
CA,6
HI,15
MA,25
TN,47
PA,42
TX,48
IL,17
NC,37
NC,37
WI,55
ND,38
TX,48
OH,39
GA,13
LA,22
TX,48
CA,6
CA,6
NC,37
IL,17
OR,41
MO,29
NY,36
TX,48
NY,36
TX,48
IL,17
PA,42
UT,49
CA,6
CA,6
TX,48
WI,55
CA,6
HI,15
NY,36
PA,42
CA,6
CA,6
AL,1
GA,13
OH,39
NY,36
IL,17
CA,6
MN,27
TX,48
TX,48
CA,6
TX,48
CA,6
NV,32
TN,47
TX,48
IA,19
FL,12
CA,6
IL,17
CA,6
AZ,4
GA,13
IL,17
IL,17
CA,6
OH,39
CA,6
MN,27
TX,48
CA,6
KS,20
TX,48
MO,29
MI,26
CO,8
WA,53
MN,27
FL,12
VA,51
GA,13
HI,15
CA,6
AK,2
FL,12
MO,29
TX,48
CA,6
FL,12
MS,28
AL,1
FL,12
TX,48
NJ,34
VA,51
PA,42
MN,27
FL,12
GA,13
TX,48
CA,6
CA,6
TX,48
53,Washington
AL,1
CA,6
GA,13
CA,6
FL,12
IL,17
CA,6
MN,27
AL,1
FL,12
CA,6
FL,12
GA,13
VA,51
PR,72
MI,26
IL,17
TX,48
TX,48
TN,47
PR,72
CA,6
UT,49
AZ,4
CA,6
CA,6
CA,6
AK,2
CO,8
MS,28
VA,51
CO,8
FL,12
SD,46
VA,51
IL,17
LA,22
CA,6
NJ,34
FL,12
IL,17
IL,17
HI,15
VA,51
TX,48
AR,5
NJ,34
MI,26
TX,48
NY,36
NC,37
WI,55
NM,35
TX,48
IL,17
VA,51
