ANAPHYLAXIS,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,VENTALV,SHUNT,TPR,ARTCO2,CVP,HYPOVOLEMIA,STROKEVOLUME,BP,HISTORY
False,False,False,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
True,False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,LOW,NORMAL,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,NORMAL,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,LOW,False,HIGH,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,HIGH,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,True,LOW,LOW,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,LOW,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,HIGH,False
False,False,False,HIGH,NORMAL,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,LOW,LOW,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,True,LOW,LOW,LOW,HIGH,NORMAL,HIGH,NORMAL,LOW,False,LOW,NORMAL,True
False,False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,True,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,False,LOW,LOW,True
False,False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,NORMAL,NORMAL,False,NORMAL,LOW,False
False,True,False,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,True,LOW,LOW,NORMAL,ZERO,NORMAL,LOW,HIGH,LOW,True,LOW,LOW,True
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,HIGH,True,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,LOW,True,NORMAL,LOW,True
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,NORMAL,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,LOW,HIGH,NORMAL,True,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,LOW,LOW,False
False,False,False,HIGH,HIGH,HIGH,LOW,HIGH,LOW,HIGH,HIGH,True,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,HIGH,False
False,False,False,NORMAL,HIGH,LOW,HIGH,NORMAL,HIGH,LOW,NORMAL,False,HIGH,HIGH,False
False,True,False,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,NORMAL,NORMAL,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,LOW,LOW,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
False,True,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,True,False,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,True,LOW,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,HIGH,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,False
False,False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,True,LOW,NORMAL,LOW,ZERO,NORMAL,HIGH,HIGH,LOW,False,LOW,HIGH,True
False,False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,True,NORMAL,LOW,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,True,LOW,LOW,True
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,HIGH,HIGH,LOW,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,LOW,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,True,LOW,LOW,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,HIGH,True,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,LOW,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,NORMAL,HIGH,True,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,True,HIGH,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,True,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,True,LOW,LOW,True
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,LOW,HIGH,LOW,True,LOW,LOW,True
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,HIGH,NORMAL,HIGH,HIGH,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,HIGH,LOW,ZERO,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,LOW,LOW,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,LOW,HIGH,LOW,False,NORMAL,NORMAL,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,HIGH,HIGH,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,HIGH,LOW,HIGH,ZERO,HIGH,NORMAL,HIGH,HIGH,True,LOW,LOW,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,NORMAL,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,HIGH,True,LOW,NORMAL,False
False,False,True,LOW,LOW,LOW,ZERO,NORMAL,LOW,HIGH,LOW,False,LOW,LOW,True
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,NORMAL,False,NORMAL,LOW,False
False,False,False,HIGH,LOW,HIGH,ZERO,NORMAL,LOW,HIGH,HIGH,True,LOW,LOW,False
False,True,False,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,NORMAL,NORMAL,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,LOW,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False
False,True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False
False,False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL,False
False,False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,LOW,HIGH,NORMAL,False,NORMAL,LOW,False
False,False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,LOW,False,LOW,LOW,False
False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,NORMAL,True,LOW,LOW,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,NORMAL,HIGH,LOW,False,NORMAL,HIGH,False
False,False,False,LOW,HIGH,LOW,ZERO,NORMAL,HIGH,LOW,LOW,False,NORMAL,HIGH,True
