Fulfilment,Sales Channel ,ship-service-level,currency,ship-city,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Namakkal,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI 400102,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PATIALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MARKAPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAI INDUSTRIAL AREA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,FARIDABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BHUBANESWAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ROURKELA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SHIMLA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMSHEDPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KANPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJKOT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PIMPRI CHINCHWAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Noida,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KANCHEEPURAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TUMAKURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ERNAKULAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HINDUSTHAN CABLES TOWN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SONIPAT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Mumbai,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KANNANOOR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ERNAKULAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GUNTUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Caranzalem - Tiswadi,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SURAT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMMU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Dombivli,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,METTUPALAYAM COIMBATORE DISTRICT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,vadodara,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,THANE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMKHANDI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VADODARA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VADODARA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMSHEDPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KANPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Mettur; Salem,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NOIDA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TADEPALLIGUDEM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Indore,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AHMEDABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SAHARANPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Bangalore,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHITRADURGA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NEW DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJKOT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Bikaner,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BHATKAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ALUVA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PONNANI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SILIGURI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NEW DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUVATTUPUZHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LUCKNOW,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NELLORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PATNA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,THIRUVANANTHAPURAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GHAZIABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GHAZIABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BERHAMPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AGRA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLKATA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Uttam nagar,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ARRAH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DEHRADUN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,LINGAPALEM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Satara,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HAMIRPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Bhuj,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NEW DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AJMER,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Chennai,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PALAKKAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Kalyan west,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLKATA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NAGAON,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Noida,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GONDIYA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,COIMBATORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NADATHARA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Oragadam Industrial Area,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NAGPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AGARTALA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,IMPHAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,INDORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHANDIGARH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,THANE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ROORKEE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Hyderabad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,COIMBATORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,COIMBATORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VARANASI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GHAZIABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VADODARA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Eluru,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NEW DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VADODARA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NELLORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NELLORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KALYAN west,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MOHALI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BARWAHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLAZHY,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MARAIMALAINAGAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PEDDAPALLI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gurgaon,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Gurgaon,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAMSHEDPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Chennai,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Thane West,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLLAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NELLORE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KARWAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TIRUCHIRAPPALLI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TIRUCHIRAPPALLI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,TIRUCHIRAPPALLI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BOKO,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AHMEDABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Hyderabad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KADAPA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAIPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AHMEDABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Panchkula,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Dombivli,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLKATA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Anantapur district,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Dhanbad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PATNA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AMROHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AMROHA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Bangalore,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ANAND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Bangalore,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DEHRADUN,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,ERNAKULAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GURUGRAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,OLLUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BHOPAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GUNTAKAL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JHANSI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,churachandpur,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SRIKAKULAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PANDHARPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,NEW DELHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,VISAKHAPATNAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HIRIYUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PUNE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,District MANDI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MAHOBA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RAJAHMUNDRY,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KATHUA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHENNAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MUMBAI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLLAM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JALANDHAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JAGDALPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AIZAWL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AIZAWL,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KANKIPADU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,PORT BLAIR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,SONIPAT,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,GREATER NOIDA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHANDANNAGAR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,AVANIGADDA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,HYDERABAD,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,QUEPEM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,MALDA,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BERHAMPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CHANDIGARH,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Pune,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Guwahati,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,THANE,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,BENGALURU,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JIND,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,JABALPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,DURGAPUR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,RANCHI,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,Hyderabad,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,CANDOLIM,IN,Easy Ship,False
Merchant,Amazon.in,Standard,INR,KOLKATA,IN,Easy Ship,False
