index,Order ID,Date,Style,SKU,ASIN,ship-city,ship-state
49601,407-9253455-3032307,05-31-22,J0346,J0346-SET-XL,B0983G1KLL,KANPUR,UTTAR PRADESH
49602,408-1512701-8024347,05-31-22,JNE3434,JNE3434-KR-M,B081WZ8S6B,HYDERABAD,TELANGANA
49603,408-1512701-8024347,05-31-22,JNE3710,JNE3710-DR-M,B091T25NQG,HYDERABAD,TELANGANA
49604,404-3193087-3999557,05-31-22,JNE3800,JNE3800-KR-S,B09SDXB141,RAJKOT,Gujarat
49605,408-7272031-0371526,05-31-22,JNE3431,JNE3431-KR-XL,B08KS7M7F7,PIMPRI CHINCHWAD,MAHARASHTRA
49609,406-0292412-7809958,05-31-22,J0231,J0231-SKD-M,B08XNK3MXN,Noida,UTTAR PRADESH
49610,408-5360432-5813151,05-31-22,JNE3366,JNE3366-KR-1053-S,B07T65CC1N,HYDERABAD,TELANGANA
49617,408-3461842-2081920,05-31-22,SET369,SET369-KR-NP-XXL,B09QJM97Z8,LUCKNOW,UTTAR PRADESH
49618,408-3461842-2081920,05-31-22,J0280,J0280-SKD-XXL,B08QGMG4RW,LUCKNOW,UTTAR PRADESH
49626,408-6737930-3789114,05-31-22,J0339,J0339-DR-M,B09831YHGV,HYDERABAD,TELANGANA
49627,402-2394398-0682735,05-31-22,J0348,J0348-SET-L,B09HNRTMH9,BENGALURU,KARNATAKA
49632,405-1766259-3610725,05-31-22,JNE3869,JNE3869-DR-M,B09RK7Q644,KANCHEEPURAM,TAMIL NADU
49634,171-5844246-0209102,05-31-22,SET402,SET402-KR-NP-XL,B09VC53FQW,CHENNAI,TAMIL NADU
49636,406-8043786-6040319,05-31-22,J0003,J0003-SET-XXXL,B0894Y3VBB,HYDERABAD,TELANGANA
49640,403-4129507-0759566,05-31-22,J0041,J0041-SET-XL,B089G1ZNLX,TUMAKURU,KARNATAKA
49644,402-7914537-3523552,05-31-22,J0341,J0341-DR-L,B099NRCT7B,ERNAKULAM,KERALA
49649,402-1956260-3929908,05-31-22,JNE3619,JNE3619-KR-S,B091Q8JXX9,HINDUSTHAN CABLES TOWN,WEST BENGAL
49664,405-3949847-5870734,05-31-22,J0147,J0147-SET-XL,B091Z8TV5Q,SONIPAT,HARYANA
49668,404-9218160-9182769,05-31-22,JNE3487,JNE3487-KR-M,B08RP2Y81T,Mumbai,MAHARASHTRA
49675,407-7789802-5937107,05-31-22,J0413,J0413-DR-S,B09TY2JJ87,KANNANOOR,TAMIL NADU
49679,403-5976582-3542707,05-31-22,JNE3798,JNE3798-KR-XS,B09SDY7MHD,ERNAKULAM,KERALA
49689,171-3225184-9032326,05-31-22,SET327,SET327-KR-DPT-S,B09PN37FYX,GUNTUR,ANDHRA PRADESH
49696,407-9773262-9660335,05-31-22,J0377,J0377-SKD-XL,B09QJ35BD6,Caranzalem - Tiswadi,Goa
49703,405-3391944-5904313,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,SURAT,Gujarat
49735,402-3849925-4208311,05-31-22,JNE3790,JNE3790-KR-L,B09KXR4JZC,JAMMU,JAMMU & KASHMIR
49739,405-2545501-9787550,05-31-22,J0341,J0341-DR-XXXL,B099NSQP4Z,Dombivli,MAHARASHTRA
49743,171-5657822-4080351,05-31-22,J0041,J0041-SET-L,B089G28YYW,METTUPALAYAM COIMBATORE DISTRICT,TAMIL NADU
49745,404-9785279-5481112,05-31-22,JNE3860,JNE3860-DR-L,B09SDY4TFK,vadodara,Gujarat
49746,408-2759454-7027516,05-31-22,NW012,NW012-TP-PJ-S,B0922T13R1,THANE,MAHARASHTRA
49747,406-0643099-2511563,05-31-22,SET355,SET355-KR-PP-XL,B09RKFFXVC,JAMKHANDI,KARNATAKA
49751,408-0338417-3148319,05-31-22,J0182,J0182-SET-S,B08VWLBY4C,VADODARA,Gujarat
49752,408-0338417-3148319,05-31-22,SET240,SET240-KR-PP-XL,B08N4RXHV6,VADODARA,Gujarat
49758,402-4611045-4313116,05-31-22,JNE3928,JNE3928-KR-XS,B09XKC4KRL,JAMSHEDPUR,JHARKHAND
49759,402-2274754-6723504,05-31-22,JNE3869,JNE3869-DR-M,B09RK7Q644,KANPUR,UTTAR PRADESH
49766,407-9041571-2589127,05-31-22,JNE3638,JNE3638-KR-XXL,B098126DTY,PUNE,MAHARASHTRA
49777,402-2261614-6593156,05-31-22,SET403,SET403-KR-NP-XL,B09VZ6HK5S,Mettur; Salem,TAMIL NADU
49780,408-1606553-6060366,05-31-22,SET339,SET339-KR-NP-S,B09RT1WSR9,NOIDA,UTTAR PRADESH
49782,404-8921647-6525126,05-31-22,SET327,SET327-KR-DPT-M,B09PN41YXK,TADEPALLIGUDEM,ANDHRA PRADESH
49791,406-2928230-8788363,05-31-22,JNE3706,JNE3706-DR-XL,B09832FD39,Indore,MADHYA PRADESH
49795,408-1313915-3328335,05-31-22,JNE3905,JNE3905-DR-S,B09YYPQ7NW,BENGALURU,KARNATAKA
49801,408-0550121-4389924,05-31-22,JNE3568,JNE3568-KR-M,B08KRZRSCL,AHMEDABAD,Gujarat
49802,402-9435235-3564360,05-31-22,SET278,SET278-KR-NP-M,B0983F3BLZ,HYDERABAD,TELANGANA
49803,402-7963816-0067556,05-31-22,JNE3797,JNE3797-KR-M,B09SDY8DCT,SAHARANPUR,UTTAR PRADESH
49809,408-4369578-2690702,05-31-22,SET183,SET183-KR-DH-L,B08B3YV7L2,Bangalore,KARNATAKA
49811,407-5239539-5542722,05-31-22,JNE3710,JNE3710-DR-M,B091T25NQG,HYDERABAD,TELANGANA
49814,406-0481887-7137937,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,CHENNAI,TAMIL NADU
49815,407-9386713-5693146,05-31-22,SET183,SET183-KR-DH-L,B08B3YV7L2,MUMBAI,MAHARASHTRA
49816,404-5421968-4875509,05-31-22,JNE3800,JNE3800-KR-A-S,B09TH5VZK6,CHITRADURGA,KARNATAKA
49819,403-3360965-9649945,05-31-22,JNE3797,JNE3797-KR-A-M,B09TH73PT5,NEW DELHI,DELHI
49833,404-3564532-5349147,05-31-22,JNE3797,JNE3797-KR-M,B09SDY8DCT,MUMBAI,MAHARASHTRA
49834,408-1130970-8755520,05-31-22,J0126,J0126-SKD-L,B08TZD5W7J,RAJKOT,Gujarat
49840,402-8708604-0507516,05-31-22,SET286,SET286-KR-NP-XL,B099NGZGRJ,Bikaner,RAJASTHAN
49844,407-1454074-5798728,05-31-22,SET376,SET376-KR-NP-XS,B09RSS48QG,BENGALURU,KARNATAKA
49845,405-5436817-0228339,05-31-22,J0210,J0210-DR-S,B0982YWMSG,BHATKAL,KARNATAKA
49847,408-8645392-8413143,05-31-22,JNE3797,JNE3797-KR-M,B09SDY8DCT,ALUVA,KERALA
49853,404-7120146-1093969,05-31-22,JNE3894,JNE3894-TP-S,B09TZS4V29,PONNANI,KERALA
49854,171-4358882-3195568,05-31-22,JNE3797,JNE3797-KR-M,B09SDY8DCT,RANCHI,JHARKHAND
49855,171-4358882-3195568,05-31-22,J0377,J0377-SKD-M,B09QJ4TWHG,RANCHI,JHARKHAND
49856,403-9104339-5587515,05-31-22,JNE3658,JNE3658-TP-L,B094346FB7,SILIGURI,WEST BENGAL
49861,407-4552963-9498767,05-31-22,JNE3645,JNE3645-TP-N-S,B08ZHN6H5T,LUCKNOW,UTTAR PRADESH
49862,402-7942375-7983512,05-31-22,JNE3861,JNE3861-DR-XXL,B09SDY9GXB,NEW DELHI,DELHI
49864,405-8879878-0324314,05-31-22,J0181,J0181-TP-L,B08QGLG46Y,GURUGRAM,HARYANA
49870,407-5858184-2170763,05-31-22,SET327,SET327-KR-DPT-L,B09PN4P12Y,MUVATTUPUZHA,KERALA
49880,403-8675864-3821104,05-31-22,JNE3797,JNE3797-KR-XL,B09SDXRYBG,LUCKNOW,UTTAR PRADESH
49883,403-5427447-6560353,05-31-22,SET327,SET327-KR-DPT-XL,B09PN1HZ58,NELLORE,ANDHRA PRADESH
49884,405-9569558-8422702,05-31-22,JNE3801,JNE3801-KR-XL,B09SDYL6L1,PUNE,MAHARASHTRA
49893,408-3982800-6785146,05-31-22,SET320,SET320-KR-NP-XXXL,B09RKD5K4Z,PATNA,BIHAR
49909,406-1382847-5465114,05-31-22,SET219,SET219-KR-PP-M,B08B414Z8Y,BENGALURU,KARNATAKA
49911,406-7827033-3538736,05-31-22,SET333,SET333-KR-DPT-XL,B09RKFZ1KH,BENGALURU,KARNATAKA
49918,402-9204656-4380325,05-31-22,JNE3749,JNE3749-KR-XL,B09K3WVV5F,BENGALURU,KARNATAKA
49920,406-7491848-1017104,05-31-22,J0157,J0157-DR-XXL,B0982YZ51B,THIRUVANANTHAPURAM,KERALA
49925,407-5366179-7446761,05-31-22,JNE3431,JNE3431-KR-XL,B08KS7M7F7,CHENNAI,TAMIL NADU
49928,171-2558690-3797924,05-31-22,J0281,J0281-SKD-XL,B08QGMYV8L,GURUGRAM,HARYANA
49934,405-3057514-1878767,05-31-22,JNE3797,JNE3797-KR-A-M,B09TH73PT5,GHAZIABAD,UTTAR PRADESH
49940,405-0231083-5375544,05-31-22,JNE3797,JNE3797-KR-M,B09SDY8DCT,GHAZIABAD,UTTAR PRADESH
49945,403-8023416-6649167,05-31-22,J0251,J0251-SKD-M,B09KXVQTFX,BERHAMPUR,ODISHA
49955,406-7692601-4982717,05-31-22,JNE3568,JNE3568-KR-M,B08KRZRSCL,AGRA,UTTAR PRADESH
49956,171-2241276-0799566,05-31-22,JNE3861,JNE3861-DR-M,B09SDYNSM7,BENGALURU,KARNATAKA
49963,403-8728211-7876323,05-31-22,JNE3860,JNE3860-DR-XL,B09SDXQK2Z,KOLKATA,WEST BENGAL
49970,404-9236500-1361906,05-31-22,SET341,SET341-KR-NP-L,B09NPXCZZG,Uttam nagar,DELHI
49974,403-0492802-3703546,05-31-22,JNE3670,JNE3670-TU-S,B0943KRMLF,ARRAH,BIHAR
49975,403-6116513-2663550,05-31-22,JNE3835,JNE3835-KR-S,B09Q3J655Y,DEHRADUN,UTTARAKHAND
49981,171-4773185-1481952,05-31-22,JNE3373,JNE3373-KR-XXXL,B082W7MZVQ,LINGAPALEM,ANDHRA PRADESH
49987,407-3093695-6286701,05-31-22,JNE2009,JNE2009-KR-310-XL,B07569HSRZ,Satara,MAHARASHTRA
49992,405-7715089-0868316,05-31-22,JNE3784,JNE3784-KR-XS,B09K3X66GN,HAMIRPUR,HIMACHAL PRADESH
49993,404-3759125-1241958,05-31-22,JNE3403,JNE3403-KR-XS,B083171G6M,Bhuj,Gujarat
50005,408-4097305-3569966,05-31-22,JNE3869,JNE3869-DR-L,B09RK63SGY,NEW DELHI,DELHI
50015,403-3337371-2778750,05-31-22,JNE3665,JNE3665-TP-M,B098755S1W,AJMER,RAJASTHAN
50021,406-1813489-1390755,05-31-22,JNE3800,JNE3800-KR-A-L,B09TH43NW5,BENGALURU,KARNATAKA
50024,171-3343065-8758738,05-31-22,SET343,SET343-KR-NP-XXXL,B09NDL4F2Y,Chennai,TAMIL NADU
50036,171-9022101-1617113,05-31-22,PJNE3568,PJNE3568-KR-N-5XL,B09LD2KBGR,MUMBAI,MAHARASHTRA
50042,408-6560647-7987502,05-31-22,JNE3790,JNE3790-KR-XXXL,B09KXPYTCZ,CHENNAI,TAMIL NADU
50048,402-2942715-0621953,05-31-22,JNE3674,JNE3674-TU-S,B09433TH8P,PALAKKAD,KERALA
50060,171-3739546-1905106,05-31-22,JNE3468,JNE3468-KR-S,B08RP3YXBX,Kalyan west,MAHARASHTRA
