index,Order ID,Date,SKU,ASIN,ship-city
49452,405-9167952-3901115,05-31-22,JNE3601-KR-L,B08QJM4J9Z,DHARMSALA
49456,171-0319749-3467528,05-31-22,MEN5011-KR-XXL,B08YZ3Q2B6,NOIDA
49461,402-1084018-6307564,05-31-22,J0341-DR-L,B099NRCT7B,HYDERABAD
49462,171-4159663-2161900,05-31-22,JNE3861-DR-XXL,B09SDY9GXB,HABRA
49463,402-2064234-2445136,05-31-22,J0150-KR-S,B08N19XG53,KOLHAPUR
49465,407-1326750-1493960,05-31-22,J0301-TP-M,B099S9DTR2,NAWANSHAHR
49468,402-0802305-2699559,05-31-22,SET281-KR-PP-L,B0983DYB2P,Mumbai
49478,405-2310950-7257943,05-31-22,JNE3735-KR-XXXL,B09LV1Q3DT,MANGALURU
49495,407-9923506-4962739,05-31-22,JNE3449-KR-XL,B08BFL5B9S,CHENNAI
49496,171-2056641-9472360,05-31-22,NW012-TP-PJ-XL,B0922TK8CF,Guntur
49511,406-2084085-1366707,05-31-22,J0341-DR-L,B099NRCT7B,CHENNAI
49512,408-0390281-2104352,05-31-22,MEN5019-KR-XXXL,B08YYQXZHK,JALPAIGURI
49513,408-8678200-5500319,05-31-22,J0117-TP-XXXL,B08N498WCX,MUMBAI
49527,408-0233894-9998774,05-31-22,SET291-KR-PP-M,B099NK55YG,Namakkal
49530,408-9014017-5037154,05-31-22,SET310-KR-NP-XXL,B09RKDLD1W,LUCKNOW
49532,404-8551292-8977145,05-31-22,SET401-KR-NP-XXXL,B09VC71N98,PUNE
49539,402-5726603-0755523,05-31-22,JNE3800-KR-XXL,B09SDYNZQ5,MUMBAI 400102
49542,406-5382737-4757938,05-31-22,JNE3627-KR-XL,B08W2JV979,PATIALA
49543,408-0563659-1020348,05-31-22,J0341-DR-L,B099NRCT7B,BENGALURU
49544,407-0681799-4061925,05-31-22,J0341-DR-L,B099NRCT7B,MUMBAI
49545,408-0865965-3904320,05-31-22,SET327-KR-DPT-L,B09PN4P12Y,MARKAPUR
49553,405-9047942-8892364,05-31-22,J0157-DR-XL,B098316HXL,BENGALURU
49555,407-3312852-7909912,05-31-22,JNE3568-KR-M,B08KRZRSCL,BENGALURU
49556,405-7203154-7926729,05-31-22,J0396-DR-XXXL,B09SDXPC2C,RAI INDUSTRIAL AREA
49558,406-4722540-4325151,05-31-22,JNE3399-KR-XXXL,B082W7Y2KY,CHENNAI
49561,403-1431342-5345145,05-31-22,SET187-KR-DH-XL,B08B415N6S,FARIDABAD
49564,402-3129179-0749965,05-31-22,JNE3606-KR-L,B08MYTXTRW,BHUBANESWAR
49573,403-2388768-9793909,05-31-22,J0280-SKD-XXL,B08QGMG4RW,PUNE
49575,171-2469688-6745101,05-31-22,SET363-KR-NP-XS,B09TH9HS5R,ROURKELA
49579,408-5430823-1578700,05-31-22,J0189-TP-XL,B08N4TVYBJ,BENGALURU
49589,406-9313894-6701904,05-31-22,JNE3869-DR-M,B09RK7Q644,BENGALURU
49591,405-2576408-1885141,05-31-22,JNE3436-KR-XL,B081WYGJFV,LUCKNOW
49594,404-1901566-8732342,05-31-22,J0113-TP-XXL,B08V17688J,HYDERABAD
49598,408-7324449-7240344,05-31-22,JNE3606-KR-S,B08MYTJ6LH,SHIMLA
49600,407-8281194-5659529,05-31-22,JNE3709-DR-XXL,B091T8S3BP,JAMSHEDPUR
49601,407-9253455-3032307,05-31-22,J0346-SET-XL,B0983G1KLL,KANPUR
49602,408-1512701-8024347,05-31-22,JNE3434-KR-M,B081WZ8S6B,HYDERABAD
49603,408-1512701-8024347,05-31-22,JNE3710-DR-M,B091T25NQG,HYDERABAD
49604,404-3193087-3999557,05-31-22,JNE3800-KR-S,B09SDXB141,RAJKOT
49605,408-7272031-0371526,05-31-22,JNE3431-KR-XL,B08KS7M7F7,PIMPRI CHINCHWAD
49609,406-0292412-7809958,05-31-22,J0231-SKD-M,B08XNK3MXN,Noida
49610,408-5360432-5813151,05-31-22,JNE3366-KR-1053-S,B07T65CC1N,HYDERABAD
49617,408-3461842-2081920,05-31-22,SET369-KR-NP-XXL,B09QJM97Z8,LUCKNOW
49618,408-3461842-2081920,05-31-22,J0280-SKD-XXL,B08QGMG4RW,LUCKNOW
49626,408-6737930-3789114,05-31-22,J0339-DR-M,B09831YHGV,HYDERABAD
49627,402-2394398-0682735,05-31-22,J0348-SET-L,B09HNRTMH9,BENGALURU
49632,405-1766259-3610725,05-31-22,JNE3869-DR-M,B09RK7Q644,KANCHEEPURAM
49634,171-5844246-0209102,05-31-22,SET402-KR-NP-XL,B09VC53FQW,CHENNAI
49636,406-8043786-6040319,05-31-22,J0003-SET-XXXL,B0894Y3VBB,HYDERABAD
49640,403-4129507-0759566,05-31-22,J0041-SET-XL,B089G1ZNLX,TUMAKURU
49644,402-7914537-3523552,05-31-22,J0341-DR-L,B099NRCT7B,ERNAKULAM
49649,402-1956260-3929908,05-31-22,JNE3619-KR-S,B091Q8JXX9,HINDUSTHAN CABLES TOWN
49664,405-3949847-5870734,05-31-22,J0147-SET-XL,B091Z8TV5Q,SONIPAT
49668,404-9218160-9182769,05-31-22,JNE3487-KR-M,B08RP2Y81T,Mumbai
49675,407-7789802-5937107,05-31-22,J0413-DR-S,B09TY2JJ87,KANNANOOR
49679,403-5976582-3542707,05-31-22,JNE3798-KR-XS,B09SDY7MHD,ERNAKULAM
49689,171-3225184-9032326,05-31-22,SET327-KR-DPT-S,B09PN37FYX,GUNTUR
49696,407-9773262-9660335,05-31-22,J0377-SKD-XL,B09QJ35BD6,Caranzalem - Tiswadi
49703,405-3391944-5904313,05-31-22,JNE3797-KR-XL,B09SDXRYBG,SURAT
49735,402-3849925-4208311,05-31-22,JNE3790-KR-L,B09KXR4JZC,JAMMU
49739,405-2545501-9787550,05-31-22,J0341-DR-XXXL,B099NSQP4Z,Dombivli
49743,171-5657822-4080351,05-31-22,J0041-SET-L,B089G28YYW,METTUPALAYAM COIMBATORE DISTRICT
49745,404-9785279-5481112,05-31-22,JNE3860-DR-L,B09SDY4TFK,vadodara
49746,408-2759454-7027516,05-31-22,NW012-TP-PJ-S,B0922T13R1,THANE
49747,406-0643099-2511563,05-31-22,SET355-KR-PP-XL,B09RKFFXVC,JAMKHANDI
49751,408-0338417-3148319,05-31-22,J0182-SET-S,B08VWLBY4C,VADODARA
49752,408-0338417-3148319,05-31-22,SET240-KR-PP-XL,B08N4RXHV6,VADODARA
49758,402-4611045-4313116,05-31-22,JNE3928-KR-XS,B09XKC4KRL,JAMSHEDPUR
49759,402-2274754-6723504,05-31-22,JNE3869-DR-M,B09RK7Q644,KANPUR
49766,407-9041571-2589127,05-31-22,JNE3638-KR-XXL,B098126DTY,PUNE
49777,402-2261614-6593156,05-31-22,SET403-KR-NP-XL,B09VZ6HK5S,Mettur; Salem
49780,408-1606553-6060366,05-31-22,SET339-KR-NP-S,B09RT1WSR9,NOIDA
49782,404-8921647-6525126,05-31-22,SET327-KR-DPT-M,B09PN41YXK,TADEPALLIGUDEM
49791,406-2928230-8788363,05-31-22,JNE3706-DR-XL,B09832FD39,Indore
49795,408-1313915-3328335,05-31-22,JNE3905-DR-S,B09YYPQ7NW,BENGALURU
49801,408-0550121-4389924,05-31-22,JNE3568-KR-M,B08KRZRSCL,AHMEDABAD
49802,402-9435235-3564360,05-31-22,SET278-KR-NP-M,B0983F3BLZ,HYDERABAD
49803,402-7963816-0067556,05-31-22,JNE3797-KR-M,B09SDY8DCT,SAHARANPUR
49809,408-4369578-2690702,05-31-22,SET183-KR-DH-L,B08B3YV7L2,Bangalore
49811,407-5239539-5542722,05-31-22,JNE3710-DR-M,B091T25NQG,HYDERABAD
49814,406-0481887-7137937,05-31-22,JNE3797-KR-XL,B09SDXRYBG,CHENNAI
49815,407-9386713-5693146,05-31-22,SET183-KR-DH-L,B08B3YV7L2,MUMBAI
49816,404-5421968-4875509,05-31-22,JNE3800-KR-A-S,B09TH5VZK6,CHITRADURGA
49819,403-3360965-9649945,05-31-22,JNE3797-KR-A-M,B09TH73PT5,NEW DELHI
49833,404-3564532-5349147,05-31-22,JNE3797-KR-M,B09SDY8DCT,MUMBAI
49834,408-1130970-8755520,05-31-22,J0126-SKD-L,B08TZD5W7J,RAJKOT
49840,402-8708604-0507516,05-31-22,SET286-KR-NP-XL,B099NGZGRJ,Bikaner
49844,407-1454074-5798728,05-31-22,SET376-KR-NP-XS,B09RSS48QG,BENGALURU
49845,405-5436817-0228339,05-31-22,J0210-DR-S,B0982YWMSG,BHATKAL
49847,408-8645392-8413143,05-31-22,JNE3797-KR-M,B09SDY8DCT,ALUVA
49853,404-7120146-1093969,05-31-22,JNE3894-TP-S,B09TZS4V29,PONNANI
49854,171-4358882-3195568,05-31-22,JNE3797-KR-M,B09SDY8DCT,RANCHI
49855,171-4358882-3195568,05-31-22,J0377-SKD-M,B09QJ4TWHG,RANCHI
49856,403-9104339-5587515,05-31-22,JNE3658-TP-L,B094346FB7,SILIGURI
49861,407-4552963-9498767,05-31-22,JNE3645-TP-N-S,B08ZHN6H5T,LUCKNOW
49862,402-7942375-7983512,05-31-22,JNE3861-DR-XXL,B09SDY9GXB,NEW DELHI
49864,405-8879878-0324314,05-31-22,J0181-TP-L,B08QGLG46Y,GURUGRAM
49870,407-5858184-2170763,05-31-22,SET327-KR-DPT-L,B09PN4P12Y,MUVATTUPUZHA
49880,403-8675864-3821104,05-31-22,JNE3797-KR-XL,B09SDXRYBG,LUCKNOW
49883,403-5427447-6560353,05-31-22,SET327-KR-DPT-XL,B09PN1HZ58,NELLORE
49884,405-9569558-8422702,05-31-22,JNE3801-KR-XL,B09SDYL6L1,PUNE
49893,408-3982800-6785146,05-31-22,SET320-KR-NP-XXXL,B09RKD5K4Z,PATNA
49909,406-1382847-5465114,05-31-22,SET219-KR-PP-M,B08B414Z8Y,BENGALURU
49911,406-7827033-3538736,05-31-22,SET333-KR-DPT-XL,B09RKFZ1KH,BENGALURU
49918,402-9204656-4380325,05-31-22,JNE3749-KR-XL,B09K3WVV5F,BENGALURU
49920,406-7491848-1017104,05-31-22,J0157-DR-XXL,B0982YZ51B,THIRUVANANTHAPURAM
49925,407-5366179-7446761,05-31-22,JNE3431-KR-XL,B08KS7M7F7,CHENNAI
49928,171-2558690-3797924,05-31-22,J0281-SKD-XL,B08QGMYV8L,GURUGRAM
49934,405-3057514-1878767,05-31-22,JNE3797-KR-A-M,B09TH73PT5,GHAZIABAD
49940,405-0231083-5375544,05-31-22,JNE3797-KR-M,B09SDY8DCT,GHAZIABAD
49945,403-8023416-6649167,05-31-22,J0251-SKD-M,B09KXVQTFX,BERHAMPUR
49955,406-7692601-4982717,05-31-22,JNE3568-KR-M,B08KRZRSCL,AGRA
49956,171-2241276-0799566,05-31-22,JNE3861-DR-M,B09SDYNSM7,BENGALURU
49963,403-8728211-7876323,05-31-22,JNE3860-DR-XL,B09SDXQK2Z,KOLKATA
49970,404-9236500-1361906,05-31-22,SET341-KR-NP-L,B09NPXCZZG,Uttam nagar
49974,403-0492802-3703546,05-31-22,JNE3670-TU-S,B0943KRMLF,ARRAH
49975,403-6116513-2663550,05-31-22,JNE3835-KR-S,B09Q3J655Y,DEHRADUN
49981,171-4773185-1481952,05-31-22,JNE3373-KR-XXXL,B082W7MZVQ,LINGAPALEM
49987,407-3093695-6286701,05-31-22,JNE2009-KR-310-XL,B07569HSRZ,Satara
49992,405-7715089-0868316,05-31-22,JNE3784-KR-XS,B09K3X66GN,HAMIRPUR
49993,404-3759125-1241958,05-31-22,JNE3403-KR-XS,B083171G6M,Bhuj
50005,408-4097305-3569966,05-31-22,JNE3869-DR-L,B09RK63SGY,NEW DELHI
50015,403-3337371-2778750,05-31-22,JNE3665-TP-M,B098755S1W,AJMER
50021,406-1813489-1390755,05-31-22,JNE3800-KR-A-L,B09TH43NW5,BENGALURU
50024,171-3343065-8758738,05-31-22,SET343-KR-NP-XXXL,B09NDL4F2Y,Chennai
50036,171-9022101-1617113,05-31-22,PJNE3568-KR-N-5XL,B09LD2KBGR,MUMBAI
50042,408-6560647-7987502,05-31-22,JNE3790-KR-XXXL,B09KXPYTCZ,CHENNAI
50048,402-2942715-0621953,05-31-22,JNE3674-TU-S,B09433TH8P,PALAKKAD
50060,171-3739546-1905106,05-31-22,JNE3468-KR-S,B08RP3YXBX,Kalyan west
50061,408-9452224-5623507,05-31-22,PJNE3291-KR-4XL,B09PD1SNDL,MUMBAI
50071,406-7055418-2742724,05-31-22,J0418-TP-XS,B09Y3C1YGP,KOLKATA
50072,408-4786102-5613167,05-31-22,AN213-BROWN-S,B091GMW334,BENGALURU
50081,408-1410383-8398705,05-31-22,SET333-KR-DPT-XS,B09RKDYFFP,CHENNAI
50091,404-7601089-5422750,05-31-22,JNE3904-DR-M,B09Y26H8X1,NAGAON
50095,406-8238704-6645937,05-31-22,JNE3764-KR-L,B09K3T5QR5,Noida
50099,405-0226430-0519563,05-31-22,SET293-KR-NP-L,B09K39CKVP,GONDIYA
50102,406-3069524-1681153,05-31-22,JNE3265-KR-M,B07R527BFQ,CHENNAI
50113,402-7598658-2561961,05-31-22,J0148-SET-XXL,B0929JZWL2,COIMBATORE
50118,404-1540328-6970769,05-31-22,JNE3800-KR-A-M,B09TH59KYD,NADATHARA
50126,408-4633193-0952308,05-31-22,JNE3800-KR-A-S,B09TH5VZK6,Oragadam Industrial Area
50137,404-2303375-0613123,05-31-22,J0236-SKD-XL,B08ZYPQ3XV,NAGPUR
50139,404-7348705-8206736,05-31-22,JNE3800-KR-XS,B09SDXPHNC,AGARTALA
50142,408-0796059-9564310,05-31-22,J0280-SKD-M,B08QGKNC21,IMPHAL
50146,171-6888095-8401128,05-31-22,JNE3869-DR-S,B09RK67Y51,INDORE
50153,403-2988090-2789134,05-31-22,SET320-KR-NP-M,B09RKDYDPJ,CHANDIGARH
50161,406-5679624-8632306,05-31-22,SET306-KR-PP-XXL,B09KRS7JSJ,THANE
50171,408-6711306-5706760,05-31-22,SET183-KR-DH-M,B08B3Z2YY3,PUNE
50174,406-0347864-4085161,05-31-22,J0281-SKD-L,B08QGMNRBT,ROORKEE
50179,404-1803574-5709940,05-31-22,JNE3468-KR-XL,B08RP67NGB,MUMBAI
50181,408-0268386-3341140,05-31-22,JNE1233-BLUE-KR-031-XXXL,B07GPGP46N,GURUGRAM
50183,403-4123598-1642707,05-31-22,JNE3567-KR-XL,B08KRTXC2Y,Hyderabad
50188,403-1327057-9311554,05-31-22,JNE3787-KR-XXXL,B09RKCC8WS,COIMBATORE
50189,403-1327057-9311554,05-31-22,JNE3546-KR-XXXL,B09B2F5N2H,COIMBATORE
50194,406-5800090-9485943,05-31-22,JNE3861-DR-XXL,B09SDY9GXB,VARANASI
50195,407-2414990-0938731,05-31-22,SET218-KR-NP-S,B08B3Z4F92,GHAZIABAD
50198,406-3938309-8931529,05-31-22,JNE3697-KR-XXL,B098133PV5,VADODARA
50217,406-8789687-3497131,05-31-22,J0348-SET-XL,B09HNRBVMT,Eluru
50221,406-1982573-1502700,05-31-22,SET281-KR-PP-L,B0983DYB2P,CHENNAI
50222,406-1982573-1502700,05-31-22,SET285-KR-SHA-L,B099NJML8Z,CHENNAI
50228,404-0656252-1477910,05-31-22,PJNE2270-KR-N-6XL,B09LD52G37,NEW DELHI
50234,405-9082537-8633111,05-31-22,JNE3797-KR-S,B09SDYQ3WG,VADODARA
50248,402-4105843-8777145,05-31-22,JNE3620-KR-S,B091Q8WX4W,NELLORE
50249,402-4105843-8777145,05-31-22,JNE3487-KR-S,B08RP1Z6L4,NELLORE
50255,403-7209460-4457134,05-31-22,SET293-KR-NP-XS,B09K3938KW,KALYAN west
50260,408-0772717-5223563,05-31-22,JNE3454-KR-XXXL,B08B3YWFMD,MOHALI
50267,406-0716613-7385916,05-31-22,JNE2100-KR-144-L,B078Q3WGS3,BARWAHA
50268,405-3609688-8650757,05-31-22,JNE3869-DR-XL,B09RK65QV5,RANCHI
50278,403-4648336-2594718,05-31-22,J0402-DR-XXL,B09SDYSSGW,GURUGRAM
50282,402-3555066-3229912,05-31-22,JNE2014-KR-178-XXXL,B07G2CSMX9,KOLAZHY
50287,404-7857037-1305901,05-31-22,SET327-KR-DPT-S,B09PN37FYX,MARAIMALAINAGAR
50290,405-1196234-1909168,05-31-22,JNE3869-DR-M,B09RK7Q644,PEDDAPALLI
50293,406-9862314-8770727,05-31-22,J0157-DR-XL,B098316HXL,MUMBAI
50301,403-9546141-7492325,05-31-22,J0088-TP-M,B092D2GLW2,Gurgaon
50302,403-9546141-7492325,05-31-22,JNE3645-TP-N-L,B08ZHNGS54,Gurgaon
50312,404-1464092-7870720,05-31-22,SET183-KR-DH-L,B08B3YV7L2,JAMSHEDPUR
50314,406-5175041-0284339,05-31-22,MEN5016-KR-M,B08YYVHV6H,Chennai
50320,406-2833040-7467533,05-31-22,J0127-SKD-XL,B08QGMZQ2B,Thane West
50325,404-1841379-6375532,05-31-22,J0373-KR-S,B09KXKLZ1F,KOLLAM
50327,405-7060648-6355569,05-31-22,J0008-SKD-XL,B0894X711G,NELLORE
50331,408-7370041-4217118,05-31-22,PJNE3421-KR-N-5XL,B09LD41FDF,HYDERABAD
50335,406-2833370-2208311,05-31-22,PJNE3421-KR-N-4XL,B09LD4M5WF,HYDERABAD
50337,407-6945195-9167518,05-31-22,JNE3797-KR-S,B09SDYQ3WG,KARWAR
50341,408-3986211-5094704,05-31-22,MEN5008-KR-XXXL,B08YZ1SZZS,TIRUCHIRAPPALLI
50342,408-3986211-5094704,05-31-22,MEN5009-KR-XXXL,B08YYZWV9C,TIRUCHIRAPPALLI
50343,408-3986211-5094704,05-31-22,MEN5006-KR-XXXL,B08YZ275XH,TIRUCHIRAPPALLI
50346,402-9743540-9438712,05-31-22,JNE3797-KR-L,B09SDXFFQ1,BOKO
50348,404-0280275-2431533,05-30-22,JNE3671-TU-L,B0986RYVDW,AHMEDABAD
50349,404-9881968-3152349,05-30-22,JNE1525-KR-UDF19BLACK-M,B01MZGYNRV,Hyderabad
50362,403-3284189-1639557,05-30-22,J0401-DR-XXXL,B09SDXZBGX,MUMBAI
50364,402-9049584-9029915,05-30-22,SET393-KR-NP-S,B09QJ5LYDH,KADAPA
50369,403-8866490-4393154,05-30-22,JNE2153-KR-278-A-XL,B0794V95XT,HYDERABAD
50372,408-1506223-9129918,05-30-22,J0083-KR-XXL,B09296NJ5N,RAIPUR
